
5 Mot inconnu : OpenSim => ====== OpenSim ====== | opensim
139 Guillemets typographiques fermants. =>      nonphysical_prim_max="0" physical_prim_max="0" clamp_prim_size="false"  | " => suggestions : ['\xa0»', '”']
139 Mot inconnu : clamp_prim_size =>      nonphysical_prim_max="0" physical_prim_max="0" clamp_prim_size="false"  | clamp_prim_size
139 Guillemets typographiques ouvrants. =>      nonphysical_prim_max="0" physical_prim_max="0" clamp_prim_size="false"  | " => suggestions : ['«\xa0', '“']
139 Mot inconnu : false =>      nonphysical_prim_max="0" physical_prim_max="0" clamp_prim_size="false"  | false
139 Guillemets typographiques fermants. =>      nonphysical_prim_max="0" physical_prim_max="0" clamp_prim_size="false"  | " => suggestions : ['\xa0»', '”']
139 Espace(s) en fin de ligne à supprimer. =>      nonphysical_prim_max="0" physical_prim_max="0" clamp_prim_size="false"  |   => suggestions : ['']

140 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      object_capacity="0" /> |       => suggestions : ['']
140 Mot inconnu : object_capacity =>      object_capacity="0" /> | object_capacity
140 Guillemets typographiques ouvrants. =>      object_capacity="0" /> | " => suggestions : ['«\xa0', '“']
140 Guillemets typographiques fermants. =>      object_capacity="0" /> | " => suggestions : ['\xa0»', '”']

141 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      </Root> |       => suggestions : ['']

146 Mot inconnu : grid => ====Mode grid : ==== | grid

147 Typographie : points de suspension. Utilisez le caractère dédié. => Pour installer une grille... à développer. | ... => suggestions : ['…']

148 Mot inconnu : hypergrid => ====Mode hypergrid : ==== | hypergrid

149 Mot inconnu : hypergrid => Le mode hypergrid vous permet de passer d'une grille ou d'une région aux autres grilles et régions de l'hypergrid. C'est un peu comme si vous passiez d'un site internet à un autre via un lien. Vous conservez votre avatar et votre inventaire. Vous n'avez pas besoin de créer un compte pour chaque destination et enfin vous pouvez converser avec n'importe quel avatar local. Il reste encore des bugs mais dans l'ensemble c'est assez impressionnant !  | hypergrid
149 Mot inconnu : hypergrid => Le mode hypergrid vous permet de passer d'une grille ou d'une région aux autres grilles et régions de l'hypergrid. C'est un peu comme si vous passiez d'un site internet à un autre via un lien. Vous conservez votre avatar et votre inventaire. Vous n'avez pas besoin de créer un compte pour chaque destination et enfin vous pouvez converser avec n'importe quel avatar local. Il reste encore des bugs mais dans l'ensemble c'est assez impressionnant !  | hypergrid
149 Espace(s) en fin de ligne à supprimer. => Le mode hypergrid vous permet de passer d'une grille ou d'une région aux autres grilles et régions de l'hypergrid. C'est un peu comme si vous passiez d'un site internet à un autre via un lien. Vous conservez votre avatar et votre inventaire. Vous n'avez pas besoin de créer un compte pour chaque destination et enfin vous pouvez converser avec n'importe quel avatar local. Il reste encore des bugs mais dans l'ensemble c'est assez impressionnant !  |   => suggestions : ['']

151 Mot inconnu : Standalone => === En mode Standalone ou mode grille === | standalone

152 Mot inconnu : Opensim => == 1. se procurer Opensim et l'installer normalement (voir mode standalone)== | opensim
152 Mot inconnu : standalone => == 1. se procurer Opensim et l'installer normalement (voir mode standalone)== | standalone

154 Mot inconnu : OpenSim => Modifiez ces coordonnées dans OpenSim.ini et dans votre fichier xml de région *; ajoutez 6000 à X et à Y. Par exemple si votre région a pour coordonnées 1000, 1000, ses nouvelles coordonnées deviendront 7000,7000. (D'après ce que j'ai compris ce serait pour uniformiser toutes les coordonnées de l'hypergrid.) | opensim
154 Mot inconnu : ini => Modifiez ces coordonnées dans OpenSim.ini et dans votre fichier xml de région *; ajoutez 6000 à X et à Y. Par exemple si votre région a pour coordonnées 1000, 1000, ses nouvelles coordonnées deviendront 7000,7000. (D'après ce que j'ai compris ce serait pour uniformiser toutes les coordonnées de l'hypergrid.) | ini
154 Mot inconnu : xml => Modifiez ces coordonnées dans OpenSim.ini et dans votre fichier xml de région *; ajoutez 6000 à X et à Y. Par exemple si votre région a pour coordonnées 1000, 1000, ses nouvelles coordonnées deviendront 7000,7000. (D'après ce que j'ai compris ce serait pour uniformiser toutes les coordonnées de l'hypergrid.) | xml
154 Formatage des grands nombres. => Modifiez ces coordonnées dans OpenSim.ini et dans votre fichier xml de région *; ajoutez 6000 à X et à Y. Par exemple si votre région a pour coordonnées 1000, 1000, ses nouvelles coordonnées deviendront 7000,7000. (D'après ce que j'ai compris ce serait pour uniformiser toutes les coordonnées de l'hypergrid.) | 7000 => suggestions : ['7\xa0000']
154 Mot inconnu : hypergrid => Modifiez ces coordonnées dans OpenSim.ini et dans votre fichier xml de région *; ajoutez 6000 à X et à Y. Par exemple si votre région a pour coordonnées 1000, 1000, ses nouvelles coordonnées deviendront 7000,7000. (D'après ce que j'ai compris ce serait pour uniformiser toutes les coordonnées de l'hypergrid.) | hypergrid

156 Espace(s) surnuméraire(s) à supprimer. => <note important>Depuis la version 0.6.6 le fichier région  n'est plus un fichier xml mais un fichier ini qui a pour nom 'RegionConfig.ini'. Vous pourrez également modifier les coordonnées dans un éditeur de texte. </note> |    => suggestions : [' ']
156 Mot inconnu : xml => <note important>Depuis la version 0.6.6 le fichier région  n'est plus un fichier xml mais un fichier ini qui a pour nom 'RegionConfig.ini'. Vous pourrez également modifier les coordonnées dans un éditeur de texte. </note> | xml
156 Mot inconnu : ini => <note important>Depuis la version 0.6.6 le fichier région  n'est plus un fichier xml mais un fichier ini qui a pour nom 'RegionConfig.ini'. Vous pourrez également modifier les coordonnées dans un éditeur de texte. </note> | ini
156 Guillemets typographiques ouvrants. => <note important>Depuis la version 0.6.6 le fichier région  n'est plus un fichier xml mais un fichier ini qui a pour nom 'RegionConfig.ini'. Vous pourrez également modifier les coordonnées dans un éditeur de texte. </note> | ' => suggestions : ['“', '‘', '‹']
156 Mot inconnu : RegionConfig => <note important>Depuis la version 0.6.6 le fichier région  n'est plus un fichier xml mais un fichier ini qui a pour nom 'RegionConfig.ini'. Vous pourrez également modifier les coordonnées dans un éditeur de texte. </note> | regionconfig
156 Mot inconnu : ini => <note important>Depuis la version 0.6.6 le fichier région  n'est plus un fichier xml mais un fichier ini qui a pour nom 'RegionConfig.ini'. Vous pourrez également modifier les coordonnées dans un éditeur de texte. </note> | ini

158 Mot inconnu : OpenSim => == 3. Configurer OpenSim.ini ainsi (les exemples sont tirés du wiki opensimulator.org ):== | opensim
158 Mot inconnu : ini => == 3. Configurer OpenSim.ini ainsi (les exemples sont tirés du wiki opensimulator.org ):== | ini
158 Mot inconnu : opensimulator => == 3. Configurer OpenSim.ini ainsi (les exemples sont tirés du wiki opensimulator.org ):== | opensimulator
158 Pas d’espace avant ce signe. => == 3. Configurer OpenSim.ini ainsi (les exemples sont tirés du wiki opensimulator.org ):== |  ) => suggestions : [')']

159 Mot inconnu : __En => __En mode Standalone :__ | __en
159 Mot inconnu : Standalone => __En mode Standalone :__ | standalone
159 Mot inconnu : __ => __En mode Standalone :__ | __

160 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     [Network] |      => suggestions : ['']
160 Mot inconnu : Network =>     [Network] | network

161 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      http_listener_port = 9300 |       => suggestions : ['']
161 Mot inconnu : http_listener_port =>      http_listener_port = 9300 | http_listener_port

162 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      remoting_listener_port = 9895  ;(legacy - not used any more) je n'ai pas mis cette ligne |       => suggestions : ['']
162 Mot inconnu : remoting_listener_port =>      remoting_listener_port = 9895  ;(legacy - not used any more) je n'ai pas mis cette ligne | remoting_listener_port
162 Espace(s) surnuméraire(s) à supprimer. =>      remoting_listener_port = 9895  ;(legacy - not used any more) je n'ai pas mis cette ligne |    => suggestions : [' ']
162 Il manque un espace. =>      remoting_listener_port = 9895  ;(legacy - not used any more) je n'ai pas mis cette ligne | ( => suggestions : [' (']
162 Mot inconnu : legacy =>      remoting_listener_port = 9895  ;(legacy - not used any more) je n'ai pas mis cette ligne | legacy
162 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>      remoting_listener_port = 9895  ;(legacy - not used any more) je n'ai pas mis cette ligne |  -  => suggestions : [' – ', ' — ', ' − ']
162 Mot inconnu : not =>      remoting_listener_port = 9895  ;(legacy - not used any more) je n'ai pas mis cette ligne | not
162 Mot inconnu : used =>      remoting_listener_port = 9895  ;(legacy - not used any more) je n'ai pas mis cette ligne | used
162 Mot inconnu : any =>      remoting_listener_port = 9895  ;(legacy - not used any more) je n'ai pas mis cette ligne | any

163 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      grid_server_url = http://example.com:9300  |       => suggestions : ['']
163 Mot inconnu : grid_server_url =>      grid_server_url = http://example.com:9300  | grid_server_url
163 Espace(s) en fin de ligne à supprimer. =>      grid_server_url = http://example.com:9300  |   => suggestions : ['']

164 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      grid_send_key = null |       => suggestions : ['']
164 Mot inconnu : grid_send_key =>      grid_send_key = null | grid_send_key
164 Mot inconnu : null =>      grid_send_key = null | null

165 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      grid_recv_key = null |       => suggestions : ['']
165 Mot inconnu : grid_recv_key =>      grid_recv_key = null | grid_recv_key
165 Mot inconnu : null =>      grid_recv_key = null | null

166 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      user_server_url = http://example.com:9300 |       => suggestions : ['']
166 Mot inconnu : user_server_url =>      user_server_url = http://example.com:9300 | user_server_url

167 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      user_send_key = null |       => suggestions : ['']
167 Mot inconnu : user_send_key =>      user_send_key = null | user_send_key
167 Mot inconnu : null =>      user_send_key = null | null

168 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      user_recv_key = null |       => suggestions : ['']
168 Mot inconnu : user_recv_key =>      user_recv_key = null | user_recv_key
168 Mot inconnu : null =>      user_recv_key = null | null

169 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      asset_server_url = http://example.com:9300 |       => suggestions : ['']
169 Mot inconnu : asset_server_url =>      asset_server_url = http://example.com:9300 | asset_server_url

170 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      inventory_server_url = http://example.com:9300 |       => suggestions : ['']
170 Mot inconnu : inventory_server_url =>      inventory_server_url = http://example.com:9300 | inventory_server_url

171 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      messaging_server_url = http://example.com:9300 |       => suggestions : ['']
171 Mot inconnu : messaging_server_url =>      messaging_server_url = http://example.com:9300 | messaging_server_url

173 Mot inconnu : __En => __En mode grille :__ | __en
173 Mot inconnu : __ => __En mode grille :__ | __

174 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    [Network] |     => suggestions : ['']
174 Mot inconnu : Network =>    [Network] | network

175 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     http_listener_port = 9300 |      => suggestions : ['']
175 Mot inconnu : http_listener_port =>     http_listener_port = 9300 | http_listener_port

176 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     remoting_listener_port = 9895  (legacy - not used any more) |      => suggestions : ['']
176 Mot inconnu : remoting_listener_port =>     remoting_listener_port = 9895  (legacy - not used any more) | remoting_listener_port
176 Espace(s) surnuméraire(s) à supprimer. =>     remoting_listener_port = 9895  (legacy - not used any more) |    => suggestions : [' ']
176 Mot inconnu : legacy =>     remoting_listener_port = 9895  (legacy - not used any more) | legacy
176 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     remoting_listener_port = 9895  (legacy - not used any more) |  -  => suggestions : [' – ', ' — ', ' − ']
176 Mot inconnu : not =>     remoting_listener_port = 9895  (legacy - not used any more) | not
176 Mot inconnu : used =>     remoting_listener_port = 9895  (legacy - not used any more) | used
176 Mot inconnu : any =>     remoting_listener_port = 9895  (legacy - not used any more) | any

177 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     grid_server_url = http://example.com:8001 |      => suggestions : ['']
177 Mot inconnu : grid_server_url =>     grid_server_url = http://example.com:8001 | grid_server_url

178 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     grid_send_key = null |      => suggestions : ['']
178 Mot inconnu : grid_send_key =>     grid_send_key = null | grid_send_key
178 Mot inconnu : null =>     grid_send_key = null | null

179 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     grid_recv_key = null |      => suggestions : ['']
179 Mot inconnu : grid_recv_key =>     grid_recv_key = null | grid_recv_key
179 Mot inconnu : null =>     grid_recv_key = null | null

180 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     user_server_url = http://example.com:8002 |      => suggestions : ['']
180 Mot inconnu : user_server_url =>     user_server_url = http://example.com:8002 | user_server_url

181 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     user_send_key = null |      => suggestions : ['']
181 Mot inconnu : user_send_key =>     user_send_key = null | user_send_key
181 Mot inconnu : null =>     user_send_key = null | null

182 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     user_recv_key = null |      => suggestions : ['']
182 Mot inconnu : user_recv_key =>     user_recv_key = null | user_recv_key
182 Mot inconnu : null =>     user_recv_key = null | null

183 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     asset_server_url = http://example.com:8003 |      => suggestions : ['']
183 Mot inconnu : asset_server_url =>     asset_server_url = http://example.com:8003 | asset_server_url

184 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     inventory_server_url = http://example.com:8004 |      => suggestions : ['']
184 Mot inconnu : inventory_server_url =>     inventory_server_url = http://example.com:8004 | inventory_server_url

185 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     ; Port 8005 reserved |      => suggestions : ['']
185 Mot inconnu : reserved =>     ; Port 8005 reserved | reserved

186 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     messaging_server_url = http://example.com:8006 |      => suggestions : ['']
186 Mot inconnu : messaging_server_url =>     messaging_server_url = http://example.com:8006 | messaging_server_url

187 Mot inconnu : __Pour => __Pour les deux modes __ | __pour
187 Mot inconnu : __ => __Pour les deux modes __ | __

189 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    WorldMapModule = "WorldMap" |     => suggestions : ['']
189 Mot inconnu : WorldMapModule =>    WorldMapModule = "WorldMap" | worldmapmodule
189 Guillemets typographiques ouvrants. =>    WorldMapModule = "WorldMap" | " => suggestions : ['«\xa0', '“']
189 Mot inconnu : WorldMap =>    WorldMapModule = "WorldMap" | worldmap
189 Guillemets typographiques fermants. =>    WorldMapModule = "WorldMap" | " => suggestions : ['\xa0»', '”']

190 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    WorldMapModule = "HGWorldMapModule" |     => suggestions : ['']
190 Mot inconnu : WorldMapModule =>    WorldMapModule = "HGWorldMapModule" | worldmapmodule
190 Guillemets typographiques ouvrants. =>    WorldMapModule = "HGWorldMapModule" | " => suggestions : ['«\xa0', '“']
190 Mot inconnu : HGWorldMapModule =>    WorldMapModule = "HGWorldMapModule" | hgworldmapmodule
190 Guillemets typographiques fermants. =>    WorldMapModule = "HGWorldMapModule" | " => suggestions : ['\xa0»', '”']

193 Mot inconnu : World => Assurez-vous que vous avez défini votre domicile (home) via ** World/Set home to here**  | world
193 Mot inconnu : to => Assurez-vous que vous avez défini votre domicile (home) via ** World/Set home to here**  | to
193 Mot inconnu : here => Assurez-vous que vous avez défini votre domicile (home) via ** World/Set home to here**  | here
193 Espace(s) en fin de ligne à supprimer. => Assurez-vous que vous avez défini votre domicile (home) via ** World/Set home to here**  |   => suggestions : ['']

194 Il manque un espace. => ==5.Démarrez Opensim == | démarrez => suggestions : [' Démarrez']
194 Mot inconnu : Opensim => ==5.Démarrez Opensim == | opensim

195 Espace(s) en fin de ligne à supprimer. => Pour cela vous devez taper dans la console  |   => suggestions : ['']

196 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   [mono] OpenSim.exe -hypergrid=true |    => suggestions : ['']
196 Mot inconnu : OpenSim =>   [mono] OpenSim.exe -hypergrid=true | opensim
196 Mot inconnu : exe =>   [mono] OpenSim.exe -hypergrid=true | exe
196 Mot inconnu : hypergrid =>   [mono] OpenSim.exe -hypergrid=true | hypergrid
196 Mot inconnu : true =>   [mono] OpenSim.exe -hypergrid=true | true

197 Mot inconnu : hypergrid => Pour vérifier si votre connexion à l'hypergrid est effective vous pouvez utiliser la commande link-region (voir ci-dessous). | hypergrid
197 Mot inconnu : link-region => Pour vérifier si votre connexion à l'hypergrid est effective vous pouvez utiliser la commande link-region (voir ci-dessous). | link-region

200 Mot inconnu : hypergrid => === Pour une région connectée à une grille qui est en mode hypergrid === | hypergrid

201 Mot inconnu : hypergrid => Vous devez seulement lier votre région à l'hypergrid. Cela se fait dans la console à l'invite de votre région tapez : | hypergrid

203 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    link-region <Xloc> <Yloc> loginuri-de-la-grille:port |     => suggestions : ['']
203 Mot inconnu : link-region =>    link-region <Xloc> <Yloc> loginuri-de-la-grille:port | link-region
203 Mot inconnu : loginuri-de-la-grille =>    link-region <Xloc> <Yloc> loginuri-de-la-grille:port | loginuri-de-la-grille
203 Il manque un espace. =>    link-region <Xloc> <Yloc> loginuri-de-la-grille:port | port => suggestions : [' port']

205 Mot inconnu : link-region => link-region** : commande pour lier votre région | link-region

209 Après la préposition “pour”, le verbe devrait être à l’infinitif. => Par **exemple** pour lié une grille dans la Francogrid écrivez  : | lié => suggestions : ['lier']
209 Mot inconnu : Francogrid => Par **exemple** pour lié une grille dans la Francogrid écrivez  : | francogrid
209 Espace(s) surnuméraire(s) à supprimer. => Par **exemple** pour lié une grille dans la Francogrid écrivez  : |    => suggestions : [' ']

211 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     link-region <Xloc> <Yloc> grid.francogrid.com:8002  |      => suggestions : ['']
211 Mot inconnu : link-region =>     link-region <Xloc> <Yloc> grid.francogrid.com:8002  | link-region
211 Espace(s) en fin de ligne à supprimer. =>     link-region <Xloc> <Yloc> grid.francogrid.com:8002  |   => suggestions : ['']

212 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      |      => suggestions : ['']

213 Mot inconnu : opensimulator => <note> Pour plus d'informations référez-vous au wiki d'opensimulator (en anglais) :http://opensimulator.org/wiki/Installing_and_Running_Hypergrid</note>  | opensimulator
213 Espace(s) en fin de ligne à supprimer. => <note> Pour plus d'informations référez-vous au wiki d'opensimulator (en anglais) :http://opensimulator.org/wiki/Installing_and_Running_Hypergrid</note>  |   => suggestions : ['']
217 Espace(s) surnuméraire(s) à supprimer. => Toutes ne fonctionnent pas 24h/24 et  certaines jamais. Il existe également d'autres listes.  |    => suggestions : [' ']
217 Espace(s) en fin de ligne à supprimer. => Toutes ne fonctionnent pas 24h/24 et  certaines jamais. Il existe également d'autres listes.  |   => suggestions : ['']

221 Mot inconnu : viewer => ===== Les viewer===== | viewer

222 Mot inconnu : Hippo => ====Hippo Opensim viewer ==== | hippo
222 Mot inconnu : Opensim => ====Hippo Opensim viewer ==== | opensim
222 Mot inconnu : viewer => ====Hippo Opensim viewer ==== | viewer

223 Mot inconnu : sim => Pour entrer dans votre sim personnelle, installez la visionneuse Hippo. Vous pourrez télécharger ce logiciel à cette adresse : | sim
223 Mot inconnu : Hippo => Pour entrer dans votre sim personnelle, installez la visionneuse Hippo. Vous pourrez télécharger ce logiciel à cette adresse : | hippo

227 Mot inconnu : Setup => Vous pouvez télécharger le Setup pour linux ou utiliser la source que vous compilerez. | setup
227 Mot inconnu : linux => Vous pouvez télécharger le Setup pour linux ou utiliser la source que vous compilerez. | linux

229 Mot inconnu : Setup => === Installation à partir du Setup === | setup

230 Mot inconnu : Hippo => Je n'ai pas pu installer Hippo Opensim viewer  à partir du setup. Mais si vous voulez essayer, n'oubliez pas de cocher la case exécutable dans les propriétés du fichier. | hippo
230 Mot inconnu : Opensim => Je n'ai pas pu installer Hippo Opensim viewer  à partir du setup. Mais si vous voulez essayer, n'oubliez pas de cocher la case exécutable dans les propriétés du fichier. | opensim
230 Mot inconnu : viewer => Je n'ai pas pu installer Hippo Opensim viewer  à partir du setup. Mais si vous voulez essayer, n'oubliez pas de cocher la case exécutable dans les propriétés du fichier. | viewer
230 Espace(s) surnuméraire(s) à supprimer. => Je n'ai pas pu installer Hippo Opensim viewer  à partir du setup. Mais si vous voulez essayer, n'oubliez pas de cocher la case exécutable dans les propriétés du fichier. |    => suggestions : [' ']
230 Mot inconnu : setup => Je n'ai pas pu installer Hippo Opensim viewer  à partir du setup. Mais si vous voulez essayer, n'oubliez pas de cocher la case exécutable dans les propriétés du fichier. | setup

232 Mot inconnu : Hippo => === Compiler Hippo Opensim viewer === | hippo
232 Mot inconnu : Opensim => === Compiler Hippo Opensim viewer === | opensim
232 Mot inconnu : viewer => === Compiler Hippo Opensim viewer === | viewer
234 Espace(s) en fin de ligne à supprimer. => Vous devez avoir installé les paquets suivants :  |   => suggestions : ['']

236 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Subversion (Debian/Ubuntu package: **[[apt>subversion]]**) |      => suggestions : ['']

237 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Python 2.5 (Debian/Ubuntu package: **[[apt>python]]**) |      => suggestions : ['']

238 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * CMake 2.4 or 2.6 (Debian/Ubuntu package: **[[apt>cmake]]**) |      => suggestions : ['']
238 Mot inconnu : CMake =>     * CMake 2.4 or 2.6 (Debian/Ubuntu package: **[[apt>cmake]]**) | cmake
238 Mot inconnu : cmake =>     * CMake 2.4 or 2.6 (Debian/Ubuntu package: **[[apt>cmake]]**) | cmake

239 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * GCC 4.1 compiler (Debian/Ubuntu package: **[[apt>gcc]]**) |      => suggestions : ['']
239 Mot inconnu : GCC =>     * GCC 4.1 compiler (Debian/Ubuntu package: **[[apt>gcc]]**) | gcc
239 Mot inconnu : gcc =>     * GCC 4.1 compiler (Debian/Ubuntu package: **[[apt>gcc]]**) | gcc

240 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Flex tokenizer (Debian/Ubuntu package: **[[apt>flex]]**) |      => suggestions : ['']
240 Mot inconnu : Flex =>     * Flex tokenizer (Debian/Ubuntu package: **[[apt>flex]]**) | flex
240 Mot inconnu : tokenizer =>     * Flex tokenizer (Debian/Ubuntu package: **[[apt>flex]]**) | tokenizer
240 Mot inconnu : flex =>     * Flex tokenizer (Debian/Ubuntu package: **[[apt>flex]]**) | flex

241 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Bison parser generator (Debian/Ubuntu package: **[[apt>bison]]**) |      => suggestions : ['']
241 Mot inconnu : generator =>     * Bison parser generator (Debian/Ubuntu package: **[[apt>bison]]**) | generator

242 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * OpenGL library headers (Debian/Ubuntu package: **[[apt>mesa-common-dev]]**) |      => suggestions : ['']
242 Mot inconnu : OpenGL =>     * OpenGL library headers (Debian/Ubuntu package: **[[apt>mesa-common-dev]]**) | opengl
242 Mot inconnu : library =>     * OpenGL library headers (Debian/Ubuntu package: **[[apt>mesa-common-dev]]**) | library
242 Mot inconnu : headers =>     * OpenGL library headers (Debian/Ubuntu package: **[[apt>mesa-common-dev]]**) | headers
242 Mot inconnu : mesa-common-dev =>     * OpenGL library headers (Debian/Ubuntu package: **[[apt>mesa-common-dev]]**) | mesa-common-dev

243 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * OpenGL Utility library headers (Debian/Ubuntu package: **[[apt>libglu1-mesa-dev]]**) |      => suggestions : ['']
243 Mot inconnu : OpenGL =>     * OpenGL Utility library headers (Debian/Ubuntu package: **[[apt>libglu1-mesa-dev]]**) | opengl
243 Mot inconnu : Utility =>     * OpenGL Utility library headers (Debian/Ubuntu package: **[[apt>libglu1-mesa-dev]]**) | utility
243 Mot inconnu : library =>     * OpenGL Utility library headers (Debian/Ubuntu package: **[[apt>libglu1-mesa-dev]]**) | library
243 Mot inconnu : headers =>     * OpenGL Utility library headers (Debian/Ubuntu package: **[[apt>libglu1-mesa-dev]]**) | headers
243 Mot inconnu : libglu1-mesa-dev =>     * OpenGL Utility library headers (Debian/Ubuntu package: **[[apt>libglu1-mesa-dev]]**) | libglu1-mesa-dev

244 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * C library headers (Debian/Ubuntu package: **[[apt> libc6-dev]]**) |      => suggestions : ['']
244 Mot inconnu : library =>     * C library headers (Debian/Ubuntu package: **[[apt> libc6-dev]]**) | library
244 Mot inconnu : headers =>     * C library headers (Debian/Ubuntu package: **[[apt> libc6-dev]]**) | headers
244 Mot inconnu : libc6-dev =>     * C library headers (Debian/Ubuntu package: **[[apt> libc6-dev]]**) | libc6-dev

245 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * C++ library headers (Debian/Ubuntu package: libstdc++6-dev) |      => suggestions : ['']
245 Mot inconnu : library =>     * C++ library headers (Debian/Ubuntu package: libstdc++6-dev) | library
245 Mot inconnu : headers =>     * C++ library headers (Debian/Ubuntu package: libstdc++6-dev) | headers
245 Mot inconnu : libstdc =>     * C++ library headers (Debian/Ubuntu package: libstdc++6-dev) | libstdc
245 Mot inconnu : dev =>     * C++ library headers (Debian/Ubuntu package: libstdc++6-dev) | dev

246 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * X11 library headers (Debian/Ubuntu package: **[[apt>libx11-dev]]**) |      => suggestions : ['']
246 Mot inconnu : library =>     * X11 library headers (Debian/Ubuntu package: **[[apt>libx11-dev]]**) | library
246 Mot inconnu : headers =>     * X11 library headers (Debian/Ubuntu package: **[[apt>libx11-dev]]**) | headers
246 Mot inconnu : libx11-dev =>     * X11 library headers (Debian/Ubuntu package: **[[apt>libx11-dev]]**) | libx11-dev

