
5 Mot inconnu : Tremulous => ====== Tremulous ====== | tremulous
74 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. =>   * Le Maraudeur,  il est disponible au stage 1 et coute 2 points d'évolution, il ne peut plus marcher aux murs et est plus lent que les deux autres aliens, en contrepartie, il est plus résistant (150 vies), possède un saut énorme et peut rebondir sur les murs...Cet alien est par conséquent très dur à toucher, mais il est aussi très difficile à manier car il faut avoir un excellent timing pour frapper en sautant...Son évolution, disponible au stage 2 et coutant 3 points d'évolution possède 25 vies de plus, est plus rapide et possède une attaque électrique utilisable avec le clic droit qui inflige des dégâts à un humain ou une structure humaine et a deux humains/structures environnants. |  car => suggestions : [', car']
74 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Le Maraudeur,  il est disponible au stage 1 et coute 2 points d'évolution, il ne peut plus marcher aux murs et est plus lent que les deux autres aliens, en contrepartie, il est plus résistant (150 vies), possède un saut énorme et peut rebondir sur les murs...Cet alien est par conséquent très dur à toucher, mais il est aussi très difficile à manier car il faut avoir un excellent timing pour frapper en sautant...Son évolution, disponible au stage 2 et coutant 3 points d'évolution possède 25 vies de plus, est plus rapide et possède une attaque électrique utilisable avec le clic droit qui inflige des dégâts à un humain ou une structure humaine et a deux humains/structures environnants. | ... => suggestions : ['…']

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le Dragoon, disponible au stage 1 et coutant 3 points d'évolution, il possède un Chomp très puissant (qui inflige 80 dégâts à un humain sans armure et qui tue donc instantanément un humain sans casque si le chomp est porté à la tête) utilisable avec le clic gauche, et un pounce, utilisé avec le clic droit, qui permet de faire un saut très loin et qui inflige 100 dégâts à tout ce qui se trouve sur son chemin. Le dragoon avancé, disponible au stade 3 et coutant 4 points d'évolution, possède 250 vies au lieu de 200 et a trois projectiles, utilisés avec le clic milieu de la souris, qui infligent chacun 110 dégats, il peut aussi pouncer beaucoup plus loin mais est plus gros que son homologue. |    => suggestions : ['']
76 Mot inconnu : Dragoon =>   * Le Dragoon, disponible au stage 1 et coutant 3 points d'évolution, il possède un Chomp très puissant (qui inflige 80 dégâts à un humain sans armure et qui tue donc instantanément un humain sans casque si le chomp est porté à la tête) utilisable avec le clic gauche, et un pounce, utilisé avec le clic droit, qui permet de faire un saut très loin et qui inflige 100 dégâts à tout ce qui se trouve sur son chemin. Le dragoon avancé, disponible au stade 3 et coutant 4 points d'évolution, possède 250 vies au lieu de 200 et a trois projectiles, utilisés avec le clic milieu de la souris, qui infligent chacun 110 dégats, il peut aussi pouncer beaucoup plus loin mais est plus gros que son homologue. | dragoon
76 Mot inconnu : Chomp =>   * Le Dragoon, disponible au stage 1 et coutant 3 points d'évolution, il possède un Chomp très puissant (qui inflige 80 dégâts à un humain sans armure et qui tue donc instantanément un humain sans casque si le chomp est porté à la tête) utilisable avec le clic gauche, et un pounce, utilisé avec le clic droit, qui permet de faire un saut très loin et qui inflige 100 dégâts à tout ce qui se trouve sur son chemin. Le dragoon avancé, disponible au stade 3 et coutant 4 points d'évolution, possède 250 vies au lieu de 200 et a trois projectiles, utilisés avec le clic milieu de la souris, qui infligent chacun 110 dégats, il peut aussi pouncer beaucoup plus loin mais est plus gros que son homologue. | chomp
76 Mot inconnu : chomp =>   * Le Dragoon, disponible au stage 1 et coutant 3 points d'évolution, il possède un Chomp très puissant (qui inflige 80 dégâts à un humain sans armure et qui tue donc instantanément un humain sans casque si le chomp est porté à la tête) utilisable avec le clic gauche, et un pounce, utilisé avec le clic droit, qui permet de faire un saut très loin et qui inflige 100 dégâts à tout ce qui se trouve sur son chemin. Le dragoon avancé, disponible au stade 3 et coutant 4 points d'évolution, possède 250 vies au lieu de 200 et a trois projectiles, utilisés avec le clic milieu de la souris, qui infligent chacun 110 dégats, il peut aussi pouncer beaucoup plus loin mais est plus gros que son homologue. | chomp
76 Mot inconnu : pounce =>   * Le Dragoon, disponible au stage 1 et coutant 3 points d'évolution, il possède un Chomp très puissant (qui inflige 80 dégâts à un humain sans armure et qui tue donc instantanément un humain sans casque si le chomp est porté à la tête) utilisable avec le clic gauche, et un pounce, utilisé avec le clic droit, qui permet de faire un saut très loin et qui inflige 100 dégâts à tout ce qui se trouve sur son chemin. Le dragoon avancé, disponible au stade 3 et coutant 4 points d'évolution, possède 250 vies au lieu de 200 et a trois projectiles, utilisés avec le clic milieu de la souris, qui infligent chacun 110 dégats, il peut aussi pouncer beaucoup plus loin mais est plus gros que son homologue. | pounce
76 Mot inconnu : dragoon =>   * Le Dragoon, disponible au stage 1 et coutant 3 points d'évolution, il possède un Chomp très puissant (qui inflige 80 dégâts à un humain sans armure et qui tue donc instantanément un humain sans casque si le chomp est porté à la tête) utilisable avec le clic gauche, et un pounce, utilisé avec le clic droit, qui permet de faire un saut très loin et qui inflige 100 dégâts à tout ce qui se trouve sur son chemin. Le dragoon avancé, disponible au stade 3 et coutant 4 points d'évolution, possède 250 vies au lieu de 200 et a trois projectiles, utilisés avec le clic milieu de la souris, qui infligent chacun 110 dégats, il peut aussi pouncer beaucoup plus loin mais est plus gros que son homologue. | dragoon
76 Mot inconnu : dégats =>   * Le Dragoon, disponible au stage 1 et coutant 3 points d'évolution, il possède un Chomp très puissant (qui inflige 80 dégâts à un humain sans armure et qui tue donc instantanément un humain sans casque si le chomp est porté à la tête) utilisable avec le clic gauche, et un pounce, utilisé avec le clic droit, qui permet de faire un saut très loin et qui inflige 100 dégâts à tout ce qui se trouve sur son chemin. Le dragoon avancé, disponible au stade 3 et coutant 4 points d'évolution, possède 250 vies au lieu de 200 et a trois projectiles, utilisés avec le clic milieu de la souris, qui infligent chacun 110 dégats, il peut aussi pouncer beaucoup plus loin mais est plus gros que son homologue. | dégats
76 Mot inconnu : pouncer =>   * Le Dragoon, disponible au stage 1 et coutant 3 points d'évolution, il possède un Chomp très puissant (qui inflige 80 dégâts à un humain sans armure et qui tue donc instantanément un humain sans casque si le chomp est porté à la tête) utilisable avec le clic gauche, et un pounce, utilisé avec le clic droit, qui permet de faire un saut très loin et qui inflige 100 dégâts à tout ce qui se trouve sur son chemin. Le dragoon avancé, disponible au stade 3 et coutant 4 points d'évolution, possède 250 vies au lieu de 200 et a trois projectiles, utilisés avec le clic milieu de la souris, qui infligent chacun 110 dégats, il peut aussi pouncer beaucoup plus loin mais est plus gros que son homologue. | pouncer

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le Tyrant, disponible au stade 3 et coutant 5 points d'évolution est très résistant (400 vies) possède une attaque extrémement puissante (avec le clic gauche) qui inflige 100 dégâts et a aussi une charge utilisable avec le clic droit qui lui permet de se déplacer pendant un cours instant bien plus rapidement.  |    => suggestions : ['']
78 Mot inconnu : Tyrant =>   * Le Tyrant, disponible au stade 3 et coutant 5 points d'évolution est très résistant (400 vies) possède une attaque extrémement puissante (avec le clic gauche) qui inflige 100 dégâts et a aussi une charge utilisable avec le clic droit qui lui permet de se déplacer pendant un cours instant bien plus rapidement.  | tyrant
78 Mot inconnu : extrémement =>   * Le Tyrant, disponible au stade 3 et coutant 5 points d'évolution est très résistant (400 vies) possède une attaque extrémement puissante (avec le clic gauche) qui inflige 100 dégâts et a aussi une charge utilisable avec le clic droit qui lui permet de se déplacer pendant un cours instant bien plus rapidement.  | extrémement
78 Espace(s) en fin de ligne à supprimer. =>   * Le Tyrant, disponible au stade 3 et coutant 5 points d'évolution est très résistant (400 vies) possède une attaque extrémement puissante (avec le clic gauche) qui inflige 100 dégâts et a aussi une charge utilisable avec le clic droit qui lui permet de se déplacer pendant un cours instant bien plus rapidement.  |   => suggestions : ['']

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Tuer un humain. |    => suggestions : ['']

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Participer suffisamment au meurtre d'un humain. |    => suggestions : ['']

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Survivre 2 minutes (vérifié par gnominou :p ). |    => suggestions : ['']
84 Mot inconnu : gnominou =>   * Survivre 2 minutes (vérifié par gnominou :p ). | gnominou
84 Pas d’espace avant ce signe. =>   * Survivre 2 minutes (vérifié par gnominou :p ). |  ) => suggestions : [')']

91 Typographie : points de suspension. Utilisez le caractère dédié. => Ils sont très importants. Ils peuvent construire des infrastructures défensives, des redéploiements... | ... => suggestions : ['…']

92 Mot inconnu : Overmind => Les infrastructures les plus importantes sont sans aucun doute, l'Overmind et les eggs, ils sont à préserver à tous prix. Si votre base est attaquée, essayez de créer des eggs dans des coins "abandonnés" de la map pour que les joueurs morts puissent revenir dans le jeu. Il est conseillé de consulter la documentation sur le site du jeu pour savoir comment se servir le plus efficacement possible des structures défensives. | overmind
92 Mot inconnu : eggs => Les infrastructures les plus importantes sont sans aucun doute, l'Overmind et les eggs, ils sont à préserver à tous prix. Si votre base est attaquée, essayez de créer des eggs dans des coins "abandonnés" de la map pour que les joueurs morts puissent revenir dans le jeu. Il est conseillé de consulter la documentation sur le site du jeu pour savoir comment se servir le plus efficacement possible des structures défensives. | eggs
92 Mot inconnu : eggs => Les infrastructures les plus importantes sont sans aucun doute, l'Overmind et les eggs, ils sont à préserver à tous prix. Si votre base est attaquée, essayez de créer des eggs dans des coins "abandonnés" de la map pour que les joueurs morts puissent revenir dans le jeu. Il est conseillé de consulter la documentation sur le site du jeu pour savoir comment se servir le plus efficacement possible des structures défensives. | eggs
92 Guillemets typographiques ouvrants. => Les infrastructures les plus importantes sont sans aucun doute, l'Overmind et les eggs, ils sont à préserver à tous prix. Si votre base est attaquée, essayez de créer des eggs dans des coins "abandonnés" de la map pour que les joueurs morts puissent revenir dans le jeu. Il est conseillé de consulter la documentation sur le site du jeu pour savoir comment se servir le plus efficacement possible des structures défensives. | " => suggestions : ['«\xa0', '“']
92 Guillemets typographiques fermants. => Les infrastructures les plus importantes sont sans aucun doute, l'Overmind et les eggs, ils sont à préserver à tous prix. Si votre base est attaquée, essayez de créer des eggs dans des coins "abandonnés" de la map pour que les joueurs morts puissent revenir dans le jeu. Il est conseillé de consulter la documentation sur le site du jeu pour savoir comment se servir le plus efficacement possible des structures défensives. | " => suggestions : ['\xa0»', '”']
92 Mot inconnu : map => Les infrastructures les plus importantes sont sans aucun doute, l'Overmind et les eggs, ils sont à préserver à tous prix. Si votre base est attaquée, essayez de créer des eggs dans des coins "abandonnés" de la map pour que les joueurs morts puissent revenir dans le jeu. Il est conseillé de consulter la documentation sur le site du jeu pour savoir comment se servir le plus efficacement possible des structures défensives. | map

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * L'overmind:Sans doute la structure la plus importante, c'est l'entité et la conscience collective, sans elle, on ne peut pas évoluer ni construire de nouvelles structures. |    => suggestions : ['']
96 Mot inconnu : overmind =>   * L'overmind:Sans doute la structure la plus importante, c'est l'entité et la conscience collective, sans elle, on ne peut pas évoluer ni construire de nouvelles structures. | overmind
96 Il manque un espace. =>   * L'overmind:Sans doute la structure la plus importante, c'est l'entité et la conscience collective, sans elle, on ne peut pas évoluer ni construire de nouvelles structures. | sans => suggestions : [' Sans']

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * L'oeuf(egg):C'est grâce à cette structure que les aliens peuvent revivre, ils doivent être bien protégés, mais ils peuvent aussi êtres cachés dans toute la map pour permettre aux aliens, quand leur base est détruite, de gagner du temps pour la reconstruire tandis que les humains partent à la chasse aux oeufs |    => suggestions : ['']
97 Mot inconnu : oeuf =>   * L'oeuf(egg):C'est grâce à cette structure que les aliens peuvent revivre, ils doivent être bien protégés, mais ils peuvent aussi êtres cachés dans toute la map pour permettre aux aliens, quand leur base est détruite, de gagner du temps pour la reconstruire tandis que les humains partent à la chasse aux oeufs | oeuf
97 Il manque un espace avant la parenthèse. =>   * L'oeuf(egg):C'est grâce à cette structure que les aliens peuvent revivre, ils doivent être bien protégés, mais ils peuvent aussi êtres cachés dans toute la map pour permettre aux aliens, quand leur base est détruite, de gagner du temps pour la reconstruire tandis que les humains partent à la chasse aux oeufs | ( => suggestions : [' (']
97 Mot inconnu : egg =>   * L'oeuf(egg):C'est grâce à cette structure que les aliens peuvent revivre, ils doivent être bien protégés, mais ils peuvent aussi êtres cachés dans toute la map pour permettre aux aliens, quand leur base est détruite, de gagner du temps pour la reconstruire tandis que les humains partent à la chasse aux oeufs | egg
97 Si “êtres” est censé être un verbe, ne mettez pas la marque du pluriel. =>   * L'oeuf(egg):C'est grâce à cette structure que les aliens peuvent revivre, ils doivent être bien protégés, mais ils peuvent aussi êtres cachés dans toute la map pour permettre aux aliens, quand leur base est détruite, de gagner du temps pour la reconstruire tandis que les humains partent à la chasse aux oeufs | êtres => suggestions : ['être']
97 Mot inconnu : map =>   * L'oeuf(egg):C'est grâce à cette structure que les aliens peuvent revivre, ils doivent être bien protégés, mais ils peuvent aussi êtres cachés dans toute la map pour permettre aux aliens, quand leur base est détruite, de gagner du temps pour la reconstruire tandis que les humains partent à la chasse aux oeufs | map
97 Mot inconnu : oeufs =>   * L'oeuf(egg):C'est grâce à cette structure que les aliens peuvent revivre, ils doivent être bien protégés, mais ils peuvent aussi êtres cachés dans toute la map pour permettre aux aliens, quand leur base est détruite, de gagner du temps pour la reconstruire tandis que les humains partent à la chasse aux oeufs | oeufs

98 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * L'acid tube(disponible au stage 1):Il crache de l'acide sur tout humain qui passe à coté, ces dégâts sont réduits si l'humain passe très vite devant. |    => suggestions : ['']
98 Mot inconnu : acid =>   * L'acid tube(disponible au stage 1):Il crache de l'acide sur tout humain qui passe à coté, ces dégâts sont réduits si l'humain passe très vite devant. | acid
98 Il manque un espace avant la parenthèse. =>   * L'acid tube(disponible au stage 1):Il crache de l'acide sur tout humain qui passe à coté, ces dégâts sont réduits si l'humain passe très vite devant. | ( => suggestions : [' (']
98 Confusion : “coté” est le participe passé du verbe “coter”. =>   * L'acid tube(disponible au stage 1):Il crache de l'acide sur tout humain qui passe à coté, ces dégâts sont réduits si l'humain passe très vite devant. | coté => suggestions : ['côté', 'côtés']

99 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le trapper(disponible au stage 2):Bien placé, cela peut-être une arme défensive non négligeable,en effet, il immobilise toute personne qui passe dans son champ d'action et, si l'humain n'est pas équipé d'un Battlesuit, l'empêche de pivoter. Cette structure est à placer au plafond ou derrière un mur et peut être combinée avec un Hive ou un Acid Tube pour en plus infliger des dégâts à l'humain immobilisé  |    => suggestions : ['']
99 Il manque un espace avant la parenthèse. =>   * Le trapper(disponible au stage 2):Bien placé, cela peut-être une arme défensive non négligeable,en effet, il immobilise toute personne qui passe dans son champ d'action et, si l'humain n'est pas équipé d'un Battlesuit, l'empêche de pivoter. Cette structure est à placer au plafond ou derrière un mur et peut être combinée avec un Hive ou un Acid Tube pour en plus infliger des dégâts à l'humain immobilisé  | ( => suggestions : [' (']
99 Il manque un espace. =>   * Le trapper(disponible au stage 2):Bien placé, cela peut-être une arme défensive non négligeable,en effet, il immobilise toute personne qui passe dans son champ d'action et, si l'humain n'est pas équipé d'un Battlesuit, l'empêche de pivoter. Cette structure est à placer au plafond ou derrière un mur et peut être combinée avec un Hive ou un Acid Tube pour en plus infliger des dégâts à l'humain immobilisé  | en => suggestions : [' en']
99 Mot inconnu : Battlesuit =>   * Le trapper(disponible au stage 2):Bien placé, cela peut-être une arme défensive non négligeable,en effet, il immobilise toute personne qui passe dans son champ d'action et, si l'humain n'est pas équipé d'un Battlesuit, l'empêche de pivoter. Cette structure est à placer au plafond ou derrière un mur et peut être combinée avec un Hive ou un Acid Tube pour en plus infliger des dégâts à l'humain immobilisé  | battlesuit
99 Mot inconnu : Hive =>   * Le trapper(disponible au stage 2):Bien placé, cela peut-être une arme défensive non négligeable,en effet, il immobilise toute personne qui passe dans son champ d'action et, si l'humain n'est pas équipé d'un Battlesuit, l'empêche de pivoter. Cette structure est à placer au plafond ou derrière un mur et peut être combinée avec un Hive ou un Acid Tube pour en plus infliger des dégâts à l'humain immobilisé  | hive
99 Mot inconnu : Acid =>   * Le trapper(disponible au stage 2):Bien placé, cela peut-être une arme défensive non négligeable,en effet, il immobilise toute personne qui passe dans son champ d'action et, si l'humain n'est pas équipé d'un Battlesuit, l'empêche de pivoter. Cette structure est à placer au plafond ou derrière un mur et peut être combinée avec un Hive ou un Acid Tube pour en plus infliger des dégâts à l'humain immobilisé  | acid
99 Espace(s) en fin de ligne à supprimer. =>   * Le trapper(disponible au stage 2):Bien placé, cela peut-être une arme défensive non négligeable,en effet, il immobilise toute personne qui passe dans son champ d'action et, si l'humain n'est pas équipé d'un Battlesuit, l'empêche de pivoter. Cette structure est à placer au plafond ou derrière un mur et peut être combinée avec un Hive ou un Acid Tube pour en plus infliger des dégâts à l'humain immobilisé  |   => suggestions : ['']

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le booster(disponible au stage 2):Il permet de se soigner plus vite quand on est près de lui, et donne aux aliens un poison très efficace contre les humains car il agit après la morsure et qui inflige un total de 30 dégats, toutefois ce poison n'est pas actif face à un humain équipé d'un BattleSuit...Attention aussi à ne pas toucher un allié lorsque vous êtes passé sur un Booster, ce dernier ne pourra plus reprendre de vies tant qu'il sera empoisonné... |    => suggestions : ['']
100 Il manque un espace avant la parenthèse. =>   * Le booster(disponible au stage 2):Il permet de se soigner plus vite quand on est près de lui, et donne aux aliens un poison très efficace contre les humains car il agit après la morsure et qui inflige un total de 30 dégats, toutefois ce poison n'est pas actif face à un humain équipé d'un BattleSuit...Attention aussi à ne pas toucher un allié lorsque vous êtes passé sur un Booster, ce dernier ne pourra plus reprendre de vies tant qu'il sera empoisonné... | ( => suggestions : [' (']
100 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. =>   * Le booster(disponible au stage 2):Il permet de se soigner plus vite quand on est près de lui, et donne aux aliens un poison très efficace contre les humains car il agit après la morsure et qui inflige un total de 30 dégats, toutefois ce poison n'est pas actif face à un humain équipé d'un BattleSuit...Attention aussi à ne pas toucher un allié lorsque vous êtes passé sur un Booster, ce dernier ne pourra plus reprendre de vies tant qu'il sera empoisonné... |  car => suggestions : [', car']
100 Mot inconnu : dégats =>   * Le booster(disponible au stage 2):Il permet de se soigner plus vite quand on est près de lui, et donne aux aliens un poison très efficace contre les humains car il agit après la morsure et qui inflige un total de 30 dégats, toutefois ce poison n'est pas actif face à un humain équipé d'un BattleSuit...Attention aussi à ne pas toucher un allié lorsque vous êtes passé sur un Booster, ce dernier ne pourra plus reprendre de vies tant qu'il sera empoisonné... | dégats
100 Mot inconnu : BattleSuit =>   * Le booster(disponible au stage 2):Il permet de se soigner plus vite quand on est près de lui, et donne aux aliens un poison très efficace contre les humains car il agit après la morsure et qui inflige un total de 30 dégats, toutefois ce poison n'est pas actif face à un humain équipé d'un BattleSuit...Attention aussi à ne pas toucher un allié lorsque vous êtes passé sur un Booster, ce dernier ne pourra plus reprendre de vies tant qu'il sera empoisonné... | battlesuit
100 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Le booster(disponible au stage 2):Il permet de se soigner plus vite quand on est près de lui, et donne aux aliens un poison très efficace contre les humains car il agit après la morsure et qui inflige un total de 30 dégats, toutefois ce poison n'est pas actif face à un humain équipé d'un BattleSuit...Attention aussi à ne pas toucher un allié lorsque vous êtes passé sur un Booster, ce dernier ne pourra plus reprendre de vies tant qu'il sera empoisonné... | ... => suggestions : ['…']
100 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Le booster(disponible au stage 2):Il permet de se soigner plus vite quand on est près de lui, et donne aux aliens un poison très efficace contre les humains car il agit après la morsure et qui inflige un total de 30 dégats, toutefois ce poison n'est pas actif face à un humain équipé d'un BattleSuit...Attention aussi à ne pas toucher un allié lorsque vous êtes passé sur un Booster, ce dernier ne pourra plus reprendre de vies tant qu'il sera empoisonné... | ... => suggestions : ['…']

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * L'hovel(disponible au stage 3):C'est à la base un endroit unique pouvant accueillir un granger(constructeur) pour se cacher, mais il est très résistant et de plus en plus de gens l'utilisent pour bloquer l'accès aux humains. |    => suggestions : ['']
101 Mot inconnu : hovel =>   * L'hovel(disponible au stage 3):C'est à la base un endroit unique pouvant accueillir un granger(constructeur) pour se cacher, mais il est très résistant et de plus en plus de gens l'utilisent pour bloquer l'accès aux humains. | hovel
101 Il manque un espace avant la parenthèse. =>   * L'hovel(disponible au stage 3):C'est à la base un endroit unique pouvant accueillir un granger(constructeur) pour se cacher, mais il est très résistant et de plus en plus de gens l'utilisent pour bloquer l'accès aux humains. | ( => suggestions : [' (']
101 Mot inconnu : granger =>   * L'hovel(disponible au stage 3):C'est à la base un endroit unique pouvant accueillir un granger(constructeur) pour se cacher, mais il est très résistant et de plus en plus de gens l'utilisent pour bloquer l'accès aux humains. | granger
101 Il manque un espace avant la parenthèse. =>   * L'hovel(disponible au stage 3):C'est à la base un endroit unique pouvant accueillir un granger(constructeur) pour se cacher, mais il est très résistant et de plus en plus de gens l'utilisent pour bloquer l'accès aux humains. | ( => suggestions : [' (']

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le hive(disponible au stage 3):C'est une sorte de ruche qui contient des insectes qui poursuivent le petit humain malchanceux qui passe à coté :) |    => suggestions : ['']
102 Mot inconnu : hive =>   * Le hive(disponible au stage 3):C'est une sorte de ruche qui contient des insectes qui poursuivent le petit humain malchanceux qui passe à coté :) | hive
102 Il manque un espace avant la parenthèse. =>   * Le hive(disponible au stage 3):C'est une sorte de ruche qui contient des insectes qui poursuivent le petit humain malchanceux qui passe à coté :) | ( => suggestions : [' (']
102 Confusion : “coté” est le participe passé du verbe “coter”. =>   * Le hive(disponible au stage 3):C'est une sorte de ruche qui contient des insectes qui poursuivent le petit humain malchanceux qui passe à coté :) | coté => suggestions : ['côté', 'côtés']

105 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A noter que les humains sont ralentis lorsque ils marchent sur les racines d'une structure alien... | a => suggestions : ['À']
105 Typographie : points de suspension. Utilisez le caractère dédié. => A noter que les humains sont ralentis lorsque ils marchent sur les racines d'une structure alien... | ... => suggestions : ['…']

109 Mot inconnu : jetpacks => Les humains reçoivent des crédits qui leur permettent d'acheter des armes, des armures et des jetpacks. Pour obtenir des crédits il faudra infliger des dégâts à un alien. | jetpacks

110 Guillemets typographiques ouvrants. => Pour faire ses achats il faut se rendre vers un gros bloc vert (l'armurerie) et appuyer sur la touche "utiliser une infrastructure". Pour les armes, il faut d'abord vendre celles que l'on possède. | " => suggestions : ['«\xa0', '“']
110 Guillemets typographiques fermants. => Pour faire ses achats il faut se rendre vers un gros bloc vert (l'armurerie) et appuyer sur la touche "utiliser une infrastructure". Pour les armes, il faut d'abord vendre celles que l'on possède. | " => suggestions : ['\xa0»', '”']

112 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

115 Accord erroné : “humains” et “dépendant” ne sont pas accordés. Mettez au pluriel. => Bien que les humains soient très dépendant de leur base (pas de régénération comme les aliens, besoin de reprendre des munitions), ils peuvent faire des attaques très efficaces, leur force réside beaucoup dans l'attaque groupé. Il est important de sortir en groupe pour survivre et tuer des aliens. | dépendant => suggestions : ['dépendants']

119 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>            *Blaster : C'est l'arme du dernier recours. Il vous est impossible de la revendre. Cette arme tire des projectiles à faible vélocité et a des dégâts peu importants ainsi qu'une faible cadence de tir. Elle n'as pas besoin d'être rechargée. |             => suggestions : ['']
119 Conjugaison erronée. Accord avec “Elle”. Le verbe devrait être à la 3ᵉ personne du singulier. =>            *Blaster : C'est l'arme du dernier recours. Il vous est impossible de la revendre. Cette arme tire des projectiles à faible vélocité et a des dégâts peu importants ainsi qu'une faible cadence de tir. Elle n'as pas besoin d'être rechargée. | as => suggestions : ['a']

121 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>            *Rifle : L'arme de base, vous apparaissez avec. Elle a une cadence de tir assez élevée et des dégâts corrects. Les balles touchent instantanément l'endroit visé.A 6 chargeurs de 30 balles chacun. |             => suggestions : ['']

123 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>            *Painsaw : Une tronçonneuse électrique. N'as pas de munition et inflige des dégâts au corps à corps. Elle est très utile contre les bâtiments.Coûte 100 de crédits, disponible au stage 1. |             => suggestions : ['']
123 Mot inconnu : Painsaw =>            *Painsaw : Une tronçonneuse électrique. N'as pas de munition et inflige des dégâts au corps à corps. Elle est très utile contre les bâtiments.Coûte 100 de crédits, disponible au stage 1. | painsaw
123 Incohérence. Ceci est un verbe à la 2ᵉ personne du singulier. Sujet (“tu” ou “toi qui”) introuvable. =>            *Painsaw : Une tronçonneuse électrique. N'as pas de munition et inflige des dégâts au corps à corps. Elle est très utile contre les bâtiments.Coûte 100 de crédits, disponible au stage 1. | as => suggestions : ['a']
123 Il manque un espace. =>            *Painsaw : Une tronçonneuse électrique. N'as pas de munition et inflige des dégâts au corps à corps. Elle est très utile contre les bâtiments.Coûte 100 de crédits, disponible au stage 1. | coûte => suggestions : [' Coûte']

125 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>            *Shotgun : Fusil à pompe.une cadence de tir assez faible mais de lourds dégats à faible portée.A longue portée l' arme est presque inutile sur les petits aliens tant le rayon de dispersion est grand. ( Coûte 150 crédits, disponible au stage 1). |             => suggestions : ['']
125 Mot inconnu : Shotgun =>            *Shotgun : Fusil à pompe.une cadence de tir assez faible mais de lourds dégats à faible portée.A longue portée l' arme est presque inutile sur les petits aliens tant le rayon de dispersion est grand. ( Coûte 150 crédits, disponible au stage 1). | shotgun
125 Il manque un espace. =>            *Shotgun : Fusil à pompe.une cadence de tir assez faible mais de lourds dégats à faible portée.A longue portée l' arme est presque inutile sur les petits aliens tant le rayon de dispersion est grand. ( Coûte 150 crédits, disponible au stage 1). | une => suggestions : [' une']
125 Mot inconnu : dégats =>            *Shotgun : Fusil à pompe.une cadence de tir assez faible mais de lourds dégats à faible portée.A longue portée l' arme est presque inutile sur les petits aliens tant le rayon de dispersion est grand. ( Coûte 150 crédits, disponible au stage 1). | dégats
125 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Pour la préposition, écrivez “à”. =>            *Shotgun : Fusil à pompe.une cadence de tir assez faible mais de lourds dégats à faible portée.A longue portée l' arme est presque inutile sur les petits aliens tant le rayon de dispersion est grand. ( Coûte 150 crédits, disponible au stage 1). | a => suggestions : ['À']
125 Apostrophe incorrecte. =>            *Shotgun : Fusil à pompe.une cadence de tir assez faible mais de lourds dégats à faible portée.A longue portée l' arme est presque inutile sur les petits aliens tant le rayon de dispersion est grand. ( Coûte 150 crédits, disponible au stage 1). | l'  => suggestions : ['l’']
125 Guillemets typographiques fermants. =>            *Shotgun : Fusil à pompe.une cadence de tir assez faible mais de lourds dégats à faible portée.A longue portée l' arme est presque inutile sur les petits aliens tant le rayon de dispersion est grand. ( Coûte 150 crédits, disponible au stage 1). | ' => suggestions : ['”', '’', '›']
