
5 Mot inconnu : Dropbox => ======Utiliser Dropbox sous Ubuntu===== | dropbox
124 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Téléchargez la version DropBox correspondant à votre architecture : |  -  => suggestions : [' – ', ' — ', ' − ']
124 Mot inconnu : DropBox =>   - Téléchargez la version DropBox correspondant à votre architecture : | dropbox

128 Mot inconnu : dropbox-dist => Ces commandes téléchargent la version, la décompressent, et la mettent dans le dossier caché ~/.dropbox-dist/ | dropbox-dist

129 Mot inconnu : dropboxd => Il suffit alors de se rendre dans ce dossier et de lancer le fichier dropboxd. | dropboxd

131 Mot inconnu : connecting => ==== Trouble connecting to Dropbox servers | Autre solution ==== | connecting
131 Mot inconnu : to => ==== Trouble connecting to Dropbox servers | Autre solution ==== | to
131 Mot inconnu : Dropbox => ==== Trouble connecting to Dropbox servers | Autre solution ==== | dropbox
131 Mot inconnu : servers => ==== Trouble connecting to Dropbox servers | Autre solution ==== | servers

132 Typographie : points de suspension. Utilisez le caractère dédié. => La méthode précédente n'a pas fonctionné dans mon cas. En effet, j'ai accès uniquement au web par le proxy et il ne veut pas mieux le télécharger via le terminal... | ... => suggestions : ['…']

133 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Il faut désinstaller dropbox via la logithèque. |    => suggestions : ['']
133 Mot inconnu : dropbox =>   * Il faut désinstaller dropbox via la logithèque. | dropbox

134 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Faire la manipulation précédente via firefox et non le terminal... C'est-à-dire: |    => suggestions : ['']
134 Mot inconnu : firefox =>   * Faire la manipulation précédente via firefox et non le terminal... C'est-à-dire: | firefox
134 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Faire la manipulation précédente via firefox et non le terminal... C'est-à-dire: | ... => suggestions : ['…']

135 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Téléchargez: https://www.dropbox.com/download?plat=lnx.x86 ou https://www.dropbox.com/download?plat=lnx.x86_64 via firefox avec les paramètres proxy renseignés. |    => suggestions : ['']
135 Mot inconnu : firefox =>   * Téléchargez: https://www.dropbox.com/download?plat=lnx.x86 ou https://www.dropbox.com/download?plat=lnx.x86_64 via firefox avec les paramètres proxy renseignés. | firefox

136 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Décompressez le fichier via nautilus. |    => suggestions : ['']
136 Mot inconnu : nautilus =>   * Décompressez le fichier via nautilus. | nautilus

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Déplacez le dossier décompressé dans votre dossier personnel (attention c'est un dossier caché.. faire ctrl+H dans nautilus pour montrer les dossiers cachés) |    => suggestions : ['']
137 Typographie : un ou trois points ? =>   * Déplacez le dossier décompressé dans votre dossier personnel (attention c'est un dossier caché.. faire ctrl+H dans nautilus pour montrer les dossiers cachés) | .. => suggestions : ['…', '.']
137 Mot inconnu : ctrl =>   * Déplacez le dossier décompressé dans votre dossier personnel (attention c'est un dossier caché.. faire ctrl+H dans nautilus pour montrer les dossiers cachés) | ctrl
137 Mot inconnu : nautilus =>   * Déplacez le dossier décompressé dans votre dossier personnel (attention c'est un dossier caché.. faire ctrl+H dans nautilus pour montrer les dossiers cachés) | nautilus

138 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Télécharger le *.deb correspondant sur le site dropbox (via firefox avec les paramètres proxy renseignés) |    => suggestions : ['']
138 Mot inconnu : deb =>   * Télécharger le *.deb correspondant sur le site dropbox (via firefox avec les paramètres proxy renseignés) | deb
138 Mot inconnu : dropbox =>   * Télécharger le *.deb correspondant sur le site dropbox (via firefox avec les paramètres proxy renseignés) | dropbox
138 Mot inconnu : firefox =>   * Télécharger le *.deb correspondant sur le site dropbox (via firefox avec les paramètres proxy renseignés) | firefox

139 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Installez le *.deb |    => suggestions : ['']
139 S’il s’agit d’un impératif, mettez un trait d’union. =>   * Installez le *.deb | installez le => suggestions : ['Installez-le']
139 Mot inconnu : deb =>   * Installez le *.deb | deb

140 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ensuite, l'icône dropbox apparaît sinon faire dans un terminal: dropbox start |    => suggestions : ['']
140 Mot inconnu : dropbox =>   * Ensuite, l'icône dropbox apparaît sinon faire dans un terminal: dropbox start | dropbox
140 Mot inconnu : dropbox =>   * Ensuite, l'icône dropbox apparaît sinon faire dans un terminal: dropbox start | dropbox
140 Mot inconnu : start =>   * Ensuite, l'icône dropbox apparaît sinon faire dans un terminal: dropbox start | start

141 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Clic droit sur cet icône, puis modifier les paramètres proxy. |    => suggestions : ['']
141 Accord de genre erroné : « icône » est féminin. =>   * Clic droit sur cet icône, puis modifier les paramètres proxy. | cet => suggestions : ['cette']

142 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Puis c'est comme d'habitude :) |    => suggestions : ['']

146 Mot inconnu : Dropbox => Dropbox peut bloquer ou consommer toutes les ressources du processeur si on utilise des liens. Solution alternative : ??? | dropbox

150 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[fr]** [[dropbox|La page principale de Dropbox]] |    => suggestions : ['']
150 Mot inconnu : dropbox =>   * **[fr]** [[dropbox|La page principale de Dropbox]] | dropbox
150 Mot inconnu : Dropbox =>   * **[fr]** [[dropbox|La page principale de Dropbox]] | dropbox

151 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[fr]** [[cloud|Cloud, stockage de fichiers]] |    => suggestions : ['']

152 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[fr]** [[bittorrentsync|BitTorrent Sync]] :Synchronisation local & Internet, Crypté AES-256, Sans limitation, Gratuit |    => suggestions : ['']
152 Mot inconnu : bittorrentsync =>   * **[fr]** [[bittorrentsync|BitTorrent Sync]] :Synchronisation local & Internet, Crypté AES-256, Sans limitation, Gratuit | bittorrentsync
152 Mot inconnu : BitTorrent =>   * **[fr]** [[bittorrentsync|BitTorrent Sync]] :Synchronisation local & Internet, Crypté AES-256, Sans limitation, Gratuit | bittorrent
152 Mot inconnu : Sync =>   * **[fr]** [[bittorrentsync|BitTorrent Sync]] :Synchronisation local & Internet, Crypté AES-256, Sans limitation, Gratuit | sync
152 Mot inconnu : AES-256 =>   * **[fr]** [[bittorrentsync|BitTorrent Sync]] :Synchronisation local & Internet, Crypté AES-256, Sans limitation, Gratuit | aes-256

153 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[en]** [[http://www.dropbox.com|Site officiel de DropBox]] |    => suggestions : ['']
153 Mot inconnu : DropBox =>   * **[en]** [[http://www.dropbox.com|Site officiel de DropBox]] | dropbox

154 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[en]** [[https://www.dropbox.com/faq | Foire aux questions de DropBox]] |    => suggestions : ['']
154 Mot inconnu : DropBox =>   * **[en]** [[https://www.dropbox.com/faq | Foire aux questions de DropBox]] | dropbox

155 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[en]** [[http://sparkleshare.org/|SparkleShare]] : alternative libre à Dropbox , en développement |    => suggestions : ['']
155 Mot inconnu : Dropbox =>   * **[en]** [[http://sparkleshare.org/|SparkleShare]] : alternative libre à Dropbox , en développement | dropbox
155 Pas d’espace avant une virgule. =>   * **[en]** [[http://sparkleshare.org/|SparkleShare]] : alternative libre à Dropbox , en développement |  , => suggestions : [',']
