
5 Mot inconnu : Amarok => ====== Lecteur Amarok ====== | amarok
184 Mot inconnu : volumemax => while [ "$volume" -lt "$volumemax" ]; do	#Début de boucle : Tant que volume <= volumemax | volumemax
184 Guillemets typographiques fermants. => while [ "$volume" -lt "$volumemax" ]; do	#Début de boucle : Tant que volume <= volumemax | " => suggestions : ['\xa0»', '”']
184 Pas d’espace avant ce signe. => while [ "$volume" -lt "$volumemax" ]; do	#Début de boucle : Tant que volume <= volumemax |  ] => suggestions : [']']
184 Signe “inférieur ou égal”. => while [ "$volume" -lt "$volumemax" ]; do	#Début de boucle : Tant que volume <= volumemax | <= => suggestions : ['≤', '⩽']
184 Mot inconnu : volumemax => while [ "$volume" -lt "$volumemax" ]; do	#Début de boucle : Tant que volume <= volumemax | volumemax

185 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   dcop kmix Mixer0 setVolume 0 $volume		#Le volume de Kmix prend la valeur de $volume (la variable) |    => suggestions : ['']
185 Mot inconnu : dcop =>   dcop kmix Mixer0 setVolume 0 $volume		#Le volume de Kmix prend la valeur de $volume (la variable) | dcop
185 Mot inconnu : kmix =>   dcop kmix Mixer0 setVolume 0 $volume		#Le volume de Kmix prend la valeur de $volume (la variable) | kmix
185 Mot inconnu : Mixer0 =>   dcop kmix Mixer0 setVolume 0 $volume		#Le volume de Kmix prend la valeur de $volume (la variable) | mixer0
185 Mot inconnu : setVolume =>   dcop kmix Mixer0 setVolume 0 $volume		#Le volume de Kmix prend la valeur de $volume (la variable) | setvolume
185 Mot inconnu : Kmix =>   dcop kmix Mixer0 setVolume 0 $volume		#Le volume de Kmix prend la valeur de $volume (la variable) | kmix

186 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   volume=$(expr $volume + 5)     			#Incrémentez la variable $volume de +5 |    => suggestions : ['']
186 Mot inconnu : expr =>   volume=$(expr $volume + 5)     			#Incrémentez la variable $volume de +5 | expr
186 Incohérence : espace et tabulation. =>   volume=$(expr $volume + 5)     			#Incrémentez la variable $volume de +5 |  	 => suggestions : [' ', '\t']

187 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sleep 15					#Attendre 15 secondes |    => suggestions : ['']
187 Mot inconnu : sleep =>   sleep 15					#Attendre 15 secondes | sleep

188 Mot inconnu : done => done 						#Fin de boucle | done
188 Incohérence : espace et tabulation. => done 						#Fin de boucle |  	 => suggestions : [' ', '\t']

189 Mot inconnu : dcop => dcop kmix Mixer0 setVolume 0 $volumemax 		#Mettre le volume au maximum</file> | dcop
189 Mot inconnu : kmix => dcop kmix Mixer0 setVolume 0 $volumemax 		#Mettre le volume au maximum</file> | kmix
189 Mot inconnu : Mixer0 => dcop kmix Mixer0 setVolume 0 $volumemax 		#Mettre le volume au maximum</file> | mixer0
189 Mot inconnu : setVolume => dcop kmix Mixer0 setVolume 0 $volumemax 		#Mettre le volume au maximum</file> | setvolume
189 Mot inconnu : volumemax => dcop kmix Mixer0 setVolume 0 $volumemax 		#Mettre le volume au maximum</file> | volumemax
189 Incohérence : espace et tabulation. => dcop kmix Mixer0 setVolume 0 $volumemax 		#Mettre le volume au maximum</file> |  	 => suggestions : [' ', '\t']

190 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vous pouvez changer la durée de la montée progressive en diminuant le nombre après //sleep// (qui est exprimé en secondes, ici, le volume met 5 minutes pour arriver au maximum). Vous pouvez modifier le volume maximum en changeant la valeur de $volumemax (minimum 1, maximum 100) |    => suggestions : ['']
190 Mot inconnu : sleep =>   * Vous pouvez changer la durée de la montée progressive en diminuant le nombre après //sleep// (qui est exprimé en secondes, ici, le volume met 5 minutes pour arriver au maximum). Vous pouvez modifier le volume maximum en changeant la valeur de $volumemax (minimum 1, maximum 100) | sleep
190 Mot inconnu : volumemax =>   * Vous pouvez changer la durée de la montée progressive en diminuant le nombre après //sleep// (qui est exprimé en secondes, ici, le volume met 5 minutes pour arriver au maximum). Vous pouvez modifier le volume maximum en changeant la valeur de $volumemax (minimum 1, maximum 100) | volumemax

191 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Il n'est pas nécessaire de garder Amarok ouvert. Il faudra juste laisser les fichiers que vous voudrez entendre en vous levant dans la liste de lecture d'Amarok. En revanche, veillez à ce que KAlarm et KMix soient ouverts, ainsi que vos haut-parleurs :D |    => suggestions : ['']
191 Mot inconnu : Amarok =>   * Il n'est pas nécessaire de garder Amarok ouvert. Il faudra juste laisser les fichiers que vous voudrez entendre en vous levant dans la liste de lecture d'Amarok. En revanche, veillez à ce que KAlarm et KMix soient ouverts, ainsi que vos haut-parleurs :D | amarok
191 Mot inconnu : Amarok =>   * Il n'est pas nécessaire de garder Amarok ouvert. Il faudra juste laisser les fichiers que vous voudrez entendre en vous levant dans la liste de lecture d'Amarok. En revanche, veillez à ce que KAlarm et KMix soient ouverts, ainsi que vos haut-parleurs :D | amarok
191 Mot inconnu : KAlarm =>   * Il n'est pas nécessaire de garder Amarok ouvert. Il faudra juste laisser les fichiers que vous voudrez entendre en vous levant dans la liste de lecture d'Amarok. En revanche, veillez à ce que KAlarm et KMix soient ouverts, ainsi que vos haut-parleurs :D | kalarm
191 Mot inconnu : KMix =>   * Il n'est pas nécessaire de garder Amarok ouvert. Il faudra juste laisser les fichiers que vous voudrez entendre en vous levant dans la liste de lecture d'Amarok. En revanche, veillez à ce que KAlarm et KMix soient ouverts, ainsi que vos haut-parleurs :D | kmix

192 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pensez à tester le script en cliquant sur //Essayer//, histoire de ne pas avoir de mauvaise surprise. |    => suggestions : ['']

197 Mot inconnu : iTune => Ensuite, allez dans l'onglet collection, cliquez sur la prise qui se trouve à droite du panneau latéral. Et voilà, votre collection est à la disposition de toutes les personnes se trouvant sur votre réseau et qui utilisent un logiciel compatible (iTune, Listen ..). | itune
197 Mot inconnu : Listen => Ensuite, allez dans l'onglet collection, cliquez sur la prise qui se trouve à droite du panneau latéral. Et voilà, votre collection est à la disposition de toutes les personnes se trouvant sur votre réseau et qui utilisent un logiciel compatible (iTune, Listen ..). | listen
197 Typographie : un ou trois points ? => Ensuite, allez dans l'onglet collection, cliquez sur la prise qui se trouve à droite du panneau latéral. Et voilà, votre collection est à la disposition de toutes les personnes se trouvant sur votre réseau et qui utilisent un logiciel compatible (iTune, Listen ..). | .. => suggestions : ['…', '.']

198 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

199 Mot inconnu : android => ==== Utilisation d'un ordiphone android comme télécommande ==== | android

200 Mot inconnu : Possibiliteé => Possibiliteé d'utiliser un smartphone android comme télécommande. Voir le lien suivant [[https://play.google.com/store/apps/details?id=com.mv2studio.amarok.kontrol.free]] | possibiliteé
200 Mot inconnu : android => Possibiliteé d'utiliser un smartphone android comme télécommande. Voir le lien suivant [[https://play.google.com/store/apps/details?id=com.mv2studio.amarok.kontrol.free]] | android

202 Mot inconnu : iPod => ==== Utilisation d'un iPod ou d'un iPhone ==== | ipod
202 Mot inconnu : iPhone => ==== Utilisation d'un iPod ou d'un iPhone ==== | iphone

219 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://amarok.kde.org/fr|Site officiel]] |    => suggestions : ['']

220 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://community.kde.org/Amarok|Documentation officielle]] |    => suggestions : ['']

221 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[https://docs.kde.org/development/fr/extragear-multimedia/amarok/|Manuel français]]   |    => suggestions : ['']
221 Espace(s) en fin de ligne à supprimer. =>   * **(fr)** [[https://docs.kde.org/development/fr/extragear-multimedia/amarok/|Manuel français]]   |    => suggestions : ['']

222 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://kde-apps.org/index.php?xcontentmode=57|Scripts et thèmes]] |    => suggestions : ['']

223 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le groupe [[http://www.last.fm/group/amaroK%2Busers|Amarok Users]] sur le site Last.fm  |    => suggestions : ['']
223 Mot inconnu : Amarok =>   * Le groupe [[http://www.last.fm/group/amaroK%2Busers|Amarok Users]] sur le site Last.fm  | amarok
223 Mot inconnu : Users =>   * Le groupe [[http://www.last.fm/group/amaroK%2Busers|Amarok Users]] sur le site Last.fm  | users
223 Mot inconnu : Last =>   * Le groupe [[http://www.last.fm/group/amaroK%2Busers|Amarok Users]] sur le site Last.fm  | last
223 Il manque un espace. =>   * Le groupe [[http://www.last.fm/group/amaroK%2Busers|Amarok Users]] sur le site Last.fm  | fm => suggestions : [' fm']
223 Espace(s) en fin de ligne à supprimer. =>   * Le groupe [[http://www.last.fm/group/amaroK%2Busers|Amarok Users]] sur le site Last.fm  |   => suggestions : ['']
227 Mot inconnu : Fluttaz => //Contributeurs principaux : [[utilisateurs:Redgolum]], [[utilisateurs:Theozzfancometh]], [[utilisateurs:TaChiTsu]], Romain Fluttaz.// | fluttaz
