
6 Mot inconnu : Glade => ====== Glade : la ligne de code ouvre les fenêtres ====== | glade
102 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => N’oubliez pas surtout de regarder tous les autres fichiers pour comprendre le code et tous les appels de méthodes. Et normalement, après compilation (via le script Ant), Il ne reste qu’à dézipper le fichier .zip généré, donner les droits d’exécution au script shell et le lancer (on peut aussi utiliser le Run de Eclipse). Après tout ceci, on obtient notre joli générateur de mot de passe sans aucun problème. |  . => suggestions : ['. ', '.']
102 Mot inconnu : Run => N’oubliez pas surtout de regarder tous les autres fichiers pour comprendre le code et tous les appels de méthodes. Et normalement, après compilation (via le script Ant), Il ne reste qu’à dézipper le fichier .zip généré, donner les droits d’exécution au script shell et le lancer (on peut aussi utiliser le Run de Eclipse). Après tout ceci, on obtient notre joli générateur de mot de passe sans aucun problème. | run

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://daniel.coquette.free.fr/dotclear/index.php/post/2006/12/11/Creer-des-interfaces-graphique-avec-PyGTK-et-Glade|Créer des interfaces avec Pygtk]], |    => suggestions : ['']
108 Mot inconnu : Pygtk =>   * [[http://daniel.coquette.free.fr/dotclear/index.php/post/2006/12/11/Creer-des-interfaces-graphique-avec-PyGTK-et-Glade|Créer des interfaces avec Pygtk]], | pygtk

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://daniel.coquette.free.fr/dotclear/index.php/post/2006/12/18/Construire-une-application-avec-PyGTK-et-Glade|Construire une application avec-PyGTK et Glade]], |    => suggestions : ['']
109 Mot inconnu : avec-PyGTK =>   * [[http://daniel.coquette.free.fr/dotclear/index.php/post/2006/12/18/Construire-une-application-avec-PyGTK-et-Glade|Construire une application avec-PyGTK et Glade]], | avec-pygtk
109 Mot inconnu : Glade =>   * [[http://daniel.coquette.free.fr/dotclear/index.php/post/2006/12/18/Construire-une-application-avec-PyGTK-et-Glade|Construire une application avec-PyGTK et Glade]], | glade

110 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://python-gtk-3-tutorial.readthedocs.io/en/latest/builder.html|Créer une interface avec Glade et l'utiliser en python]] (en) |    => suggestions : ['']
110 Mot inconnu : Glade =>   * [[https://python-gtk-3-tutorial.readthedocs.io/en/latest/builder.html|Créer une interface avec Glade et l'utiliser en python]] (en) | glade

111 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://openclassrooms.com/courses/pygtk/glade|Glade sur openclassrooms]], |    => suggestions : ['']
111 Mot inconnu : Glade =>   * [[https://openclassrooms.com/courses/pygtk/glade|Glade sur openclassrooms]], | glade
111 Mot inconnu : openclassrooms =>   * [[https://openclassrooms.com/courses/pygtk/glade|Glade sur openclassrooms]], | openclassrooms

112 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://wiki.gnome.org/Apps/Glade/Tutorials|Documentation officielle]] sur le [[http://glade.gnome.org/|site officiel]] (en). |    => suggestions : ['']
