
3 Mot inconnu : Photoshop => ====== Adobe Photoshop====== | photoshop
150 Mot inconnu : Photoshop => Après installation, Photoshop CS4 s'exécute avec le fichier //Photoshop.exe//. | photoshop
150 Mot inconnu : exe => Après installation, Photoshop CS4 s'exécute avec le fichier //Photoshop.exe//. | exe

152 Mot inconnu : dll => Il se peut que vous ayez un souci dû à des fichiers dll manquants. Vous pouvez les recherchez sur http://www.fichier-dll.fr : | dll
152 S’il s’agit d’une action que le sujet peut accomplir, le verbe devrait être à l’infinitif. => Il se peut que vous ayez un souci dû à des fichiers dll manquants. Vous pouvez les recherchez sur http://www.fichier-dll.fr : | recherchez => suggestions : ['rechercher']

154 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * gdiplus.dll ; |    => suggestions : ['']
154 Mot inconnu : gdiplus =>   * gdiplus.dll ; | gdiplus
154 Mot inconnu : dll =>   * gdiplus.dll ; | dll

155 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * glu32.dll ; |    => suggestions : ['']
155 Mot inconnu : glu32 =>   * glu32.dll ; | glu32
155 Mot inconnu : dll =>   * glu32.dll ; | dll

156 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * msvcp80.dll ; |    => suggestions : ['']
156 Mot inconnu : msvcp80 =>   * msvcp80.dll ; | msvcp80
156 Mot inconnu : dll =>   * msvcp80.dll ; | dll

157 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * msvcr80.dll ; |    => suggestions : ['']
157 Mot inconnu : msvcr80 =>   * msvcr80.dll ; | msvcr80
157 Mot inconnu : dll =>   * msvcr80.dll ; | dll

158 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * opengl32.dll. |    => suggestions : ['']
158 Mot inconnu : opengl32 =>   * opengl32.dll. | opengl32
158 Mot inconnu : dll =>   * opengl32.dll. | dll

160 Mot inconnu : Photoshop => Après téléchargement, placez les dans le dossier contenant l'exécutable //Photoshop.exe//. Plus d'informations dans le tutoriel de [[http://www.pc-kc.fr/tutos/yes-wine-can|pc-kc.fr]]. | photoshop
160 Mot inconnu : exe => Après téléchargement, placez les dans le dossier contenant l'exécutable //Photoshop.exe//. Plus d'informations dans le tutoriel de [[http://www.pc-kc.fr/tutos/yes-wine-can|pc-kc.fr]]. | exe
160 Mot inconnu : pc-kc => Après téléchargement, placez les dans le dossier contenant l'exécutable //Photoshop.exe//. Plus d'informations dans le tutoriel de [[http://www.pc-kc.fr/tutos/yes-wine-can|pc-kc.fr]]. | pc-kc

162 Mot inconnu : Photoshop => Sur certaines versions de Photoshop CS4 portable, il se peut que vous ayez un souci avec l'outil Texte qui fait crasher l'application :  | photoshop
162 Mot inconnu : CS4 => Sur certaines versions de Photoshop CS4 portable, il se peut que vous ayez un souci avec l'outil Texte qui fait crasher l'application :  | cs4
162 Espace(s) en fin de ligne à supprimer. => Sur certaines versions de Photoshop CS4 portable, il se peut que vous ayez un souci avec l'outil Texte qui fait crasher l'application :  |   => suggestions : ['']

163 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Téléchargez le fichier //atmlib.dll// sur http://www.fichier-dll.fr ; |    => suggestions : ['']
163 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Téléchargez le fichier //atmlib.dll// sur http://www.fichier-dll.fr ; |  -  => suggestions : [' – ', ' — ', ' − ']
163 Mot inconnu : atmlib =>   - Téléchargez le fichier //atmlib.dll// sur http://www.fichier-dll.fr ; | atmlib
163 Mot inconnu : dll =>   - Téléchargez le fichier //atmlib.dll// sur http://www.fichier-dll.fr ; | dll

164 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Placez-le dans le dossier //windows/systeme3//2 de Wine. |    => suggestions : ['']
164 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Placez-le dans le dossier //windows/systeme3//2 de Wine. |  -  => suggestions : [' – ', ' — ', ' − ']
164 Mot inconnu : systeme3 =>   - Placez-le dans le dossier //windows/systeme3//2 de Wine. | systeme3
164 Mot inconnu : Wine =>   - Placez-le dans le dossier //windows/systeme3//2 de Wine. | wine

166 Mot inconnu : CS2 => Ce problème avec l'outil texte est également connu avec la CS2 et se règle de la même façon.  | cs2
166 Espace(s) en fin de ligne à supprimer. => Ce problème avec l'outil texte est également connu avec la CS2 et se règle de la même façon.  |   => suggestions : ['']

171 Mot inconnu : Photohop => Si certaines polices des menus sont floues, dans Photohop :  | photohop
171 Espace(s) en fin de ligne à supprimer. => Si certaines polices des menus sont floues, dans Photohop :  |   => suggestions : ['']

172 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Allez dans le menu //Édition → Préférences→ **Interface**// ; |    => suggestions : ['']
172 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Allez dans le menu //Édition → Préférences→ **Interface**// ; |  -  => suggestions : [' – ', ' — ', ' − ']

173 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Passez le champ //**Corps de la police de l'interface utilisateur**// de "Petit" à "Moyen" ; |    => suggestions : ['']
173 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Passez le champ //**Corps de la police de l'interface utilisateur**// de "Petit" à "Moyen" ; |  -  => suggestions : [' – ', ' — ', ' − ']
173 Guillemets typographiques ouvrants. =>   - Passez le champ //**Corps de la police de l'interface utilisateur**// de "Petit" à "Moyen" ; | " => suggestions : ['«\xa0', '“']
173 Guillemets typographiques fermants. =>   - Passez le champ //**Corps de la police de l'interface utilisateur**// de "Petit" à "Moyen" ; | " => suggestions : ['\xa0»', '”']
173 Guillemets typographiques ouvrants. =>   - Passez le champ //**Corps de la police de l'interface utilisateur**// de "Petit" à "Moyen" ; | " => suggestions : ['«\xa0', '“']
173 Guillemets typographiques fermants. =>   - Passez le champ //**Corps de la police de l'interface utilisateur**// de "Petit" à "Moyen" ; | " => suggestions : ['\xa0»', '”']

174 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Redémarrer Photoshop pour que la modification soit effective. |    => suggestions : ['']
174 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Redémarrer Photoshop pour que la modification soit effective. |  -  => suggestions : [' – ', ' — ', ' − ']
174 Mot inconnu : Photoshop =>   - Redémarrer Photoshop pour que la modification soit effective. | photoshop

175 Mot inconnu : Photoshop => ===== Photoshop CS5 ===== | photoshop
175 Mot inconnu : CS5 => ===== Photoshop CS5 ===== | cs5

177 Mot inconnu : database => Cette partie est inspirée du tutoriel en anglais de la [[https://appdb.winehq.org/objectManager.php?sClass=version&iId=20158&iTestingId=53654|database de Wine]]. | database
177 Mot inconnu : Wine => Cette partie est inspirée du tutoriel en anglais de la [[https://appdb.winehq.org/objectManager.php?sClass=version&iId=20158&iTestingId=53654|database de Wine]]. | wine

179 Mot inconnu : wine => **l'installation ne fonctionne pas (testé sous wine 1.3.31), il faudra donc copier les fichiers d'une machine windows sur une machine ubuntu.**\\  | wine
179 Espace(s) en fin de ligne à supprimer. => **l'installation ne fonctionne pas (testé sous wine 1.3.31), il faudra donc copier les fichiers d'une machine windows sur une machine ubuntu.**\\  |   => suggestions : ['']

180 Accord de nombre erroné avec « des répertoires » : « partagé » devrait être au pluriel. => la copie peut se faire via le [[samba|réseau]], une clé USB, ou entre des répertoires partagé d'une machine virtuelle windows (sous [[virtualbox|VirtualBox]]) | partagé => suggestions : ['partagés']
180 Mot inconnu : virtualbox => la copie peut se faire via le [[samba|réseau]], une clé USB, ou entre des répertoires partagé d'une machine virtuelle windows (sous [[virtualbox|VirtualBox]]) | virtualbox

182 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * sous Windows (à partir d'XP) |    => suggestions : ['']
182 Mot inconnu : XP =>   * sous Windows (à partir d'XP) | xp

183 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * installer Photoshop CS5 |      => suggestions : ['']
183 Mot inconnu : Photoshop =>     * installer Photoshop CS5 | photoshop
183 Mot inconnu : CS5 =>     * installer Photoshop CS5 | cs5

184 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * lancer regedit  |      => suggestions : ['']
184 Mot inconnu : regedit =>     * lancer regedit  | regedit
184 Espace(s) en fin de ligne à supprimer. =>     * lancer regedit  |   => suggestions : ['']

185 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * naviguez dans l'arborescence au chemin HKEY_LOCAL_MACHINE\Software  |      => suggestions : ['']
185 Mot inconnu : HKEY_LOCAL_MACHINE =>     * naviguez dans l'arborescence au chemin HKEY_LOCAL_MACHINE\Software  | hkey_local_machine
185 Espace(s) en fin de ligne à supprimer. =>     * naviguez dans l'arborescence au chemin HKEY_LOCAL_MACHINE\Software  |   => suggestions : ['']

186 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * exportez la clé 'Adobe' dans le fichier adobe_cs5.reg |      => suggestions : ['']
186 Guillemets typographiques ouvrants. =>     * exportez la clé 'Adobe' dans le fichier adobe_cs5.reg | ' => suggestions : ['“', '‘', '‹']
186 Guillemets typographiques fermants. =>     * exportez la clé 'Adobe' dans le fichier adobe_cs5.reg | ' => suggestions : ['”', '’', '›']
186 Mot inconnu : adobe_cs5 =>     * exportez la clé 'Adobe' dans le fichier adobe_cs5.reg | adobe_cs5
186 Il manque un espace. =>     * exportez la clé 'Adobe' dans le fichier adobe_cs5.reg | reg => suggestions : [' reg']

187 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * sous Ubuntu |    => suggestions : ['']

189 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * copiez : \\ $USER est votre nom d'utilisateur windows\\ $HOME est votre nom d'utilisateur ubuntu |      => suggestions : ['']

190 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * "C:\Program Files\Adobe\" ⇒  "$HOME/.wine/drive_c/Program Files/Adobe" |        => suggestions : ['']
190 Mot inconnu : wine =>       * "C:\Program Files\Adobe\" ⇒  "$HOME/.wine/drive_c/Program Files/Adobe" | wine
190 Mot inconnu : drive_c =>       * "C:\Program Files\Adobe\" ⇒  "$HOME/.wine/drive_c/Program Files/Adobe" | drive_c
190 Mot inconnu : Program =>       * "C:\Program Files\Adobe\" ⇒  "$HOME/.wine/drive_c/Program Files/Adobe" | program
190 Guillemets typographiques fermants. =>       * "C:\Program Files\Adobe\" ⇒  "$HOME/.wine/drive_c/Program Files/Adobe" | " => suggestions : ['\xa0»', '”']

191 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * "C:\Program Files\Common Files\Adobe" ⇒  $HOME/.wine/drive_c/Program Files/Common Files/Adobe" |        => suggestions : ['']
191 Guillemets typographiques fermants. =>       * "C:\Program Files\Common Files\Adobe" ⇒  $HOME/.wine/drive_c/Program Files/Common Files/Adobe" | " => suggestions : ['\xa0»', '”']
191 Mot inconnu : wine =>       * "C:\Program Files\Common Files\Adobe" ⇒  $HOME/.wine/drive_c/Program Files/Common Files/Adobe" | wine
191 Mot inconnu : drive_c =>       * "C:\Program Files\Common Files\Adobe" ⇒  $HOME/.wine/drive_c/Program Files/Common Files/Adobe" | drive_c
191 Mot inconnu : Program =>       * "C:\Program Files\Common Files\Adobe" ⇒  $HOME/.wine/drive_c/Program Files/Common Files/Adobe" | program
191 Mot inconnu : Common =>       * "C:\Program Files\Common Files\Adobe" ⇒  $HOME/.wine/drive_c/Program Files/Common Files/Adobe" | common
191 Guillemets typographiques fermants. =>       * "C:\Program Files\Common Files\Adobe" ⇒  $HOME/.wine/drive_c/Program Files/Common Files/Adobe" | " => suggestions : ['\xa0»', '”']

192 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * "C:\Documents and Settings\$USER\Application Data\Adobe" ⇒  "$HOME/.wine/drive_c/users/$USER/Applications Data/Adobe" |        => suggestions : ['']
192 Mot inconnu : and =>       * "C:\Documents and Settings\$USER\Application Data\Adobe" ⇒  "$HOME/.wine/drive_c/users/$USER/Applications Data/Adobe" | and
192 Mot inconnu : Settings =>       * "C:\Documents and Settings\$USER\Application Data\Adobe" ⇒  "$HOME/.wine/drive_c/users/$USER/Applications Data/Adobe" | settings
192 Guillemets typographiques fermants. =>       * "C:\Documents and Settings\$USER\Application Data\Adobe" ⇒  "$HOME/.wine/drive_c/users/$USER/Applications Data/Adobe" | " => suggestions : ['\xa0»', '”']
192 Mot inconnu : wine =>       * "C:\Documents and Settings\$USER\Application Data\Adobe" ⇒  "$HOME/.wine/drive_c/users/$USER/Applications Data/Adobe" | wine
192 Mot inconnu : drive_c =>       * "C:\Documents and Settings\$USER\Application Data\Adobe" ⇒  "$HOME/.wine/drive_c/users/$USER/Applications Data/Adobe" | drive_c
192 Mot inconnu : users =>       * "C:\Documents and Settings\$USER\Application Data\Adobe" ⇒  "$HOME/.wine/drive_c/users/$USER/Applications Data/Adobe" | users
192 Guillemets typographiques fermants. =>       * "C:\Documents and Settings\$USER\Application Data\Adobe" ⇒  "$HOME/.wine/drive_c/users/$USER/Applications Data/Adobe" | " => suggestions : ['\xa0»', '”']

193 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * "C:\windows\system32\odbc32.dll" ⇒  "$HOME/.wine/drive_c/windows/system32/odbc32.dll" |        => suggestions : ['']
193 Mot inconnu : wine =>       * "C:\windows\system32\odbc32.dll" ⇒  "$HOME/.wine/drive_c/windows/system32/odbc32.dll" | wine
193 Mot inconnu : drive_c =>       * "C:\windows\system32\odbc32.dll" ⇒  "$HOME/.wine/drive_c/windows/system32/odbc32.dll" | drive_c
193 Mot inconnu : system32 =>       * "C:\windows\system32\odbc32.dll" ⇒  "$HOME/.wine/drive_c/windows/system32/odbc32.dll" | system32
193 Mot inconnu : odbc32 =>       * "C:\windows\system32\odbc32.dll" ⇒  "$HOME/.wine/drive_c/windows/system32/odbc32.dll" | odbc32
193 Mot inconnu : dll =>       * "C:\windows\system32\odbc32.dll" ⇒  "$HOME/.wine/drive_c/windows/system32/odbc32.dll" | dll
193 Guillemets typographiques fermants. =>       * "C:\windows\system32\odbc32.dll" ⇒  "$HOME/.wine/drive_c/windows/system32/odbc32.dll" | " => suggestions : ['\xa0»', '”']

194 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * "C:\windows\system32\odbcint.dll" ⇒  "$HOME/.wine/drive_c/windows/system32/odbcint.dll"  |        => suggestions : ['']
194 Mot inconnu : wine =>       * "C:\windows\system32\odbcint.dll" ⇒  "$HOME/.wine/drive_c/windows/system32/odbcint.dll"  | wine
194 Mot inconnu : drive_c =>       * "C:\windows\system32\odbcint.dll" ⇒  "$HOME/.wine/drive_c/windows/system32/odbcint.dll"  | drive_c
194 Mot inconnu : system32 =>       * "C:\windows\system32\odbcint.dll" ⇒  "$HOME/.wine/drive_c/windows/system32/odbcint.dll"  | system32
194 Mot inconnu : odbcint =>       * "C:\windows\system32\odbcint.dll" ⇒  "$HOME/.wine/drive_c/windows/system32/odbcint.dll"  | odbcint
194 Mot inconnu : dll =>       * "C:\windows\system32\odbcint.dll" ⇒  "$HOME/.wine/drive_c/windows/system32/odbcint.dll"  | dll
194 Guillemets typographiques fermants. =>       * "C:\windows\system32\odbcint.dll" ⇒  "$HOME/.wine/drive_c/windows/system32/odbcint.dll"  | " => suggestions : ['\xa0»', '”']
194 Espace(s) en fin de ligne à supprimer. =>       * "C:\windows\system32\odbcint.dll" ⇒  "$HOME/.wine/drive_c/windows/system32/odbcint.dll"  |   => suggestions : ['']

195 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * copiez le fichier adobe_cs5.reg dans votre $HOME |      => suggestions : ['']
195 Mot inconnu : adobe_cs5 =>     * copiez le fichier adobe_cs5.reg dans votre $HOME | adobe_cs5
195 Il manque un espace. =>     * copiez le fichier adobe_cs5.reg dans votre $HOME | reg => suggestions : [' reg']

197 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * on surcharge odbc32 et odbcint comme étant natif ("native") en lancant la configuration de wine (winecfg) |      => suggestions : ['']
197 Mot inconnu : odbc32 =>     * on surcharge odbc32 et odbcint comme étant natif ("native") en lancant la configuration de wine (winecfg) | odbc32
197 Mot inconnu : odbcint =>     * on surcharge odbc32 et odbcint comme étant natif ("native") en lancant la configuration de wine (winecfg) | odbcint
197 Guillemets typographiques ouvrants. =>     * on surcharge odbc32 et odbcint comme étant natif ("native") en lancant la configuration de wine (winecfg) | " => suggestions : ['«\xa0', '“']
197 Guillemets typographiques fermants. =>     * on surcharge odbc32 et odbcint comme étant natif ("native") en lancant la configuration de wine (winecfg) | " => suggestions : ['\xa0»', '”']
197 Mot inconnu : lancant =>     * on surcharge odbc32 et odbcint comme étant natif ("native") en lancant la configuration de wine (winecfg) | lancant
197 Mot inconnu : wine =>     * on surcharge odbc32 et odbcint comme étant natif ("native") en lancant la configuration de wine (winecfg) | wine
197 Mot inconnu : winecfg =>     * on surcharge odbc32 et odbcint comme étant natif ("native") en lancant la configuration de wine (winecfg) | winecfg

199 Mot inconnu : photoshop => on peut tester photoshop : | photoshop

201 Mot inconnu : wine => $ wine Photoshop.exe </code> | wine
201 Mot inconnu : Photoshop => $ wine Photoshop.exe </code> | photoshop
201 Mot inconnu : exe => $ wine Photoshop.exe </code> | exe

210 Mot inconnu : Tweak => ==== Avec Ubuntu Tweak ==== | tweak

211 Mot inconnu : Tweak => Pour ouvrir automatiquement un fichier vous devez télécharger **Ubuntu Tweak** | tweak
213 Espace(s) en fin de ligne à supprimer. => puis :   |    => suggestions : ['']
218 Mot inconnu : tweak => Ouvrir **ubuntu tweak** -> onglet **Administration** -> **Gestionnaire de type de fichiers** -> **Image** -> ** Image photoshop ** -> **Modifier** | tweak
218 Mot inconnu : photoshop => Ouvrir **ubuntu tweak** -> onglet **Administration** -> **Gestionnaire de type de fichiers** -> **Image** -> ** Image photoshop ** -> **Modifier** | photoshop
225 Espace(s) en fin de ligne à supprimer. => Ce qui une fois la commande remplie ressemble à :  |   => suggestions : ['']

230 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => Cliquer sur ajouter il n'y a plus qu'a tester un fichier .psd. | a => suggestions : ['à']
230 Incohérence probable avec “a” : “tester” n’est pas un participe passé. => Cliquer sur ajouter il n'y a plus qu'a tester un fichier .psd. | tester => suggestions : ['testé']
230 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Cliquer sur ajouter il n'y a plus qu'a tester un fichier .psd. |  . => suggestions : ['. ', '.']
230 Mot inconnu : psd => Cliquer sur ajouter il n'y a plus qu'a tester un fichier .psd. | psd

233 Mot inconnu : photoshop => <note tip> Si photoshop ne s'ouvre pas du tout c'est que votre chemin vers celui-ci n'est pas correct </note> | photoshop

238 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * les fenêtres filles s'affichent sur tous les bureaux virtuels |    => suggestions : ['']

239 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * le redimensionnement de la fenêtre de photoshop peut le faire crasher |    => suggestions : ['']
239 Mot inconnu : photoshop =>   * le redimensionnement de la fenêtre de photoshop peut le faire crasher | photoshop

243 Mot inconnu : Photoshop => Dans les versions les plus récentes de Photoshop, de nombreux problèmes d'affichage apparaissent. | photoshop

246 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   corefonts vcrun6 msxml6 gdiplus gecko vcrun2005 allfonts allcodecs fontsmooth-rgb fontfix colorprofile ie6 |    => suggestions : ['']
246 Mot inconnu : corefonts =>   corefonts vcrun6 msxml6 gdiplus gecko vcrun2005 allfonts allcodecs fontsmooth-rgb fontfix colorprofile ie6 | corefonts
246 Mot inconnu : vcrun6 =>   corefonts vcrun6 msxml6 gdiplus gecko vcrun2005 allfonts allcodecs fontsmooth-rgb fontfix colorprofile ie6 | vcrun6
246 Mot inconnu : msxml6 =>   corefonts vcrun6 msxml6 gdiplus gecko vcrun2005 allfonts allcodecs fontsmooth-rgb fontfix colorprofile ie6 | msxml6
246 Mot inconnu : gdiplus =>   corefonts vcrun6 msxml6 gdiplus gecko vcrun2005 allfonts allcodecs fontsmooth-rgb fontfix colorprofile ie6 | gdiplus
246 Mot inconnu : vcrun2005 =>   corefonts vcrun6 msxml6 gdiplus gecko vcrun2005 allfonts allcodecs fontsmooth-rgb fontfix colorprofile ie6 | vcrun2005
246 Mot inconnu : allfonts =>   corefonts vcrun6 msxml6 gdiplus gecko vcrun2005 allfonts allcodecs fontsmooth-rgb fontfix colorprofile ie6 | allfonts
246 Mot inconnu : allcodecs =>   corefonts vcrun6 msxml6 gdiplus gecko vcrun2005 allfonts allcodecs fontsmooth-rgb fontfix colorprofile ie6 | allcodecs
246 Mot inconnu : fontsmooth-rgb =>   corefonts vcrun6 msxml6 gdiplus gecko vcrun2005 allfonts allcodecs fontsmooth-rgb fontfix colorprofile ie6 | fontsmooth-rgb
246 Mot inconnu : fontfix =>   corefonts vcrun6 msxml6 gdiplus gecko vcrun2005 allfonts allcodecs fontsmooth-rgb fontfix colorprofile ie6 | fontfix
246 Mot inconnu : colorprofile =>   corefonts vcrun6 msxml6 gdiplus gecko vcrun2005 allfonts allcodecs fontsmooth-rgb fontfix colorprofile ie6 | colorprofile
246 Mot inconnu : ie6 =>   corefonts vcrun6 msxml6 gdiplus gecko vcrun2005 allfonts allcodecs fontsmooth-rgb fontfix colorprofile ie6 | ie6

247 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

248 Mot inconnu : download => <note important>14/08/2012 → il semble que les ressources nécessaires ne sont plus disponibles sur le site download.microsoft</note> | download
248 Mot inconnu : microsoft => <note important>14/08/2012 → il semble que les ressources nécessaires ne sont plus disponibles sur le site download.microsoft</note> | microsoft

252 Guillemets typographiques ouvrants. => Certains outils obligent l'utilisation de la commande Alt+Clic, or celle-ci est en conflit avec Ubuntu qui l'utilise afin de déplacer les fenêtres. Il faut donc remplacer la touche "Alt" par "Super" (Logo Windows) : | " => suggestions : ['«\xa0', '“']
252 Guillemets typographiques fermants. => Certains outils obligent l'utilisation de la commande Alt+Clic, or celle-ci est en conflit avec Ubuntu qui l'utilise afin de déplacer les fenêtres. Il faut donc remplacer la touche "Alt" par "Super" (Logo Windows) : | " => suggestions : ['\xa0»', '”']
252 Guillemets typographiques ouvrants. => Certains outils obligent l'utilisation de la commande Alt+Clic, or celle-ci est en conflit avec Ubuntu qui l'utilise afin de déplacer les fenêtres. Il faut donc remplacer la touche "Alt" par "Super" (Logo Windows) : | " => suggestions : ['«\xa0', '“']
252 Guillemets typographiques fermants. => Certains outils obligent l'utilisation de la commande Alt+Clic, or celle-ci est en conflit avec Ubuntu qui l'utilise afin de déplacer les fenêtres. Il faut donc remplacer la touche "Alt" par "Super" (Logo Windows) : | " => suggestions : ['\xa0»', '”']

254 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * sous **Gnome2** (Lucid/Natty)\\ Allez dans Système => préférence => Fenêtre. Vous allez avoir 3 options pour "déplacer la fenêtre" "Alt", "Ctrl" or "Super" (Touche avec logo Windows). Choisisez "Super".  |    => suggestions : ['']
254 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * sous **Gnome2** (Lucid/Natty)\\ Allez dans Système => préférence => Fenêtre. Vous allez avoir 3 options pour "déplacer la fenêtre" "Alt", "Ctrl" or "Super" (Touche avec logo Windows). Choisisez "Super".  | sous => suggestions : ['Sous']
254 Mot inconnu : Gnome2 =>   * sous **Gnome2** (Lucid/Natty)\\ Allez dans Système => préférence => Fenêtre. Vous allez avoir 3 options pour "déplacer la fenêtre" "Alt", "Ctrl" or "Super" (Touche avec logo Windows). Choisisez "Super".  | gnome2
254 Mot inconnu : Lucid =>   * sous **Gnome2** (Lucid/Natty)\\ Allez dans Système => préférence => Fenêtre. Vous allez avoir 3 options pour "déplacer la fenêtre" "Alt", "Ctrl" or "Super" (Touche avec logo Windows). Choisisez "Super".  | lucid
254 Mot inconnu : Natty =>   * sous **Gnome2** (Lucid/Natty)\\ Allez dans Système => préférence => Fenêtre. Vous allez avoir 3 options pour "déplacer la fenêtre" "Alt", "Ctrl" or "Super" (Touche avec logo Windows). Choisisez "Super".  | natty
254 Guillemets typographiques ouvrants. =>   * sous **Gnome2** (Lucid/Natty)\\ Allez dans Système => préférence => Fenêtre. Vous allez avoir 3 options pour "déplacer la fenêtre" "Alt", "Ctrl" or "Super" (Touche avec logo Windows). Choisisez "Super".  | " => suggestions : ['«\xa0', '“']
254 Guillemets typographiques fermants. =>   * sous **Gnome2** (Lucid/Natty)\\ Allez dans Système => préférence => Fenêtre. Vous allez avoir 3 options pour "déplacer la fenêtre" "Alt", "Ctrl" or "Super" (Touche avec logo Windows). Choisisez "Super".  | " => suggestions : ['\xa0»', '”']
254 Guillemets typographiques ouvrants. =>   * sous **Gnome2** (Lucid/Natty)\\ Allez dans Système => préférence => Fenêtre. Vous allez avoir 3 options pour "déplacer la fenêtre" "Alt", "Ctrl" or "Super" (Touche avec logo Windows). Choisisez "Super".  | " => suggestions : ['«\xa0', '“']
254 Guillemets typographiques fermants. =>   * sous **Gnome2** (Lucid/Natty)\\ Allez dans Système => préférence => Fenêtre. Vous allez avoir 3 options pour "déplacer la fenêtre" "Alt", "Ctrl" or "Super" (Touche avec logo Windows). Choisisez "Super".  | " => suggestions : ['\xa0»', '”']
254 Guillemets typographiques ouvrants. =>   * sous **Gnome2** (Lucid/Natty)\\ Allez dans Système => préférence => Fenêtre. Vous allez avoir 3 options pour "déplacer la fenêtre" "Alt", "Ctrl" or "Super" (Touche avec logo Windows). Choisisez "Super".  | " => suggestions : ['«\xa0', '“']
254 Guillemets typographiques fermants. =>   * sous **Gnome2** (Lucid/Natty)\\ Allez dans Système => préférence => Fenêtre. Vous allez avoir 3 options pour "déplacer la fenêtre" "Alt", "Ctrl" or "Super" (Touche avec logo Windows). Choisisez "Super".  | " => suggestions : ['\xa0»', '”']
254 Guillemets typographiques ouvrants. =>   * sous **Gnome2** (Lucid/Natty)\\ Allez dans Système => préférence => Fenêtre. Vous allez avoir 3 options pour "déplacer la fenêtre" "Alt", "Ctrl" or "Super" (Touche avec logo Windows). Choisisez "Super".  | " => suggestions : ['«\xa0', '“']
