5 Mot inconnu : PowerDNS => ====== Serveur DNS : PowerDNS ====== | powerdns
155 Il manque un espace. => 201.251.168.192.in-addr.arpa    name = twin2.bureau.lan. | bureau => suggestions : [' bureau']

156 Mot inconnu : mx => > set q=mx | mx

157 Mot inconnu : lan => > bureau.lan | lan

158 Mot inconnu : Server => Server:         127.0.0.1 | server
158 Espace(s) surnuméraire(s) à supprimer. => Server:         127.0.0.1 |           => suggestions : [' ']

159 Mot inconnu : Address => Address:        127.0.0.1#53 | address
159 Espace(s) surnuméraire(s) à supprimer. => Address:        127.0.0.1#53 |          => suggestions : [' ']

160 Mot inconnu : lan => bureau.lan    mail exchanger = 10 mail2.bureau.lan. | lan
160 Espace(s) surnuméraire(s) à supprimer. => bureau.lan    mail exchanger = 10 mail2.bureau.lan. |      => suggestions : [' ']
160 Mot inconnu : exchanger => bureau.lan    mail exchanger = 10 mail2.bureau.lan. | exchanger
160 Si “mail2” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => bureau.lan    mail exchanger = 10 mail2.bureau.lan. | 10 mail2 => suggestions : ['10\xa0mail2']
160 Accord de nombre erroné avec « 10 » : « mail » devrait être au pluriel. => bureau.lan    mail exchanger = 10 mail2.bureau.lan. | mail => suggestions : ['maux', 'mails']
160 Il manque un espace. => bureau.lan    mail exchanger = 10 mail2.bureau.lan. | bureau => suggestions : [' bureau']

169 Mot inconnu : FIXME => FIXME | fixme

172 Accord de genre avec « leurs versions ». Utilisez le féminin. => <note tip>Ces méthodes de configuration, passant par DHCP ou les fichiers système sont valables pour tous les serveurs DNS, quels que soient leurs versions !</note> | quels => suggestions : ['quelles']

183 Mot inconnu : nameserver => nameserver 192.168.251.202 | nameserver

189 Mot inconnu : search => search bureau.lan | search
189 Mot inconnu : lan => search bureau.lan | lan

190 Mot inconnu : nameserver => nameserver 192.168.251.202 | nameserver

191 Mot inconnu : nameserver => nameserver 192.168.251.212 | nameserver

192 Mot inconnu : nameserver => nameserver 193.121.171.135 | nameserver

193 Mot inconnu : nameserver => nameserver 193.74.208.65 | nameserver

197 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * recherche du serveur de nom de ''bureau.lan'' et interrogation de ce serveur. |     => suggestions : ['']
197 Guillemets typographiques ouvrants. =>    * recherche du serveur de nom de ''bureau.lan'' et interrogation de ce serveur. | '' => suggestions : ['«\xa0', '“']
197 Mot inconnu : lan =>    * recherche du serveur de nom de ''bureau.lan'' et interrogation de ce serveur. | lan
197 Guillemets typographiques fermants. =>    * recherche du serveur de nom de ''bureau.lan'' et interrogation de ce serveur. | '' => suggestions : ['\xa0»', '”']

198 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * interrogation du serveur DNS ''192.168.251.202'' qui est mon serveur DNS primaire (interne). |     => suggestions : ['']

199 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * interrogation du serveur DNS ''192.168.251.212'' qui est mon serveur DNS secondaire (interne). |     => suggestions : ['']

200 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * interrogation du serveur DNS ''193.121.171.135'' qui est le serveur DNS primaire de mon provider. |     => suggestions : ['']
200 Mot inconnu : provider =>    * interrogation du serveur DNS ''193.121.171.135'' qui est le serveur DNS primaire de mon provider. | provider

201 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * interrogation du serveur DNS ''193.74.208.65'' qui est le serveur DNS secondaire de mon provider. |     => suggestions : ['']
201 Mot inconnu : provider =>    * interrogation du serveur DNS ''193.74.208.65'' qui est le serveur DNS secondaire de mon provider. | provider

205 Mot inconnu : dhclient => Si le fichier /etc/resolv.conf est généré (écrasé) automatiquement par dhclient, voici les lignes correspondantes à ajouter au fichier /etc/dhcp3/dhclient.conf (Configuration testée sur Ubuntu "hardy" 8.04.3 LTS) : | dhclient
205 Guillemets typographiques ouvrants. => Si le fichier /etc/resolv.conf est généré (écrasé) automatiquement par dhclient, voici les lignes correspondantes à ajouter au fichier /etc/dhcp3/dhclient.conf (Configuration testée sur Ubuntu "hardy" 8.04.3 LTS) : | " => suggestions : ['«\xa0', '“']
205 Mot inconnu : hardy => Si le fichier /etc/resolv.conf est généré (écrasé) automatiquement par dhclient, voici les lignes correspondantes à ajouter au fichier /etc/dhcp3/dhclient.conf (Configuration testée sur Ubuntu "hardy" 8.04.3 LTS) : | hardy
205 Guillemets typographiques fermants. => Si le fichier /etc/resolv.conf est généré (écrasé) automatiquement par dhclient, voici les lignes correspondantes à ajouter au fichier /etc/dhcp3/dhclient.conf (Configuration testée sur Ubuntu "hardy" 8.04.3 LTS) : | " => suggestions : ['\xa0»', '”']
205 Mot inconnu : LTS => Si le fichier /etc/resolv.conf est généré (écrasé) automatiquement par dhclient, voici les lignes correspondantes à ajouter au fichier /etc/dhcp3/dhclient.conf (Configuration testée sur Ubuntu "hardy" 8.04.3 LTS) : | lts

208 Mot inconnu : prepend => prepend domain-name-servers 192.168.251.202, 192.168.251.212; | prepend
208 Mot inconnu : domain-name-servers => prepend domain-name-servers 192.168.251.202, 192.168.251.212; | domain-name-servers

209 S’il s’agit d’un impératif, ajoutez un “s”. => append domain-name "bureau.lan."; | append => suggestions : ['appends']
209 Mot inconnu : domain-name => append domain-name "bureau.lan."; | domain-name
209 Guillemets typographiques ouvrants. => append domain-name "bureau.lan."; | " => suggestions : ['«\xa0', '“']
209 Mot inconnu : lan => append domain-name "bureau.lan."; | lan
209 Guillemets typographiques fermants. => append domain-name "bureau.lan."; | " => suggestions : ['\xa0»', '”']

213 Accord de nombre erroné avec « vos serveurs DNS » : « primaire » devrait être au pluriel. => Sans entrer dans les détails (ce n'est pas le but du site), il vous suffit d'introduire l'adresse IP de vos serveurs DNS primaire et secondaire dans les propriétés du protocole TCP/IP (accessible dans les connexions réseaux du panneau de configuration). Rajouter le suffixe DNS correspondant à votre domaine dans les propriétés réseaux de votre carte. | primaire => suggestions : ['primaires']
213 Mot inconnu : TCP => Sans entrer dans les détails (ce n'est pas le but du site), il vous suffit d'introduire l'adresse IP de vos serveurs DNS primaire et secondaire dans les propriétés du protocole TCP/IP (accessible dans les connexions réseaux du panneau de configuration). Rajouter le suffixe DNS correspondant à votre domaine dans les propriétés réseaux de votre carte. | tcp
