
10 Mot inconnu : svp [[10:13]] => Complétez svp ces tableaux avec les ordinateurs que vous avez pu tester. <|> svp

19 Mot inconnu : NB30 [[2:6]] => | NB30  |  |  |  |  |  |  |  | ? |  | bluetooth ok | <|> nb30
19 Espace(s) surnuméraire(s) à supprimer. [[6:8]] => | NB30  |  |  |  |  |  |  |  | ? |  | bluetooth ok | <|>    => suggestions : [' ']
19 Mot inconnu : bluetooth [[38:47]] => | NB30  |  |  |  |  |  |  |  | ? |  | bluetooth ok | <|> bluetooth
19 Mot inconnu : ok [[48:50]] => | NB30  |  |  |  |  |  |  |  | ? |  | bluetooth ok | <|> ok

22 Mot inconnu : NC130 [[2:7]] => | NC130  |   |  |   |  |  |  |  |  |  | OK sur Karmic. | <|> nc130
22 Espace(s) surnuméraire(s) à supprimer. [[7:9]] => | NC130  |   |  |   |  |  |  |  |  |  | OK sur Karmic. | <|>    => suggestions : [' ']
22 Mot inconnu : Karmic [[47:53]] => | NC130  |   |  |   |  |  |  |  |  |  | OK sur Karmic. | <|> karmic

49 Mot inconnu : Q40 [[2:5]] => | Q40  |  |  |  | ok sur 9.04 | <|> q40
73 Mot inconnu : testé__ [[476:483]] => | R719 |  |  | |9.10 : __Fonctionne:__ l'installation, écran, performances de manières générales, le son (haut parleurs), wifi, ethernet, graveur DVD-RW, touches spéciales pour monter ou couper le son et pour la mise en veille/ l'hibernation, le pavé tactile (zone de défilement, clic droit et gauche aussi), prises micro/casque, le lecteur de carte SD. __Ne fonctionne pas__: touche spéciales pour régler la luminosité de l'écran et pour voir le niveau de la batterie. __Non testé__: la webcam| <|> testé__

77 Mot inconnu : RV515 [[2:7]] => | RV515 | | | |11.04 -> version AMD 64 bits, tout marche directement| <|> rv515

82 Mot inconnu : SF510 [[2:7]] => | SF510 |  |  | |testé sous 10.04 64 bits : tout fonctionne bien pour le moment. Cependant Il faut penser à activer les pilotes propriétaires pour bénéficier du wifi | <|> sf510

85 Mot inconnu : SM-G318H [[2:10]] => | SM-G318H |  |  | |testé sous 16.10 64 bits : tout fonctionne bien pour le moment. Cependant Il faut penser à activer les pilotes propriétaires pour bénéficier du wifi | <|> sm-g318h

96 Mot inconnu : x10 [[2:5]] => | x10  |  |  |  | 7.10 : Nvidia : marche bien, mais si je fais clore session j'ai un ecran noir, si je desactive la carte Nvidia ça marche impec, non testé : l'hibernation. Utiliser les pilotes ipw2100 pour le wifi | <|> x10
96 Espace(s) surnuméraire(s) à supprimer. [[5:7]] => | x10  |  |  |  | 7.10 : Nvidia : marche bien, mais si je fais clore session j'ai un ecran noir, si je desactive la carte Nvidia ça marche impec, non testé : l'hibernation. Utiliser les pilotes ipw2100 pour le wifi | <|>    => suggestions : [' ']
96 Mot inconnu : ecran [[85:90]] => | x10  |  |  |  | 7.10 : Nvidia : marche bien, mais si je fais clore session j'ai un ecran noir, si je desactive la carte Nvidia ça marche impec, non testé : l'hibernation. Utiliser les pilotes ipw2100 pour le wifi | <|> ecran
96 Mot inconnu : desactive [[103:112]] => | x10  |  |  |  | 7.10 : Nvidia : marche bien, mais si je fais clore session j'ai un ecran noir, si je desactive la carte Nvidia ça marche impec, non testé : l'hibernation. Utiliser les pilotes ipw2100 pour le wifi | <|> desactive
96 Mot inconnu : impec [[139:144]] => | x10  |  |  |  | 7.10 : Nvidia : marche bien, mais si je fais clore session j'ai un ecran noir, si je desactive la carte Nvidia ça marche impec, non testé : l'hibernation. Utiliser les pilotes ipw2100 pour le wifi | <|> impec
96 Mot inconnu : ipw2100 [[194:201]] => | x10  |  |  |  | 7.10 : Nvidia : marche bien, mais si je fais clore session j'ai un ecran noir, si je desactive la carte Nvidia ça marche impec, non testé : l'hibernation. Utiliser les pilotes ipw2100 pour le wifi | <|> ipw2100

98 Mot inconnu : x15 [[2:5]] => | x15  |  |  |  | 6.06 : Tout parfait sauf softmodem (non utilisé) et Memory Stick (pas testé) | <|> x15
98 Espace(s) surnuméraire(s) à supprimer. [[5:7]] => | x15  |  |  |  | 6.06 : Tout parfait sauf softmodem (non utilisé) et Memory Stick (pas testé) | <|>    => suggestions : [' ']
98 Mot inconnu : softmodem [[43:52]] => | x15  |  |  |  | 6.06 : Tout parfait sauf softmodem (non utilisé) et Memory Stick (pas testé) | <|> softmodem
98 Mot inconnu : Memory [[70:76]] => | x15  |  |  |  | 6.06 : Tout parfait sauf softmodem (non utilisé) et Memory Stick (pas testé) | <|> memory

99 Mot inconnu : x20 [[2:5]] => | x20  |  |  |  | 6.06 : Tout fonctionne. wifi aussi, connexion beamer, memory stick usb ok | <|> x20
99 Espace(s) surnuméraire(s) à supprimer. [[5:7]] => | x20  |  |  |  | 6.06 : Tout fonctionne. wifi aussi, connexion beamer, memory stick usb ok | <|>    => suggestions : [' ']
99 Après un point, une majuscule est généralement requise. [[42:46]] => | x20  |  |  |  | 6.06 : Tout fonctionne. wifi aussi, connexion beamer, memory stick usb ok | <|> wifi => suggestions : ['Wifi']
99 Mot inconnu : beamer [[64:70]] => | x20  |  |  |  | 6.06 : Tout fonctionne. wifi aussi, connexion beamer, memory stick usb ok | <|> beamer
99 Mot inconnu : memory [[72:78]] => | x20  |  |  |  | 6.06 : Tout fonctionne. wifi aussi, connexion beamer, memory stick usb ok | <|> memory
99 Mot inconnu : usb [[85:88]] => | x20  |  |  |  | 6.06 : Tout fonctionne. wifi aussi, connexion beamer, memory stick usb ok | <|> usb
99 Mot inconnu : ok [[89:91]] => | x20  |  |  |  | 6.06 : Tout fonctionne. wifi aussi, connexion beamer, memory stick usb ok | <|> ok

100 Mot inconnu : x25 [[2:5]] => | x25 |  |  |  | Breezy Badger a tout reconnu et tourne bien (wifi, NVidia, ..) | <|> x25
100 Mot inconnu : Breezy [[17:23]] => | x25 |  |  |  | Breezy Badger a tout reconnu et tourne bien (wifi, NVidia, ..) | <|> breezy
100 Mot inconnu : NVidia [[68:74]] => | x25 |  |  |  | Breezy Badger a tout reconnu et tourne bien (wifi, NVidia, ..) | <|> nvidia
100 Une de ces ponctuations est superflue. [[74:77]] => | x25 |  |  |  | Breezy Badger a tout reconnu et tourne bien (wifi, NVidia, ..) | <|> , . => suggestions : [',', '.']
100 Typographie : un ou trois points ? [[76:78]] => | x25 |  |  |  | Breezy Badger a tout reconnu et tourne bien (wifi, NVidia, ..) | <|> .. => suggestions : ['…', '.']

103 Mot inconnu : x360 [[2:6]] => | x360  |  |  |  | 9.10 : Fonctionne. wifi ok, connexion beamer, memory stick usb ok, Lecteur d'empreinte (via fprint) | <|> x360
103 Espace(s) surnuméraire(s) à supprimer. [[6:8]] => | x360  |  |  |  | 9.10 : Fonctionne. wifi ok, connexion beamer, memory stick usb ok, Lecteur d'empreinte (via fprint) | <|>    => suggestions : [' ']
103 Après un point, une majuscule est généralement requise. [[38:42]] => | x360  |  |  |  | 9.10 : Fonctionne. wifi ok, connexion beamer, memory stick usb ok, Lecteur d'empreinte (via fprint) | <|> wifi => suggestions : ['Wifi']
103 Mot inconnu : ok [[43:45]] => | x360  |  |  |  | 9.10 : Fonctionne. wifi ok, connexion beamer, memory stick usb ok, Lecteur d'empreinte (via fprint) | <|> ok
103 Mot inconnu : beamer [[57:63]] => | x360  |  |  |  | 9.10 : Fonctionne. wifi ok, connexion beamer, memory stick usb ok, Lecteur d'empreinte (via fprint) | <|> beamer
103 Mot inconnu : memory [[65:71]] => | x360  |  |  |  | 9.10 : Fonctionne. wifi ok, connexion beamer, memory stick usb ok, Lecteur d'empreinte (via fprint) | <|> memory
103 Mot inconnu : usb [[78:81]] => | x360  |  |  |  | 9.10 : Fonctionne. wifi ok, connexion beamer, memory stick usb ok, Lecteur d'empreinte (via fprint) | <|> usb
103 Mot inconnu : ok [[82:84]] => | x360  |  |  |  | 9.10 : Fonctionne. wifi ok, connexion beamer, memory stick usb ok, Lecteur d'empreinte (via fprint) | <|> ok
103 Mot inconnu : fprint [[111:117]] => | x360  |  |  |  | 9.10 : Fonctionne. wifi ok, connexion beamer, memory stick usb ok, Lecteur d'empreinte (via fprint) | <|> fprint

104 Mot inconnu : x420 [[2:6]] => | x420  |  |  |  | 11.10 sous 64 bits. Tout fonctionne bien excepter touches FN, résolut avec l'installation de samsung-tools | <|> x420
104 Espace(s) surnuméraire(s) à supprimer. [[6:8]] => | x420  |  |  |  | 11.10 sous 64 bits. Tout fonctionne bien excepter touches FN, résolut avec l'installation de samsung-tools | <|>    => suggestions : [' ']
104 Mot inconnu : FN [[77:79]] => | x420  |  |  |  | 11.10 sous 64 bits. Tout fonctionne bien excepter touches FN, résolut avec l'installation de samsung-tools | <|> fn
104 Mot inconnu : samsung-tools [[112:125]] => | x420  |  |  |  | 11.10 sous 64 bits. Tout fonctionne bien excepter touches FN, résolut avec l'installation de samsung-tools | <|> samsung-tools
