
4 Mot inconnu : GoogleDrive [[16:27]] => ====== Utiliser GoogleDrive sous Ubuntu====== <|> googledrive
175 Mot inconnu : github [[40:46]] => Grive2 est un fork de Grive hébergé sur github (https://github.com/vitalif/grive2) maintenu principalement par Vitaliy Filippov, ce dernier supporte la nouvelle REST API de google, inclut de nouvelles fonctionnalités et quelques corrections de bugs. <|> github
175 Mot inconnu : Vitaliy [[111:118]] => Grive2 est un fork de Grive hébergé sur github (https://github.com/vitalif/grive2) maintenu principalement par Vitaliy Filippov, ce dernier supporte la nouvelle REST API de google, inclut de nouvelles fonctionnalités et quelques corrections de bugs. <|> vitaliy
175 Mot inconnu : Filippov [[119:127]] => Grive2 est un fork de Grive hébergé sur github (https://github.com/vitalif/grive2) maintenu principalement par Vitaliy Filippov, ce dernier supporte la nouvelle REST API de google, inclut de nouvelles fonctionnalités et quelques corrections de bugs. <|> filippov
175 Mot inconnu : REST [[161:165]] => Grive2 est un fork de Grive hébergé sur github (https://github.com/vitalif/grive2) maintenu principalement par Vitaliy Filippov, ce dernier supporte la nouvelle REST API de google, inclut de nouvelles fonctionnalités et quelques corrections de bugs. <|> rest

177 Mot inconnu : Grive2 [[35:41]] => Il est important de comprendre que Grive2 remplace Grive: vous utilisez l'un ou l'autre. Grive étant obsolète, c'est Grive2 qu'il faut donc utiliser. <|> grive2
177 Mot inconnu : Grive2 [[117:123]] => Il est important de comprendre que Grive2 remplace Grive: vous utilisez l'un ou l'autre. Grive étant obsolète, c'est Grive2 qu'il faut donc utiliser. <|> grive2

190 Mot inconnu : grive2 [[55:61]] => <note>Le paquet s'appelle grive mais correspond bien à grive2</note> <|> grive2

193 Si vous parlez de la langue, pas de majuscule. [[16:23]] => Voir la page en Anglais http://yourcmc.ru/wiki/Grive2 <|> anglais => suggestions : ['anglais']
193 Accord de genre erroné avec « Anglais ». [[26:29]] => Voir la page en Anglais http://yourcmc.ru/wiki/Grive2 <|> tp: => suggestions : []

196 Confusion. On écrit « faire partie ». [[85:90]] => La synchronisation va récupérer tous vos fichiers Google Drive. Google Photo faisant parti de Google Drive, toutes vos photos vont être également téléchargées. <|> parti => suggestions : ['partie']

207 Mot inconnu : monDossierGoogleDrive [[7:28]] => Avec **monDossierGoogleDrive** le dossier où vous souhaitez avec le miroir de Google Drive <|> mondossiergoogledrive
208 Espace(s) en fin de ligne à supprimer. [[6:8]] => puis :   <|>    => suggestions : ['']

215 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[0:1]] => A partir de là, les synchronisations doivent se lancer manuellement : <|> a => suggestions : ['À']
219 Espace(s) en fin de ligne à supprimer. [[22:23]] => En ligne de commande :  <|>   => suggestions : ['']

226 Accord de nombre erroné : « façon » devrait être au pluriel. [[17:22]] => Il y a plusieurs façon d'automatiser un peu tout ça : <|> façon => suggestions : ['façons']
227 Mot inconnu : xxx [[89:92]] =>   * Sur événements temporels périodiques : lancer automatiquement la commande toutes les xxx secondes <|> xxx
228 Mot inconnu : évenements [[8:18]] =>   * Sur évenements de l'ordinateur : sur le démarrage, la mise en veille, le reveil, l'extinction, ... <|> évenements
228 Mot inconnu : reveil [[77:83]] =>   * Sur évenements de l'ordinateur : sur le démarrage, la mise en veille, le reveil, l'extinction, ... <|> reveil
228 Une de ces ponctuations est superflue. [[97:100]] =>   * Sur évenements de l'ordinateur : sur le démarrage, la mise en veille, le reveil, l'extinction, ... <|> , . => suggestions : [',', '.']
228 Typographie : points de suspension. Utilisez le caractère dédié. [[99:102]] =>   * Sur évenements de l'ordinateur : sur le démarrage, la mise en veille, le reveil, l'extinction, ... <|> ... => suggestions : ['…']

230 Mot inconnu : ODrive [[6:12]] => ===== ODrive ===== <|> odrive

233 Mot inconnu : OpenSource [[6:16]] => ===== OpenSource Drive ===== <|> opensource

236 Mot inconnu : overGrive [[6:15]] => ===== overGrive ===== <|> overgrive

237 Mot inconnu : OverGrive [[0:9]] => OverGrive est un client Google Drive pour linux muni d'une interface graphique utilisant la nouvelle REST API de google. C'est une application payante coûtant 4.99$. Très facile à installer et paramétrer. <|> overgrive
237 Mot inconnu : REST [[101:105]] => OverGrive est un client Google Drive pour linux muni d'une interface graphique utilisant la nouvelle REST API de google. C'est une application payante coûtant 4.99$. Très facile à installer et paramétrer. <|> rest

245 Mot inconnu : Insync [[6:12]] => ===== Insync =====  <|> insync
245 Espace(s) en fin de ligne à supprimer. [[18:19]] => ===== Insync =====  <|>   => suggestions : ['']

246 Mot inconnu : Insync [[0:6]] => Insync est une application propriétaire payante coûtant 20$ (après un essai de 15 jours) qui gère beaucoup de fonctions dont le multi-compte. <|> insync

253 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[0:1]] => A compléter... <|> a => suggestions : ['À']
253 Typographie : points de suspension. Utilisez le caractère dédié. [[11:14]] => A compléter... <|> ... => suggestions : ['…']

255 Mot inconnu : Insync [[0:6]] => Insync possède une interface graphique simple. <|> insync
259 Guillemets typographiques ouvrants. [[14:15]] =>   * La partie "Feed" décrit tous les ajouts, retraits et modifications de fichiers du dossier synchronisé. <|> " => suggestions : ['«\xa0', '“']
259 Mot inconnu : Feed [[15:19]] =>   * La partie "Feed" décrit tous les ajouts, retraits et modifications de fichiers du dossier synchronisé. <|> feed
259 Guillemets typographiques fermants. [[19:20]] =>   * La partie "Feed" décrit tous les ajouts, retraits et modifications de fichiers du dossier synchronisé. <|> " => suggestions : ['\xa0»', '”']
260 Guillemets typographiques ouvrants. [[13:14]] =>   * La parte "Progress" montre les envois et les téléchargements des fichiers vers et depuis google drive.   <|> " => suggestions : ['«\xa0', '“']
260 Mot inconnu : Progress [[14:22]] =>   * La parte "Progress" montre les envois et les téléchargements des fichiers vers et depuis google drive.   <|> progress
260 Guillemets typographiques fermants. [[22:23]] =>   * La parte "Progress" montre les envois et les téléchargements des fichiers vers et depuis google drive.   <|> " => suggestions : ['\xa0»', '”']
260 Espace(s) en fin de ligne à supprimer. [[106:108]] =>   * La parte "Progress" montre les envois et les téléchargements des fichiers vers et depuis google drive.   <|>    => suggestions : ['']
261 Guillemets typographiques ouvrants. [[14:15]] =>   * La partie "Shared with me" propose de synchroniser ou non les fichiers qui nous ont été partagés. <|> " => suggestions : ['«\xa0', '“']
261 Mot inconnu : Shared [[15:21]] =>   * La partie "Shared with me" propose de synchroniser ou non les fichiers qui nous ont été partagés. <|> shared
261 Mot inconnu : with [[22:26]] =>   * La partie "Shared with me" propose de synchroniser ou non les fichiers qui nous ont été partagés. <|> with
261 Guillemets typographiques fermants. [[29:30]] =>   * La partie "Shared with me" propose de synchroniser ou non les fichiers qui nous ont été partagés. <|> " => suggestions : ['\xa0»', '”']
262 Guillemets typographiques ouvrants. [[14:15]] =>   * La partie "Action Required" expose les  demandes d'authentification auprès de google. <|> " => suggestions : ['«\xa0', '“']
262 Mot inconnu : Required [[22:30]] =>   * La partie "Action Required" expose les  demandes d'authentification auprès de google. <|> required
262 Guillemets typographiques fermants. [[30:31]] =>   * La partie "Action Required" expose les  demandes d'authentification auprès de google. <|> " => suggestions : ['\xa0»', '”']
262 Espace(s) surnuméraire(s) à supprimer. [[42:44]] =>   * La partie "Action Required" expose les  demandes d'authentification auprès de google. <|>    => suggestions : [' ']
263 Guillemets typographiques ouvrants. [[14:15]] =>   * La partie "Error" expose les problèmes de fichiers non synchronisés, <|> " => suggestions : ['«\xa0', '“']
263 Mot inconnu : Error [[15:20]] =>   * La partie "Error" expose les problèmes de fichiers non synchronisés, <|> error
263 Guillemets typographiques fermants. [[20:21]] =>   * La partie "Error" expose les problèmes de fichiers non synchronisés, <|> " => suggestions : ['\xa0»', '”']

265 Mot inconnu : RClone [[5:11]] => =====RClone ===== <|> rclone

281 Mot inconnu : Sync [[27:31]] => L'application Google Drive Sync pour Windows ne fonctionne pas avec Wine. <|> sync
