
5 Mot inconnu : conkyForecast => ====== La météo avec conkyForecast ====== | conkyforecast
183 Mot inconnu : refetch =>   * **''-r ou --refetch''** : Télécharge les informations sans tenir compte de la durée de validité des informations en cache | refetch
183 Guillemets typographiques fermants. =>   * **''-r ou --refetch''** : Télécharge les informations sans tenir compte de la durée de validité des informations en cache | '' => suggestions : ['\xa0»', '”']

184 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **''-v ou --verbose''** : Active le mode verbose |    => suggestions : ['']
184 Mot inconnu : verbose =>   * **''-v ou --verbose''** : Active le mode verbose | verbose
184 Guillemets typographiques fermants. =>   * **''-v ou --verbose''** : Active le mode verbose | '' => suggestions : ['\xa0»', '”']
184 Mot inconnu : verbose =>   * **''-v ou --verbose''** : Active le mode verbose | verbose

185 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **''-E ou --enableerrors''** : Si une erreur est rencontrée elle sera affichée au lieu de la sortie standard |    => suggestions : ['']
185 Mot inconnu : enableerrors =>   * **''-E ou --enableerrors''** : Si une erreur est rencontrée elle sera affichée au lieu de la sortie standard | enableerrors
185 Guillemets typographiques fermants. =>   * **''-E ou --enableerrors''** : Si une erreur est rencontrée elle sera affichée au lieu de la sortie standard | '' => suggestions : ['\xa0»', '”']

186 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **''-V ou --version''** : Affiche la version du script |    => suggestions : ['']
186 Guillemets typographiques fermants. =>   * **''-V ou --version''** : Affiche la version du script | '' => suggestions : ['\xa0»', '”']

193 Mot inconnu : WS => Cela affichera la vitesse du vent (WS) pour la ville de Paris (FRXX0076) | ws
193 Mot inconnu : FRXX0076 => Cela affichera la vitesse du vent (WS) pour la ville de Paris (FRXX0076) | frxx0076

198 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Pour la préposition, écrivez “à”. => ==== A propos des polices ==== | a => suggestions : ['À']

202 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **ConkyWeather** doit être utilisé avec le paramètre **WF** (Weather Font) ''​%%--%%datatype=WF''\\ |    => suggestions : ['']
202 Mot inconnu : ConkyWeather =>   * **ConkyWeather** doit être utilisé avec le paramètre **WF** (Weather Font) ''​%%--%%datatype=WF''\\ | conkyweather
202 Mot inconnu : WF =>   * **ConkyWeather** doit être utilisé avec le paramètre **WF** (Weather Font) ''​%%--%%datatype=WF''\\ | wf
202 Mot inconnu : Weather =>   * **ConkyWeather** doit être utilisé avec le paramètre **WF** (Weather Font) ''​%%--%%datatype=WF''\\ | weather
202 Il manque un espace. =>   * **ConkyWeather** doit être utilisé avec le paramètre **WF** (Weather Font) ''​%%--%%datatype=WF''\\ | datatype => suggestions : [' datatype']
202 Mot inconnu : datatype =>   * **ConkyWeather** doit être utilisé avec le paramètre **WF** (Weather Font) ''​%%--%%datatype=WF''\\ | datatype
202 Mot inconnu : WF =>   * **ConkyWeather** doit être utilisé avec le paramètre **WF** (Weather Font) ''​%%--%%datatype=WF''\\ | wf
202 Guillemets typographiques fermants. =>   * **ConkyWeather** doit être utilisé avec le paramètre **WF** (Weather Font) ''​%%--%%datatype=WF''\\ | '' => suggestions : ['\xa0»', '”']

203 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Arrows** peut être utilisé avec **BF**\\ |    => suggestions : ['']
203 Mot inconnu : Arrows =>   * **Arrows** peut être utilisé avec **BF**\\ | arrows
203 Mot inconnu : BF =>   * **Arrows** peut être utilisé avec **BF**\\ | bf

204 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **ConkyWind, ConkyWindN et ConkyWindNESW** peuvent être utilisés avec **BF** (Bearing Fonts ou **BS** (Bearing Fonts avec la vitesse)\\ |    => suggestions : ['']
204 Mot inconnu : ConkyWind =>   * **ConkyWind, ConkyWindN et ConkyWindNESW** peuvent être utilisés avec **BF** (Bearing Fonts ou **BS** (Bearing Fonts avec la vitesse)\\ | conkywind
204 Mot inconnu : ConkyWindN =>   * **ConkyWind, ConkyWindN et ConkyWindNESW** peuvent être utilisés avec **BF** (Bearing Fonts ou **BS** (Bearing Fonts avec la vitesse)\\ | conkywindn
204 Mot inconnu : ConkyWindNESW =>   * **ConkyWind, ConkyWindN et ConkyWindNESW** peuvent être utilisés avec **BF** (Bearing Fonts ou **BS** (Bearing Fonts avec la vitesse)\\ | conkywindnesw
204 Mot inconnu : BF =>   * **ConkyWind, ConkyWindN et ConkyWindNESW** peuvent être utilisés avec **BF** (Bearing Fonts ou **BS** (Bearing Fonts avec la vitesse)\\ | bf
204 Mot inconnu : Bearing =>   * **ConkyWind, ConkyWindN et ConkyWindNESW** peuvent être utilisés avec **BF** (Bearing Fonts ou **BS** (Bearing Fonts avec la vitesse)\\ | bearing
204 Mot inconnu : BS =>   * **ConkyWind, ConkyWindN et ConkyWindNESW** peuvent être utilisés avec **BF** (Bearing Fonts ou **BS** (Bearing Fonts avec la vitesse)\\ | bs
204 Mot inconnu : Bearing =>   * **ConkyWind, ConkyWindN et ConkyWindNESW** peuvent être utilisés avec **BF** (Bearing Fonts ou **BS** (Bearing Fonts avec la vitesse)\\ | bearing

205 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Moon Phases** peut être utilisé avec **MF** (Moon Font)\\ |    => suggestions : ['']
205 Mot inconnu : Moon =>   * **Moon Phases** peut être utilisé avec **MF** (Moon Font)\\ | moon
205 Mot inconnu : Moon =>   * **Moon Phases** peut être utilisé avec **MF** (Moon Font)\\ | moon

207 Mot inconnu : ConkyForecast => ==== ConkyForecast.template ==== | conkyforecast
207 Mot inconnu : template => ==== ConkyForecast.template ==== | template

209 Mot inconnu : conkyForecast => Pour structurer plus facilement son texte, il est possible d'utiliser le fichier **conkyForecast.template**\\ | conkyforecast
209 Mot inconnu : template => Pour structurer plus facilement son texte, il est possible d'utiliser le fichier **conkyForecast.template**\\ | template

211 Espace(s) en fin de ligne à supprimer. => Voici comment structurer ce fichier :  |   => suggestions : ['']

215 Mot inconnu : datatype => [--datatype=HT --startday=1 --hideunits]/[--datatype=LT --startday=1 --hideunits]</code> | datatype
215 Mot inconnu : startday => [--datatype=HT --startday=1 --hideunits]/[--datatype=LT --startday=1 --hideunits]</code> | startday
215 Mot inconnu : hideunits => [--datatype=HT --startday=1 --hideunits]/[--datatype=LT --startday=1 --hideunits]</code> | hideunits
215 Mot inconnu : datatype => [--datatype=HT --startday=1 --hideunits]/[--datatype=LT --startday=1 --hideunits]</code> | datatype
215 Mot inconnu : LT => [--datatype=HT --startday=1 --hideunits]/[--datatype=LT --startday=1 --hideunits]</code> | lt
215 Mot inconnu : startday => [--datatype=HT --startday=1 --hideunits]/[--datatype=LT --startday=1 --hideunits]</code> | startday
215 Mot inconnu : hideunits => [--datatype=HT --startday=1 --hideunits]/[--datatype=LT --startday=1 --hideunits]</code> | hideunits

217 Typographie : points de suspension. Utilisez le caractère dédié. => Les options se mettent entre crochets ''[--options ...]''. Ce qui est hors des crochets sera affiché comme du texte. | ... => suggestions : ['…']

221 Mot inconnu : conkyForecast => Enfin il faut spécifier le chemin du **conkyForecast.template** dans le **conkyrc** à l'aide de : | conkyforecast
221 Mot inconnu : template => Enfin il faut spécifier le chemin du **conkyForecast.template** dans le **conkyrc** à l'aide de : | template
221 Mot inconnu : conkyrc => Enfin il faut spécifier le chemin du **conkyForecast.template** dans le **conkyrc** à l'aide de : | conkyrc

225 Mot inconnu : template => <note important>On ne peut pas utiliser les raccourcis pour les options dans le template, il faut écrire l'option en entier (ex : --datatype)</note> | template
225 Mot inconnu : datatype => <note important>On ne peut pas utiliser les raccourcis pour les options dans le template, il faut écrire l'option en entier (ex : --datatype)</note> | datatype

227 Mot inconnu : template => <note tip>Il est désormais possible d'utiliser des caractères accentués dans le template !</note> | template

228 Mot inconnu : execpi => <note tip>L'utilisation de la commande **execpi** au lieu de **execi** permet l'utilisation des variables de conky dans le template (elles ne seraient pas interprétées dans le cas contraire).</note> | execpi
228 Mot inconnu : execi => <note tip>L'utilisation de la commande **execpi** au lieu de **execi** permet l'utilisation des variables de conky dans le template (elles ne seraient pas interprétées dans le cas contraire).</note> | execi
228 Mot inconnu : conky => <note tip>L'utilisation de la commande **execpi** au lieu de **execi** permet l'utilisation des variables de conky dans le template (elles ne seraient pas interprétées dans le cas contraire).</note> | conky
228 Mot inconnu : template => <note tip>L'utilisation de la commande **execpi** au lieu de **execi** permet l'utilisation des variables de conky dans le template (elles ne seraient pas interprétées dans le cas contraire).</note> | template

230 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Pour la préposition, écrivez “à”. => =====A propos des mises à jours de la météo ===== | a => suggestions : ['À']

232 Mot inconnu : weather => Par défaut le script va vérifier les informations sur le site weather.com toutes les 30 min (1800 sec) : | weather
232 Avec une unité de mesure, mettez un espace insécable. => Par défaut le script va vérifier les informations sur le site weather.com toutes les 30 min (1800 sec) : | 30 min => suggestions : ['30\xa0min']
232 Accord de nombre erroné avec « 1800 » : « sec » devrait être au pluriel. => Par défaut le script va vérifier les informations sur le site weather.com toutes les 30 min (1800 sec) : | sec => suggestions : ['secs']

236 Mot inconnu : weather => Cette valeur peut être modifiée. Toutefois il faut savoir que les informations du site weather.com sont actualisées toutes les heures. Donc une mise à jour trop fréquente est inutile ! | weather

242 Mot inconnu : conkyForecast => Dans le fichier **''~/.conkyForecast.config''** | conkyforecast
242 Guillemets typographiques fermants. => Dans le fichier **''~/.conkyForecast.config''** | '' => suggestions : ['\xa0»', '”']

245 Guillemets typographiques ouvrants. => =====Changer "kph" en "km/h" ===== | " => suggestions : ['«\xa0', '“']
245 Mot inconnu : kph => =====Changer "kph" en "km/h" ===== | kph
245 Guillemets typographiques fermants. => =====Changer "kph" en "km/h" ===== | " => suggestions : ['\xa0»', '”']
245 Guillemets typographiques ouvrants. => =====Changer "kph" en "km/h" ===== | " => suggestions : ['«\xa0', '“']
245 Guillemets typographiques fermants. => =====Changer "kph" en "km/h" ===== | " => suggestions : ['\xa0»', '”']

247 Mot inconnu : kph => Par défaut l'unité de mesure pour la vitesse du vent sera en **kph** (km par heure). Si cela vous embête, une petite manipulation très simple vous permettra d'obtenir des **km/h**.\\ | kph
251 Grands nombres : utilisez des espaces insécables. => * Pour les versions 2.12 : Rendez-vous à la ligne 1 225. | 1 225 => suggestions : ['1\xa0225']
253 Grands nombres : utilisez des espaces insécables. => * Pour les versions 2.15 : Rendez-vous à la ligne 1 236 | 1 236 => suggestions : ['1\xa0236']

255 Accord de genre erroné avec « antérieurs ». => * Pour les versions antérieurs à la 2.12 : Rendez-vous à la ligne 966. | versions => suggestions : ['versés']
255 Accord de genre erroné entre « versions » et « antérieurs ». => * Pour les versions antérieurs à la 2.12 : Rendez-vous à la ligne 966. | antérieurs => suggestions : ['antérieures']

259 Mot inconnu : kph => Changez **kph** par **km/h**, sauvegardez puis quittez. | kph

267 Typographie : points de suspension. Utilisez le caractère dédié. => Si le nombre d'informations à afficher est important (symboles...), il est possible que votre [[Conky]] ne s'affiche pas correctement et qu'il manque un bout. Pour y remedier, rajoutez à votre **conkyrc** avant la section TEXT : | ... => suggestions : ['…']
267 Mot inconnu : Conky => Si le nombre d'informations à afficher est important (symboles...), il est possible que votre [[Conky]] ne s'affiche pas correctement et qu'il manque un bout. Pour y remedier, rajoutez à votre **conkyrc** avant la section TEXT : | conky
267 Mot inconnu : remedier => Si le nombre d'informations à afficher est important (symboles...), il est possible que votre [[Conky]] ne s'affiche pas correctement et qu'il manque un bout. Pour y remedier, rajoutez à votre **conkyrc** avant la section TEXT : | remedier
267 Mot inconnu : conkyrc => Si le nombre d'informations à afficher est important (symboles...), il est possible que votre [[Conky]] ne s'affiche pas correctement et qu'il manque un bout. Pour y remedier, rajoutez à votre **conkyrc** avant la section TEXT : | conkyrc
267 Mot inconnu : TEXT => Si le nombre d'informations à afficher est important (symboles...), il est possible que votre [[Conky]] ne s'affiche pas correctement et qu'il manque un bout. Pour y remedier, rajoutez à votre **conkyrc** avant la section TEXT : | text

273 Il manque un espace. => Il faut rajouter l'option ''​%%--%%startday=0'' comme ceci :  | startday => suggestions : [' startday']
273 Mot inconnu : startday => Il faut rajouter l'option ''​%%--%%startday=0'' comme ceci :  | startday
273 Guillemets typographiques fermants. => Il faut rajouter l'option ''​%%--%%startday=0'' comme ceci :  | '' => suggestions : ['\xa0»', '”']
273 Espace(s) en fin de ligne à supprimer. => Il faut rajouter l'option ''​%%--%%startday=0'' comme ceci :  |   => suggestions : ['']

280 Mot inconnu : conkyrc => Rajoutez l'option suivante à votre **conkyrc** avant la section TEXT : | conkyrc
280 Mot inconnu : TEXT => Rajoutez l'option suivante à votre **conkyrc** avant la section TEXT : | text

287 Mot inconnu : conkyForecast => **conkyForecast** utilise le répertoire temporaire **/tmp**. Or, par défaut, ce répertoire est vidé à l'extinction du système. Il vous faut donc définir un autre répertoire temporaire qui ne sera pas vidé, comme **/home** par exemple : | conkyforecast

297 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Topic officiel (anglais) : https://ubuntuforums.org/showthread.php?t=869328 |    => suggestions : ['']
297 Mot inconnu : Topic =>   * Topic officiel (anglais) : https://ubuntuforums.org/showthread.php?t=869328 | topic

298 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Historique du développement : https://code.launchpad.net/~m-buck/+junk/conkyforecast |    => suggestions : ['']
298 Mot inconnu : m-buck =>   * Historique du développement : https://code.launchpad.net/~m-buck/+junk/conkyforecast | m-buck
298 Mot inconnu : junk =>   * Historique du développement : https://code.launchpad.net/~m-buck/+junk/conkyforecast | junk
298 Mot inconnu : conkyforecast =>   * Historique du développement : https://code.launchpad.net/~m-buck/+junk/conkyforecast | conkyforecast

299 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Détails sur les paquets disponibles : https://launchpad.net/~m-buck/+archive |    => suggestions : ['']
299 Mot inconnu : m-buck =>   * Détails sur les paquets disponibles : https://launchpad.net/~m-buck/+archive | m-buck

300 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Site de l'auteur de ce script : http://www.kaivalagi.com |    => suggestions : ['']

304 Mot inconnu : Buck => Merci à Mark Buck @Kaivalagi pour son script ;-) | buck
