
25 Mot inconnu : Edgy => ==== Edgy Eft Knot 1 Released ==== | edgy
58 Mot inconnu : Team => The Ubuntu Magazine, a new project of the Ubuntu Marketing Team, met on July 17, 2006, to discuss a Wiki redesign, a project charter, a magazine name, and concerns for future contests. For more information concerning the meeting, please check out https://wiki.ubuntu.com/UbuntuMagazine/Meetings/2006-07-17 | team
58 Mot inconnu : July => The Ubuntu Magazine, a new project of the Ubuntu Marketing Team, met on July 17, 2006, to discuss a Wiki redesign, a project charter, a magazine name, and concerns for future contests. For more information concerning the meeting, please check out https://wiki.ubuntu.com/UbuntuMagazine/Meetings/2006-07-17 | july
58 Mot inconnu : to => The Ubuntu Magazine, a new project of the Ubuntu Marketing Team, met on July 17, 2006, to discuss a Wiki redesign, a project charter, a magazine name, and concerns for future contests. For more information concerning the meeting, please check out https://wiki.ubuntu.com/UbuntuMagazine/Meetings/2006-07-17 | to
58 Mot inconnu : discuss => The Ubuntu Magazine, a new project of the Ubuntu Marketing Team, met on July 17, 2006, to discuss a Wiki redesign, a project charter, a magazine name, and concerns for future contests. For more information concerning the meeting, please check out https://wiki.ubuntu.com/UbuntuMagazine/Meetings/2006-07-17 | discuss
58 Mot inconnu : redesign => The Ubuntu Magazine, a new project of the Ubuntu Marketing Team, met on July 17, 2006, to discuss a Wiki redesign, a project charter, a magazine name, and concerns for future contests. For more information concerning the meeting, please check out https://wiki.ubuntu.com/UbuntuMagazine/Meetings/2006-07-17 | redesign
58 Mot inconnu : project => The Ubuntu Magazine, a new project of the Ubuntu Marketing Team, met on July 17, 2006, to discuss a Wiki redesign, a project charter, a magazine name, and concerns for future contests. For more information concerning the meeting, please check out https://wiki.ubuntu.com/UbuntuMagazine/Meetings/2006-07-17 | project
58 Mot inconnu : name => The Ubuntu Magazine, a new project of the Ubuntu Marketing Team, met on July 17, 2006, to discuss a Wiki redesign, a project charter, a magazine name, and concerns for future contests. For more information concerning the meeting, please check out https://wiki.ubuntu.com/UbuntuMagazine/Meetings/2006-07-17 | name
58 Mot inconnu : and => The Ubuntu Magazine, a new project of the Ubuntu Marketing Team, met on July 17, 2006, to discuss a Wiki redesign, a project charter, a magazine name, and concerns for future contests. For more information concerning the meeting, please check out https://wiki.ubuntu.com/UbuntuMagazine/Meetings/2006-07-17 | and
58 Mot inconnu : concerns => The Ubuntu Magazine, a new project of the Ubuntu Marketing Team, met on July 17, 2006, to discuss a Wiki redesign, a project charter, a magazine name, and concerns for future contests. For more information concerning the meeting, please check out https://wiki.ubuntu.com/UbuntuMagazine/Meetings/2006-07-17 | concerns
58 Mot inconnu : contests => The Ubuntu Magazine, a new project of the Ubuntu Marketing Team, met on July 17, 2006, to discuss a Wiki redesign, a project charter, a magazine name, and concerns for future contests. For more information concerning the meeting, please check out https://wiki.ubuntu.com/UbuntuMagazine/Meetings/2006-07-17 | contests
58 Mot inconnu : concerning => The Ubuntu Magazine, a new project of the Ubuntu Marketing Team, met on July 17, 2006, to discuss a Wiki redesign, a project charter, a magazine name, and concerns for future contests. For more information concerning the meeting, please check out https://wiki.ubuntu.com/UbuntuMagazine/Meetings/2006-07-17 | concerning
58 Mot inconnu : the => The Ubuntu Magazine, a new project of the Ubuntu Marketing Team, met on July 17, 2006, to discuss a Wiki redesign, a project charter, a magazine name, and concerns for future contests. For more information concerning the meeting, please check out https://wiki.ubuntu.com/UbuntuMagazine/Meetings/2006-07-17 | the
58 Mot inconnu : please => The Ubuntu Magazine, a new project of the Ubuntu Marketing Team, met on July 17, 2006, to discuss a Wiki redesign, a project charter, a magazine name, and concerns for future contests. For more information concerning the meeting, please check out https://wiki.ubuntu.com/UbuntuMagazine/Meetings/2006-07-17 | please
58 Mot inconnu : check => The Ubuntu Magazine, a new project of the Ubuntu Marketing Team, met on July 17, 2006, to discuss a Wiki redesign, a project charter, a magazine name, and concerns for future contests. For more information concerning the meeting, please check out https://wiki.ubuntu.com/UbuntuMagazine/Meetings/2006-07-17 | check

60 Mot inconnu : Canonical => ==== Canonical Commercial Repositories ==== | canonical
60 Mot inconnu : Repositories => ==== Canonical Commercial Repositories ==== | repositories

63 Mot inconnu : deb => deb http://archive.canonical.com/ubuntu dapper-commercial main | deb
63 Mot inconnu : dapper-commercial => deb http://archive.canonical.com/ubuntu dapper-commercial main | dapper-commercial

65 Mot inconnu : See => See https://help.ubuntu.com/community/Repositories for additional help adding repositories. | see
65 Mot inconnu : additional => See https://help.ubuntu.com/community/Repositories for additional help adding repositories. | additional
65 Mot inconnu : help => See https://help.ubuntu.com/community/Repositories for additional help adding repositories. | help
65 Mot inconnu : adding => See https://help.ubuntu.com/community/Repositories for additional help adding repositories. | adding
65 Mot inconnu : repositories => See https://help.ubuntu.com/community/Repositories for additional help adding repositories. | repositories

67 Mot inconnu : Opera => ==== Opera 9 for Ubuntu ==== | opera
67 Accord de nombre erroné avec « 9 » : « for » devrait être au pluriel. => ==== Opera 9 for Ubuntu ==== | for => suggestions : ['fors']

70 Mot inconnu : Hug => ==== Hug Day ==== | hug
70 Mot inconnu : Day => ==== Hug Day ==== | day

71 Mot inconnu : July => === July 19, 2006 === | july

72 Mot inconnu : The => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | the
72 Mot inconnu : BugSquad => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | bugsquad
72 Mot inconnu : and => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | and
72 Mot inconnu : many => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | many
72 Mot inconnu : volunteers => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | volunteers
72 Mot inconnu : worked => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | worked
72 Mot inconnu : countless => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | countless
72 Mot inconnu : hours => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | hours
72 Mot inconnu : triaging => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | triaging
72 Mot inconnu : IRC => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | irc
72 Mot inconnu : was => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | was
72 Mot inconnu : the => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | the
72 Mot inconnu : busiest => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | busiest
72 Mot inconnu : many => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | many
72 Mot inconnu : seen => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | seen
72 Mot inconnu : while => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | while
72 Mot inconnu : from => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | from
72 Mot inconnu : everywhere => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | everywhere
72 Mot inconnu : to => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | to
72 Mot inconnu : help => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | help
72 Mot inconnu : knock => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | knock
72 Mot inconnu : down => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | down
72 Mot inconnu : the => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | the
72 Mot inconnu : current => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | current
72 Mot inconnu : list => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | list
72 Mot inconnu : When => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | when
72 Mot inconnu : asked => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | asked
72 Mot inconnu : the => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | the
72 Mot inconnu : results => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | results
72 Mot inconnu : of => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | of
72 Mot inconnu : the => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | the
72 Mot inconnu : Hug => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | hug
72 Mot inconnu : Day => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | day
72 Mot inconnu : the => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | the
72 Mot inconnu : following => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | following
72 Mot inconnu : quote => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | quote
72 Mot inconnu : was => The Ubuntu BugSquad and many volunteers worked countless hours triaging bugs. #ubuntu-bugs on IRC was the busiest many have seen in a while. People came from everywhere to help knock down the current bug list. When asked about the results of the Hug Day, the following quote was made: | was

74 Mot inconnu : any => <nixternal> any results from yesterday's 'Hug Day'??? this is for the UWN | any
74 Mot inconnu : results => <nixternal> any results from yesterday's 'Hug Day'??? this is for the UWN | results
74 Mot inconnu : from => <nixternal> any results from yesterday's 'Hug Day'??? this is for the UWN | from
74 Mot inconnu : yesterday's => <nixternal> any results from yesterday's 'Hug Day'??? this is for the UWN | yesterday's
74 Apostrophe incorrecte. => <nixternal> any results from yesterday's 'Hug Day'??? this is for the UWN | s ' => suggestions : ['s’']
74 Guillemets typographiques ouvrants. => <nixternal> any results from yesterday's 'Hug Day'??? this is for the UWN | ' => suggestions : ['“', '‘', '‹']
74 Mot inconnu : Hug => <nixternal> any results from yesterday's 'Hug Day'??? this is for the UWN | hug
74 Mot inconnu : Day => <nixternal> any results from yesterday's 'Hug Day'??? this is for the UWN | day
74 Mot inconnu : this => <nixternal> any results from yesterday's 'Hug Day'??? this is for the UWN | this
74 Mot inconnu : is => <nixternal> any results from yesterday's 'Hug Day'??? this is for the UWN | is
74 Mot inconnu : the => <nixternal> any results from yesterday's 'Hug Day'??? this is for the UWN | the
74 Mot inconnu : UWN => <nixternal> any results from yesterday's 'Hug Day'??? this is for the UWN | uwn

75 Guillemets typographiques ouvrants. => <crimsun> "we closed some bugs". | " => suggestions : ['«\xa0', '“']
75 Mot inconnu : we => <crimsun> "we closed some bugs". | we
75 Mot inconnu : closed => <crimsun> "we closed some bugs". | closed
75 Mot inconnu : some => <crimsun> "we closed some bugs". | some
75 Guillemets typographiques fermants. => <crimsun> "we closed some bugs". | " => suggestions : ['\xa0»', '”']

77 Mot inconnu : think => I think he is understating the whole event, but I think that qualifies as a down n' dirty interview. When the results become available, they will be posted here in the UWN. | think
77 Mot inconnu : he => I think he is understating the whole event, but I think that qualifies as a down n' dirty interview. When the results become available, they will be posted here in the UWN. | he
77 Mot inconnu : is => I think he is understating the whole event, but I think that qualifies as a down n' dirty interview. When the results become available, they will be posted here in the UWN. | is
77 Mot inconnu : understating => I think he is understating the whole event, but I think that qualifies as a down n' dirty interview. When the results become available, they will be posted here in the UWN. | understating
77 Mot inconnu : the => I think he is understating the whole event, but I think that qualifies as a down n' dirty interview. When the results become available, they will be posted here in the UWN. | the
77 Mot inconnu : whole => I think he is understating the whole event, but I think that qualifies as a down n' dirty interview. When the results become available, they will be posted here in the UWN. | whole
77 Mot inconnu : event => I think he is understating the whole event, but I think that qualifies as a down n' dirty interview. When the results become available, they will be posted here in the UWN. | event
77 Mot inconnu : think => I think he is understating the whole event, but I think that qualifies as a down n' dirty interview. When the results become available, they will be posted here in the UWN. | think
77 Mot inconnu : that => I think he is understating the whole event, but I think that qualifies as a down n' dirty interview. When the results become available, they will be posted here in the UWN. | that
77 Incohérence. Ceci est un verbe à la 2ᵉ personne du singulier. Sujet (“tu” ou “toi qui”) introuvable. => I think he is understating the whole event, but I think that qualifies as a down n' dirty interview. When the results become available, they will be posted here in the UWN. | qualifies => suggestions : ['qualifie']
77 Mot inconnu : down => I think he is understating the whole event, but I think that qualifies as a down n' dirty interview. When the results become available, they will be posted here in the UWN. | down
77 Guillemets typographiques fermants. => I think he is understating the whole event, but I think that qualifies as a down n' dirty interview. When the results become available, they will be posted here in the UWN. | ' => suggestions : ['”', '’', '›']
77 Mot inconnu : dirty => I think he is understating the whole event, but I think that qualifies as a down n' dirty interview. When the results become available, they will be posted here in the UWN. | dirty
77 Mot inconnu : When => I think he is understating the whole event, but I think that qualifies as a down n' dirty interview. When the results become available, they will be posted here in the UWN. | when
77 Mot inconnu : the => I think he is understating the whole event, but I think that qualifies as a down n' dirty interview. When the results become available, they will be posted here in the UWN. | the
77 Mot inconnu : results => I think he is understating the whole event, but I think that qualifies as a down n' dirty interview. When the results become available, they will be posted here in the UWN. | results
77 Mot inconnu : become => I think he is understating the whole event, but I think that qualifies as a down n' dirty interview. When the results become available, they will be posted here in the UWN. | become
77 Mot inconnu : available => I think he is understating the whole event, but I think that qualifies as a down n' dirty interview. When the results become available, they will be posted here in the UWN. | available
77 Mot inconnu : they => I think he is understating the whole event, but I think that qualifies as a down n' dirty interview. When the results become available, they will be posted here in the UWN. | they
77 Mot inconnu : will => I think he is understating the whole event, but I think that qualifies as a down n' dirty interview. When the results become available, they will be posted here in the UWN. | will
77 Mot inconnu : posted => I think he is understating the whole event, but I think that qualifies as a down n' dirty interview. When the results become available, they will be posted here in the UWN. | posted
77 Mot inconnu : here => I think he is understating the whole event, but I think that qualifies as a down n' dirty interview. When the results become available, they will be posted here in the UWN. | here
77 Mot inconnu : the => I think he is understating the whole event, but I think that qualifies as a down n' dirty interview. When the results become available, they will be posted here in the UWN. | the
77 Mot inconnu : UWN => I think he is understating the whole event, but I think that qualifies as a down n' dirty interview. When the results become available, they will be posted here in the UWN. | uwn

79 Mot inconnu : Technical => ==== Technical Board Meeting ==== | technical
79 Mot inconnu : Board => ==== Technical Board Meeting ==== | board

80 Mot inconnu : July => === July 18, 2006, 20:00 UTC === | july

81 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Agenda - https://wiki.ubuntu.com/TechnicalBoardAgenda |  -  => suggestions : [' – ', ' — ', ' − ']

82 Mot inconnu : IRC => IRC Log - http://people.ubuntu.com/~fabbione/irclogs/ubuntu-meeting-2006-07-18.html | irc
82 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => IRC Log - http://people.ubuntu.com/~fabbione/irclogs/ubuntu-meeting-2006-07-18.html |  -  => suggestions : [' – ', ' — ', ' − ']
82 Mot inconnu : fabbione => IRC Log - http://people.ubuntu.com/~fabbione/irclogs/ubuntu-meeting-2006-07-18.html | fabbione
82 Mot inconnu : irclogs => IRC Log - http://people.ubuntu.com/~fabbione/irclogs/ubuntu-meeting-2006-07-18.html | irclogs
82 Mot inconnu : ubuntu-meeting-2006-07-18 => IRC Log - http://people.ubuntu.com/~fabbione/irclogs/ubuntu-meeting-2006-07-18.html | ubuntu-meeting-2006-07-18
82 Mot inconnu : html => IRC Log - http://people.ubuntu.com/~fabbione/irclogs/ubuntu-meeting-2006-07-18.html | html

91 Mot inconnu : Team => ==== Ubuntu Marketing Team Meeting ==== | team

92 Mot inconnu : July => === July 21, 2006, 19:00 UTC === | july

98 Mot inconnu : Lugradio => ==== Lugradio Live 2006 ==== | lugradio

99 Mot inconnu : Saturday => === Saturday, July 22, 2006, through Sunday, July 23, 2006 === | saturday
99 Mot inconnu : July => === Saturday, July 22, 2006, through Sunday, July 23, 2006 === | july
99 Mot inconnu : through => === Saturday, July 22, 2006, through Sunday, July 23, 2006 === | through
99 Mot inconnu : Sunday => === Saturday, July 22, 2006, through Sunday, July 23, 2006 === | sunday
99 Mot inconnu : July => === Saturday, July 22, 2006, through Sunday, July 23, 2006 === | july

102 Mot inconnu : you => Wolverhampton, are you ready? The LUGRadio Live event driven by and for OpenSource is upon us! The following is just a FEW of the speakers you can see or hear: | you
102 Mot inconnu : ready => Wolverhampton, are you ready? The LUGRadio Live event driven by and for OpenSource is upon us! The following is just a FEW of the speakers you can see or hear: | ready
102 Mot inconnu : The => Wolverhampton, are you ready? The LUGRadio Live event driven by and for OpenSource is upon us! The following is just a FEW of the speakers you can see or hear: | the
102 Mot inconnu : LUGRadio => Wolverhampton, are you ready? The LUGRadio Live event driven by and for OpenSource is upon us! The following is just a FEW of the speakers you can see or hear: | lugradio
102 Mot inconnu : event => Wolverhampton, are you ready? The LUGRadio Live event driven by and for OpenSource is upon us! The following is just a FEW of the speakers you can see or hear: | event
102 Mot inconnu : driven => Wolverhampton, are you ready? The LUGRadio Live event driven by and for OpenSource is upon us! The following is just a FEW of the speakers you can see or hear: | driven
102 Mot inconnu : by => Wolverhampton, are you ready? The LUGRadio Live event driven by and for OpenSource is upon us! The following is just a FEW of the speakers you can see or hear: | by
102 Mot inconnu : and => Wolverhampton, are you ready? The LUGRadio Live event driven by and for OpenSource is upon us! The following is just a FEW of the speakers you can see or hear: | and
102 Mot inconnu : OpenSource => Wolverhampton, are you ready? The LUGRadio Live event driven by and for OpenSource is upon us! The following is just a FEW of the speakers you can see or hear: | opensource
102 Mot inconnu : is => Wolverhampton, are you ready? The LUGRadio Live event driven by and for OpenSource is upon us! The following is just a FEW of the speakers you can see or hear: | is
102 Mot inconnu : upon => Wolverhampton, are you ready? The LUGRadio Live event driven by and for OpenSource is upon us! The following is just a FEW of the speakers you can see or hear: | upon
102 Mot inconnu : The => Wolverhampton, are you ready? The LUGRadio Live event driven by and for OpenSource is upon us! The following is just a FEW of the speakers you can see or hear: | the
102 Mot inconnu : following => Wolverhampton, are you ready? The LUGRadio Live event driven by and for OpenSource is upon us! The following is just a FEW of the speakers you can see or hear: | following
102 Mot inconnu : is => Wolverhampton, are you ready? The LUGRadio Live event driven by and for OpenSource is upon us! The following is just a FEW of the speakers you can see or hear: | is
102 Mot inconnu : just => Wolverhampton, are you ready? The LUGRadio Live event driven by and for OpenSource is upon us! The following is just a FEW of the speakers you can see or hear: | just
102 Mot inconnu : FEW => Wolverhampton, are you ready? The LUGRadio Live event driven by and for OpenSource is upon us! The following is just a FEW of the speakers you can see or hear: | few
102 Mot inconnu : of => Wolverhampton, are you ready? The LUGRadio Live event driven by and for OpenSource is upon us! The following is just a FEW of the speakers you can see or hear: | of
102 Mot inconnu : the => Wolverhampton, are you ready? The LUGRadio Live event driven by and for OpenSource is upon us! The following is just a FEW of the speakers you can see or hear: | the
102 Mot inconnu : you => Wolverhampton, are you ready? The LUGRadio Live event driven by and for OpenSource is upon us! The following is just a FEW of the speakers you can see or hear: | you
102 Mot inconnu : can => Wolverhampton, are you ready? The LUGRadio Live event driven by and for OpenSource is upon us! The following is just a FEW of the speakers you can see or hear: | can
102 Mot inconnu : see => Wolverhampton, are you ready? The LUGRadio Live event driven by and for OpenSource is upon us! The following is just a FEW of the speakers you can see or hear: | see
102 Mot inconnu : hear => Wolverhampton, are you ready? The LUGRadio Live event driven by and for OpenSource is upon us! The following is just a FEW of the speakers you can see or hear: | hear

107 Mot inconnu : There => There will be plenty to hear and see, so make sure you check it out! | there
107 Mot inconnu : will => There will be plenty to hear and see, so make sure you check it out! | will
107 Mot inconnu : plenty => There will be plenty to hear and see, so make sure you check it out! | plenty
107 Mot inconnu : to => There will be plenty to hear and see, so make sure you check it out! | to
107 Mot inconnu : hear => There will be plenty to hear and see, so make sure you check it out! | hear
107 Mot inconnu : and => There will be plenty to hear and see, so make sure you check it out! | and
107 Mot inconnu : see => There will be plenty to hear and see, so make sure you check it out! | see
107 Mot inconnu : so => There will be plenty to hear and see, so make sure you check it out! | so
107 Mot inconnu : make => There will be plenty to hear and see, so make sure you check it out! | make
107 Mot inconnu : you => There will be plenty to hear and see, so make sure you check it out! | you
107 Mot inconnu : check => There will be plenty to hear and see, so make sure you check it out! | check
107 Mot inconnu : it => There will be plenty to hear and see, so make sure you check it out! | it

115 Mot inconnu : USN-319-1 => USN-319-1: Linux kernel vulnerability http://www.ubuntu.com/usn/usn-319-1 | usn-319-1
115 Mot inconnu : kernel => USN-319-1: Linux kernel vulnerability http://www.ubuntu.com/usn/usn-319-1 | kernel
115 Mot inconnu : vulnerability => USN-319-1: Linux kernel vulnerability http://www.ubuntu.com/usn/usn-319-1 | vulnerability

117 Mot inconnu : USN-313-2 => USN-313-2: Open``Office.org vulnerabilities http://www.ubuntu.com/usn/usn-313-2 | usn-313-2
117 Mot inconnu : vulnerabilities => USN-313-2: Open``Office.org vulnerabilities http://www.ubuntu.com/usn/usn-313-2 | vulnerabilities

119 Mot inconnu : USN-319-2 => USN-319-2: Linux kernel vulnerability http://www.ubuntu.com/usn/usn-319-2 | usn-319-2
119 Mot inconnu : kernel => USN-319-2: Linux kernel vulnerability http://www.ubuntu.com/usn/usn-319-2 | kernel
119 Mot inconnu : vulnerability => USN-319-2: Linux kernel vulnerability http://www.ubuntu.com/usn/usn-319-2 | vulnerability

121 Mot inconnu : USN-320-1 => USN-320-1: PHP vulnerabilities http://www.ubuntu.com/usn/usn-320-1 | usn-320-1
121 Mot inconnu : vulnerabilities => USN-320-1: PHP vulnerabilities http://www.ubuntu.com/usn/usn-320-1 | vulnerabilities

124 Mot inconnu : Development => ==== Development Team Meeting ==== | development
124 Mot inconnu : Team => ==== Development Team Meeting ==== | team

125 Mot inconnu : July => === July 20, 2006 15:00 UTC === | july

126 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Agenda - https://wiki.ubuntu.com/DistroTeamMeeting20060720 |  -  => suggestions : [' – ', ' — ', ' − ']

127 Mot inconnu : IRC => IRC Log - http://people.ubuntu.com/~fabbione/irclogs/ubuntu-meeting-2006-07-20.html | irc
127 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => IRC Log - http://people.ubuntu.com/~fabbione/irclogs/ubuntu-meeting-2006-07-20.html |  -  => suggestions : [' – ', ' — ', ' − ']
127 Mot inconnu : fabbione => IRC Log - http://people.ubuntu.com/~fabbione/irclogs/ubuntu-meeting-2006-07-20.html | fabbione
127 Mot inconnu : irclogs => IRC Log - http://people.ubuntu.com/~fabbione/irclogs/ubuntu-meeting-2006-07-20.html | irclogs
127 Mot inconnu : ubuntu-meeting-2006-07-20 => IRC Log - http://people.ubuntu.com/~fabbione/irclogs/ubuntu-meeting-2006-07-20.html | ubuntu-meeting-2006-07-20
127 Mot inconnu : html => IRC Log - http://people.ubuntu.com/~fabbione/irclogs/ubuntu-meeting-2006-07-20.html | html

132 Mot inconnu : LTS => ==== Ubuntu 6.06 LTS Updates ==== | lts
132 Mot inconnu : Updates => ==== Ubuntu 6.06 LTS Updates ==== | updates

133 Mot inconnu : gfxboot-theme-ubuntu => === gfxboot-theme-ubuntu 0.1.26 === | gfxboot-theme-ubuntu

138 Mot inconnu : July => ==== Meeting July 17, 2006 ==== | july

