
5 Mot inconnu : Bacula => ====== Bacula : sauvegarder régulièrement son PC ====== | bacula
188 Il manque un espace à côté du tiret. =>   RunBeforeJob = "/usr/bin/awk -f /etc/bacula/scripts/make_catalog_backup_awk -v cat1=MyCatalog /etc/bacula/bacula-dir.conf" |  - => suggestions : [' – ', ' — ']
188 Mot inconnu : cat1 =>   RunBeforeJob = "/usr/bin/awk -f /etc/bacula/scripts/make_catalog_backup_awk -v cat1=MyCatalog /etc/bacula/bacula-dir.conf" | cat1
188 Mot inconnu : MyCatalog =>   RunBeforeJob = "/usr/bin/awk -f /etc/bacula/scripts/make_catalog_backup_awk -v cat1=MyCatalog /etc/bacula/bacula-dir.conf" | mycatalog
188 Guillemets typographiques fermants. =>   RunBeforeJob = "/usr/bin/awk -f /etc/bacula/scripts/make_catalog_backup_awk -v cat1=MyCatalog /etc/bacula/bacula-dir.conf" | " => suggestions : ['\xa0»', '”']

189 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ----- |    => suggestions : ['']

193 Guillemets typographiques ouvrants. => <note tip>En cas d'oubli de cette étape, vous avez un message d'erreur "Could not stat /var/lib/bacula/bacula.sql: ERR=No such file or directory" dans le mail après la sauvegarde.</note> | " => suggestions : ['«\xa0', '“']
193 Mot inconnu : Could => <note tip>En cas d'oubli de cette étape, vous avez un message d'erreur "Could not stat /var/lib/bacula/bacula.sql: ERR=No such file or directory" dans le mail après la sauvegarde.</note> | could
193 Mot inconnu : not => <note tip>En cas d'oubli de cette étape, vous avez un message d'erreur "Could not stat /var/lib/bacula/bacula.sql: ERR=No such file or directory" dans le mail après la sauvegarde.</note> | not
193 Mot inconnu : stat => <note tip>En cas d'oubli de cette étape, vous avez un message d'erreur "Could not stat /var/lib/bacula/bacula.sql: ERR=No such file or directory" dans le mail après la sauvegarde.</note> | stat
193 Mot inconnu : ERR => <note tip>En cas d'oubli de cette étape, vous avez un message d'erreur "Could not stat /var/lib/bacula/bacula.sql: ERR=No such file or directory" dans le mail après la sauvegarde.</note> | err
193 Mot inconnu : such => <note tip>En cas d'oubli de cette étape, vous avez un message d'erreur "Could not stat /var/lib/bacula/bacula.sql: ERR=No such file or directory" dans le mail après la sauvegarde.</note> | such
193 Mot inconnu : directory => <note tip>En cas d'oubli de cette étape, vous avez un message d'erreur "Could not stat /var/lib/bacula/bacula.sql: ERR=No such file or directory" dans le mail après la sauvegarde.</note> | directory
193 Guillemets typographiques fermants. => <note tip>En cas d'oubli de cette étape, vous avez un message d'erreur "Could not stat /var/lib/bacula/bacula.sql: ERR=No such file or directory" dans le mail après la sauvegarde.</note> | " => suggestions : ['\xa0»', '”']

195 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Indiquer l'utilisateur qui va bien pour les mails |    => suggestions : ['']

197 Mot inconnu : mon_nom_utilisateur => mail = mon_nom_utilisateur@localhost = all, !skipped | mon_nom_utilisateur
197 Mot inconnu : all => mail = mon_nom_utilisateur@localhost = all, !skipped | all
197 Une de ces ponctuations est superflue. => mail = mon_nom_utilisateur@localhost = all, !skipped | , ! => suggestions : [',', '!']
197 Il manque un espace. => mail = mon_nom_utilisateur@localhost = all, !skipped | skipped => suggestions : [' skipped']
197 Mot inconnu : skipped => mail = mon_nom_utilisateur@localhost = all, !skipped | skipped

198 Mot inconnu : operator => operator = mon_nom_utilisateur@localhost = mount | operator
198 Mot inconnu : mon_nom_utilisateur => operator = mon_nom_utilisateur@localhost = mount | mon_nom_utilisateur
198 Mot inconnu : mount => operator = mon_nom_utilisateur@localhost = mount | mount

208 Il manque un trait d’union. => ce lien est HS, c'est peut-être celui là qui le remplace:\\ | celui là => suggestions : ['celui-là']

212 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * pour la sauvegarde totale |    => suggestions : ['']

215 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Name = Full-Pool |    => suggestions : ['']
215 Mot inconnu : Name =>   Name = Full-Pool | name

216 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Pool Type = Backup |    => suggestions : ['']
216 Mot inconnu : Backup =>   Pool Type = Backup | backup

217 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Recycle = yes           # automatically recycle Volumes |    => suggestions : ['']
217 Mot inconnu : yes =>   Recycle = yes           # automatically recycle Volumes | yes
217 Espace(s) surnuméraire(s) à supprimer. =>   Recycle = yes           # automatically recycle Volumes |             => suggestions : [' ']
217 Mot inconnu : automatically =>   Recycle = yes           # automatically recycle Volumes | automatically

218 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   AutoPrune = yes         # Prune expired volumes |    => suggestions : ['']
218 Mot inconnu : AutoPrune =>   AutoPrune = yes         # Prune expired volumes | autoprune
218 Mot inconnu : yes =>   AutoPrune = yes         # Prune expired volumes | yes
218 Espace(s) surnuméraire(s) à supprimer. =>   AutoPrune = yes         # Prune expired volumes |           => suggestions : [' ']
218 Mot inconnu : expired =>   AutoPrune = yes         # Prune expired volumes | expired

219 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Volume Retention = 6 months |    => suggestions : ['']
219 Mot inconnu : Retention =>   Volume Retention = 6 months | retention
219 Mot inconnu : months =>   Volume Retention = 6 months | months

220 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Maximum Volume Jobs = 1 |    => suggestions : ['']

221 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Label Format = Full- |    => suggestions : ['']

222 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   #  Maximum Volumes = 9 |    => suggestions : ['']

226 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * pour la sauvegarde incrémentale ... |    => suggestions : ['']
226 Typographie : points de suspension. Utilisez le caractère dédié. =>   * pour la sauvegarde incrémentale ... | ... => suggestions : ['…']

229 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Name = Inc-Pool |    => suggestions : ['']
229 Mot inconnu : Name =>   Name = Inc-Pool | name
229 Mot inconnu : Inc-Pool =>   Name = Inc-Pool | inc-pool

230 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Pool Type = Backup |    => suggestions : ['']
230 Mot inconnu : Backup =>   Pool Type = Backup | backup

231 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Recycle = yes           # automatically recycle Volumes |    => suggestions : ['']
231 Mot inconnu : yes =>   Recycle = yes           # automatically recycle Volumes | yes
231 Espace(s) surnuméraire(s) à supprimer. =>   Recycle = yes           # automatically recycle Volumes |             => suggestions : [' ']
231 Mot inconnu : automatically =>   Recycle = yes           # automatically recycle Volumes | automatically

232 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   AutoPrune = yes         # Prune expired volumes |    => suggestions : ['']
232 Mot inconnu : AutoPrune =>   AutoPrune = yes         # Prune expired volumes | autoprune
232 Mot inconnu : yes =>   AutoPrune = yes         # Prune expired volumes | yes
232 Espace(s) surnuméraire(s) à supprimer. =>   AutoPrune = yes         # Prune expired volumes |           => suggestions : [' ']
232 Mot inconnu : expired =>   AutoPrune = yes         # Prune expired volumes | expired

233 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Volume Retention = 20 days |    => suggestions : ['']
233 Mot inconnu : Retention =>   Volume Retention = 20 days | retention
233 Mot inconnu : days =>   Volume Retention = 20 days | days

234 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Maximum Volume Jobs = 6 |    => suggestions : ['']

235 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Label Format = Inc- |    => suggestions : ['']
235 Mot inconnu : Inc =>   Label Format = Inc- | inc

236 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Maximum Volumes = 7 |    => suggestions : ['']

240 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ... et différentielle |    => suggestions : ['']
240 Typographie : points de suspension. Utilisez le caractère dédié. =>   * ... et différentielle | ... => suggestions : ['…']

243 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Name = Diff-Pool |    => suggestions : ['']
243 Mot inconnu : Name =>   Name = Diff-Pool | name
243 Mot inconnu : Diff-Pool =>   Name = Diff-Pool | diff-pool

244 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Pool Type = Backup |    => suggestions : ['']
244 Mot inconnu : Backup =>   Pool Type = Backup | backup

245 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Recycle = yes |    => suggestions : ['']
245 Mot inconnu : yes =>   Recycle = yes | yes

246 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   AutoPrune = yes |    => suggestions : ['']
246 Mot inconnu : AutoPrune =>   AutoPrune = yes | autoprune
246 Mot inconnu : yes =>   AutoPrune = yes | yes

247 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Volume Retention = 40 days |    => suggestions : ['']
247 Mot inconnu : Retention =>   Volume Retention = 40 days | retention
247 Mot inconnu : days =>   Volume Retention = 40 days | days

248 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Maximum Volume Jobs = 1 |    => suggestions : ['']

249 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Label Format = Diff- |    => suggestions : ['']
249 Mot inconnu : Diff =>   Label Format = Diff- | diff

250 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Maximum Volumes = 10 |    => suggestions : ['']

255 Mot inconnu : Edition => === Edition de /etc/bacula/bacula-sd.conf === | edition

259 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Donner le chemin où seront stockés les fichiers : |    => suggestions : ['']

261 Mot inconnu : Device => Device { | device

262 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Name = FileStorage |    => suggestions : ['']
262 Mot inconnu : Name =>   Name = FileStorage | name
262 Mot inconnu : FileStorage =>   Name = FileStorage | filestorage

263 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Archive Device = /opt/SAUVEGARDE/bacula |    => suggestions : ['']
263 Mot inconnu : Device =>   Archive Device = /opt/SAUVEGARDE/bacula | device

290 Mot inconnu : Bacula => === Recopie des fichiers de configuration de Bacula === | bacula

292 Mot inconnu : Bacula => Cette étape est utile en cas de crash disque (i.e. la totalité de la configuration de Bacula est perdue) : | bacula

295 Mot inconnu : Bacula => === Relance de Bacula === | bacula

297 Mot inconnu : Bacula => Pour que Bacula prennent en compte les modifications apportées au fichier de configuration, lancer les commandes ci-dessous dans un terminal : | bacula

305 Mot inconnu : bacula => === Lancer l'interface graphique de bacula === | bacula

307 Mot inconnu : Bacula => Bacula lui même est un outil en ligne de commande mais un autre outil permet d'utiliser une interface graphique. | bacula
307 Il manque un trait d’union si “même” se rapporte à “lui”. => Bacula lui même est un outil en ligne de commande mais un autre outil permet d'utiliser une interface graphique. | lui même => suggestions : ['lui-même']

311 Mot inconnu : jaunty => Dans le menu Applications / Outils système, le raccourci est faux (pour jaunty au moins) | jaunty

319 Mot inconnu : bacula-restores => <note important>Quand vous regardez les fichiers qui sont dans //bacula-restores// ne pas oublier que vous n'avez pas forcement les droits de tout voir.  | bacula-restores
319 Confusion probable : le forcement est l’action de forcer quelque chose. L’adverbe s’écrit “forcément”. => <note important>Quand vous regardez les fichiers qui sont dans //bacula-restores// ne pas oublier que vous n'avez pas forcement les droits de tout voir.  | forcement => suggestions : ['forcément']
319 Espace(s) en fin de ligne à supprimer. => <note important>Quand vous regardez les fichiers qui sont dans //bacula-restores// ne pas oublier que vous n'avez pas forcement les droits de tout voir.  |   => suggestions : ['']

322 Après un point, une majuscule est généralement requise. => === Oups. mon disque est rempli par les sauvegardes! === | mon => suggestions : ['Mon']

323 Mot inconnu : Reduire => == Reduire la durée de rétention == | reduire

324 Espace(s) en fin de ligne à supprimer. => Par exemple dans **/etc/bacula/bacula-dir.conf** au lieu d'avoir  |   => suggestions : ['']

331 Mot inconnu : bacula => Pour cela il va falloir démarrer la console de bacula (bat) | bacula

333 Mot inconnu : bacula => Avec la console de bacula, sélectionner **Pools** puis sélectionner un volume et vérifier ce qu'il contient avec un clic droit puis **list job on volume** | bacula
333 Mot inconnu : list => Avec la console de bacula, sélectionner **Pools** puis sélectionner un volume et vérifier ce qu'il contient avec un clic droit puis **list job on volume** | list
333 Incohérence avec “on” : “volume” devrait être un verbe, un pronom objet, un adverbe de négation, etc. => Avec la console de bacula, sélectionner **Pools** puis sélectionner un volume et vérifier ce qu'il contient avec un clic droit puis **list job on volume** | volume => suggestions : []

336 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => une fois le volume choisi, faites un nouveau clic droit et choisissez **purge volume**. Répondez oui aux messages vous demandant si vous êtes sûr de vous. La console bacula va alors faire apparaître le volume comme **purged** | une => suggestions : ['Une']
336 Mot inconnu : bacula => une fois le volume choisi, faites un nouveau clic droit et choisissez **purge volume**. Répondez oui aux messages vous demandant si vous êtes sûr de vous. La console bacula va alors faire apparaître le volume comme **purged** | bacula
336 Mot inconnu : purged => une fois le volume choisi, faites un nouveau clic droit et choisissez **purge volume**. Répondez oui aux messages vous demandant si vous êtes sûr de vous. La console bacula va alors faire apparaître le volume comme **purged** | purged

338 Mot inconnu : bacula => Une fois le volume purgé, il faut le supprimer de la base de données de bacula. Ceci se fait avec un clic droit et le menu **delete volume** | bacula
338 Mot inconnu : delete => Une fois le volume purgé, il faut le supprimer de la base de données de bacula. Ceci se fait avec un clic droit et le menu **delete volume** | delete

339 Mot inconnu : rm => Une fois cette opération effectuée, vous pouvez supprimer le fichier par un classique **rm** (par exemple "rm Full-0073"). | rm
339 Guillemets typographiques ouvrants. => Une fois cette opération effectuée, vous pouvez supprimer le fichier par un classique **rm** (par exemple "rm Full-0073"). | " => suggestions : ['«\xa0', '“']
339 Mot inconnu : rm => Une fois cette opération effectuée, vous pouvez supprimer le fichier par un classique **rm** (par exemple "rm Full-0073"). | rm
339 Guillemets typographiques fermants. => Une fois cette opération effectuée, vous pouvez supprimer le fichier par un classique **rm** (par exemple "rm Full-0073"). | " => suggestions : ['\xa0»', '”']

344 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://www.bacula.org/fr/?page=documentation|Documentation officielle de Bacula]] |    => suggestions : ['']
344 Mot inconnu : Bacula =>   * [[https://www.bacula.org/fr/?page=documentation|Documentation officielle de Bacula]] | bacula

345 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://fr.wikipedia.org/wiki/Bacula|Article wikipedia sur Bacula]] |    => suggestions : ['']
345 Mot inconnu : wikipedia =>   * [[https://fr.wikipedia.org/wiki/Bacula|Article wikipedia sur Bacula]] | wikipedia
345 Mot inconnu : Bacula =>   * [[https://fr.wikipedia.org/wiki/Bacula|Article wikipedia sur Bacula]] | bacula

346 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.opendoc.net/comment-sauvegarder-avec-bacula|Article Opendoc sur Bacula]] |    => suggestions : ['']
346 Mot inconnu : Opendoc =>   * [[http://www.opendoc.net/comment-sauvegarder-avec-bacula|Article Opendoc sur Bacula]] | opendoc
346 Mot inconnu : Bacula =>   * [[http://www.opendoc.net/comment-sauvegarder-avec-bacula|Article Opendoc sur Bacula]] | bacula
