
7 Mot inconnu : Launchy => ====== Launchy ======  | launchy
96 Mot inconnu : gcalc =>   * Gcalc : gcalc ajoute une calculatrice et un convertisseur, il supporte de nombreux arguments (exemple : 5*9+(sqrt 10)^3). Le résultat est donné directement dans launchy (une connection internet est nécessaire, gcalc se sert de la fonction calculatrice de google).\\ | gcalc
96 Signe de multiplication typographique. =>   * Gcalc : gcalc ajoute une calculatrice et un convertisseur, il supporte de nombreux arguments (exemple : 5*9+(sqrt 10)^3). Le résultat est donné directement dans launchy (une connection internet est nécessaire, gcalc se sert de la fonction calculatrice de google).\\ | 5*9 => suggestions : ['5\xa0×\xa09']
96 Mot inconnu : sqrt =>   * Gcalc : gcalc ajoute une calculatrice et un convertisseur, il supporte de nombreux arguments (exemple : 5*9+(sqrt 10)^3). Le résultat est donné directement dans launchy (une connection internet est nécessaire, gcalc se sert de la fonction calculatrice de google).\\ | sqrt
96 Mot inconnu : launchy =>   * Gcalc : gcalc ajoute une calculatrice et un convertisseur, il supporte de nombreux arguments (exemple : 5*9+(sqrt 10)^3). Le résultat est donné directement dans launchy (une connection internet est nécessaire, gcalc se sert de la fonction calculatrice de google).\\ | launchy
96 Mot inconnu : connection =>   * Gcalc : gcalc ajoute une calculatrice et un convertisseur, il supporte de nombreux arguments (exemple : 5*9+(sqrt 10)^3). Le résultat est donné directement dans launchy (une connection internet est nécessaire, gcalc se sert de la fonction calculatrice de google).\\ | connection
96 Mot inconnu : gcalc =>   * Gcalc : gcalc ajoute une calculatrice et un convertisseur, il supporte de nombreux arguments (exemple : 5*9+(sqrt 10)^3). Le résultat est donné directement dans launchy (une connection internet est nécessaire, gcalc se sert de la fonction calculatrice de google).\\ | gcalc

97 Mot inconnu : mn => Pour les conversions, il faut utiliser l'anglais (certaines abréviations classiques sont reconnues comme kg pour kilogramme, cm pour centimètre, mais m pour mètres ou mn pour minutes ne sont pas reconnues) ; par exemple tapez : "gcalc", tab, "4 dollars in euros" pour avoir la conversion de 4 dollars en euros.\\ | mn
97 Guillemets typographiques ouvrants. => Pour les conversions, il faut utiliser l'anglais (certaines abréviations classiques sont reconnues comme kg pour kilogramme, cm pour centimètre, mais m pour mètres ou mn pour minutes ne sont pas reconnues) ; par exemple tapez : "gcalc", tab, "4 dollars in euros" pour avoir la conversion de 4 dollars en euros.\\ | " => suggestions : ['«\xa0', '“']
97 Mot inconnu : gcalc => Pour les conversions, il faut utiliser l'anglais (certaines abréviations classiques sont reconnues comme kg pour kilogramme, cm pour centimètre, mais m pour mètres ou mn pour minutes ne sont pas reconnues) ; par exemple tapez : "gcalc", tab, "4 dollars in euros" pour avoir la conversion de 4 dollars en euros.\\ | gcalc
97 Guillemets typographiques fermants. => Pour les conversions, il faut utiliser l'anglais (certaines abréviations classiques sont reconnues comme kg pour kilogramme, cm pour centimètre, mais m pour mètres ou mn pour minutes ne sont pas reconnues) ; par exemple tapez : "gcalc", tab, "4 dollars in euros" pour avoir la conversion de 4 dollars en euros.\\ | " => suggestions : ['\xa0»', '”']
97 Mot inconnu : tab => Pour les conversions, il faut utiliser l'anglais (certaines abréviations classiques sont reconnues comme kg pour kilogramme, cm pour centimètre, mais m pour mètres ou mn pour minutes ne sont pas reconnues) ; par exemple tapez : "gcalc", tab, "4 dollars in euros" pour avoir la conversion de 4 dollars en euros.\\ | tab
97 Guillemets typographiques ouvrants. => Pour les conversions, il faut utiliser l'anglais (certaines abréviations classiques sont reconnues comme kg pour kilogramme, cm pour centimètre, mais m pour mètres ou mn pour minutes ne sont pas reconnues) ; par exemple tapez : "gcalc", tab, "4 dollars in euros" pour avoir la conversion de 4 dollars en euros.\\ | " => suggestions : ['«\xa0', '“']
97 Confusion possible : pour le déterminant désignant quelque chose, écrivez “un”. => Pour les conversions, il faut utiliser l'anglais (certaines abréviations classiques sont reconnues comme kg pour kilogramme, cm pour centimètre, mais m pour mètres ou mn pour minutes ne sont pas reconnues) ; par exemple tapez : "gcalc", tab, "4 dollars in euros" pour avoir la conversion de 4 dollars en euros.\\ | in => suggestions : ['un']
97 Guillemets typographiques fermants. => Pour les conversions, il faut utiliser l'anglais (certaines abréviations classiques sont reconnues comme kg pour kilogramme, cm pour centimètre, mais m pour mètres ou mn pour minutes ne sont pas reconnues) ; par exemple tapez : "gcalc", tab, "4 dollars in euros" pour avoir la conversion de 4 dollars en euros.\\ | " => suggestions : ['\xa0»', '”']
98 Guillemets typographiques ouvrants. => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | " => suggestions : ['«\xa0', '“']
98 Mot inconnu : meters => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | meters
98 Mot inconnu : inch => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | inch
98 Guillemets typographiques fermants. => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | " => suggestions : ['\xa0»', '”']
98 Guillemets typographiques ouvrants. => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | " => suggestions : ['«\xa0', '“']
98 Confusion possible : pour le déterminant désignant quelque chose, écrivez “un”. => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | in => suggestions : ['un']
98 Guillemets typographiques fermants. => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | " => suggestions : ['\xa0»', '”']
98 Guillemets typographiques ouvrants. => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | " => suggestions : ['«\xa0', '“']
98 Mot inconnu : years => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | years
98 Mot inconnu : months => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | months
98 Guillemets typographiques fermants. => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | " => suggestions : ['\xa0»', '”']
98 Guillemets typographiques ouvrants. => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | " => suggestions : ['«\xa0', '“']
98 Mot inconnu : kilometer => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | kilometer
98 Confusion possible : pour le déterminant désignant quelque chose, écrivez “un”. => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | in => suggestions : ['un']
98 Guillemets typographiques fermants. => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | " => suggestions : ['\xa0»', '”']
98 Guillemets typographiques ouvrants. => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | " => suggestions : ['«\xa0', '“']
98 Mot inconnu : inch => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | inch
98 Guillemets typographiques fermants. => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | " => suggestions : ['\xa0»', '”']
98 Guillemets typographiques ouvrants. => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | " => suggestions : ['«\xa0', '“']
98 Mot inconnu : fahrenheit => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | fahrenheit
98 Mot inconnu : celsius => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | celsius
98 Guillemets typographiques ouvrants. => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | " => suggestions : ['«\xa0', '“']
98 Mot inconnu : hour => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | hour
98 Guillemets typographiques fermants. => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | " => suggestions : ['\xa0»', '”']
98 Guillemets typographiques ouvrants. => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | " => suggestions : ['«\xa0', '“']
98 Guillemets typographiques fermants. => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | " => suggestions : ['\xa0»', '”']
98 Guillemets typographiques ouvrants. => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | " => suggestions : ['«\xa0', '“']
98 Mot inconnu : pounds => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | pounds
98 Guillemets typographiques fermants. => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | " => suggestions : ['\xa0»', '”']
98 Guillemets typographiques ouvrants. => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | " => suggestions : ['«\xa0', '“']
98 Mot inconnu : meter => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | meter
98 Confusion possible : pour le déterminant désignant quelque chose, écrivez “un”. => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | in => suggestions : ['un']
98 Guillemets typographiques fermants. => D'autres exemples : "4 meters in inch" ; "3 euros in pesos" ; "2 years in months" ; "1 kilometer in miles" ; "1 cm in inch" ; "60 fahrenheit in celsius ; "1 hour in second" ; "10 minute in second" ; "60 kg in pounds" ; "1 meter in foot". | " => suggestions : ['\xa0»', '”']

99 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Runner : ce greffon permet de lancer des commandes avec des arguments.  |    => suggestions : ['']
99 Mot inconnu : Runner =>   * Runner : ce greffon permet de lancer des commandes avec des arguments.  | runner
99 Espace(s) en fin de ligne à supprimer. =>   * Runner : ce greffon permet de lancer des commandes avec des arguments.  |   => suggestions : ['']

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Verby : Ajoute des verbes aux commandes, |    => suggestions : ['']
100 Mot inconnu : Verby =>   * Verby : Ajoute des verbes aux commandes, | verby

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Weby : ce greffon sert à faire des recherches rapides sur les sites définis. Commencez déjà par changer les url pour mettre tout ça en français, par exemple, "google.com" -> "google.fr", "en.wikipedia.com" -> "fr.wikipedia.org", et ainsi de suite, vous pouvez aussi rajouter les sites qui vous intéressent. Pour utiliser ce plugin, il suffit ensuite de taper par exemple : Wiki, pour que launchy vous marque wikipedia puis tab. Tapez ensuite le mot que vous voulez rechercher et la recherche de ce mot sous wikipedia sera faite automatiquement. En résumé, tapez : "wiki", tab, "ubuntu" pour que launchy lance la recherche du terme ubuntu dans wikipedia. |    => suggestions : ['']
101 Mot inconnu : Weby =>   * Weby : ce greffon sert à faire des recherches rapides sur les sites définis. Commencez déjà par changer les url pour mettre tout ça en français, par exemple, "google.com" -> "google.fr", "en.wikipedia.com" -> "fr.wikipedia.org", et ainsi de suite, vous pouvez aussi rajouter les sites qui vous intéressent. Pour utiliser ce plugin, il suffit ensuite de taper par exemple : Wiki, pour que launchy vous marque wikipedia puis tab. Tapez ensuite le mot que vous voulez rechercher et la recherche de ce mot sous wikipedia sera faite automatiquement. En résumé, tapez : "wiki", tab, "ubuntu" pour que launchy lance la recherche du terme ubuntu dans wikipedia. | weby
101 Mot inconnu : url =>   * Weby : ce greffon sert à faire des recherches rapides sur les sites définis. Commencez déjà par changer les url pour mettre tout ça en français, par exemple, "google.com" -> "google.fr", "en.wikipedia.com" -> "fr.wikipedia.org", et ainsi de suite, vous pouvez aussi rajouter les sites qui vous intéressent. Pour utiliser ce plugin, il suffit ensuite de taper par exemple : Wiki, pour que launchy vous marque wikipedia puis tab. Tapez ensuite le mot que vous voulez rechercher et la recherche de ce mot sous wikipedia sera faite automatiquement. En résumé, tapez : "wiki", tab, "ubuntu" pour que launchy lance la recherche du terme ubuntu dans wikipedia. | url
101 Guillemets typographiques ouvrants. =>   * Weby : ce greffon sert à faire des recherches rapides sur les sites définis. Commencez déjà par changer les url pour mettre tout ça en français, par exemple, "google.com" -> "google.fr", "en.wikipedia.com" -> "fr.wikipedia.org", et ainsi de suite, vous pouvez aussi rajouter les sites qui vous intéressent. Pour utiliser ce plugin, il suffit ensuite de taper par exemple : Wiki, pour que launchy vous marque wikipedia puis tab. Tapez ensuite le mot que vous voulez rechercher et la recherche de ce mot sous wikipedia sera faite automatiquement. En résumé, tapez : "wiki", tab, "ubuntu" pour que launchy lance la recherche du terme ubuntu dans wikipedia. | " => suggestions : ['«\xa0', '“']
101 Guillemets typographiques ouvrants. =>   * Weby : ce greffon sert à faire des recherches rapides sur les sites définis. Commencez déjà par changer les url pour mettre tout ça en français, par exemple, "google.com" -> "google.fr", "en.wikipedia.com" -> "fr.wikipedia.org", et ainsi de suite, vous pouvez aussi rajouter les sites qui vous intéressent. Pour utiliser ce plugin, il suffit ensuite de taper par exemple : Wiki, pour que launchy vous marque wikipedia puis tab. Tapez ensuite le mot que vous voulez rechercher et la recherche de ce mot sous wikipedia sera faite automatiquement. En résumé, tapez : "wiki", tab, "ubuntu" pour que launchy lance la recherche du terme ubuntu dans wikipedia. | " => suggestions : ['«\xa0', '“']
101 Mot inconnu : launchy =>   * Weby : ce greffon sert à faire des recherches rapides sur les sites définis. Commencez déjà par changer les url pour mettre tout ça en français, par exemple, "google.com" -> "google.fr", "en.wikipedia.com" -> "fr.wikipedia.org", et ainsi de suite, vous pouvez aussi rajouter les sites qui vous intéressent. Pour utiliser ce plugin, il suffit ensuite de taper par exemple : Wiki, pour que launchy vous marque wikipedia puis tab. Tapez ensuite le mot que vous voulez rechercher et la recherche de ce mot sous wikipedia sera faite automatiquement. En résumé, tapez : "wiki", tab, "ubuntu" pour que launchy lance la recherche du terme ubuntu dans wikipedia. | launchy
101 Mot inconnu : wikipedia =>   * Weby : ce greffon sert à faire des recherches rapides sur les sites définis. Commencez déjà par changer les url pour mettre tout ça en français, par exemple, "google.com" -> "google.fr", "en.wikipedia.com" -> "fr.wikipedia.org", et ainsi de suite, vous pouvez aussi rajouter les sites qui vous intéressent. Pour utiliser ce plugin, il suffit ensuite de taper par exemple : Wiki, pour que launchy vous marque wikipedia puis tab. Tapez ensuite le mot que vous voulez rechercher et la recherche de ce mot sous wikipedia sera faite automatiquement. En résumé, tapez : "wiki", tab, "ubuntu" pour que launchy lance la recherche du terme ubuntu dans wikipedia. | wikipedia
101 Mot inconnu : tab =>   * Weby : ce greffon sert à faire des recherches rapides sur les sites définis. Commencez déjà par changer les url pour mettre tout ça en français, par exemple, "google.com" -> "google.fr", "en.wikipedia.com" -> "fr.wikipedia.org", et ainsi de suite, vous pouvez aussi rajouter les sites qui vous intéressent. Pour utiliser ce plugin, il suffit ensuite de taper par exemple : Wiki, pour que launchy vous marque wikipedia puis tab. Tapez ensuite le mot que vous voulez rechercher et la recherche de ce mot sous wikipedia sera faite automatiquement. En résumé, tapez : "wiki", tab, "ubuntu" pour que launchy lance la recherche du terme ubuntu dans wikipedia. | tab
101 Mot inconnu : wikipedia =>   * Weby : ce greffon sert à faire des recherches rapides sur les sites définis. Commencez déjà par changer les url pour mettre tout ça en français, par exemple, "google.com" -> "google.fr", "en.wikipedia.com" -> "fr.wikipedia.org", et ainsi de suite, vous pouvez aussi rajouter les sites qui vous intéressent. Pour utiliser ce plugin, il suffit ensuite de taper par exemple : Wiki, pour que launchy vous marque wikipedia puis tab. Tapez ensuite le mot que vous voulez rechercher et la recherche de ce mot sous wikipedia sera faite automatiquement. En résumé, tapez : "wiki", tab, "ubuntu" pour que launchy lance la recherche du terme ubuntu dans wikipedia. | wikipedia
101 Guillemets typographiques ouvrants. =>   * Weby : ce greffon sert à faire des recherches rapides sur les sites définis. Commencez déjà par changer les url pour mettre tout ça en français, par exemple, "google.com" -> "google.fr", "en.wikipedia.com" -> "fr.wikipedia.org", et ainsi de suite, vous pouvez aussi rajouter les sites qui vous intéressent. Pour utiliser ce plugin, il suffit ensuite de taper par exemple : Wiki, pour que launchy vous marque wikipedia puis tab. Tapez ensuite le mot que vous voulez rechercher et la recherche de ce mot sous wikipedia sera faite automatiquement. En résumé, tapez : "wiki", tab, "ubuntu" pour que launchy lance la recherche du terme ubuntu dans wikipedia. | " => suggestions : ['«\xa0', '“']
101 Guillemets typographiques fermants. =>   * Weby : ce greffon sert à faire des recherches rapides sur les sites définis. Commencez déjà par changer les url pour mettre tout ça en français, par exemple, "google.com" -> "google.fr", "en.wikipedia.com" -> "fr.wikipedia.org", et ainsi de suite, vous pouvez aussi rajouter les sites qui vous intéressent. Pour utiliser ce plugin, il suffit ensuite de taper par exemple : Wiki, pour que launchy vous marque wikipedia puis tab. Tapez ensuite le mot que vous voulez rechercher et la recherche de ce mot sous wikipedia sera faite automatiquement. En résumé, tapez : "wiki", tab, "ubuntu" pour que launchy lance la recherche du terme ubuntu dans wikipedia. | " => suggestions : ['\xa0»', '”']
101 Mot inconnu : tab =>   * Weby : ce greffon sert à faire des recherches rapides sur les sites définis. Commencez déjà par changer les url pour mettre tout ça en français, par exemple, "google.com" -> "google.fr", "en.wikipedia.com" -> "fr.wikipedia.org", et ainsi de suite, vous pouvez aussi rajouter les sites qui vous intéressent. Pour utiliser ce plugin, il suffit ensuite de taper par exemple : Wiki, pour que launchy vous marque wikipedia puis tab. Tapez ensuite le mot que vous voulez rechercher et la recherche de ce mot sous wikipedia sera faite automatiquement. En résumé, tapez : "wiki", tab, "ubuntu" pour que launchy lance la recherche du terme ubuntu dans wikipedia. | tab
101 Guillemets typographiques ouvrants. =>   * Weby : ce greffon sert à faire des recherches rapides sur les sites définis. Commencez déjà par changer les url pour mettre tout ça en français, par exemple, "google.com" -> "google.fr", "en.wikipedia.com" -> "fr.wikipedia.org", et ainsi de suite, vous pouvez aussi rajouter les sites qui vous intéressent. Pour utiliser ce plugin, il suffit ensuite de taper par exemple : Wiki, pour que launchy vous marque wikipedia puis tab. Tapez ensuite le mot que vous voulez rechercher et la recherche de ce mot sous wikipedia sera faite automatiquement. En résumé, tapez : "wiki", tab, "ubuntu" pour que launchy lance la recherche du terme ubuntu dans wikipedia. | " => suggestions : ['«\xa0', '“']
101 Guillemets typographiques fermants. =>   * Weby : ce greffon sert à faire des recherches rapides sur les sites définis. Commencez déjà par changer les url pour mettre tout ça en français, par exemple, "google.com" -> "google.fr", "en.wikipedia.com" -> "fr.wikipedia.org", et ainsi de suite, vous pouvez aussi rajouter les sites qui vous intéressent. Pour utiliser ce plugin, il suffit ensuite de taper par exemple : Wiki, pour que launchy vous marque wikipedia puis tab. Tapez ensuite le mot que vous voulez rechercher et la recherche de ce mot sous wikipedia sera faite automatiquement. En résumé, tapez : "wiki", tab, "ubuntu" pour que launchy lance la recherche du terme ubuntu dans wikipedia. | " => suggestions : ['\xa0»', '”']
101 Mot inconnu : launchy =>   * Weby : ce greffon sert à faire des recherches rapides sur les sites définis. Commencez déjà par changer les url pour mettre tout ça en français, par exemple, "google.com" -> "google.fr", "en.wikipedia.com" -> "fr.wikipedia.org", et ainsi de suite, vous pouvez aussi rajouter les sites qui vous intéressent. Pour utiliser ce plugin, il suffit ensuite de taper par exemple : Wiki, pour que launchy vous marque wikipedia puis tab. Tapez ensuite le mot que vous voulez rechercher et la recherche de ce mot sous wikipedia sera faite automatiquement. En résumé, tapez : "wiki", tab, "ubuntu" pour que launchy lance la recherche du terme ubuntu dans wikipedia. | launchy
101 Mot inconnu : wikipedia =>   * Weby : ce greffon sert à faire des recherches rapides sur les sites définis. Commencez déjà par changer les url pour mettre tout ça en français, par exemple, "google.com" -> "google.fr", "en.wikipedia.com" -> "fr.wikipedia.org", et ainsi de suite, vous pouvez aussi rajouter les sites qui vous intéressent. Pour utiliser ce plugin, il suffit ensuite de taper par exemple : Wiki, pour que launchy vous marque wikipedia puis tab. Tapez ensuite le mot que vous voulez rechercher et la recherche de ce mot sous wikipedia sera faite automatiquement. En résumé, tapez : "wiki", tab, "ubuntu" pour que launchy lance la recherche du terme ubuntu dans wikipedia. | wikipedia

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Activer l'option Firefox Bookmark si vous voulez que vos marque-pages soient référencés dans launchy. Il y a une petite manipulation à faire pour que les marque-pages soient réellement pris en compte. Lancez firefox, puis tapez :  "about:config"   (et donnez l'autorisation de modifier si elle est demandée). Cherchez alors la ligne : "browser.bookmarks.autoExportHTML" et double-cliquez dessus pour la passer de false à true. Vos marque-pages seront maintenant pris en compte dans launchy (rescanner le catalogue après cette manipulation est nécessaire). |      => suggestions : ['']
102 Mot inconnu : Bookmark =>     * Activer l'option Firefox Bookmark si vous voulez que vos marque-pages soient référencés dans launchy. Il y a une petite manipulation à faire pour que les marque-pages soient réellement pris en compte. Lancez firefox, puis tapez :  "about:config"   (et donnez l'autorisation de modifier si elle est demandée). Cherchez alors la ligne : "browser.bookmarks.autoExportHTML" et double-cliquez dessus pour la passer de false à true. Vos marque-pages seront maintenant pris en compte dans launchy (rescanner le catalogue après cette manipulation est nécessaire). | bookmark
102 Mot inconnu : launchy =>     * Activer l'option Firefox Bookmark si vous voulez que vos marque-pages soient référencés dans launchy. Il y a une petite manipulation à faire pour que les marque-pages soient réellement pris en compte. Lancez firefox, puis tapez :  "about:config"   (et donnez l'autorisation de modifier si elle est demandée). Cherchez alors la ligne : "browser.bookmarks.autoExportHTML" et double-cliquez dessus pour la passer de false à true. Vos marque-pages seront maintenant pris en compte dans launchy (rescanner le catalogue après cette manipulation est nécessaire). | launchy
102 Mot inconnu : firefox =>     * Activer l'option Firefox Bookmark si vous voulez que vos marque-pages soient référencés dans launchy. Il y a une petite manipulation à faire pour que les marque-pages soient réellement pris en compte. Lancez firefox, puis tapez :  "about:config"   (et donnez l'autorisation de modifier si elle est demandée). Cherchez alors la ligne : "browser.bookmarks.autoExportHTML" et double-cliquez dessus pour la passer de false à true. Vos marque-pages seront maintenant pris en compte dans launchy (rescanner le catalogue après cette manipulation est nécessaire). | firefox
102 Espace(s) surnuméraire(s) à supprimer. =>     * Activer l'option Firefox Bookmark si vous voulez que vos marque-pages soient référencés dans launchy. Il y a une petite manipulation à faire pour que les marque-pages soient réellement pris en compte. Lancez firefox, puis tapez :  "about:config"   (et donnez l'autorisation de modifier si elle est demandée). Cherchez alors la ligne : "browser.bookmarks.autoExportHTML" et double-cliquez dessus pour la passer de false à true. Vos marque-pages seront maintenant pris en compte dans launchy (rescanner le catalogue après cette manipulation est nécessaire). |    => suggestions : [' ']
