
3 Mot inconnu : NAS => ====== NAS Synology ====== | nas
53 Mot inconnu : deadbox1 =>    * les répertoires de montage sur le PC seront tous dans le répertoires  /media/deadbox1.   | deadbox1
53 Espace(s) en fin de ligne à supprimer. =>    * les répertoires de montage sur le PC seront tous dans le répertoires  /media/deadbox1.   |    => suggestions : ['']

56 Espace(s) surnuméraire(s) à supprimer. => ===== Fichiers de configuration  ===== |    => suggestions : [' ']

58 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => ==== Création du fichier .cred  ==== |  . => suggestions : ['. ', '.']
58 Mot inconnu : cred => ==== Création du fichier .cred  ==== | cred
58 Espace(s) surnuméraire(s) à supprimer. => ==== Création du fichier .cred  ==== |    => suggestions : [' ']

61 Mot inconnu : directories => Nous voulons monter en automatique des directories partagés avec notre Synology. Le Synology utilise nativement le programme Samba. | directories
61 Mot inconnu : Synology => Nous voulons monter en automatique des directories partagés avec notre Synology. Le Synology utilise nativement le programme Samba. | synology
61 Mot inconnu : Synology => Nous voulons monter en automatique des directories partagés avec notre Synology. Le Synology utilise nativement le programme Samba. | synology

63 Espace(s) surnuméraire(s) à supprimer. => Pour des raisons de sécurité,  je ne souhaite pas indiquer  en clair -  le login - mot de passe - dans le fichier fstab car plusieurs personnes différentes utilisent le même PC.:-). Je vais donc créer un fichier dédié que je vais mettre dans mon $home (/home/deadbox1). Je le nommerai .cred, mais vous pouvez le nommer comme vous souhaitez.  |    => suggestions : [' ']
63 Espace(s) surnuméraire(s) à supprimer. => Pour des raisons de sécurité,  je ne souhaite pas indiquer  en clair -  le login - mot de passe - dans le fichier fstab car plusieurs personnes différentes utilisent le même PC.:-). Je vais donc créer un fichier dédié que je vais mettre dans mon $home (/home/deadbox1). Je le nommerai .cred, mais vous pouvez le nommer comme vous souhaitez.  |    => suggestions : [' ']
63 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Pour des raisons de sécurité,  je ne souhaite pas indiquer  en clair -  le login - mot de passe - dans le fichier fstab car plusieurs personnes différentes utilisent le même PC.:-). Je vais donc créer un fichier dédié que je vais mettre dans mon $home (/home/deadbox1). Je le nommerai .cred, mais vous pouvez le nommer comme vous souhaitez.  |  -  => suggestions : [' – ', ' — ', ' − ']
63 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Pour des raisons de sécurité,  je ne souhaite pas indiquer  en clair -  le login - mot de passe - dans le fichier fstab car plusieurs personnes différentes utilisent le même PC.:-). Je vais donc créer un fichier dédié que je vais mettre dans mon $home (/home/deadbox1). Je le nommerai .cred, mais vous pouvez le nommer comme vous souhaitez.  |  -  => suggestions : [' – ', ' — ', ' − ']
63 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Pour des raisons de sécurité,  je ne souhaite pas indiquer  en clair -  le login - mot de passe - dans le fichier fstab car plusieurs personnes différentes utilisent le même PC.:-). Je vais donc créer un fichier dédié que je vais mettre dans mon $home (/home/deadbox1). Je le nommerai .cred, mais vous pouvez le nommer comme vous souhaitez.  |  -  => suggestions : [' – ', ' — ', ' − ']
63 Mot inconnu : fstab => Pour des raisons de sécurité,  je ne souhaite pas indiquer  en clair -  le login - mot de passe - dans le fichier fstab car plusieurs personnes différentes utilisent le même PC.:-). Je vais donc créer un fichier dédié que je vais mettre dans mon $home (/home/deadbox1). Je le nommerai .cred, mais vous pouvez le nommer comme vous souhaitez.  | fstab
63 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Pour des raisons de sécurité,  je ne souhaite pas indiquer  en clair -  le login - mot de passe - dans le fichier fstab car plusieurs personnes différentes utilisent le même PC.:-). Je vais donc créer un fichier dédié que je vais mettre dans mon $home (/home/deadbox1). Je le nommerai .cred, mais vous pouvez le nommer comme vous souhaitez.  |  . => suggestions : ['. ', '.']
63 Mot inconnu : cred => Pour des raisons de sécurité,  je ne souhaite pas indiquer  en clair -  le login - mot de passe - dans le fichier fstab car plusieurs personnes différentes utilisent le même PC.:-). Je vais donc créer un fichier dédié que je vais mettre dans mon $home (/home/deadbox1). Je le nommerai .cred, mais vous pouvez le nommer comme vous souhaitez.  | cred
63 Espace(s) en fin de ligne à supprimer. => Pour des raisons de sécurité,  je ne souhaite pas indiquer  en clair -  le login - mot de passe - dans le fichier fstab car plusieurs personnes différentes utilisent le même PC.:-). Je vais donc créer un fichier dédié que je vais mettre dans mon $home (/home/deadbox1). Je le nommerai .cred, mais vous pouvez le nommer comme vous souhaitez.  |   => suggestions : ['']

65 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Ce fichier me permet d'augmenter un peu la sécurité car le contenu du  fichier /etc/ fstab est consultable par tout le monde.... Je renforcerai la sécurité en le cachant un peu avec son '."cred et bien entendu en limitant les droits de lecture et d’écriture uniquement à deadbox1. 8-) |  car => suggestions : [', car']
65 Espace(s) surnuméraire(s) à supprimer. => Ce fichier me permet d'augmenter un peu la sécurité car le contenu du  fichier /etc/ fstab est consultable par tout le monde.... Je renforcerai la sécurité en le cachant un peu avec son '."cred et bien entendu en limitant les droits de lecture et d’écriture uniquement à deadbox1. 8-) |    => suggestions : [' ']
65 Mot inconnu : fstab => Ce fichier me permet d'augmenter un peu la sécurité car le contenu du  fichier /etc/ fstab est consultable par tout le monde.... Je renforcerai la sécurité en le cachant un peu avec son '."cred et bien entendu en limitant les droits de lecture et d’écriture uniquement à deadbox1. 8-) | fstab
65 Typographie : points de suspension. Utilisez le caractère dédié. => Ce fichier me permet d'augmenter un peu la sécurité car le contenu du  fichier /etc/ fstab est consultable par tout le monde.... Je renforcerai la sécurité en le cachant un peu avec son '."cred et bien entendu en limitant les droits de lecture et d’écriture uniquement à deadbox1. 8-) | .... => suggestions : ['…']
65 Guillemets typographiques ouvrants. => Ce fichier me permet d'augmenter un peu la sécurité car le contenu du  fichier /etc/ fstab est consultable par tout le monde.... Je renforcerai la sécurité en le cachant un peu avec son '."cred et bien entendu en limitant les droits de lecture et d’écriture uniquement à deadbox1. 8-) | " => suggestions : ['«\xa0', '“']
65 Mot inconnu : cred => Ce fichier me permet d'augmenter un peu la sécurité car le contenu du  fichier /etc/ fstab est consultable par tout le monde.... Je renforcerai la sécurité en le cachant un peu avec son '."cred et bien entendu en limitant les droits de lecture et d’écriture uniquement à deadbox1. 8-) | cred
65 Mot inconnu : deadbox1 => Ce fichier me permet d'augmenter un peu la sécurité car le contenu du  fichier /etc/ fstab est consultable par tout le monde.... Je renforcerai la sécurité en le cachant un peu avec son '."cred et bien entendu en limitant les droits de lecture et d’écriture uniquement à deadbox1. 8-) | deadbox1

68 Mot inconnu : boot => Donc pour monter automatiquement les répertoires lors du boot, il faut créer un fichier caché (dans le /home de l'utilisateur). Ce ficher est lu  au boot par le système et permet d'accéder au Synology à la place de dbx1.  | boot
68 Confusion : « ficher » est un verbe. Exemples : ce bâtiment, se perdre. => Donc pour monter automatiquement les répertoires lors du boot, il faut créer un fichier caché (dans le /home de l'utilisateur). Ce ficher est lu  au boot par le système et permet d'accéder au Synology à la place de dbx1.  | ce => suggestions : ['Se']
68 Espace(s) surnuméraire(s) à supprimer. => Donc pour monter automatiquement les répertoires lors du boot, il faut créer un fichier caché (dans le /home de l'utilisateur). Ce ficher est lu  au boot par le système et permet d'accéder au Synology à la place de dbx1.  |    => suggestions : [' ']
68 Mot inconnu : boot => Donc pour monter automatiquement les répertoires lors du boot, il faut créer un fichier caché (dans le /home de l'utilisateur). Ce ficher est lu  au boot par le système et permet d'accéder au Synology à la place de dbx1.  | boot
68 Mot inconnu : Synology => Donc pour monter automatiquement les répertoires lors du boot, il faut créer un fichier caché (dans le /home de l'utilisateur). Ce ficher est lu  au boot par le système et permet d'accéder au Synology à la place de dbx1.  | synology
68 Mot inconnu : dbx1 => Donc pour monter automatiquement les répertoires lors du boot, il faut créer un fichier caché (dans le /home de l'utilisateur). Ce ficher est lu  au boot par le système et permet d'accéder au Synology à la place de dbx1.  | dbx1
68 Espace(s) en fin de ligne à supprimer. => Donc pour monter automatiquement les répertoires lors du boot, il faut créer un fichier caché (dans le /home de l'utilisateur). Ce ficher est lu  au boot par le système et permet d'accéder au Synology à la place de dbx1.  |   => suggestions : ['']

69 Mot inconnu : dbx1 => Ce fichier contient le nom de dbx1 et son mot de passe . Il est donc important de protéger ce fichier et de le mettre dans le $home du user (ici deadbox1). | dbx1
69 Pas d’espace avant un point. => Ce fichier contient le nom de dbx1 et son mot de passe . Il est donc important de protéger ce fichier et de le mettre dans le $home du user (ici deadbox1). |  . => suggestions : ['.']
69 Incohérence avec “du” : “user” est un verbe. => Ce fichier contient le nom de dbx1 et son mot de passe . Il est donc important de protéger ce fichier et de le mettre dans le $home du user (ici deadbox1). | user => suggestions : ['usées', 'usé', 'usés', 'usée']
69 Mot inconnu : deadbox1 => Ce fichier contient le nom de dbx1 et son mot de passe . Il est donc important de protéger ce fichier et de le mettre dans le $home du user (ici deadbox1). | deadbox1

71 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => N'oubliez pas de réduire les droits de lecture et d'écriture sur ce fichier car il possède votre login et mot de passe en clair. Commençons par créer le fichier .cred. |  car => suggestions : [', car']
71 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => N'oubliez pas de réduire les droits de lecture et d'écriture sur ce fichier car il possède votre login et mot de passe en clair. Commençons par créer le fichier .cred. |  . => suggestions : ['. ', '.']
71 Mot inconnu : cred => N'oubliez pas de réduire les droits de lecture et d'écriture sur ce fichier car il possède votre login et mot de passe en clair. Commençons par créer le fichier .cred. | cred

78 Espace(s) en fin de ligne à supprimer. => Rentrez les lignes suivantes  |   => suggestions : ['']

85 Espace(s) en fin de ligne à supprimer. => Enregistrez et fermez cette fenêtre  |   => suggestions : ['']

87 Espace(s) en fin de ligne à supprimer. => Comme indiqué précédemment il est impératif de sécuriser ce fichier 8-)  |   => suggestions : ['']

93 Mot inconnu : mount => ==== Création des répertoires pour le mount  ==== | mount
93 Espace(s) surnuméraire(s) à supprimer. => ==== Création des répertoires pour le mount  ==== |    => suggestions : [' ']
94 Espace(s) surnuméraire(s) à supprimer. => Pour rappel : le but est de monter  /photo, /music , /public, /vidéo.( C'est pour ceux qui l'auraient déjà oublié, ou qui dormaient au fond :-)) |    => suggestions : [' ']
94 Mot inconnu : music => Pour rappel : le but est de monter  /photo, /music , /public, /vidéo.( C'est pour ceux qui l'auraient déjà oublié, ou qui dormaient au fond :-)) | music
94 Pas d’espace avant une virgule. => Pour rappel : le but est de monter  /photo, /music , /public, /vidéo.( C'est pour ceux qui l'auraient déjà oublié, ou qui dormaient au fond :-)) |  , => suggestions : [',']
94 Pas d’espace après ce signe. => Pour rappel : le but est de monter  /photo, /music , /public, /vidéo.( C'est pour ceux qui l'auraient déjà oublié, ou qui dormaient au fond :-)) | (  => suggestions : ['(']

95 Espace(s) surnuméraire(s) à supprimer. => Il y a 4 répertoires à monter,  autant faire tout en une fois.Non ?8-) |    => suggestions : [' ']
95 Il manque un espace. => Il y a 4 répertoires à monter,  autant faire tout en une fois.Non ?8-) | non => suggestions : [' Non']
95 Il manque un espace. => Il y a 4 répertoires à monter,  autant faire tout en une fois.Non ?8-) | 8- => suggestions : [' 8-']

104 Mot inconnu : utilsé => Ce fichier est utilsé au boot de votre PC. Avant toute modification, je vous conseille de le sauvegarder. Cela vous sera fort utile si vous avez besoin de le recharger en bootant sur une version live 8-).  | utilsé
104 Mot inconnu : boot => Ce fichier est utilsé au boot de votre PC. Avant toute modification, je vous conseille de le sauvegarder. Cela vous sera fort utile si vous avez besoin de le recharger en bootant sur une version live 8-).  | boot
104 Mot inconnu : bootant => Ce fichier est utilsé au boot de votre PC. Avant toute modification, je vous conseille de le sauvegarder. Cela vous sera fort utile si vous avez besoin de le recharger en bootant sur une version live 8-).  | bootant
104 Espace(s) en fin de ligne à supprimer. => Ce fichier est utilsé au boot de votre PC. Avant toute modification, je vous conseille de le sauvegarder. Cela vous sera fort utile si vous avez besoin de le recharger en bootant sur une version live 8-).  |   => suggestions : ['']

115 Guillemets typographiques ouvrants. => Ne modifiez pas les autres lignes du fichier /etc/fstab sous peine de ne plus pouvoir "booter".   | " => suggestions : ['«\xa0', '“']
115 Mot inconnu : booter => Ne modifiez pas les autres lignes du fichier /etc/fstab sous peine de ne plus pouvoir "booter".   | booter
115 Guillemets typographiques fermants. => Ne modifiez pas les autres lignes du fichier /etc/fstab sous peine de ne plus pouvoir "booter".   | " => suggestions : ['\xa0»', '”']
115 Espace(s) en fin de ligne à supprimer. => Ne modifiez pas les autres lignes du fichier /etc/fstab sous peine de ne plus pouvoir "booter".   |    => suggestions : ['']

138 Espace(s) en fin de ligne à supprimer. => Il suffit ensuite de tester la configuration par  |   => suggestions : ['']

143 Confusion probable. Rebouter est un terme de botanique. => Les répertoires sont montés. Il ne reste plus qu'à rebouter le PC et les répertoires  vidéo, public, music, photo seront montés automatiquement au boot. C'est ce que nous voulions non ? :-P | rebouter => suggestions : ['rebooter']
143 Espace(s) surnuméraire(s) à supprimer. => Les répertoires sont montés. Il ne reste plus qu'à rebouter le PC et les répertoires  vidéo, public, music, photo seront montés automatiquement au boot. C'est ce que nous voulions non ? :-P |    => suggestions : [' ']
143 Mot inconnu : music => Les répertoires sont montés. Il ne reste plus qu'à rebouter le PC et les répertoires  vidéo, public, music, photo seront montés automatiquement au boot. C'est ce que nous voulions non ? :-P | music
143 Mot inconnu : boot => Les répertoires sont montés. Il ne reste plus qu'à rebouter le PC et les répertoires  vidéo, public, music, photo seront montés automatiquement au boot. C'est ce que nous voulions non ? :-P | boot

147 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Cette configuration stocke le mot de passe et le nom d'utilisateur dans le fichier fstab à l'aide des options username et password : |   => suggestions : ['']
147 Mot inconnu : fstab =>  Cette configuration stocke le mot de passe et le nom d'utilisateur dans le fichier fstab à l'aide des options username et password : | fstab
147 Mot inconnu : username =>  Cette configuration stocke le mot de passe et le nom d'utilisateur dans le fichier fstab à l'aide des options username et password : | username
147 Mot inconnu : password =>  Cette configuration stocke le mot de passe et le nom d'utilisateur dans le fichier fstab à l'aide des options username et password : | password

152 Mot inconnu : Nas => Vous noterez que le montage du Nas n'est pas automatique (option noauto) mais à la demande. Cela permet d’accélérer le temps de boot. Ensuite, le montage de ce volume est accessible aux utilisateurs (option user). Des que vous cliquerez sur le partage dans nemo ou nautilus le partage se montera automatiquement. | nas
152 Mot inconnu : noauto => Vous noterez que le montage du Nas n'est pas automatique (option noauto) mais à la demande. Cela permet d’accélérer le temps de boot. Ensuite, le montage de ce volume est accessible aux utilisateurs (option user). Des que vous cliquerez sur le partage dans nemo ou nautilus le partage se montera automatiquement. | noauto
152 Mot inconnu : boot => Vous noterez que le montage du Nas n'est pas automatique (option noauto) mais à la demande. Cela permet d’accélérer le temps de boot. Ensuite, le montage de ce volume est accessible aux utilisateurs (option user). Des que vous cliquerez sur le partage dans nemo ou nautilus le partage se montera automatiquement. | boot
152 Confusion probable. Pour la préposition, écrivez “dès”. => Vous noterez que le montage du Nas n'est pas automatique (option noauto) mais à la demande. Cela permet d’accélérer le temps de boot. Ensuite, le montage de ce volume est accessible aux utilisateurs (option user). Des que vous cliquerez sur le partage dans nemo ou nautilus le partage se montera automatiquement. | des => suggestions : ['Dès']
152 Mot inconnu : nemo => Vous noterez que le montage du Nas n'est pas automatique (option noauto) mais à la demande. Cela permet d’accélérer le temps de boot. Ensuite, le montage de ce volume est accessible aux utilisateurs (option user). Des que vous cliquerez sur le partage dans nemo ou nautilus le partage se montera automatiquement. | nemo
152 Mot inconnu : nautilus => Vous noterez que le montage du Nas n'est pas automatique (option noauto) mais à la demande. Cela permet d’accélérer le temps de boot. Ensuite, le montage de ce volume est accessible aux utilisateurs (option user). Des que vous cliquerez sur le partage dans nemo ou nautilus le partage se montera automatiquement. | nautilus

155 Guillemets typographiques ouvrants. => Vous pouvez aussi utiliser l'option "noauto" dans  la ligne de commande dans les lignes précédentes . En conservant le fichier .cred, vous évitez que votre login et mot de passe soient connus les utilisateurs de votre machine.( voir  paragraphe sur la création du ficher .cred.  8-) | " => suggestions : ['«\xa0', '“']
155 Mot inconnu : noauto => Vous pouvez aussi utiliser l'option "noauto" dans  la ligne de commande dans les lignes précédentes . En conservant le fichier .cred, vous évitez que votre login et mot de passe soient connus les utilisateurs de votre machine.( voir  paragraphe sur la création du ficher .cred.  8-) | noauto
155 Guillemets typographiques fermants. => Vous pouvez aussi utiliser l'option "noauto" dans  la ligne de commande dans les lignes précédentes . En conservant le fichier .cred, vous évitez que votre login et mot de passe soient connus les utilisateurs de votre machine.( voir  paragraphe sur la création du ficher .cred.  8-) | " => suggestions : ['\xa0»', '”']
155 Espace(s) surnuméraire(s) à supprimer. => Vous pouvez aussi utiliser l'option "noauto" dans  la ligne de commande dans les lignes précédentes . En conservant le fichier .cred, vous évitez que votre login et mot de passe soient connus les utilisateurs de votre machine.( voir  paragraphe sur la création du ficher .cred.  8-) |    => suggestions : [' ']
155 Pas d’espace avant un point. => Vous pouvez aussi utiliser l'option "noauto" dans  la ligne de commande dans les lignes précédentes . En conservant le fichier .cred, vous évitez que votre login et mot de passe soient connus les utilisateurs de votre machine.( voir  paragraphe sur la création du ficher .cred.  8-) |  . => suggestions : ['.']
155 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Vous pouvez aussi utiliser l'option "noauto" dans  la ligne de commande dans les lignes précédentes . En conservant le fichier .cred, vous évitez que votre login et mot de passe soient connus les utilisateurs de votre machine.( voir  paragraphe sur la création du ficher .cred.  8-) |  . => suggestions : ['. ', '.']
155 Mot inconnu : cred => Vous pouvez aussi utiliser l'option "noauto" dans  la ligne de commande dans les lignes précédentes . En conservant le fichier .cred, vous évitez que votre login et mot de passe soient connus les utilisateurs de votre machine.( voir  paragraphe sur la création du ficher .cred.  8-) | cred
155 Pas d’espace après ce signe. => Vous pouvez aussi utiliser l'option "noauto" dans  la ligne de commande dans les lignes précédentes . En conservant le fichier .cred, vous évitez que votre login et mot de passe soient connus les utilisateurs de votre machine.( voir  paragraphe sur la création du ficher .cred.  8-) | (  => suggestions : ['(']
155 Espace(s) surnuméraire(s) à supprimer. => Vous pouvez aussi utiliser l'option "noauto" dans  la ligne de commande dans les lignes précédentes . En conservant le fichier .cred, vous évitez que votre login et mot de passe soient connus les utilisateurs de votre machine.( voir  paragraphe sur la création du ficher .cred.  8-) |    => suggestions : [' ']
155 Incohérence avec “du” : “ficher” est un verbe. => Vous pouvez aussi utiliser l'option "noauto" dans  la ligne de commande dans les lignes précédentes . En conservant le fichier .cred, vous évitez que votre login et mot de passe soient connus les utilisateurs de votre machine.( voir  paragraphe sur la création du ficher .cred.  8-) | ficher => suggestions : ['fiche', 'fiches']
155 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Vous pouvez aussi utiliser l'option "noauto" dans  la ligne de commande dans les lignes précédentes . En conservant le fichier .cred, vous évitez que votre login et mot de passe soient connus les utilisateurs de votre machine.( voir  paragraphe sur la création du ficher .cred.  8-) |  . => suggestions : ['. ', '.']
155 Mot inconnu : cred => Vous pouvez aussi utiliser l'option "noauto" dans  la ligne de commande dans les lignes précédentes . En conservant le fichier .cred, vous évitez que votre login et mot de passe soient connus les utilisateurs de votre machine.( voir  paragraphe sur la création du ficher .cred.  8-) | cred
155 Espace(s) surnuméraire(s) à supprimer. => Vous pouvez aussi utiliser l'option "noauto" dans  la ligne de commande dans les lignes précédentes . En conservant le fichier .cred, vous évitez que votre login et mot de passe soient connus les utilisateurs de votre machine.( voir  paragraphe sur la création du ficher .cred.  8-) |    => suggestions : [' ']

156 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Bien entendu le .cred aura des droits de lecture et d'écriture que pour vous. 8-) |  . => suggestions : ['. ', '.']
156 Mot inconnu : cred => Bien entendu le .cred aura des droits de lecture et d'écriture que pour vous. 8-) | cred
