
4 Mot inconnu : Conky => ====== Conky : affichage des ressources système ====== | conky
270 Espace(s) surnuméraire(s) à supprimer. => Pour que l'option double_buffer  fonctionne, le module "dbe" (Double Buffer Extension) doit être activé dans /etc/X11/xorg.conf. On ajoute donc Load "dbe" dans la section Module du xorg.conf après l'avoir sauvegardé : |    => suggestions : [' ']
270 Guillemets typographiques ouvrants. => Pour que l'option double_buffer  fonctionne, le module "dbe" (Double Buffer Extension) doit être activé dans /etc/X11/xorg.conf. On ajoute donc Load "dbe" dans la section Module du xorg.conf après l'avoir sauvegardé : | " => suggestions : ['«\xa0', '“']
270 Mot inconnu : dbe => Pour que l'option double_buffer  fonctionne, le module "dbe" (Double Buffer Extension) doit être activé dans /etc/X11/xorg.conf. On ajoute donc Load "dbe" dans la section Module du xorg.conf après l'avoir sauvegardé : | dbe
270 Guillemets typographiques fermants. => Pour que l'option double_buffer  fonctionne, le module "dbe" (Double Buffer Extension) doit être activé dans /etc/X11/xorg.conf. On ajoute donc Load "dbe" dans la section Module du xorg.conf après l'avoir sauvegardé : | " => suggestions : ['\xa0»', '”']
270 Mot inconnu : Buffer => Pour que l'option double_buffer  fonctionne, le module "dbe" (Double Buffer Extension) doit être activé dans /etc/X11/xorg.conf. On ajoute donc Load "dbe" dans la section Module du xorg.conf après l'avoir sauvegardé : | buffer
270 Mot inconnu : Load => Pour que l'option double_buffer  fonctionne, le module "dbe" (Double Buffer Extension) doit être activé dans /etc/X11/xorg.conf. On ajoute donc Load "dbe" dans la section Module du xorg.conf après l'avoir sauvegardé : | load
270 Guillemets typographiques ouvrants. => Pour que l'option double_buffer  fonctionne, le module "dbe" (Double Buffer Extension) doit être activé dans /etc/X11/xorg.conf. On ajoute donc Load "dbe" dans la section Module du xorg.conf après l'avoir sauvegardé : | " => suggestions : ['«\xa0', '“']
270 Mot inconnu : dbe => Pour que l'option double_buffer  fonctionne, le module "dbe" (Double Buffer Extension) doit être activé dans /etc/X11/xorg.conf. On ajoute donc Load "dbe" dans la section Module du xorg.conf après l'avoir sauvegardé : | dbe
270 Guillemets typographiques fermants. => Pour que l'option double_buffer  fonctionne, le module "dbe" (Double Buffer Extension) doit être activé dans /etc/X11/xorg.conf. On ajoute donc Load "dbe" dans la section Module du xorg.conf après l'avoir sauvegardé : | " => suggestions : ['\xa0»', '”']
270 Mot inconnu : xorg => Pour que l'option double_buffer  fonctionne, le module "dbe" (Double Buffer Extension) doit être activé dans /etc/X11/xorg.conf. On ajoute donc Load "dbe" dans la section Module du xorg.conf après l'avoir sauvegardé : | xorg
270 Il manque un espace. => Pour que l'option double_buffer  fonctionne, le module "dbe" (Double Buffer Extension) doit être activé dans /etc/X11/xorg.conf. On ajoute donc Load "dbe" dans la section Module du xorg.conf après l'avoir sauvegardé : | conf => suggestions : [' conf']

277 Mot inconnu : ctrl => Relancer le serveur X (ctrl+alt+backspace) pour que les changements prennent effet. | ctrl
277 Mot inconnu : alt => Relancer le serveur X (ctrl+alt+backspace) pour que les changements prennent effet. | alt
277 Mot inconnu : backspace => Relancer le serveur X (ctrl+alt+backspace) pour que les changements prennent effet. | backspace

286 Mot inconnu : PS_1 => PS_1 :  au cas où ça continue toujours de clignoter, introduire ceci dans <del>.conkyrc</del> /etc/X11/xorg.conf : | ps_1
286 Espace(s) surnuméraire(s) à supprimer. => PS_1 :  au cas où ça continue toujours de clignoter, introduire ceci dans <del>.conkyrc</del> /etc/X11/xorg.conf : |    => suggestions : [' ']
286 Mot inconnu : conkyrc => PS_1 :  au cas où ça continue toujours de clignoter, introduire ceci dans <del>.conkyrc</del> /etc/X11/xorg.conf : | conkyrc

300 Mot inconnu : Conky => Puis, pour vérifier si Conky utilise le double buffer, lancez Conky dans le terminal. Si ces lignes apparaissent : | conky
300 Mot inconnu : buffer => Puis, pour vérifier si Conky utilise le double buffer, lancez Conky dans le terminal. Si ces lignes apparaissent : | buffer
300 Mot inconnu : Conky => Puis, pour vérifier si Conky utilise le double buffer, lancez Conky dans le terminal. Si ces lignes apparaissent : | conky

306 Mot inconnu : Conky => Alors Conky n'utilise pas le double buffer.  | conky
306 Mot inconnu : buffer => Alors Conky n'utilise pas le double buffer.  | buffer
306 Espace(s) en fin de ligne à supprimer. => Alors Conky n'utilise pas le double buffer.  |   => suggestions : ['']

308 Mot inconnu : PS_2 => PS_2: (ou plus simple, cas perso, ne fonctionne pas si le problème vient de la gestion du double buffer.) | ps_2
308 Mot inconnu : buffer => PS_2: (ou plus simple, cas perso, ne fonctionne pas si le problème vient de la gestion du double buffer.) | buffer

309 Guillemets typographiques ouvrants. => Pour supprimer tout clignotement, il faut créer une ligne de "texte pur" légèrement plus large que la plus large des lignes affichées avec des variables ou graph. | " => suggestions : ['«\xa0', '“']
309 Guillemets typographiques fermants. => Pour supprimer tout clignotement, il faut créer une ligne de "texte pur" légèrement plus large que la plus large des lignes affichées avec des variables ou graph. | " => suggestions : ['\xa0»', '”']
309 Mot inconnu : graph => Pour supprimer tout clignotement, il faut créer une ligne de "texte pur" légèrement plus large que la plus large des lignes affichées avec des variables ou graph. | graph

310 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => exemple de ligne texte ajoutée dans .conkyrc (ajuster le nombre de tiret "-" en fontion) : |  . => suggestions : ['. ', '.']
310 Mot inconnu : conkyrc => exemple de ligne texte ajoutée dans .conkyrc (ajuster le nombre de tiret "-" en fontion) : | conkyrc
310 Mot inconnu : fontion => exemple de ligne texte ajoutée dans .conkyrc (ajuster le nombre de tiret "-" en fontion) : | fontion

311 Mot inconnu : color => ${color #666666}----------------------------------------------------------- | color
311 Formatage des grands nombres. => ${color #666666}----------------------------------------------------------- | 666666 => suggestions : ['666\xa0666']

315 Mot inconnu : buffer => <note important>Le double buffer ne fonctionne pas chez tout le monde, on recherche encore la solution miracle. Si vous l'avez, merci de la partager !</note> | buffer

321 Mot inconnu : conky => 1. (conky 1.4.2) Il faut rajouter dans le .conkyrc, avant la section TEXT (cette méthode permet de ne pas avoir à lancer un deuxième processus au démarrage) : | conky
321 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => 1. (conky 1.4.2) Il faut rajouter dans le .conkyrc, avant la section TEXT (cette méthode permet de ne pas avoir à lancer un deuxième processus au démarrage) : |  . => suggestions : ['. ', '.']
321 Mot inconnu : conkyrc => 1. (conky 1.4.2) Il faut rajouter dans le .conkyrc, avant la section TEXT (cette méthode permet de ne pas avoir à lancer un deuxième processus au démarrage) : | conkyrc
321 Mot inconnu : TEXT => 1. (conky 1.4.2) Il faut rajouter dans le .conkyrc, avant la section TEXT (cette méthode permet de ne pas avoir à lancer un deuxième processus au démarrage) : | text

332 Mot inconnu : Conky => Ce type ne permet pas de conserver Conky visible lorsque l'on clique sur faire apparaître le bureau. En mettant la ligne : | conky

336 Mot inconnu : Conky => On conserve les options évoquées précédemment et en plus on conserve Conky même lorsque l'on clique sur faire apparaître le bureau (il peut y avoir un problème d'affichage des icônes du bureau). | conky

338 Mot inconnu : conky => (plus d'info dans le man conky qui est reproduit sur [[http://conky.sourceforge.net/docs.html]]). | conky

343 Mot inconnu : devilspie => **Deux méthodes de configuration de devilspie :** | devilspie

344 Mot inconnu : devilspie => Pour devilspie <= 0.12 | devilspie
344 Signe “inférieur ou égal”. => Pour devilspie <= 0.12 | <= => suggestions : ['≤', '⩽']

346 Mot inconnu : __Méthode => __Méthode 1__ : créer un fichier: | __méthode
346 Mot inconnu : __ => __Méthode 1__ : créer un fichier: | __

376 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  <note important>CETTE METHODE NE MARCHE PAS</note> |   => suggestions : ['']
376 Mot inconnu : METHODE =>  <note important>CETTE METHODE NE MARCHE PAS</note> | methode

380 Mot inconnu : __Méthode => __Méthode 2__ : | __méthode
380 Mot inconnu : __ => __Méthode 2__ : | __

388 Mot inconnu : Editer => Editer le fichier de configuration (on peut lui donner n'importe quel nom) : | editer

391 Mot inconnu : devilspie => Coller les s-expressions utilisées par devilspie (infos supplémentaires sur [[http://wiki.foosel.net/linux/devilspie]]). | devilspie

392 Mot inconnu : conky => Un fichier classique pour conky serait : | conky

414 Mot inconnu : application_name => Il est possible qu'il faille adapter le champ application_name. Il y a sûrement une méthode plus simple mais j'ai pas encore trouvé... | application_name
414 Typographie : points de suspension. Utilisez le caractère dédié. => Il est possible qu'il faille adapter le champ application_name. Il y a sûrement une méthode plus simple mais j'ai pas encore trouvé... | ... => suggestions : ['…']

415 Il manque un espace. => On fait un fichier test.ds dans le dossier caché devilspie avec dedans : | ds => suggestions : [' ds']
415 Mot inconnu : devilspie => On fait un fichier test.ds dans le dossier caché devilspie avec dedans : | devilspie

418 Mot inconnu : conky => Ensuite on lance l'application dont on cherche le nom (conky dans notre cas). Puis on lance devilspie dans la console. | conky
418 Mot inconnu : devilspie => Ensuite on lance l'application dont on cherche le nom (conky dans notre cas). Puis on lance devilspie dans la console. | devilspie

419 Mot inconnu : conky => Il apparaît dans la console des informations sur les fenêtres ouvertes en ce moment, donc notre application, il suffit de repérer le nom de conky. Une fois cela fait on efface le fichier test.ds | conky
419 Il manque un espace. => Il apparaît dans la console des informations sur les fenêtres ouvertes en ce moment, donc notre application, il suffit de repérer le nom de conky. Une fois cela fait on efface le fichier test.ds | ds => suggestions : [' ds']

423 Mot inconnu : devilspie => Cliquez sur Ajouter et vous tapez devilspie | devilspie

427 Mot inconnu : conky => ==== Le conky réapparaît parfois brièvement au premier plan, devant mes applications ==== | conky

429 Mot inconnu : Conky => J'ai rencontré ce problème avec les Conky de largeur variable (quand on affiche les ports ouverts et l'adresse distante par exemple). | conky

431 Mot inconnu : Conky => Pour y remédier il faut fixer la largeur du Conky, en spécifiant une largeur minimale et une largeur maximale identiques : | conky

438 Mot inconnu : conky => ==== Mon conky est tronqué ==== | conky

440 Mot inconnu : buffer => Par défaut la taille du buffer de conky est de 128. Si votre conky comporte une grande quantité de textes et d'images, il est possible que tout ne s'affiche pas correctement. | buffer
440 Mot inconnu : conky => Par défaut la taille du buffer de conky est de 128. Si votre conky comporte une grande quantité de textes et d'images, il est possible que tout ne s'affiche pas correctement. | conky
440 Mot inconnu : conky => Par défaut la taille du buffer de conky est de 128. Si votre conky comporte une grande quantité de textes et d'images, il est possible que tout ne s'affiche pas correctement. | conky

442 Mot inconnu : conkyrc => Pour y remédier il faut rajouter au **.conkyrc** avant la section TEXT : | conkyrc
442 Mot inconnu : TEXT => Pour y remédier il faut rajouter au **.conkyrc** avant la section TEXT : | text

448 Mot inconnu : Conky => ==== Conky et Gnome-shell ==== | conky

450 Mot inconnu : conkyrc => Sous Gnome-shell pensez à modifier votre conkyrc comme suit : | conkyrc

464 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => ===== Scripts pour votre .conkyrc ===== |  . => suggestions : ['. ', '.']
464 Mot inconnu : conkyrc => ===== Scripts pour votre .conkyrc ===== | conkyrc
