
5 Mot inconnu : Loadaverage => ====== Loadaverage : La charge d'une machine sous Ubuntu... ====== | loadaverage
193 Guillemets typographiques ouvrants. => Pour installer ''rstatd'' sur les serveurs à superviser, il vous suffit de suivre la procédure suivante : | '' => suggestions : ['«\xa0', '“']
193 Mot inconnu : rstatd => Pour installer ''rstatd'' sur les serveurs à superviser, il vous suffit de suivre la procédure suivante : | rstatd
193 Guillemets typographiques fermants. => Pour installer ''rstatd'' sur les serveurs à superviser, il vous suffit de suivre la procédure suivante : | '' => suggestions : ['\xa0»', '”']

195 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Installer le paquet ''rstatd'' (avec ''sudo apt-get install rstatd''). |    => suggestions : ['']
195 Guillemets typographiques ouvrants. =>   * Installer le paquet ''rstatd'' (avec ''sudo apt-get install rstatd''). | '' => suggestions : ['«\xa0', '“']
195 Mot inconnu : rstatd =>   * Installer le paquet ''rstatd'' (avec ''sudo apt-get install rstatd''). | rstatd
195 Guillemets typographiques fermants. =>   * Installer le paquet ''rstatd'' (avec ''sudo apt-get install rstatd''). | '' => suggestions : ['\xa0»', '”']
195 Guillemets typographiques ouvrants. =>   * Installer le paquet ''rstatd'' (avec ''sudo apt-get install rstatd''). | '' => suggestions : ['«\xa0', '“']
195 Mot inconnu : sudo =>   * Installer le paquet ''rstatd'' (avec ''sudo apt-get install rstatd''). | sudo
195 Mot inconnu : apt-get =>   * Installer le paquet ''rstatd'' (avec ''sudo apt-get install rstatd''). | apt-get
195 Mot inconnu : install =>   * Installer le paquet ''rstatd'' (avec ''sudo apt-get install rstatd''). | install
195 Mot inconnu : rstatd =>   * Installer le paquet ''rstatd'' (avec ''sudo apt-get install rstatd''). | rstatd
195 Guillemets typographiques fermants. =>   * Installer le paquet ''rstatd'' (avec ''sudo apt-get install rstatd''). | '' => suggestions : ['\xa0»', '”']

196 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Créer un petit script pour qu'il démarre tout seul au démarrage du serveur (''sudo vi /etc/init.d/rstatd'') : |    => suggestions : ['']
196 Mot inconnu : sudo =>   * Créer un petit script pour qu'il démarre tout seul au démarrage du serveur (''sudo vi /etc/init.d/rstatd'') : | sudo
196 Mot inconnu : vi =>   * Créer un petit script pour qu'il démarre tout seul au démarrage du serveur (''sudo vi /etc/init.d/rstatd'') : | vi

202 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Activez ce script comme exécutable (''sudo chmod +x /etc/init.d/rstatd''). |    => suggestions : ['']
202 Mot inconnu : sudo =>   * Activez ce script comme exécutable (''sudo chmod +x /etc/init.d/rstatd''). | sudo
202 Mot inconnu : chmod =>   * Activez ce script comme exécutable (''sudo chmod +x /etc/init.d/rstatd''). | chmod

203 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Liez le script avec les niveaux de démarrage : |    => suggestions : ['']

207 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Lancez le démon ''rstatd'' (''sudo /etc/init.d/rstatd''). |    => suggestions : ['']
207 Guillemets typographiques ouvrants. =>   * Lancez le démon ''rstatd'' (''sudo /etc/init.d/rstatd''). | '' => suggestions : ['«\xa0', '“']
207 Mot inconnu : rstatd =>   * Lancez le démon ''rstatd'' (''sudo /etc/init.d/rstatd''). | rstatd
207 Guillemets typographiques fermants. =>   * Lancez le démon ''rstatd'' (''sudo /etc/init.d/rstatd''). | '' => suggestions : ['\xa0»', '”']
207 Mot inconnu : sudo =>   * Lancez le démon ''rstatd'' (''sudo /etc/init.d/rstatd''). | sudo

214 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Installer le paquet ''rstat-client'' (avec ''sudo apt-get install rstat-client''). |    => suggestions : ['']
214 Guillemets typographiques ouvrants. =>   * Installer le paquet ''rstat-client'' (avec ''sudo apt-get install rstat-client''). | '' => suggestions : ['«\xa0', '“']
214 Mot inconnu : rstat-client =>   * Installer le paquet ''rstat-client'' (avec ''sudo apt-get install rstat-client''). | rstat-client
214 Guillemets typographiques fermants. =>   * Installer le paquet ''rstat-client'' (avec ''sudo apt-get install rstat-client''). | '' => suggestions : ['\xa0»', '”']
214 Guillemets typographiques ouvrants. =>   * Installer le paquet ''rstat-client'' (avec ''sudo apt-get install rstat-client''). | '' => suggestions : ['«\xa0', '“']
214 Mot inconnu : sudo =>   * Installer le paquet ''rstat-client'' (avec ''sudo apt-get install rstat-client''). | sudo
214 Mot inconnu : apt-get =>   * Installer le paquet ''rstat-client'' (avec ''sudo apt-get install rstat-client''). | apt-get
214 Mot inconnu : install =>   * Installer le paquet ''rstat-client'' (avec ''sudo apt-get install rstat-client''). | install
214 Mot inconnu : rstat-client =>   * Installer le paquet ''rstat-client'' (avec ''sudo apt-get install rstat-client''). | rstat-client
214 Guillemets typographiques fermants. =>   * Installer le paquet ''rstat-client'' (avec ''sudo apt-get install rstat-client''). | '' => suggestions : ['\xa0»', '”']

216 Guillemets typographiques ouvrants. => Vous avez maintenant deux commandes supplémentaires vous permettant d'obtenir des informations distantes sur les serveurs équipés de ''rstatd'' :  | '' => suggestions : ['«\xa0', '“']
216 Mot inconnu : rstatd => Vous avez maintenant deux commandes supplémentaires vous permettant d'obtenir des informations distantes sur les serveurs équipés de ''rstatd'' :  | rstatd
216 Guillemets typographiques fermants. => Vous avez maintenant deux commandes supplémentaires vous permettant d'obtenir des informations distantes sur les serveurs équipés de ''rstatd'' :  | '' => suggestions : ['\xa0»', '”']
216 Espace(s) en fin de ligne à supprimer. => Vous avez maintenant deux commandes supplémentaires vous permettant d'obtenir des informations distantes sur les serveurs équipés de ''rstatd'' :  |   => suggestions : ['']

217 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''rup'' : qui permet d'obtenir la commande ''uptime'' à distance. |    => suggestions : ['']
217 Guillemets typographiques ouvrants. =>   * ''rup'' : qui permet d'obtenir la commande ''uptime'' à distance. | '' => suggestions : ['«\xa0', '“']
217 Mot inconnu : rup =>   * ''rup'' : qui permet d'obtenir la commande ''uptime'' à distance. | rup
217 Guillemets typographiques fermants. =>   * ''rup'' : qui permet d'obtenir la commande ''uptime'' à distance. | '' => suggestions : ['\xa0»', '”']
217 Guillemets typographiques ouvrants. =>   * ''rup'' : qui permet d'obtenir la commande ''uptime'' à distance. | '' => suggestions : ['«\xa0', '“']
217 Mot inconnu : uptime =>   * ''rup'' : qui permet d'obtenir la commande ''uptime'' à distance. | uptime
217 Guillemets typographiques fermants. =>   * ''rup'' : qui permet d'obtenir la commande ''uptime'' à distance. | '' => suggestions : ['\xa0»', '”']

218 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''rsysinfo'' : qui permet d'obtenir diverses informations systèmes en plus du ''uptime''. |    => suggestions : ['']
218 Guillemets typographiques ouvrants. =>   * ''rsysinfo'' : qui permet d'obtenir diverses informations systèmes en plus du ''uptime''. | '' => suggestions : ['«\xa0', '“']
218 Mot inconnu : rsysinfo =>   * ''rsysinfo'' : qui permet d'obtenir diverses informations systèmes en plus du ''uptime''. | rsysinfo
218 Guillemets typographiques fermants. =>   * ''rsysinfo'' : qui permet d'obtenir diverses informations systèmes en plus du ''uptime''. | '' => suggestions : ['\xa0»', '”']
218 Guillemets typographiques ouvrants. =>   * ''rsysinfo'' : qui permet d'obtenir diverses informations systèmes en plus du ''uptime''. | '' => suggestions : ['«\xa0', '“']
218 Mot inconnu : uptime =>   * ''rsysinfo'' : qui permet d'obtenir diverses informations systèmes en plus du ''uptime''. | uptime
218 Guillemets typographiques fermants. =>   * ''rsysinfo'' : qui permet d'obtenir diverses informations systèmes en plus du ''uptime''. | '' => suggestions : ['\xa0»', '”']

220 Guillemets typographiques ouvrants. => En introduisant uniquement ''rup'' dans une console, vous envoyez une requête broadcast sur votre réseau vous permettant d'obtenir tous les load average des serveurs possèdant ''rstatd'' : | '' => suggestions : ['«\xa0', '“']
220 Mot inconnu : rup => En introduisant uniquement ''rup'' dans une console, vous envoyez une requête broadcast sur votre réseau vous permettant d'obtenir tous les load average des serveurs possèdant ''rstatd'' : | rup
220 Guillemets typographiques fermants. => En introduisant uniquement ''rup'' dans une console, vous envoyez une requête broadcast sur votre réseau vous permettant d'obtenir tous les load average des serveurs possèdant ''rstatd'' : | '' => suggestions : ['\xa0»', '”']
220 Mot inconnu : broadcast => En introduisant uniquement ''rup'' dans une console, vous envoyez une requête broadcast sur votre réseau vous permettant d'obtenir tous les load average des serveurs possèdant ''rstatd'' : | broadcast
220 Mot inconnu : load => En introduisant uniquement ''rup'' dans une console, vous envoyez une requête broadcast sur votre réseau vous permettant d'obtenir tous les load average des serveurs possèdant ''rstatd'' : | load
220 Mot inconnu : average => En introduisant uniquement ''rup'' dans une console, vous envoyez une requête broadcast sur votre réseau vous permettant d'obtenir tous les load average des serveurs possèdant ''rstatd'' : | average
220 Mot inconnu : possèdant => En introduisant uniquement ''rup'' dans une console, vous envoyez une requête broadcast sur votre réseau vous permettant d'obtenir tous les load average des serveurs possèdant ''rstatd'' : | possèdant
220 Guillemets typographiques ouvrants. => En introduisant uniquement ''rup'' dans une console, vous envoyez une requête broadcast sur votre réseau vous permettant d'obtenir tous les load average des serveurs possèdant ''rstatd'' : | '' => suggestions : ['«\xa0', '“']
220 Mot inconnu : rstatd => En introduisant uniquement ''rup'' dans une console, vous envoyez une requête broadcast sur votre réseau vous permettant d'obtenir tous les load average des serveurs possèdant ''rstatd'' : | rstatd
220 Guillemets typographiques fermants. => En introduisant uniquement ''rup'' dans une console, vous envoyez une requête broadcast sur votre réseau vous permettant d'obtenir tous les load average des serveurs possèdant ''rstatd'' : | '' => suggestions : ['\xa0»', '”']

233 Guillemets typographiques ouvrants. => En faisant suivre ''rup'' du nom d'hôte ou de l'IP de la machine, vous n'obtiendrez que les informations concernant la machine en paramètres. | '' => suggestions : ['«\xa0', '“']
233 Mot inconnu : rup => En faisant suivre ''rup'' du nom d'hôte ou de l'IP de la machine, vous n'obtiendrez que les informations concernant la machine en paramètres. | rup
233 Guillemets typographiques fermants. => En faisant suivre ''rup'' du nom d'hôte ou de l'IP de la machine, vous n'obtiendrez que les informations concernant la machine en paramètres. | '' => suggestions : ['\xa0»', '”']

235 Guillemets typographiques ouvrants. => Concernant la commande ''rsysinfo'', il faut toujours la faire suivre d'un nom d'hôte/IP et elle fournit les informations suivantes : | '' => suggestions : ['«\xa0', '“']
235 Mot inconnu : rsysinfo => Concernant la commande ''rsysinfo'', il faut toujours la faire suivre d'un nom d'hôte/IP et elle fournit les informations suivantes : | rsysinfo
235 Guillemets typographiques fermants. => Concernant la commande ''rsysinfo'', il faut toujours la faire suivre d'un nom d'hôte/IP et elle fournit les informations suivantes : | '' => suggestions : ['\xa0»', '”']

250 Mot inconnu : Nagios => ===== Couplage avec Nagios ===== | nagios

295 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * et ces informations comme "misccommand" : |        => suggestions : ['']
295 Guillemets typographiques ouvrants. =>       * et ces informations comme "misccommand" : | " => suggestions : ['«\xa0', '“']
295 Mot inconnu : misccommand =>       * et ces informations comme "misccommand" : | misccommand
295 Guillemets typographiques fermants. =>       * et ces informations comme "misccommand" : | " => suggestions : ['\xa0»', '”']
305 Il manque un espace. => //Contributeurs : [[utilisateurs:ostaquet]] // | ostaquet => suggestions : [' ostaquet']
