
4 Mot inconnu : Freeplayer => ====== Freeplayer ====== | freeplayer
70 Mot inconnu : http-src =>                 su $NOM -c'/usr/bin/vlc --daemon --extraintf=http --http-host=:8080 --http-charset=ISO-8859-1 --sout="#std" --sout-standard-access=udp --sout-standard-mux=ts --sout-standard-dst=212.27.38.253:1234 --sout-ts-pid-video=68 --sout-ts-pid-audio=69 --sout-ts-pid-spu=70 --sout-ts-pcr=80 --sout-ts-dts-delay=400 --no-playlist-autostart --subsdec-encoding=ISO-8859-1 --sout-transcode-maxwidth=720 --sout-transcode-maxheight=576 --play-and-stop --http-src="/usr/share/freeplayer/http-fbx/" --config="/etc/freeplayer/vlcrc-fbx" --open="$1" ' & | http-src
70 Guillemets typographiques fermants. =>                 su $NOM -c'/usr/bin/vlc --daemon --extraintf=http --http-host=:8080 --http-charset=ISO-8859-1 --sout="#std" --sout-standard-access=udp --sout-standard-mux=ts --sout-standard-dst=212.27.38.253:1234 --sout-ts-pid-video=68 --sout-ts-pid-audio=69 --sout-ts-pid-spu=70 --sout-ts-pcr=80 --sout-ts-dts-delay=400 --no-playlist-autostart --subsdec-encoding=ISO-8859-1 --sout-transcode-maxwidth=720 --sout-transcode-maxheight=576 --play-and-stop --http-src="/usr/share/freeplayer/http-fbx/" --config="/etc/freeplayer/vlcrc-fbx" --open="$1" ' & | " => suggestions : ['\xa0»', '”']
70 Guillemets typographiques fermants. =>                 su $NOM -c'/usr/bin/vlc --daemon --extraintf=http --http-host=:8080 --http-charset=ISO-8859-1 --sout="#std" --sout-standard-access=udp --sout-standard-mux=ts --sout-standard-dst=212.27.38.253:1234 --sout-ts-pid-video=68 --sout-ts-pid-audio=69 --sout-ts-pid-spu=70 --sout-ts-pcr=80 --sout-ts-dts-delay=400 --no-playlist-autostart --subsdec-encoding=ISO-8859-1 --sout-transcode-maxwidth=720 --sout-transcode-maxheight=576 --play-and-stop --http-src="/usr/share/freeplayer/http-fbx/" --config="/etc/freeplayer/vlcrc-fbx" --open="$1" ' & | " => suggestions : ['\xa0»', '”']

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 ;; |                  => suggestions : ['']
71 Une de ces ponctuations est superflue. =>                 ;; | ;; => suggestions : [';', ';']

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         stop) |          => suggestions : ['']

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 log_daemon_msg "Stopping freeplayer server" |                  => suggestions : ['']
73 Mot inconnu : log_daemon_msg =>                 log_daemon_msg "Stopping freeplayer server" | log_daemon_msg
73 Guillemets typographiques ouvrants. =>                 log_daemon_msg "Stopping freeplayer server" | " => suggestions : ['«\xa0', '“']
73 Mot inconnu : Stopping =>                 log_daemon_msg "Stopping freeplayer server" | stopping
73 Mot inconnu : freeplayer =>                 log_daemon_msg "Stopping freeplayer server" | freeplayer
73 Mot inconnu : server =>                 log_daemon_msg "Stopping freeplayer server" | server
73 Guillemets typographiques fermants. =>                 log_daemon_msg "Stopping freeplayer server" | " => suggestions : ['\xa0»', '”']

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 killall -u $NOM vlc |                  => suggestions : ['']
74 Mot inconnu : killall =>                 killall -u $NOM vlc | killall
74 Il manque un espace à côté du tiret. =>                 killall -u $NOM vlc |  - => suggestions : [' – ', ' — ']
74 Mot inconnu : vlc =>                 killall -u $NOM vlc | vlc

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 ;; |                  => suggestions : ['']
75 Une de ces ponctuations est superflue. =>                 ;; | ;; => suggestions : [';', ';']

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         *) |          => suggestions : ['']

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 echo "Usage: $0 {start|stop}" |                  => suggestions : ['']
77 Mot inconnu : echo =>                 echo "Usage: $0 {start|stop}" | echo
77 Guillemets typographiques ouvrants. =>                 echo "Usage: $0 {start|stop}" | " => suggestions : ['«\xa0', '“']
77 Mot inconnu : start =>                 echo "Usage: $0 {start|stop}" | start

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 exit 2 |                  => suggestions : ['']

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 ;; |                  => suggestions : ['']
79 Une de ces ponctuations est superflue. =>                 ;; | ;; => suggestions : [';', ';']

80 Mot inconnu : esac => esac | esac

84 Mot inconnu : vlc => <note>Il se peut qu'il faille copier la configuration de vlc pour que ça fonctionne : | vlc

89 Mot inconnu : VLC => VLC va se lancer en daemon (option --daemon), avec les options du freeplayer, et avec l'utilisateur public. Cet utilisateur est très important. En fait, il s'agit de l'emplacement où se trouvent vos médias. Il est conseillé de rassembler tous vos medias dans un seul dossier et de créer un utilisateur prévu pour le partage de ces médias. Ce sera cet utilisateur qui fera "tourner" le freeplayer. D'autre part, comme on est pas parvenu à créer un beau script comme ceux d'autres serveurs, pour arreter le démon du freeplayer, on tue (avec la commande killall) tous les vlc qui seraient lancés par l'utilisateur public. | vlc
89 Mot inconnu : daemon => VLC va se lancer en daemon (option --daemon), avec les options du freeplayer, et avec l'utilisateur public. Cet utilisateur est très important. En fait, il s'agit de l'emplacement où se trouvent vos médias. Il est conseillé de rassembler tous vos medias dans un seul dossier et de créer un utilisateur prévu pour le partage de ces médias. Ce sera cet utilisateur qui fera "tourner" le freeplayer. D'autre part, comme on est pas parvenu à créer un beau script comme ceux d'autres serveurs, pour arreter le démon du freeplayer, on tue (avec la commande killall) tous les vlc qui seraient lancés par l'utilisateur public. | daemon
89 Mot inconnu : daemon => VLC va se lancer en daemon (option --daemon), avec les options du freeplayer, et avec l'utilisateur public. Cet utilisateur est très important. En fait, il s'agit de l'emplacement où se trouvent vos médias. Il est conseillé de rassembler tous vos medias dans un seul dossier et de créer un utilisateur prévu pour le partage de ces médias. Ce sera cet utilisateur qui fera "tourner" le freeplayer. D'autre part, comme on est pas parvenu à créer un beau script comme ceux d'autres serveurs, pour arreter le démon du freeplayer, on tue (avec la commande killall) tous les vlc qui seraient lancés par l'utilisateur public. | daemon
89 Mot inconnu : freeplayer => VLC va se lancer en daemon (option --daemon), avec les options du freeplayer, et avec l'utilisateur public. Cet utilisateur est très important. En fait, il s'agit de l'emplacement où se trouvent vos médias. Il est conseillé de rassembler tous vos medias dans un seul dossier et de créer un utilisateur prévu pour le partage de ces médias. Ce sera cet utilisateur qui fera "tourner" le freeplayer. D'autre part, comme on est pas parvenu à créer un beau script comme ceux d'autres serveurs, pour arreter le démon du freeplayer, on tue (avec la commande killall) tous les vlc qui seraient lancés par l'utilisateur public. | freeplayer
89 Mot inconnu : medias => VLC va se lancer en daemon (option --daemon), avec les options du freeplayer, et avec l'utilisateur public. Cet utilisateur est très important. En fait, il s'agit de l'emplacement où se trouvent vos médias. Il est conseillé de rassembler tous vos medias dans un seul dossier et de créer un utilisateur prévu pour le partage de ces médias. Ce sera cet utilisateur qui fera "tourner" le freeplayer. D'autre part, comme on est pas parvenu à créer un beau script comme ceux d'autres serveurs, pour arreter le démon du freeplayer, on tue (avec la commande killall) tous les vlc qui seraient lancés par l'utilisateur public. | medias
89 Guillemets typographiques ouvrants. => VLC va se lancer en daemon (option --daemon), avec les options du freeplayer, et avec l'utilisateur public. Cet utilisateur est très important. En fait, il s'agit de l'emplacement où se trouvent vos médias. Il est conseillé de rassembler tous vos medias dans un seul dossier et de créer un utilisateur prévu pour le partage de ces médias. Ce sera cet utilisateur qui fera "tourner" le freeplayer. D'autre part, comme on est pas parvenu à créer un beau script comme ceux d'autres serveurs, pour arreter le démon du freeplayer, on tue (avec la commande killall) tous les vlc qui seraient lancés par l'utilisateur public. | " => suggestions : ['«\xa0', '“']
89 Guillemets typographiques fermants. => VLC va se lancer en daemon (option --daemon), avec les options du freeplayer, et avec l'utilisateur public. Cet utilisateur est très important. En fait, il s'agit de l'emplacement où se trouvent vos médias. Il est conseillé de rassembler tous vos medias dans un seul dossier et de créer un utilisateur prévu pour le partage de ces médias. Ce sera cet utilisateur qui fera "tourner" le freeplayer. D'autre part, comme on est pas parvenu à créer un beau script comme ceux d'autres serveurs, pour arreter le démon du freeplayer, on tue (avec la commande killall) tous les vlc qui seraient lancés par l'utilisateur public. | " => suggestions : ['\xa0»', '”']
89 Mot inconnu : freeplayer => VLC va se lancer en daemon (option --daemon), avec les options du freeplayer, et avec l'utilisateur public. Cet utilisateur est très important. En fait, il s'agit de l'emplacement où se trouvent vos médias. Il est conseillé de rassembler tous vos medias dans un seul dossier et de créer un utilisateur prévu pour le partage de ces médias. Ce sera cet utilisateur qui fera "tourner" le freeplayer. D'autre part, comme on est pas parvenu à créer un beau script comme ceux d'autres serveurs, pour arreter le démon du freeplayer, on tue (avec la commande killall) tous les vlc qui seraient lancés par l'utilisateur public. | freeplayer
89 Mot inconnu : arreter => VLC va se lancer en daemon (option --daemon), avec les options du freeplayer, et avec l'utilisateur public. Cet utilisateur est très important. En fait, il s'agit de l'emplacement où se trouvent vos médias. Il est conseillé de rassembler tous vos medias dans un seul dossier et de créer un utilisateur prévu pour le partage de ces médias. Ce sera cet utilisateur qui fera "tourner" le freeplayer. D'autre part, comme on est pas parvenu à créer un beau script comme ceux d'autres serveurs, pour arreter le démon du freeplayer, on tue (avec la commande killall) tous les vlc qui seraient lancés par l'utilisateur public. | arreter
89 Mot inconnu : freeplayer => VLC va se lancer en daemon (option --daemon), avec les options du freeplayer, et avec l'utilisateur public. Cet utilisateur est très important. En fait, il s'agit de l'emplacement où se trouvent vos médias. Il est conseillé de rassembler tous vos medias dans un seul dossier et de créer un utilisateur prévu pour le partage de ces médias. Ce sera cet utilisateur qui fera "tourner" le freeplayer. D'autre part, comme on est pas parvenu à créer un beau script comme ceux d'autres serveurs, pour arreter le démon du freeplayer, on tue (avec la commande killall) tous les vlc qui seraient lancés par l'utilisateur public. | freeplayer
89 Mot inconnu : killall => VLC va se lancer en daemon (option --daemon), avec les options du freeplayer, et avec l'utilisateur public. Cet utilisateur est très important. En fait, il s'agit de l'emplacement où se trouvent vos médias. Il est conseillé de rassembler tous vos medias dans un seul dossier et de créer un utilisateur prévu pour le partage de ces médias. Ce sera cet utilisateur qui fera "tourner" le freeplayer. D'autre part, comme on est pas parvenu à créer un beau script comme ceux d'autres serveurs, pour arreter le démon du freeplayer, on tue (avec la commande killall) tous les vlc qui seraient lancés par l'utilisateur public. | killall
89 Mot inconnu : vlc => VLC va se lancer en daemon (option --daemon), avec les options du freeplayer, et avec l'utilisateur public. Cet utilisateur est très important. En fait, il s'agit de l'emplacement où se trouvent vos médias. Il est conseillé de rassembler tous vos medias dans un seul dossier et de créer un utilisateur prévu pour le partage de ces médias. Ce sera cet utilisateur qui fera "tourner" le freeplayer. D'autre part, comme on est pas parvenu à créer un beau script comme ceux d'autres serveurs, pour arreter le démon du freeplayer, on tue (avec la commande killall) tous les vlc qui seraient lancés par l'utilisateur public. | vlc

91 Mot inconnu : nfs => <note tip>Dans le cas présent, le dossier public est aussi un partage nfs/samba et un ftp. D'où la présence de l'utilisateur. Vous pouvez voir ainsi qu'on a essayer de regrouper tous les médias au même endroit dans le serveur.</note>  | nfs
91 Incohérence probable avec “a” : “essayer” n’est pas un participe passé. => <note tip>Dans le cas présent, le dossier public est aussi un partage nfs/samba et un ftp. D'où la présence de l'utilisateur. Vous pouvez voir ainsi qu'on a essayer de regrouper tous les médias au même endroit dans le serveur.</note>  | essayer => suggestions : ['essayé']
91 Espace(s) en fin de ligne à supprimer. => <note tip>Dans le cas présent, le dossier public est aussi un partage nfs/samba et un ftp. D'où la présence de l'utilisateur. Vous pouvez voir ainsi qu'on a essayer de regrouper tous les médias au même endroit dans le serveur.</note>  |   => suggestions : ['']

93 Mot inconnu : éxecution => Une fois que votre script est fini, il vous faut le lier avec les niveaux d'éxecution corrects. Une commande existe pour celà : update-rc.d | éxecution
93 Mot inconnu : celà => Une fois que votre script est fini, il vous faut le lier avec les niveaux d'éxecution corrects. Une commande existe pour celà : update-rc.d | celà
93 Mot inconnu : update-rc => Une fois que votre script est fini, il vous faut le lier avec les niveaux d'éxecution corrects. Une commande existe pour celà : update-rc.d | update-rc

97 Mot inconnu : demon => Une fois cela fait, votre demon sera lancé avec les autres serveurs au prochain reboot. Vous pouvez aussi le lancer manuellement : | demon
97 Mot inconnu : reboot => Une fois cela fait, votre demon sera lancé avec les autres serveurs au prochain reboot. Vous pouvez aussi le lancer manuellement : | reboot

102 Mot inconnu : TCP => Attention, ne pas oublier d'ouvrir les ports en TCP et UDP dans le panneau de configuration de la freebox si elle est en mode routeur le port utilisé est le 8080. Il faut aussi renseigner la freebox sur l'IP du freeplayer un ifconfig dans le terminal vous donnera votre ip sur le réseau. | tcp
102 Mot inconnu : UDP => Attention, ne pas oublier d'ouvrir les ports en TCP et UDP dans le panneau de configuration de la freebox si elle est en mode routeur le port utilisé est le 8080. Il faut aussi renseigner la freebox sur l'IP du freeplayer un ifconfig dans le terminal vous donnera votre ip sur le réseau. | udp
102 Mot inconnu : freebox => Attention, ne pas oublier d'ouvrir les ports en TCP et UDP dans le panneau de configuration de la freebox si elle est en mode routeur le port utilisé est le 8080. Il faut aussi renseigner la freebox sur l'IP du freeplayer un ifconfig dans le terminal vous donnera votre ip sur le réseau. | freebox
102 Mot inconnu : freebox => Attention, ne pas oublier d'ouvrir les ports en TCP et UDP dans le panneau de configuration de la freebox si elle est en mode routeur le port utilisé est le 8080. Il faut aussi renseigner la freebox sur l'IP du freeplayer un ifconfig dans le terminal vous donnera votre ip sur le réseau. | freebox
102 Mot inconnu : freeplayer => Attention, ne pas oublier d'ouvrir les ports en TCP et UDP dans le panneau de configuration de la freebox si elle est en mode routeur le port utilisé est le 8080. Il faut aussi renseigner la freebox sur l'IP du freeplayer un ifconfig dans le terminal vous donnera votre ip sur le réseau. | freeplayer
102 Mot inconnu : ifconfig => Attention, ne pas oublier d'ouvrir les ports en TCP et UDP dans le panneau de configuration de la freebox si elle est en mode routeur le port utilisé est le 8080. Il faut aussi renseigner la freebox sur l'IP du freeplayer un ifconfig dans le terminal vous donnera votre ip sur le réseau. | ifconfig
102 Mot inconnu : ip => Attention, ne pas oublier d'ouvrir les ports en TCP et UDP dans le panneau de configuration de la freebox si elle est en mode routeur le port utilisé est le 8080. Il faut aussi renseigner la freebox sur l'IP du freeplayer un ifconfig dans le terminal vous donnera votre ip sur le réseau. | ip
104 Mot inconnu : freeplayer => Dans la configuration du routeur, si vous l'utilisez avec les options : service activé et DHCP activé. Cette méthode a permis de résoudre le problème, quand j'étais sur la télé, et que je cliquais sur freeplayer, le message suivant s'affichait : "se connecter au freeplayer", bleu pour se connecter rouge pour sortir, et impossible de se connecter. | freeplayer
104 Guillemets typographiques ouvrants. => Dans la configuration du routeur, si vous l'utilisez avec les options : service activé et DHCP activé. Cette méthode a permis de résoudre le problème, quand j'étais sur la télé, et que je cliquais sur freeplayer, le message suivant s'affichait : "se connecter au freeplayer", bleu pour se connecter rouge pour sortir, et impossible de se connecter. | " => suggestions : ['«\xa0', '“']
104 Mot inconnu : freeplayer => Dans la configuration du routeur, si vous l'utilisez avec les options : service activé et DHCP activé. Cette méthode a permis de résoudre le problème, quand j'étais sur la télé, et que je cliquais sur freeplayer, le message suivant s'affichait : "se connecter au freeplayer", bleu pour se connecter rouge pour sortir, et impossible de se connecter. | freeplayer
104 Guillemets typographiques fermants. => Dans la configuration du routeur, si vous l'utilisez avec les options : service activé et DHCP activé. Cette méthode a permis de résoudre le problème, quand j'étais sur la télé, et que je cliquais sur freeplayer, le message suivant s'affichait : "se connecter au freeplayer", bleu pour se connecter rouge pour sortir, et impossible de se connecter. | " => suggestions : ['\xa0»', '”']

108 Mot inconnu : tcp => 8080 en tcp et udp pour l'ip de l'ordinateur fournissant les médias, utilisez ifconfig dans un terminal pour connaître votre ip. | tcp
108 Mot inconnu : udp => 8080 en tcp et udp pour l'ip de l'ordinateur fournissant les médias, utilisez ifconfig dans un terminal pour connaître votre ip. | udp
108 Mot inconnu : ip => 8080 en tcp et udp pour l'ip de l'ordinateur fournissant les médias, utilisez ifconfig dans un terminal pour connaître votre ip. | ip
108 Mot inconnu : ifconfig => 8080 en tcp et udp pour l'ip de l'ordinateur fournissant les médias, utilisez ifconfig dans un terminal pour connaître votre ip. | ifconfig
108 Mot inconnu : ip => 8080 en tcp et udp pour l'ip de l'ordinateur fournissant les médias, utilisez ifconfig dans un terminal pour connaître votre ip. | ip

110 Mot inconnu : tcp => 1234 en tcp et udp pour l'ip de l'ordinateur fournissant les médias, utilisez ifconfig dans un terminal pour connaître votre ip. | tcp
110 Mot inconnu : udp => 1234 en tcp et udp pour l'ip de l'ordinateur fournissant les médias, utilisez ifconfig dans un terminal pour connaître votre ip. | udp
110 Mot inconnu : ip => 1234 en tcp et udp pour l'ip de l'ordinateur fournissant les médias, utilisez ifconfig dans un terminal pour connaître votre ip. | ip
110 Mot inconnu : ifconfig => 1234 en tcp et udp pour l'ip de l'ordinateur fournissant les médias, utilisez ifconfig dans un terminal pour connaître votre ip. | ifconfig
110 Mot inconnu : ip => 1234 en tcp et udp pour l'ip de l'ordinateur fournissant les médias, utilisez ifconfig dans un terminal pour connaître votre ip. | ip

112 Mot inconnu : tcp => 8080 en tcp et udp pour l'ip freebox, indiqué juste en dessous de la case coché pour activer le service. | tcp
112 Mot inconnu : udp => 8080 en tcp et udp pour l'ip freebox, indiqué juste en dessous de la case coché pour activer le service. | udp
112 Mot inconnu : ip => 8080 en tcp et udp pour l'ip freebox, indiqué juste en dessous de la case coché pour activer le service. | ip
112 Mot inconnu : freebox => 8080 en tcp et udp pour l'ip freebox, indiqué juste en dessous de la case coché pour activer le service. | freebox

114 Mot inconnu : tcp => 1234 en tcp et udp pour l'ip freebox, indiqué juste en dessous de la case coché pour activer le service. | tcp
114 Mot inconnu : udp => 1234 en tcp et udp pour l'ip freebox, indiqué juste en dessous de la case coché pour activer le service. | udp
114 Mot inconnu : ip => 1234 en tcp et udp pour l'ip freebox, indiqué juste en dessous de la case coché pour activer le service. | ip
114 Mot inconnu : freebox => 1234 en tcp et udp pour l'ip freebox, indiqué juste en dessous de la case coché pour activer le service. | freebox

116 Mot inconnu : ip => et ne pas oublier de mettre l'ip du freeplayer identique à l'ip de l'ordinateur fournissant les médias | ip
116 Mot inconnu : freeplayer => et ne pas oublier de mettre l'ip du freeplayer identique à l'ip de l'ordinateur fournissant les médias | freeplayer
116 Mot inconnu : ip => et ne pas oublier de mettre l'ip du freeplayer identique à l'ip de l'ordinateur fournissant les médias | ip
119 Mot inconnu : symio => //Contributeurs : symio, ulyssi, stephaneguedon, neomars// | symio
119 Mot inconnu : ulyssi => //Contributeurs : symio, ulyssi, stephaneguedon, neomars// | ulyssi
119 Mot inconnu : stephaneguedon => //Contributeurs : symio, ulyssi, stephaneguedon, neomars// | stephaneguedon
119 Mot inconnu : neomars => //Contributeurs : symio, ulyssi, stephaneguedon, neomars// | neomars
