1 Mot inconnu : Konqueror => ====== Astuces pour Konqueror ====== | konqueror
110 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   libarts1-mpeglib |    => suggestions : ['']
110 Mot inconnu : libarts1-mpeglib =>   libarts1-mpeglib | libarts1-mpeglib

114 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mpg123 |    => suggestions : ['']
114 Mot inconnu : mpg123 =>   mpg123 | mpg123

115 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mpg321 |    => suggestions : ['']
115 Mot inconnu : mpg321 =>   mpg321 | mpg321

116 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mpg123-alsa |    => suggestions : ['']
116 Mot inconnu : mpg123-alsa =>   mpg123-alsa | mpg123-alsa

119 Mot inconnu : konqueror => =====Synthèse vocale pour konqueror ===== | konqueror

121 Mot inconnu : synthese_vocale => [[synthese_vocale#pour_kde|Voir la page sur la synthèse vocale]]. | synthese_vocale

125 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ctrl permet d'attribuer une lettre ou un numéro à chaque lien cliquable d'un page et de le sélectionner ensuite par le clavier |    => suggestions : ['']

126 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ctrl+N : nouvelle fenêtre |    => suggestions : ['']

127 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ctrl+L : place le curseur dans la barre d'adresse |    => suggestions : ['']

128 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ctrl+S : place le curseur dans la barre de recherche |    => suggestions : ['']

129 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ctrl+O : boite de dialogue pour ouvrir une nouvelle URL |    => suggestions : ['']

130 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ctrl+B : ajouter un signet |    => suggestions : ['']

131 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Clic icône Kubuntu (à droite de la barre de recherche) : crée une copie séparée de l'actuelle fenêtre de Konqueror, en gardant les historiques. |    => suggestions : ['']
131 Mot inconnu : Konqueror =>   * Clic icône Kubuntu (à droite de la barre de recherche) : crée une copie séparée de l'actuelle fenêtre de Konqueror, en gardant les historiques. | konqueror
