
4 Mot inconnu : MT7630e => ====== Carte Wifi et Bluetooth MT7630e ====== | mt7630e
97 Guillemets typographiques ouvrants. =>   cd "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" | " => suggestions : ['«\xa0', '“']
97 Mot inconnu : rt2x00 =>   cd "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" | rt2x00
97 Signe de multiplication typographique. =>   cd "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" | 2x00 => suggestions : ['2\xa0×\xa000']
97 Mot inconnu : uname =>   cd "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" | uname
97 Il manque un espace à côté du tiret. =>   cd "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" |  - => suggestions : [' – ', ' — ']
97 Mot inconnu : egrep =>   cd "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" | egrep
97 Il manque un espace à côté du tiret. =>   cd "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" |  - => suggestions : [' – ', ' — ']
97 Mot inconnu : head =>   cd "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" | head
97 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>   cd "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" | -1 => suggestions : ['−1', '– 1', '— 1']

98 Mot inconnu : dkms => Puis créer dans ce dossier un fichier dkms.conf par exemple via | dkms
98 Il manque un espace. => Puis créer dans ce dossier un fichier dkms.conf par exemple via | conf => suggestions : [' conf']

99 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   gedit dkms.conf |    => suggestions : ['']
99 Mot inconnu : gedit =>   gedit dkms.conf | gedit
99 Mot inconnu : dkms =>   gedit dkms.conf | dkms
99 Il manque un espace. =>   gedit dkms.conf | conf => suggestions : [' conf']
134 Mot inconnu : cp => La version initiale proposait d’enchaîner avec la ligne de code suivante: cp "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" /usr/src/ | cp
134 Guillemets typographiques ouvrants. => La version initiale proposait d’enchaîner avec la ligne de code suivante: cp "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" /usr/src/ | " => suggestions : ['«\xa0', '“']
134 Mot inconnu : rt2x00 => La version initiale proposait d’enchaîner avec la ligne de code suivante: cp "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" /usr/src/ | rt2x00
134 Signe de multiplication typographique. => La version initiale proposait d’enchaîner avec la ligne de code suivante: cp "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" /usr/src/ | 2x00 => suggestions : ['2\xa0×\xa000']
134 Mot inconnu : uname => La version initiale proposait d’enchaîner avec la ligne de code suivante: cp "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" /usr/src/ | uname
134 Il manque un espace à côté du tiret. => La version initiale proposait d’enchaîner avec la ligne de code suivante: cp "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" /usr/src/ |  - => suggestions : [' – ', ' — ']
134 Mot inconnu : egrep => La version initiale proposait d’enchaîner avec la ligne de code suivante: cp "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" /usr/src/ | egrep
134 Il manque un espace à côté du tiret. => La version initiale proposait d’enchaîner avec la ligne de code suivante: cp "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" /usr/src/ |  - => suggestions : [' – ', ' — ']
134 Mot inconnu : head => La version initiale proposait d’enchaîner avec la ligne de code suivante: cp "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" /usr/src/ | head
134 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. => La version initiale proposait d’enchaîner avec la ligne de code suivante: cp "rt2x00-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" /usr/src/ | -1 => suggestions : ['−1', '– 1', '— 1']

164 Mot inconnu : bluetooth => === Installation du bluetooth === | bluetooth

168 Mot inconnu : ReadMe => Lancez ensuite, comme spécifié dans le ReadMe : | readme

169 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo su |    => suggestions : ['']
169 Mot inconnu : sudo =>   sudo su | sudo

170 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo cp ./firmware/BT/mt76x0.bin /lib/firmware |    => suggestions : ['']
170 Mot inconnu : sudo =>   sudo cp ./firmware/BT/mt76x0.bin /lib/firmware | sudo
170 Mot inconnu : cp =>   sudo cp ./firmware/BT/mt76x0.bin /lib/firmware | cp
170 Mot inconnu : mt76x0 =>   sudo cp ./firmware/BT/mt76x0.bin /lib/firmware | mt76x0
170 Signe de multiplication typographique. =>   sudo cp ./firmware/BT/mt76x0.bin /lib/firmware | 76x0 => suggestions : ['76\xa0×\xa00']
170 Mot inconnu : bin =>   sudo cp ./firmware/BT/mt76x0.bin /lib/firmware | bin

171 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd btloader/ |    => suggestions : ['']
171 Mot inconnu : btloader =>   cd btloader/ | btloader

172 Mot inconnu : bluetooth => Il y a cependant une petite modification à faire dans le code pour rendre le bluetooth fonctionnel. Il faut éditer le fichier mt76xx.c en rajoutant les lignes avec les astérisques (*********, en les supprimant bien évidemment) | bluetooth
172 Mot inconnu : mt76xx => Il y a cependant une petite modification à faire dans le code pour rendre le bluetooth fonctionnel. Il faut éditer le fichier mt76xx.c en rajoutant les lignes avec les astérisques (*********, en les supprimant bien évidemment) | mt76xx

191 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   make clean |    => suggestions : ['']
191 Mot inconnu : make =>   make clean | make

192 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   make |    => suggestions : ['']
192 Mot inconnu : make =>   make | make

193 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

195 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   insmod mt76xx.ko |    => suggestions : ['']
195 Mot inconnu : insmod =>   insmod mt76xx.ko | insmod
195 Mot inconnu : mt76xx =>   insmod mt76xx.ko | mt76xx
195 Il manque un espace. =>   insmod mt76xx.ko | ko => suggestions : [' ko']

196 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

197 Si “la méthode…” est bien le COD du participe passé “trouvé”, celui-ci devrait être au féminin singulier. => Si tout est fonctionnel vous voudrez certainement l'installer au démarrage. Pour cela la méthode la plus propre que j'ai trouvé est de passer par dkms (par contre je crois qu'il faut reproduire ces étapes quand on change de noyau... A confirmer, si c'est le cas je suis intéressé par une méthode plus propre) | trouvé => suggestions : ['trouvée']
197 Mot inconnu : dkms => Si tout est fonctionnel vous voudrez certainement l'installer au démarrage. Pour cela la méthode la plus propre que j'ai trouvé est de passer par dkms (par contre je crois qu'il faut reproduire ces étapes quand on change de noyau... A confirmer, si c'est le cas je suis intéressé par une méthode plus propre) | dkms
197 Typographie : points de suspension. Utilisez le caractère dédié. => Si tout est fonctionnel vous voudrez certainement l'installer au démarrage. Pour cela la méthode la plus propre que j'ai trouvé est de passer par dkms (par contre je crois qu'il faut reproduire ces étapes quand on change de noyau... A confirmer, si c'est le cas je suis intéressé par une méthode plus propre) | ... => suggestions : ['…']
197 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => Si tout est fonctionnel vous voudrez certainement l'installer au démarrage. Pour cela la méthode la plus propre que j'ai trouvé est de passer par dkms (par contre je crois qu'il faut reproduire ces étapes quand on change de noyau... A confirmer, si c'est le cas je suis intéressé par une méthode plus propre) | a => suggestions : ['À']

199 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd .. |    => suggestions : ['']
199 Typographie : un ou trois points ? =>   cd .. | .. => suggestions : ['…', '.']

200 Mot inconnu : btloader => Puis copier btloader dans un nouveau dossier portant le nom du noyau : | btloader

201 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cp btloader "btloader-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" -r |    => suggestions : ['']
201 Mot inconnu : cp =>   cp btloader "btloader-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" -r | cp
201 Mot inconnu : btloader =>   cp btloader "btloader-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" -r | btloader
201 Guillemets typographiques ouvrants. =>   cp btloader "btloader-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" -r | " => suggestions : ['«\xa0', '“']
201 Mot inconnu : btloader =>   cp btloader "btloader-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" -r | btloader
201 Mot inconnu : uname =>   cp btloader "btloader-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" -r | uname
201 Il manque un espace à côté du tiret. =>   cp btloader "btloader-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" -r |  - => suggestions : [' – ', ' — ']
201 Mot inconnu : egrep =>   cp btloader "btloader-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" -r | egrep
201 Il manque un espace à côté du tiret. =>   cp btloader "btloader-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" -r |  - => suggestions : [' – ', ' — ']
201 Mot inconnu : head =>   cp btloader "btloader-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" -r | head
201 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>   cp btloader "btloader-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" -r | -1 => suggestions : ['−1', '– 1', '— 1']

202 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd "btloader-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" |    => suggestions : ['']
202 Guillemets typographiques ouvrants. =>   cd "btloader-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" | " => suggestions : ['«\xa0', '“']
202 Mot inconnu : btloader =>   cd "btloader-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" | btloader
202 Mot inconnu : uname =>   cd "btloader-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" | uname
202 Il manque un espace à côté du tiret. =>   cd "btloader-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" |  - => suggestions : [' – ', ' — ']
202 Mot inconnu : egrep =>   cd "btloader-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" | egrep
202 Il manque un espace à côté du tiret. =>   cd "btloader-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" |  - => suggestions : [' – ', ' — ']
202 Mot inconnu : head =>   cd "btloader-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" | head
202 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>   cd "btloader-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" | -1 => suggestions : ['−1', '– 1', '— 1']

203 Mot inconnu : dkms => Puis créer dans ce dossier un fichier dkms.conf par exemple via | dkms
203 Il manque un espace. => Puis créer dans ce dossier un fichier dkms.conf par exemple via | conf => suggestions : [' conf']

204 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   gedit dkms.conf |    => suggestions : ['']
204 Mot inconnu : gedit =>   gedit dkms.conf | gedit
204 Mot inconnu : dkms =>   gedit dkms.conf | dkms
204 Il manque un espace. =>   gedit dkms.conf | conf => suggestions : [' conf']

215 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd .. |    => suggestions : ['']
215 Typographie : un ou trois points ? =>   cd .. | .. => suggestions : ['…', '.']

216 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cp "btloader-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" /usr/src/ |    => suggestions : ['']
216 Mot inconnu : cp =>   cp "btloader-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" /usr/src/ | cp
216 Guillemets typographiques ouvrants. =>   cp "btloader-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" /usr/src/ | " => suggestions : ['«\xa0', '“']
216 Mot inconnu : btloader =>   cp "btloader-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" /usr/src/ | btloader
216 Mot inconnu : uname =>   cp "btloader-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" /usr/src/ | uname
216 Il manque un espace à côté du tiret. =>   cp "btloader-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" /usr/src/ |  - => suggestions : [' – ', ' — ']
216 Mot inconnu : egrep =>   cp "btloader-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" /usr/src/ | egrep
216 Il manque un espace à côté du tiret. =>   cp "btloader-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" /usr/src/ |  - => suggestions : [' – ', ' — ']
216 Mot inconnu : head =>   cp "btloader-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" /usr/src/ | head
216 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>   cp "btloader-$(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1)" /usr/src/ | -1 => suggestions : ['−1', '– 1', '— 1']

217 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd /usr/src |    => suggestions : ['']

218 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo dkms add -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) |    => suggestions : ['']
218 Mot inconnu : sudo =>   sudo dkms add -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) | sudo
218 Mot inconnu : dkms =>   sudo dkms add -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) | dkms
218 Mot inconnu : add =>   sudo dkms add -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) | add
218 Il manque un espace à côté du tiret. =>   sudo dkms add -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) |  - => suggestions : [' – ', ' — ']
218 Mot inconnu : btloader =>   sudo dkms add -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) | btloader
218 Il manque un espace à côté du tiret. =>   sudo dkms add -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) |  - => suggestions : [' – ', ' — ']
218 Mot inconnu : uname =>   sudo dkms add -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) | uname
218 Il manque un espace à côté du tiret. =>   sudo dkms add -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) |  - => suggestions : [' – ', ' — ']
218 Mot inconnu : egrep =>   sudo dkms add -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) | egrep
218 Il manque un espace à côté du tiret. =>   sudo dkms add -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) |  - => suggestions : [' – ', ' — ']
218 Mot inconnu : head =>   sudo dkms add -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) | head
218 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>   sudo dkms add -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) | -1 => suggestions : ['−1', '– 1', '— 1']

219 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo dkms build -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) |    => suggestions : ['']
219 Mot inconnu : sudo =>   sudo dkms build -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) | sudo
219 Mot inconnu : dkms =>   sudo dkms build -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) | dkms
219 Il manque un espace à côté du tiret. =>   sudo dkms build -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) |  - => suggestions : [' – ', ' — ']
219 Mot inconnu : btloader =>   sudo dkms build -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) | btloader
219 Il manque un espace à côté du tiret. =>   sudo dkms build -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) |  - => suggestions : [' – ', ' — ']
219 Mot inconnu : uname =>   sudo dkms build -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) | uname
219 Il manque un espace à côté du tiret. =>   sudo dkms build -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) |  - => suggestions : [' – ', ' — ']
219 Mot inconnu : egrep =>   sudo dkms build -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) | egrep
219 Il manque un espace à côté du tiret. =>   sudo dkms build -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) |  - => suggestions : [' – ', ' — ']
219 Mot inconnu : head =>   sudo dkms build -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) | head
219 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>   sudo dkms build -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) | -1 => suggestions : ['−1', '– 1', '— 1']

220 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo dkms install -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) --force |    => suggestions : ['']
220 Mot inconnu : sudo =>   sudo dkms install -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) --force | sudo
220 Mot inconnu : dkms =>   sudo dkms install -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) --force | dkms
220 Mot inconnu : install =>   sudo dkms install -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) --force | install
220 Il manque un espace à côté du tiret. =>   sudo dkms install -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) --force |  - => suggestions : [' – ', ' — ']
220 Mot inconnu : btloader =>   sudo dkms install -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) --force | btloader
220 Il manque un espace à côté du tiret. =>   sudo dkms install -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) --force |  - => suggestions : [' – ', ' — ']
220 Mot inconnu : uname =>   sudo dkms install -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) --force | uname
220 Il manque un espace à côté du tiret. =>   sudo dkms install -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) --force |  - => suggestions : [' – ', ' — ']
220 Mot inconnu : egrep =>   sudo dkms install -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) --force | egrep
220 Il manque un espace à côté du tiret. =>   sudo dkms install -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) --force |  - => suggestions : [' – ', ' — ']
220 Mot inconnu : head =>   sudo dkms install -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) --force | head
220 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>   sudo dkms install -m btloader -v $(uname -r | egrep -o "[0-9]*\.[0-9]*" | head -1) --force | -1 => suggestions : ['−1', '– 1', '— 1']

222 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mt76xx |    => suggestions : ['']
222 Mot inconnu : mt76xx =>   mt76xx | mt76xx

224 Mot inconnu : bluetooth => Redémarrer et c'est bon, votre bluetooth est fonctionnel ! | bluetooth

228 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://neurobin.org/projects/softwares/unix/MT7630E/|"Easy installation package for Mediatek MT7630E Wifi + Bluetooth Combo Linux Driver."]] (2015) |    => suggestions : ['']
228 Guillemets typographiques ouvrants. =>   * **(en)** [[https://neurobin.org/projects/softwares/unix/MT7630E/|"Easy installation package for Mediatek MT7630E Wifi + Bluetooth Combo Linux Driver."]] (2015) | " => suggestions : ['«\xa0', '“']
228 Mot inconnu : Easy =>   * **(en)** [[https://neurobin.org/projects/softwares/unix/MT7630E/|"Easy installation package for Mediatek MT7630E Wifi + Bluetooth Combo Linux Driver."]] (2015) | easy
228 Mot inconnu : Mediatek =>   * **(en)** [[https://neurobin.org/projects/softwares/unix/MT7630E/|"Easy installation package for Mediatek MT7630E Wifi + Bluetooth Combo Linux Driver."]] (2015) | mediatek
228 Mot inconnu : MT7630E =>   * **(en)** [[https://neurobin.org/projects/softwares/unix/MT7630E/|"Easy installation package for Mediatek MT7630E Wifi + Bluetooth Combo Linux Driver."]] (2015) | mt7630e
228 Guillemets typographiques fermants. =>   * **(en)** [[https://neurobin.org/projects/softwares/unix/MT7630E/|"Easy installation package for Mediatek MT7630E Wifi + Bluetooth Combo Linux Driver."]] (2015) | " => suggestions : ['\xa0»', '”']

229 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://community.linuxmint.com/tutorial/view/1796|Autre méthode pour Kernel 4.4.x]] (2014) |    => suggestions : ['']
229 Mot inconnu : Kernel =>   * **(en)** [[https://community.linuxmint.com/tutorial/view/1796|Autre méthode pour Kernel 4.4.x]] (2014) | kernel

230 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://bugs.launchpad.net/ubuntu/+source/linux/+bug/1220146]] ("Ralink Mediatek 14c3:7630 wi-fi card isn't supported out of the box", 2013) |    => suggestions : ['']
230 Guillemets typographiques ouvrants. =>   * **(en)** [[https://bugs.launchpad.net/ubuntu/+source/linux/+bug/1220146]] ("Ralink Mediatek 14c3:7630 wi-fi card isn't supported out of the box", 2013) | " => suggestions : ['«\xa0', '“']
230 Mot inconnu : Ralink =>   * **(en)** [[https://bugs.launchpad.net/ubuntu/+source/linux/+bug/1220146]] ("Ralink Mediatek 14c3:7630 wi-fi card isn't supported out of the box", 2013) | ralink
230 Mot inconnu : Mediatek =>   * **(en)** [[https://bugs.launchpad.net/ubuntu/+source/linux/+bug/1220146]] ("Ralink Mediatek 14c3:7630 wi-fi card isn't supported out of the box", 2013) | mediatek
230 Mot inconnu : c3 =>   * **(en)** [[https://bugs.launchpad.net/ubuntu/+source/linux/+bug/1220146]] ("Ralink Mediatek 14c3:7630 wi-fi card isn't supported out of the box", 2013) | c3
230 Il manque un espace. =>   * **(en)** [[https://bugs.launchpad.net/ubuntu/+source/linux/+bug/1220146]] ("Ralink Mediatek 14c3:7630 wi-fi card isn't supported out of the box", 2013) | 7630 => suggestions : [' 7630']
230 Mot inconnu : wi-fi =>   * **(en)** [[https://bugs.launchpad.net/ubuntu/+source/linux/+bug/1220146]] ("Ralink Mediatek 14c3:7630 wi-fi card isn't supported out of the box", 2013) | wi-fi
230 Mot inconnu : card =>   * **(en)** [[https://bugs.launchpad.net/ubuntu/+source/linux/+bug/1220146]] ("Ralink Mediatek 14c3:7630 wi-fi card isn't supported out of the box", 2013) | card
230 Mot inconnu : isn't =>   * **(en)** [[https://bugs.launchpad.net/ubuntu/+source/linux/+bug/1220146]] ("Ralink Mediatek 14c3:7630 wi-fi card isn't supported out of the box", 2013) | isn't
230 Mot inconnu : supported =>   * **(en)** [[https://bugs.launchpad.net/ubuntu/+source/linux/+bug/1220146]] ("Ralink Mediatek 14c3:7630 wi-fi card isn't supported out of the box", 2013) | supported
230 Mot inconnu : of =>   * **(en)** [[https://bugs.launchpad.net/ubuntu/+source/linux/+bug/1220146]] ("Ralink Mediatek 14c3:7630 wi-fi card isn't supported out of the box", 2013) | of
230 Mot inconnu : the =>   * **(en)** [[https://bugs.launchpad.net/ubuntu/+source/linux/+bug/1220146]] ("Ralink Mediatek 14c3:7630 wi-fi card isn't supported out of the box", 2013) | the
230 Guillemets typographiques fermants. =>   * **(en)** [[https://bugs.launchpad.net/ubuntu/+source/linux/+bug/1220146]] ("Ralink Mediatek 14c3:7630 wi-fi card isn't supported out of the box", 2013) | " => suggestions : ['\xa0»', '”']

231 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** <del> [[http://forum.xubuntu-fr.org/viewtopic.php?id=1659661&p=1]] </del> |    => suggestions : ['']

232 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** Un [[https://lists.debian.org/debian-user-french/2015/04/msg00025.html|post]] à ce sujet (2015). |    => suggestions : ['']

233 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** Post au sujet des problèmes liés au secure boot : [[https://forum.ubuntu-fr.org/viewtopic.php?id=1988871]]  |    => suggestions : ['']
233 Mot inconnu : secure =>   * **(fr)** Post au sujet des problèmes liés au secure boot : [[https://forum.ubuntu-fr.org/viewtopic.php?id=1988871]]  | secure
233 Mot inconnu : boot =>   * **(fr)** Post au sujet des problèmes liés au secure boot : [[https://forum.ubuntu-fr.org/viewtopic.php?id=1988871]]  | boot
233 Espace(s) en fin de ligne à supprimer. =>   * **(fr)** Post au sujet des problèmes liés au secure boot : [[https://forum.ubuntu-fr.org/viewtopic.php?id=1988871]]  |   => suggestions : ['']

234 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** Documentation sur le secure boot : [[https://doc.ubuntu-fr.org/uefi#activerdesactiver_le_secure_boot]] |    => suggestions : ['']
234 Mot inconnu : secure =>   * **(fr)** Documentation sur le secure boot : [[https://doc.ubuntu-fr.org/uefi#activerdesactiver_le_secure_boot]] | secure
234 Mot inconnu : boot =>   * **(fr)** Documentation sur le secure boot : [[https://doc.ubuntu-fr.org/uefi#activerdesactiver_le_secure_boot]] | boot
