
10 Il manque un espace. => Rédigé par [[utilisateurs:gale|gale]] | gale => suggestions : [' gale']

12 Mot inconnu : SSL-Explorer => ====== SSL-Explorer Community Edition ====== | ssl-explorer
151 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Sélectionner "Create Tunnel" |    => suggestions : ['']
151 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Sélectionner "Create Tunnel" |  -  => suggestions : [' – ', ' — ', ' − ']
151 Guillemets typographiques ouvrants. =>   - Sélectionner "Create Tunnel" | " => suggestions : ['«\xa0', '“']
151 Mot inconnu : Create =>   - Sélectionner "Create Tunnel" | create
151 Guillemets typographiques fermants. =>   - Sélectionner "Create Tunnel" | " => suggestions : ['\xa0»', '”']

152 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Inscrire un nom et une description |    => suggestions : ['']
152 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Inscrire un nom et une description |  -  => suggestions : [' – ', ' — ', ' − ']

153 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Inscrire le port source (Ex.:3388), destination (Ex.: serveur), port de destination (3389) |    => suggestions : ['']
153 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Inscrire le port source (Ex.:3388), destination (Ex.: serveur), port de destination (3389) |  -  => suggestions : [' – ', ' — ', ' − ']

154 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Ensuite, la politique que vous souhaitez attacher à cet accès. |    => suggestions : ['']
154 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Ensuite, la politique que vous souhaitez attacher à cet accès. |  -  => suggestions : [' – ', ' — ', ' − ']

155 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Une fois terminé, mettre ce tunnel à "On", utiliser votre client RDP et vous connecter sur localhost:3388. |    => suggestions : ['']
155 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Une fois terminé, mettre ce tunnel à "On", utiliser votre client RDP et vous connecter sur localhost:3388. |  -  => suggestions : [' – ', ' — ', ' − ']
155 Guillemets typographiques ouvrants. =>   - Une fois terminé, mettre ce tunnel à "On", utiliser votre client RDP et vous connecter sur localhost:3388. | " => suggestions : ['«\xa0', '“']
155 Guillemets typographiques fermants. =>   - Une fois terminé, mettre ce tunnel à "On", utiliser votre client RDP et vous connecter sur localhost:3388. | " => suggestions : ['\xa0»', '”']
155 Mot inconnu : RDP =>   - Une fois terminé, mettre ce tunnel à "On", utiliser votre client RDP et vous connecter sur localhost:3388. | rdp
155 Mot inconnu : localhost =>   - Une fois terminé, mettre ce tunnel à "On", utiliser votre client RDP et vous connecter sur localhost:3388. | localhost
155 Il manque un espace. =>   - Une fois terminé, mettre ce tunnel à "On", utiliser votre client RDP et vous connecter sur localhost:3388. | 3388 => suggestions : [' 3388']

159 Apostrophe incorrecte. => Quelques liens pour un complément d"information : | d" => suggestions : ['d’']

160 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.sshtools.com/index.jsp]] |    => suggestions : ['']

161 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.sshtools.com/showSslExplorerCommunity.do]] |    => suggestions : ['']

162 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://sourceforge.net/projects/sslexplorer/]] |    => suggestions : ['']

163 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://sourceforge.net/projects/adito]] |    => suggestions : ['']
