
4 Mot inconnu : Jellyfin => ====== Jellyfin  ====== | jellyfin
128 Mot inconnu : up => Si vous modifiez le fichier ''docker-compose.yml'', utilisez plutôt ''sudo docker-compose up'' et ''sudo docker-compose down''. | up
128 Guillemets typographiques fermants. => Si vous modifiez le fichier ''docker-compose.yml'', utilisez plutôt ''sudo docker-compose up'' et ''sudo docker-compose down''. | '' => suggestions : ['\xa0»', '”']
128 Guillemets typographiques ouvrants. => Si vous modifiez le fichier ''docker-compose.yml'', utilisez plutôt ''sudo docker-compose up'' et ''sudo docker-compose down''. | '' => suggestions : ['«\xa0', '“']
128 Mot inconnu : sudo => Si vous modifiez le fichier ''docker-compose.yml'', utilisez plutôt ''sudo docker-compose up'' et ''sudo docker-compose down''. | sudo
128 Mot inconnu : down => Si vous modifiez le fichier ''docker-compose.yml'', utilisez plutôt ''sudo docker-compose up'' et ''sudo docker-compose down''. | down
128 Guillemets typographiques fermants. => Si vous modifiez le fichier ''docker-compose.yml'', utilisez plutôt ''sudo docker-compose up'' et ''sudo docker-compose down''. | '' => suggestions : ['\xa0»', '”']
134 Mot inconnu : Jellyfin => Attention si vous utilisez docker, et que votre médiathèque est dispersée sur votre ou vos stockages locaux : vous devez faire correspondre chaque répertoire local à un répertoire dans le container, qui sera visible par Jellyfin (depuis un container, Jellyfin n'a pas accès à l'arborescence de l'hôte). Par ex. : | jellyfin
134 Mot inconnu : Jellyfin => Attention si vous utilisez docker, et que votre médiathèque est dispersée sur votre ou vos stockages locaux : vous devez faire correspondre chaque répertoire local à un répertoire dans le container, qui sera visible par Jellyfin (depuis un container, Jellyfin n'a pas accès à l'arborescence de l'hôte). Par ex. : | jellyfin

136 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     - /home/utilisateur_courant/jellyfin:/config |      => suggestions : ['']
136 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     - /home/utilisateur_courant/jellyfin:/config |  -  => suggestions : [' – ', ' — ', ' − ']

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     - /mnt/usb/media/Vidéos:/media/Vidéos |      => suggestions : ['']
137 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     - /mnt/usb/media/Vidéos:/media/Vidéos |  -  => suggestions : [' – ', ' — ', ' − ']

138 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     - /home/utilisateur_courant/Musique:/media/Musique</file> |      => suggestions : ['']
138 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     - /home/utilisateur_courant/Musique:/media/Musique</file> |  -  => suggestions : [' – ', ' — ', ' − ']

139 Mot inconnu : Jellyfin => Dans cette configuration les répertoires de médiathèques à indiquer à Jellyfin seront ''/media/Vidéos'' et ''/media/Musique''. | jellyfin
139 Guillemets typographiques fermants. => Dans cette configuration les répertoires de médiathèques à indiquer à Jellyfin seront ''/media/Vidéos'' et ''/media/Musique''. | '' => suggestions : ['\xa0»', '”']
139 Guillemets typographiques fermants. => Dans cette configuration les répertoires de médiathèques à indiquer à Jellyfin seront ''/media/Vidéos'' et ''/media/Musique''. | '' => suggestions : ['\xa0»', '”']

145 Mot inconnu : Jellyfin => Jellyfin prend en charge l'accélération matérielle pour du codage/décodage/transcodage vidéo à l'aide de FFMpeg. Il prend en charge plusieurs types d'accélération, AMD AMF, Intel Quick Sync, OpenMax OMX, nVidia NVENC, Intel/AMD VAAPI ... | jellyfin
145 Mot inconnu : FFMpeg => Jellyfin prend en charge l'accélération matérielle pour du codage/décodage/transcodage vidéo à l'aide de FFMpeg. Il prend en charge plusieurs types d'accélération, AMD AMF, Intel Quick Sync, OpenMax OMX, nVidia NVENC, Intel/AMD VAAPI ... | ffmpeg
145 Mot inconnu : AMF => Jellyfin prend en charge l'accélération matérielle pour du codage/décodage/transcodage vidéo à l'aide de FFMpeg. Il prend en charge plusieurs types d'accélération, AMD AMF, Intel Quick Sync, OpenMax OMX, nVidia NVENC, Intel/AMD VAAPI ... | amf
145 Mot inconnu : Quick => Jellyfin prend en charge l'accélération matérielle pour du codage/décodage/transcodage vidéo à l'aide de FFMpeg. Il prend en charge plusieurs types d'accélération, AMD AMF, Intel Quick Sync, OpenMax OMX, nVidia NVENC, Intel/AMD VAAPI ... | quick
145 Mot inconnu : Sync => Jellyfin prend en charge l'accélération matérielle pour du codage/décodage/transcodage vidéo à l'aide de FFMpeg. Il prend en charge plusieurs types d'accélération, AMD AMF, Intel Quick Sync, OpenMax OMX, nVidia NVENC, Intel/AMD VAAPI ... | sync
145 Mot inconnu : OpenMax => Jellyfin prend en charge l'accélération matérielle pour du codage/décodage/transcodage vidéo à l'aide de FFMpeg. Il prend en charge plusieurs types d'accélération, AMD AMF, Intel Quick Sync, OpenMax OMX, nVidia NVENC, Intel/AMD VAAPI ... | openmax
145 Mot inconnu : OMX => Jellyfin prend en charge l'accélération matérielle pour du codage/décodage/transcodage vidéo à l'aide de FFMpeg. Il prend en charge plusieurs types d'accélération, AMD AMF, Intel Quick Sync, OpenMax OMX, nVidia NVENC, Intel/AMD VAAPI ... | omx
145 Mot inconnu : nVidia => Jellyfin prend en charge l'accélération matérielle pour du codage/décodage/transcodage vidéo à l'aide de FFMpeg. Il prend en charge plusieurs types d'accélération, AMD AMF, Intel Quick Sync, OpenMax OMX, nVidia NVENC, Intel/AMD VAAPI ... | nvidia
145 Mot inconnu : NVENC => Jellyfin prend en charge l'accélération matérielle pour du codage/décodage/transcodage vidéo à l'aide de FFMpeg. Il prend en charge plusieurs types d'accélération, AMD AMF, Intel Quick Sync, OpenMax OMX, nVidia NVENC, Intel/AMD VAAPI ... | nvenc
145 Mot inconnu : VAAPI => Jellyfin prend en charge l'accélération matérielle pour du codage/décodage/transcodage vidéo à l'aide de FFMpeg. Il prend en charge plusieurs types d'accélération, AMD AMF, Intel Quick Sync, OpenMax OMX, nVidia NVENC, Intel/AMD VAAPI ... | vaapi
145 Typographie : points de suspension. Utilisez le caractère dédié. => Jellyfin prend en charge l'accélération matérielle pour du codage/décodage/transcodage vidéo à l'aide de FFMpeg. Il prend en charge plusieurs types d'accélération, AMD AMF, Intel Quick Sync, OpenMax OMX, nVidia NVENC, Intel/AMD VAAPI ... | ... => suggestions : ['…']

149 Espace(s) en fin de ligne à supprimer. => L'accélération matérielle est disponible immédiatement pour la lecture multimédia. Aucun redémarrage du serveur n'est requis.  |   => suggestions : ['']

151 Mot inconnu : Jellyfin => Chaque type d'accélération matérielle, ainsi que chaque type d'installation Jellyfin, nécessite différentes options de configuration avant de pouvoir être utilisé. | jellyfin

155 Mot inconnu : vaapi => Avant d'activer cette fonction, veuillez lire le sujet [[vaapi|VA API]] de la documentation. | vaapi

156 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

157 Mot inconnu : mesa-utils => Nous installons le paquet mesa-utils puis nous vérifions que l'accélération graphique est bien supporté. | mesa-utils
157 Accord erroné : “accélération” et “supporté” ne sont pas accordés. Mettez au féminin singulier. => Nous installons le paquet mesa-utils puis nous vérifions que l'accélération graphique est bien supporté. | supporté => suggestions : ['supportée']

160 Mot inconnu : rendering => Cela devrait retourner, "//direct rendering: **Yes**//" | rendering

162 Mot inconnu : render => Nous vérifions quel groupe est disponible pour le périphérique "//render//"  | render
162 Espace(s) en fin de ligne à supprimer. => Nous vérifions quel groupe est disponible pour le périphérique "//render//"  |   => suggestions : ['']

165 Il manque un trait d’union. => Vous devriez voir une ligne comme celle ci | celle ci => suggestions : ['celle-ci']

167 Mot inconnu : video => Le **groupe** dans cet exemple est //**video**// | video

169 Mot inconnu : jellyfin-ffmpeg => Nous ajoutons l'utilisateur du service à ce groupe pour permettre au processus jellyfin-ffmpeg d'accéder au périphérique : | jellyfin-ffmpeg

172 Mot inconnu : Jellyfin => Nous redémarrons le service Jellyfin | jellyfin

178 Mot inconnu : Jellyfin => On peut utiliser n'importe quel navigateur web pour accéder à du contenu sur Jellyfin, mais les formats et codecs disponibles dépendent du navigateur. | jellyfin

186 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * une [[https://github.com/jellyfin/jellyfin-android|application pour Android]] disponible [[https://repo.jellyfin.org/releases/client/android/|ici]]. |    => suggestions : ['']

187 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * une [[https://github.com/jellyfin/jellyfin-androidtv|application pour AndroidTV]] disponible [[https://repo.jellyfin.org/releases/client/androidtv/|là]]. |    => suggestions : ['']
187 Mot inconnu : AndroidTV =>   * une [[https://github.com/jellyfin/jellyfin-androidtv|application pour AndroidTV]] disponible [[https://repo.jellyfin.org/releases/client/androidtv/|là]]. | androidtv

188 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://flathub.org/apps/details/com.github.iwalton3.jellyfin-mpv-shim|Jellyfin MPV Shim]], basé sur le lecteur libre [[https://mpv.io/|MPV]], ancêtre de Jellyfin Media Player. |    => suggestions : ['']
188 Mot inconnu : Jellyfin =>   * [[https://flathub.org/apps/details/com.github.iwalton3.jellyfin-mpv-shim|Jellyfin MPV Shim]], basé sur le lecteur libre [[https://mpv.io/|MPV]], ancêtre de Jellyfin Media Player. | jellyfin
188 Mot inconnu : Shim =>   * [[https://flathub.org/apps/details/com.github.iwalton3.jellyfin-mpv-shim|Jellyfin MPV Shim]], basé sur le lecteur libre [[https://mpv.io/|MPV]], ancêtre de Jellyfin Media Player. | shim
188 Mot inconnu : Jellyfin =>   * [[https://flathub.org/apps/details/com.github.iwalton3.jellyfin-mpv-shim|Jellyfin MPV Shim]], basé sur le lecteur libre [[https://mpv.io/|MPV]], ancêtre de Jellyfin Media Player. | jellyfin
188 Mot inconnu : Player =>   * [[https://flathub.org/apps/details/com.github.iwalton3.jellyfin-mpv-shim|Jellyfin MPV Shim]], basé sur le lecteur libre [[https://mpv.io/|MPV]], ancêtre de Jellyfin Media Player. | player

192 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * (//en//) [[https://github.com/jellyfin/jellyfin|site officiel]] |    => suggestions : ['']

193 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * (//en//) [[https://jellyfin.readthedocs.io/|documentation officielle]] |    => suggestions : ['']
197 Il manque un espace. => Contributeurs principaux : [[utilisateurs:krodelabestiole]]// | krodelabestiole => suggestions : [' krodelabestiole']
198 Il manque un espace. => Contributeurs : [[utilisateurs:stylou]]// | stylou => suggestions : [' stylou']
