
4 Mot inconnu : Asterisk => ====== Asterisk (For VoIP) ====== | asterisk
198 Mot inconnu : VOIP => Comme tout périphérique IP, il doit avoir une adresse. Soit le réseau VOIP dispose d'un serveur DHCP, dans ce cas l'appareil en obtiendra une automatiquement (ces appareils sont par défaut en recherche dhcp), soit il faut lui en donner une avant de le relier au réseau. Cela se fait avec les touches et les menus internes (voir notice du téléphone). Une fois l'adresse IP connue, l'entrer dans un navigateur internet pour accéder à l'interface web. C'est avec qu'on va configurer l'appareil et surtout l'enregistrer sur le serveur VOIP. | voip
198 Mot inconnu : dhcp => Comme tout périphérique IP, il doit avoir une adresse. Soit le réseau VOIP dispose d'un serveur DHCP, dans ce cas l'appareil en obtiendra une automatiquement (ces appareils sont par défaut en recherche dhcp), soit il faut lui en donner une avant de le relier au réseau. Cela se fait avec les touches et les menus internes (voir notice du téléphone). Une fois l'adresse IP connue, l'entrer dans un navigateur internet pour accéder à l'interface web. C'est avec qu'on va configurer l'appareil et surtout l'enregistrer sur le serveur VOIP. | dhcp
198 Mot inconnu : VOIP => Comme tout périphérique IP, il doit avoir une adresse. Soit le réseau VOIP dispose d'un serveur DHCP, dans ce cas l'appareil en obtiendra une automatiquement (ces appareils sont par défaut en recherche dhcp), soit il faut lui en donner une avant de le relier au réseau. Cela se fait avec les touches et les menus internes (voir notice du téléphone). Une fois l'adresse IP connue, l'entrer dans un navigateur internet pour accéder à l'interface web. C'est avec qu'on va configurer l'appareil et surtout l'enregistrer sur le serveur VOIP. | voip

199 Guillemets typographiques ouvrants. => Les informations nécessaires sont généralement dans un onglet ou menu "Login" ou "Identity". Les plus importantes sont : | " => suggestions : ['«\xa0', '“']
199 Guillemets typographiques fermants. => Les informations nécessaires sont généralement dans un onglet ou menu "Login" ou "Identity". Les plus importantes sont : | " => suggestions : ['\xa0»', '”']
199 Guillemets typographiques ouvrants. => Les informations nécessaires sont généralement dans un onglet ou menu "Login" ou "Identity". Les plus importantes sont : | " => suggestions : ['«\xa0', '“']
199 Mot inconnu : Identity => Les informations nécessaires sont généralement dans un onglet ou menu "Login" ou "Identity". Les plus importantes sont : | identity
199 Guillemets typographiques fermants. => Les informations nécessaires sont généralement dans un onglet ou menu "Login" ou "Identity". Les plus importantes sont : | " => suggestions : ['\xa0»', '”']

201 Pas d’espace après ce signe. => Le compte ou l'ID de connexion (souvent le numéro du poste pour des raisons de simplicité, qui est défini entre les [ ] dans le users.conf ) | [  => suggestions : ['[']
201 Pas d’espace avant ce signe. => Le compte ou l'ID de connexion (souvent le numéro du poste pour des raisons de simplicité, qui est défini entre les [ ] dans le users.conf ) |  ] => suggestions : [']']
201 Élision de l’article devant un mot commençant par une voyelle. => Le compte ou l'ID de connexion (souvent le numéro du poste pour des raisons de simplicité, qui est défini entre les [ ] dans le users.conf ) | le  => suggestions : ['l’']
201 Mot inconnu : users => Le compte ou l'ID de connexion (souvent le numéro du poste pour des raisons de simplicité, qui est défini entre les [ ] dans le users.conf ) | users
201 Il manque un espace. => Le compte ou l'ID de connexion (souvent le numéro du poste pour des raisons de simplicité, qui est défini entre les [ ] dans le users.conf ) | conf => suggestions : [' conf']
201 Pas d’espace avant ce signe. => Le compte ou l'ID de connexion (souvent le numéro du poste pour des raisons de simplicité, qui est défini entre les [ ] dans le users.conf ) |  ) => suggestions : [')']

202 Élision de l’article devant un mot commençant par une voyelle. => Le mot de passe associé à ce compte (qui est défini dans le users.conf à la ligne "secret =" | le  => suggestions : ['l’']
202 Mot inconnu : users => Le mot de passe associé à ce compte (qui est défini dans le users.conf à la ligne "secret =" | users
202 Il manque un espace. => Le mot de passe associé à ce compte (qui est défini dans le users.conf à la ligne "secret =" | conf => suggestions : [' conf']
202 Guillemets typographiques ouvrants. => Le mot de passe associé à ce compte (qui est défini dans le users.conf à la ligne "secret =" | " => suggestions : ['«\xa0', '“']
202 Accord de genre erroné : « la ligne » est féminin, « secret » est masculin. => Le mot de passe associé à ce compte (qui est défini dans le users.conf à la ligne "secret =" | secret => suggestions : ['secrète']

203 Mot inconnu : VOIP => L'adresse du serveur VOIP (appelé généralement "registrar") | voip
203 Guillemets typographiques ouvrants. => L'adresse du serveur VOIP (appelé généralement "registrar") | " => suggestions : ['«\xa0', '“']
203 Mot inconnu : registrar => L'adresse du serveur VOIP (appelé généralement "registrar") | registrar
203 Guillemets typographiques fermants. => L'adresse du serveur VOIP (appelé généralement "registrar") | " => suggestions : ['\xa0»', '”']

204 Mot inconnu : VOIP => Les options de chiffrement et encodages des appels, qui doivent être compatibles avec celles du serveur VOIP. Si la sécurité des appels n'est pas critique, autant simplement désactiver ces fonctions. | voip

205 Mot inconnu : VOIP => Une fois ces infos indiquées, enregistrer l'appareil sur le serveur VOIP (un bouton d'enregistrement ou "register" est normalement présent sur l'interface web). Si la console Asterisk est ouverte, elle indiquera par un message que le serveur a bien enregistré l'appareil. S'il y a un souci, elle indiquera une description du problème (par exemple un mauvais nom d'utilisateur, un chiffrement non pris en charge, etc). De plus, le numéro du poste s'affiche alors à l'écran de l'appareil. | voip
205 Guillemets typographiques ouvrants. => Une fois ces infos indiquées, enregistrer l'appareil sur le serveur VOIP (un bouton d'enregistrement ou "register" est normalement présent sur l'interface web). Si la console Asterisk est ouverte, elle indiquera par un message que le serveur a bien enregistré l'appareil. S'il y a un souci, elle indiquera une description du problème (par exemple un mauvais nom d'utilisateur, un chiffrement non pris en charge, etc). De plus, le numéro du poste s'affiche alors à l'écran de l'appareil. | " => suggestions : ['«\xa0', '“']
205 Mot inconnu : register => Une fois ces infos indiquées, enregistrer l'appareil sur le serveur VOIP (un bouton d'enregistrement ou "register" est normalement présent sur l'interface web). Si la console Asterisk est ouverte, elle indiquera par un message que le serveur a bien enregistré l'appareil. S'il y a un souci, elle indiquera une description du problème (par exemple un mauvais nom d'utilisateur, un chiffrement non pris en charge, etc). De plus, le numéro du poste s'affiche alors à l'écran de l'appareil. | register
205 Guillemets typographiques fermants. => Une fois ces infos indiquées, enregistrer l'appareil sur le serveur VOIP (un bouton d'enregistrement ou "register" est normalement présent sur l'interface web). Si la console Asterisk est ouverte, elle indiquera par un message que le serveur a bien enregistré l'appareil. S'il y a un souci, elle indiquera une description du problème (par exemple un mauvais nom d'utilisateur, un chiffrement non pris en charge, etc). De plus, le numéro du poste s'affiche alors à l'écran de l'appareil. | " => suggestions : ['\xa0»', '”']
205 Mot inconnu : Asterisk => Une fois ces infos indiquées, enregistrer l'appareil sur le serveur VOIP (un bouton d'enregistrement ou "register" est normalement présent sur l'interface web). Si la console Asterisk est ouverte, elle indiquera par un message que le serveur a bien enregistré l'appareil. S'il y a un souci, elle indiquera une description du problème (par exemple un mauvais nom d'utilisateur, un chiffrement non pris en charge, etc). De plus, le numéro du poste s'affiche alors à l'écran de l'appareil. | asterisk

211 Mot inconnu : Displayname => Le nom qui apparaîtra sur le téléphone appelé (Displayname en général) | displayname

212 Mot inconnu : VOIP => Éventuellement une IP d'un proxy ou passerelle si le réseau VOIP interne peut communiquer avec l'extérieur | voip

217 Mot inconnu : FXO => ==== Passerelle FXO ==== | fxo

219 Mot inconnu : FXO => Les passerelles FXO permettent de convertir une ligne analogique en VoIP. Par exemple utiliser Asterisk avec la ligne d'une box. | fxo
219 Mot inconnu : VoIP => Les passerelles FXO permettent de convertir une ligne analogique en VoIP. Par exemple utiliser Asterisk avec la ligne d'une box. | voip
219 Mot inconnu : Asterisk => Les passerelles FXO permettent de convertir une ligne analogique en VoIP. Par exemple utiliser Asterisk avec la ligne d'une box. | asterisk

221 Mot inconnu : telnet => Il s'agit de boîtiers indépendants se branchant d'une part sur une ou plusieurs lignes analogiques, d'autre part sur le réseau IP. Elles se configurent soit par une interface web, soit par divers protocoles comme telnet. | telnet

223 Mot inconnu : Grandstream => === Grandstream GXW 4104 === | grandstream
223 Mot inconnu : GXW => === Grandstream GXW 4104 === | gxw

227 Mot inconnu : Asterisk => Dans Asterisk: | asterisk

229 Mot inconnu : sip => Ajouter dans sip.conf: | sip
229 Il manque un espace. => Ajouter dans sip.conf: | conf => suggestions : [' conf']

237 Il manque un espace. => Dans extensions.conf (dialplan): | conf => suggestions : [' conf']
237 Mot inconnu : dialplan => Dans extensions.conf (dialplan): | dialplan

246 Mot inconnu : RNIS => ==== Passerelle RNIS ==== | rnis

248 Mot inconnu : RNIS => Le RNIS (ISDN en anglais) est une sorte de liaison téléphonique numérique utilisée surtout pour la téléphonie d'entreprise (ce n'est pas encore de la véritable VoIP). | rnis
248 Mot inconnu : ISDN => Le RNIS (ISDN en anglais) est une sorte de liaison téléphonique numérique utilisée surtout pour la téléphonie d'entreprise (ce n'est pas encore de la véritable VoIP). | isdn
248 Mot inconnu : VoIP => Le RNIS (ISDN en anglais) est une sorte de liaison téléphonique numérique utilisée surtout pour la téléphonie d'entreprise (ce n'est pas encore de la véritable VoIP). | voip

250 Mot inconnu : RNIS => Une ligne RNIS ou ligne Numéris en France est appelée T0; le port est appelé BRI. 1 ligne physique T0 donne accès à 2 communications simultanées grâce à deux canaux. Ainsi une passerelle avec deux ports BRI permet 4 communications simultanées. Dans ce cas, les 2 T0 forment un groupement: les utilisateurs appellent un seul numéro qui utilise l'une des quatre lignes. | rnis
250 Mot inconnu : Numéris => Une ligne RNIS ou ligne Numéris en France est appelée T0; le port est appelé BRI. 1 ligne physique T0 donne accès à 2 communications simultanées grâce à deux canaux. Ainsi une passerelle avec deux ports BRI permet 4 communications simultanées. Dans ce cas, les 2 T0 forment un groupement: les utilisateurs appellent un seul numéro qui utilise l'une des quatre lignes. | numéris
250 Mot inconnu : T0 => Une ligne RNIS ou ligne Numéris en France est appelée T0; le port est appelé BRI. 1 ligne physique T0 donne accès à 2 communications simultanées grâce à deux canaux. Ainsi une passerelle avec deux ports BRI permet 4 communications simultanées. Dans ce cas, les 2 T0 forment un groupement: les utilisateurs appellent un seul numéro qui utilise l'une des quatre lignes. | t0
250 Mot inconnu : BRI => Une ligne RNIS ou ligne Numéris en France est appelée T0; le port est appelé BRI. 1 ligne physique T0 donne accès à 2 communications simultanées grâce à deux canaux. Ainsi une passerelle avec deux ports BRI permet 4 communications simultanées. Dans ce cas, les 2 T0 forment un groupement: les utilisateurs appellent un seul numéro qui utilise l'une des quatre lignes. | bri
250 Mot inconnu : T0 => Une ligne RNIS ou ligne Numéris en France est appelée T0; le port est appelé BRI. 1 ligne physique T0 donne accès à 2 communications simultanées grâce à deux canaux. Ainsi une passerelle avec deux ports BRI permet 4 communications simultanées. Dans ce cas, les 2 T0 forment un groupement: les utilisateurs appellent un seul numéro qui utilise l'une des quatre lignes. | t0
250 Mot inconnu : BRI => Une ligne RNIS ou ligne Numéris en France est appelée T0; le port est appelé BRI. 1 ligne physique T0 donne accès à 2 communications simultanées grâce à deux canaux. Ainsi une passerelle avec deux ports BRI permet 4 communications simultanées. Dans ce cas, les 2 T0 forment un groupement: les utilisateurs appellent un seul numéro qui utilise l'une des quatre lignes. | bri
250 Mot inconnu : T0 => Une ligne RNIS ou ligne Numéris en France est appelée T0; le port est appelé BRI. 1 ligne physique T0 donne accès à 2 communications simultanées grâce à deux canaux. Ainsi une passerelle avec deux ports BRI permet 4 communications simultanées. Dans ce cas, les 2 T0 forment un groupement: les utilisateurs appellent un seul numéro qui utilise l'une des quatre lignes. | t0

252 Mot inconnu : RNIS => Une passerelle RNIS est un boîtier indépendant se branchant d'une part sur un ou plusieurs ports BRI, d'autre part sur le réseau IP. Elle se configure soit par une interface web, soit par divers protocoles comme telnet. | rnis
252 Mot inconnu : BRI => Une passerelle RNIS est un boîtier indépendant se branchant d'une part sur un ou plusieurs ports BRI, d'autre part sur le réseau IP. Elle se configure soit par une interface web, soit par divers protocoles comme telnet. | bri
252 Mot inconnu : telnet => Une passerelle RNIS est un boîtier indépendant se branchant d'une part sur un ou plusieurs ports BRI, d'autre part sur le réseau IP. Elle se configure soit par une interface web, soit par divers protocoles comme telnet. | telnet

254 Mot inconnu : Patton => === Patton Smartnode 4120 === | patton
254 Mot inconnu : Smartnode => === Patton Smartnode 4120 === | smartnode

256 Mot inconnu : T0 => Cette passerelle compte 2 port T0. Mais la programmation Smartnode semble identique sur toutes les passerelles Patton RNIS. | t0
256 Mot inconnu : Smartnode => Cette passerelle compte 2 port T0. Mais la programmation Smartnode semble identique sur toutes les passerelles Patton RNIS. | smartnode
256 Mot inconnu : Patton => Cette passerelle compte 2 port T0. Mais la programmation Smartnode semble identique sur toutes les passerelles Patton RNIS. | patton
256 Mot inconnu : RNIS => Cette passerelle compte 2 port T0. Mais la programmation Smartnode semble identique sur toutes les passerelles Patton RNIS. | rnis

257 Mot inconnu : wizard => L'interface web est acceptable mais le langage du fichier de configuration est mieux. J'ai donc préféré travailler sur le fichier ce qui est simplifié par l'usage du wizard, comme indiqué ci-dessous.  | wizard
257 Espace(s) en fin de ligne à supprimer. => L'interface web est acceptable mais le langage du fichier de configuration est mieux. J'ai donc préféré travailler sur le fichier ce qui est simplifié par l'usage du wizard, comme indiqué ci-dessous.  |   => suggestions : ['']

261 Espace(s) en fin de ligne à supprimer. => Pour se connecter à la passerelle, il faut en connaître l'adresse IP.  |   => suggestions : ['']
262 Mot inconnu : Patton => Deux solutions: le logiciel de Patton, ou bien repérer l'adresse MAC sur votre routeur. | patton

267 Mot inconnu : Patton => On trouve sur le site de Patton un wizard pour créer un fichier de configuration qu'il suffit ensuite de personnaliser. Aller sur [[https://www.patton.com/wizard/|cette page]], connectez-vous et choisissez ensuite le wizard "SmartWare ISDN PSTN gateway Asterisk trunk Setup" qui produit un fichier de configuration qu'il suffit de charger sur la passerelle. | patton
267 Mot inconnu : wizard => On trouve sur le site de Patton un wizard pour créer un fichier de configuration qu'il suffit ensuite de personnaliser. Aller sur [[https://www.patton.com/wizard/|cette page]], connectez-vous et choisissez ensuite le wizard "SmartWare ISDN PSTN gateway Asterisk trunk Setup" qui produit un fichier de configuration qu'il suffit de charger sur la passerelle. | wizard
267 Mot inconnu : wizard => On trouve sur le site de Patton un wizard pour créer un fichier de configuration qu'il suffit ensuite de personnaliser. Aller sur [[https://www.patton.com/wizard/|cette page]], connectez-vous et choisissez ensuite le wizard "SmartWare ISDN PSTN gateway Asterisk trunk Setup" qui produit un fichier de configuration qu'il suffit de charger sur la passerelle. | wizard
267 Guillemets typographiques ouvrants. => On trouve sur le site de Patton un wizard pour créer un fichier de configuration qu'il suffit ensuite de personnaliser. Aller sur [[https://www.patton.com/wizard/|cette page]], connectez-vous et choisissez ensuite le wizard "SmartWare ISDN PSTN gateway Asterisk trunk Setup" qui produit un fichier de configuration qu'il suffit de charger sur la passerelle. | " => suggestions : ['«\xa0', '“']
267 Mot inconnu : SmartWare => On trouve sur le site de Patton un wizard pour créer un fichier de configuration qu'il suffit ensuite de personnaliser. Aller sur [[https://www.patton.com/wizard/|cette page]], connectez-vous et choisissez ensuite le wizard "SmartWare ISDN PSTN gateway Asterisk trunk Setup" qui produit un fichier de configuration qu'il suffit de charger sur la passerelle. | smartware
267 Mot inconnu : ISDN => On trouve sur le site de Patton un wizard pour créer un fichier de configuration qu'il suffit ensuite de personnaliser. Aller sur [[https://www.patton.com/wizard/|cette page]], connectez-vous et choisissez ensuite le wizard "SmartWare ISDN PSTN gateway Asterisk trunk Setup" qui produit un fichier de configuration qu'il suffit de charger sur la passerelle. | isdn
267 Mot inconnu : PSTN => On trouve sur le site de Patton un wizard pour créer un fichier de configuration qu'il suffit ensuite de personnaliser. Aller sur [[https://www.patton.com/wizard/|cette page]], connectez-vous et choisissez ensuite le wizard "SmartWare ISDN PSTN gateway Asterisk trunk Setup" qui produit un fichier de configuration qu'il suffit de charger sur la passerelle. | pstn
267 Mot inconnu : gateway => On trouve sur le site de Patton un wizard pour créer un fichier de configuration qu'il suffit ensuite de personnaliser. Aller sur [[https://www.patton.com/wizard/|cette page]], connectez-vous et choisissez ensuite le wizard "SmartWare ISDN PSTN gateway Asterisk trunk Setup" qui produit un fichier de configuration qu'il suffit de charger sur la passerelle. | gateway
267 Mot inconnu : Asterisk => On trouve sur le site de Patton un wizard pour créer un fichier de configuration qu'il suffit ensuite de personnaliser. Aller sur [[https://www.patton.com/wizard/|cette page]], connectez-vous et choisissez ensuite le wizard "SmartWare ISDN PSTN gateway Asterisk trunk Setup" qui produit un fichier de configuration qu'il suffit de charger sur la passerelle. | asterisk
267 Mot inconnu : trunk => On trouve sur le site de Patton un wizard pour créer un fichier de configuration qu'il suffit ensuite de personnaliser. Aller sur [[https://www.patton.com/wizard/|cette page]], connectez-vous et choisissez ensuite le wizard "SmartWare ISDN PSTN gateway Asterisk trunk Setup" qui produit un fichier de configuration qu'il suffit de charger sur la passerelle. | trunk
267 Mot inconnu : Setup => On trouve sur le site de Patton un wizard pour créer un fichier de configuration qu'il suffit ensuite de personnaliser. Aller sur [[https://www.patton.com/wizard/|cette page]], connectez-vous et choisissez ensuite le wizard "SmartWare ISDN PSTN gateway Asterisk trunk Setup" qui produit un fichier de configuration qu'il suffit de charger sur la passerelle. | setup
267 Guillemets typographiques fermants. => On trouve sur le site de Patton un wizard pour créer un fichier de configuration qu'il suffit ensuite de personnaliser. Aller sur [[https://www.patton.com/wizard/|cette page]], connectez-vous et choisissez ensuite le wizard "SmartWare ISDN PSTN gateway Asterisk trunk Setup" qui produit un fichier de configuration qu'il suffit de charger sur la passerelle. | " => suggestions : ['\xa0»', '”']

269 Mot inconnu : wizard => Ce wizard a trois défauts: | wizard

271 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Il ne crée pas le mot de passe. Il vaut donc mieux enlever la ligne concernée et créer ensuite login et mdp par l'interface web (System/AAA). |     => suggestions : ['']
271 Mot inconnu : mdp =>    * Il ne crée pas le mot de passe. Il vaut donc mieux enlever la ligne concernée et créer ensuite login et mdp par l'interface web (System/AAA). | mdp
271 Mot inconnu : System =>    * Il ne crée pas le mot de passe. Il vaut donc mieux enlever la ligne concernée et créer ensuite login et mdp par l'interface web (System/AAA). | system
271 Mot inconnu : AAA =>    * Il ne crée pas le mot de passe. Il vaut donc mieux enlever la ligne concernée et créer ensuite login et mdp par l'interface web (System/AAA). | aaa

272 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Il ne crée pas de route. |     => suggestions : ['']

273 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * La passerelle enverra en DTMF le joli nom de "patton" et non pas le numéro de l'appelant. |     => suggestions : ['']
273 Mot inconnu : DTMF =>    * La passerelle enverra en DTMF le joli nom de "patton" et non pas le numéro de l'appelant. | dtmf
273 Guillemets typographiques ouvrants. =>    * La passerelle enverra en DTMF le joli nom de "patton" et non pas le numéro de l'appelant. | " => suggestions : ['«\xa0', '“']
273 Mot inconnu : patton =>    * La passerelle enverra en DTMF le joli nom de "patton" et non pas le numéro de l'appelant. | patton
273 Guillemets typographiques fermants. =>    * La passerelle enverra en DTMF le joli nom de "patton" et non pas le numéro de l'appelant. | " => suggestions : ['\xa0»', '”']

275 Il manque un trait d’union. => Ci dessous, un fichier de config sans la ligne de login et avec correction des deux derniers points.  | ci dessous => suggestions : ['Ci-dessous']
275 Espace(s) en fin de ligne à supprimer. => Ci dessous, un fichier de config sans la ligne de login et avec correction des deux derniers points.  |   => suggestions : ['']

433 Mot inconnu : Asterisk => == Configuration d'Asterisk == | asterisk

434 Espace(s) en fin de ligne à supprimer. => Si les adresses IP sont fixes, il n'y a pas besoin d'authentification.  |   => suggestions : ['']

436 Mot inconnu : sip => Il suffit donc d'ajouter ces lignes dans sip.conf: | sip
436 Il manque un espace. => Il suffit donc d'ajouter ces lignes dans sip.conf: | conf => suggestions : [' conf']

446 Mot inconnu : dialplan => **Dans le dialplan (extensions.conf) quelques exemples d'utilisation:** | dialplan
446 Il manque un espace. => **Dans le dialplan (extensions.conf) quelques exemples d'utilisation:** | conf => suggestions : [' conf']

448 Mot inconnu : Patton => Pour les appels entrants, la Patton passe en numéro d'extension les quatre derniers chiffres du numéro appelé (le vôtre, donc!). L'exemple suivant vaut donc pour un numéro du type: xx xx xx 5678. C'est d'ailleurs ainsi qu'on peut modifier le comportement d'Asterisk selon le SDA appelé. | patton
448 Mot inconnu : xx => Pour les appels entrants, la Patton passe en numéro d'extension les quatre derniers chiffres du numéro appelé (le vôtre, donc!). L'exemple suivant vaut donc pour un numéro du type: xx xx xx 5678. C'est d'ailleurs ainsi qu'on peut modifier le comportement d'Asterisk selon le SDA appelé. | xx
448 Doublon. => Pour les appels entrants, la Patton passe en numéro d'extension les quatre derniers chiffres du numéro appelé (le vôtre, donc!). L'exemple suivant vaut donc pour un numéro du type: xx xx xx 5678. C'est d'ailleurs ainsi qu'on peut modifier le comportement d'Asterisk selon le SDA appelé. | xx xx => suggestions : ['xx']
448 Mot inconnu : xx => Pour les appels entrants, la Patton passe en numéro d'extension les quatre derniers chiffres du numéro appelé (le vôtre, donc!). L'exemple suivant vaut donc pour un numéro du type: xx xx xx 5678. C'est d'ailleurs ainsi qu'on peut modifier le comportement d'Asterisk selon le SDA appelé. | xx
448 Mot inconnu : xx => Pour les appels entrants, la Patton passe en numéro d'extension les quatre derniers chiffres du numéro appelé (le vôtre, donc!). L'exemple suivant vaut donc pour un numéro du type: xx xx xx 5678. C'est d'ailleurs ainsi qu'on peut modifier le comportement d'Asterisk selon le SDA appelé. | xx
448 Mot inconnu : Asterisk => Pour les appels entrants, la Patton passe en numéro d'extension les quatre derniers chiffres du numéro appelé (le vôtre, donc!). L'exemple suivant vaut donc pour un numéro du type: xx xx xx 5678. C'est d'ailleurs ainsi qu'on peut modifier le comportement d'Asterisk selon le SDA appelé. | asterisk
448 Mot inconnu : SDA => Pour les appels entrants, la Patton passe en numéro d'extension les quatre derniers chiffres du numéro appelé (le vôtre, donc!). L'exemple suivant vaut donc pour un numéro du type: xx xx xx 5678. C'est d'ailleurs ainsi qu'on peut modifier le comportement d'Asterisk selon le SDA appelé. | sda

465 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Yealink T19 et T33 (interface web intuitive). |    => suggestions : ['']
465 Mot inconnu : Yealink =>   * Yealink T19 et T33 (interface web intuitive). | yealink
465 Mot inconnu : T19 =>   * Yealink T19 et T33 (interface web intuitive). | t19
465 Mot inconnu : T33 =>   * Yealink T19 et T33 (interface web intuitive). | t33

466 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gigaset N870 (et S650H). La N870 est un système DECT pouvant couvrir de très grandes entreprises. La base N870 peut servir de manager (au moins un par installation) et/ou de base DECT (inscrite auprès de la base manager). La base manager fournit une interface web intuitive et puissante dans laquelle sont configurés tous les téléphones DECT.\\ L'utilisation avec Asterisk ne pose aucun problème particulier, sauf peut-être les MWI pour les messageries vocales: Bien les activer dans la page Provider du N870, en indiquant l'adresse IP du fournisseur (donc le serveur Asterisk). Du côté d'Asterisk, il faut que les users soient inscrits (''subscribemwi=yes'') et il faut indiquer les MWI dans extensions.conf: ajouter un context ''[mysuscribes]'' avec des lignes du type: ''exten => 10,hint,MWI:10@default''  |    => suggestions : ['']
466 Mot inconnu : Gigaset =>   * Gigaset N870 (et S650H). La N870 est un système DECT pouvant couvrir de très grandes entreprises. La base N870 peut servir de manager (au moins un par installation) et/ou de base DECT (inscrite auprès de la base manager). La base manager fournit une interface web intuitive et puissante dans laquelle sont configurés tous les téléphones DECT.\\ L'utilisation avec Asterisk ne pose aucun problème particulier, sauf peut-être les MWI pour les messageries vocales: Bien les activer dans la page Provider du N870, en indiquant l'adresse IP du fournisseur (donc le serveur Asterisk). Du côté d'Asterisk, il faut que les users soient inscrits (''subscribemwi=yes'') et il faut indiquer les MWI dans extensions.conf: ajouter un context ''[mysuscribes]'' avec des lignes du type: ''exten => 10,hint,MWI:10@default''  | gigaset
466 Mot inconnu : N870 =>   * Gigaset N870 (et S650H). La N870 est un système DECT pouvant couvrir de très grandes entreprises. La base N870 peut servir de manager (au moins un par installation) et/ou de base DECT (inscrite auprès de la base manager). La base manager fournit une interface web intuitive et puissante dans laquelle sont configurés tous les téléphones DECT.\\ L'utilisation avec Asterisk ne pose aucun problème particulier, sauf peut-être les MWI pour les messageries vocales: Bien les activer dans la page Provider du N870, en indiquant l'adresse IP du fournisseur (donc le serveur Asterisk). Du côté d'Asterisk, il faut que les users soient inscrits (''subscribemwi=yes'') et il faut indiquer les MWI dans extensions.conf: ajouter un context ''[mysuscribes]'' avec des lignes du type: ''exten => 10,hint,MWI:10@default''  | n870
466 Mot inconnu : S650H =>   * Gigaset N870 (et S650H). La N870 est un système DECT pouvant couvrir de très grandes entreprises. La base N870 peut servir de manager (au moins un par installation) et/ou de base DECT (inscrite auprès de la base manager). La base manager fournit une interface web intuitive et puissante dans laquelle sont configurés tous les téléphones DECT.\\ L'utilisation avec Asterisk ne pose aucun problème particulier, sauf peut-être les MWI pour les messageries vocales: Bien les activer dans la page Provider du N870, en indiquant l'adresse IP du fournisseur (donc le serveur Asterisk). Du côté d'Asterisk, il faut que les users soient inscrits (''subscribemwi=yes'') et il faut indiquer les MWI dans extensions.conf: ajouter un context ''[mysuscribes]'' avec des lignes du type: ''exten => 10,hint,MWI:10@default''  | s650h
466 Mot inconnu : N870 =>   * Gigaset N870 (et S650H). La N870 est un système DECT pouvant couvrir de très grandes entreprises. La base N870 peut servir de manager (au moins un par installation) et/ou de base DECT (inscrite auprès de la base manager). La base manager fournit une interface web intuitive et puissante dans laquelle sont configurés tous les téléphones DECT.\\ L'utilisation avec Asterisk ne pose aucun problème particulier, sauf peut-être les MWI pour les messageries vocales: Bien les activer dans la page Provider du N870, en indiquant l'adresse IP du fournisseur (donc le serveur Asterisk). Du côté d'Asterisk, il faut que les users soient inscrits (''subscribemwi=yes'') et il faut indiquer les MWI dans extensions.conf: ajouter un context ''[mysuscribes]'' avec des lignes du type: ''exten => 10,hint,MWI:10@default''  | n870
466 Mot inconnu : DECT =>   * Gigaset N870 (et S650H). La N870 est un système DECT pouvant couvrir de très grandes entreprises. La base N870 peut servir de manager (au moins un par installation) et/ou de base DECT (inscrite auprès de la base manager). La base manager fournit une interface web intuitive et puissante dans laquelle sont configurés tous les téléphones DECT.\\ L'utilisation avec Asterisk ne pose aucun problème particulier, sauf peut-être les MWI pour les messageries vocales: Bien les activer dans la page Provider du N870, en indiquant l'adresse IP du fournisseur (donc le serveur Asterisk). Du côté d'Asterisk, il faut que les users soient inscrits (''subscribemwi=yes'') et il faut indiquer les MWI dans extensions.conf: ajouter un context ''[mysuscribes]'' avec des lignes du type: ''exten => 10,hint,MWI:10@default''  | dect
466 Mot inconnu : N870 =>   * Gigaset N870 (et S650H). La N870 est un système DECT pouvant couvrir de très grandes entreprises. La base N870 peut servir de manager (au moins un par installation) et/ou de base DECT (inscrite auprès de la base manager). La base manager fournit une interface web intuitive et puissante dans laquelle sont configurés tous les téléphones DECT.\\ L'utilisation avec Asterisk ne pose aucun problème particulier, sauf peut-être les MWI pour les messageries vocales: Bien les activer dans la page Provider du N870, en indiquant l'adresse IP du fournisseur (donc le serveur Asterisk). Du côté d'Asterisk, il faut que les users soient inscrits (''subscribemwi=yes'') et il faut indiquer les MWI dans extensions.conf: ajouter un context ''[mysuscribes]'' avec des lignes du type: ''exten => 10,hint,MWI:10@default''  | n870
