
5 Mot inconnu : TiMiDiTy => ====== TiMiDiTy ====== | timidity
277 Mot inconnu : fluid-soundfont-gm => Pour améliorer le rendu sonore de Timidity, il est possible de charger d'autres soundfont. Pour changer le soundfont, il faut dans un premier temps en télécharger un sur le net, puis le configurer dans Timidity. La configuration la plus simple pour améliorer le rendu sonore de Timidity consiste à installer les paquets **[[apt>fluid-soundfont-gm,fluid-soundfont-gs]]**. | fluid-soundfont-gm
277 Il manque un espace. => Pour améliorer le rendu sonore de Timidity, il est possible de charger d'autres soundfont. Pour changer le soundfont, il faut dans un premier temps en télécharger un sur le net, puis le configurer dans Timidity. La configuration la plus simple pour améliorer le rendu sonore de Timidity consiste à installer les paquets **[[apt>fluid-soundfont-gm,fluid-soundfont-gs]]**. | fluid-soundfont-gs => suggestions : [' fluid-soundfont-gs']
277 Mot inconnu : fluid-soundfont-gs => Pour améliorer le rendu sonore de Timidity, il est possible de charger d'autres soundfont. Pour changer le soundfont, il faut dans un premier temps en télécharger un sur le net, puis le configurer dans Timidity. La configuration la plus simple pour améliorer le rendu sonore de Timidity consiste à installer les paquets **[[apt>fluid-soundfont-gm,fluid-soundfont-gs]]**. | fluid-soundfont-gs

280 Mot inconnu : Disabling => # Disabling some of the Midi Controls can help with the CPU usage a lot. | disabling
280 Mot inconnu : some => # Disabling some of the Midi Controls can help with the CPU usage a lot. | some
280 Mot inconnu : of => # Disabling some of the Midi Controls can help with the CPU usage a lot. | of
280 Mot inconnu : the => # Disabling some of the Midi Controls can help with the CPU usage a lot. | the
280 Mot inconnu : Controls => # Disabling some of the Midi Controls can help with the CPU usage a lot. | controls
280 Mot inconnu : can => # Disabling some of the Midi Controls can help with the CPU usage a lot. | can
280 Mot inconnu : help => # Disabling some of the Midi Controls can help with the CPU usage a lot. | help
280 Mot inconnu : with => # Disabling some of the Midi Controls can help with the CPU usage a lot. | with
280 Mot inconnu : the => # Disabling some of the Midi Controls can help with the CPU usage a lot. | the
280 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Pour la préposition, écrivez “à”. => # Disabling some of the Midi Controls can help with the CPU usage a lot. | a => suggestions : ['à']

281 Mot inconnu : The => # The same goes to the VLPF, sample anti-aliasing and effects such as | the
281 Mot inconnu : goes => # The same goes to the VLPF, sample anti-aliasing and effects such as | goes
281 Mot inconnu : to => # The same goes to the VLPF, sample anti-aliasing and effects such as | to
281 Mot inconnu : the => # The same goes to the VLPF, sample anti-aliasing and effects such as | the
281 Mot inconnu : VLPF => # The same goes to the VLPF, sample anti-aliasing and effects such as | vlpf
281 Mot inconnu : anti-aliasing => # The same goes to the VLPF, sample anti-aliasing and effects such as | anti-aliasing
281 Mot inconnu : and => # The same goes to the VLPF, sample anti-aliasing and effects such as | and
281 Mot inconnu : effects => # The same goes to the VLPF, sample anti-aliasing and effects such as | effects
281 Mot inconnu : such => # The same goes to the VLPF, sample anti-aliasing and effects such as | such

282 Mot inconnu : reverb => # reverb and chorus | reverb
282 Mot inconnu : and => # reverb and chorus | and

284 Mot inconnu : By => # By default, try to use the instrument patches from freepats: | by
284 Mot inconnu : default => # By default, try to use the instrument patches from freepats: | default
284 Mot inconnu : try => # By default, try to use the instrument patches from freepats: | try
284 Mot inconnu : to => # By default, try to use the instrument patches from freepats: | to
284 Mot inconnu : the => # By default, try to use the instrument patches from freepats: | the
284 Incohérence. Ceci est un verbe à la 2ᵉ personne du singulier. Sujet (“tu” ou “toi qui”) introuvable. => # By default, try to use the instrument patches from freepats: | patches => suggestions : ['patche']
284 Mot inconnu : from => # By default, try to use the instrument patches from freepats: | from
284 Mot inconnu : freepats => # By default, try to use the instrument patches from freepats: | freepats

287 Mot inconnu : alternatively => # alternatively, you can use the fluid-soundfont: | alternatively
287 Mot inconnu : you => # alternatively, you can use the fluid-soundfont: | you
287 Mot inconnu : can => # alternatively, you can use the fluid-soundfont: | can
287 Mot inconnu : the => # alternatively, you can use the fluid-soundfont: | the
287 Mot inconnu : fluid-soundfont => # alternatively, you can use the fluid-soundfont: | fluid-soundfont

293 Mot inconnu : soundfont => Vous pouvez également tester d'autres banques son, comme expliqué plus haut dans la section [[midi#chargement_du_soundfont|Chargement du soundfont]]. | soundfont

300 Mot inconnu : Timidity => Timidity convertira alors fichier.mid en fichier.ogg. | timidity
300 Mot inconnu : mid => Timidity convertira alors fichier.mid en fichier.ogg. | mid
309 Mot inconnu : timidity => Tapez « man timidity » pour plus d'informations. | timidity
314 Mot inconnu : nautilus => Voici un petit script bash pour [[nautilus|Nautilus]] qui permet de convertir un ou plusieurs fichiers MIDI à l'aide du clic-droit, avec la possibilité de choisir le format de conversion. Il utilise les commandes données à la section précédente. Ce script dispose d'une interface graphique, créée à l'aide de [[zenity]] (il faut donc que ce programme soit installé dans le système, c'est le cas par défaut). | nautilus
314 Mot inconnu : zenity => Voici un petit script bash pour [[nautilus|Nautilus]] qui permet de convertir un ou plusieurs fichiers MIDI à l'aide du clic-droit, avec la possibilité de choisir le format de conversion. Il utilise les commandes données à la section précédente. Ce script dispose d'une interface graphique, créée à l'aide de [[zenity]] (il faut donc que ce programme soit installé dans le système, c'est le cas par défaut). | zenity

316 Mot inconnu : gedit => Copiez-coller le code suivant dans un nouveau document texte (à l'aide de [[gedit]], par exemple), puis enregistrez-le sous le nom **Convertir un fichier MIDI.sh** dans le dossier **~/.local/share/nautilus/scripts** (**~** est la racine de votre dossier utilisateur). Il faut ensuite rendre le script exécutable ([[tutoriel:script_shell#methode_graphique|méthode ici]]). Le script sera alors ensuite disponible en faisant un clic-droit tout en sélectionnant un ou plusieurs fichiers MIDI, dans le sous-menu **Scripts**. [[nautilus_scripts|Plus d'infos sur les scripts Nautilus ici]]. | gedit
316 Mot inconnu : sh => Copiez-coller le code suivant dans un nouveau document texte (à l'aide de [[gedit]], par exemple), puis enregistrez-le sous le nom **Convertir un fichier MIDI.sh** dans le dossier **~/.local/share/nautilus/scripts** (**~** est la racine de votre dossier utilisateur). Il faut ensuite rendre le script exécutable ([[tutoriel:script_shell#methode_graphique|méthode ici]]). Le script sera alors ensuite disponible en faisant un clic-droit tout en sélectionnant un ou plusieurs fichiers MIDI, dans le sous-menu **Scripts**. [[nautilus_scripts|Plus d'infos sur les scripts Nautilus ici]]. | sh
316 Mot inconnu : share => Copiez-coller le code suivant dans un nouveau document texte (à l'aide de [[gedit]], par exemple), puis enregistrez-le sous le nom **Convertir un fichier MIDI.sh** dans le dossier **~/.local/share/nautilus/scripts** (**~** est la racine de votre dossier utilisateur). Il faut ensuite rendre le script exécutable ([[tutoriel:script_shell#methode_graphique|méthode ici]]). Le script sera alors ensuite disponible en faisant un clic-droit tout en sélectionnant un ou plusieurs fichiers MIDI, dans le sous-menu **Scripts**. [[nautilus_scripts|Plus d'infos sur les scripts Nautilus ici]]. | share
316 Mot inconnu : nautilus => Copiez-coller le code suivant dans un nouveau document texte (à l'aide de [[gedit]], par exemple), puis enregistrez-le sous le nom **Convertir un fichier MIDI.sh** dans le dossier **~/.local/share/nautilus/scripts** (**~** est la racine de votre dossier utilisateur). Il faut ensuite rendre le script exécutable ([[tutoriel:script_shell#methode_graphique|méthode ici]]). Le script sera alors ensuite disponible en faisant un clic-droit tout en sélectionnant un ou plusieurs fichiers MIDI, dans le sous-menu **Scripts**. [[nautilus_scripts|Plus d'infos sur les scripts Nautilus ici]]. | nautilus
316 Il manque un espace. => Copiez-coller le code suivant dans un nouveau document texte (à l'aide de [[gedit]], par exemple), puis enregistrez-le sous le nom **Convertir un fichier MIDI.sh** dans le dossier **~/.local/share/nautilus/scripts** (**~** est la racine de votre dossier utilisateur). Il faut ensuite rendre le script exécutable ([[tutoriel:script_shell#methode_graphique|méthode ici]]). Le script sera alors ensuite disponible en faisant un clic-droit tout en sélectionnant un ou plusieurs fichiers MIDI, dans le sous-menu **Scripts**. [[nautilus_scripts|Plus d'infos sur les scripts Nautilus ici]]. | script_shell => suggestions : [' script_shell']
316 Mot inconnu : script_shell => Copiez-coller le code suivant dans un nouveau document texte (à l'aide de [[gedit]], par exemple), puis enregistrez-le sous le nom **Convertir un fichier MIDI.sh** dans le dossier **~/.local/share/nautilus/scripts** (**~** est la racine de votre dossier utilisateur). Il faut ensuite rendre le script exécutable ([[tutoriel:script_shell#methode_graphique|méthode ici]]). Le script sera alors ensuite disponible en faisant un clic-droit tout en sélectionnant un ou plusieurs fichiers MIDI, dans le sous-menu **Scripts**. [[nautilus_scripts|Plus d'infos sur les scripts Nautilus ici]]. | script_shell
316 Mot inconnu : nautilus_scripts => Copiez-coller le code suivant dans un nouveau document texte (à l'aide de [[gedit]], par exemple), puis enregistrez-le sous le nom **Convertir un fichier MIDI.sh** dans le dossier **~/.local/share/nautilus/scripts** (**~** est la racine de votre dossier utilisateur). Il faut ensuite rendre le script exécutable ([[tutoriel:script_shell#methode_graphique|méthode ici]]). Le script sera alors ensuite disponible en faisant un clic-droit tout en sélectionnant un ou plusieurs fichiers MIDI, dans le sous-menu **Scripts**. [[nautilus_scripts|Plus d'infos sur les scripts Nautilus ici]]. | nautilus_scripts
316 Mot inconnu : Nautilus => Copiez-coller le code suivant dans un nouveau document texte (à l'aide de [[gedit]], par exemple), puis enregistrez-le sous le nom **Convertir un fichier MIDI.sh** dans le dossier **~/.local/share/nautilus/scripts** (**~** est la racine de votre dossier utilisateur). Il faut ensuite rendre le script exécutable ([[tutoriel:script_shell#methode_graphique|méthode ici]]). Le script sera alors ensuite disponible en faisant un clic-droit tout en sélectionnant un ou plusieurs fichiers MIDI, dans le sous-menu **Scripts**. [[nautilus_scripts|Plus d'infos sur les scripts Nautilus ici]]. | nautilus
