
3 Mot inconnu : ATIV [[25:29]] => ======  Portable Samsung ATIV book9 lite  -  NP905S3G ====== <|> ativ
165 Signe de multiplication typographique. [[139:148]] => L'écran du portable a une résolution de 1280x768 mais lorsqu'on paramètre l'affichage du second écran sur une résolution plus élevée comme 1920x1080 l'activation de ce changement affiche une erreur \\ "taille virtuelle non adaptée à la demande (3200,1080). \\ \\ <|> 1920x1080 => suggestions : 1920 × 1080
165 Mot inconnu : x1080 [[143:148]] => L'écran du portable a une résolution de 1280x768 mais lorsqu'on paramètre l'affichage du second écran sur une résolution plus élevée comme 1920x1080 l'activation de ce changement affiche une erreur \\ "taille virtuelle non adaptée à la demande (3200,1080). \\ \\ <|> x1080
165 Guillemets typographiques ouvrants. [[201:202]] => L'écran du portable a une résolution de 1280x768 mais lorsqu'on paramètre l'affichage du second écran sur une résolution plus élevée comme 1920x1080 l'activation de ce changement affiche une erreur \\ "taille virtuelle non adaptée à la demande (3200,1080). \\ \\ <|> " => suggestions : « “
165 Formatage des grands nombres. [[245:249]] => L'écran du portable a une résolution de 1280x768 mais lorsqu'on paramètre l'affichage du second écran sur une résolution plus élevée comme 1920x1080 l'activation de ce changement affiche une erreur \\ "taille virtuelle non adaptée à la demande (3200,1080). \\ \\ <|> 3200 => suggestions : 3 200

167 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. [[107:112]] => En théorie on pourrait aller modifier les paramètres du fichier /etc/X11/xorg.conf pour éviter cette erreur mais il y a une solution plus simple et surtout beaucoup plus fiable. En effet, une erreur dans ce fichier risque de vous faire apparaître un écran noir ou de planter le serveur graphique de session. Si cela vous arrive (CTRL)(ALT)(F5) permet de repasser en mode console texte et de corriger le fichier. Puis la commande #sudo restart lightdm vous redémarre le gestionnaire de sessions graphiques... Il est donc préférable de plutôt utiliser l'outil CATALYST. <|>  mais => suggestions : , mais
167 Mot inconnu : F5 [[340:342]] => En théorie on pourrait aller modifier les paramètres du fichier /etc/X11/xorg.conf pour éviter cette erreur mais il y a une solution plus simple et surtout beaucoup plus fiable. En effet, une erreur dans ce fichier risque de vous faire apparaître un écran noir ou de planter le serveur graphique de session. Si cela vous arrive (CTRL)(ALT)(F5) permet de repasser en mode console texte et de corriger le fichier. Puis la commande #sudo restart lightdm vous redémarre le gestionnaire de sessions graphiques... Il est donc préférable de plutôt utiliser l'outil CATALYST. <|> f5
167 Mot inconnu : restart [[435:442]] => En théorie on pourrait aller modifier les paramètres du fichier /etc/X11/xorg.conf pour éviter cette erreur mais il y a une solution plus simple et surtout beaucoup plus fiable. En effet, une erreur dans ce fichier risque de vous faire apparaître un écran noir ou de planter le serveur graphique de session. Si cela vous arrive (CTRL)(ALT)(F5) permet de repasser en mode console texte et de corriger le fichier. Puis la commande #sudo restart lightdm vous redémarre le gestionnaire de sessions graphiques... Il est donc préférable de plutôt utiliser l'outil CATALYST. <|> restart
167 Mot inconnu : lightdm [[443:450]] => En théorie on pourrait aller modifier les paramètres du fichier /etc/X11/xorg.conf pour éviter cette erreur mais il y a une solution plus simple et surtout beaucoup plus fiable. En effet, une erreur dans ce fichier risque de vous faire apparaître un écran noir ou de planter le serveur graphique de session. Si cela vous arrive (CTRL)(ALT)(F5) permet de repasser en mode console texte et de corriger le fichier. Puis la commande #sudo restart lightdm vous redémarre le gestionnaire de sessions graphiques... Il est donc préférable de plutôt utiliser l'outil CATALYST. <|> lightdm
167 Typographie : points de suspension. Utilisez le caractère dédié. [[504:507]] => En théorie on pourrait aller modifier les paramètres du fichier /etc/X11/xorg.conf pour éviter cette erreur mais il y a une solution plus simple et surtout beaucoup plus fiable. En effet, une erreur dans ce fichier risque de vous faire apparaître un écran noir ou de planter le serveur graphique de session. Si cela vous arrive (CTRL)(ALT)(F5) permet de repasser en mode console texte et de corriger le fichier. Puis la commande #sudo restart lightdm vous redémarre le gestionnaire de sessions graphiques... Il est donc préférable de plutôt utiliser l'outil CATALYST. <|> ... => suggestions : …
167 Mot inconnu : CATALYST [[558:566]] => En théorie on pourrait aller modifier les paramètres du fichier /etc/X11/xorg.conf pour éviter cette erreur mais il y a une solution plus simple et surtout beaucoup plus fiable. En effet, une erreur dans ce fichier risque de vous faire apparaître un écran noir ou de planter le serveur graphique de session. Si cela vous arrive (CTRL)(ALT)(F5) permet de repasser en mode console texte et de corriger le fichier. Puis la commande #sudo restart lightdm vous redémarre le gestionnaire de sessions graphiques... Il est donc préférable de plutôt utiliser l'outil CATALYST. <|> catalyst

169 Mot inconnu : CATALYST [[4:12]] => ====CATALYST==== <|> catalyst

171 Mot inconnu : Catalyst [[19:27]] => === Introduction à Catalyst === <|> catalyst

172 Mot inconnu : Catalyst [[0:8]] => Catalyst est l'interface graphique qui permet de gérer les cartes AMD Radéon, à condition d'avoir préalablement installé le driver propriétaire correspondant à votre carte (voir ci-dessus). N'essayez pas d'installer Catalyst si vous n'avez pas de carte graphique ATI/AMD Radéon. Ce guide étant spécifique au Samsung ATI serie 9, vous en avez forcément mais c'est aussi le cas des PC Samsung d'autres modèles. \\ <|> catalyst
172 Mot inconnu : Radéon [[70:76]] => Catalyst est l'interface graphique qui permet de gérer les cartes AMD Radéon, à condition d'avoir préalablement installé le driver propriétaire correspondant à votre carte (voir ci-dessus). N'essayez pas d'installer Catalyst si vous n'avez pas de carte graphique ATI/AMD Radéon. Ce guide étant spécifique au Samsung ATI serie 9, vous en avez forcément mais c'est aussi le cas des PC Samsung d'autres modèles. \\ <|> radéon
172 Mot inconnu : Catalyst [[216:224]] => Catalyst est l'interface graphique qui permet de gérer les cartes AMD Radéon, à condition d'avoir préalablement installé le driver propriétaire correspondant à votre carte (voir ci-dessus). N'essayez pas d'installer Catalyst si vous n'avez pas de carte graphique ATI/AMD Radéon. Ce guide étant spécifique au Samsung ATI serie 9, vous en avez forcément mais c'est aussi le cas des PC Samsung d'autres modèles. \\ <|> catalyst
172 Mot inconnu : Radéon [[271:277]] => Catalyst est l'interface graphique qui permet de gérer les cartes AMD Radéon, à condition d'avoir préalablement installé le driver propriétaire correspondant à votre carte (voir ci-dessus). N'essayez pas d'installer Catalyst si vous n'avez pas de carte graphique ATI/AMD Radéon. Ce guide étant spécifique au Samsung ATI serie 9, vous en avez forcément mais c'est aussi le cas des PC Samsung d'autres modèles. \\ <|> radéon
172 Mot inconnu : serie [[320:325]] => Catalyst est l'interface graphique qui permet de gérer les cartes AMD Radéon, à condition d'avoir préalablement installé le driver propriétaire correspondant à votre carte (voir ci-dessus). N'essayez pas d'installer Catalyst si vous n'avez pas de carte graphique ATI/AMD Radéon. Ce guide étant spécifique au Samsung ATI serie 9, vous en avez forcément mais c'est aussi le cas des PC Samsung d'autres modèles. \\ <|> serie

173 Mot inconnu : Catalyst [[16:24]] => Le lancement de Catalyst va créer puis modifier le fichier /etc/X11/xorg.conf qui paramètre le serveur X11 pour fonctionner correctement dans votre environnement (second moniteur, résolution, couleurs, luminosité, gamma, ...). \\ <|> catalyst
173 Une de ces ponctuations est superflue. [[219:222]] => Le lancement de Catalyst va créer puis modifier le fichier /etc/X11/xorg.conf qui paramètre le serveur X11 pour fonctionner correctement dans votre environnement (second moniteur, résolution, couleurs, luminosité, gamma, ...). \\ <|> , . => suggestions : ,.
173 Typographie : points de suspension. Utilisez le caractère dédié. [[221:224]] => Le lancement de Catalyst va créer puis modifier le fichier /etc/X11/xorg.conf qui paramètre le serveur X11 pour fonctionner correctement dans votre environnement (second moniteur, résolution, couleurs, luminosité, gamma, ...). \\ <|> ... => suggestions : …

175 Mot inconnu : Catalyst [[17:25]] => === Lancement de Catalyst === <|> catalyst

176 Mot inconnu : Catalyst [[12:20]] => Pour lancer Catalyst, cliquer sur l'icône Ubuntu de recherche (situé habituellement en haut à gauche) et saisir "catalyst" dans la barre de recherche. Il va vous en retourner deux : choisir celui en mode administrateur et celui du mode utilisateurs. Choisissez le mode administrateur car nous voulons affecter l'ensemble des utilisateurs du PC. <|> catalyst
176 Guillemets typographiques ouvrants. [[112:113]] => Pour lancer Catalyst, cliquer sur l'icône Ubuntu de recherche (situé habituellement en haut à gauche) et saisir "catalyst" dans la barre de recherche. Il va vous en retourner deux : choisir celui en mode administrateur et celui du mode utilisateurs. Choisissez le mode administrateur car nous voulons affecter l'ensemble des utilisateurs du PC. <|> " => suggestions : « “
176 Mot inconnu : catalyst [[113:121]] => Pour lancer Catalyst, cliquer sur l'icône Ubuntu de recherche (situé habituellement en haut à gauche) et saisir "catalyst" dans la barre de recherche. Il va vous en retourner deux : choisir celui en mode administrateur et celui du mode utilisateurs. Choisissez le mode administrateur car nous voulons affecter l'ensemble des utilisateurs du PC. <|> catalyst
176 Guillemets typographiques fermants. [[121:122]] => Pour lancer Catalyst, cliquer sur l'icône Ubuntu de recherche (situé habituellement en haut à gauche) et saisir "catalyst" dans la barre de recherche. Il va vous en retourner deux : choisir celui en mode administrateur et celui du mode utilisateurs. Choisissez le mode administrateur car nous voulons affecter l'ensemble des utilisateurs du PC. <|> " => suggestions :  »”
176 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. [[283:287]] => Pour lancer Catalyst, cliquer sur l'icône Ubuntu de recherche (situé habituellement en haut à gauche) et saisir "catalyst" dans la barre de recherche. Il va vous en retourner deux : choisir celui en mode administrateur et celui du mode utilisateurs. Choisissez le mode administrateur car nous voulons affecter l'ensemble des utilisateurs du PC. <|>  car => suggestions : , car

178 Mot inconnu : Catalyst [[7:15]] => Lancer Catalyst : il vous montre les caractéristiques de votre carte et de son pilote.\\ \\ \\ <|> catalyst

181 Mot inconnu : Resolution [[4:14]] => === Resolution du second écran === <|> resolution

182 Erreur de numérisation ? Virgules au lieu de points ? [[86:91]] => Choisir la résolution de votre second écran, régler la luminosité, régler les couleurs,....\\ \\ <|> ,.... => suggestions : …..
182 Typographie : points de suspension. Utilisez le caractère dédié. [[87:91]] => Choisir la résolution de votre second écran, régler la luminosité, régler les couleurs,....\\ \\ <|> .... => suggestions : …

187 Erreur de numérisation ? Virgules au lieu de points ? [[41:46]] => Régler la luminosité, régler les couleurs,.... devient trsè facile et ne nécessite plus de modifier manuellement les fichiers de configuration graphiqe\\ \\ <|> ,.... => suggestions : …..
187 Typographie : points de suspension. Utilisez le caractère dédié. [[42:46]] => Régler la luminosité, régler les couleurs,.... devient trsè facile et ne nécessite plus de modifier manuellement les fichiers de configuration graphiqe\\ \\ <|> .... => suggestions : …
187 Mot inconnu : trsè [[55:59]] => Régler la luminosité, régler les couleurs,.... devient trsè facile et ne nécessite plus de modifier manuellement les fichiers de configuration graphiqe\\ \\ <|> trsè
187 Mot inconnu : graphiqe [[143:151]] => Régler la luminosité, régler les couleurs,.... devient trsè facile et ne nécessite plus de modifier manuellement les fichiers de configuration graphiqe\\ \\ <|> graphiqe

191 Mot inconnu : Catalyst [[184:192]] => Tout fonctionne et vous constaterez que si vous lancez à nouveau le réglage d'écran standard dans les paramètres système ceux-ci sont maintenant correctement bien prédéfinis parce que Catalyst a créée / modifié le fichier /etc/X11/xorg.conf de manière appropriée à votre environnement. \\ <|> catalyst

192 Signe de multiplication typographique. [[117:126]] => Voici pour information un exemple de configuration en double écran, le moniteur externe étant HD d'une résolution de 1920x1080. <|> 1920x1080 => suggestions : 1920 × 1080
192 Mot inconnu : x1080 [[121:126]] => Voici pour information un exemple de configuration en double écran, le moniteur externe étant HD d'une résolution de 1920x1080. <|> x1080

247 Incohérence probable avec “si” : “voulez” ne devrait pas être une forme verbale conjuguée. [[3:9]] => Si voulez éviter que l'écran externe s'éteigne lorsque vous fermez le couvercle du portable, vous devez modifier les options par défaut qui se trouvent dans les paramètres système, gestion de l'énergie. Vous y trouverez également la charge de la batterie et l'intensité du signal du clavier sans fil lorsqu'il est branché. <|> voulez => suggestions : vouloir
252 Espace(s) en fin de ligne à supprimer. [[77:78]] => Installation de 18.04 LTS réalisée sans problèmes particuliers le 01/07/2018.  <|>  
