2 Mot inconnu : hamradio => {{tag>hamradio radio rtl-sdr navigation_maritime}}
2 Mot inconnu : rtl-sdr => {{tag>hamradio radio rtl-sdr navigation_maritime}}
2 Mot inconnu : navigation_maritime => {{tag>hamradio radio rtl-sdr navigation_maritime}}

5 Mot inconnu : HamRadio => ====== HamRadio : la RadioAmateur sur Ubuntu  ======
49 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * **[[http://sites.google.com/site/ubunturadioamateur/Home/multimon|Multimon]]** : Décodage de trames AFSK, FSK, POCSAG, etc., via la carte son - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>multimon|multimon]]**
49 Il manque un espace. =>   * **[[http://sites.google.com/site/ubunturadioamateur/Home/multimon|Multimon]]** : Décodage de trames AFSK, FSK, POCSAG, etc., via la carte son - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>multimon|multimon]]**
49 Mot inconnu : comment_installer_un_paquet =>   * **[[http://sites.google.com/site/ubunturadioamateur/Home/multimon|Multimon]]** : Décodage de trames AFSK, FSK, POCSAG, etc., via la carte son - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>multimon|multimon]]**
49 Mot inconnu : apt =>   * **[[http://sites.google.com/site/ubunturadioamateur/Home/multimon|Multimon]]** : Décodage de trames AFSK, FSK, POCSAG, etc., via la carte son - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>multimon|multimon]]**
49 Mot inconnu : multimon =>   * **[[http://sites.google.com/site/ubunturadioamateur/Home/multimon|Multimon]]** : Décodage de trames AFSK, FSK, POCSAG, etc., via la carte son - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>multimon|multimon]]**
49 Mot inconnu : multimon =>   * **[[http://sites.google.com/site/ubunturadioamateur/Home/multimon|Multimon]]** : Décodage de trames AFSK, FSK, POCSAG, etc., via la carte son - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>multimon|multimon]]**

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[[WSjt]]** : Modes numériques pour signaux faibles (FSK441,JT6M,JT65,CW) - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>wsjt|wsjt]]**
51 Mot inconnu : WSjt =>   * **[[WSjt]]** : Modes numériques pour signaux faibles (FSK441,JT6M,JT65,CW) - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>wsjt|wsjt]]**
51 Il manque un espace insécable. =>   * **[[WSjt]]** : Modes numériques pour signaux faibles (FSK441,JT6M,JT65,CW) - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>wsjt|wsjt]]**
51 Mot inconnu : FSK441 =>   * **[[WSjt]]** : Modes numériques pour signaux faibles (FSK441,JT6M,JT65,CW) - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>wsjt|wsjt]]**
51 Il manque un espace. =>   * **[[WSjt]]** : Modes numériques pour signaux faibles (FSK441,JT6M,JT65,CW) - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>wsjt|wsjt]]**
51 Mot inconnu : JT6M =>   * **[[WSjt]]** : Modes numériques pour signaux faibles (FSK441,JT6M,JT65,CW) - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>wsjt|wsjt]]**
51 Mot inconnu : JT65 =>   * **[[WSjt]]** : Modes numériques pour signaux faibles (FSK441,JT6M,JT65,CW) - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>wsjt|wsjt]]**
51 Il manque un espace. =>   * **[[WSjt]]** : Modes numériques pour signaux faibles (FSK441,JT6M,JT65,CW) - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>wsjt|wsjt]]**
51 Mot inconnu : CW =>   * **[[WSjt]]** : Modes numériques pour signaux faibles (FSK441,JT6M,JT65,CW) - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>wsjt|wsjt]]**
51 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * **[[WSjt]]** : Modes numériques pour signaux faibles (FSK441,JT6M,JT65,CW) - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>wsjt|wsjt]]**
51 Il manque un espace. =>   * **[[WSjt]]** : Modes numériques pour signaux faibles (FSK441,JT6M,JT65,CW) - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>wsjt|wsjt]]**
51 Mot inconnu : comment_installer_un_paquet =>   * **[[WSjt]]** : Modes numériques pour signaux faibles (FSK441,JT6M,JT65,CW) - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>wsjt|wsjt]]**
51 Mot inconnu : apt =>   * **[[WSjt]]** : Modes numériques pour signaux faibles (FSK441,JT6M,JT65,CW) - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>wsjt|wsjt]]**
51 Mot inconnu : wsjt =>   * **[[WSjt]]** : Modes numériques pour signaux faibles (FSK441,JT6M,JT65,CW) - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>wsjt|wsjt]]**
51 Mot inconnu : wsjt =>   * **[[WSjt]]** : Modes numériques pour signaux faibles (FSK441,JT6M,JT65,CW) - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>wsjt|wsjt]]**

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[[GPredict]]** : Suivi de la position de satellites
55 Mot inconnu : GPredict =>   * **[[GPredict]]** : Suivi de la position de satellites
55 Il manque un espace insécable. =>   * **[[GPredict]]** : Suivi de la position de satellites

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[[QGrid]]** : Calcul de distance et d'orientation entre deux correspondants
57 Mot inconnu : QGrid =>   * **[[QGrid]]** : Calcul de distance et d'orientation entre deux correspondants
57 Il manque un espace insécable. =>   * **[[QGrid]]** : Calcul de distance et d'orientation entre deux correspondants

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[[IBP]]** : Prévision de l'émission des balises HF de l'//International Beacon Project (NCDXF / IARU)//
59 Mot inconnu : IBP =>   * **[[IBP]]** : Prévision de l'émission des balises HF de l'//International Beacon Project (NCDXF / IARU)//
59 Il manque un espace insécable. =>   * **[[IBP]]** : Prévision de l'émission des balises HF de l'//International Beacon Project (NCDXF / IARU)//
59 Mot inconnu : HF =>   * **[[IBP]]** : Prévision de l'émission des balises HF de l'//International Beacon Project (NCDXF / IARU)//
59 Mot inconnu : Beacon =>   * **[[IBP]]** : Prévision de l'émission des balises HF de l'//International Beacon Project (NCDXF / IARU)//
59 Mot inconnu : Project =>   * **[[IBP]]** : Prévision de l'émission des balises HF de l'//International Beacon Project (NCDXF / IARU)//
59 Mot inconnu : NCDXF =>   * **[[IBP]]** : Prévision de l'émission des balises HF de l'//International Beacon Project (NCDXF / IARU)//
59 Mot inconnu : IARU =>   * **[[IBP]]** : Prévision de l'émission des balises HF de l'//International Beacon Project (NCDXF / IARU)//

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[[http://sites.google.com/site/ubunturadioamateur/xnecview|xnecview]]** : Conception d'antennes. Visualiser et manipuler en 3D les fichiers NEC (Numerical Electromagnetics Code) [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>xnecview|xnecview]]**
61 Mot inconnu : xnecview =>   * **[[http://sites.google.com/site/ubunturadioamateur/xnecview|xnecview]]** : Conception d'antennes. Visualiser et manipuler en 3D les fichiers NEC (Numerical Electromagnetics Code) [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>xnecview|xnecview]]**
61 Il manque un espace insécable. =>   * **[[http://sites.google.com/site/ubunturadioamateur/xnecview|xnecview]]** : Conception d'antennes. Visualiser et manipuler en 3D les fichiers NEC (Numerical Electromagnetics Code) [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>xnecview|xnecview]]**
61 Mot inconnu : Numerical =>   * **[[http://sites.google.com/site/ubunturadioamateur/xnecview|xnecview]]** : Conception d'antennes. Visualiser et manipuler en 3D les fichiers NEC (Numerical Electromagnetics Code) [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>xnecview|xnecview]]**
61 Mot inconnu : Electromagnetics =>   * **[[http://sites.google.com/site/ubunturadioamateur/xnecview|xnecview]]** : Conception d'antennes. Visualiser et manipuler en 3D les fichiers NEC (Numerical Electromagnetics Code) [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>xnecview|xnecview]]**
61 Il manque un espace. =>   * **[[http://sites.google.com/site/ubunturadioamateur/xnecview|xnecview]]** : Conception d'antennes. Visualiser et manipuler en 3D les fichiers NEC (Numerical Electromagnetics Code) [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>xnecview|xnecview]]**
61 Mot inconnu : comment_installer_un_paquet =>   * **[[http://sites.google.com/site/ubunturadioamateur/xnecview|xnecview]]** : Conception d'antennes. Visualiser et manipuler en 3D les fichiers NEC (Numerical Electromagnetics Code) [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>xnecview|xnecview]]**
61 Mot inconnu : apt =>   * **[[http://sites.google.com/site/ubunturadioamateur/xnecview|xnecview]]** : Conception d'antennes. Visualiser et manipuler en 3D les fichiers NEC (Numerical Electromagnetics Code) [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>xnecview|xnecview]]**
61 Mot inconnu : xnecview =>   * **[[http://sites.google.com/site/ubunturadioamateur/xnecview|xnecview]]** : Conception d'antennes. Visualiser et manipuler en 3D les fichiers NEC (Numerical Electromagnetics Code) [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>xnecview|xnecview]]**
61 Mot inconnu : xnecview =>   * **[[http://sites.google.com/site/ubunturadioamateur/xnecview|xnecview]]** : Conception d'antennes. Visualiser et manipuler en 3D les fichiers NEC (Numerical Electromagnetics Code) [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>xnecview|xnecview]]**

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[[CQRLOG]]** : Gestion de carnets de trafic [[http://www.cqrlog.com/?q=node/8|Site du projet]]
63 Mot inconnu : CQRLOG =>   * **[[CQRLOG]]** : Gestion de carnets de trafic [[http://www.cqrlog.com/?q=node/8|Site du projet]]
63 Il manque un espace insécable. =>   * **[[CQRLOG]]** : Gestion de carnets de trafic [[http://www.cqrlog.com/?q=node/8|Site du projet]]

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[[http://jaime.robles.es/klog/klog-intro/|klog]]** : Enregistrement (log - journal de traffic) des QSO radio-amateur - format ADIF - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>klog|klog]]**
65 Mot inconnu : klog =>   * **[[http://jaime.robles.es/klog/klog-intro/|klog]]** : Enregistrement (log - journal de traffic) des QSO radio-amateur - format ADIF - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>klog|klog]]**
65 Il manque un espace insécable. =>   * **[[http://jaime.robles.es/klog/klog-intro/|klog]]** : Enregistrement (log - journal de traffic) des QSO radio-amateur - format ADIF - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>klog|klog]]**
65 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * **[[http://jaime.robles.es/klog/klog-intro/|klog]]** : Enregistrement (log - journal de traffic) des QSO radio-amateur - format ADIF - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>klog|klog]]**
65 Mot inconnu : traffic =>   * **[[http://jaime.robles.es/klog/klog-intro/|klog]]** : Enregistrement (log - journal de traffic) des QSO radio-amateur - format ADIF - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>klog|klog]]**
65 Mot inconnu : QSO =>   * **[[http://jaime.robles.es/klog/klog-intro/|klog]]** : Enregistrement (log - journal de traffic) des QSO radio-amateur - format ADIF - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>klog|klog]]**
65 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * **[[http://jaime.robles.es/klog/klog-intro/|klog]]** : Enregistrement (log - journal de traffic) des QSO radio-amateur - format ADIF - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>klog|klog]]**
65 Mot inconnu : ADIF =>   * **[[http://jaime.robles.es/klog/klog-intro/|klog]]** : Enregistrement (log - journal de traffic) des QSO radio-amateur - format ADIF - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>klog|klog]]**
65 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * **[[http://jaime.robles.es/klog/klog-intro/|klog]]** : Enregistrement (log - journal de traffic) des QSO radio-amateur - format ADIF - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>klog|klog]]**
65 Il manque un espace. =>   * **[[http://jaime.robles.es/klog/klog-intro/|klog]]** : Enregistrement (log - journal de traffic) des QSO radio-amateur - format ADIF - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>klog|klog]]**
65 Mot inconnu : comment_installer_un_paquet =>   * **[[http://jaime.robles.es/klog/klog-intro/|klog]]** : Enregistrement (log - journal de traffic) des QSO radio-amateur - format ADIF - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>klog|klog]]**
65 Mot inconnu : apt =>   * **[[http://jaime.robles.es/klog/klog-intro/|klog]]** : Enregistrement (log - journal de traffic) des QSO radio-amateur - format ADIF - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>klog|klog]]**
65 Mot inconnu : klog =>   * **[[http://jaime.robles.es/klog/klog-intro/|klog]]** : Enregistrement (log - journal de traffic) des QSO radio-amateur - format ADIF - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>klog|klog]]**
65 Mot inconnu : klog =>   * **[[http://jaime.robles.es/klog/klog-intro/|klog]]** : Enregistrement (log - journal de traffic) des QSO radio-amateur - format ADIF - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>klog|klog]]**

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[[xlog]]** : Carnet de trafic radioamateur
67 Mot inconnu : xlog =>   * **[[xlog]]** : Carnet de trafic radioamateur
67 Il manque un espace insécable. =>   * **[[xlog]]** : Carnet de trafic radioamateur

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[[:jlog]]** : Carnet de trafic fonctionnant avec JAVA supportant le format ADIF
69 Mot inconnu : jlog =>   * **[[:jlog]]** : Carnet de trafic fonctionnant avec JAVA supportant le format ADIF
69 Il manque un espace insécable. =>   * **[[:jlog]]** : Carnet de trafic fonctionnant avec JAVA supportant le format ADIF
69 Mot inconnu : ADIF =>   * **[[:jlog]]** : Carnet de trafic fonctionnant avec JAVA supportant le format ADIF

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[[http://www.f5len.org/articles/lotw/|trustedqsl]]** : Certification [[http://fr.wikipedia.org/wiki/QSL|QSL]] de //[[http://www.arrl.org|The ARRL LogBook of the world]]// - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>trustedqsl]]** puis lancer **tqslcert** ou **tqsl**
71 Mot inconnu : trustedqsl =>   * **[[http://www.f5len.org/articles/lotw/|trustedqsl]]** : Certification [[http://fr.wikipedia.org/wiki/QSL|QSL]] de //[[http://www.arrl.org|The ARRL LogBook of the world]]// - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>trustedqsl]]** puis lancer **tqslcert** ou **tqsl**
71 Il manque un espace insécable. =>   * **[[http://www.f5len.org/articles/lotw/|trustedqsl]]** : Certification [[http://fr.wikipedia.org/wiki/QSL|QSL]] de //[[http://www.arrl.org|The ARRL LogBook of the world]]// - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>trustedqsl]]** puis lancer **tqslcert** ou **tqsl**
71 Mot inconnu : QSL =>   * **[[http://www.f5len.org/articles/lotw/|trustedqsl]]** : Certification [[http://fr.wikipedia.org/wiki/QSL|QSL]] de //[[http://www.arrl.org|The ARRL LogBook of the world]]// - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>trustedqsl]]** puis lancer **tqslcert** ou **tqsl**
71 Mot inconnu : The =>   * **[[http://www.f5len.org/articles/lotw/|trustedqsl]]** : Certification [[http://fr.wikipedia.org/wiki/QSL|QSL]] de //[[http://www.arrl.org|The ARRL LogBook of the world]]// - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>trustedqsl]]** puis lancer **tqslcert** ou **tqsl**
71 Mot inconnu : ARRL =>   * **[[http://www.f5len.org/articles/lotw/|trustedqsl]]** : Certification [[http://fr.wikipedia.org/wiki/QSL|QSL]] de //[[http://www.arrl.org|The ARRL LogBook of the world]]// - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>trustedqsl]]** puis lancer **tqslcert** ou **tqsl**
71 Mot inconnu : LogBook =>   * **[[http://www.f5len.org/articles/lotw/|trustedqsl]]** : Certification [[http://fr.wikipedia.org/wiki/QSL|QSL]] de //[[http://www.arrl.org|The ARRL LogBook of the world]]// - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>trustedqsl]]** puis lancer **tqslcert** ou **tqsl**
71 Mot inconnu : of =>   * **[[http://www.f5len.org/articles/lotw/|trustedqsl]]** : Certification [[http://fr.wikipedia.org/wiki/QSL|QSL]] de //[[http://www.arrl.org|The ARRL LogBook of the world]]// - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>trustedqsl]]** puis lancer **tqslcert** ou **tqsl**
71 Mot inconnu : the =>   * **[[http://www.f5len.org/articles/lotw/|trustedqsl]]** : Certification [[http://fr.wikipedia.org/wiki/QSL|QSL]] de //[[http://www.arrl.org|The ARRL LogBook of the world]]// - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>trustedqsl]]** puis lancer **tqslcert** ou **tqsl**
71 Mot inconnu : world =>   * **[[http://www.f5len.org/articles/lotw/|trustedqsl]]** : Certification [[http://fr.wikipedia.org/wiki/QSL|QSL]] de //[[http://www.arrl.org|The ARRL LogBook of the world]]// - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>trustedqsl]]** puis lancer **tqslcert** ou **tqsl**
71 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * **[[http://www.f5len.org/articles/lotw/|trustedqsl]]** : Certification [[http://fr.wikipedia.org/wiki/QSL|QSL]] de //[[http://www.arrl.org|The ARRL LogBook of the world]]// - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>trustedqsl]]** puis lancer **tqslcert** ou **tqsl**
71 Il manque un espace. =>   * **[[http://www.f5len.org/articles/lotw/|trustedqsl]]** : Certification [[http://fr.wikipedia.org/wiki/QSL|QSL]] de //[[http://www.arrl.org|The ARRL LogBook of the world]]// - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>trustedqsl]]** puis lancer **tqslcert** ou **tqsl**
71 Mot inconnu : comment_installer_un_paquet =>   * **[[http://www.f5len.org/articles/lotw/|trustedqsl]]** : Certification [[http://fr.wikipedia.org/wiki/QSL|QSL]] de //[[http://www.arrl.org|The ARRL LogBook of the world]]// - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>trustedqsl]]** puis lancer **tqslcert** ou **tqsl**
71 Mot inconnu : apt =>   * **[[http://www.f5len.org/articles/lotw/|trustedqsl]]** : Certification [[http://fr.wikipedia.org/wiki/QSL|QSL]] de //[[http://www.arrl.org|The ARRL LogBook of the world]]// - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>trustedqsl]]** puis lancer **tqslcert** ou **tqsl**
71 Mot inconnu : trustedqsl =>   * **[[http://www.f5len.org/articles/lotw/|trustedqsl]]** : Certification [[http://fr.wikipedia.org/wiki/QSL|QSL]] de //[[http://www.arrl.org|The ARRL LogBook of the world]]// - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>trustedqsl]]** puis lancer **tqslcert** ou **tqsl**
71 Mot inconnu : tqslcert =>   * **[[http://www.f5len.org/articles/lotw/|trustedqsl]]** : Certification [[http://fr.wikipedia.org/wiki/QSL|QSL]] de //[[http://www.arrl.org|The ARRL LogBook of the world]]// - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>trustedqsl]]** puis lancer **tqslcert** ou **tqsl**
71 Mot inconnu : tqsl =>   * **[[http://www.f5len.org/articles/lotw/|trustedqsl]]** : Certification [[http://fr.wikipedia.org/wiki/QSL|QSL]] de //[[http://www.arrl.org|The ARRL LogBook of the world]]// - [[:tutoriel:comment_installer_un_paquet|installer le paquet]] **[[apt>trustedqsl]]** puis lancer **tqslcert** ou **tqsl**

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[[http://sites.google.com/site/ubunturadioamateur/aprs-avec-uiview32|UIview]]** : Communiquez en mode APRS
74 Mot inconnu : UIview =>   * **[[http://sites.google.com/site/ubunturadioamateur/aprs-avec-uiview32|UIview]]** : Communiquez en mode APRS
74 Il manque un espace insécable. =>   * **[[http://sites.google.com/site/ubunturadioamateur/aprs-avec-uiview32|UIview]]** : Communiquez en mode APRS
74 Mot inconnu : APRS =>   * **[[http://sites.google.com/site/ubunturadioamateur/aprs-avec-uiview32|UIview]]** : Communiquez en mode APRS

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[[http://www.funcubedongle.com|FunCube Dongle]]** : Récepteur USB couvrant une gamme de ~51.5MHz à ~2,000MHz (coûte ~150€)
81 Mot inconnu : FunCube =>   * **[[http://www.funcubedongle.com|FunCube Dongle]]** : Récepteur USB couvrant une gamme de ~51.5MHz à ~2,000MHz (coûte ~150€)
81 Il manque un espace insécable. =>   * **[[http://www.funcubedongle.com|FunCube Dongle]]** : Récepteur USB couvrant une gamme de ~51.5MHz à ~2,000MHz (coûte ~150€)
81 Avec une unité de mesure, mettez un espace insécable. =>   * **[[http://www.funcubedongle.com|FunCube Dongle]]** : Récepteur USB couvrant une gamme de ~51.5MHz à ~2,000MHz (coûte ~150€)
81 Avec une unité de mesure, mettez un espace insécable. =>   * **[[http://www.funcubedongle.com|FunCube Dongle]]** : Récepteur USB couvrant une gamme de ~51.5MHz à ~2,000MHz (coûte ~150€)

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[[http://www.ettus.com/|Universal Software Radio Peripheral (USRP)]]** : Matériel modulable pouvant couvrir un spectre de 0 à 6 GHz en émission et transmission (à partir de 650$). Voir des exemples d'utilisation [[http://www.dl8rds.de/index.php/GNURadio_and_USRP2|ici]]
83 Mot inconnu : Universal =>   * **[[http://www.ettus.com/|Universal Software Radio Peripheral (USRP)]]** : Matériel modulable pouvant couvrir un spectre de 0 à 6 GHz en émission et transmission (à partir de 650$). Voir des exemples d'utilisation [[http://www.dl8rds.de/index.php/GNURadio_and_USRP2|ici]]
83 Mot inconnu : Peripheral =>   * **[[http://www.ettus.com/|Universal Software Radio Peripheral (USRP)]]** : Matériel modulable pouvant couvrir un spectre de 0 à 6 GHz en émission et transmission (à partir de 650$). Voir des exemples d'utilisation [[http://www.dl8rds.de/index.php/GNURadio_and_USRP2|ici]]
83 Mot inconnu : USRP =>   * **[[http://www.ettus.com/|Universal Software Radio Peripheral (USRP)]]** : Matériel modulable pouvant couvrir un spectre de 0 à 6 GHz en émission et transmission (à partir de 650$). Voir des exemples d'utilisation [[http://www.dl8rds.de/index.php/GNURadio_and_USRP2|ici]]
83 Il manque un espace insécable. =>   * **[[http://www.ettus.com/|Universal Software Radio Peripheral (USRP)]]** : Matériel modulable pouvant couvrir un spectre de 0 à 6 GHz en émission et transmission (à partir de 650$). Voir des exemples d'utilisation [[http://www.dl8rds.de/index.php/GNURadio_and_USRP2|ici]]
83 Si “GHz” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * **[[http://www.ettus.com/|Universal Software Radio Peripheral (USRP)]]** : Matériel modulable pouvant couvrir un spectre de 0 à 6 GHz en émission et transmission (à partir de 650$). Voir des exemples d'utilisation [[http://www.dl8rds.de/index.php/GNURadio_and_USRP2|ici]]
83 Avec une unité de mesure, mettez un espace insécable. =>   * **[[http://www.ettus.com/|Universal Software Radio Peripheral (USRP)]]** : Matériel modulable pouvant couvrir un spectre de 0 à 6 GHz en émission et transmission (à partir de 650$). Voir des exemples d'utilisation [[http://www.dl8rds.de/index.php/GNURadio_and_USRP2|ici]]

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[[rtl2832u]]** : Chipset à la base de nombreux tuner TNT USB qui permet de recevoir des signaux radio de ~50 MHz à ~2.2 GHz (coûte ~20€)
85 Mot inconnu : rtl2832u =>   * **[[rtl2832u]]** : Chipset à la base de nombreux tuner TNT USB qui permet de recevoir des signaux radio de ~50 MHz à ~2.2 GHz (coûte ~20€)
85 Il manque un espace insécable. =>   * **[[rtl2832u]]** : Chipset à la base de nombreux tuner TNT USB qui permet de recevoir des signaux radio de ~50 MHz à ~2.2 GHz (coûte ~20€)
85 Mot inconnu : Chipset =>   * **[[rtl2832u]]** : Chipset à la base de nombreux tuner TNT USB qui permet de recevoir des signaux radio de ~50 MHz à ~2.2 GHz (coûte ~20€)
85 Avec une unité de mesure, mettez un espace insécable. =>   * **[[rtl2832u]]** : Chipset à la base de nombreux tuner TNT USB qui permet de recevoir des signaux radio de ~50 MHz à ~2.2 GHz (coûte ~20€)
85 Avec une unité de mesure, mettez un espace insécable. =>   * **[[rtl2832u]]** : Chipset à la base de nombreux tuner TNT USB qui permet de recevoir des signaux radio de ~50 MHz à ~2.2 GHz (coûte ~20€)

87 Mot inconnu : DIY => ==== Solutions DIY ====

88 Mot inconnu : FIXME => FIXME

89 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => ===== A voir aussi =====

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://radio.linux.org.au/?sectpat=All&ordpat=title|Liste d'applications très complète - en anglais]] (Linux Software for the hamradio community) 
90 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * [[http://radio.linux.org.au/?sectpat=All&ordpat=title|Liste d'applications très complète - en anglais]] (Linux Software for the hamradio community) 
90 Mot inconnu : the =>   * [[http://radio.linux.org.au/?sectpat=All&ordpat=title|Liste d'applications très complète - en anglais]] (Linux Software for the hamradio community) 
90 Mot inconnu : hamradio =>   * [[http://radio.linux.org.au/?sectpat=All&ordpat=title|Liste d'applications très complète - en anglais]] (Linux Software for the hamradio community) 
