2 Mot inconnu : tablette_graphique => {{tag>matériel tablette_graphique}}

10 Il manque un espace insécable. => Les notations suivantes sont utilisées :

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * {{:icons:icon-ubuntu.png}} Fonctionne immédiatement,
11 Mot inconnu : icons =>   * {{:icons:icon-ubuntu.png}} Fonctionne immédiatement,
11 Il manque un espace. =>   * {{:icons:icon-ubuntu.png}} Fonctionne immédiatement,
11 Mot inconnu : icon-ubuntu =>   * {{:icons:icon-ubuntu.png}} Fonctionne immédiatement,

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * {{wiki:modeles:laptop_work.png|Fonctionne après config}} : **Fonctionne après quelques manipulations**,
12 Il manque un espace. =>   * {{wiki:modeles:laptop_work.png|Fonctionne après config}} : **Fonctionne après quelques manipulations**,
12 Mot inconnu : modeles =>   * {{wiki:modeles:laptop_work.png|Fonctionne après config}} : **Fonctionne après quelques manipulations**,
12 Mot inconnu : laptop_work =>   * {{wiki:modeles:laptop_work.png|Fonctionne après config}} : **Fonctionne après quelques manipulations**,
12 Il manque un espace insécable. =>   * {{wiki:modeles:laptop_work.png|Fonctionne après config}} : **Fonctionne après quelques manipulations**,

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * {{icons:process-stop.png|Ne fonctionne pas}} : **Ne fonctionne pas**,
13 Mot inconnu : icons =>   * {{icons:process-stop.png|Ne fonctionne pas}} : **Ne fonctionne pas**,
13 Il manque un espace. =>   * {{icons:process-stop.png|Ne fonctionne pas}} : **Ne fonctionne pas**,
13 Il manque un espace insécable. =>   * {{icons:process-stop.png|Ne fonctionne pas}} : **Ne fonctionne pas**,

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  

15 Mot inconnu : Huion => =====Huion=====

18 Mot inconnu : wizardpen => ===== Tablettes prises en charge par le pilote wizardpen =====

21 Mot inconnu : Acecad => | Acecad Flair II GT-504 | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
53 Mot inconnu : CTH => | intuos Manga Pen & Touch Small | CTH 480|  | 056a |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Mettre à jour le noyau voir page [[wacom]] |
53 Mot inconnu : icons => | intuos Manga Pen & Touch Small | CTH 480|  | 056a |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Mettre à jour le noyau voir page [[wacom]] |
53 Il manque un espace. => | intuos Manga Pen & Touch Small | CTH 480|  | 056a |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Mettre à jour le noyau voir page [[wacom]] |
53 Mot inconnu : icon-ubuntu => | intuos Manga Pen & Touch Small | CTH 480|  | 056a |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Mettre à jour le noyau voir page [[wacom]] |
53 Mot inconnu : icons => | intuos Manga Pen & Touch Small | CTH 480|  | 056a |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Mettre à jour le noyau voir page [[wacom]] |
53 Il manque un espace. => | intuos Manga Pen & Touch Small | CTH 480|  | 056a |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Mettre à jour le noyau voir page [[wacom]] |
53 Mot inconnu : icon-ubuntu => | intuos Manga Pen & Touch Small | CTH 480|  | 056a |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Mettre à jour le noyau voir page [[wacom]] |
53 Mot inconnu : wacom => | intuos Manga Pen & Touch Small | CTH 480|  | 056a |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Mettre à jour le noyau voir page [[wacom]] |

54 Mot inconnu : intuos => | intuos Pen & Touch Small | |  | 056a |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Nativement depuis 14.04 |
54 Mot inconnu : Pen => | intuos Pen & Touch Small | |  | 056a |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Nativement depuis 14.04 |
54 Mot inconnu : Touch => | intuos Pen & Touch Small | |  | 056a |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Nativement depuis 14.04 |
54 Mot inconnu : icons => | intuos Pen & Touch Small | |  | 056a |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Nativement depuis 14.04 |
54 Il manque un espace. => | intuos Pen & Touch Small | |  | 056a |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Nativement depuis 14.04 |
54 Mot inconnu : icon-ubuntu => | intuos Pen & Touch Small | |  | 056a |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Nativement depuis 14.04 |
54 Mot inconnu : icons => | intuos Pen & Touch Small | |  | 056a |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Nativement depuis 14.04 |
54 Il manque un espace. => | intuos Pen & Touch Small | |  | 056a |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Nativement depuis 14.04 |
54 Mot inconnu : icon-ubuntu => | intuos Pen & Touch Small | |  | 056a |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Nativement depuis 14.04 |

55 Mot inconnu : intuos => | intuos Pen Small | | | 056a |  |  |  |
55 Mot inconnu : Pen => | intuos Pen Small | | | 056a |  |  |  |

56 Mot inconnu : intuos => | intuos S 2018| CTL 4100 | 7 pouces |  |  | {{icons:process-stop.png|Ne fonctionne pas}} |  
56 Mot inconnu : CTL => | intuos S 2018| CTL 4100 | 7 pouces |  |  | {{icons:process-stop.png|Ne fonctionne pas}} |  
56 Mot inconnu : icons => | intuos S 2018| CTL 4100 | 7 pouces |  |  | {{icons:process-stop.png|Ne fonctionne pas}} |  
56 Il manque un espace. => | intuos S 2018| CTL 4100 | 7 pouces |  |  | {{icons:process-stop.png|Ne fonctionne pas}} |  
56 Espace(s) en fin de ligne à supprimer. => | intuos S 2018| CTL 4100 | 7 pouces |  |  | {{icons:process-stop.png|Ne fonctionne pas}} |  

57 Mot inconnu : intuos => | intuos M 2018| CTL 6100 | 10 pouces |  |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} |  | Filaire depuis 18.04. Bluetooth et expresskeys depuis 18.10 |
57 Mot inconnu : CTL => | intuos M 2018| CTL 6100 | 10 pouces |  |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} |  | Filaire depuis 18.04. Bluetooth et expresskeys depuis 18.10 |
57 Mot inconnu : icons => | intuos M 2018| CTL 6100 | 10 pouces |  |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} |  | Filaire depuis 18.04. Bluetooth et expresskeys depuis 18.10 |
57 Il manque un espace. => | intuos M 2018| CTL 6100 | 10 pouces |  |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} |  | Filaire depuis 18.04. Bluetooth et expresskeys depuis 18.10 |
57 Mot inconnu : icon-ubuntu => | intuos M 2018| CTL 6100 | 10 pouces |  |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} |  | Filaire depuis 18.04. Bluetooth et expresskeys depuis 18.10 |
57 Mot inconnu : expresskeys => | intuos M 2018| CTL 6100 | 10 pouces |  |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} |  | Filaire depuis 18.04. Bluetooth et expresskeys depuis 18.10 |

58 Mot inconnu : intuos3 => | intuos3 4x5 |PTZ-430| A6 | 056a |  |  |  |
58 Signe de multiplication typographique. => | intuos3 4x5 |PTZ-430| A6 | 056a |  |  |  |
58 Mot inconnu : x5 => | intuos3 4x5 |PTZ-430| A6 | 056a |  |  |  |
58 Mot inconnu : PTZ-430 => | intuos3 4x5 |PTZ-430| A6 | 056a |  |  |  |
58 Mot inconnu : A6 => | intuos3 4x5 |PTZ-430| A6 | 056a |  |  |  |

59 Mot inconnu : intuos3 => | intuos3 4x6 | PTZ-431W | A6 Wide |056a | 00b7 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
59 Signe de multiplication typographique. => | intuos3 4x6 | PTZ-431W | A6 Wide |056a | 00b7 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
59 Mot inconnu : x6 => | intuos3 4x6 | PTZ-431W | A6 Wide |056a | 00b7 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
59 Mot inconnu : PTZ-431W => | intuos3 4x6 | PTZ-431W | A6 Wide |056a | 00b7 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
59 Mot inconnu : A6 => | intuos3 4x6 | PTZ-431W | A6 Wide |056a | 00b7 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
59 Mot inconnu : Wide => | intuos3 4x6 | PTZ-431W | A6 Wide |056a | 00b7 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
59 Mot inconnu : b7 => | intuos3 4x6 | PTZ-431W | A6 Wide |056a | 00b7 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
59 Mot inconnu : icons => | intuos3 4x6 | PTZ-431W | A6 Wide |056a | 00b7 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
59 Il manque un espace. => | intuos3 4x6 | PTZ-431W | A6 Wide |056a | 00b7 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
59 Mot inconnu : icon-ubuntu => | intuos3 4x6 | PTZ-431W | A6 Wide |056a | 00b7 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
59 Mot inconnu : icons => | intuos3 4x6 | PTZ-431W | A6 Wide |056a | 00b7 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
59 Il manque un espace. => | intuos3 4x6 | PTZ-431W | A6 Wide |056a | 00b7 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
59 Mot inconnu : icon-ubuntu => | intuos3 4x6 | PTZ-431W | A6 Wide |056a | 00b7 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |

60 Mot inconnu : intuos3 => | intuos3 6x8 | PTZ-630 | A5 | 056a | 00b1 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
60 Signe de multiplication typographique. => | intuos3 6x8 | PTZ-630 | A5 | 056a | 00b1 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
60 Mot inconnu : x8 => | intuos3 6x8 | PTZ-630 | A5 | 056a | 00b1 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
60 Mot inconnu : PTZ-630 => | intuos3 6x8 | PTZ-630 | A5 | 056a | 00b1 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
60 Mot inconnu : A5 => | intuos3 6x8 | PTZ-630 | A5 | 056a | 00b1 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
60 Mot inconnu : b1 => | intuos3 6x8 | PTZ-630 | A5 | 056a | 00b1 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
60 Mot inconnu : icons => | intuos3 6x8 | PTZ-630 | A5 | 056a | 00b1 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
60 Il manque un espace. => | intuos3 6x8 | PTZ-630 | A5 | 056a | 00b1 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
60 Mot inconnu : icon-ubuntu => | intuos3 6x8 | PTZ-630 | A5 | 056a | 00b1 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
60 Mot inconnu : icons => | intuos3 6x8 | PTZ-630 | A5 | 056a | 00b1 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
60 Il manque un espace. => | intuos3 6x8 | PTZ-630 | A5 | 056a | 00b1 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
60 Mot inconnu : icon-ubuntu => | intuos3 6x8 | PTZ-630 | A5 | 056a | 00b1 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |

61 Mot inconnu : intuos3 => | intuos3 6,25x10,67 | PTZ-630 | A5 Wide | 056a | 00b5 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
61 Si “x10” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => | intuos3 6,25x10,67 | PTZ-630 | A5 Wide | 056a | 00b5 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
61 Signe de multiplication typographique. => | intuos3 6,25x10,67 | PTZ-630 | A5 Wide | 056a | 00b5 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
61 Mot inconnu : x10 => | intuos3 6,25x10,67 | PTZ-630 | A5 Wide | 056a | 00b5 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
61 Mot inconnu : PTZ-630 => | intuos3 6,25x10,67 | PTZ-630 | A5 Wide | 056a | 00b5 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
61 Mot inconnu : A5 => | intuos3 6,25x10,67 | PTZ-630 | A5 Wide | 056a | 00b5 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
61 Mot inconnu : Wide => | intuos3 6,25x10,67 | PTZ-630 | A5 Wide | 056a | 00b5 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
61 Mot inconnu : b5 => | intuos3 6,25x10,67 | PTZ-630 | A5 Wide | 056a | 00b5 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
61 Mot inconnu : icons => | intuos3 6,25x10,67 | PTZ-630 | A5 Wide | 056a | 00b5 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
61 Il manque un espace. => | intuos3 6,25x10,67 | PTZ-630 | A5 Wide | 056a | 00b5 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
61 Mot inconnu : icon-ubuntu => | intuos3 6,25x10,67 | PTZ-630 | A5 Wide | 056a | 00b5 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
61 Mot inconnu : icons => | intuos3 6,25x10,67 | PTZ-630 | A5 Wide | 056a | 00b5 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
61 Il manque un espace. => | intuos3 6,25x10,67 | PTZ-630 | A5 Wide | 056a | 00b5 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
61 Mot inconnu : icon-ubuntu => | intuos3 6,25x10,67 | PTZ-630 | A5 Wide | 056a | 00b5 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |

62 Mot inconnu : intuos3 => | intuos3 9x12 | PTZ-930 | A4 | 056a | 00b2 | {{:icons:icon-ubuntu.png}} |{{:icons:icon-ubuntu.png|Reconnue par défaut.}} |
62 Signe de multiplication typographique. => | intuos3 9x12 | PTZ-930 | A4 | 056a | 00b2 | {{:icons:icon-ubuntu.png}} |{{:icons:icon-ubuntu.png|Reconnue par défaut.}} |
62 Mot inconnu : x12 => | intuos3 9x12 | PTZ-930 | A4 | 056a | 00b2 | {{:icons:icon-ubuntu.png}} |{{:icons:icon-ubuntu.png|Reconnue par défaut.}} |
62 Mot inconnu : PTZ-930 => | intuos3 9x12 | PTZ-930 | A4 | 056a | 00b2 | {{:icons:icon-ubuntu.png}} |{{:icons:icon-ubuntu.png|Reconnue par défaut.}} |
62 Mot inconnu : A4 => | intuos3 9x12 | PTZ-930 | A4 | 056a | 00b2 | {{:icons:icon-ubuntu.png}} |{{:icons:icon-ubuntu.png|Reconnue par défaut.}} |
62 Mot inconnu : b2 => | intuos3 9x12 | PTZ-930 | A4 | 056a | 00b2 | {{:icons:icon-ubuntu.png}} |{{:icons:icon-ubuntu.png|Reconnue par défaut.}} |
62 Mot inconnu : icons => | intuos3 9x12 | PTZ-930 | A4 | 056a | 00b2 | {{:icons:icon-ubuntu.png}} |{{:icons:icon-ubuntu.png|Reconnue par défaut.}} |
62 Il manque un espace. => | intuos3 9x12 | PTZ-930 | A4 | 056a | 00b2 | {{:icons:icon-ubuntu.png}} |{{:icons:icon-ubuntu.png|Reconnue par défaut.}} |
62 Mot inconnu : icon-ubuntu => | intuos3 9x12 | PTZ-930 | A4 | 056a | 00b2 | {{:icons:icon-ubuntu.png}} |{{:icons:icon-ubuntu.png|Reconnue par défaut.}} |
62 Mot inconnu : icons => | intuos3 9x12 | PTZ-930 | A4 | 056a | 00b2 | {{:icons:icon-ubuntu.png}} |{{:icons:icon-ubuntu.png|Reconnue par défaut.}} |
62 Il manque un espace. => | intuos3 9x12 | PTZ-930 | A4 | 056a | 00b2 | {{:icons:icon-ubuntu.png}} |{{:icons:icon-ubuntu.png|Reconnue par défaut.}} |
62 Mot inconnu : icon-ubuntu => | intuos3 9x12 | PTZ-930 | A4 | 056a | 00b2 | {{:icons:icon-ubuntu.png}} |{{:icons:icon-ubuntu.png|Reconnue par défaut.}} |

63 Mot inconnu : intuos3 => | intuos3 12x12 | PTZ-1230| A4 Oversize| 056a |  |  |  |
63 Signe de multiplication typographique. => | intuos3 12x12 | PTZ-1230| A4 Oversize| 056a |  |  |  |
63 Mot inconnu : x12 => | intuos3 12x12 | PTZ-1230| A4 Oversize| 056a |  |  |  |
63 Mot inconnu : PTZ-1230 => | intuos3 12x12 | PTZ-1230| A4 Oversize| 056a |  |  |  |
63 Mot inconnu : A4 => | intuos3 12x12 | PTZ-1230| A4 Oversize| 056a |  |  |  |
63 Mot inconnu : Oversize => | intuos3 12x12 | PTZ-1230| A4 Oversize| 056a |  |  |  |

64 Mot inconnu : intuos3 => | intuos3 12x19,2 | PTZ-1231W | A3 Wide |056a |  |  |  |
64 Signe de multiplication typographique. => | intuos3 12x19,2 | PTZ-1231W | A3 Wide |056a |  |  |  |
64 Mot inconnu : x19 => | intuos3 12x19,2 | PTZ-1231W | A3 Wide |056a |  |  |  |
64 Il manque un espace. => | intuos3 12x19,2 | PTZ-1231W | A3 Wide |056a |  |  |  |
64 Mot inconnu : PTZ-1231W => | intuos3 12x19,2 | PTZ-1231W | A3 Wide |056a |  |  |  |
64 Mot inconnu : A3 => | intuos3 12x19,2 | PTZ-1231W | A3 Wide |056a |  |  |  |
64 Mot inconnu : Wide => | intuos3 12x19,2 | PTZ-1231W | A3 Wide |056a |  |  |  |

65 Mot inconnu : intuos => | intuos 4S Wireless, M, L et XL |  |  |056a |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
65 Mot inconnu : Wireless => | intuos 4S Wireless, M, L et XL |  |  |056a |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
65 Mot inconnu : icons => | intuos 4S Wireless, M, L et XL |  |  |056a |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
65 Il manque un espace. => | intuos 4S Wireless, M, L et XL |  |  |056a |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
65 Mot inconnu : icon-ubuntu => | intuos 4S Wireless, M, L et XL |  |  |056a |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
65 Mot inconnu : icons => | intuos 4S Wireless, M, L et XL |  |  |056a |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
65 Il manque un espace. => | intuos 4S Wireless, M, L et XL |  |  |056a |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
65 Mot inconnu : icon-ubuntu => | intuos 4S Wireless, M, L et XL |  |  |056a |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |

66 Mot inconnu : intuos4M => | intuos4M |PTK-640 | | 056a | 00b9 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
66 Mot inconnu : PTK-640 => | intuos4M |PTK-640 | | 056a | 00b9 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
66 Mot inconnu : b9 => | intuos4M |PTK-640 | | 056a | 00b9 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
66 Mot inconnu : icons => | intuos4M |PTK-640 | | 056a | 00b9 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
66 Il manque un espace. => | intuos4M |PTK-640 | | 056a | 00b9 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
66 Mot inconnu : icon-ubuntu => | intuos4M |PTK-640 | | 056a | 00b9 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
66 Mot inconnu : icons => | intuos4M |PTK-640 | | 056a | 00b9 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
66 Il manque un espace. => | intuos4M |PTK-640 | | 056a | 00b9 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
66 Mot inconnu : icon-ubuntu => | intuos4M |PTK-640 | | 056a | 00b9 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |

67 Mot inconnu : intuos => | intuos 5 Touch S, Touch L, touch M, M et XL |  |  |056a |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
67 Mot inconnu : Touch => | intuos 5 Touch S, Touch L, touch M, M et XL |  |  |056a |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
67 Mot inconnu : Touch => | intuos 5 Touch S, Touch L, touch M, M et XL |  |  |056a |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
67 Mot inconnu : touch => | intuos 5 Touch S, Touch L, touch M, M et XL |  |  |056a |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
67 Mot inconnu : icons => | intuos 5 Touch S, Touch L, touch M, M et XL |  |  |056a |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
67 Il manque un espace. => | intuos 5 Touch S, Touch L, touch M, M et XL |  |  |056a |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
67 Mot inconnu : icon-ubuntu => | intuos 5 Touch S, Touch L, touch M, M et XL |  |  |056a |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
67 Mot inconnu : icons => | intuos 5 Touch S, Touch L, touch M, M et XL |  |  |056a |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
67 Il manque un espace. => | intuos 5 Touch S, Touch L, touch M, M et XL |  |  |056a |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
67 Mot inconnu : icon-ubuntu => | intuos 5 Touch S, Touch L, touch M, M et XL |  |  |056a |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |

68 Mot inconnu : intuos => | intuos creative Pen & Touch small (152x95mm) |CTH-490 | A5 | 056 | 033c | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | dépôts Ubuntu 14.04.3 LTS |
68 Mot inconnu : creative => | intuos creative Pen & Touch small (152x95mm) |CTH-490 | A5 | 056 | 033c | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | dépôts Ubuntu 14.04.3 LTS |
68 Mot inconnu : Pen => | intuos creative Pen & Touch small (152x95mm) |CTH-490 | A5 | 056 | 033c | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | dépôts Ubuntu 14.04.3 LTS |
68 Mot inconnu : Touch => | intuos creative Pen & Touch small (152x95mm) |CTH-490 | A5 | 056 | 033c | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | dépôts Ubuntu 14.04.3 LTS |
68 Signe de multiplication typographique. => | intuos creative Pen & Touch small (152x95mm) |CTH-490 | A5 | 056 | 033c | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | dépôts Ubuntu 14.04.3 LTS |
68 Mot inconnu : x95mm => | intuos creative Pen & Touch small (152x95mm) |CTH-490 | A5 | 056 | 033c | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | dépôts Ubuntu 14.04.3 LTS |
68 Mot inconnu : CTH-490 => | intuos creative Pen & Touch small (152x95mm) |CTH-490 | A5 | 056 | 033c | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | dépôts Ubuntu 14.04.3 LTS |
68 Mot inconnu : A5 => | intuos creative Pen & Touch small (152x95mm) |CTH-490 | A5 | 056 | 033c | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | dépôts Ubuntu 14.04.3 LTS |
68 Il manque un espace. => | intuos creative Pen & Touch small (152x95mm) |CTH-490 | A5 | 056 | 033c | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | dépôts Ubuntu 14.04.3 LTS |
68 Mot inconnu : modeles => | intuos creative Pen & Touch small (152x95mm) |CTH-490 | A5 | 056 | 033c | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | dépôts Ubuntu 14.04.3 LTS |
68 Mot inconnu : laptop_work => | intuos creative Pen & Touch small (152x95mm) |CTH-490 | A5 | 056 | 033c | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | dépôts Ubuntu 14.04.3 LTS |
68 Il manque un espace. => | intuos creative Pen & Touch small (152x95mm) |CTH-490 | A5 | 056 | 033c | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | dépôts Ubuntu 14.04.3 LTS |
68 Mot inconnu : modeles => | intuos creative Pen & Touch small (152x95mm) |CTH-490 | A5 | 056 | 033c | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | dépôts Ubuntu 14.04.3 LTS |
