2 Mot inconnu : acer => {{tag>matériel portable acer}}

6 Il manque un espace insécable. => <note>Vous cherchez un autre modèle?\\ Allez sur la [[:liste_portables_acer|liste des portables Acer]] </note>
6 Mot inconnu : liste_portables_acer => <note>Vous cherchez un autre modèle?\\ Allez sur la [[:liste_portables_acer|liste des portables Acer]] </note>

8 Il manque un espace insécable. => ====== Liste des portables « Acer » Aspire 1xxx ======
8 Il manque un espace insécable. => ====== Liste des portables « Acer » Aspire 1xxx ======
8 Mot inconnu : xxx => ====== Liste des portables « Acer » Aspire 1xxx ======

10 Mot inconnu : xxx => Voici tous les micro-ordinateurs portables Acer Aspire 1xxx ayant été testés sous Ubuntu, classés par ordre alphabétique.

14 Mot inconnu : liste_portables_acer => [[liste_portables_acer#legende|Légende des icônes]]

16 Mot inconnu : liste_portables_acer => ^ Modèles ^ 64b ^ État ^ [[liste_portables_acer#legende|Versions]] ^ Commentaires ^

17 Espace(s) surnuméraire(s) à supprimer. => |  Aspire 1300  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:8.04]] | Pilotes Savage beaucoup mieux gérés depuis Dapper. Veille et hibernation ok |
24 Mot inconnu : ESC => |  Aspire 1425p  | :-D | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:10.04]] \\ [[:11.04]] |  l'Accéléromètre (G-Sensor) pour la rotation automatique de l'écran, Rotation manuelle de l'écran, ainsi que l'utilisation du bouton P et le bouton au dessus de la touche ESC, demandent quelques manipulations. Beaucoup d'optimisations également disponibles pour la gestion de l'énergie…Informations également valides pour l'Aspire 1825PT(Z), 1420P*, 1820P*, …cf: http://ubuntuforums.org/showthread.php?t=1486671 , touchpad à réviser. touchscreen fonctionne comme un [[:touchpad]]. Multitouch nécessite de lire la configuration et d'adapter le paquet **[[apt>ginn]]**, nativement présent dans Natty Narwhal. Puis de le lancer en mode console ou encore de le mettre au démarrage (Applications au démarrage -> commande : ginn). Clavier virtuel : [[apt://xvkbd]] ne fonctionne pas, ce qui implique d'utiliser le clavier virtuel par défaut : [[apt://onboard]]. L'inconvénient est qu'on ne peut pas lancer onboard en même temps que l'affichage de la liste des applications (interface unity). |
24 Il manque un espace. => |  Aspire 1425p  | :-D | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:10.04]] \\ [[:11.04]] |  l'Accéléromètre (G-Sensor) pour la rotation automatique de l'écran, Rotation manuelle de l'écran, ainsi que l'utilisation du bouton P et le bouton au dessus de la touche ESC, demandent quelques manipulations. Beaucoup d'optimisations également disponibles pour la gestion de l'énergie…Informations également valides pour l'Aspire 1825PT(Z), 1420P*, 1820P*, …cf: http://ubuntuforums.org/showthread.php?t=1486671 , touchpad à réviser. touchscreen fonctionne comme un [[:touchpad]]. Multitouch nécessite de lire la configuration et d'adapter le paquet **[[apt>ginn]]**, nativement présent dans Natty Narwhal. Puis de le lancer en mode console ou encore de le mettre au démarrage (Applications au démarrage -> commande : ginn). Clavier virtuel : [[apt://xvkbd]] ne fonctionne pas, ce qui implique d'utiliser le clavier virtuel par défaut : [[apt://onboard]]. L'inconvénient est qu'on ne peut pas lancer onboard en même temps que l'affichage de la liste des applications (interface unity). |
24 Typographie : pas de virgule avant les points de suspension. => |  Aspire 1425p  | :-D | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:10.04]] \\ [[:11.04]] |  l'Accéléromètre (G-Sensor) pour la rotation automatique de l'écran, Rotation manuelle de l'écran, ainsi que l'utilisation du bouton P et le bouton au dessus de la touche ESC, demandent quelques manipulations. Beaucoup d'optimisations également disponibles pour la gestion de l'énergie…Informations également valides pour l'Aspire 1825PT(Z), 1420P*, 1820P*, …cf: http://ubuntuforums.org/showthread.php?t=1486671 , touchpad à réviser. touchscreen fonctionne comme un [[:touchpad]]. Multitouch nécessite de lire la configuration et d'adapter le paquet **[[apt>ginn]]**, nativement présent dans Natty Narwhal. Puis de le lancer en mode console ou encore de le mettre au démarrage (Applications au démarrage -> commande : ginn). Clavier virtuel : [[apt://xvkbd]] ne fonctionne pas, ce qui implique d'utiliser le clavier virtuel par défaut : [[apt://onboard]]. L'inconvénient est qu'on ne peut pas lancer onboard en même temps que l'affichage de la liste des applications (interface unity). |
24 Il manque un espace insécable. => |  Aspire 1425p  | :-D | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:10.04]] \\ [[:11.04]] |  l'Accéléromètre (G-Sensor) pour la rotation automatique de l'écran, Rotation manuelle de l'écran, ainsi que l'utilisation du bouton P et le bouton au dessus de la touche ESC, demandent quelques manipulations. Beaucoup d'optimisations également disponibles pour la gestion de l'énergie…Informations également valides pour l'Aspire 1825PT(Z), 1420P*, 1820P*, …cf: http://ubuntuforums.org/showthread.php?t=1486671 , touchpad à réviser. touchscreen fonctionne comme un [[:touchpad]]. Multitouch nécessite de lire la configuration et d'adapter le paquet **[[apt>ginn]]**, nativement présent dans Natty Narwhal. Puis de le lancer en mode console ou encore de le mettre au démarrage (Applications au démarrage -> commande : ginn). Clavier virtuel : [[apt://xvkbd]] ne fonctionne pas, ce qui implique d'utiliser le clavier virtuel par défaut : [[apt://onboard]]. L'inconvénient est qu'on ne peut pas lancer onboard en même temps que l'affichage de la liste des applications (interface unity). |
24 Pas d’espace avant une virgule. => |  Aspire 1425p  | :-D | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:10.04]] \\ [[:11.04]] |  l'Accéléromètre (G-Sensor) pour la rotation automatique de l'écran, Rotation manuelle de l'écran, ainsi que l'utilisation du bouton P et le bouton au dessus de la touche ESC, demandent quelques manipulations. Beaucoup d'optimisations également disponibles pour la gestion de l'énergie…Informations également valides pour l'Aspire 1825PT(Z), 1420P*, 1820P*, …cf: http://ubuntuforums.org/showthread.php?t=1486671 , touchpad à réviser. touchscreen fonctionne comme un [[:touchpad]]. Multitouch nécessite de lire la configuration et d'adapter le paquet **[[apt>ginn]]**, nativement présent dans Natty Narwhal. Puis de le lancer en mode console ou encore de le mettre au démarrage (Applications au démarrage -> commande : ginn). Clavier virtuel : [[apt://xvkbd]] ne fonctionne pas, ce qui implique d'utiliser le clavier virtuel par défaut : [[apt://onboard]]. L'inconvénient est qu'on ne peut pas lancer onboard en même temps que l'affichage de la liste des applications (interface unity). |
24 Mot inconnu : touchpad => |  Aspire 1425p  | :-D | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:10.04]] \\ [[:11.04]] |  l'Accéléromètre (G-Sensor) pour la rotation automatique de l'écran, Rotation manuelle de l'écran, ainsi que l'utilisation du bouton P et le bouton au dessus de la touche ESC, demandent quelques manipulations. Beaucoup d'optimisations également disponibles pour la gestion de l'énergie…Informations également valides pour l'Aspire 1825PT(Z), 1420P*, 1820P*, …cf: http://ubuntuforums.org/showthread.php?t=1486671 , touchpad à réviser. touchscreen fonctionne comme un [[:touchpad]]. Multitouch nécessite de lire la configuration et d'adapter le paquet **[[apt>ginn]]**, nativement présent dans Natty Narwhal. Puis de le lancer en mode console ou encore de le mettre au démarrage (Applications au démarrage -> commande : ginn). Clavier virtuel : [[apt://xvkbd]] ne fonctionne pas, ce qui implique d'utiliser le clavier virtuel par défaut : [[apt://onboard]]. L'inconvénient est qu'on ne peut pas lancer onboard en même temps que l'affichage de la liste des applications (interface unity). |
24 Mot inconnu : touchscreen => |  Aspire 1425p  | :-D | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:10.04]] \\ [[:11.04]] |  l'Accéléromètre (G-Sensor) pour la rotation automatique de l'écran, Rotation manuelle de l'écran, ainsi que l'utilisation du bouton P et le bouton au dessus de la touche ESC, demandent quelques manipulations. Beaucoup d'optimisations également disponibles pour la gestion de l'énergie…Informations également valides pour l'Aspire 1825PT(Z), 1420P*, 1820P*, …cf: http://ubuntuforums.org/showthread.php?t=1486671 , touchpad à réviser. touchscreen fonctionne comme un [[:touchpad]]. Multitouch nécessite de lire la configuration et d'adapter le paquet **[[apt>ginn]]**, nativement présent dans Natty Narwhal. Puis de le lancer en mode console ou encore de le mettre au démarrage (Applications au démarrage -> commande : ginn). Clavier virtuel : [[apt://xvkbd]] ne fonctionne pas, ce qui implique d'utiliser le clavier virtuel par défaut : [[apt://onboard]]. L'inconvénient est qu'on ne peut pas lancer onboard en même temps que l'affichage de la liste des applications (interface unity). |
24 Mot inconnu : touchpad => |  Aspire 1425p  | :-D | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:10.04]] \\ [[:11.04]] |  l'Accéléromètre (G-Sensor) pour la rotation automatique de l'écran, Rotation manuelle de l'écran, ainsi que l'utilisation du bouton P et le bouton au dessus de la touche ESC, demandent quelques manipulations. Beaucoup d'optimisations également disponibles pour la gestion de l'énergie…Informations également valides pour l'Aspire 1825PT(Z), 1420P*, 1820P*, …cf: http://ubuntuforums.org/showthread.php?t=1486671 , touchpad à réviser. touchscreen fonctionne comme un [[:touchpad]]. Multitouch nécessite de lire la configuration et d'adapter le paquet **[[apt>ginn]]**, nativement présent dans Natty Narwhal. Puis de le lancer en mode console ou encore de le mettre au démarrage (Applications au démarrage -> commande : ginn). Clavier virtuel : [[apt://xvkbd]] ne fonctionne pas, ce qui implique d'utiliser le clavier virtuel par défaut : [[apt://onboard]]. L'inconvénient est qu'on ne peut pas lancer onboard en même temps que l'affichage de la liste des applications (interface unity). |
24 Mot inconnu : Multitouch => |  Aspire 1425p  | :-D | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:10.04]] \\ [[:11.04]] |  l'Accéléromètre (G-Sensor) pour la rotation automatique de l'écran, Rotation manuelle de l'écran, ainsi que l'utilisation du bouton P et le bouton au dessus de la touche ESC, demandent quelques manipulations. Beaucoup d'optimisations également disponibles pour la gestion de l'énergie…Informations également valides pour l'Aspire 1825PT(Z), 1420P*, 1820P*, …cf: http://ubuntuforums.org/showthread.php?t=1486671 , touchpad à réviser. touchscreen fonctionne comme un [[:touchpad]]. Multitouch nécessite de lire la configuration et d'adapter le paquet **[[apt>ginn]]**, nativement présent dans Natty Narwhal. Puis de le lancer en mode console ou encore de le mettre au démarrage (Applications au démarrage -> commande : ginn). Clavier virtuel : [[apt://xvkbd]] ne fonctionne pas, ce qui implique d'utiliser le clavier virtuel par défaut : [[apt://onboard]]. L'inconvénient est qu'on ne peut pas lancer onboard en même temps que l'affichage de la liste des applications (interface unity). |
24 Mot inconnu : apt => |  Aspire 1425p  | :-D | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:10.04]] \\ [[:11.04]] |  l'Accéléromètre (G-Sensor) pour la rotation automatique de l'écran, Rotation manuelle de l'écran, ainsi que l'utilisation du bouton P et le bouton au dessus de la touche ESC, demandent quelques manipulations. Beaucoup d'optimisations également disponibles pour la gestion de l'énergie…Informations également valides pour l'Aspire 1825PT(Z), 1420P*, 1820P*, …cf: http://ubuntuforums.org/showthread.php?t=1486671 , touchpad à réviser. touchscreen fonctionne comme un [[:touchpad]]. Multitouch nécessite de lire la configuration et d'adapter le paquet **[[apt>ginn]]**, nativement présent dans Natty Narwhal. Puis de le lancer en mode console ou encore de le mettre au démarrage (Applications au démarrage -> commande : ginn). Clavier virtuel : [[apt://xvkbd]] ne fonctionne pas, ce qui implique d'utiliser le clavier virtuel par défaut : [[apt://onboard]]. L'inconvénient est qu'on ne peut pas lancer onboard en même temps que l'affichage de la liste des applications (interface unity). |
24 Mot inconnu : ginn => |  Aspire 1425p  | :-D | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:10.04]] \\ [[:11.04]] |  l'Accéléromètre (G-Sensor) pour la rotation automatique de l'écran, Rotation manuelle de l'écran, ainsi que l'utilisation du bouton P et le bouton au dessus de la touche ESC, demandent quelques manipulations. Beaucoup d'optimisations également disponibles pour la gestion de l'énergie…Informations également valides pour l'Aspire 1825PT(Z), 1420P*, 1820P*, …cf: http://ubuntuforums.org/showthread.php?t=1486671 , touchpad à réviser. touchscreen fonctionne comme un [[:touchpad]]. Multitouch nécessite de lire la configuration et d'adapter le paquet **[[apt>ginn]]**, nativement présent dans Natty Narwhal. Puis de le lancer en mode console ou encore de le mettre au démarrage (Applications au démarrage -> commande : ginn). Clavier virtuel : [[apt://xvkbd]] ne fonctionne pas, ce qui implique d'utiliser le clavier virtuel par défaut : [[apt://onboard]]. L'inconvénient est qu'on ne peut pas lancer onboard en même temps que l'affichage de la liste des applications (interface unity). |
24 Mot inconnu : Natty => |  Aspire 1425p  | :-D | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:10.04]] \\ [[:11.04]] |  l'Accéléromètre (G-Sensor) pour la rotation automatique de l'écran, Rotation manuelle de l'écran, ainsi que l'utilisation du bouton P et le bouton au dessus de la touche ESC, demandent quelques manipulations. Beaucoup d'optimisations également disponibles pour la gestion de l'énergie…Informations également valides pour l'Aspire 1825PT(Z), 1420P*, 1820P*, …cf: http://ubuntuforums.org/showthread.php?t=1486671 , touchpad à réviser. touchscreen fonctionne comme un [[:touchpad]]. Multitouch nécessite de lire la configuration et d'adapter le paquet **[[apt>ginn]]**, nativement présent dans Natty Narwhal. Puis de le lancer en mode console ou encore de le mettre au démarrage (Applications au démarrage -> commande : ginn). Clavier virtuel : [[apt://xvkbd]] ne fonctionne pas, ce qui implique d'utiliser le clavier virtuel par défaut : [[apt://onboard]]. L'inconvénient est qu'on ne peut pas lancer onboard en même temps que l'affichage de la liste des applications (interface unity). |
24 Mot inconnu : Narwhal => |  Aspire 1425p  | :-D | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:10.04]] \\ [[:11.04]] |  l'Accéléromètre (G-Sensor) pour la rotation automatique de l'écran, Rotation manuelle de l'écran, ainsi que l'utilisation du bouton P et le bouton au dessus de la touche ESC, demandent quelques manipulations. Beaucoup d'optimisations également disponibles pour la gestion de l'énergie…Informations également valides pour l'Aspire 1825PT(Z), 1420P*, 1820P*, …cf: http://ubuntuforums.org/showthread.php?t=1486671 , touchpad à réviser. touchscreen fonctionne comme un [[:touchpad]]. Multitouch nécessite de lire la configuration et d'adapter le paquet **[[apt>ginn]]**, nativement présent dans Natty Narwhal. Puis de le lancer en mode console ou encore de le mettre au démarrage (Applications au démarrage -> commande : ginn). Clavier virtuel : [[apt://xvkbd]] ne fonctionne pas, ce qui implique d'utiliser le clavier virtuel par défaut : [[apt://onboard]]. L'inconvénient est qu'on ne peut pas lancer onboard en même temps que l'affichage de la liste des applications (interface unity). |
24 Il manque un espace insécable. => |  Aspire 1425p  | :-D | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:10.04]] \\ [[:11.04]] |  l'Accéléromètre (G-Sensor) pour la rotation automatique de l'écran, Rotation manuelle de l'écran, ainsi que l'utilisation du bouton P et le bouton au dessus de la touche ESC, demandent quelques manipulations. Beaucoup d'optimisations également disponibles pour la gestion de l'énergie…Informations également valides pour l'Aspire 1825PT(Z), 1420P*, 1820P*, …cf: http://ubuntuforums.org/showthread.php?t=1486671 , touchpad à réviser. touchscreen fonctionne comme un [[:touchpad]]. Multitouch nécessite de lire la configuration et d'adapter le paquet **[[apt>ginn]]**, nativement présent dans Natty Narwhal. Puis de le lancer en mode console ou encore de le mettre au démarrage (Applications au démarrage -> commande : ginn). Clavier virtuel : [[apt://xvkbd]] ne fonctionne pas, ce qui implique d'utiliser le clavier virtuel par défaut : [[apt://onboard]]. L'inconvénient est qu'on ne peut pas lancer onboard en même temps que l'affichage de la liste des applications (interface unity). |
24 Mot inconnu : ginn => |  Aspire 1425p  | :-D | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:10.04]] \\ [[:11.04]] |  l'Accéléromètre (G-Sensor) pour la rotation automatique de l'écran, Rotation manuelle de l'écran, ainsi que l'utilisation du bouton P et le bouton au dessus de la touche ESC, demandent quelques manipulations. Beaucoup d'optimisations également disponibles pour la gestion de l'énergie…Informations également valides pour l'Aspire 1825PT(Z), 1420P*, 1820P*, …cf: http://ubuntuforums.org/showthread.php?t=1486671 , touchpad à réviser. touchscreen fonctionne comme un [[:touchpad]]. Multitouch nécessite de lire la configuration et d'adapter le paquet **[[apt>ginn]]**, nativement présent dans Natty Narwhal. Puis de le lancer en mode console ou encore de le mettre au démarrage (Applications au démarrage -> commande : ginn). Clavier virtuel : [[apt://xvkbd]] ne fonctionne pas, ce qui implique d'utiliser le clavier virtuel par défaut : [[apt://onboard]]. L'inconvénient est qu'on ne peut pas lancer onboard en même temps que l'affichage de la liste des applications (interface unity). |
24 Il manque un espace insécable. => |  Aspire 1425p  | :-D | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:10.04]] \\ [[:11.04]] |  l'Accéléromètre (G-Sensor) pour la rotation automatique de l'écran, Rotation manuelle de l'écran, ainsi que l'utilisation du bouton P et le bouton au dessus de la touche ESC, demandent quelques manipulations. Beaucoup d'optimisations également disponibles pour la gestion de l'énergie…Informations également valides pour l'Aspire 1825PT(Z), 1420P*, 1820P*, …cf: http://ubuntuforums.org/showthread.php?t=1486671 , touchpad à réviser. touchscreen fonctionne comme un [[:touchpad]]. Multitouch nécessite de lire la configuration et d'adapter le paquet **[[apt>ginn]]**, nativement présent dans Natty Narwhal. Puis de le lancer en mode console ou encore de le mettre au démarrage (Applications au démarrage -> commande : ginn). Clavier virtuel : [[apt://xvkbd]] ne fonctionne pas, ce qui implique d'utiliser le clavier virtuel par défaut : [[apt://onboard]]. L'inconvénient est qu'on ne peut pas lancer onboard en même temps que l'affichage de la liste des applications (interface unity). |
24 Mot inconnu : apt => |  Aspire 1425p  | :-D | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:10.04]] \\ [[:11.04]] |  l'Accéléromètre (G-Sensor) pour la rotation automatique de l'écran, Rotation manuelle de l'écran, ainsi que l'utilisation du bouton P et le bouton au dessus de la touche ESC, demandent quelques manipulations. Beaucoup d'optimisations également disponibles pour la gestion de l'énergie…Informations également valides pour l'Aspire 1825PT(Z), 1420P*, 1820P*, …cf: http://ubuntuforums.org/showthread.php?t=1486671 , touchpad à réviser. touchscreen fonctionne comme un [[:touchpad]]. Multitouch nécessite de lire la configuration et d'adapter le paquet **[[apt>ginn]]**, nativement présent dans Natty Narwhal. Puis de le lancer en mode console ou encore de le mettre au démarrage (Applications au démarrage -> commande : ginn). Clavier virtuel : [[apt://xvkbd]] ne fonctionne pas, ce qui implique d'utiliser le clavier virtuel par défaut : [[apt://onboard]]. L'inconvénient est qu'on ne peut pas lancer onboard en même temps que l'affichage de la liste des applications (interface unity). |
24 Mot inconnu : xvkbd => |  Aspire 1425p  | :-D | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:10.04]] \\ [[:11.04]] |  l'Accéléromètre (G-Sensor) pour la rotation automatique de l'écran, Rotation manuelle de l'écran, ainsi que l'utilisation du bouton P et le bouton au dessus de la touche ESC, demandent quelques manipulations. Beaucoup d'optimisations également disponibles pour la gestion de l'énergie…Informations également valides pour l'Aspire 1825PT(Z), 1420P*, 1820P*, …cf: http://ubuntuforums.org/showthread.php?t=1486671 , touchpad à réviser. touchscreen fonctionne comme un [[:touchpad]]. Multitouch nécessite de lire la configuration et d'adapter le paquet **[[apt>ginn]]**, nativement présent dans Natty Narwhal. Puis de le lancer en mode console ou encore de le mettre au démarrage (Applications au démarrage -> commande : ginn). Clavier virtuel : [[apt://xvkbd]] ne fonctionne pas, ce qui implique d'utiliser le clavier virtuel par défaut : [[apt://onboard]]. L'inconvénient est qu'on ne peut pas lancer onboard en même temps que l'affichage de la liste des applications (interface unity). |
24 Il manque un espace insécable. => |  Aspire 1425p  | :-D | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:10.04]] \\ [[:11.04]] |  l'Accéléromètre (G-Sensor) pour la rotation automatique de l'écran, Rotation manuelle de l'écran, ainsi que l'utilisation du bouton P et le bouton au dessus de la touche ESC, demandent quelques manipulations. Beaucoup d'optimisations également disponibles pour la gestion de l'énergie…Informations également valides pour l'Aspire 1825PT(Z), 1420P*, 1820P*, …cf: http://ubuntuforums.org/showthread.php?t=1486671 , touchpad à réviser. touchscreen fonctionne comme un [[:touchpad]]. Multitouch nécessite de lire la configuration et d'adapter le paquet **[[apt>ginn]]**, nativement présent dans Natty Narwhal. Puis de le lancer en mode console ou encore de le mettre au démarrage (Applications au démarrage -> commande : ginn). Clavier virtuel : [[apt://xvkbd]] ne fonctionne pas, ce qui implique d'utiliser le clavier virtuel par défaut : [[apt://onboard]]. L'inconvénient est qu'on ne peut pas lancer onboard en même temps que l'affichage de la liste des applications (interface unity). |
24 Mot inconnu : apt => |  Aspire 1425p  | :-D | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:10.04]] \\ [[:11.04]] |  l'Accéléromètre (G-Sensor) pour la rotation automatique de l'écran, Rotation manuelle de l'écran, ainsi que l'utilisation du bouton P et le bouton au dessus de la touche ESC, demandent quelques manipulations. Beaucoup d'optimisations également disponibles pour la gestion de l'énergie…Informations également valides pour l'Aspire 1825PT(Z), 1420P*, 1820P*, …cf: http://ubuntuforums.org/showthread.php?t=1486671 , touchpad à réviser. touchscreen fonctionne comme un [[:touchpad]]. Multitouch nécessite de lire la configuration et d'adapter le paquet **[[apt>ginn]]**, nativement présent dans Natty Narwhal. Puis de le lancer en mode console ou encore de le mettre au démarrage (Applications au démarrage -> commande : ginn). Clavier virtuel : [[apt://xvkbd]] ne fonctionne pas, ce qui implique d'utiliser le clavier virtuel par défaut : [[apt://onboard]]. L'inconvénient est qu'on ne peut pas lancer onboard en même temps que l'affichage de la liste des applications (interface unity). |
24 Mot inconnu : onboard => |  Aspire 1425p  | :-D | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:10.04]] \\ [[:11.04]] |  l'Accéléromètre (G-Sensor) pour la rotation automatique de l'écran, Rotation manuelle de l'écran, ainsi que l'utilisation du bouton P et le bouton au dessus de la touche ESC, demandent quelques manipulations. Beaucoup d'optimisations également disponibles pour la gestion de l'énergie…Informations également valides pour l'Aspire 1825PT(Z), 1420P*, 1820P*, …cf: http://ubuntuforums.org/showthread.php?t=1486671 , touchpad à réviser. touchscreen fonctionne comme un [[:touchpad]]. Multitouch nécessite de lire la configuration et d'adapter le paquet **[[apt>ginn]]**, nativement présent dans Natty Narwhal. Puis de le lancer en mode console ou encore de le mettre au démarrage (Applications au démarrage -> commande : ginn). Clavier virtuel : [[apt://xvkbd]] ne fonctionne pas, ce qui implique d'utiliser le clavier virtuel par défaut : [[apt://onboard]]. L'inconvénient est qu'on ne peut pas lancer onboard en même temps que l'affichage de la liste des applications (interface unity). |
24 Mot inconnu : onboard => |  Aspire 1425p  | :-D | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:10.04]] \\ [[:11.04]] |  l'Accéléromètre (G-Sensor) pour la rotation automatique de l'écran, Rotation manuelle de l'écran, ainsi que l'utilisation du bouton P et le bouton au dessus de la touche ESC, demandent quelques manipulations. Beaucoup d'optimisations également disponibles pour la gestion de l'énergie…Informations également valides pour l'Aspire 1825PT(Z), 1420P*, 1820P*, …cf: http://ubuntuforums.org/showthread.php?t=1486671 , touchpad à réviser. touchscreen fonctionne comme un [[:touchpad]]. Multitouch nécessite de lire la configuration et d'adapter le paquet **[[apt>ginn]]**, nativement présent dans Natty Narwhal. Puis de le lancer en mode console ou encore de le mettre au démarrage (Applications au démarrage -> commande : ginn). Clavier virtuel : [[apt://xvkbd]] ne fonctionne pas, ce qui implique d'utiliser le clavier virtuel par défaut : [[apt://onboard]]. L'inconvénient est qu'on ne peut pas lancer onboard en même temps que l'affichage de la liste des applications (interface unity). |
24 Mot inconnu : unity => |  Aspire 1425p  | :-D | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:10.04]] \\ [[:11.04]] |  l'Accéléromètre (G-Sensor) pour la rotation automatique de l'écran, Rotation manuelle de l'écran, ainsi que l'utilisation du bouton P et le bouton au dessus de la touche ESC, demandent quelques manipulations. Beaucoup d'optimisations également disponibles pour la gestion de l'énergie…Informations également valides pour l'Aspire 1825PT(Z), 1420P*, 1820P*, …cf: http://ubuntuforums.org/showthread.php?t=1486671 , touchpad à réviser. touchscreen fonctionne comme un [[:touchpad]]. Multitouch nécessite de lire la configuration et d'adapter le paquet **[[apt>ginn]]**, nativement présent dans Natty Narwhal. Puis de le lancer en mode console ou encore de le mettre au démarrage (Applications au démarrage -> commande : ginn). Clavier virtuel : [[apt://xvkbd]] ne fonctionne pas, ce qui implique d'utiliser le clavier virtuel par défaut : [[apt://onboard]]. L'inconvénient est qu'on ne peut pas lancer onboard en même temps que l'affichage de la liste des applications (interface unity). |

25 Espace(s) surnuméraire(s) à supprimer. => |  Aspire 1500  | :-)  | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Tout marche sauf les touches spéciales du clavier. | 
25 Mot inconnu : icons => |  Aspire 1500  | :-)  | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Tout marche sauf les touches spéciales du clavier. | 
25 Il manque un espace. => |  Aspire 1500  | :-)  | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Tout marche sauf les touches spéciales du clavier. | 
25 Mot inconnu : icon-ubuntu => |  Aspire 1500  | :-)  | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Tout marche sauf les touches spéciales du clavier. | 
25 Mot inconnu : png => |  Aspire 1500  | :-)  | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Tout marche sauf les touches spéciales du clavier. | 
25 Il manque un espace insécable. => |  Aspire 1500  | :-)  | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Tout marche sauf les touches spéciales du clavier. | 
25 Il manque un espace. => |  Aspire 1500  | :-)  | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Tout marche sauf les touches spéciales du clavier. | 
25 Mot inconnu : nolink20 => |  Aspire 1500  | :-)  | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Tout marche sauf les touches spéciales du clavier. | 
25 Espace(s) en fin de ligne à supprimer. => |  Aspire 1500  | :-)  | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Tout marche sauf les touches spéciales du clavier. | 

26 Espace(s) surnuméraire(s) à supprimer. => |  Aspire 1513  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | À part la mise en veille qui fait planter le système, tout ce que j'ai testé fonctionne, même les touches spéciales du clavier (il faut néanmoins les attribuer dans le gestionnaire de raccourcis clavier de gnome). Pour le Wifi, le pilote est inclus mais il faut installer soi-même le //firmware// (cf. documentation). | 
26 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => |  Aspire 1513  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | À part la mise en veille qui fait planter le système, tout ce que j'ai testé fonctionne, même les touches spéciales du clavier (il faut néanmoins les attribuer dans le gestionnaire de raccourcis clavier de gnome). Pour le Wifi, le pilote est inclus mais il faut installer soi-même le //firmware// (cf. documentation). | 
