2 Mot inconnu : tnt => {{tag>tnt carte_tv realtek}}
2 Mot inconnu : carte_tv => {{tag>tnt carte_tv realtek}}
2 Mot inconnu : realtek => {{tag>tnt carte_tv realtek}}

5 Mot inconnu : Chipset => ====== Chipset : Realtek RTL2832U ======
5 Il manque un espace insécable. => ====== Chipset : Realtek RTL2832U ======
5 Mot inconnu : Realtek => ====== Chipset : Realtek RTL2832U ======
5 Mot inconnu : RTL2832U => ====== Chipset : Realtek RTL2832U ======

7 Mot inconnu : Antti => <note tip>[[http://palosaari.fi/linux/|Antti Palosaari]] a découvert qu'il était possible d'utiliser ces clés en tant que récepteur radio [[SDR]] ce qui peut s'avérer très utile notamment en [[navigation_maritime|navigation maritime]]. La procédure est décrite **[[rtl-sdr|sur cette page]]**</note>
7 Mot inconnu : Palosaari => <note tip>[[http://palosaari.fi/linux/|Antti Palosaari]] a découvert qu'il était possible d'utiliser ces clés en tant que récepteur radio [[SDR]] ce qui peut s'avérer très utile notamment en [[navigation_maritime|navigation maritime]]. La procédure est décrite **[[rtl-sdr|sur cette page]]**</note>
7 Mot inconnu : SDR => <note tip>[[http://palosaari.fi/linux/|Antti Palosaari]] a découvert qu'il était possible d'utiliser ces clés en tant que récepteur radio [[SDR]] ce qui peut s'avérer très utile notamment en [[navigation_maritime|navigation maritime]]. La procédure est décrite **[[rtl-sdr|sur cette page]]**</note>
7 Mot inconnu : navigation_maritime => <note tip>[[http://palosaari.fi/linux/|Antti Palosaari]] a découvert qu'il était possible d'utiliser ces clés en tant que récepteur radio [[SDR]] ce qui peut s'avérer très utile notamment en [[navigation_maritime|navigation maritime]]. La procédure est décrite **[[rtl-sdr|sur cette page]]**</note>
7 Mot inconnu : rtl-sdr => <note tip>[[http://palosaari.fi/linux/|Antti Palosaari]] a découvert qu'il était possible d'utiliser ces clés en tant que récepteur radio [[SDR]] ce qui peut s'avérer très utile notamment en [[navigation_maritime|navigation maritime]]. La procédure est décrite **[[rtl-sdr|sur cette page]]**</note>

11 Mot inconnu : DVB-T => De nombreuses clés USB DVB-T sont fabriquées à partir du **démodulateur RTL2832U** :
11 Mot inconnu : RTL2832U => De nombreuses clés USB DVB-T sont fabriquées à partir du **démodulateur RTL2832U** :
11 Il manque un espace insécable. => De nombreuses clés USB DVB-T sont fabriquées à partir du **démodulateur RTL2832U** :

14 Espace(s) surnuméraire(s) à supprimer. => ^                        Marque                   ^   Product ID    ^  Produit                    ^  Tuner  ^
14 Mot inconnu : Product => ^                        Marque                   ^   Product ID    ^  Produit                    ^  Tuner  ^
14 Espace(s) surnuméraire(s) à supprimer. => ^                        Marque                   ^   Product ID    ^  Produit                    ^  Tuner  ^
14 Espace(s) surnuméraire(s) à supprimer. => ^                        Marque                   ^   Product ID    ^  Produit                    ^  Tuner  ^
14 Espace(s) surnuméraire(s) à supprimer. => ^                        Marque                   ^   Product ID    ^  Produit                    ^  Tuner  ^

15 Mot inconnu : Realtek => |  **Realtek Semiconductor Corp.**  |  0BDA:2832    |TRUST 16738          |              |
53 Mot inconnu : AGPK => | :::                           |  1B80:D395    |Peak 102569AGPK       |   FC0012    |
53 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D395    |Peak 102569AGPK       |   FC0012    |
53 Mot inconnu : FC0012 => | :::                           |  1B80:D395    |Peak 102569AGPK       |   FC0012    |
53 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D395    |Peak 102569AGPK       |   FC0012    |

54 Une de ces ponctuations est superflue. => | :::                           |  1B80:D396    |           |       |
54 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D396    |           |       |
54 Mot inconnu : B80 => | :::                           |  1B80:D396    |           |       |
54 Il manque un espace. => | :::                           |  1B80:D396    |           |       |
54 Mot inconnu : D396 => | :::                           |  1B80:D396    |           |       |
54 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D396    |           |       |

55 Une de ces ponctuations est superflue. => | :::                           |  1B80:D397    |           |       |
55 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D397    |           |       |
55 Mot inconnu : B80 => | :::                           |  1B80:D397    |           |       |
55 Il manque un espace. => | :::                           |  1B80:D397    |           |       |
55 Mot inconnu : D397 => | :::                           |  1B80:D397    |           |       |
55 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D397    |           |       |

56 Une de ces ponctuations est superflue. => | :::                           |  1B80:D398    |           |       |
56 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D398    |           |       |
56 Mot inconnu : B80 => | :::                           |  1B80:D398    |           |       |
56 Il manque un espace. => | :::                           |  1B80:D398    |           |       |
56 Mot inconnu : D398 => | :::                           |  1B80:D398    |           |       |
56 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D398    |           |       |

57 Une de ces ponctuations est superflue. => | :::                           |  1B80:D39A    |           |       |
57 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D39A    |           |       |
57 Mot inconnu : B80 => | :::                           |  1B80:D39A    |           |       |
57 Il manque un espace. => | :::                           |  1B80:D39A    |           |       |
57 Mot inconnu : D39A => | :::                           |  1B80:D39A    |           |       |
57 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D39A    |           |       |

58 Une de ces ponctuations est superflue. => | :::                           |  1B80:D39B    |           |       |
58 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D39B    |           |       |
58 Mot inconnu : B80 => | :::                           |  1B80:D39B    |           |       |
58 Il manque un espace. => | :::                           |  1B80:D39B    |           |       |
58 Mot inconnu : D39B => | :::                           |  1B80:D39B    |           |       |
58 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D39B    |           |       |

59 Une de ces ponctuations est superflue. => | :::                           |  1B80:D39C    |           |       |
59 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D39C    |           |       |
59 Mot inconnu : B80 => | :::                           |  1B80:D39C    |           |       |
59 Il manque un espace. => | :::                           |  1B80:D39C    |           |       |
59 Mot inconnu : D39C => | :::                           |  1B80:D39C    |           |       |
59 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D39C    |           |       |

60 Une de ces ponctuations est superflue. => | :::                           |  1B80:D39D    |SVEON STV20 DVB-T USB & FM      |     FC0012  |
60 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D39D    |SVEON STV20 DVB-T USB & FM      |     FC0012  |
60 Mot inconnu : B80 => | :::                           |  1B80:D39D    |SVEON STV20 DVB-T USB & FM      |     FC0012  |
60 Il manque un espace. => | :::                           |  1B80:D39D    |SVEON STV20 DVB-T USB & FM      |     FC0012  |
60 Mot inconnu : D39D => | :::                           |  1B80:D39D    |SVEON STV20 DVB-T USB & FM      |     FC0012  |
60 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D39D    |SVEON STV20 DVB-T USB & FM      |     FC0012  |
60 Mot inconnu : SVEON => | :::                           |  1B80:D39D    |SVEON STV20 DVB-T USB & FM      |     FC0012  |
60 Mot inconnu : STV20 => | :::                           |  1B80:D39D    |SVEON STV20 DVB-T USB & FM      |     FC0012  |
60 Mot inconnu : DVB-T => | :::                           |  1B80:D39D    |SVEON STV20 DVB-T USB & FM      |     FC0012  |
60 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D39D    |SVEON STV20 DVB-T USB & FM      |     FC0012  |
60 Mot inconnu : FC0012 => | :::                           |  1B80:D39D    |SVEON STV20 DVB-T USB & FM      |     FC0012  |
60 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D39D    |SVEON STV20 DVB-T USB & FM      |     FC0012  |

61 Une de ces ponctuations est superflue. => | :::                           |  1B80:D39E    |           |       |
61 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D39E    |           |       |
61 Mot inconnu : B80 => | :::                           |  1B80:D39E    |           |       |
61 Il manque un espace. => | :::                           |  1B80:D39E    |           |       |
61 Mot inconnu : D39E => | :::                           |  1B80:D39E    |           |       |
61 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D39E    |           |       |

62 Une de ces ponctuations est superflue. => | :::                           |  1B80:E77B    |           |       |
62 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:E77B    |           |       |
62 Mot inconnu : B80 => | :::                           |  1B80:E77B    |           |       |
62 Il manque un espace. => | :::                           |  1B80:E77B    |           |       |
62 Mot inconnu : E77B => | :::                           |  1B80:E77B    |           |       |
62 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:E77B    |           |       |

63 Une de ces ponctuations est superflue. => | :::                           |  1B80:D3A1    |           |       |
63 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D3A1    |           |       |
63 Mot inconnu : B80 => | :::                           |  1B80:D3A1    |           |       |
63 Il manque un espace. => | :::                           |  1B80:D3A1    |           |       |
63 Mot inconnu : D3A1 => | :::                           |  1B80:D3A1    |           |       |
63 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D3A1    |           |       |

64 Une de ces ponctuations est superflue. => | :::                           |  1B80:D3A4    |Twintech UT-40        |    FC0013   |
64 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D3A4    |Twintech UT-40        |    FC0013   |
64 Mot inconnu : B80 => | :::                           |  1B80:D3A4    |Twintech UT-40        |    FC0013   |
64 Il manque un espace. => | :::                           |  1B80:D3A4    |Twintech UT-40        |    FC0013   |
64 Mot inconnu : D3A4 => | :::                           |  1B80:D3A4    |Twintech UT-40        |    FC0013   |
64 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D3A4    |Twintech UT-40        |    FC0013   |
64 Mot inconnu : Twintech => | :::                           |  1B80:D3A4    |Twintech UT-40        |    FC0013   |
64 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D3A4    |Twintech UT-40        |    FC0013   |
64 Mot inconnu : FC0013 => | :::                           |  1B80:D3A4    |Twintech UT-40        |    FC0013   |
64 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D3A4    |Twintech UT-40        |    FC0013   |

65 Une de ces ponctuations est superflue. => | :::                           |  1B80:E41D    |           |       |
65 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:E41D    |           |       |
65 Mot inconnu : B80 => | :::                           |  1B80:E41D    |           |       |
65 Il manque un espace. => | :::                           |  1B80:E41D    |           |       |
65 Mot inconnu : E41D => | :::                           |  1B80:E41D    |           |       |
65 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:E41D    |           |       |

66 Mot inconnu : Development => |  **YUAN High-Tech Development Co., Ltd**  | 1164:6601    |           |       |
66 Mot inconnu : Co => |  **YUAN High-Tech Development Co., Ltd**  | 1164:6601    |           |       |
66 Pas de virgule après un point (sauf éventuellement après une abréviation). => |  **YUAN High-Tech Development Co., Ltd**  | 1164:6601    |           |       |
66 Mot inconnu : Ltd => |  **YUAN High-Tech Development Co., Ltd**  | 1164:6601    |           |       |
66 Espace(s) surnuméraire(s) à supprimer. => |  **YUAN High-Tech Development Co., Ltd**  | 1164:6601    |           |       |

67 Mot inconnu : Electronics => |  **G-Tek Electronics Group**      |  1f4d:0837    |           |       |
67 Mot inconnu : Group => |  **G-Tek Electronics Group**      |  1f4d:0837    |           |       |
67 Mot inconnu : f4d => |  **G-Tek Electronics Group**      |  1f4d:0837    |           |       |
67 Il manque un espace. => |  **G-Tek Electronics Group**      |  1f4d:0837    |           |       |
67 Espace(s) surnuméraire(s) à supprimer. => |  **G-Tek Electronics Group**      |  1f4d:0837    |           |       |

68 Une de ces ponctuations est superflue. => | :::                           |  1f4d:B803    |GTek T803       |    FC0012   |
68 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1f4d:B803    |GTek T803       |    FC0012   |
68 Mot inconnu : f4d => | :::                           |  1f4d:B803    |GTek T803       |    FC0012   |
68 Il manque un espace. => | :::                           |  1f4d:B803    |GTek T803       |    FC0012   |
68 Mot inconnu : B803 => | :::                           |  1f4d:B803    |GTek T803       |    FC0012   |
68 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1f4d:B803    |GTek T803       |    FC0012   |
68 Mot inconnu : GTek => | :::                           |  1f4d:B803    |GTek T803       |    FC0012   |
68 Mot inconnu : T803 => | :::                           |  1f4d:B803    |GTek T803       |    FC0012   |
68 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1f4d:B803    |GTek T803       |    FC0012   |
68 Mot inconnu : FC0012 => | :::                           |  1f4d:B803    |GTek T803       |    FC0012   |
68 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1f4d:B803    |GTek T803       |    FC0012   |

69 Une de ces ponctuations est superflue. => | :::                           |  1f4d:C803    |Lifeview LV5TDeluxe       |   FC0012    |
69 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1f4d:C803    |Lifeview LV5TDeluxe       |   FC0012    |
69 Mot inconnu : f4d => | :::                           |  1f4d:C803    |Lifeview LV5TDeluxe       |   FC0012    |
69 Il manque un espace. => | :::                           |  1f4d:C803    |Lifeview LV5TDeluxe       |   FC0012    |
69 Mot inconnu : C803 => | :::                           |  1f4d:C803    |Lifeview LV5TDeluxe       |   FC0012    |
69 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1f4d:C803    |Lifeview LV5TDeluxe       |   FC0012    |
69 Mot inconnu : Lifeview => | :::                           |  1f4d:C803    |Lifeview LV5TDeluxe       |   FC0012    |
69 Mot inconnu : LV5TDeluxe => | :::                           |  1f4d:C803    |Lifeview LV5TDeluxe       |   FC0012    |
69 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1f4d:C803    |Lifeview LV5TDeluxe       |   FC0012    |
69 Mot inconnu : FC0012 => | :::                           |  1f4d:C803    |Lifeview LV5TDeluxe       |   FC0012    |
69 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1f4d:C803    |Lifeview LV5TDeluxe       |   FC0012    |

70 Une de ces ponctuations est superflue. => | :::                           |  1f4d:D803    |           |       |
70 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1f4d:D803    |           |       |
70 Mot inconnu : f4d => | :::                           |  1f4d:D803    |           |       |
70 Il manque un espace. => | :::                           |  1f4d:D803    |           |       |
70 Mot inconnu : D803 => | :::                           |  1f4d:D803    |           |       |
70 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1f4d:D803    |           |       |

71 Une de ces ponctuations est superflue. => | :::                           |  1f4d:C280    |           |       |
71 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1f4d:C280    |           |       |
71 Mot inconnu : f4d => | :::                           |  1f4d:C280    |           |       |
71 Il manque un espace. => | :::                           |  1f4d:C280    |           |       |
71 Mot inconnu : C280 => | :::                           |  1f4d:C280    |           |       |
71 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1f4d:C280    |           |       |

72 Une de ces ponctuations est superflue. => | :::                           |  1f4d:D286    |           |       |
72 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1f4d:D286    |           |       |
72 Mot inconnu : f4d => | :::                           |  1f4d:D286    |           |       |
72 Il manque un espace. => | :::                           |  1f4d:D286    |           |       |
72 Mot inconnu : D286 => | :::                           |  1f4d:D286    |           |       |
72 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1f4d:D286    |           |       |

73 Une de ces ponctuations est superflue. => | :::                           |  1f4d:0139    |           |       |
73 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1f4d:0139    |           |       |
73 Mot inconnu : f4d => | :::                           |  1f4d:0139    |           |       |
73 Il manque un espace. => | :::                           |  1f4d:0139    |           |       |
73 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1f4d:0139    |           |       |

74 Une de ces ponctuations est superflue. => | :::                           |  1f4d:A683    |           |       |
74 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1f4d:A683    |           |       |
74 Mot inconnu : f4d => | :::                           |  1f4d:A683    |           |       |
74 Il manque un espace. => | :::                           |  1f4d:A683    |           |       |
74 Mot inconnu : A683 => | :::                           |  1f4d:A683    |           |       |
74 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1f4d:A683    |           |       |

75 Mot inconnu : Leadtek => |    **Leadtek Research, Inc.**     |  0413:6680    |           |       |
75 Mot inconnu : Research => |    **Leadtek Research, Inc.**     |  0413:6680    |           |       |
75 Mot inconnu : Inc => |    **Leadtek Research, Inc.**     |  0413:6680    |           |       |
75 Espace(s) surnuméraire(s) à supprimer. => |    **Leadtek Research, Inc.**     |  0413:6680    |           |       |

76 Une de ces ponctuations est superflue. => | :::                           |  0413:6F11    |           |       |
76 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0413:6F11    |           |       |
76 Mot inconnu : F11 => | :::                           |  0413:6F11    |           |       |
76 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0413:6F11    |           |       |

77 Mot inconnu : Prolink => |    **Prolink Microsystems Corp.**  |  1554:5013    |           |       |
77 Mot inconnu : Microsystems => |    **Prolink Microsystems Corp.**  |  1554:5013    |           |       |
77 Mot inconnu : Corp => |    **Prolink Microsystems Corp.**  |  1554:5013    |           |       |
77 Espace(s) surnuméraire(s) à supprimer. => |    **Prolink Microsystems Corp.**  |  1554:5013    |           |       |

78 Une de ces ponctuations est superflue. => | :::                           |  1554:5020    |PV-DT235U(RN)-F           |  FC0012     |
78 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1554:5020    |PV-DT235U(RN)-F           |  FC0012     |
78 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1554:5020    |PV-DT235U(RN)-F           |  FC0012     |
78 Mot inconnu : PV-DT235U => | :::                           |  1554:5020    |PV-DT235U(RN)-F           |  FC0012     |
78 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1554:5020    |PV-DT235U(RN)-F           |  FC0012     |
78 Mot inconnu : FC0012 => | :::                           |  1554:5020    |PV-DT235U(RN)-F           |  FC0012     |
78 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1554:5020    |PV-DT235U(RN)-F           |  FC0012     |

79 Une de ces ponctuations est superflue. => | :::                           |  1554:5026    |           |       |
79 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1554:5026    |           |       |
79 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1554:5026    |           |       |

80 Mot inconnu : Compro => |        **Compro**  |  185B:0620    |Compro Videomate U620F         |     E4000      |
80 Il manque un espace. => |        **Compro**  |  185B:0620    |Compro Videomate U620F         |     E4000      |
80 Espace(s) surnuméraire(s) à supprimer. => |        **Compro**  |  185B:0620    |Compro Videomate U620F         |     E4000      |
80 Mot inconnu : Compro => |        **Compro**  |  185B:0620    |Compro Videomate U620F         |     E4000      |
80 Mot inconnu : Videomate => |        **Compro**  |  185B:0620    |Compro Videomate U620F         |     E4000      |
80 Mot inconnu : U620F => |        **Compro**  |  185B:0620    |Compro Videomate U620F         |     E4000      |
80 Espace(s) surnuméraire(s) à supprimer. => |        **Compro**  |  185B:0620    |Compro Videomate U620F         |     E4000      |
80 Mot inconnu : E4000 => |        **Compro**  |  185B:0620    |Compro Videomate U620F         |     E4000      |
80 Espace(s) surnuméraire(s) à supprimer. => |        **Compro**  |  185B:0620    |Compro Videomate U620F         |     E4000      |

81 Une de ces ponctuations est superflue. => | :::                           |  185B:0630    |           |       |
81 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  185B:0630    |           |       |
81 Il manque un espace. => | :::                           |  185B:0630    |           |       |
81 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  185B:0630    |           |       |

82 Une de ces ponctuations est superflue. => | :::                           |  185B:0640    |           |       |
82 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  185B:0640    |           |       |
82 Il manque un espace. => | :::                           |  185B:0640    |           |       |
82 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  185B:0640    |           |       |

83 Une de ces ponctuations est superflue. => | :::                           |  185B:0650    |Compro Videomate U650F        |  E4000      |
83 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  185B:0650    |Compro Videomate U650F        |  E4000      |
83 Il manque un espace. => | :::                           |  185B:0650    |Compro Videomate U650F        |  E4000      |
83 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  185B:0650    |Compro Videomate U650F        |  E4000      |
83 Mot inconnu : Compro => | :::                           |  185B:0650    |Compro Videomate U650F        |  E4000      |
83 Mot inconnu : Videomate => | :::                           |  185B:0650    |Compro Videomate U650F        |  E4000      |
83 Mot inconnu : U650F => | :::                           |  185B:0650    |Compro Videomate U650F        |  E4000      |
83 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  185B:0650    |Compro Videomate U650F        |  E4000      |
83 Mot inconnu : E4000 => | :::                           |  185B:0650    |Compro Videomate U650F        |  E4000      |
83 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  185B:0650    |Compro Videomate U650F        |  E4000      |

84 Une de ces ponctuations est superflue. => | :::                           |  185B:0680    |           |       |
84 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  185B:0680    |           |       |
84 Il manque un espace. => | :::                           |  185B:0680    |           |       |
84 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  185B:0680    |           |       |

85 Une de ces ponctuations est superflue. => | :::                           |  185B:9580    |           |       |
85 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  185B:9580    |           |       |
85 Il manque un espace. => | :::                           |  185B:9580    |           |       |
85 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  185B:9580    |           |       |

86 Une de ces ponctuations est superflue. => | :::                           |  185B:9550    |           |       |
86 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  185B:9550    |           |       |
86 Il manque un espace. => | :::                           |  185B:9550    |           |       |
86 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  185B:9550    |           |       |

87 Une de ces ponctuations est superflue. => | :::                           |  185B:9540    |           |       |
87 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  185B:9540    |           |       |
87 Il manque un espace. => | :::                           |  185B:9540    |           |       |
87 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  185B:9540    |           |       |

88 Une de ces ponctuations est superflue. => | :::                           |  185B:9530    |           |       |
88 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  185B:9530    |           |       |
88 Il manque un espace. => | :::                           |  185B:9530    |           |       |
88 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  185B:9530    |           |       |

89 Une de ces ponctuations est superflue. => | :::                           |  185B:9520    |           |       |
89 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  185B:9520    |           |       |
89 Il manque un espace. => | :::                           |  185B:9520    |           |       |
89 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  185B:9520    |           |       |

90 Mot inconnu : Electech => |  **Golden Bridge Electech Inc.**  |  1680:A332    |DVB-T Dongle | |
90 Mot inconnu : Inc => |  **Golden Bridge Electech Inc.**  |  1680:A332    |DVB-T Dongle | |
90 Mot inconnu : A332 => |  **Golden Bridge Electech Inc.**  |  1680:A332    |DVB-T Dongle | |
90 Espace(s) surnuméraire(s) à supprimer. => |  **Golden Bridge Electech Inc.**  |  1680:A332    |DVB-T Dongle | |
90 Mot inconnu : DVB-T => |  **Golden Bridge Electech Inc.**  |  1680:A332    |DVB-T Dongle | |

91 Mot inconnu : IMC => |  **IMC Networks **                 |  13D3:3234    |DVB-T FTA Half Minicard | |
91 Mot inconnu : Networks => |  **IMC Networks **                 |  13D3:3234    |DVB-T FTA Half Minicard | |
91 Mot inconnu : D3 => |  **IMC Networks **                 |  13D3:3234    |DVB-T FTA Half Minicard | |
91 Il manque un espace. => |  **IMC Networks **                 |  13D3:3234    |DVB-T FTA Half Minicard | |
91 Espace(s) surnuméraire(s) à supprimer. => |  **IMC Networks **                 |  13D3:3234    |DVB-T FTA Half Minicard | |
91 Mot inconnu : DVB-T => |  **IMC Networks **                 |  13D3:3234    |DVB-T FTA Half Minicard | |
91 Mot inconnu : FTA => |  **IMC Networks **                 |  13D3:3234    |DVB-T FTA Half Minicard | |
91 Mot inconnu : Half => |  **IMC Networks **                 |  13D3:3234    |DVB-T FTA Half Minicard | |
91 Mot inconnu : Minicard => |  **IMC Networks **                 |  13D3:3234    |DVB-T FTA Half Minicard | |

92 Une de ces ponctuations est superflue. => | :::                           |  13D3:3274    |DVB-T Dongle | |
92 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  13D3:3274    |DVB-T Dongle | |
92 Mot inconnu : D3 => | :::                           |  13D3:3274    |DVB-T Dongle | |
92 Il manque un espace. => | :::                           |  13D3:3274    |DVB-T Dongle | |
92 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  13D3:3274    |DVB-T Dongle | |
92 Mot inconnu : DVB-T => | :::                           |  13D3:3274    |DVB-T Dongle | |

93 Une de ces ponctuations est superflue. => | :::                           |  13D3:3282    |DVB-T + GPS Minicard | |
93 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  13D3:3282    |DVB-T + GPS Minicard | |
93 Mot inconnu : D3 => | :::                           |  13D3:3282    |DVB-T + GPS Minicard | |
93 Il manque un espace. => | :::                           |  13D3:3282    |DVB-T + GPS Minicard | |
93 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  13D3:3282    |DVB-T + GPS Minicard | |
93 Mot inconnu : DVB-T => | :::                           |  13D3:3282    |DVB-T + GPS Minicard | |
93 Mot inconnu : Minicard => | :::                           |  13D3:3282    |DVB-T + GPS Minicard | |

94 Mot inconnu : TerraTec => |    **TerraTec Electronic GmbH**   |  0ccd:00A9    |RTL2838 DVB-T COFDM Demodulator  | |
94 Mot inconnu : Electronic => |    **TerraTec Electronic GmbH**   |  0ccd:00A9    |RTL2838 DVB-T COFDM Demodulator  | |
94 Mot inconnu : GmbH => |    **TerraTec Electronic GmbH**   |  0ccd:00A9    |RTL2838 DVB-T COFDM Demodulator  | |
94 Il manque un espace. => |    **TerraTec Electronic GmbH**   |  0ccd:00A9    |RTL2838 DVB-T COFDM Demodulator  | |
94 Mot inconnu : A9 => |    **TerraTec Electronic GmbH**   |  0ccd:00A9    |RTL2838 DVB-T COFDM Demodulator  | |
94 Espace(s) surnuméraire(s) à supprimer. => |    **TerraTec Electronic GmbH**   |  0ccd:00A9    |RTL2838 DVB-T COFDM Demodulator  | |
94 Mot inconnu : RTL2838 => |    **TerraTec Electronic GmbH**   |  0ccd:00A9    |RTL2838 DVB-T COFDM Demodulator  | |
94 Mot inconnu : DVB-T => |    **TerraTec Electronic GmbH**   |  0ccd:00A9    |RTL2838 DVB-T COFDM Demodulator  | |
94 Mot inconnu : COFDM => |    **TerraTec Electronic GmbH**   |  0ccd:00A9    |RTL2838 DVB-T COFDM Demodulator  | |
94 Mot inconnu : Demodulator => |    **TerraTec Electronic GmbH**   |  0ccd:00A9    |RTL2838 DVB-T COFDM Demodulator  | |
94 Espace(s) surnuméraire(s) à supprimer. => |    **TerraTec Electronic GmbH**   |  0ccd:00A9    |RTL2838 DVB-T COFDM Demodulator  | |

95 Une de ces ponctuations est superflue. => |    :::   |  :::    |TerraTec Cinergy T Stick Black (rev 1) |FC0012 |
95 Espace(s) surnuméraire(s) à supprimer. => |    :::   |  :::    |TerraTec Cinergy T Stick Black (rev 1) |FC0012 |
95 Une de ces ponctuations est superflue. => |    :::   |  :::    |TerraTec Cinergy T Stick Black (rev 1) |FC0012 |
95 Espace(s) surnuméraire(s) à supprimer. => |    :::   |  :::    |TerraTec Cinergy T Stick Black (rev 1) |FC0012 |
95 Mot inconnu : TerraTec => |    :::   |  :::    |TerraTec Cinergy T Stick Black (rev 1) |FC0012 |
95 Mot inconnu : Cinergy => |    :::   |  :::    |TerraTec Cinergy T Stick Black (rev 1) |FC0012 |
