6 Il manque un espace insécable. => ====== Liste des portables « SONY Vaio » ======
6 Mot inconnu : Vaio => ====== Liste des portables « SONY Vaio » ======
6 Il manque un espace insécable. => ====== Liste des portables « SONY Vaio » ======

7 Il manque un espace insécable. => Voici tous les micro-ordinateurs portables « SONY Vaio » ayant été testés sous Ubuntu, classés par ordre alphabétique.
7 Mot inconnu : Vaio => Voici tous les micro-ordinateurs portables « SONY Vaio » ayant été testés sous Ubuntu, classés par ordre alphabétique.
7 Il manque un espace insécable. => Voici tous les micro-ordinateurs portables « SONY Vaio » ayant été testés sous Ubuntu, classés par ordre alphabétique.

11 Mot inconnu : icons => | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Fonctionne immédiatement. |
11 Il manque un espace. => | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Fonctionne immédiatement. |
11 Mot inconnu : icon-ubuntu => | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Fonctionne immédiatement. |

12 Il manque un espace. => | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | Fonctionne après configuration. |
12 Mot inconnu : modeles => | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | Fonctionne après configuration. |
12 Mot inconnu : laptop_work => | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | Fonctionne après configuration. |

13 Mot inconnu : icons => | {{:icons:process-stop.png?nolink|Ne fonctionne pas}} | Le modèle ne semble pas être supporté par Ubuntu. |
13 Il manque un espace. => | {{:icons:process-stop.png?nolink|Ne fonctionne pas}} | Le modèle ne semble pas être supporté par Ubuntu. |
13 Il manque un espace insécable. => | {{:icons:process-stop.png?nolink|Ne fonctionne pas}} | Le modèle ne semble pas être supporté par Ubuntu. |
13 Il manque un espace. => | {{:icons:process-stop.png?nolink|Ne fonctionne pas}} | Le modèle ne semble pas être supporté par Ubuntu. |
13 Mot inconnu : nolink => | {{:icons:process-stop.png?nolink|Ne fonctionne pas}} | Le modèle ne semble pas être supporté par Ubuntu. |

16 Mot inconnu : Vaio => ===== Vaio PCG =====
16 Mot inconnu : PCG => ===== Vaio PCG =====

18 Espace(s) surnuméraire(s) à supprimer. => ^ Modèle ^ Installation ^ Matériel ^ Commentaires  ^  [[:versions|Version]]  ^

19 Mot inconnu : PCG-7A1M => | PCG-7A1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Marche très bien excepté la touche Fn, le pilote graphique propriétaire 173 semble plus rapide que le current. | Lucid |

72 Mot inconnu : SVF15N1S2ES => | SVF15N1S2ES | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Exemple d'installation en mode EFI d'un dual-boot Ubuntu 14.04 / Windows 8 préinstallé : [[http://forum.ubuntu-fr.org/viewtopic.php?pid=18092851| post pierre3401]] | Trusty |
72 Mot inconnu : icons => | SVF15N1S2ES | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Exemple d'installation en mode EFI d'un dual-boot Ubuntu 14.04 / Windows 8 préinstallé : [[http://forum.ubuntu-fr.org/viewtopic.php?pid=18092851| post pierre3401]] | Trusty |
72 Il manque un espace. => | SVF15N1S2ES | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Exemple d'installation en mode EFI d'un dual-boot Ubuntu 14.04 / Windows 8 préinstallé : [[http://forum.ubuntu-fr.org/viewtopic.php?pid=18092851| post pierre3401]] | Trusty |
72 Mot inconnu : icon-ubuntu => | SVF15N1S2ES | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Exemple d'installation en mode EFI d'un dual-boot Ubuntu 14.04 / Windows 8 préinstallé : [[http://forum.ubuntu-fr.org/viewtopic.php?pid=18092851| post pierre3401]] | Trusty |
72 Mot inconnu : icons => | SVF15N1S2ES | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Exemple d'installation en mode EFI d'un dual-boot Ubuntu 14.04 / Windows 8 préinstallé : [[http://forum.ubuntu-fr.org/viewtopic.php?pid=18092851| post pierre3401]] | Trusty |
72 Il manque un espace. => | SVF15N1S2ES | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Exemple d'installation en mode EFI d'un dual-boot Ubuntu 14.04 / Windows 8 préinstallé : [[http://forum.ubuntu-fr.org/viewtopic.php?pid=18092851| post pierre3401]] | Trusty |
72 Mot inconnu : icon-ubuntu => | SVF15N1S2ES | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Exemple d'installation en mode EFI d'un dual-boot Ubuntu 14.04 / Windows 8 préinstallé : [[http://forum.ubuntu-fr.org/viewtopic.php?pid=18092851| post pierre3401]] | Trusty |
72 Mot inconnu : EFI => | SVF15N1S2ES | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Exemple d'installation en mode EFI d'un dual-boot Ubuntu 14.04 / Windows 8 préinstallé : [[http://forum.ubuntu-fr.org/viewtopic.php?pid=18092851| post pierre3401]] | Trusty |
72 Mot inconnu : dual-boot => | SVF15N1S2ES | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Exemple d'installation en mode EFI d'un dual-boot Ubuntu 14.04 / Windows 8 préinstallé : [[http://forum.ubuntu-fr.org/viewtopic.php?pid=18092851| post pierre3401]] | Trusty |
72 Accord de nombre erroné avec « 8 » : « préinstallé » devrait être au pluriel. => | SVF15N1S2ES | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Exemple d'installation en mode EFI d'un dual-boot Ubuntu 14.04 / Windows 8 préinstallé : [[http://forum.ubuntu-fr.org/viewtopic.php?pid=18092851| post pierre3401]] | Trusty |
72 Il manque un espace insécable. => | SVF15N1S2ES | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Exemple d'installation en mode EFI d'un dual-boot Ubuntu 14.04 / Windows 8 préinstallé : [[http://forum.ubuntu-fr.org/viewtopic.php?pid=18092851| post pierre3401]] | Trusty |
72 Mot inconnu : pierre3401 => | SVF15N1S2ES | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Exemple d'installation en mode EFI d'un dual-boot Ubuntu 14.04 / Windows 8 préinstallé : [[http://forum.ubuntu-fr.org/viewtopic.php?pid=18092851| post pierre3401]] | Trusty |

73 Mot inconnu : SVF152C29M => | SVF152C29M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Ubuntu 16.10 à la place de Windows8 | Xenial Xerus |
73 Mot inconnu : icons => | SVF152C29M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Ubuntu 16.10 à la place de Windows8 | Xenial Xerus |
73 Il manque un espace. => | SVF152C29M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Ubuntu 16.10 à la place de Windows8 | Xenial Xerus |
73 Mot inconnu : icon-ubuntu => | SVF152C29M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Ubuntu 16.10 à la place de Windows8 | Xenial Xerus |
73 Mot inconnu : icons => | SVF152C29M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Ubuntu 16.10 à la place de Windows8 | Xenial Xerus |
73 Il manque un espace. => | SVF152C29M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Ubuntu 16.10 à la place de Windows8 | Xenial Xerus |
73 Mot inconnu : icon-ubuntu => | SVF152C29M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Ubuntu 16.10 à la place de Windows8 | Xenial Xerus |
73 Mot inconnu : Windows8 => | SVF152C29M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Ubuntu 16.10 à la place de Windows8 | Xenial Xerus |
73 Mot inconnu : Xerus => | SVF152C29M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Ubuntu 16.10 à la place de Windows8 | Xenial Xerus |

79 Mot inconnu : Vaio => ===== Vaio SVP =====
79 Mot inconnu : SVP => ===== Vaio SVP =====

81 Espace(s) surnuméraire(s) à supprimer. => ^ Modèle ^ Installation ^ Matériel ^ Commentaires  ^  [[:versions|Version]]  ^

82 Mot inconnu : SVP1321C5E => | SVP1321C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Ubuntu 13.10 en mode EFI en dual-boot avec Windows 8 préinstallé. Secure Boot activé (en final) : voir [[http://forum.ubuntu-fr.org/viewtopic.php?id=1495061 | post tototralala]] | Saucy |
82 Il manque un espace. => | SVP1321C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Ubuntu 13.10 en mode EFI en dual-boot avec Windows 8 préinstallé. Secure Boot activé (en final) : voir [[http://forum.ubuntu-fr.org/viewtopic.php?id=1495061 | post tototralala]] | Saucy |
82 Mot inconnu : modeles => | SVP1321C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Ubuntu 13.10 en mode EFI en dual-boot avec Windows 8 préinstallé. Secure Boot activé (en final) : voir [[http://forum.ubuntu-fr.org/viewtopic.php?id=1495061 | post tototralala]] | Saucy |
82 Mot inconnu : laptop_work => | SVP1321C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Ubuntu 13.10 en mode EFI en dual-boot avec Windows 8 préinstallé. Secure Boot activé (en final) : voir [[http://forum.ubuntu-fr.org/viewtopic.php?id=1495061 | post tototralala]] | Saucy |
82 Mot inconnu : icons => | SVP1321C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Ubuntu 13.10 en mode EFI en dual-boot avec Windows 8 préinstallé. Secure Boot activé (en final) : voir [[http://forum.ubuntu-fr.org/viewtopic.php?id=1495061 | post tototralala]] | Saucy |
82 Il manque un espace. => | SVP1321C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Ubuntu 13.10 en mode EFI en dual-boot avec Windows 8 préinstallé. Secure Boot activé (en final) : voir [[http://forum.ubuntu-fr.org/viewtopic.php?id=1495061 | post tototralala]] | Saucy |
82 Mot inconnu : icon-ubuntu => | SVP1321C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Ubuntu 13.10 en mode EFI en dual-boot avec Windows 8 préinstallé. Secure Boot activé (en final) : voir [[http://forum.ubuntu-fr.org/viewtopic.php?id=1495061 | post tototralala]] | Saucy |
82 Mot inconnu : EFI => | SVP1321C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Ubuntu 13.10 en mode EFI en dual-boot avec Windows 8 préinstallé. Secure Boot activé (en final) : voir [[http://forum.ubuntu-fr.org/viewtopic.php?id=1495061 | post tototralala]] | Saucy |
82 Mot inconnu : dual-boot => | SVP1321C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Ubuntu 13.10 en mode EFI en dual-boot avec Windows 8 préinstallé. Secure Boot activé (en final) : voir [[http://forum.ubuntu-fr.org/viewtopic.php?id=1495061 | post tototralala]] | Saucy |
82 Accord de nombre erroné avec « 8 » : « préinstallé » devrait être au pluriel. => | SVP1321C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Ubuntu 13.10 en mode EFI en dual-boot avec Windows 8 préinstallé. Secure Boot activé (en final) : voir [[http://forum.ubuntu-fr.org/viewtopic.php?id=1495061 | post tototralala]] | Saucy |
82 Mot inconnu : Secure => | SVP1321C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Ubuntu 13.10 en mode EFI en dual-boot avec Windows 8 préinstallé. Secure Boot activé (en final) : voir [[http://forum.ubuntu-fr.org/viewtopic.php?id=1495061 | post tototralala]] | Saucy |
82 Mot inconnu : Boot => | SVP1321C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Ubuntu 13.10 en mode EFI en dual-boot avec Windows 8 préinstallé. Secure Boot activé (en final) : voir [[http://forum.ubuntu-fr.org/viewtopic.php?id=1495061 | post tototralala]] | Saucy |
82 Il manque un espace insécable. => | SVP1321C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Ubuntu 13.10 en mode EFI en dual-boot avec Windows 8 préinstallé. Secure Boot activé (en final) : voir [[http://forum.ubuntu-fr.org/viewtopic.php?id=1495061 | post tototralala]] | Saucy |
82 Mot inconnu : tototralala => | SVP1321C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Ubuntu 13.10 en mode EFI en dual-boot avec Windows 8 préinstallé. Secure Boot activé (en final) : voir [[http://forum.ubuntu-fr.org/viewtopic.php?id=1495061 | post tototralala]] | Saucy |
82 Mot inconnu : Saucy => | SVP1321C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Ubuntu 13.10 en mode EFI en dual-boot avec Windows 8 préinstallé. Secure Boot activé (en final) : voir [[http://forum.ubuntu-fr.org/viewtopic.php?id=1495061 | post tototralala]] | Saucy |

83 Mot inconnu : SVP1322C5E => | SVP1322C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Trusty en mode EFI (Windows 8 a été viré) avec "Secure Boot" désactivé. Option de boot "libata.force=noncq" nécessaire après installation : voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=16430051#p16430051 | post aegedus]] (à noter que le nom du modèle gravé sur le boîtier de l'ordi est SVP132A2CM alors que le Bios indique SVP1322C5E ) | Trusty |
83 Il manque un espace. => | SVP1322C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Trusty en mode EFI (Windows 8 a été viré) avec "Secure Boot" désactivé. Option de boot "libata.force=noncq" nécessaire après installation : voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=16430051#p16430051 | post aegedus]] (à noter que le nom du modèle gravé sur le boîtier de l'ordi est SVP132A2CM alors que le Bios indique SVP1322C5E ) | Trusty |
83 Mot inconnu : modeles => | SVP1322C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Trusty en mode EFI (Windows 8 a été viré) avec "Secure Boot" désactivé. Option de boot "libata.force=noncq" nécessaire après installation : voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=16430051#p16430051 | post aegedus]] (à noter que le nom du modèle gravé sur le boîtier de l'ordi est SVP132A2CM alors que le Bios indique SVP1322C5E ) | Trusty |
83 Mot inconnu : laptop_work => | SVP1322C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Trusty en mode EFI (Windows 8 a été viré) avec "Secure Boot" désactivé. Option de boot "libata.force=noncq" nécessaire après installation : voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=16430051#p16430051 | post aegedus]] (à noter que le nom du modèle gravé sur le boîtier de l'ordi est SVP132A2CM alors que le Bios indique SVP1322C5E ) | Trusty |
83 Mot inconnu : icons => | SVP1322C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Trusty en mode EFI (Windows 8 a été viré) avec "Secure Boot" désactivé. Option de boot "libata.force=noncq" nécessaire après installation : voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=16430051#p16430051 | post aegedus]] (à noter que le nom du modèle gravé sur le boîtier de l'ordi est SVP132A2CM alors que le Bios indique SVP1322C5E ) | Trusty |
83 Il manque un espace. => | SVP1322C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Trusty en mode EFI (Windows 8 a été viré) avec "Secure Boot" désactivé. Option de boot "libata.force=noncq" nécessaire après installation : voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=16430051#p16430051 | post aegedus]] (à noter que le nom du modèle gravé sur le boîtier de l'ordi est SVP132A2CM alors que le Bios indique SVP1322C5E ) | Trusty |
83 Mot inconnu : icon-ubuntu => | SVP1322C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Trusty en mode EFI (Windows 8 a été viré) avec "Secure Boot" désactivé. Option de boot "libata.force=noncq" nécessaire après installation : voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=16430051#p16430051 | post aegedus]] (à noter que le nom du modèle gravé sur le boîtier de l'ordi est SVP132A2CM alors que le Bios indique SVP1322C5E ) | Trusty |
83 Mot inconnu : EFI => | SVP1322C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Trusty en mode EFI (Windows 8 a été viré) avec "Secure Boot" désactivé. Option de boot "libata.force=noncq" nécessaire après installation : voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=16430051#p16430051 | post aegedus]] (à noter que le nom du modèle gravé sur le boîtier de l'ordi est SVP132A2CM alors que le Bios indique SVP1322C5E ) | Trusty |
83 Guillemets typographiques ouvrants. => | SVP1322C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Trusty en mode EFI (Windows 8 a été viré) avec "Secure Boot" désactivé. Option de boot "libata.force=noncq" nécessaire après installation : voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=16430051#p16430051 | post aegedus]] (à noter que le nom du modèle gravé sur le boîtier de l'ordi est SVP132A2CM alors que le Bios indique SVP1322C5E ) | Trusty |
83 Mot inconnu : Secure => | SVP1322C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Trusty en mode EFI (Windows 8 a été viré) avec "Secure Boot" désactivé. Option de boot "libata.force=noncq" nécessaire après installation : voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=16430051#p16430051 | post aegedus]] (à noter que le nom du modèle gravé sur le boîtier de l'ordi est SVP132A2CM alors que le Bios indique SVP1322C5E ) | Trusty |
83 Mot inconnu : Boot => | SVP1322C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Trusty en mode EFI (Windows 8 a été viré) avec "Secure Boot" désactivé. Option de boot "libata.force=noncq" nécessaire après installation : voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=16430051#p16430051 | post aegedus]] (à noter que le nom du modèle gravé sur le boîtier de l'ordi est SVP132A2CM alors que le Bios indique SVP1322C5E ) | Trusty |
83 Guillemets typographiques fermants. => | SVP1322C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Trusty en mode EFI (Windows 8 a été viré) avec "Secure Boot" désactivé. Option de boot "libata.force=noncq" nécessaire après installation : voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=16430051#p16430051 | post aegedus]] (à noter que le nom du modèle gravé sur le boîtier de l'ordi est SVP132A2CM alors que le Bios indique SVP1322C5E ) | Trusty |
83 Mot inconnu : boot => | SVP1322C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Trusty en mode EFI (Windows 8 a été viré) avec "Secure Boot" désactivé. Option de boot "libata.force=noncq" nécessaire après installation : voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=16430051#p16430051 | post aegedus]] (à noter que le nom du modèle gravé sur le boîtier de l'ordi est SVP132A2CM alors que le Bios indique SVP1322C5E ) | Trusty |
83 Guillemets typographiques ouvrants. => | SVP1322C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Trusty en mode EFI (Windows 8 a été viré) avec "Secure Boot" désactivé. Option de boot "libata.force=noncq" nécessaire après installation : voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=16430051#p16430051 | post aegedus]] (à noter que le nom du modèle gravé sur le boîtier de l'ordi est SVP132A2CM alors que le Bios indique SVP1322C5E ) | Trusty |
83 Mot inconnu : libata => | SVP1322C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Trusty en mode EFI (Windows 8 a été viré) avec "Secure Boot" désactivé. Option de boot "libata.force=noncq" nécessaire après installation : voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=16430051#p16430051 | post aegedus]] (à noter que le nom du modèle gravé sur le boîtier de l'ordi est SVP132A2CM alors que le Bios indique SVP1322C5E ) | Trusty |
83 Il manque un espace. => | SVP1322C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Trusty en mode EFI (Windows 8 a été viré) avec "Secure Boot" désactivé. Option de boot "libata.force=noncq" nécessaire après installation : voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=16430051#p16430051 | post aegedus]] (à noter que le nom du modèle gravé sur le boîtier de l'ordi est SVP132A2CM alors que le Bios indique SVP1322C5E ) | Trusty |
83 Mot inconnu : noncq => | SVP1322C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Trusty en mode EFI (Windows 8 a été viré) avec "Secure Boot" désactivé. Option de boot "libata.force=noncq" nécessaire après installation : voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=16430051#p16430051 | post aegedus]] (à noter que le nom du modèle gravé sur le boîtier de l'ordi est SVP132A2CM alors que le Bios indique SVP1322C5E ) | Trusty |
83 Guillemets typographiques fermants. => | SVP1322C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Trusty en mode EFI (Windows 8 a été viré) avec "Secure Boot" désactivé. Option de boot "libata.force=noncq" nécessaire après installation : voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=16430051#p16430051 | post aegedus]] (à noter que le nom du modèle gravé sur le boîtier de l'ordi est SVP132A2CM alors que le Bios indique SVP1322C5E ) | Trusty |
83 Il manque un espace insécable. => | SVP1322C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Trusty en mode EFI (Windows 8 a été viré) avec "Secure Boot" désactivé. Option de boot "libata.force=noncq" nécessaire après installation : voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=16430051#p16430051 | post aegedus]] (à noter que le nom du modèle gravé sur le boîtier de l'ordi est SVP132A2CM alors que le Bios indique SVP1322C5E ) | Trusty |
83 Mot inconnu : aegedus => | SVP1322C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Trusty en mode EFI (Windows 8 a été viré) avec "Secure Boot" désactivé. Option de boot "libata.force=noncq" nécessaire après installation : voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=16430051#p16430051 | post aegedus]] (à noter que le nom du modèle gravé sur le boîtier de l'ordi est SVP132A2CM alors que le Bios indique SVP1322C5E ) | Trusty |
83 Mot inconnu : SVP132A2CM => | SVP1322C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Trusty en mode EFI (Windows 8 a été viré) avec "Secure Boot" désactivé. Option de boot "libata.force=noncq" nécessaire après installation : voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=16430051#p16430051 | post aegedus]] (à noter que le nom du modèle gravé sur le boîtier de l'ordi est SVP132A2CM alors que le Bios indique SVP1322C5E ) | Trusty |
83 Accord de nombre erroné : « Bios » est au pluriel. => | SVP1322C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Trusty en mode EFI (Windows 8 a été viré) avec "Secure Boot" désactivé. Option de boot "libata.force=noncq" nécessaire après installation : voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=16430051#p16430051 | post aegedus]] (à noter que le nom du modèle gravé sur le boîtier de l'ordi est SVP132A2CM alors que le Bios indique SVP1322C5E ) | Trusty |
83 Accord de nombre erroné : « Bios » devrait être au singulier. => | SVP1322C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Trusty en mode EFI (Windows 8 a été viré) avec "Secure Boot" désactivé. Option de boot "libata.force=noncq" nécessaire après installation : voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=16430051#p16430051 | post aegedus]] (à noter que le nom du modèle gravé sur le boîtier de l'ordi est SVP132A2CM alors que le Bios indique SVP1322C5E ) | Trusty |
83 Mot inconnu : SVP1322C5E => | SVP1322C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Trusty en mode EFI (Windows 8 a été viré) avec "Secure Boot" désactivé. Option de boot "libata.force=noncq" nécessaire après installation : voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=16430051#p16430051 | post aegedus]] (à noter que le nom du modèle gravé sur le boîtier de l'ordi est SVP132A2CM alors que le Bios indique SVP1322C5E ) | Trusty |
83 Pas d’espace avant ce signe. => | SVP1322C5E | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Installation Trusty en mode EFI (Windows 8 a été viré) avec "Secure Boot" désactivé. Option de boot "libata.force=noncq" nécessaire après installation : voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=16430051#p16430051 | post aegedus]] (à noter que le nom du modèle gravé sur le boîtier de l'ordi est SVP132A2CM alors que le Bios indique SVP1322C5E ) | Trusty |

