1 Mot inconnu : DEBUTANTS [[22:31]] => ====== ASSISTANCE AUX DEBUTANTS EN CAS DE PROBLEMES====== <|> debutants
121 Guillemets typographiques fermants. [[41:42]] => Soyez courtois. Utilisez "S'il vous plait" et "Merci d'avance". Mettez en évidence le fait que vous appréciez le temps que les autres ont passé à vous aider gratuitement. <|> " => suggestions :  »”
121 Guillemets typographiques ouvrants. [[46:47]] => Soyez courtois. Utilisez "S'il vous plait" et "Merci d'avance". Mettez en évidence le fait que vous appréciez le temps que les autres ont passé à vous aider gratuitement. <|> " => suggestions : « “
121 Guillemets typographiques fermants. [[61:62]] => Soyez courtois. Utilisez "S'il vous plait" et "Merci d'avance". Mettez en évidence le fait que vous appréciez le temps que les autres ont passé à vous aider gratuitement. <|> " => suggestions :  »”

123 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. [[114:118]] => Ubuntu-fr.org repose sur la communauté. Personne n’est payé pour vous aider. Les personnes qui vous aident le font car elles ont elles-mêmes reçu de l’aide dans le passé et veulent rendre la pareille. N’oubliez pas dans votre réponse de remerciement de préciser comment vous avez résolu votre problème afin qu’une personne ayant le même problème que vous puisse le résoudre sans ouvrir un nouveau topic. En plus de dire merci, vous pouvez également aider les autres qui ne savent peut-être pas quelque chose que vous savez. Vous ressentirez alors une certaine satisfaction ... <|>  car => suggestions : , car
123 Mot inconnu : topic [[397:402]] => Ubuntu-fr.org repose sur la communauté. Personne n’est payé pour vous aider. Les personnes qui vous aident le font car elles ont elles-mêmes reçu de l’aide dans le passé et veulent rendre la pareille. N’oubliez pas dans votre réponse de remerciement de préciser comment vous avez résolu votre problème afin qu’une personne ayant le même problème que vous puisse le résoudre sans ouvrir un nouveau topic. En plus de dire merci, vous pouvez également aider les autres qui ne savent peut-être pas quelque chose que vous savez. Vous ressentirez alors une certaine satisfaction ... <|> topic
123 Typographie : points de suspension. Utilisez le caractère dédié. [[573:576]] => Ubuntu-fr.org repose sur la communauté. Personne n’est payé pour vous aider. Les personnes qui vous aident le font car elles ont elles-mêmes reçu de l’aide dans le passé et veulent rendre la pareille. N’oubliez pas dans votre réponse de remerciement de préciser comment vous avez résolu votre problème afin qu’une personne ayant le même problème que vous puisse le résoudre sans ouvrir un nouveau topic. En plus de dire merci, vous pouvez également aider les autres qui ne savent peut-être pas quelque chose que vous savez. Vous ressentirez alors une certaine satisfaction ... <|> ... => suggestions : …

130 Guillemets typographiques ouvrants. [[63:64]] => Il n'est pas impossible que vous receviez une réponse du genre "lire le manuel" ou "cherchez sur le web" ... <|> " => suggestions : « “
130 Guillemets typographiques fermants. [[78:79]] => Il n'est pas impossible que vous receviez une réponse du genre "lire le manuel" ou "cherchez sur le web" ... <|> " => suggestions :  »”
130 Guillemets typographiques ouvrants. [[83:84]] => Il n'est pas impossible que vous receviez une réponse du genre "lire le manuel" ou "cherchez sur le web" ... <|> " => suggestions : « “
130 Guillemets typographiques fermants. [[103:104]] => Il n'est pas impossible que vous receviez une réponse du genre "lire le manuel" ou "cherchez sur le web" ... <|> " => suggestions :  »”
130 Typographie : points de suspension. Utilisez le caractère dédié. [[105:108]] => Il n'est pas impossible que vous receviez une réponse du genre "lire le manuel" ou "cherchez sur le web" ... <|> ... => suggestions : …

131 Typographie : points de suspension. Utilisez le caractère dédié. [[0:3]] => ... Souvent, la personne qui vous envoie cela a le manuel ou la page web avec les informations que vous recherchez devant les yeux, et y regarde pendant qu'elle vous répond. Ces réponses veulent dire que cette personne pense que : <|> ... => suggestions : …
132 Espace(s) en fin de ligne à supprimer. [[74:75]] =>   *(a) l'information que vous cherchez est excessivement facile à trouver,  <|>  
133 Il manque un trait d’union si “même” se rapporte à “vous”. [[71:80]] =>   *(b) que vous allez en apprendre plus si vous cherchez l'information vous même au lieu de vous la faire apporter tout chaud tout cuit. <|> vous même => suggestions : vous-même

137 Espace(s) en fin de ligne à supprimer. [[32:33]] => === Si vous ne comprenez pas ===  <|>  

143 Typographie : points de suspension. Utilisez le caractère dédié. [[268:271]] => La plupart du temps, ce qui est perçu comme de l'impolitesse n'est pas vraiment dit avec l'intention de vous offenser, il s'agit du résultat d'un style de communication directe utilisé par les gens qui sont plus préoccupés à résoudre les problèmes qu'à être chaleureux... <|> ... => suggestions : …

145 S’il s’agit d’un impératif, mettez un trait d’union. [[126:137]] => Quand vous sentez que quelqu'un est impoli avec vous, essayez de réagir avec calme. Si quelqu'un dépasse vraiment les bornes, signalez le aux modérateurs du forum. Si vous perdez votre calme, alors il est probable que ça vous retombe dessus d'une manière ou d'une autre... et cela risque de compromettre grandement vos chances d'obtenir l'information ou l'aide dont vous avez besoin. <|> signalez le => suggestions : signalez-le
145 Typographie : points de suspension. Utilisez le caractère dédié. [[269:272]] => Quand vous sentez que quelqu'un est impoli avec vous, essayez de réagir avec calme. Si quelqu'un dépasse vraiment les bornes, signalez le aux modérateurs du forum. Si vous perdez votre calme, alors il est probable que ça vous retombe dessus d'une manière ou d'une autre... et cela risque de compromettre grandement vos chances d'obtenir l'information ou l'aide dont vous avez besoin. <|> ... => suggestions : …

149 Typographie : points de suspension. Utilisez le caractère dédié. [[21:24]] => Ne le prenez pas mal ... ça n'est pas que personne ne veuille vous aider, c'est que sans doute que personne ne connaît la réponse. <|> ... => suggestions : …
