
6 Mot inconnu : LAMP => ====== Serveur LAMP - Créer un/des répertoires de travail ====== <|> lamp
172 Mot inconnu : domain => Si vous n'avez pas de domaine (domain.tld est un exemple générique), il faudra utiliser votre IP réelle (ex : http://checkip.dyndns.org/ ). <|> domain
172 Mot inconnu : tld => Si vous n'avez pas de domaine (domain.tld est un exemple générique), il faudra utiliser votre IP réelle (ex : http://checkip.dyndns.org/ ). <|> tld
172 Pas d’espace avant ce signe. => Si vous n'avez pas de domaine (domain.tld est un exemple générique), il faudra utiliser votre IP réelle (ex : http://checkip.dyndns.org/ ). <|>  ) => suggestions : [')']

182 Mot inconnu : localhost => Dans certains cas une erreur 403 peut également se produire lorsque vous demandez l'affichage de localhost alors que 127.0.0.1 fonctionne (et que vous avez d'ores et déjà réglé les problèmes de ServerName dans /etc/hosts et  /etc/apache2/apache2.conf).  <|> localhost
182 Mot inconnu : ServerName => Dans certains cas une erreur 403 peut également se produire lorsque vous demandez l'affichage de localhost alors que 127.0.0.1 fonctionne (et que vous avez d'ores et déjà réglé les problèmes de ServerName dans /etc/hosts et  /etc/apache2/apache2.conf).  <|> servername
182 Espace(s) surnuméraire(s) à supprimer. => Dans certains cas une erreur 403 peut également se produire lorsque vous demandez l'affichage de localhost alors que 127.0.0.1 fonctionne (et que vous avez d'ores et déjà réglé les problèmes de ServerName dans /etc/hosts et  /etc/apache2/apache2.conf).  <|>    => suggestions : [' ']


188 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A partir de Ubuntu 14.04, il faut ajouter <|> a => suggestions : ['À']


200 Mot inconnu : ServerName => * Cas d'une erreur sur ServerName au rechargement d'apache\\ <|> servername

203 Guillemets typographiques ouvrants. => * Renvoi vers votre 'livebox/neufbox/ClubInternet Box' avec un nom de domaine.\\ <|> ' => suggestions : ['“', '‘', '‹']
203 Mot inconnu : livebox => * Renvoi vers votre 'livebox/neufbox/ClubInternet Box' avec un nom de domaine.\\ <|> livebox
203 Mot inconnu : neufbox => * Renvoi vers votre 'livebox/neufbox/ClubInternet Box' avec un nom de domaine.\\ <|> neufbox
203 Mot inconnu : ClubInternet => * Renvoi vers votre 'livebox/neufbox/ClubInternet Box' avec un nom de domaine.\\ <|> clubinternet
203 Guillemets typographiques fermants. => * Renvoi vers votre 'livebox/neufbox/ClubInternet Box' avec un nom de domaine.\\ <|> ' => suggestions : ['”', '’', '›']

207 Mot inconnu : localhost => * Erreur sur le localhost \\ <|> localhost

214 Mot inconnu : Apache2 => * Apache2 + Ubuntu 14.04 (et systèmes suivants) nouveau répertoire racine: <|> apache2

215 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <|>   => suggestions : ['']

216 Mot inconnu : apache2 => Attention pour la nouvelle version 14.04, la version apache2 qui a été publié lors de la Ubuntu 14.04 est en 2.4.7 il semble que, pour des raisons de sécurité, le nouveau répertoire racine pour le serveur est: <|> apache2
216 Accord erroné : “version” et “publié” ne sont pas accordés. => Attention pour la nouvelle version 14.04, la version apache2 qui a été publié lors de la Ubuntu 14.04 est en 2.4.7 il semble que, pour des raisons de sécurité, le nouveau répertoire racine pour le serveur est: <|> publié => suggestions : ['publiée']

221 Mot inconnu : root => Quoi qu'il en soit, si vous voulez changer ce répertoire racine pour un autre, vous devez modifier (en tant que root) le fichier **000-default.conf** situé dans **/etc/apache2/sites-available** <|> root
221 Mot inconnu : default => Quoi qu'il en soit, si vous voulez changer ce répertoire racine pour un autre, vous devez modifier (en tant que root) le fichier **000-default.conf** situé dans **/etc/apache2/sites-available** <|> default
221 Il manque un espace. => Quoi qu'il en soit, si vous voulez changer ce répertoire racine pour un autre, vous devez modifier (en tant que root) le fichier **000-default.conf** situé dans **/etc/apache2/sites-available** <|> conf => suggestions : [' conf']
223 Mot inconnu : DocumentRoot => C'est la ligne suivante: //DocumentRoot /var/www/html//\\  <|> documentroot
224 Mot inconnu : DocumentRoot => qu'il faut modifier à: //DocumentRoot /var/www/chemin-vers-son-autre-répertoire// <|> documentroot

227 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  --- //[[|]] Contributeur/Mainteneur : [[utilisateurs:McPeter]]// <|>   => suggestions : ['']
