1 Mot inconnu : VirtualBox => ====== Démarrer un système physique sous VirtualBox ====== | virtualbox
100 Mot inconnu : iso =>     mv grub.iso ~/.VirtualBox/ | iso
100 Mot inconnu : VirtualBox =>     mv grub.iso ~/.VirtualBox/ | virtualbox

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     # suppression du répertoire de travail |      => suggestions : ['']

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     cd ; rm -rv ~/travail/ |      => suggestions : ['']
103 Mot inconnu : rm =>     cd ; rm -rv ~/travail/ | rm
103 Il manque un espace à côté du tiret. =>     cd ; rm -rv ~/travail/ |  - => suggestions : [' – ', ' — ']
103 Mot inconnu : rv =>     cd ; rm -rv ~/travail/ | rv

105 Mot inconnu : grub => L'image créée se nomme grub.iso et se trouve maintenant dans le dossier caché de VirtualBox. | grub
105 Mot inconnu : iso => L'image créée se nomme grub.iso et se trouve maintenant dans le dossier caché de VirtualBox. | iso
105 Mot inconnu : VirtualBox => L'image créée se nomme grub.iso et se trouve maintenant dans le dossier caché de VirtualBox. | virtualbox

106 Si “ko” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => Cette dernière fait à peine 500 ko tongue. | 500 ko => suggestions : ['500\xa0ko']
106 Mot inconnu : tongue => Cette dernière fait à peine 500 ko tongue. | tongue

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      Gestionnaire de démarrage : Grub2 |       => suggestions : ['']
109 Mot inconnu : Grub2 =>      Gestionnaire de démarrage : Grub2 | grub2

111 Mot inconnu : Grub2 => Étant donné que Grub2 n'a rien à voir avec Grub1, la procédure précédente ne fonctionne pas. | grub2
111 Mot inconnu : Grub1 => Étant donné que Grub2 n'a rien à voir avec Grub1, la procédure précédente ne fonctionne pas. | grub1

112 Typographie : points de suspension. Utilisez le caractère dédié. => Cependant, le tutoriel n'en dit pas plus pour le moment... | ... => suggestions : ['…']

114 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Entre temps, j'ai trouvé ceci : http://ubuntuforums.org/showthread.php? … ost9232654 |      => suggestions : ['']
114 Il manque un trait d’union. =>     Entre temps, j'ai trouvé ceci : http://ubuntuforums.org/showthread.php? … ost9232654 | entre temps => suggestions : ['Entre-temps']
114 Mot inconnu : ost9232654 =>     Entre temps, j'ai trouvé ceci : http://ubuntuforums.org/showthread.php? … ost9232654 | ost9232654

116 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     La commande proposée (grub-mkrescue --output=~/.VirtualBox/rescue.iso /boot/grub) fabrique bien une image iso bootable avec la bonne configuration. Cependant, le démarrage n'est pas automatique, il faut taper configfile /grub.cfg pour lancer le système. |      => suggestions : ['']
116 Mot inconnu : grub-mkrescue =>     La commande proposée (grub-mkrescue --output=~/.VirtualBox/rescue.iso /boot/grub) fabrique bien une image iso bootable avec la bonne configuration. Cependant, le démarrage n'est pas automatique, il faut taper configfile /grub.cfg pour lancer le système. | grub-mkrescue
116 Mot inconnu : VirtualBox =>     La commande proposée (grub-mkrescue --output=~/.VirtualBox/rescue.iso /boot/grub) fabrique bien une image iso bootable avec la bonne configuration. Cependant, le démarrage n'est pas automatique, il faut taper configfile /grub.cfg pour lancer le système. | virtualbox
116 Mot inconnu : rescue =>     La commande proposée (grub-mkrescue --output=~/.VirtualBox/rescue.iso /boot/grub) fabrique bien une image iso bootable avec la bonne configuration. Cependant, le démarrage n'est pas automatique, il faut taper configfile /grub.cfg pour lancer le système. | rescue
116 Mot inconnu : iso =>     La commande proposée (grub-mkrescue --output=~/.VirtualBox/rescue.iso /boot/grub) fabrique bien une image iso bootable avec la bonne configuration. Cependant, le démarrage n'est pas automatique, il faut taper configfile /grub.cfg pour lancer le système. | iso
116 Mot inconnu : iso =>     La commande proposée (grub-mkrescue --output=~/.VirtualBox/rescue.iso /boot/grub) fabrique bien une image iso bootable avec la bonne configuration. Cependant, le démarrage n'est pas automatique, il faut taper configfile /grub.cfg pour lancer le système. | iso
116 Mot inconnu : bootable =>     La commande proposée (grub-mkrescue --output=~/.VirtualBox/rescue.iso /boot/grub) fabrique bien une image iso bootable avec la bonne configuration. Cependant, le démarrage n'est pas automatique, il faut taper configfile /grub.cfg pour lancer le système. | bootable
116 Mot inconnu : configfile =>     La commande proposée (grub-mkrescue --output=~/.VirtualBox/rescue.iso /boot/grub) fabrique bien une image iso bootable avec la bonne configuration. Cependant, le démarrage n'est pas automatique, il faut taper configfile /grub.cfg pour lancer le système. | configfile
116 Mot inconnu : grub =>     La commande proposée (grub-mkrescue --output=~/.VirtualBox/rescue.iso /boot/grub) fabrique bien une image iso bootable avec la bonne configuration. Cependant, le démarrage n'est pas automatique, il faut taper configfile /grub.cfg pour lancer le système. | grub
116 Mot inconnu : cfg =>     La commande proposée (grub-mkrescue --output=~/.VirtualBox/rescue.iso /boot/grub) fabrique bien une image iso bootable avec la bonne configuration. Cependant, le démarrage n'est pas automatique, il faut taper configfile /grub.cfg pour lancer le système. | cfg

118 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     J'ai pas trouvé comment lui dire de charger ce fichier automatiquement. |      => suggestions : ['']

120 Mot inconnu : Vaderflien => Voir l'explication de Vaderflien.png. | vaderflien

124 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Nom de la machine :** Fedora, par exemple, |    => suggestions : ['']

125 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Type de système d'exploitation :** Fedora par exemple. |    => suggestions : ['']

126 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Disque dur :** il faut utiliser le fichier Fedora.vmdk que nous précédemment créé ! |    => suggestions : ['']
126 Mot inconnu : vmdk =>   * **Disque dur :** il faut utiliser le fichier Fedora.vmdk que nous précédemment créé ! | vmdk

128 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Ordre d'amorçage :** Disque optique / Disque dur |    => suggestions : ['']

129 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Activer l'ACPI :** doit être coché |    => suggestions : ['']
129 Mot inconnu : ACPI =>   * **Activer l'ACPI :** doit être coché | acpi

130 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Activer l'IO-APIC :** doit être décoché (à part si vous voulez du multi-cœur, mais une chute des performances est possible, poru ma part ça allait) |    => suggestions : ['']
130 Mot inconnu : IO-APIC =>   * **Activer l'IO-APIC :** doit être décoché (à part si vous voulez du multi-cœur, mais une chute des performances est possible, poru ma part ça allait) | io-apic
130 Mot inconnu : poru =>   * **Activer l'IO-APIC :** doit être décoché (à part si vous voulez du multi-cœur, mais une chute des performances est possible, poru ma part ça allait) | poru

131 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Stockage :** Ajoutez un Disque optique et sélectionnez le fichier Grub.iso précédemment créé |    => suggestions : ['']
131 Mot inconnu : Grub =>   * **Stockage :** Ajoutez un Disque optique et sélectionnez le fichier Grub.iso précédemment créé | grub
131 Mot inconnu : iso =>   * **Stockage :** Ajoutez un Disque optique et sélectionnez le fichier Grub.iso précédemment créé | iso

136 Mot inconnu : VirtualBox => <note important>Lorsque Windows va redémarrer sous VirtualBox, l'environnement matériel va changer : | virtualbox

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Windows va réinstaller tout plein de pilotes, et rien ne l'empêchera de planter ! |    => suggestions : ['']

138 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * L'environnement matériel change, la réactivation peut donc être nécessaire. |    => suggestions : ['']

139 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  (Tout ça, contrairement à un système Linux :-) )</note> |   => suggestions : ['']
139 Pas d’espace avant ce signe. =>  (Tout ça, contrairement à un système Linux :-) )</note> |  ) => suggestions : [')']

142 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Nom de la machine :** Windows8 Physique, par exemple, |    => suggestions : ['']
142 Mot inconnu : Windows8 =>   * **Nom de la machine :** Windows8 Physique, par exemple, | windows8

143 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Type de système d'exploitation :** Windows8.1 (64 bits) par exemple. |    => suggestions : ['']
143 Mot inconnu : Windows8 =>   * **Type de système d'exploitation :** Windows8.1 (64 bits) par exemple. | windows8

144 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Disque dur :** il faut utiliser le fichier Windows.vmdk que nous avons précédemment créé ! |    => suggestions : ['']
144 Mot inconnu : vmdk =>   * **Disque dur :** il faut utiliser le fichier Windows.vmdk que nous avons précédemment créé ! | vmdk

146 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Ordre d'amorçage :** Disque optique / Disque dur |    => suggestions : ['']

147 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Activer l'ACPI :** doit être coché |    => suggestions : ['']
147 Mot inconnu : ACPI =>   * **Activer l'ACPI :** doit être coché | acpi

148 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Activer l'IO-APIC :** doit être coché ! |    => suggestions : ['']
148 Mot inconnu : IO-APIC =>   * **Activer l'IO-APIC :** doit être coché ! | io-apic

149 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Stockage :** Ajoutez un Disque optique et sélectionnez le fichier Grub.iso précédemment créé |    => suggestions : ['']
149 Mot inconnu : Grub =>   * **Stockage :** Ajoutez un Disque optique et sélectionnez le fichier Grub.iso précédemment créé | grub
149 Mot inconnu : iso =>   * **Stockage :** Ajoutez un Disque optique et sélectionnez le fichier Grub.iso précédemment créé | iso
155 Mot inconnu : vmdk => Pour rappel, cette machine virtuelle va lancer un système physiquement installé grâce aux fichiers windows.vmdk et grub.iso (ou boot_xp.img). | vmdk
155 Mot inconnu : grub => Pour rappel, cette machine virtuelle va lancer un système physiquement installé grâce aux fichiers windows.vmdk et grub.iso (ou boot_xp.img). | grub
155 Mot inconnu : iso => Pour rappel, cette machine virtuelle va lancer un système physiquement installé grâce aux fichiers windows.vmdk et grub.iso (ou boot_xp.img). | iso
155 Mot inconnu : boot_xp => Pour rappel, cette machine virtuelle va lancer un système physiquement installé grâce aux fichiers windows.vmdk et grub.iso (ou boot_xp.img). | boot_xp
155 Mot inconnu : img => Pour rappel, cette machine virtuelle va lancer un système physiquement installé grâce aux fichiers windows.vmdk et grub.iso (ou boot_xp.img). | img

158 Mot inconnu : VirtualBox => Comme nous sommes en train de démarrer sous VirtualBox, il est très important de sélectionner le profil nommé « VirtualBox ». | virtualbox
158 Mot inconnu : VirtualBox => Comme nous sommes en train de démarrer sous VirtualBox, il est très important de sélectionner le profil nommé « VirtualBox ». | virtualbox

160 Mot inconnu : profils3 => profils3.png | profils3
162 Typographie : points de suspension. Utilisez le caractère dédié. => Théoriquement, windows devrait démarrer... lol. | ... => suggestions : ['…']

165 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - soit redémarrer sous windows normalement (profil VirtualBox) pour faire des choseslien.png, | -  => suggestions : ['—\xa0', '–\xa0']
165 Mot inconnu : VirtualBox => - soit redémarrer sous windows normalement (profil VirtualBox) pour faire des choseslien.png, | virtualbox
165 Mot inconnu : choseslien => - soit redémarrer sous windows normalement (profil VirtualBox) pour faire des choseslien.png, | choseslien

166 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - soit démarrer en mode sans échec, | -  => suggestions : ['—\xa0', '–\xa0']

167 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - soit vérifier le point précédent. | -  => suggestions : ['—\xa0', '–\xa0']

170 Typographie : points de suspension. Utilisez le caractère dédié. => Tu l'as sûrement déjà remarqué, mais comme prévu, le système est deux de tension... | ... => suggestions : ['…']

172 Typographie : points de suspension. Utilisez le caractère dédié. => Windows installe en ce moment même ses nouveaux pilotes... | ... => suggestions : ['…']

177 Mot inconnu : img => Dans l'onglet Matériel img.png, clique sur « Gestionnaire de périphériques ». | img

180 Mot inconnu : ACPI => Pour ce faire, clique droit sur PC Multiprocesseur ACPI, puis mettre à jour le pilote / installer à partir d'une liste / ne pas rechercher, je vais choisir le pilote à installer. Choisi le premier pilote dans la liste comme sur la capture d'écran suivante : | acpi

182 Mot inconnu : apic1 => apic1.png | apic1

185 Mot inconnu : img => Une fois l'installation terminée img.png, il va te demander de redémarrer, refuse ! | img
187 Accord de genre erroné entre « Additions » et « invités ». => d) Il est temps d'installer les « Additions invités » disponibles dans le menu Périphériques de VirtualBox. | invités => suggestions : ['invitées']
187 Accord de nombre erroné avec « le menu » : « Périphériques » devrait être au singulier. => d) Il est temps d'installer les « Additions invités » disponibles dans le menu Périphériques de VirtualBox. | périphériques => suggestions : ['Périphérique']
187 Mot inconnu : VirtualBox => d) Il est temps d'installer les « Additions invités » disponibles dans le menu Périphériques de VirtualBox. | virtualbox

189 Mot inconnu : additions1 => additions1.png | additions1

191 Mot inconnu : img => Une fois l'installation terminée, le programme va te demander de redémarrer img.png, parce que c'est lui, accepte ! | img

192 Typographie : points de suspension. Utilisez le caractère dédié. => Enfin non, refuse, éteins simplement l'ordinateur... | ... => suggestions : ['…']

196 Mot inconnu : IO-APIC => Maintenant que nous avons réinstallé le pilote ordinateur, on va pouvoir désactiver l'IO-APIC responsable du problème de lenteur en toute sécurité. Pour rappel, cela va également désactiver la prise en charge du multi-cœur pour le système invité. | io-apic

198 Mot inconnu : VitualBox => Sur VitualBox, il faut modifier les préférences de la machine virtuelle. | vitualbox

200 Il manque un espace insécable. Le sens de ce guillemet n’est justifié que si ce paragraphe continue le discours du paragraphe précédent. => » Système, onglet carte mère : | »  => suggestions : ['»\xa0', '«\xa0']

201 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Activer l'IO-APIC : doit maintenant être décoché | -  => suggestions : ['—\xa0', '–\xa0']
201 Mot inconnu : IO-APIC => - Activer l'IO-APIC : doit maintenant être décoché | io-apic

204 Il manque un espace insécable. Le sens de ce guillemet n’est justifié que si ce paragraphe continue le discours du paragraphe précédent. => » Voilà, tu peux maintenant profiter pleinement du système Windows qui est installé physiquement dans VirtualBox (exemple en image img.png), ce tutoriel touche donc à sa fin. | »  => suggestions : ['»\xa0', '«\xa0']
204 Mot inconnu : VirtualBox => » Voilà, tu peux maintenant profiter pleinement du système Windows qui est installé physiquement dans VirtualBox (exemple en image img.png), ce tutoriel touche donc à sa fin. | virtualbox
204 Mot inconnu : img => » Voilà, tu peux maintenant profiter pleinement du système Windows qui est installé physiquement dans VirtualBox (exemple en image img.png), ce tutoriel touche donc à sa fin. | img

206 Il manque un espace insécable. Le sens de ce guillemet n’est justifié que si ce paragraphe continue le discours du paragraphe précédent. => » Malheureusement il reste encore un dernier petit truc à faire lors du prochain démarrage que je te laisse deviner... | »  => suggestions : ['»\xa0', '«\xa0']
206 Typographie : points de suspension. Utilisez le caractère dédié. => » Malheureusement il reste encore un dernier petit truc à faire lors du prochain démarrage que je te laisse deviner... | ... => suggestions : ['…']
207 Mot inconnu : img => Non ? pas d'idée ? alors un indice img.png pourra surement t'aider big_smile. | img
207 Mot inconnu : big_smile => Non ? pas d'idée ? alors un indice img.png pourra surement t'aider big_smile. | big_smile

209 Confusion. La conjonction “ou” signale une alternative. Pour évoquer un lieu, un temps ou une situation, écrivez “où”. => Dans le cas ou tu aurais supprimé les fichiers contenus dans /windows/system32/oobe/, tu peux les télécharger ici. | ou => suggestions : ['où']
209 Mot inconnu : system32 => Dans le cas ou tu aurais supprimé les fichiers contenus dans /windows/system32/oobe/, tu peux les télécharger ici. | system32
209 Mot inconnu : oobe => Dans le cas ou tu aurais supprimé les fichiers contenus dans /windows/system32/oobe/, tu peux les télécharger ici. | oobe

210 Conjugaison erronée. Accord avec “je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. => Enfin je dit ça, je dit rien... | dit => suggestions : ['dis', 'disais']
210 Conjugaison erronée. Accord avec “je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. => Enfin je dit ça, je dit rien... | dit => suggestions : ['dis', 'disais']
210 Typographie : points de suspension. Utilisez le caractère dédié. => Enfin je dit ça, je dit rien... | ... => suggestions : ['…']
