
3 Mot inconnu : bootable => ====== Créer une clé USB bootable de Windows (7, 8 ou 10) ====== | bootable
135 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      * pour Copier les fichiers Windows sur une partition existante d'un périphérique de stockage USB __créé par la méthode ci-dessus__ en ligne de commande. |       => suggestions : ['']
135 Mot inconnu : __créé =>      * pour Copier les fichiers Windows sur une partition existante d'un périphérique de stockage USB __créé par la méthode ci-dessus__ en ligne de commande. | __créé
135 Mot inconnu : ci-dessus__ =>      * pour Copier les fichiers Windows sur une partition existante d'un périphérique de stockage USB __créé par la méthode ci-dessus__ en ligne de commande. | ci-dessus__

142 Mot inconnu : WOEUSB => Pour l'éviter **il faut démonter la clé USB avant d'ouvrir WOEUSB.** | woeusb

144 Mot inconnu : NTFS => <note important>si cela ne marche pas, formatez votre clef USB en NTFS et non en FAT32</note> | ntfs
144 Mot inconnu : FAT32 => <note important>si cela ne marche pas, formatez votre clef USB en NTFS et non en FAT32</note> | fat32

147 Mot inconnu : WoeUSB => ==== Utilisation WoeUSB 5.2.2 Ubuntu 20.04 ou Ubuntu 22.04==== | woeusb

149 Mot inconnu : NTFS => <note warning>Il faut que les partitions de la clé soient démontées avant de lancer la commande. Elles seront supprimées et remplacées par une partition NTFS de la totalité moins 1 MiO de l'espace disque de la clé et une partition de boot en FAT16 de 1 MiO .</note> | ntfs
149 Mot inconnu : MiO => <note warning>Il faut que les partitions de la clé soient démontées avant de lancer la commande. Elles seront supprimées et remplacées par une partition NTFS de la totalité moins 1 MiO de l'espace disque de la clé et une partition de boot en FAT16 de 1 MiO .</note> | mio
149 Mot inconnu : boot => <note warning>Il faut que les partitions de la clé soient démontées avant de lancer la commande. Elles seront supprimées et remplacées par une partition NTFS de la totalité moins 1 MiO de l'espace disque de la clé et une partition de boot en FAT16 de 1 MiO .</note> | boot
149 Mot inconnu : FAT16 => <note warning>Il faut que les partitions de la clé soient démontées avant de lancer la commande. Elles seront supprimées et remplacées par une partition NTFS de la totalité moins 1 MiO de l'espace disque de la clé et une partition de boot en FAT16 de 1 MiO .</note> | fat16
149 Mot inconnu : MiO => <note warning>Il faut que les partitions de la clé soient démontées avant de lancer la commande. Elles seront supprimées et remplacées par une partition NTFS de la totalité moins 1 MiO de l'espace disque de la clé et une partition de boot en FAT16 de 1 MiO .</note> | mio

151 Mot inconnu : WoeUSB => Utilisation de WoeUSB 5.2.2 sur Ubuntu 20.04 ou Ubuntu 22.04 à partir de la source | woeusb

153 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => **I - Mettre en Place WoeUSB 5.2.2** |  -  => suggestions : [' – ', ' — ', ' − ']
153 Mot inconnu : WoeUSB => **I - Mettre en Place WoeUSB 5.2.2** | woeusb

155 Il manque un espace à côté du tiret. => 1- Vérifier si le tutorial est d'actualité. Tutorial pour Ubuntu 20.04 ou 22.04 | -  => suggestions : [' – ', ' — ']
155 Mot inconnu : tutorial => 1- Vérifier si le tutorial est d'actualité. Tutorial pour Ubuntu 20.04 ou 22.04 | tutorial
155 Mot inconnu : Tutorial => 1- Vérifier si le tutorial est d'actualité. Tutorial pour Ubuntu 20.04 ou 22.04 | tutorial
157 Il manque un espace à côté du tiret. => <code bash>lsb_release -a</code> |  - => suggestions : [' – ', ' — ']

159 Il manque un espace à côté du tiret. => 2- Se rendre dans le dossier personnel, attention de ne pas être en Root # | -  => suggestions : [' – ', ' — ']
159 Mot inconnu : Root => 2- Se rendre dans le dossier personnel, attention de ne pas être en Root # | root

161 Espace(s) en fin de ligne à supprimer. => <code bash>cd ~/</code>  |   => suggestions : ['']

163 Il manque un espace à côté du tiret. => 3- Téléchargement de la version WoeUSB sur leur site officiel GitHub | -  => suggestions : [' – ', ' — ']
163 Mot inconnu : WoeUSB => 3- Téléchargement de la version WoeUSB sur leur site officiel GitHub | woeusb
163 Mot inconnu : GitHub => 3- Téléchargement de la version WoeUSB sur leur site officiel GitHub | github

167 Il manque un espace à côté du tiret. => 4- Rendre exécutable la source | -  => suggestions : [' – ', ' — ']

171 Il manque un espace à côté du tiret. => 5- Mise à jour de la base de registre & Installation de la dépendance nécessaire à son exécution wimtools  | -  => suggestions : [' – ', ' — ']
171 Mot inconnu : wimtools => 5- Mise à jour de la base de registre & Installation de la dépendance nécessaire à son exécution wimtools  | wimtools
171 Espace(s) en fin de ligne à supprimer. => 5- Mise à jour de la base de registre & Installation de la dépendance nécessaire à son exécution wimtools  |   => suggestions : ['']

175 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => **II - Préparation et Installation de la clé USB** |  -  => suggestions : [' – ', ' — ', ' − ']

177 Il manque un espace à côté du tiret. => 1- Vérifier où est la clé USB ou autre support.  | -  => suggestions : [' – ', ' — ']
177 Espace(s) en fin de ligne à supprimer. => 1- Vérifier où est la clé USB ou autre support.  |   => suggestions : ['']
179 Il manque un espace à côté du tiret. => <code bash>sudo fdisk -l</code> |  - => suggestions : [' – ', ' — ']

181 Il manque un espace à côté du tiret. => 2- Démonter la clé, avant utilisation de WoeUSB, sinon erreur. (Remplacer la lettre** X** par la bonne lettre.) | -  => suggestions : [' – ', ' — ']
181 Mot inconnu : WoeUSB => 2- Démonter la clé, avant utilisation de WoeUSB, sinon erreur. (Remplacer la lettre** X** par la bonne lettre.) | woeusb

182 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

183 Mot inconnu : ERROR => <note warning>ERROR: Target device is currently busy, **unmount all mounted partitions** in target device then try again | error
183 Mot inconnu : Target => <note warning>ERROR: Target device is currently busy, **unmount all mounted partitions** in target device then try again | target
183 Mot inconnu : device => <note warning>ERROR: Target device is currently busy, **unmount all mounted partitions** in target device then try again | device
183 Mot inconnu : is => <note warning>ERROR: Target device is currently busy, **unmount all mounted partitions** in target device then try again | is
183 Mot inconnu : currently => <note warning>ERROR: Target device is currently busy, **unmount all mounted partitions** in target device then try again | currently
183 Mot inconnu : busy => <note warning>ERROR: Target device is currently busy, **unmount all mounted partitions** in target device then try again | busy
183 Mot inconnu : unmount => <note warning>ERROR: Target device is currently busy, **unmount all mounted partitions** in target device then try again | unmount
183 Mot inconnu : all => <note warning>ERROR: Target device is currently busy, **unmount all mounted partitions** in target device then try again | all
183 Mot inconnu : mounted => <note warning>ERROR: Target device is currently busy, **unmount all mounted partitions** in target device then try again | mounted
183 Mot inconnu : target => <note warning>ERROR: Target device is currently busy, **unmount all mounted partitions** in target device then try again | target
183 Mot inconnu : device => <note warning>ERROR: Target device is currently busy, **unmount all mounted partitions** in target device then try again | device
183 Mot inconnu : then => <note warning>ERROR: Target device is currently busy, **unmount all mounted partitions** in target device then try again | then
183 Mot inconnu : try => <note warning>ERROR: Target device is currently busy, **unmount all mounted partitions** in target device then try again | try
183 Mot inconnu : again => <note warning>ERROR: Target device is currently busy, **unmount all mounted partitions** in target device then try again | again

186 Mot inconnu : umount => umount /dev/sdX2 </code> | umount

188 Il manque un espace à côté du tiret. => 3- Lancer WoeUSB choisir le fichier && le support  | -  => suggestions : [' – ', ' — ']
188 Mot inconnu : WoeUSB => 3- Lancer WoeUSB choisir le fichier && le support  | woeusb
188 Espace(s) en fin de ligne à supprimer. => 3- Lancer WoeUSB choisir le fichier && le support  |   => suggestions : ['']

192 Espace(s) surnuméraire(s) à supprimer. => La durée de fabrication est d'environ  [[https://forum.ubuntu-fr.org/viewtopic.php?pid=22506474#p22506474|16]]minutes dont un temps important pour installer la structure de boot LEGACY. |    => suggestions : [' ']
192 Mot inconnu : boot => La durée de fabrication est d'environ  [[https://forum.ubuntu-fr.org/viewtopic.php?pid=22506474#p22506474|16]]minutes dont un temps important pour installer la structure de boot LEGACY. | boot
192 Mot inconnu : LEGACY => La durée de fabrication est d'environ  [[https://forum.ubuntu-fr.org/viewtopic.php?pid=22506474#p22506474|16]]minutes dont un temps important pour installer la structure de boot LEGACY. | legacy

200 Guillemets typographiques ouvrants. => 1 Il est possible de connaître le "device" de la clé USB en utilisant GParted ou blkid. | " => suggestions : ['«\xa0', '“']
200 Mot inconnu : device => 1 Il est possible de connaître le "device" de la clé USB en utilisant GParted ou blkid. | device
200 Guillemets typographiques fermants. => 1 Il est possible de connaître le "device" de la clé USB en utilisant GParted ou blkid. | " => suggestions : ['\xa0»', '”']
200 Mot inconnu : GParted => 1 Il est possible de connaître le "device" de la clé USB en utilisant GParted ou blkid. | gparted
200 Mot inconnu : blkid => 1 Il est possible de connaître le "device" de la clé USB en utilisant GParted ou blkid. | blkid
209 Il manque un espace. => //Contributeur : [[utilisateurs:Stylou|Stylou]], Canigou 66, 0ol, Clapico// | stylou => suggestions : [' Stylou']
209 Mot inconnu : Canigou => //Contributeur : [[utilisateurs:Stylou|Stylou]], Canigou 66, 0ol, Clapico// | canigou
209 Mot inconnu : ol => //Contributeur : [[utilisateurs:Stylou|Stylou]], Canigou 66, 0ol, Clapico// | ol
209 Mot inconnu : Clapico => //Contributeur : [[utilisateurs:Stylou|Stylou]], Canigou 66, 0ol, Clapico// | clapico
