
4 Mot inconnu : dvdrip => ====== Comment utiliser dvdrip/transcode en mode cluster ? ====== | dvdrip
139 Mot inconnu : passphrase => "Enter passphrase (empty for no passphrase):" entrer le mot de passe ou passphrase de votre choix (5 caractères minimum).\\ | passphrase

144 Mot inconnu : tux3 => mot de passe utilisateur tux3 | tux3

147 Mot inconnu : tux2 => mot de passe utilisateur tux2 | tux2

149 Typographie : points de suspension. Utilisez le caractère dédié. => ainsi de suite pour toutes les machines connectées.... | .... => suggestions : ['…']

153 Mot inconnu : passphrase => et entrer le mot de passe ou passphrase donné un peu plus haut.\\ | passphrase

155 Espace(s) en fin de ligne à supprimer. => === Attention ===  |   => suggestions : ['']

156 Mot inconnu : PC1 => Si vous devez redémarrer **PC1**, vous devrez retaper après chaque redémarrage | pc1

158 Mot inconnu : passphrase => et le mot de passe ou passphrase, c'est tout.\\ | passphrase

160 Mot inconnu : SSH => On arrive à la fin de la configuration de SSH.\\  | ssh
160 Espace(s) en fin de ligne à supprimer. => On arrive à la fin de la configuration de SSH.\\  |   => suggestions : ['']

168 Mot inconnu : fstab => ===== 7. Montage automatique des fichiers (fstab) sur PC2 et PC3 ===== | fstab
168 Mot inconnu : PC2 => ===== 7. Montage automatique des fichiers (fstab) sur PC2 et PC3 ===== | pc2
168 Mot inconnu : PC3 => ===== 7. Montage automatique des fichiers (fstab) sur PC2 et PC3 ===== | pc3

170 Mot inconnu : NFS => Tout à l'heure, nous avons configuré le serveur NFS sur **PC1** pour partager son répertoire /home/tux1/Divx\\ (rappelez-vous le gksudo gedit /etc/exports), et bien maintenant nous allons donc monter (virtuellement) ce répertoire dans **PC2** et **PC3**. | nfs
170 Mot inconnu : PC1 => Tout à l'heure, nous avons configuré le serveur NFS sur **PC1** pour partager son répertoire /home/tux1/Divx\\ (rappelez-vous le gksudo gedit /etc/exports), et bien maintenant nous allons donc monter (virtuellement) ce répertoire dans **PC2** et **PC3**. | pc1
170 Mot inconnu : gksudo => Tout à l'heure, nous avons configuré le serveur NFS sur **PC1** pour partager son répertoire /home/tux1/Divx\\ (rappelez-vous le gksudo gedit /etc/exports), et bien maintenant nous allons donc monter (virtuellement) ce répertoire dans **PC2** et **PC3**. | gksudo
170 Mot inconnu : gedit => Tout à l'heure, nous avons configuré le serveur NFS sur **PC1** pour partager son répertoire /home/tux1/Divx\\ (rappelez-vous le gksudo gedit /etc/exports), et bien maintenant nous allons donc monter (virtuellement) ce répertoire dans **PC2** et **PC3**. | gedit
170 Mot inconnu : PC2 => Tout à l'heure, nous avons configuré le serveur NFS sur **PC1** pour partager son répertoire /home/tux1/Divx\\ (rappelez-vous le gksudo gedit /etc/exports), et bien maintenant nous allons donc monter (virtuellement) ce répertoire dans **PC2** et **PC3**. | pc2
170 Mot inconnu : PC3 => Tout à l'heure, nous avons configuré le serveur NFS sur **PC1** pour partager son répertoire /home/tux1/Divx\\ (rappelez-vous le gksudo gedit /etc/exports), et bien maintenant nous allons donc monter (virtuellement) ce répertoire dans **PC2** et **PC3**. | pc3

172 Mot inconnu : PC2 => === Faites cette manipulation sur toutes vos machines connectées (PC2, PC3, PC4...)=== | pc2
172 Mot inconnu : PC3 => === Faites cette manipulation sur toutes vos machines connectées (PC2, PC3, PC4...)=== | pc3
172 Mot inconnu : PC4 => === Faites cette manipulation sur toutes vos machines connectées (PC2, PC3, PC4...)=== | pc4
172 Typographie : points de suspension. Utilisez le caractère dédié. => === Faites cette manipulation sur toutes vos machines connectées (PC2, PC3, PC4...)=== | ... => suggestions : ['…']

174 Mot inconnu : PC2 => Exemple à effectuer sur la machine **PC2** : | pc2

179 Mot inconnu : Enregistez => Enregistez et fermez. | enregistez

186 Mot inconnu : statd => statd:192.168.2.2 192.168.2.3</code> | statd

200 Mot inconnu : dvdrip => ===== 8. dvdrip ===== | dvdrip

202 Mot inconnu : PC2 => Si tout s'est bien déroulé, nous n'avons plus à intervenir sur **PC2**, **PC3**...\\  | pc2
202 Mot inconnu : PC3 => Si tout s'est bien déroulé, nous n'avons plus à intervenir sur **PC2**, **PC3**...\\  | pc3
202 Typographie : points de suspension. Utilisez le caractère dédié. => Si tout s'est bien déroulé, nous n'avons plus à intervenir sur **PC2**, **PC3**...\\  | ... => suggestions : ['…']
202 Espace(s) en fin de ligne à supprimer. => Si tout s'est bien déroulé, nous n'avons plus à intervenir sur **PC2**, **PC3**...\\  |   => suggestions : ['']

203 Mot inconnu : PC1 => Tout se passe maintenant sur **PC1**. Allez courage, le plus intéressant arrive. | pc1

207 Mot inconnu : dvdrip => Selon la version utilisée de **dvdrip**, nous pouvons trouver le bouton //Grappe// ou //Cluster//, c'est la même chose.  | dvdrip
207 Espace(s) en fin de ligne à supprimer. => Selon la version utilisée de **dvdrip**, nous pouvons trouver le bouton //Grappe// ou //Cluster//, c'est la même chose.  |   => suggestions : ['']

209 Mot inconnu : dvdrip => Lancer **dvdrip** puis //Edition --> préférences// | dvdrip
209 Mot inconnu : Edition => Lancer **dvdrip** puis //Edition --> préférences// | edition

217 Guillemets typographiques ouvrants. => Toujours dans les préférences, à "Options de la grappe" ou "Options du cluster" selon votre version : | " => suggestions : ['«\xa0', '“']
217 Guillemets typographiques fermants. => Toujours dans les préférences, à "Options de la grappe" ou "Options du cluster" selon votre version : | " => suggestions : ['\xa0»', '”']
217 Guillemets typographiques ouvrants. => Toujours dans les préférences, à "Options de la grappe" ou "Options du cluster" selon votre version : | " => suggestions : ['«\xa0', '“']
217 Guillemets typographiques fermants. => Toujours dans les préférences, à "Options de la grappe" ou "Options du cluster" selon votre version : | " => suggestions : ['\xa0»', '”']

221 Mot inconnu : noeuds => ==== Configuration du cluster et ajouts des noeuds (pc1, pc2 et pc3) ==== | noeuds
221 Mot inconnu : pc1 => ==== Configuration du cluster et ajouts des noeuds (pc1, pc2 et pc3) ==== | pc1
221 Mot inconnu : pc2 => ==== Configuration du cluster et ajouts des noeuds (pc1, pc2 et pc3) ==== | pc2
221 Mot inconnu : pc3 => ==== Configuration du cluster et ajouts des noeuds (pc1, pc2 et pc3) ==== | pc3

223 Guillemets typographiques ouvrants. => Il est temps d'ajouter enfin toutes les machines de votre réseau, que l'on va à présent appeler "noeuds".\\ | " => suggestions : ['«\xa0', '“']
223 Mot inconnu : noeuds => Il est temps d'ajouter enfin toutes les machines de votre réseau, que l'on va à présent appeler "noeuds".\\ | noeuds
223 Guillemets typographiques fermants. => Il est temps d'ajouter enfin toutes les machines de votre réseau, que l'on va à présent appeler "noeuds".\\ | " => suggestions : ['\xa0»', '”']

224 Mot inconnu : noeud => Grappe --> panneau de contrôle --> ajouter un noeud | noeud

226 Mot inconnu : noeud => D'abord on ajoute le noeud du PC principal **PC1** :\\ | noeud
226 Mot inconnu : PC1 => D'abord on ajoute le noeud du PC principal **PC1** :\\ | pc1

230 Guillemets typographiques ouvrants. => Un petit "test", et vous devriez voir ceci : | " => suggestions : ['«\xa0', '“']
230 Guillemets typographiques fermants. => Un petit "test", et vous devriez voir ceci : | " => suggestions : ['\xa0»', '”']

234 Mot inconnu : noeuds => On ajoute ensuite tous les autres noeuds un par un, "ajouter un noeud" toujours, mais cette fois avec ce genre de configuration, un exemple avec **PC2** : | noeuds
234 Guillemets typographiques ouvrants. => On ajoute ensuite tous les autres noeuds un par un, "ajouter un noeud" toujours, mais cette fois avec ce genre de configuration, un exemple avec **PC2** : | " => suggestions : ['«\xa0', '“']
234 Mot inconnu : noeud => On ajoute ensuite tous les autres noeuds un par un, "ajouter un noeud" toujours, mais cette fois avec ce genre de configuration, un exemple avec **PC2** : | noeud
234 Guillemets typographiques fermants. => On ajoute ensuite tous les autres noeuds un par un, "ajouter un noeud" toujours, mais cette fois avec ce genre de configuration, un exemple avec **PC2** : | " => suggestions : ['\xa0»', '”']
234 Mot inconnu : PC2 => On ajoute ensuite tous les autres noeuds un par un, "ajouter un noeud" toujours, mais cette fois avec ce genre de configuration, un exemple avec **PC2** : | pc2

238 Guillemets typographiques ouvrants. => Un autre "test", et on obtient un seul "not ok" : | " => suggestions : ['«\xa0', '“']
238 Guillemets typographiques fermants. => Un autre "test", et on obtient un seul "not ok" : | " => suggestions : ['\xa0»', '”']
238 Guillemets typographiques ouvrants. => Un autre "test", et on obtient un seul "not ok" : | " => suggestions : ['«\xa0', '“']
238 Mot inconnu : not => Un autre "test", et on obtient un seul "not ok" : | not
238 Mot inconnu : ok => Un autre "test", et on obtient un seul "not ok" : | ok
238 Guillemets typographiques fermants. => Un autre "test", et on obtient un seul "not ok" : | " => suggestions : ['\xa0»', '”']

243 Mot inconnu : PC2 => Ajouter au fur et à mesure toutes les machines de votre réseau, en prenant comme exemple **PC2**. | pc2

245 Mot inconnu : noeuds => Votre panneau de contrôle doit maintenant contenir tous vos noeuds/machines disponibles et ils sont pour le moment arrêtés.  | noeuds
245 Espace(s) en fin de ligne à supprimer. => Votre panneau de contrôle doit maintenant contenir tous vos noeuds/machines disponibles et ils sont pour le moment arrêtés.  |   => suggestions : ['']

247 Guillemets typographiques ouvrants. => Faites "démarrer le noeud" pour chacun d'eux.  | " => suggestions : ['«\xa0', '“']
247 Mot inconnu : noeud => Faites "démarrer le noeud" pour chacun d'eux.  | noeud
247 Guillemets typographiques fermants. => Faites "démarrer le noeud" pour chacun d'eux.  | " => suggestions : ['\xa0»', '”']
247 Espace(s) en fin de ligne à supprimer. => Faites "démarrer le noeud" pour chacun d'eux.  |   => suggestions : ['']

248 Mot inconnu : PC1 => **PC1** est le plus rapide à se connecter, pour les deux autres la connexion met une dizaine de secondes, jusqu'à se mettre en position "idle", c'est à dire prêt à travailler. | pc1
248 Guillemets typographiques ouvrants. => **PC1** est le plus rapide à se connecter, pour les deux autres la connexion met une dizaine de secondes, jusqu'à se mettre en position "idle", c'est à dire prêt à travailler. | " => suggestions : ['«\xa0', '“']
248 Mot inconnu : idle => **PC1** est le plus rapide à se connecter, pour les deux autres la connexion met une dizaine de secondes, jusqu'à se mettre en position "idle", c'est à dire prêt à travailler. | idle
248 Guillemets typographiques fermants. => **PC1** est le plus rapide à se connecter, pour les deux autres la connexion met une dizaine de secondes, jusqu'à se mettre en position "idle", c'est à dire prêt à travailler. | " => suggestions : ['\xa0»', '”']
248 Il manque les traits d’union. => **PC1** est le plus rapide à se connecter, pour les deux autres la connexion met une dizaine de secondes, jusqu'à se mettre en position "idle", c'est à dire prêt à travailler. | c'est à dire => suggestions : ['c’est-à-dire']

256 Mot inconnu : dvdcss2 => Insérer un DVD, je vous conseille de juste lire le début de ce DVD dans votre lecteur multimédia afin de déverrouiller la sécurité (grâce à //libdvdcss2//). Une fois que le DVD passe bien:\\ | dvdcss2

259 Mot inconnu : dvdrip => dvdrip --> Fichier --> nouveau projet\\ | dvdrip

260 Guillemets typographiques ouvrants. => Pour l'exemple je l'ai appelé "22" | " => suggestions : ['«\xa0', '“']
260 Guillemets typographiques fermants. => Pour l'exemple je l'ai appelé "22" | " => suggestions : ['\xa0»', '”']

265 Mot inconnu : dvdrip => dvdrip --> Extraction --> lire la table des matières du DVD\\ | dvdrip

266 Accord de genre erroné avec « plages ». => Les différents plages du DVD apparaissent comme ceci:\\ | différents => suggestions : ['différentes']
266 Accord de genre erroné entre « différents » et « plages ». => Les différents plages du DVD apparaissent comme ceci:\\ | plages => suggestions : []

271 Guillemets typographiques ouvrants. => Utilisez "visualiser les titres ou chapitres sélectionnés" pour être sûr de sélectionner la bonne plage.\\  | " => suggestions : ['«\xa0', '“']
271 Guillemets typographiques fermants. => Utilisez "visualiser les titres ou chapitres sélectionnés" pour être sûr de sélectionner la bonne plage.\\  | " => suggestions : ['\xa0»', '”']
271 Espace(s) en fin de ligne à supprimer. => Utilisez "visualiser les titres ou chapitres sélectionnés" pour être sûr de sélectionner la bonne plage.\\  |   => suggestions : ['']
275 Mot inconnu : PC1 => Prévoyez au moins 7 Go de libre (film complet) sur le disque dur de **PC1**\\  | pc1
275 Espace(s) en fin de ligne à supprimer. => Prévoyez au moins 7 Go de libre (film complet) sur le disque dur de **PC1**\\  |   => suggestions : ['']

276 Espace(s) en fin de ligne à supprimer. => Quand vous avez sélectionné votre plage\\  |   => suggestions : ['']

277 Guillemets typographiques ouvrants. => --> faites "extraire les titres ou chapitres sélectionnés"\\ | " => suggestions : ['«\xa0', '“']
277 Guillemets typographiques fermants. => --> faites "extraire les titres ou chapitres sélectionnés"\\ | " => suggestions : ['\xa0»', '”']

281 Mot inconnu : PC2 => Pendant l'extraction, profitez-en pour regarder sur **PC2** et **PC3** dans leur /home/tux(2et3)/Divx respectif.\\ | pc2
281 Mot inconnu : PC3 => Pendant l'extraction, profitez-en pour regarder sur **PC2** et **PC3** dans leur /home/tux(2et3)/Divx respectif.\\ | pc3
281 Il manque un espace avant la parenthèse. => Pendant l'extraction, profitez-en pour regarder sur **PC2** et **PC3** dans leur /home/tux(2et3)/Divx respectif.\\ | ( => suggestions : [' (']

282 Guillemets typographiques ouvrants. => Le fichier "22" devrait être présent. | " => suggestions : ['«\xa0', '“']
282 Guillemets typographiques fermants. => Le fichier "22" devrait être présent. | " => suggestions : ['\xa0»', '”']

285 Mot inconnu : PC2 => Il faut garder à l'esprit que les répertoires /home/tux2/Divx et /home/tux3/Divx ne sont rien d'autre qu'un accès direct à /home/tux1/Divx. Rien n'est écrit sur le disque dur de **PC2** et **PC3**. Mais toute mauvaise manipulation dans le fichier "Divx" que l'on soit sur **PC2**, **PC3**... aura des répercussions sur toute la procédure. | pc2
285 Mot inconnu : PC3 => Il faut garder à l'esprit que les répertoires /home/tux2/Divx et /home/tux3/Divx ne sont rien d'autre qu'un accès direct à /home/tux1/Divx. Rien n'est écrit sur le disque dur de **PC2** et **PC3**. Mais toute mauvaise manipulation dans le fichier "Divx" que l'on soit sur **PC2**, **PC3**... aura des répercussions sur toute la procédure. | pc3
285 Guillemets typographiques ouvrants. => Il faut garder à l'esprit que les répertoires /home/tux2/Divx et /home/tux3/Divx ne sont rien d'autre qu'un accès direct à /home/tux1/Divx. Rien n'est écrit sur le disque dur de **PC2** et **PC3**. Mais toute mauvaise manipulation dans le fichier "Divx" que l'on soit sur **PC2**, **PC3**... aura des répercussions sur toute la procédure. | " => suggestions : ['«\xa0', '“']
285 Mot inconnu : Divx => Il faut garder à l'esprit que les répertoires /home/tux2/Divx et /home/tux3/Divx ne sont rien d'autre qu'un accès direct à /home/tux1/Divx. Rien n'est écrit sur le disque dur de **PC2** et **PC3**. Mais toute mauvaise manipulation dans le fichier "Divx" que l'on soit sur **PC2**, **PC3**... aura des répercussions sur toute la procédure. | divx
285 Guillemets typographiques fermants. => Il faut garder à l'esprit que les répertoires /home/tux2/Divx et /home/tux3/Divx ne sont rien d'autre qu'un accès direct à /home/tux1/Divx. Rien n'est écrit sur le disque dur de **PC2** et **PC3**. Mais toute mauvaise manipulation dans le fichier "Divx" que l'on soit sur **PC2**, **PC3**... aura des répercussions sur toute la procédure. | " => suggestions : ['\xa0»', '”']
285 Mot inconnu : PC2 => Il faut garder à l'esprit que les répertoires /home/tux2/Divx et /home/tux3/Divx ne sont rien d'autre qu'un accès direct à /home/tux1/Divx. Rien n'est écrit sur le disque dur de **PC2** et **PC3**. Mais toute mauvaise manipulation dans le fichier "Divx" que l'on soit sur **PC2**, **PC3**... aura des répercussions sur toute la procédure. | pc2
285 Mot inconnu : PC3 => Il faut garder à l'esprit que les répertoires /home/tux2/Divx et /home/tux3/Divx ne sont rien d'autre qu'un accès direct à /home/tux1/Divx. Rien n'est écrit sur le disque dur de **PC2** et **PC3**. Mais toute mauvaise manipulation dans le fichier "Divx" que l'on soit sur **PC2**, **PC3**... aura des répercussions sur toute la procédure. | pc3
285 Typographie : points de suspension. Utilisez le caractère dédié. => Il faut garder à l'esprit que les répertoires /home/tux2/Divx et /home/tux3/Divx ne sont rien d'autre qu'un accès direct à /home/tux1/Divx. Rien n'est écrit sur le disque dur de **PC2** et **PC3**. Mais toute mauvaise manipulation dans le fichier "Divx" que l'on soit sur **PC2**, **PC3**... aura des répercussions sur toute la procédure. | ... => suggestions : ['…']

287 Mot inconnu : PC1 => En revanche, et c'est là que cette technique est appréciable, si une machine tombe en panne ou se bloque pour diverses raisons, à part **PC1** évidemment, il n'y aura aucun problème. Le démon cluster attribuera la tâche en cours de la machine fautive à une autre machine, c'est un système très souple et très stable. Vous pourrez à tout moment arrêter n'importe quel noeud, même **PC1**. | pc1
287 Mot inconnu : noeud => En revanche, et c'est là que cette technique est appréciable, si une machine tombe en panne ou se bloque pour diverses raisons, à part **PC1** évidemment, il n'y aura aucun problème. Le démon cluster attribuera la tâche en cours de la machine fautive à une autre machine, c'est un système très souple et très stable. Vous pourrez à tout moment arrêter n'importe quel noeud, même **PC1**. | noeud
287 Mot inconnu : PC1 => En revanche, et c'est là que cette technique est appréciable, si une machine tombe en panne ou se bloque pour diverses raisons, à part **PC1** évidemment, il n'y aura aucun problème. Le démon cluster attribuera la tâche en cours de la machine fautive à une autre machine, c'est un système très souple et très stable. Vous pourrez à tout moment arrêter n'importe quel noeud, même **PC1**. | pc1
291 Typographie : points de suspension. Utilisez le caractère dédié. => Je ne rentre pas dans les détails d'encodage proprement dit : redimensionnement, sous-titres... chacun ses goûts.\\  | ... => suggestions : ['…']
291 Espace(s) en fin de ligne à supprimer. => Je ne rentre pas dans les détails d'encodage proprement dit : redimensionnement, sous-titres... chacun ses goûts.\\  |   => suggestions : ['']
292 Mot inconnu : avi => Juste pour information, le trio : //conteneur avi --> xvid4 mode pass 2 --> Sons AC3// fonctionne parfaitement en mode cluster.\\ En revanche, j'ai rencontré des problèmes lors de l'encodage du son en MP3 et Ogg\\  | avi
292 Mot inconnu : xvid4 => Juste pour information, le trio : //conteneur avi --> xvid4 mode pass 2 --> Sons AC3// fonctionne parfaitement en mode cluster.\\ En revanche, j'ai rencontré des problèmes lors de l'encodage du son en MP3 et Ogg\\  | xvid4
292 Mot inconnu : pass => Juste pour information, le trio : //conteneur avi --> xvid4 mode pass 2 --> Sons AC3// fonctionne parfaitement en mode cluster.\\ En revanche, j'ai rencontré des problèmes lors de l'encodage du son en MP3 et Ogg\\  | pass
292 Mot inconnu : AC3 => Juste pour information, le trio : //conteneur avi --> xvid4 mode pass 2 --> Sons AC3// fonctionne parfaitement en mode cluster.\\ En revanche, j'ai rencontré des problèmes lors de l'encodage du son en MP3 et Ogg\\  | ac3
292 Espace(s) en fin de ligne à supprimer. => Juste pour information, le trio : //conteneur avi --> xvid4 mode pass 2 --> Sons AC3// fonctionne parfaitement en mode cluster.\\ En revanche, j'ai rencontré des problèmes lors de l'encodage du son en MP3 et Ogg\\  |   => suggestions : ['']

293 Il manque un trait d’union. => J'attends des retours là dessus.\\ | là dessus => suggestions : ['là-dessus']

295 Mot inconnu : PC1 => Le mode cluster ne permet pas la prévisualisation d'un échantillon. Pour cela vous utiliserez uniquement **PC1**. | pc1

299 Guillemets typographiques ouvrants. => Encoder --> "ajouter à la grappe" en bas à droite, cette fenêtre apparaît:  | " => suggestions : ['«\xa0', '“']
299 Guillemets typographiques fermants. => Encoder --> "ajouter à la grappe" en bas à droite, cette fenêtre apparaît:  | " => suggestions : ['\xa0»', '”']
299 Espace(s) en fin de ligne à supprimer. => Encoder --> "ajouter à la grappe" en bas à droite, cette fenêtre apparaît:  |   => suggestions : ['']

303 Mot inconnu : avi => Ici je vous conseille de mettre //Oui// pour la suppression des fichiers **avi** temporaires, en revanche //Non// pour les fichiers **Vob**, car si votre encodage ne vous convient pas, vous pourrez le reprendre sans problème. Validez. | avi
303 Mot inconnu : Vob => Ici je vous conseille de mettre //Oui// pour la suppression des fichiers **avi** temporaires, en revanche //Non// pour les fichiers **Vob**, car si votre encodage ne vous convient pas, vous pourrez le reprendre sans problème. Validez. | vob

305 Mot inconnu : noeuds => Vérifier que vos noeuds sont démarrés et faites "Programmer ce projet" ou "Schedule Project". | noeuds
305 Guillemets typographiques ouvrants. => Vérifier que vos noeuds sont démarrés et faites "Programmer ce projet" ou "Schedule Project". | " => suggestions : ['«\xa0', '“']
305 Guillemets typographiques fermants. => Vérifier que vos noeuds sont démarrés et faites "Programmer ce projet" ou "Schedule Project". | " => suggestions : ['\xa0»', '”']
305 Guillemets typographiques ouvrants. => Vérifier que vos noeuds sont démarrés et faites "Programmer ce projet" ou "Schedule Project". | " => suggestions : ['«\xa0', '“']
305 Mot inconnu : Schedule => Vérifier que vos noeuds sont démarrés et faites "Programmer ce projet" ou "Schedule Project". | schedule
305 Mot inconnu : Project => Vérifier que vos noeuds sont démarrés et faites "Programmer ce projet" ou "Schedule Project". | project
305 Guillemets typographiques fermants. => Vérifier que vos noeuds sont démarrés et faites "Programmer ce projet" ou "Schedule Project". | " => suggestions : ['\xa0»', '”']

306 Mot inconnu : noeuds => Normalement tous vos noeuds doivent se mettre au travail, comme ceci: | noeuds

319 Espace(s) en fin de ligne à supprimer. => Comme je l'ai annoncé dans la section [[#materiel|matériel]], tout ordinateur même le vieux coucou peut être utile dans ce genre de configuration, car tout calcul effectué par celui-ci ne sera pas à faire par vos bêtes de course.\\  |   => suggestions : ['']

320 Guillemets typographiques ouvrants. => Comme c'est un système très souple, le petit PC peut commencer une tâche tranquillement, mais il n'est pas obligé de la finir, vous pouvez sans problème le "stopper", un autre PC prendra le relais. | " => suggestions : ['«\xa0', '“']
320 Guillemets typographiques fermants. => Comme c'est un système très souple, le petit PC peut commencer une tâche tranquillement, mais il n'est pas obligé de la finir, vous pouvez sans problème le "stopper", un autre PC prendra le relais. | " => suggestions : ['\xa0»', '”']

324 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Le mode cluster perd tout son sens car vous allez peut-être attendre des heures.\\ |  car => suggestions : [', car']

327 Mot inconnu : noeud => Stoppez le noeud du PC poussif, puis les autres, en ne laissant que celui de la machine la plus puissante, c'est celui-ci qui prendra le relais et qui finira le travail beaucoup plus rapidement. | noeud

333 Guillemets typographiques ouvrants. => Dans ce cas stoppez "tous les noeuds" --> sélectionnez le projet à finir (en haut du panneau de contrôle) et redémarrez le PC le plus puissant en premier, il finira le travail. Puis redémarrez tous les autres noeuds qui se remettront au boulot sur les autres projets. | " => suggestions : ['«\xa0', '“']
333 Mot inconnu : noeuds => Dans ce cas stoppez "tous les noeuds" --> sélectionnez le projet à finir (en haut du panneau de contrôle) et redémarrez le PC le plus puissant en premier, il finira le travail. Puis redémarrez tous les autres noeuds qui se remettront au boulot sur les autres projets. | noeuds
333 Guillemets typographiques fermants. => Dans ce cas stoppez "tous les noeuds" --> sélectionnez le projet à finir (en haut du panneau de contrôle) et redémarrez le PC le plus puissant en premier, il finira le travail. Puis redémarrez tous les autres noeuds qui se remettront au boulot sur les autres projets. | " => suggestions : ['\xa0»', '”']
333 Mot inconnu : noeuds => Dans ce cas stoppez "tous les noeuds" --> sélectionnez le projet à finir (en haut du panneau de contrôle) et redémarrez le PC le plus puissant en premier, il finira le travail. Puis redémarrez tous les autres noeuds qui se remettront au boulot sur les autres projets. | noeuds

341 Mot inconnu : noeuds => == Si vous constatez que les noeuds distants se mettent en position "running" mais qu'il n'y a aucune activité == | noeuds
341 Guillemets typographiques ouvrants. => == Si vous constatez que les noeuds distants se mettent en position "running" mais qu'il n'y a aucune activité == | " => suggestions : ['«\xa0', '“']
341 Guillemets typographiques fermants. => == Si vous constatez que les noeuds distants se mettent en position "running" mais qu'il n'y a aucune activité == | " => suggestions : ['\xa0»', '”']

346 Mot inconnu : portmap => Redémarrez portmap\\ | portmap

348 Guillemets typographiques ouvrants. => Vérifiez que le montage du dossier "Divx" sur les PC distants fonctionne bien. | " => suggestions : ['«\xa0', '“']
348 Mot inconnu : Divx => Vérifiez que le montage du dossier "Divx" sur les PC distants fonctionne bien. | divx
348 Guillemets typographiques fermants. => Vérifiez que le montage du dossier "Divx" sur les PC distants fonctionne bien. | " => suggestions : ['\xa0»', '”']

349 Mot inconnu : firewall => Assurez-vous qu'un firewall ne bloque pas l'accès. | firewall

351 Typographie : points de suspension. Utilisez le caractère dédié. => Si toujours rien lire la suite...\\ | ... => suggestions : ['…']

353 Guillemets typographiques ouvrants. => == "Can't start local Démon..." == | " => suggestions : ['«\xa0', '“']
353 Mot inconnu : Can't => == "Can't start local Démon..." == | can't
353 Mot inconnu : start => == "Can't start local Démon..." == | start
353 Typographie : points de suspension. Utilisez le caractère dédié. => == "Can't start local Démon..." == | ... => suggestions : ['…']
353 Guillemets typographiques fermants. => == "Can't start local Démon..." == | " => suggestions : ['\xa0»', '”']

356 Mot inconnu : dvdrip => Redémarrez dvdrip\\ | dvdrip

357 Mot inconnu : portmap => Redémarrez portmap\\ | portmap

362 Mot inconnu : noeuds => Le message vous donne des informations sur les noeuds, les projets en cours.... Si vous avez le message suivant:\\ | noeuds
362 Typographie : points de suspension. Utilisez le caractère dédié. => Le message vous donne des informations sur les noeuds, les projets en cours.... Si vous avez le message suivant:\\ | .... => suggestions : ['…']

363 Guillemets typographiques ouvrants. => "Changement de fichier du projet" '/home/tux1/.dvdrip-master/projects/00000......22(exemple).rip'\\ | " => suggestions : ['«\xa0', '“']
363 Guillemets typographiques fermants. => "Changement de fichier du projet" '/home/tux1/.dvdrip-master/projects/00000......22(exemple).rip'\\ | " => suggestions : ['\xa0»', '”']
363 Formatage des grands nombres. => "Changement de fichier du projet" '/home/tux1/.dvdrip-master/projects/00000......22(exemple).rip'\\ | 00000 => suggestions : ['00\xa0000', '0\xa00000']
363 Typographie : succession de points. Utilisez le caractère dédié. => "Changement de fichier du projet" '/home/tux1/.dvdrip-master/projects/00000......22(exemple).rip'\\ | ...... => suggestions : ['……']
363 Il manque un espace avant la parenthèse. => "Changement de fichier du projet" '/home/tux1/.dvdrip-master/projects/00000......22(exemple).rip'\\ | ( => suggestions : [' (']

369 Mot inconnu : dvdrip => Puis //dvdrip --> Grappe --> panneau de contrôle//. | dvdrip

386 Mot inconnu : dvdrip => Site Officiel de dvdrip: http://www.exit1.org/dvdrip/index.cipp\\ | dvdrip

389 Mot inconnu : Funix => Le site Funix: http://www.funix.org/fr/linux/conversion.htm\\ | funix

390 Mot inconnu : SSH => Pour tout savoir sur SSH: http://doc.ubuntu-fr.org/ssh\\ | ssh
