
7 Mot inconnu : TPME => ====== Création d'un réseau d'entreprise pour une TPME ou une PME ====== <|> tpme
238 Pas d’espace après ce signe. => <note warning> Activer le compte root est dangereux il est plus prudent d'utiliser "sudo" pour lancer les commandes root, si vous souhaiter activer le compte root pensez a lui interdire le login par ssh ( "sudo nano /etc/ssh/sshd_config"  et modifier la ligne "permitrootlogin yes" en "permitrootlogin no") comme ca vous pourrez vous connecter en root avec la commande "sudo login root" une fois que vous êtes connecté comme utilisateur </note> <|> (  => suggestions : ['(']
238 Guillemets typographiques ouvrants. => <note warning> Activer le compte root est dangereux il est plus prudent d'utiliser "sudo" pour lancer les commandes root, si vous souhaiter activer le compte root pensez a lui interdire le login par ssh ( "sudo nano /etc/ssh/sshd_config"  et modifier la ligne "permitrootlogin yes" en "permitrootlogin no") comme ca vous pourrez vous connecter en root avec la commande "sudo login root" une fois que vous êtes connecté comme utilisateur </note> <|> " => suggestions : ['«\xa0', '“']
238 Mot inconnu : sudo => <note warning> Activer le compte root est dangereux il est plus prudent d'utiliser "sudo" pour lancer les commandes root, si vous souhaiter activer le compte root pensez a lui interdire le login par ssh ( "sudo nano /etc/ssh/sshd_config"  et modifier la ligne "permitrootlogin yes" en "permitrootlogin no") comme ca vous pourrez vous connecter en root avec la commande "sudo login root" une fois que vous êtes connecté comme utilisateur </note> <|> sudo
238 Mot inconnu : nano => <note warning> Activer le compte root est dangereux il est plus prudent d'utiliser "sudo" pour lancer les commandes root, si vous souhaiter activer le compte root pensez a lui interdire le login par ssh ( "sudo nano /etc/ssh/sshd_config"  et modifier la ligne "permitrootlogin yes" en "permitrootlogin no") comme ca vous pourrez vous connecter en root avec la commande "sudo login root" une fois que vous êtes connecté comme utilisateur </note> <|> nano
238 Guillemets typographiques ouvrants. => <note warning> Activer le compte root est dangereux il est plus prudent d'utiliser "sudo" pour lancer les commandes root, si vous souhaiter activer le compte root pensez a lui interdire le login par ssh ( "sudo nano /etc/ssh/sshd_config"  et modifier la ligne "permitrootlogin yes" en "permitrootlogin no") comme ca vous pourrez vous connecter en root avec la commande "sudo login root" une fois que vous êtes connecté comme utilisateur </note> <|> " => suggestions : ['«\xa0', '“']
238 Mot inconnu : permitrootlogin => <note warning> Activer le compte root est dangereux il est plus prudent d'utiliser "sudo" pour lancer les commandes root, si vous souhaiter activer le compte root pensez a lui interdire le login par ssh ( "sudo nano /etc/ssh/sshd_config"  et modifier la ligne "permitrootlogin yes" en "permitrootlogin no") comme ca vous pourrez vous connecter en root avec la commande "sudo login root" une fois que vous êtes connecté comme utilisateur </note> <|> permitrootlogin
238 Mot inconnu : yes => <note warning> Activer le compte root est dangereux il est plus prudent d'utiliser "sudo" pour lancer les commandes root, si vous souhaiter activer le compte root pensez a lui interdire le login par ssh ( "sudo nano /etc/ssh/sshd_config"  et modifier la ligne "permitrootlogin yes" en "permitrootlogin no") comme ca vous pourrez vous connecter en root avec la commande "sudo login root" une fois que vous êtes connecté comme utilisateur </note> <|> yes
238 Guillemets typographiques fermants. => <note warning> Activer le compte root est dangereux il est plus prudent d'utiliser "sudo" pour lancer les commandes root, si vous souhaiter activer le compte root pensez a lui interdire le login par ssh ( "sudo nano /etc/ssh/sshd_config"  et modifier la ligne "permitrootlogin yes" en "permitrootlogin no") comme ca vous pourrez vous connecter en root avec la commande "sudo login root" une fois que vous êtes connecté comme utilisateur </note> <|> " => suggestions : ['\xa0»', '”']
238 Guillemets typographiques ouvrants. => <note warning> Activer le compte root est dangereux il est plus prudent d'utiliser "sudo" pour lancer les commandes root, si vous souhaiter activer le compte root pensez a lui interdire le login par ssh ( "sudo nano /etc/ssh/sshd_config"  et modifier la ligne "permitrootlogin yes" en "permitrootlogin no") comme ca vous pourrez vous connecter en root avec la commande "sudo login root" une fois que vous êtes connecté comme utilisateur </note> <|> " => suggestions : ['«\xa0', '“']
238 Mot inconnu : permitrootlogin => <note warning> Activer le compte root est dangereux il est plus prudent d'utiliser "sudo" pour lancer les commandes root, si vous souhaiter activer le compte root pensez a lui interdire le login par ssh ( "sudo nano /etc/ssh/sshd_config"  et modifier la ligne "permitrootlogin yes" en "permitrootlogin no") comme ca vous pourrez vous connecter en root avec la commande "sudo login root" une fois que vous êtes connecté comme utilisateur </note> <|> permitrootlogin
238 Guillemets typographiques fermants. => <note warning> Activer le compte root est dangereux il est plus prudent d'utiliser "sudo" pour lancer les commandes root, si vous souhaiter activer le compte root pensez a lui interdire le login par ssh ( "sudo nano /etc/ssh/sshd_config"  et modifier la ligne "permitrootlogin yes" en "permitrootlogin no") comme ca vous pourrez vous connecter en root avec la commande "sudo login root" une fois que vous êtes connecté comme utilisateur </note> <|> " => suggestions : ['\xa0»', '”']
238 Mot inconnu : ca => <note warning> Activer le compte root est dangereux il est plus prudent d'utiliser "sudo" pour lancer les commandes root, si vous souhaiter activer le compte root pensez a lui interdire le login par ssh ( "sudo nano /etc/ssh/sshd_config"  et modifier la ligne "permitrootlogin yes" en "permitrootlogin no") comme ca vous pourrez vous connecter en root avec la commande "sudo login root" une fois que vous êtes connecté comme utilisateur </note> <|> ca
238 Mot inconnu : root => <note warning> Activer le compte root est dangereux il est plus prudent d'utiliser "sudo" pour lancer les commandes root, si vous souhaiter activer le compte root pensez a lui interdire le login par ssh ( "sudo nano /etc/ssh/sshd_config"  et modifier la ligne "permitrootlogin yes" en "permitrootlogin no") comme ca vous pourrez vous connecter en root avec la commande "sudo login root" une fois que vous êtes connecté comme utilisateur </note> <|> root
238 Guillemets typographiques ouvrants. => <note warning> Activer le compte root est dangereux il est plus prudent d'utiliser "sudo" pour lancer les commandes root, si vous souhaiter activer le compte root pensez a lui interdire le login par ssh ( "sudo nano /etc/ssh/sshd_config"  et modifier la ligne "permitrootlogin yes" en "permitrootlogin no") comme ca vous pourrez vous connecter en root avec la commande "sudo login root" une fois que vous êtes connecté comme utilisateur </note> <|> " => suggestions : ['«\xa0', '“']
238 Mot inconnu : sudo => <note warning> Activer le compte root est dangereux il est plus prudent d'utiliser "sudo" pour lancer les commandes root, si vous souhaiter activer le compte root pensez a lui interdire le login par ssh ( "sudo nano /etc/ssh/sshd_config"  et modifier la ligne "permitrootlogin yes" en "permitrootlogin no") comme ca vous pourrez vous connecter en root avec la commande "sudo login root" une fois que vous êtes connecté comme utilisateur </note> <|> sudo
238 Mot inconnu : root => <note warning> Activer le compte root est dangereux il est plus prudent d'utiliser "sudo" pour lancer les commandes root, si vous souhaiter activer le compte root pensez a lui interdire le login par ssh ( "sudo nano /etc/ssh/sshd_config"  et modifier la ligne "permitrootlogin yes" en "permitrootlogin no") comme ca vous pourrez vous connecter en root avec la commande "sudo login root" une fois que vous êtes connecté comme utilisateur </note> <|> root
238 Guillemets typographiques fermants. => <note warning> Activer le compte root est dangereux il est plus prudent d'utiliser "sudo" pour lancer les commandes root, si vous souhaiter activer le compte root pensez a lui interdire le login par ssh ( "sudo nano /etc/ssh/sshd_config"  et modifier la ligne "permitrootlogin yes" en "permitrootlogin no") comme ca vous pourrez vous connecter en root avec la commande "sudo login root" une fois que vous êtes connecté comme utilisateur </note> <|> " => suggestions : ['\xa0»', '”']

241 Mot inconnu : Editez => Editez le fichier "/etc/network/interfaces" section [eth0] (laisser la section loopback) <|> editez
241 Mot inconnu : eth0 => Editez le fichier "/etc/network/interfaces" section [eth0] (laisser la section loopback) <|> eth0
241 Mot inconnu : loopback => Editez le fichier "/etc/network/interfaces" section [eth0] (laisser la section loopback) <|> loopback

254 Mot inconnu : sudo => <note tip>un sudo /etc/init.d/networking restart suffit</note> <|> sudo
254 Mot inconnu : restart => <note tip>un sudo /etc/init.d/networking restart suffit</note> <|> restart

256 Mot inconnu : root => <note important>Après le redémarrage, utilisez toujours le compte root pour exécuter les différentes marches à suivre, sauf si cela est contre indiqué.</note> <|> root

258 Mot inconnu : root => <note warning> Utiliser le compte root est dangereux préférez utiliser "sudo" pour lancer vos commandes root</note> <|> root
258 Guillemets typographiques ouvrants. => <note warning> Utiliser le compte root est dangereux préférez utiliser "sudo" pour lancer vos commandes root</note> <|> " => suggestions : ['«\xa0', '“']
258 Mot inconnu : sudo => <note warning> Utiliser le compte root est dangereux préférez utiliser "sudo" pour lancer vos commandes root</note> <|> sudo
258 Guillemets typographiques fermants. => <note warning> Utiliser le compte root est dangereux préférez utiliser "sudo" pour lancer vos commandes root</note> <|> " => suggestions : ['\xa0»', '”']
258 Mot inconnu : root => <note warning> Utiliser le compte root est dangereux préférez utiliser "sudo" pour lancer vos commandes root</note> <|> root

265 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Copie du fichier .bash_logout (Inutile si vous n'avez pas activer le compte root) <|> -  => suggestions : ['—\xa0', '–\xa0']
265 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => - Copie du fichier .bash_logout (Inutile si vous n'avez pas activer le compte root) <|>  . => suggestions : ['. ', '.']
265 Mot inconnu : bash_logout => - Copie du fichier .bash_logout (Inutile si vous n'avez pas activer le compte root) <|> bash_logout
265 Incohérence probable avec “avez” : “activer” n’est pas un participe passé. => - Copie du fichier .bash_logout (Inutile si vous n'avez pas activer le compte root) <|> activer => suggestions : ['activé']
265 Mot inconnu : root => - Copie du fichier .bash_logout (Inutile si vous n'avez pas activer le compte root) <|> root

268 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Modification du fichier sources.list (gardez juste la référence au cd-rom d'installation et placez la en commentaire, le reste, vous pouvez le supprimer) <|> -  => suggestions : ['—\xa0', '–\xa0']
268 Mot inconnu : list => - Modification du fichier sources.list (gardez juste la référence au cd-rom d'installation et placez la en commentaire, le reste, vous pouvez le supprimer) <|> list

277 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Upgrade de la distribution <|> -  => suggestions : ['—\xa0', '–\xa0']

281 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => -  Installation de quelques applications supplémentaires pour l'administration <|> -  => suggestions : ['—\xa0', '–\xa0']

284 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Activation de la couleur dans le terminal <|> -  => suggestions : ['—\xa0', '–\xa0']

289 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Configuration de GRUB <|> -  => suggestions : ['—\xa0', '–\xa0']
289 Mot inconnu : GRUB => - Configuration de GRUB <|> grub

295 Mot inconnu : framebuffer => <note warning>Pour des raisons de stabilité, les pilotes framebuffer ont été black listé. Donc, n'ajoutez pas de ligne vga=xxx dans votre menu.lst car vous auriez un superbe écran noir au démarrage de votre serveur. Voir le fichier /etc/modprobe.d/blacklist-framebuffer</note> <|> framebuffer
295 Accord avec la forme verbale “ont” : “black” devrait être au pluriel. => <note warning>Pour des raisons de stabilité, les pilotes framebuffer ont été black listé. Donc, n'ajoutez pas de ligne vga=xxx dans votre menu.lst car vous auriez un superbe écran noir au démarrage de votre serveur. Voir le fichier /etc/modprobe.d/blacklist-framebuffer</note> <|> black => suggestions : ['blacks']
295 Mot inconnu : vga => <note warning>Pour des raisons de stabilité, les pilotes framebuffer ont été black listé. Donc, n'ajoutez pas de ligne vga=xxx dans votre menu.lst car vous auriez un superbe écran noir au démarrage de votre serveur. Voir le fichier /etc/modprobe.d/blacklist-framebuffer</note> <|> vga
295 Mot inconnu : xxx => <note warning>Pour des raisons de stabilité, les pilotes framebuffer ont été black listé. Donc, n'ajoutez pas de ligne vga=xxx dans votre menu.lst car vous auriez un superbe écran noir au démarrage de votre serveur. Voir le fichier /etc/modprobe.d/blacklist-framebuffer</note> <|> xxx
295 Mot inconnu : lst => <note warning>Pour des raisons de stabilité, les pilotes framebuffer ont été black listé. Donc, n'ajoutez pas de ligne vga=xxx dans votre menu.lst car vous auriez un superbe écran noir au démarrage de votre serveur. Voir le fichier /etc/modprobe.d/blacklist-framebuffer</note> <|> lst

297 Mot inconnu : VMWARE => ===== Installation des VMWARE tools ===== <|> vmware
297 Mot inconnu : tools => ===== Installation des VMWARE tools ===== <|> tools

298 Mot inconnu : vmware-tools => Activez l'installation des vmware-tools dans le menu VM -> Install VMWARE tools du menu de VMWARE Server <|> vmware-tools
298 Mot inconnu : VM => Activez l'installation des vmware-tools dans le menu VM -> Install VMWARE tools du menu de VMWARE Server <|> vm
298 Mot inconnu : Install => Activez l'installation des vmware-tools dans le menu VM -> Install VMWARE tools du menu de VMWARE Server <|> install
298 Mot inconnu : VMWARE => Activez l'installation des vmware-tools dans le menu VM -> Install VMWARE tools du menu de VMWARE Server <|> vmware
298 Mot inconnu : tools => Activez l'installation des vmware-tools dans le menu VM -> Install VMWARE tools du menu de VMWARE Server <|> tools
298 Mot inconnu : VMWARE => Activez l'installation des vmware-tools dans le menu VM -> Install VMWARE tools du menu de VMWARE Server <|> vmware
298 Mot inconnu : Server => Activez l'installation des vmware-tools dans le menu VM -> Install VMWARE tools du menu de VMWARE Server <|> server

299 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Monter le cd-rom <|> -  => suggestions : ['—\xa0', '–\xa0']

302 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Créez un répertoire d'installation <|> -  => suggestions : ['—\xa0', '–\xa0']

305 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Copiez le fichier tar.gz <|> -  => suggestions : ['—\xa0', '–\xa0']
305 Mot inconnu : tar => - Copiez le fichier tar.gz <|> tar
305 Mot inconnu : gz => - Copiez le fichier tar.gz <|> gz

308 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Installation des VMware tools <|> -  => suggestions : ['—\xa0', '–\xa0']
308 Mot inconnu : VMware => - Installation des VMware tools <|> vmware
308 Mot inconnu : tools => - Installation des VMware tools <|> tools

322 Mot inconnu : VSWITCH-1 => ===== Installation du VSWITCH-1 ===== <|> vswitch-1
324 Mot inconnu : VMNET2 =>   * Ajoutez une nouvelle carte réseau et connectez la sur VMNET2. <|> vmnet2

327 Mot inconnu : Editez => Editez le fichier "/etc/network/interfaces" section [eth1] <|> editez
327 Mot inconnu : eth1 => Editez le fichier "/etc/network/interfaces" section [eth1] <|> eth1

336 Mot inconnu : Editez => Editez le fichier /etc/resolv.conf et ajustez son contenu si nécessaire <|> editez

341 Guillemets typographiques ouvrants. => Relancez le service "networking" <|> " => suggestions : ['«\xa0', '“']
341 Mot inconnu : networking => Relancez le service "networking" <|> networking
341 Guillemets typographiques fermants. => Relancez le service "networking" <|> " => suggestions : ['\xa0»', '”']

351 Mot inconnu : primary => ===== Transformez le primary server en routeur  =====  <|> primary
351 Mot inconnu : server => ===== Transformez le primary server en routeur  =====  <|> server

378 Mot inconnu : bind9 => Installation de bind9 <|> bind9

415 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Editez le fichier /etc/bind/named.conf.local <|> -  => suggestions : ['—\xa0', '–\xa0']
415 Mot inconnu : Editez => - Editez le fichier /etc/bind/named.conf.local <|> editez

429 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Créez le fichier /var/cache/bind/db.yourdomain.local <|> -  => suggestions : ['—\xa0', '–\xa0']

441 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Créez le fichier /var/cache/bind/rev.yourdomain.local <|> -  => suggestions : ['—\xa0', '–\xa0']

452 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Changez le group d'appartenance pour les fichiers <|> -  => suggestions : ['—\xa0', '–\xa0']
452 Mot inconnu : group => - Changez le group d'appartenance pour les fichiers <|> group

455 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Editez le fichier /etc/hosts <|> -  => suggestions : ['—\xa0', '–\xa0']
455 Mot inconnu : Editez => - Editez le fichier /etc/hosts <|> editez

464 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Modifiez le fichier /etc/resolv.conf <|> -  => suggestions : ['—\xa0', '–\xa0']

469 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Editez le fichier /etc/bind/named.conf.options <|> -  => suggestions : ['—\xa0', '–\xa0']
469 Mot inconnu : Editez => - Editez le fichier /etc/bind/named.conf.options <|> editez

478 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Editez le fichier /etc/default/bind9 <|> -  => suggestions : ['—\xa0', '–\xa0']
478 Mot inconnu : Editez => - Editez le fichier /etc/default/bind9 <|> editez

481 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Reboot <|> -  => suggestions : ['—\xa0', '–\xa0']
481 Mot inconnu : Reboot => - Reboot <|> reboot

485 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Vérifiez les fichiers de configuration <|> -  => suggestions : ['—\xa0', '–\xa0']

490 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <|>   => suggestions : ['']

492 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Démarrez une seconde console ALT+F2 et tapez <|> -  => suggestions : ['—\xa0', '–\xa0']
492 Typographie des composés chimiques. => - Démarrez une seconde console ALT+F2 et tapez <|> f2 => suggestions : ['F₂']
492 Mot inconnu : F2 => - Démarrez une seconde console ALT+F2 et tapez <|> f2

495 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Revenez sur la première console et redémarrez le service bind9 <|> -  => suggestions : ['—\xa0', '–\xa0']
495 Mot inconnu : bind9 => - Revenez sur la première console et redémarrez le service bind9 <|> bind9

498 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Passez sur la seconde console et analysez les messages d'erreur s'il y en a. <|> -  => suggestions : ['—\xa0', '–\xa0']

500 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Si tout est OK passez sur la première console <|> -  => suggestions : ['—\xa0', '–\xa0']

504 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Si il y a une erreur, re-vérifiez les log du système, les scripts, ... <|> -  => suggestions : ['—\xa0', '–\xa0']
504 Il faut élider “si” et l’accoler au pronom. => - Si il y a une erreur, re-vérifiez les log du système, les scripts, ... <|> si  => suggestions : ['S’']
504 Accord de nombre erroné : « log » devrait être au pluriel. => - Si il y a une erreur, re-vérifiez les log du système, les scripts, ... <|> log => suggestions : ['logs']
504 Une de ces ponctuations est superflue. => - Si il y a une erreur, re-vérifiez les log du système, les scripts, ... <|> , . => suggestions : [',', '.']
504 Typographie : points de suspension. Utilisez le caractère dédié. => - Si il y a une erreur, re-vérifiez les log du système, les scripts, ... <|> ... => suggestions : ['…']

517 Mot inconnu : XP => Vous pouvez connecter une machine virtuelle, un Windows 2000 par exemple (plus rapide que XP et moins gourmand). La carte réseau de cette machine virtuelle doit être connectée sur VMNET2. Configurez cette machine virtuelle pour accepter le DHCP et dans une console tapez "ipconfig". Normalement vous devriez recevoir une adresse IP entre 192.168.2.150 et 192.168.2.200 <|> xp
517 Mot inconnu : VMNET2 => Vous pouvez connecter une machine virtuelle, un Windows 2000 par exemple (plus rapide que XP et moins gourmand). La carte réseau de cette machine virtuelle doit être connectée sur VMNET2. Configurez cette machine virtuelle pour accepter le DHCP et dans une console tapez "ipconfig". Normalement vous devriez recevoir une adresse IP entre 192.168.2.150 et 192.168.2.200 <|> vmnet2
517 Guillemets typographiques ouvrants. => Vous pouvez connecter une machine virtuelle, un Windows 2000 par exemple (plus rapide que XP et moins gourmand). La carte réseau de cette machine virtuelle doit être connectée sur VMNET2. Configurez cette machine virtuelle pour accepter le DHCP et dans une console tapez "ipconfig". Normalement vous devriez recevoir une adresse IP entre 192.168.2.150 et 192.168.2.200 <|> " => suggestions : ['«\xa0', '“']
517 Mot inconnu : ipconfig => Vous pouvez connecter une machine virtuelle, un Windows 2000 par exemple (plus rapide que XP et moins gourmand). La carte réseau de cette machine virtuelle doit être connectée sur VMNET2. Configurez cette machine virtuelle pour accepter le DHCP et dans une console tapez "ipconfig". Normalement vous devriez recevoir une adresse IP entre 192.168.2.150 et 192.168.2.200 <|> ipconfig
517 Guillemets typographiques fermants. => Vous pouvez connecter une machine virtuelle, un Windows 2000 par exemple (plus rapide que XP et moins gourmand). La carte réseau de cette machine virtuelle doit être connectée sur VMNET2. Configurez cette machine virtuelle pour accepter le DHCP et dans une console tapez "ipconfig". Normalement vous devriez recevoir une adresse IP entre 192.168.2.150 et 192.168.2.200 <|> " => suggestions : ['\xa0»', '”']

519 Mot inconnu : ping => Vérifiez le DNS par la même occasion en faisant un ping primary.yourdomain.local <|> ping

521 Mot inconnu : ping => Vérifiez pour finir le routage pour l'extérieur avec un ping www.google.be <|> ping

525 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Editez le fichier /etc/bind/named.conf.local et remplacez les lignes: <|> -  => suggestions : ['—\xa0', '–\xa0']
525 Mot inconnu : Editez => - Editez le fichier /etc/bind/named.conf.local et remplacez les lignes: <|> editez

528 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Editez le fichier /etc/dhcp3/dhcpd.conf et ajoutez ou modifiez ces quelques lignes au début du fichier. <|> -  => suggestions : ['—\xa0', '–\xa0']
528 Mot inconnu : Editez => - Editez le fichier /etc/dhcp3/dhcpd.conf et ajoutez ou modifiez ces quelques lignes au début du fichier. <|> editez

536 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Ajoutez ces lignes à la fin du même fichier <|> -  => suggestions : ['—\xa0', '–\xa0']

543 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Redémarrez les services DHCP et DNS <|> -  => suggestions : ['—\xa0', '–\xa0']

547 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Sur le client Windows 2000 <|> -  => suggestions : ['—\xa0', '–\xa0']

553 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Sur primary serveur vérifiez la présence des fichiers: <|> -  => suggestions : ['—\xa0', '–\xa0']
553 Mot inconnu : primary => - Sur primary serveur vérifiez la présence des fichiers: <|> primary

565 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Editez le fichier du client linux /etc/dhcp3/dhclient.conf et ajoutez cette ligne. <|> -  => suggestions : ['—\xa0', '–\xa0']
565 Mot inconnu : Editez => - Editez le fichier du client linux /etc/dhcp3/dhclient.conf et ajoutez cette ligne. <|> editez
565 Mot inconnu : linux => - Editez le fichier du client linux /etc/dhcp3/dhclient.conf et ajoutez cette ligne. <|> linux

568 Mot inconnu : ping => <note tip>Il est bon de ne pas s'énerver si une résolution de nom avec ping sur primary ou www.google.be ne fonctionne pas. La première chose à faire est de connecter une console sur primary et d'utiliser la commande "tail -f /var/log/syslog" afin de voir les messages d'erreurs et les messages d'inscriptions. Il existe également des outils pour vérifier le bon fonctionnement d'un DNS et d'un DHCP "host -v primary.yourdomain.local" et "dig SOA yourdomain.local". Pour plus d'information sur ces commandes, Google est ton ami</note> <|> ping
568 Mot inconnu : primary => <note tip>Il est bon de ne pas s'énerver si une résolution de nom avec ping sur primary ou www.google.be ne fonctionne pas. La première chose à faire est de connecter une console sur primary et d'utiliser la commande "tail -f /var/log/syslog" afin de voir les messages d'erreurs et les messages d'inscriptions. Il existe également des outils pour vérifier le bon fonctionnement d'un DNS et d'un DHCP "host -v primary.yourdomain.local" et "dig SOA yourdomain.local". Pour plus d'information sur ces commandes, Google est ton ami</note> <|> primary
568 Mot inconnu : primary => <note tip>Il est bon de ne pas s'énerver si une résolution de nom avec ping sur primary ou www.google.be ne fonctionne pas. La première chose à faire est de connecter une console sur primary et d'utiliser la commande "tail -f /var/log/syslog" afin de voir les messages d'erreurs et les messages d'inscriptions. Il existe également des outils pour vérifier le bon fonctionnement d'un DNS et d'un DHCP "host -v primary.yourdomain.local" et "dig SOA yourdomain.local". Pour plus d'information sur ces commandes, Google est ton ami</note> <|> primary
568 Guillemets typographiques ouvrants. => <note tip>Il est bon de ne pas s'énerver si une résolution de nom avec ping sur primary ou www.google.be ne fonctionne pas. La première chose à faire est de connecter une console sur primary et d'utiliser la commande "tail -f /var/log/syslog" afin de voir les messages d'erreurs et les messages d'inscriptions. Il existe également des outils pour vérifier le bon fonctionnement d'un DNS et d'un DHCP "host -v primary.yourdomain.local" et "dig SOA yourdomain.local". Pour plus d'information sur ces commandes, Google est ton ami</note> <|> " => suggestions : ['«\xa0', '“']
568 Mot inconnu : tail => <note tip>Il est bon de ne pas s'énerver si une résolution de nom avec ping sur primary ou www.google.be ne fonctionne pas. La première chose à faire est de connecter une console sur primary et d'utiliser la commande "tail -f /var/log/syslog" afin de voir les messages d'erreurs et les messages d'inscriptions. Il existe également des outils pour vérifier le bon fonctionnement d'un DNS et d'un DHCP "host -v primary.yourdomain.local" et "dig SOA yourdomain.local". Pour plus d'information sur ces commandes, Google est ton ami</note> <|> tail
568 Il manque un espace à côté du tiret. => <note tip>Il est bon de ne pas s'énerver si une résolution de nom avec ping sur primary ou www.google.be ne fonctionne pas. La première chose à faire est de connecter une console sur primary et d'utiliser la commande "tail -f /var/log/syslog" afin de voir les messages d'erreurs et les messages d'inscriptions. Il existe également des outils pour vérifier le bon fonctionnement d'un DNS et d'un DHCP "host -v primary.yourdomain.local" et "dig SOA yourdomain.local". Pour plus d'information sur ces commandes, Google est ton ami</note> <|>  - => suggestions : [' – ', ' — ']
568 Guillemets typographiques ouvrants. => <note tip>Il est bon de ne pas s'énerver si une résolution de nom avec ping sur primary ou www.google.be ne fonctionne pas. La première chose à faire est de connecter une console sur primary et d'utiliser la commande "tail -f /var/log/syslog" afin de voir les messages d'erreurs et les messages d'inscriptions. Il existe également des outils pour vérifier le bon fonctionnement d'un DNS et d'un DHCP "host -v primary.yourdomain.local" et "dig SOA yourdomain.local". Pour plus d'information sur ces commandes, Google est ton ami</note> <|> " => suggestions : ['«\xa0', '“']
568 Mot inconnu : host => <note tip>Il est bon de ne pas s'énerver si une résolution de nom avec ping sur primary ou www.google.be ne fonctionne pas. La première chose à faire est de connecter une console sur primary et d'utiliser la commande "tail -f /var/log/syslog" afin de voir les messages d'erreurs et les messages d'inscriptions. Il existe également des outils pour vérifier le bon fonctionnement d'un DNS et d'un DHCP "host -v primary.yourdomain.local" et "dig SOA yourdomain.local". Pour plus d'information sur ces commandes, Google est ton ami</note> <|> host
