
5 Mot inconnu : Mirroring => ====== Mirroring sur deux serveurs ====== | mirroring
119 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   syncer { |    => suggestions : ['']
120 Mot inconnu : syncer =>   syncer { | syncer

121 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     rate 3M; |      => suggestions : ['']

122 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     verify-alg sha1; |      => suggestions : ['']
122 Mot inconnu : verify-alg =>     verify-alg sha1; | verify-alg
122 Mot inconnu : sha1 =>     verify-alg sha1; | sha1

123 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   } |    => suggestions : ['']

124 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

125 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   handlers { |    => suggestions : ['']
125 Mot inconnu : handlers =>   handlers { | handlers

126 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     pri-lost-after-sb "reboot -f"; |      => suggestions : ['']
126 Mot inconnu : pri-lost-after-sb =>     pri-lost-after-sb "reboot -f"; | pri-lost-after-sb
126 Guillemets typographiques ouvrants. =>     pri-lost-after-sb "reboot -f"; | " => suggestions : ['«\xa0', '“']
126 Mot inconnu : reboot =>     pri-lost-after-sb "reboot -f"; | reboot
126 Il manque un espace à côté du tiret. =>     pri-lost-after-sb "reboot -f"; |  - => suggestions : [' – ', ' — ']
126 Guillemets typographiques fermants. =>     pri-lost-after-sb "reboot -f"; | " => suggestions : ['\xa0»', '”']

127 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     pri-lost "echo Déconnexion des serveurs, vérifier les logs | mail -s 'SERVEUR: Alerte DRBD' admin@domain.fr"; |      => suggestions : ['']
127 Mot inconnu : pri-lost =>     pri-lost "echo Déconnexion des serveurs, vérifier les logs | mail -s 'SERVEUR: Alerte DRBD' admin@domain.fr"; | pri-lost
127 Guillemets typographiques ouvrants. =>     pri-lost "echo Déconnexion des serveurs, vérifier les logs | mail -s 'SERVEUR: Alerte DRBD' admin@domain.fr"; | " => suggestions : ['«\xa0', '“']
127 Mot inconnu : echo =>     pri-lost "echo Déconnexion des serveurs, vérifier les logs | mail -s 'SERVEUR: Alerte DRBD' admin@domain.fr"; | echo
127 Il manque un espace à côté du tiret. =>     pri-lost "echo Déconnexion des serveurs, vérifier les logs | mail -s 'SERVEUR: Alerte DRBD' admin@domain.fr"; |  - => suggestions : [' – ', ' — ']
127 Guillemets typographiques ouvrants. =>     pri-lost "echo Déconnexion des serveurs, vérifier les logs | mail -s 'SERVEUR: Alerte DRBD' admin@domain.fr"; | ' => suggestions : ['“', '‘', '‹']
127 Mot inconnu : DRBD =>     pri-lost "echo Déconnexion des serveurs, vérifier les logs | mail -s 'SERVEUR: Alerte DRBD' admin@domain.fr"; | drbd
127 Guillemets typographiques fermants. =>     pri-lost "echo Déconnexion des serveurs, vérifier les logs | mail -s 'SERVEUR: Alerte DRBD' admin@domain.fr"; | ' => suggestions : ['”', '’', '›']

128 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     out-of-sync "echo Désynchronisation des serveurs, vérifier les logs | mail -s 'SERVEUR: Alerte DRBD' admin@domain.fr"; |      => suggestions : ['']
128 Mot inconnu : out-of-sync =>     out-of-sync "echo Désynchronisation des serveurs, vérifier les logs | mail -s 'SERVEUR: Alerte DRBD' admin@domain.fr"; | out-of-sync
128 Guillemets typographiques ouvrants. =>     out-of-sync "echo Désynchronisation des serveurs, vérifier les logs | mail -s 'SERVEUR: Alerte DRBD' admin@domain.fr"; | " => suggestions : ['«\xa0', '“']
128 Mot inconnu : echo =>     out-of-sync "echo Désynchronisation des serveurs, vérifier les logs | mail -s 'SERVEUR: Alerte DRBD' admin@domain.fr"; | echo
128 Il manque un espace à côté du tiret. =>     out-of-sync "echo Désynchronisation des serveurs, vérifier les logs | mail -s 'SERVEUR: Alerte DRBD' admin@domain.fr"; |  - => suggestions : [' – ', ' — ']
128 Guillemets typographiques ouvrants. =>     out-of-sync "echo Désynchronisation des serveurs, vérifier les logs | mail -s 'SERVEUR: Alerte DRBD' admin@domain.fr"; | ' => suggestions : ['“', '‘', '‹']
128 Mot inconnu : DRBD =>     out-of-sync "echo Désynchronisation des serveurs, vérifier les logs | mail -s 'SERVEUR: Alerte DRBD' admin@domain.fr"; | drbd
128 Guillemets typographiques fermants. =>     out-of-sync "echo Désynchronisation des serveurs, vérifier les logs | mail -s 'SERVEUR: Alerte DRBD' admin@domain.fr"; | ' => suggestions : ['”', '’', '›']

129 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     pri-on-incon-degr "reboot -f"; |      => suggestions : ['']
129 Mot inconnu : pri-on-incon-degr =>     pri-on-incon-degr "reboot -f"; | pri-on-incon-degr
129 Guillemets typographiques ouvrants. =>     pri-on-incon-degr "reboot -f"; | " => suggestions : ['«\xa0', '“']
129 Mot inconnu : reboot =>     pri-on-incon-degr "reboot -f"; | reboot
129 Il manque un espace à côté du tiret. =>     pri-on-incon-degr "reboot -f"; |  - => suggestions : [' – ', ' — ']
129 Guillemets typographiques fermants. =>     pri-on-incon-degr "reboot -f"; | " => suggestions : ['\xa0»', '”']

130 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     outdate-peer "/usr/lib/heartbeat/drbd-peer-outdater -t 5"; |      => suggestions : ['']
130 Mot inconnu : outdate-peer =>     outdate-peer "/usr/lib/heartbeat/drbd-peer-outdater -t 5"; | outdate-peer
130 Guillemets typographiques fermants. =>     outdate-peer "/usr/lib/heartbeat/drbd-peer-outdater -t 5"; | " => suggestions : ['\xa0»', '”']

131 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     local-io-error "echo o > /proc/sysrq-trigger ; halt -f"; |      => suggestions : ['']
131 Mot inconnu : local-io-error =>     local-io-error "echo o > /proc/sysrq-trigger ; halt -f"; | local-io-error
131 Guillemets typographiques ouvrants. =>     local-io-error "echo o > /proc/sysrq-trigger ; halt -f"; | " => suggestions : ['«\xa0', '“']
131 Mot inconnu : echo =>     local-io-error "echo o > /proc/sysrq-trigger ; halt -f"; | echo
131 Mot inconnu : proc =>     local-io-error "echo o > /proc/sysrq-trigger ; halt -f"; | proc
131 Mot inconnu : sysrq-trigger =>     local-io-error "echo o > /proc/sysrq-trigger ; halt -f"; | sysrq-trigger
131 Mot inconnu : halt =>     local-io-error "echo o > /proc/sysrq-trigger ; halt -f"; | halt
131 Il manque un espace à côté du tiret. =>     local-io-error "echo o > /proc/sysrq-trigger ; halt -f"; |  - => suggestions : [' – ', ' — ']
131 Guillemets typographiques fermants. =>     local-io-error "echo o > /proc/sysrq-trigger ; halt -f"; | " => suggestions : ['\xa0»', '”']

132 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   } |    => suggestions : ['']

135 Mot inconnu : resource => resource r0 { | resource
135 Mot inconnu : r0 => resource r0 { | r0

136 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   device    /dev/drbd0; |    => suggestions : ['']
136 Mot inconnu : device =>   device    /dev/drbd0; | device
136 Espace(s) surnuméraire(s) à supprimer. =>   device    /dev/drbd0; |      => suggestions : [' ']

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   disk      /dev/sda6; |    => suggestions : ['']
137 Mot inconnu : disk =>   disk      /dev/sda6; | disk
137 Espace(s) surnuméraire(s) à supprimer. =>   disk      /dev/sda6; |        => suggestions : [' ']

138 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   meta-disk internal; |    => suggestions : ['']
138 Mot inconnu : meta-disk =>   meta-disk internal; | meta-disk
138 Mot inconnu : internal =>   meta-disk internal; | internal

139 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

140 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   disk { |    => suggestions : ['']
140 Mot inconnu : disk =>   disk { | disk

141 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     on-io-error   detach; |      => suggestions : ['']
141 Mot inconnu : on-io-error =>     on-io-error   detach; | on-io-error
141 Espace(s) surnuméraire(s) à supprimer. =>     on-io-error   detach; |     => suggestions : [' ']
141 Mot inconnu : detach =>     on-io-error   detach; | detach

142 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   } |    => suggestions : ['']

143 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

144 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   startup { |    => suggestions : ['']

145 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     wfc-timeout  60; |      => suggestions : ['']
145 Mot inconnu : wfc-timeout =>     wfc-timeout  60; | wfc-timeout
145 Espace(s) surnuméraire(s) à supprimer. =>     wfc-timeout  60; |    => suggestions : [' ']

146 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     degr-wfc-timeout 30; |      => suggestions : ['']
146 Mot inconnu : degr-wfc-timeout =>     degr-wfc-timeout 30; | degr-wfc-timeout

147 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     become-primary-on serv1; |      => suggestions : ['']
147 Mot inconnu : become-primary-on =>     become-primary-on serv1; | become-primary-on
147 Mot inconnu : serv1 =>     become-primary-on serv1; | serv1

148 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   } |    => suggestions : ['']

149 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

150 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   net { |    => suggestions : ['']

151 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     after-sb-0pri discard-older-primary; |      => suggestions : ['']
151 Mot inconnu : discard-older-primary =>     after-sb-0pri discard-older-primary; | discard-older-primary

152 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     after-sb-1pri call-pri-lost-after-sb; |      => suggestions : ['']
152 Mot inconnu : call-pri-lost-after-sb =>     after-sb-1pri call-pri-lost-after-sb; | call-pri-lost-after-sb

153 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     after-sb-2pri call-pri-lost-after-sb; |      => suggestions : ['']
153 Mot inconnu : call-pri-lost-after-sb =>     after-sb-2pri call-pri-lost-after-sb; | call-pri-lost-after-sb

154 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   } |    => suggestions : ['']

155 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   on serv1 { |    => suggestions : ['']
155 Mot inconnu : serv1 =>   on serv1 { | serv1

156 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     address   192.168.214.10:7788; |      => suggestions : ['']
156 Mot inconnu : address =>     address   192.168.214.10:7788; | address
156 Espace(s) surnuméraire(s) à supprimer. =>     address   192.168.214.10:7788; |     => suggestions : [' ']

157 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   } |    => suggestions : ['']

158 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   on serv2 { |    => suggestions : ['']
158 Mot inconnu : serv2 =>   on serv2 { | serv2

159 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     address   192.168.214.11:7788; |      => suggestions : ['']
159 Mot inconnu : address =>     address   192.168.214.11:7788; | address
159 Espace(s) surnuméraire(s) à supprimer. =>     address   192.168.214.11:7788; |     => suggestions : [' ']

160 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   } |    => suggestions : ['']

173 Mot inconnu : v08 => <file>v08 Magic number not found | v08
173 Mot inconnu : Magic => <file>v08 Magic number not found | magic
173 Mot inconnu : number => <file>v08 Magic number not found | number
173 Mot inconnu : not => <file>v08 Magic number not found | not
173 Mot inconnu : found => <file>v08 Magic number not found | found

174 Mot inconnu : md_offset => md_offset 1093922816 | md_offset
174 Formatage des grands nombres. => md_offset 1093922816 | 1093922816 => suggestions : ['1\xa0093\xa0922\xa0816', '1093\xa0922-816']

175 Mot inconnu : al_offset => al_offset 1093890048 | al_offset
175 Formatage des grands nombres. => al_offset 1093890048 | 1093890048 => suggestions : ['1\xa0093\xa0890\xa0048', '1093\xa0890-048']

176 Mot inconnu : bm_offset => bm_offset 1093853184 | bm_offset
176 Formatage des grands nombres. => bm_offset 1093853184 | 1093853184 => suggestions : ['1\xa0093\xa0853\xa0184', '1093\xa0853-184']

178 Mot inconnu : Found => Found some data | found
178 Mot inconnu : some => Found some data | some

179 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ==> This might destroy existing data! <== |   => suggestions : ['']
179 Mot inconnu : This =>  ==> This might destroy existing data! <== | this
179 Mot inconnu : might =>  ==> This might destroy existing data! <== | might
179 Mot inconnu : destroy =>  ==> This might destroy existing data! <== | destroy
179 Mot inconnu : existing =>  ==> This might destroy existing data! <== | existing

181 Mot inconnu : you => Do you want to proceed? | you
181 Mot inconnu : want => Do you want to proceed? | want
181 Mot inconnu : to => Do you want to proceed? | to
181 Mot inconnu : proceed => Do you want to proceed? | proceed

182 Mot inconnu : need => [need to type 'yes' to confirm] </file> | need
182 Mot inconnu : to => [need to type 'yes' to confirm] </file> | to
182 Guillemets typographiques ouvrants. => [need to type 'yes' to confirm] </file> | ' => suggestions : ['“', '‘', '‹']
182 Mot inconnu : yes => [need to type 'yes' to confirm] </file> | yes
182 Guillemets typographiques fermants. => [need to type 'yes' to confirm] </file> | ' => suggestions : ['”', '’', '›']
182 Mot inconnu : to => [need to type 'yes' to confirm] </file> | to
182 Mot inconnu : confirm => [need to type 'yes' to confirm] </file> | confirm

183 Guillemets typographiques ouvrants. => Taper ''yes''. Il est possible qu'une autre question demandant confirmation de destruction des données de la partition soit posée, répondez ''yes'' si vous êtes sûr de ce que vous faites. | '' => suggestions : ['«\xa0', '“']
183 Mot inconnu : yes => Taper ''yes''. Il est possible qu'une autre question demandant confirmation de destruction des données de la partition soit posée, répondez ''yes'' si vous êtes sûr de ce que vous faites. | yes
183 Guillemets typographiques fermants. => Taper ''yes''. Il est possible qu'une autre question demandant confirmation de destruction des données de la partition soit posée, répondez ''yes'' si vous êtes sûr de ce que vous faites. | '' => suggestions : ['\xa0»', '”']
183 Guillemets typographiques ouvrants. => Taper ''yes''. Il est possible qu'une autre question demandant confirmation de destruction des données de la partition soit posée, répondez ''yes'' si vous êtes sûr de ce que vous faites. | '' => suggestions : ['«\xa0', '“']
183 Mot inconnu : yes => Taper ''yes''. Il est possible qu'une autre question demandant confirmation de destruction des données de la partition soit posée, répondez ''yes'' si vous êtes sûr de ce que vous faites. | yes
183 Guillemets typographiques fermants. => Taper ''yes''. Il est possible qu'une autre question demandant confirmation de destruction des données de la partition soit posée, répondez ''yes'' si vous êtes sûr de ce que vous faites. | '' => suggestions : ['\xa0»', '”']

184 Mot inconnu : v07 => <file>v07 Magic number not found | v07
184 Mot inconnu : Magic => <file>v07 Magic number not found | magic
184 Mot inconnu : number => <file>v07 Magic number not found | number
184 Mot inconnu : not => <file>v07 Magic number not found | not
184 Mot inconnu : found => <file>v07 Magic number not found | found

185 Mot inconnu : v07 => v07 Magic number not found | v07
185 Mot inconnu : Magic => v07 Magic number not found | magic
185 Mot inconnu : number => v07 Magic number not found | number
185 Mot inconnu : not => v07 Magic number not found | not
185 Mot inconnu : found => v07 Magic number not found | found

186 Mot inconnu : v08 => v08 Magic number not found | v08
186 Mot inconnu : Magic => v08 Magic number not found | magic
186 Mot inconnu : number => v08 Magic number not found | number
186 Mot inconnu : not => v08 Magic number not found | not
186 Mot inconnu : found => v08 Magic number not found | found

187 Mot inconnu : Writing => Writing meta data... | writing
187 Mot inconnu : meta => Writing meta data... | meta
187 Typographie : points de suspension. Utilisez le caractère dédié. => Writing meta data... | ... => suggestions : ['…']

188 Mot inconnu : initialising => initialising activity log | initialising
188 Mot inconnu : activity => initialising activity log | activity

189 Mot inconnu : NOT => NOT initialized bitmap | not
189 Mot inconnu : initialized => NOT initialized bitmap | initialized

190 Mot inconnu : drbd => New drbd meta data block sucessfully created. | drbd
190 Mot inconnu : meta => New drbd meta data block sucessfully created. | meta
190 Mot inconnu : block => New drbd meta data block sucessfully created. | block
190 Mot inconnu : sucessfully => New drbd meta data block sucessfully created. | sucessfully
190 Mot inconnu : created => New drbd meta data block sucessfully created. | created

191 Mot inconnu : success => success</file> | success

196 Guillemets typographiques ouvrants. => Si le module ''drbd'' n'est pas chargé : | '' => suggestions : ['«\xa0', '“']
196 Mot inconnu : drbd => Si le module ''drbd'' n'est pas chargé : | drbd
196 Guillemets typographiques fermants. => Si le module ''drbd'' n'est pas chargé : | '' => suggestions : ['\xa0»', '”']
202 Il manque un espace. => <file>version: 8.2.6 (api:88/proto:86-88) | 88 => suggestions : [' 88']
202 Il manque un espace. => <file>version: 8.2.6 (api:88/proto:86-88) | 86-88 => suggestions : [' 86-88']

203 Mot inconnu : GIT-hash => GIT-hash: 3e69822d3bb4920a8c1bfdf7d647169eba7d2eb4 build by phil@fat-tyre, 2008-05-30 12:59:17 | git-hash
203 Mot inconnu : e69822d3bb4920a8c1bfdf7d647169eba7d2eb4 => GIT-hash: 3e69822d3bb4920a8c1bfdf7d647169eba7d2eb4 build by phil@fat-tyre, 2008-05-30 12:59:17 | e69822d3bb4920a8c1bfdf7d647169eba7d2eb4
203 Mot inconnu : by => GIT-hash: 3e69822d3bb4920a8c1bfdf7d647169eba7d2eb4 build by phil@fat-tyre, 2008-05-30 12:59:17 | by
203 Mot inconnu : phil => GIT-hash: 3e69822d3bb4920a8c1bfdf7d647169eba7d2eb4 build by phil@fat-tyre, 2008-05-30 12:59:17 | phil

204 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  0: cs:Connected st:Secondary/Secondary ds:Inconsistent/Inconsistent C r--- |   => suggestions : ['']
204 Il manque un espace. =>  0: cs:Connected st:Secondary/Secondary ds:Inconsistent/Inconsistent C r--- | connected => suggestions : [' Connected']
204 Mot inconnu : Connected =>  0: cs:Connected st:Secondary/Secondary ds:Inconsistent/Inconsistent C r--- | connected
204 Il manque un espace. =>  0: cs:Connected st:Secondary/Secondary ds:Inconsistent/Inconsistent C r--- | secondary => suggestions : [' Secondary']
204 Mot inconnu : Secondary =>  0: cs:Connected st:Secondary/Secondary ds:Inconsistent/Inconsistent C r--- | secondary
204 Mot inconnu : Secondary =>  0: cs:Connected st:Secondary/Secondary ds:Inconsistent/Inconsistent C r--- | secondary
204 Il manque un espace. =>  0: cs:Connected st:Secondary/Secondary ds:Inconsistent/Inconsistent C r--- | inconsistent => suggestions : [' Inconsistent']
204 Mot inconnu : Inconsistent =>  0: cs:Connected st:Secondary/Secondary ds:Inconsistent/Inconsistent C r--- | inconsistent
204 Mot inconnu : Inconsistent =>  0: cs:Connected st:Secondary/Secondary ds:Inconsistent/Inconsistent C r--- | inconsistent

205 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     ns:0 nr:0 dw:0 dr:0 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149134808</file> |      => suggestions : ['']
205 Il manque un espace. =>     ns:0 nr:0 dw:0 dr:0 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149134808</file> | 0 => suggestions : [' 0']
205 Mot inconnu : nr =>     ns:0 nr:0 dw:0 dr:0 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149134808</file> | nr
205 Il manque un espace. =>     ns:0 nr:0 dw:0 dr:0 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149134808</file> | 0 => suggestions : [' 0']
205 Mot inconnu : dw =>     ns:0 nr:0 dw:0 dr:0 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149134808</file> | dw
205 Il manque un espace. =>     ns:0 nr:0 dw:0 dr:0 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149134808</file> | 0 => suggestions : [' 0']
205 Mot inconnu : dr =>     ns:0 nr:0 dw:0 dr:0 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149134808</file> | dr
205 Il manque un espace. =>     ns:0 nr:0 dw:0 dr:0 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149134808</file> | 0 => suggestions : [' 0']
205 Il manque un espace. =>     ns:0 nr:0 dw:0 dr:0 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149134808</file> | 0 => suggestions : [' 0']
205 Mot inconnu : bm =>     ns:0 nr:0 dw:0 dr:0 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149134808</file> | bm
205 Il manque un espace. =>     ns:0 nr:0 dw:0 dr:0 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149134808</file> | 0 => suggestions : [' 0']
205 Mot inconnu : lo =>     ns:0 nr:0 dw:0 dr:0 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149134808</file> | lo
205 Il manque un espace. =>     ns:0 nr:0 dw:0 dr:0 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149134808</file> | 0 => suggestions : [' 0']
205 Mot inconnu : pe =>     ns:0 nr:0 dw:0 dr:0 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149134808</file> | pe
205 Il manque un espace. =>     ns:0 nr:0 dw:0 dr:0 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149134808</file> | 0 => suggestions : [' 0']
205 Il manque un espace. =>     ns:0 nr:0 dw:0 dr:0 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149134808</file> | 0 => suggestions : [' 0']
205 Mot inconnu : ap =>     ns:0 nr:0 dw:0 dr:0 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149134808</file> | ap
205 Il manque un espace. =>     ns:0 nr:0 dw:0 dr:0 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149134808</file> | 0 => suggestions : [' 0']
205 Mot inconnu : oos =>     ns:0 nr:0 dw:0 dr:0 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149134808</file> | oos
205 Il manque un espace. =>     ns:0 nr:0 dw:0 dr:0 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149134808</file> | 149134808 => suggestions : [' 149134808']

206 Guillemets typographiques ouvrants. => Puisque ''drbd'' est lancé mais aucun serveur //primaire// n'est déclaré. On le voit car après ''st:'', il est indiqué ''Secondary/Secondary'' ce qui signifie que le nœud sur lequel la commande est exécuté est //secondaire// (le premier avant le ''/'') et que l'autre l'est aussi (le second après le ''/'').\\ | '' => suggestions : ['«\xa0', '“']
206 Mot inconnu : drbd => Puisque ''drbd'' est lancé mais aucun serveur //primaire// n'est déclaré. On le voit car après ''st:'', il est indiqué ''Secondary/Secondary'' ce qui signifie que le nœud sur lequel la commande est exécuté est //secondaire// (le premier avant le ''/'') et que l'autre l'est aussi (le second après le ''/'').\\ | drbd
206 Guillemets typographiques fermants. => Puisque ''drbd'' est lancé mais aucun serveur //primaire// n'est déclaré. On le voit car après ''st:'', il est indiqué ''Secondary/Secondary'' ce qui signifie que le nœud sur lequel la commande est exécuté est //secondaire// (le premier avant le ''/'') et que l'autre l'est aussi (le second après le ''/'').\\ | '' => suggestions : ['\xa0»', '”']
206 Guillemets typographiques ouvrants. => Puisque ''drbd'' est lancé mais aucun serveur //primaire// n'est déclaré. On le voit car après ''st:'', il est indiqué ''Secondary/Secondary'' ce qui signifie que le nœud sur lequel la commande est exécuté est //secondaire// (le premier avant le ''/'') et que l'autre l'est aussi (le second après le ''/'').\\ | '' => suggestions : ['«\xa0', '“']
206 Guillemets typographiques ouvrants. => Puisque ''drbd'' est lancé mais aucun serveur //primaire// n'est déclaré. On le voit car après ''st:'', il est indiqué ''Secondary/Secondary'' ce qui signifie que le nœud sur lequel la commande est exécuté est //secondaire// (le premier avant le ''/'') et que l'autre l'est aussi (le second après le ''/'').\\ | '' => suggestions : ['«\xa0', '“']
206 Mot inconnu : Secondary => Puisque ''drbd'' est lancé mais aucun serveur //primaire// n'est déclaré. On le voit car après ''st:'', il est indiqué ''Secondary/Secondary'' ce qui signifie que le nœud sur lequel la commande est exécuté est //secondaire// (le premier avant le ''/'') et que l'autre l'est aussi (le second après le ''/'').\\ | secondary
206 Mot inconnu : Secondary => Puisque ''drbd'' est lancé mais aucun serveur //primaire// n'est déclaré. On le voit car après ''st:'', il est indiqué ''Secondary/Secondary'' ce qui signifie que le nœud sur lequel la commande est exécuté est //secondaire// (le premier avant le ''/'') et que l'autre l'est aussi (le second après le ''/'').\\ | secondary
206 Guillemets typographiques fermants. => Puisque ''drbd'' est lancé mais aucun serveur //primaire// n'est déclaré. On le voit car après ''st:'', il est indiqué ''Secondary/Secondary'' ce qui signifie que le nœud sur lequel la commande est exécuté est //secondaire// (le premier avant le ''/'') et que l'autre l'est aussi (le second après le ''/'').\\ | '' => suggestions : ['\xa0»', '”']
206 Accord erroné : “commande” et “exécuté” ne sont pas accordés. => Puisque ''drbd'' est lancé mais aucun serveur //primaire// n'est déclaré. On le voit car après ''st:'', il est indiqué ''Secondary/Secondary'' ce qui signifie que le nœud sur lequel la commande est exécuté est //secondaire// (le premier avant le ''/'') et que l'autre l'est aussi (le second après le ''/'').\\ | exécuté => suggestions : ['exécutée']

207 Guillemets typographiques ouvrants. => Pour ne connaître que l'état de la grappe ''drbd'', la commande suivante suffit : | '' => suggestions : ['«\xa0', '“']
207 Mot inconnu : drbd => Pour ne connaître que l'état de la grappe ''drbd'', la commande suivante suffit : | drbd
207 Guillemets typographiques fermants. => Pour ne connaître que l'état de la grappe ''drbd'', la commande suivante suffit : | '' => suggestions : ['\xa0»', '”']

209 Mot inconnu : Secondary => <file>Secondary/Secondary</file> | secondary
209 Mot inconnu : Secondary => <file>Secondary/Secondary</file> | secondary

213 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  //primaire// : Le serveur //secondaire// se synchronisera //automagiquement//((oui je sais, ce terme n'est pas de moi, il est souvent utilisé dans les documentations Debian et dérivés, d'où sa place ici.)).\\ |   => suggestions : ['']
