
4 Mot inconnu : Groff => ====== Groff  tutoriel====== | groff
142 Guillemets typographiques fermants. => Il y a 5 "boîtes à outils" à choix: -me, -ms, -mm, -mom  ou -man. On les appelle aussi "paquets de macros". Les [[wp>macros]] sont des macro-instructions indiquant au système comment formater un texte. Un paquet de macros est un ensemble de macro-instructions cohérent, permettant de formater des textes. | " => suggestions : ['\xa0»', '”']
142 Mot inconnu : mom => Il y a 5 "boîtes à outils" à choix: -me, -ms, -mm, -mom  ou -man. On les appelle aussi "paquets de macros". Les [[wp>macros]] sont des macro-instructions indiquant au système comment formater un texte. Un paquet de macros est un ensemble de macro-instructions cohérent, permettant de formater des textes. | mom
142 Espace(s) surnuméraire(s) à supprimer. => Il y a 5 "boîtes à outils" à choix: -me, -ms, -mm, -mom  ou -man. On les appelle aussi "paquets de macros". Les [[wp>macros]] sont des macro-instructions indiquant au système comment formater un texte. Un paquet de macros est un ensemble de macro-instructions cohérent, permettant de formater des textes. |    => suggestions : [' ']
142 Il manque un espace à côté du tiret. => Il y a 5 "boîtes à outils" à choix: -me, -ms, -mm, -mom  ou -man. On les appelle aussi "paquets de macros". Les [[wp>macros]] sont des macro-instructions indiquant au système comment formater un texte. Un paquet de macros est un ensemble de macro-instructions cohérent, permettant de formater des textes. |  - => suggestions : [' – ', ' — ']
142 Guillemets typographiques ouvrants. => Il y a 5 "boîtes à outils" à choix: -me, -ms, -mm, -mom  ou -man. On les appelle aussi "paquets de macros". Les [[wp>macros]] sont des macro-instructions indiquant au système comment formater un texte. Un paquet de macros est un ensemble de macro-instructions cohérent, permettant de formater des textes. | " => suggestions : ['«\xa0', '“']
142 Guillemets typographiques fermants. => Il y a 5 "boîtes à outils" à choix: -me, -ms, -mm, -mom  ou -man. On les appelle aussi "paquets de macros". Les [[wp>macros]] sont des macro-instructions indiquant au système comment formater un texte. Un paquet de macros est un ensemble de macro-instructions cohérent, permettant de formater des textes. | " => suggestions : ['\xa0»', '”']

144 Guillemets typographiques ouvrants. => Maîtriser une de ces 5 "boîte à outils" vous suffira amplement. Deux d'entre-elles sont bien documentées en français, d'autres malheureusement ne le sont pas encore...Choisissez celle qui vous correspond le mieux! | " => suggestions : ['«\xa0', '“']
144 Guillemets typographiques fermants. => Maîtriser une de ces 5 "boîte à outils" vous suffira amplement. Deux d'entre-elles sont bien documentées en français, d'autres malheureusement ne le sont pas encore...Choisissez celle qui vous correspond le mieux! | " => suggestions : ['\xa0»', '”']
144 Pas de trait d’union. => Maîtriser une de ces 5 "boîte à outils" vous suffira amplement. Deux d'entre-elles sont bien documentées en français, d'autres malheureusement ne le sont pas encore...Choisissez celle qui vous correspond le mieux! | entre-elles => suggestions : ['entre elles']
144 Typographie : points de suspension. Utilisez le caractère dédié. => Maîtriser une de ces 5 "boîte à outils" vous suffira amplement. Deux d'entre-elles sont bien documentées en français, d'autres malheureusement ne le sont pas encore...Choisissez celle qui vous correspond le mieux! | ... => suggestions : ['…']

146 Mot inconnu : mom => ==== -mom ==== | mom

147 Espace(s) surnuméraire(s) à supprimer. => C'est le paquet de macros le plus jeune. Très général, largement configurable, conçu entre autres dans le but de  rédiger un roman, -mom est un bon choix pour tout ceux qui trouvent les paquets de macros traditionnels (-me,-ms, -mm) trop austères.  |    => suggestions : [' ']
147 Mot inconnu : mom => C'est le paquet de macros le plus jeune. Très général, largement configurable, conçu entre autres dans le but de  rédiger un roman, -mom est un bon choix pour tout ceux qui trouvent les paquets de macros traditionnels (-me,-ms, -mm) trop austères.  | mom
147 Erreur d’accord probable avec « ceux ». => C'est le paquet de macros le plus jeune. Très général, largement configurable, conçu entre autres dans le but de  rédiger un roman, -mom est un bon choix pour tout ceux qui trouvent les paquets de macros traditionnels (-me,-ms, -mm) trop austères.  | tout => suggestions : ['tous']
147 Espace(s) en fin de ligne à supprimer. => C'est le paquet de macros le plus jeune. Très général, largement configurable, conçu entre autres dans le but de  rédiger un roman, -mom est un bon choix pour tout ceux qui trouvent les paquets de macros traditionnels (-me,-ms, -mm) trop austères.  |   => suggestions : ['']

151 Il manque un espace à côté du tiret. => Pour apprendre à travailler vraiment avec -mom, c'est [[http://www.schaffter.ca/mom/mom-04.html|ici]] [en] ou téléchargez [[http://www.schaffter.ca/shared/groff-and-mom.pdf|ce pdf]] [en]  |  - => suggestions : [' – ', ' — ']
151 Mot inconnu : mom => Pour apprendre à travailler vraiment avec -mom, c'est [[http://www.schaffter.ca/mom/mom-04.html|ici]] [en] ou téléchargez [[http://www.schaffter.ca/shared/groff-and-mom.pdf|ce pdf]] [en]  | mom
151 Espace(s) en fin de ligne à supprimer. => Pour apprendre à travailler vraiment avec -mom, c'est [[http://www.schaffter.ca/mom/mom-04.html|ici]] [en] ou téléchargez [[http://www.schaffter.ca/shared/groff-and-mom.pdf|ce pdf]] [en]  |   => suggestions : ['']

153 Mot inconnu : mom => Ajouter l'option** -mom** à votre commande groff | mom
153 Mot inconnu : groff => Ajouter l'option** -mom** à votre commande groff | groff

156 Espace(s) surnuméraire(s) à supprimer. => Voyez aussi  l'exemple concret au chap.4 |    => suggestions : [' ']

162 Mot inconnu : meintro_fr => Le document meintro_fr.ps vous permettra d'apprendre les principaux outils de -me:\\  | meintro_fr
162 Il manque un espace. => Le document meintro_fr.ps vous permettra d'apprendre les principaux outils de -me:\\  | ps => suggestions : [' ps']
162 Il manque un espace à côté du tiret. => Le document meintro_fr.ps vous permettra d'apprendre les principaux outils de -me:\\  |  - => suggestions : [' – ', ' — ']
162 Espace(s) en fin de ligne à supprimer. => Le document meintro_fr.ps vous permettra d'apprendre les principaux outils de -me:\\  |   => suggestions : ['']

163 Mot inconnu : groff => Si vous avez installé groff, vous le trouvez dans votre système de fichiers sous:\\ | groff

166 Il manque un espace à côté du tiret. => Pour aller plus loin avec -me, vous trouverez au même endroit meref.ps, qui est la reférence de -me [en].\\ |  - => suggestions : [' – ', ' — ']
166 Mot inconnu : meref => Pour aller plus loin avec -me, vous trouverez au même endroit meref.ps, qui est la reférence de -me [en].\\ | meref
166 Il manque un espace. => Pour aller plus loin avec -me, vous trouverez au même endroit meref.ps, qui est la reférence de -me [en].\\ | ps => suggestions : [' ps']
166 Mot inconnu : reférence => Pour aller plus loin avec -me, vous trouverez au même endroit meref.ps, qui est la reférence de -me [en].\\ | reférence
166 Il manque un espace à côté du tiret. => Pour aller plus loin avec -me, vous trouverez au même endroit meref.ps, qui est la reférence de -me [en].\\ |  - => suggestions : [' – ', ' — ']

167 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Ouvrez les fichiers .ps simplement avec votre visionneur de documents ;-) |  . => suggestions : ['. ', '.']

170 Incohérence avec « me » : « à » devrait être un verbe. => Ajouter l'option **-me** à votre commande groff.\\ | à => suggestions : ['a', 'as']
170 Mot inconnu : groff => Ajouter l'option **-me** à votre commande groff.\\ | groff

171 Apostrophe incorrecte. => (À partir d' ici, votre fichier s'appelle simplement "foo"): | d'  => suggestions : ['d’']
171 Guillemets typographiques fermants. => (À partir d' ici, votre fichier s'appelle simplement "foo"): | ' => suggestions : ['”', '’', '›']
171 Guillemets typographiques ouvrants. => (À partir d' ici, votre fichier s'appelle simplement "foo"): | " => suggestions : ['«\xa0', '“']
171 Mot inconnu : foo => (À partir d' ici, votre fichier s'appelle simplement "foo"): | foo
171 Guillemets typographiques fermants. => (À partir d' ici, votre fichier s'appelle simplement "foo"): | " => suggestions : ['\xa0»', '”']

179 Il manque un espace à côté du tiret. => Les requêtes -ms sont décrites au chapitre 5 de\\ |  - => suggestions : [' – ', ' — ']
180 Espace(s) en fin de ligne à supprimer. => [[http://oreilly.com/openbook/utp/|UTP]] [en].  |   => suggestions : ['']

182 Mot inconnu : groff => Ajouter l'option **-ms** à votre commande groff: | groff

187 Il manque un espace à côté du tiret. => Les requêtes -mm soint décrites au chapitre 6 de\\ |  - => suggestions : [' – ', ' — ']
187 Mot inconnu : soint => Les requêtes -mm soint décrites au chapitre 6 de\\ | soint
188 Espace(s) en fin de ligne à supprimer. => [[http://oreilly.com/openbook/utp/|UTP]] [en].  |   => suggestions : ['']

190 Mot inconnu : groff => Ajouter l'option **-mm** à votre commande groff: | groff

196 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Est spécialement conçu pour créer des pages man. Quelques liens utiles [fr]: |   => suggestions : ['']

197 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *[[http://manpagesfr.free.fr/man/man7/man.7.html]] |    => suggestions : ['']

198 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *[[http://www.linuxfocus.org/Francais/November2003/article309.shtml]] |    => suggestions : ['']

199 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *[[http://manpages.ubuntu.com/manpages/lucid/fr/man7/man-pages.7.html]] |    => suggestions : ['']

200 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *[[http://culot.org/public/Docs/manpage.html]] |    => suggestions : ['']

202 Mot inconnu : groff => Ajouter l'option **-man** à votre commande groff | groff

205 Mot inconnu : Mom => =====Premier exemple complet avec Mom===== | mom

207 Mot inconnu : Mom => Nous allons maintenant utiliser de manière concrète le paquet Mom pour produire un .pdf. Groff est installé avec un certain nombre d'exemples que vous pouvez déjà consulter. Sous /usr/share/doc/groff-base/examples/mom/ se trouvent 4 examples: | mom
207 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Nous allons maintenant utiliser de manière concrète le paquet Mom pour produire un .pdf. Groff est installé avec un certain nombre d'exemples que vous pouvez déjà consulter. Sous /usr/share/doc/groff-base/examples/mom/ se trouvent 4 examples: |  . => suggestions : ['. ', '.']
207 Mot inconnu : Groff => Nous allons maintenant utiliser de manière concrète le paquet Mom pour produire un .pdf. Groff est installé avec un certain nombre d'exemples que vous pouvez déjà consulter. Sous /usr/share/doc/groff-base/examples/mom/ se trouvent 4 examples: | groff
207 Mot inconnu : examples => Nous allons maintenant utiliser de manière concrète le paquet Mom pour produire un .pdf. Groff est installé avec un certain nombre d'exemples que vous pouvez déjà consulter. Sous /usr/share/doc/groff-base/examples/mom/ se trouvent 4 examples: | examples

209 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * letter.mom |    => suggestions : ['']
209 Mot inconnu : letter =>   * letter.mom | letter
209 Mot inconnu : mom =>   * letter.mom | mom

210 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * mom-pdf.mom |    => suggestions : ['']
210 Mot inconnu : mom-pdf =>   * mom-pdf.mom | mom-pdf
210 Mot inconnu : mom =>   * mom-pdf.mom | mom

211 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * sample_docs.mom |    => suggestions : ['']
211 Mot inconnu : sample_docs =>   * sample_docs.mom | sample_docs
211 Mot inconnu : mom =>   * sample_docs.mom | mom

212 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * typesetting.mom |    => suggestions : ['']
212 Mot inconnu : typesetting =>   * typesetting.mom | typesetting
212 Mot inconnu : mom =>   * typesetting.mom | mom

214 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… => Notez également qu'un 5e exemple sera présent dans la prochaine version officielle de groff: mon_premier_doc.mom, un exemple en français pour le moment disponible dans les sources uniquement et qui servira de base à ce tutoriel. | 5e => suggestions : ['5ᵉ']
214 Mot inconnu : groff => Notez également qu'un 5e exemple sera présent dans la prochaine version officielle de groff: mon_premier_doc.mom, un exemple en français pour le moment disponible dans les sources uniquement et qui servira de base à ce tutoriel. | groff
214 Mot inconnu : mon_premier_doc => Notez également qu'un 5e exemple sera présent dans la prochaine version officielle de groff: mon_premier_doc.mom, un exemple en français pour le moment disponible dans les sources uniquement et qui servira de base à ce tutoriel. | mon_premier_doc
214 Mot inconnu : mom => Notez également qu'un 5e exemple sera présent dans la prochaine version officielle de groff: mon_premier_doc.mom, un exemple en français pour le moment disponible dans les sources uniquement et qui servira de base à ce tutoriel. | mom

216 Ceci est un verbe à la 1ʳᵉ personne du pluriel. Sujet (“nous” ou équivalent) introuvable. => Ces fichiers sont bien commentés et vous donnerons déjà de nombreuses indications sur comment formatter vos documents et résoudre vos problèmes typographiques (typesetting.mom) ou d'organisation générale du document (sample_docs.mom).  Notez que mom-pdf.mom est également un manuel expliquant le support dans Groff/Mom de liens clickable dans un fichier pdf. | donnerons => suggestions : ['donneront']
216 Mot inconnu : formatter => Ces fichiers sont bien commentés et vous donnerons déjà de nombreuses indications sur comment formatter vos documents et résoudre vos problèmes typographiques (typesetting.mom) ou d'organisation générale du document (sample_docs.mom).  Notez que mom-pdf.mom est également un manuel expliquant le support dans Groff/Mom de liens clickable dans un fichier pdf. | formatter
216 Mot inconnu : typesetting => Ces fichiers sont bien commentés et vous donnerons déjà de nombreuses indications sur comment formatter vos documents et résoudre vos problèmes typographiques (typesetting.mom) ou d'organisation générale du document (sample_docs.mom).  Notez que mom-pdf.mom est également un manuel expliquant le support dans Groff/Mom de liens clickable dans un fichier pdf. | typesetting
216 Mot inconnu : mom => Ces fichiers sont bien commentés et vous donnerons déjà de nombreuses indications sur comment formatter vos documents et résoudre vos problèmes typographiques (typesetting.mom) ou d'organisation générale du document (sample_docs.mom).  Notez que mom-pdf.mom est également un manuel expliquant le support dans Groff/Mom de liens clickable dans un fichier pdf. | mom
216 Mot inconnu : sample_docs => Ces fichiers sont bien commentés et vous donnerons déjà de nombreuses indications sur comment formatter vos documents et résoudre vos problèmes typographiques (typesetting.mom) ou d'organisation générale du document (sample_docs.mom).  Notez que mom-pdf.mom est également un manuel expliquant le support dans Groff/Mom de liens clickable dans un fichier pdf. | sample_docs
216 Mot inconnu : mom => Ces fichiers sont bien commentés et vous donnerons déjà de nombreuses indications sur comment formatter vos documents et résoudre vos problèmes typographiques (typesetting.mom) ou d'organisation générale du document (sample_docs.mom).  Notez que mom-pdf.mom est également un manuel expliquant le support dans Groff/Mom de liens clickable dans un fichier pdf. | mom
216 Espace(s) surnuméraire(s) à supprimer. => Ces fichiers sont bien commentés et vous donnerons déjà de nombreuses indications sur comment formatter vos documents et résoudre vos problèmes typographiques (typesetting.mom) ou d'organisation générale du document (sample_docs.mom).  Notez que mom-pdf.mom est également un manuel expliquant le support dans Groff/Mom de liens clickable dans un fichier pdf. |    => suggestions : [' ']
216 Mot inconnu : mom-pdf => Ces fichiers sont bien commentés et vous donnerons déjà de nombreuses indications sur comment formatter vos documents et résoudre vos problèmes typographiques (typesetting.mom) ou d'organisation générale du document (sample_docs.mom).  Notez que mom-pdf.mom est également un manuel expliquant le support dans Groff/Mom de liens clickable dans un fichier pdf. | mom-pdf
216 Mot inconnu : mom => Ces fichiers sont bien commentés et vous donnerons déjà de nombreuses indications sur comment formatter vos documents et résoudre vos problèmes typographiques (typesetting.mom) ou d'organisation générale du document (sample_docs.mom).  Notez que mom-pdf.mom est également un manuel expliquant le support dans Groff/Mom de liens clickable dans un fichier pdf. | mom
216 Mot inconnu : Groff => Ces fichiers sont bien commentés et vous donnerons déjà de nombreuses indications sur comment formatter vos documents et résoudre vos problèmes typographiques (typesetting.mom) ou d'organisation générale du document (sample_docs.mom).  Notez que mom-pdf.mom est également un manuel expliquant le support dans Groff/Mom de liens clickable dans un fichier pdf. | groff
216 Mot inconnu : Mom => Ces fichiers sont bien commentés et vous donnerons déjà de nombreuses indications sur comment formatter vos documents et résoudre vos problèmes typographiques (typesetting.mom) ou d'organisation générale du document (sample_docs.mom).  Notez que mom-pdf.mom est également un manuel expliquant le support dans Groff/Mom de liens clickable dans un fichier pdf. | mom
216 Mot inconnu : clickable => Ces fichiers sont bien commentés et vous donnerons déjà de nombreuses indications sur comment formatter vos documents et résoudre vos problèmes typographiques (typesetting.mom) ou d'organisation générale du document (sample_docs.mom).  Notez que mom-pdf.mom est également un manuel expliquant le support dans Groff/Mom de liens clickable dans un fichier pdf. | clickable

218 Conjugaison erronée. Accord avec « tout ». Le verbe devrait être à la 3ᵉ personne du singulier. => Tout d'abord essayons de regénérer un de ces exemples: | essayons => suggestions : ['essaye']
218 Mot inconnu : regénérer => Tout d'abord essayons de regénérer un de ces exemples: | regénérer

220 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Copier sample_docs.mom dans un répertoire de travail. |    => suggestions : ['']
220 Mot inconnu : sample_docs =>   * Copier sample_docs.mom dans un répertoire de travail. | sample_docs
220 Mot inconnu : mom =>   * Copier sample_docs.mom dans un répertoire de travail. | mom

221 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Exécutez: |    => suggestions : ['']

224 Mot inconnu : pdfmom => Notez qu'il existe également le script pdfmom qui permet de simplifier encore l'utilisation de groff, par exemple pour gérer les documents avec liens clickables (voir les explications dans mom-pdf.mom) qui peuvent nécessiter plusieurs passes successives de groff, notamment si un lien clickable fait référence à quelque chose plus loin dans le texte. L'invocation de pdfmom est simple et ne nécessite pas de passer les options -Tpdf -mom: | pdfmom
224 Mot inconnu : groff => Notez qu'il existe également le script pdfmom qui permet de simplifier encore l'utilisation de groff, par exemple pour gérer les documents avec liens clickables (voir les explications dans mom-pdf.mom) qui peuvent nécessiter plusieurs passes successives de groff, notamment si un lien clickable fait référence à quelque chose plus loin dans le texte. L'invocation de pdfmom est simple et ne nécessite pas de passer les options -Tpdf -mom: | groff
224 Mot inconnu : clickables => Notez qu'il existe également le script pdfmom qui permet de simplifier encore l'utilisation de groff, par exemple pour gérer les documents avec liens clickables (voir les explications dans mom-pdf.mom) qui peuvent nécessiter plusieurs passes successives de groff, notamment si un lien clickable fait référence à quelque chose plus loin dans le texte. L'invocation de pdfmom est simple et ne nécessite pas de passer les options -Tpdf -mom: | clickables
224 Mot inconnu : mom-pdf => Notez qu'il existe également le script pdfmom qui permet de simplifier encore l'utilisation de groff, par exemple pour gérer les documents avec liens clickables (voir les explications dans mom-pdf.mom) qui peuvent nécessiter plusieurs passes successives de groff, notamment si un lien clickable fait référence à quelque chose plus loin dans le texte. L'invocation de pdfmom est simple et ne nécessite pas de passer les options -Tpdf -mom: | mom-pdf
224 Mot inconnu : mom => Notez qu'il existe également le script pdfmom qui permet de simplifier encore l'utilisation de groff, par exemple pour gérer les documents avec liens clickables (voir les explications dans mom-pdf.mom) qui peuvent nécessiter plusieurs passes successives de groff, notamment si un lien clickable fait référence à quelque chose plus loin dans le texte. L'invocation de pdfmom est simple et ne nécessite pas de passer les options -Tpdf -mom: | mom
224 Mot inconnu : groff => Notez qu'il existe également le script pdfmom qui permet de simplifier encore l'utilisation de groff, par exemple pour gérer les documents avec liens clickables (voir les explications dans mom-pdf.mom) qui peuvent nécessiter plusieurs passes successives de groff, notamment si un lien clickable fait référence à quelque chose plus loin dans le texte. L'invocation de pdfmom est simple et ne nécessite pas de passer les options -Tpdf -mom: | groff
224 Mot inconnu : clickable => Notez qu'il existe également le script pdfmom qui permet de simplifier encore l'utilisation de groff, par exemple pour gérer les documents avec liens clickables (voir les explications dans mom-pdf.mom) qui peuvent nécessiter plusieurs passes successives de groff, notamment si un lien clickable fait référence à quelque chose plus loin dans le texte. L'invocation de pdfmom est simple et ne nécessite pas de passer les options -Tpdf -mom: | clickable
224 Mot inconnu : pdfmom => Notez qu'il existe également le script pdfmom qui permet de simplifier encore l'utilisation de groff, par exemple pour gérer les documents avec liens clickables (voir les explications dans mom-pdf.mom) qui peuvent nécessiter plusieurs passes successives de groff, notamment si un lien clickable fait référence à quelque chose plus loin dans le texte. L'invocation de pdfmom est simple et ne nécessite pas de passer les options -Tpdf -mom: | pdfmom
224 Il manque un espace à côté du tiret. => Notez qu'il existe également le script pdfmom qui permet de simplifier encore l'utilisation de groff, par exemple pour gérer les documents avec liens clickables (voir les explications dans mom-pdf.mom) qui peuvent nécessiter plusieurs passes successives de groff, notamment si un lien clickable fait référence à quelque chose plus loin dans le texte. L'invocation de pdfmom est simple et ne nécessite pas de passer les options -Tpdf -mom: |  - => suggestions : [' – ', ' — ']
224 Mot inconnu : Tpdf => Notez qu'il existe également le script pdfmom qui permet de simplifier encore l'utilisation de groff, par exemple pour gérer les documents avec liens clickables (voir les explications dans mom-pdf.mom) qui peuvent nécessiter plusieurs passes successives de groff, notamment si un lien clickable fait référence à quelque chose plus loin dans le texte. L'invocation de pdfmom est simple et ne nécessite pas de passer les options -Tpdf -mom: | tpdf
224 Mot inconnu : mom => Notez qu'il existe également le script pdfmom qui permet de simplifier encore l'utilisation de groff, par exemple pour gérer les documents avec liens clickables (voir les explications dans mom-pdf.mom) qui peuvent nécessiter plusieurs passes successives de groff, notamment si un lien clickable fait référence à quelque chose plus loin dans le texte. L'invocation de pdfmom est simple et ne nécessite pas de passer les options -Tpdf -mom: | mom

228 Il manque un “s” à « quelque » ou « éléments » doit être au singulier. => Les exemples fournis sont très complets, voire complexes. Nous allons faire un exemple simple avec quelque éléments courants: des paragraphes, des listes, une table des matière, des liens clickables. Afin de remplir les pages de texte alors que l'inspiration nous manque, nous allons utiliser le fameux texte en faux latin Lorem Ipsum (http://fr.wikipedia.org/wiki/Faux-texte).. | quelque => suggestions : ['quelques']
228 Accord de nombre erroné : « matière » devrait être au pluriel. => Les exemples fournis sont très complets, voire complexes. Nous allons faire un exemple simple avec quelque éléments courants: des paragraphes, des listes, une table des matière, des liens clickables. Afin de remplir les pages de texte alors que l'inspiration nous manque, nous allons utiliser le fameux texte en faux latin Lorem Ipsum (http://fr.wikipedia.org/wiki/Faux-texte).. | matière => suggestions : ['matières']
228 Mot inconnu : clickables => Les exemples fournis sont très complets, voire complexes. Nous allons faire un exemple simple avec quelque éléments courants: des paragraphes, des listes, une table des matière, des liens clickables. Afin de remplir les pages de texte alors que l'inspiration nous manque, nous allons utiliser le fameux texte en faux latin Lorem Ipsum (http://fr.wikipedia.org/wiki/Faux-texte).. | clickables
228 Mot inconnu : Lorem => Les exemples fournis sont très complets, voire complexes. Nous allons faire un exemple simple avec quelque éléments courants: des paragraphes, des listes, une table des matière, des liens clickables. Afin de remplir les pages de texte alors que l'inspiration nous manque, nous allons utiliser le fameux texte en faux latin Lorem Ipsum (http://fr.wikipedia.org/wiki/Faux-texte).. | lorem
228 Mot inconnu : Ipsum => Les exemples fournis sont très complets, voire complexes. Nous allons faire un exemple simple avec quelque éléments courants: des paragraphes, des listes, une table des matière, des liens clickables. Afin de remplir les pages de texte alors que l'inspiration nous manque, nous allons utiliser le fameux texte en faux latin Lorem Ipsum (http://fr.wikipedia.org/wiki/Faux-texte).. | ipsum
228 Typographie : un ou trois points ? => Les exemples fournis sont très complets, voire complexes. Nous allons faire un exemple simple avec quelque éléments courants: des paragraphes, des listes, une table des matière, des liens clickables. Afin de remplir les pages de texte alors que l'inspiration nous manque, nous allons utiliser le fameux texte en faux latin Lorem Ipsum (http://fr.wikipedia.org/wiki/Faux-texte).. | .. => suggestions : ['…', '.']

230 Mot inconnu : mon_premier_doc => Ouvrez votre éditeur préféré et commencez par copier les lignes suivantes dans un fichier mon_premier_doc.mom: | mon_premier_doc
230 Mot inconnu : mom => Ouvrez votre éditeur préféré et commencez par copier les lignes suivantes dans un fichier mon_premier_doc.mom: | mom

241 Mot inconnu : utf8 => La toute première ligne est un commentaire (qui peuvent débuter par .\" ou par \#) indiquant que le fichier est encodé en utf8, ce qui sera nécessaire à la génération du pdf du fait de la présence de caractère accentués (et donc non-ascii). | utf8
241 Mot inconnu : non-ascii => La toute première ligne est un commentaire (qui peuvent débuter par .\" ou par \#) indiquant que le fichier est encodé en utf8, ce qui sera nécessaire à la génération du pdf du fait de la présence de caractère accentués (et donc non-ascii). | non-ascii

243 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Nous n'avons rempli pour le moment que quelques champs obligatoires (placés avant la commande .START) pour définir l'auteur, le titre (qui peuvent être utilisés non seulement pour la mise en forme de la première page mais aussi pour les entêtes et pieds de page). La commande .DOCTYPE est inutile puisque nous avons choisi l'option par défaut, vous pouvez la changer en "LETTER" comme dans l'exemple letter.mom si votre document est une lettre, avec donc des réglages par défaut différents (pas d'entête ou de numéro de page par exemple). |  . => suggestions : ['. ', '.']
243 Mot inconnu : START => Nous n'avons rempli pour le moment que quelques champs obligatoires (placés avant la commande .START) pour définir l'auteur, le titre (qui peuvent être utilisés non seulement pour la mise en forme de la première page mais aussi pour les entêtes et pieds de page). La commande .DOCTYPE est inutile puisque nous avons choisi l'option par défaut, vous pouvez la changer en "LETTER" comme dans l'exemple letter.mom si votre document est une lettre, avec donc des réglages par défaut différents (pas d'entête ou de numéro de page par exemple). | start
243 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Nous n'avons rempli pour le moment que quelques champs obligatoires (placés avant la commande .START) pour définir l'auteur, le titre (qui peuvent être utilisés non seulement pour la mise en forme de la première page mais aussi pour les entêtes et pieds de page). La commande .DOCTYPE est inutile puisque nous avons choisi l'option par défaut, vous pouvez la changer en "LETTER" comme dans l'exemple letter.mom si votre document est une lettre, avec donc des réglages par défaut différents (pas d'entête ou de numéro de page par exemple). |  . => suggestions : ['. ', '.']
243 Mot inconnu : DOCTYPE => Nous n'avons rempli pour le moment que quelques champs obligatoires (placés avant la commande .START) pour définir l'auteur, le titre (qui peuvent être utilisés non seulement pour la mise en forme de la première page mais aussi pour les entêtes et pieds de page). La commande .DOCTYPE est inutile puisque nous avons choisi l'option par défaut, vous pouvez la changer en "LETTER" comme dans l'exemple letter.mom si votre document est une lettre, avec donc des réglages par défaut différents (pas d'entête ou de numéro de page par exemple). | doctype
243 Guillemets typographiques ouvrants. => Nous n'avons rempli pour le moment que quelques champs obligatoires (placés avant la commande .START) pour définir l'auteur, le titre (qui peuvent être utilisés non seulement pour la mise en forme de la première page mais aussi pour les entêtes et pieds de page). La commande .DOCTYPE est inutile puisque nous avons choisi l'option par défaut, vous pouvez la changer en "LETTER" comme dans l'exemple letter.mom si votre document est une lettre, avec donc des réglages par défaut différents (pas d'entête ou de numéro de page par exemple). | " => suggestions : ['«\xa0', '“']
243 Mot inconnu : LETTER => Nous n'avons rempli pour le moment que quelques champs obligatoires (placés avant la commande .START) pour définir l'auteur, le titre (qui peuvent être utilisés non seulement pour la mise en forme de la première page mais aussi pour les entêtes et pieds de page). La commande .DOCTYPE est inutile puisque nous avons choisi l'option par défaut, vous pouvez la changer en "LETTER" comme dans l'exemple letter.mom si votre document est une lettre, avec donc des réglages par défaut différents (pas d'entête ou de numéro de page par exemple). | letter
243 Guillemets typographiques fermants. => Nous n'avons rempli pour le moment que quelques champs obligatoires (placés avant la commande .START) pour définir l'auteur, le titre (qui peuvent être utilisés non seulement pour la mise en forme de la première page mais aussi pour les entêtes et pieds de page). La commande .DOCTYPE est inutile puisque nous avons choisi l'option par défaut, vous pouvez la changer en "LETTER" comme dans l'exemple letter.mom si votre document est une lettre, avec donc des réglages par défaut différents (pas d'entête ou de numéro de page par exemple). | " => suggestions : ['\xa0»', '”']
243 Mot inconnu : letter => Nous n'avons rempli pour le moment que quelques champs obligatoires (placés avant la commande .START) pour définir l'auteur, le titre (qui peuvent être utilisés non seulement pour la mise en forme de la première page mais aussi pour les entêtes et pieds de page). La commande .DOCTYPE est inutile puisque nous avons choisi l'option par défaut, vous pouvez la changer en "LETTER" comme dans l'exemple letter.mom si votre document est une lettre, avec donc des réglages par défaut différents (pas d'entête ou de numéro de page par exemple). | letter
