
3 Mot inconnu : apache2 => ====== Configurer un domaine sur un serveur avec apache2 et bind9 ====== | apache2
166 Mot inconnu : ip => Mais vous pouvez également vous assurer que les serveurs de noms secondaires connaissent bien votre zone et/ou sont bien à jour (en repérant le numéro). Pour cela entrez cette commande (**ou l'ip correspond à l'ip d'un/du serveur DNS secondaire**) | ip
170 Mot inconnu : ok => Si le serveur de nom secondaire est à jour: **tout est ok** :-) ! | ok

174 Accord de nombre erroné : « serveur » devrait être au pluriel. => Il faut maintenant propager votre nouvelle configuration de DNS pour ce domaine afin que les autres serveurs DNS du monde sachent à quelle machine (votre serveur et les serveur DNS secondaires) demander des informations sur votre zone.\\ | serveur => suggestions : ['serveurs']

175 Écriture invariable. Utilisez un point médian. => Pour cela, le prestataire chez qui vous avez acheté votre domaine doit vous proposer une interface permettant de changer les serveurs DNS de votre domaine. Vous devrez y indiquer le serveur DNS primaire et le(s) serveur(s) DNS secondaire(s), à savoir ici **myserver.adomain.tdl** ainsi que **dns1.domain.tdl** et **dns2.domain.tdl**.  | serveur(s) => suggestions : ['serveur·s']
175 Écriture invariable. Utilisez un point médian. => Pour cela, le prestataire chez qui vous avez acheté votre domaine doit vous proposer une interface permettant de changer les serveurs DNS de votre domaine. Vous devrez y indiquer le serveur DNS primaire et le(s) serveur(s) DNS secondaire(s), à savoir ici **myserver.adomain.tdl** ainsi que **dns1.domain.tdl** et **dns2.domain.tdl**.  | secondaire(s) => suggestions : ['secondaire·s']
175 Espace(s) en fin de ligne à supprimer. => Pour cela, le prestataire chez qui vous avez acheté votre domaine doit vous proposer une interface permettant de changer les serveurs DNS de votre domaine. Vous devrez y indiquer le serveur DNS primaire et le(s) serveur(s) DNS secondaire(s), à savoir ici **myserver.adomain.tdl** ainsi que **dns1.domain.tdl** et **dns2.domain.tdl**.  |   => suggestions : ['']

177 Accord erroné : “configuration” et “accepté” ne sont pas accordés. Mettez au féminin singulier. => Pensez à vérifier en premier lieu que votre configuration va être accepté. Pour cela utilisez par exemple le [[http://www.afnic.fr/fr/produits-et-services/services/zonecheck/formulaire-complet/|formulaire de l'afnic]]. | accepté => suggestions : ['acceptée']
177 Mot inconnu : afnic => Pensez à vérifier en premier lieu que votre configuration va être accepté. Pour cela utilisez par exemple le [[http://www.afnic.fr/fr/produits-et-services/services/zonecheck/formulaire-complet/|formulaire de l'afnic]]. | afnic

187 Mot inconnu : apache2 => ===== Configuration d'apache2 ===== | apache2

191 Mot inconnu : ip => Il s'agira ici de configurer le serveur apache afin de répondre aux demandes HTTP correspondant à votre domaine. Ce serveur web apache pourrait très bien se trouver sur une machine différente que celle ou se trouve le serveur de nom. Souvenez-vous de l'ip que vous avez fait correspondre à vos sous-domaine dans la zone [[#Configuration de la zone|tout à l'heure]]. Le serveur DNS ne fait qu'informer le client à quelle ip correspond le domaine ou le sous-domaine. Dans ce tutoriel le serveur web se trouvera sur la même machine que le serveur de nom. | ip
191 Mot inconnu : ip => Il s'agira ici de configurer le serveur apache afin de répondre aux demandes HTTP correspondant à votre domaine. Ce serveur web apache pourrait très bien se trouver sur une machine différente que celle ou se trouve le serveur de nom. Souvenez-vous de l'ip que vous avez fait correspondre à vos sous-domaine dans la zone [[#Configuration de la zone|tout à l'heure]]. Le serveur DNS ne fait qu'informer le client à quelle ip correspond le domaine ou le sous-domaine. Dans ce tutoriel le serveur web se trouvera sur la même machine que le serveur de nom. | ip

193 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ==== Création de l’hôte virtuel ==== |   => suggestions : ['']

199 Mot inconnu : ServerName => 	ServerName mydomain.tdl | servername
199 Mot inconnu : mydomain => 	ServerName mydomain.tdl | mydomain
199 Mot inconnu : tdl => 	ServerName mydomain.tdl | tdl

200 Mot inconnu : ServerAlias => 	ServerAlias www.mydomain.tdl | serveralias

201 Mot inconnu : DocumentRoot => 	DocumentRoot "/var/www/mydomain" | documentroot

203 Mot inconnu : FollowSymLinks => 		Options +FollowSymLinks | followsymlinks

204 Mot inconnu : AllowOverride => 		AllowOverride all | allowoverride
204 Mot inconnu : all => 		AllowOverride all | all

205 Mot inconnu : Require => 		Require all granted | require
205 Mot inconnu : all => 		Require all granted | all
205 Mot inconnu : granted => 		Require all granted | granted

207 Mot inconnu : ErrorLog => 	ErrorLog /var/log/apache2/error.mydomain.tdl.log | errorlog

208 Mot inconnu : CustomLog => 	CustomLog /var/log/apache2/access.mydomain.tdl.log combined | customlog
208 Mot inconnu : combined => 	CustomLog /var/log/apache2/access.mydomain.tdl.log combined | combined

216 Mot inconnu : chmod => chmod 750 /var/www/mydomain</code></note> | chmod
