
5 Mot inconnu : NFS => ===== Un simple partage NFS ===== | nfs
295 Mot inconnu : no_subtree_check => <file> exportfs: /etc/exports [1]: Neither 'subtree_check' or 'no_subtree_check' specified for export "192.168.1.2:/Fichiers_à_partager_sur_Serveur/ </file> | no_subtree_check
295 Guillemets typographiques fermants. => <file> exportfs: /etc/exports [1]: Neither 'subtree_check' or 'no_subtree_check' specified for export "192.168.1.2:/Fichiers_à_partager_sur_Serveur/ </file> | ' => suggestions : ['”', '’', '›']
295 Mot inconnu : specified => <file> exportfs: /etc/exports [1]: Neither 'subtree_check' or 'no_subtree_check' specified for export "192.168.1.2:/Fichiers_à_partager_sur_Serveur/ </file> | specified
295 Mot inconnu : Fichiers_à_partager_sur_Serveur => <file> exportfs: /etc/exports [1]: Neither 'subtree_check' or 'no_subtree_check' specified for export "192.168.1.2:/Fichiers_à_partager_sur_Serveur/ </file> | fichiers_à_partager_sur_serveur

303 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   showmount -e 192.168.1.1 |    => suggestions : ['']
303 Mot inconnu : showmount =>   showmount -e 192.168.1.1 | showmount
303 Il manque un espace à côté du tiret. =>   showmount -e 192.168.1.1 |  - => suggestions : [' – ', ' — ']

308 Mot inconnu : list => Export list for 192.168.1.1: | list

322 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo mount -t nfs -o rw 192.168.1.1:/Fichiers_à_partager_sur_Serveur /Point_de_montage_sur_Client |    => suggestions : ['']
322 Mot inconnu : sudo =>   sudo mount -t nfs -o rw 192.168.1.1:/Fichiers_à_partager_sur_Serveur /Point_de_montage_sur_Client | sudo
322 Mot inconnu : mount =>   sudo mount -t nfs -o rw 192.168.1.1:/Fichiers_à_partager_sur_Serveur /Point_de_montage_sur_Client | mount
322 Mot inconnu : nfs =>   sudo mount -t nfs -o rw 192.168.1.1:/Fichiers_à_partager_sur_Serveur /Point_de_montage_sur_Client | nfs
322 Il manque un espace à côté du tiret. =>   sudo mount -t nfs -o rw 192.168.1.1:/Fichiers_à_partager_sur_Serveur /Point_de_montage_sur_Client |  - => suggestions : [' – ', ' — ']
322 Mot inconnu : rw =>   sudo mount -t nfs -o rw 192.168.1.1:/Fichiers_à_partager_sur_Serveur /Point_de_montage_sur_Client | rw
322 Mot inconnu : Fichiers_à_partager_sur_Serveur =>   sudo mount -t nfs -o rw 192.168.1.1:/Fichiers_à_partager_sur_Serveur /Point_de_montage_sur_Client | fichiers_à_partager_sur_serveur
322 Mot inconnu : Point_de_montage_sur_Client =>   sudo mount -t nfs -o rw 192.168.1.1:/Fichiers_à_partager_sur_Serveur /Point_de_montage_sur_Client | point_de_montage_sur_client

330 Mot inconnu : NFS => Il arrive que sur certaines configurations, le pare-feu bloque les échanges nécessaires au bon fonctionnement de NFS. Cela ne devrait pas être le cas sur Ubuntu, sauf si vous avez personnalisé les règles du pare-feu. Cela peut également provenir du routeur (*box). | nfs

337 Mot inconnu : arreter => ==6. Ubuntu 16.04 ne réussis pas à s'arreter.== | arreter

339 Mot inconnu : NFS => La version 16.04 a une petite anomalie sur client NFS. Si un dossier partagé est monté avant d’arrêter ou de redémarrer le client, alors la machine ne s’arrêtera pas. Il faut démonter les dossiers partagés avant. | nfs

344 Mot inconnu : NFS => Si, malgré tout, votre partage NFS ne fonctionne toujours pas, vous pouvez [[https://forum.ubuntu-fr.org/viewtopic.php?id=2662|demander de l'aide sur le forum]], en suivant ces [[http://forum.ubuntu-fr.org/misc.php?action=rules|règles]] pour avoir de meilleures chances d'être secouru. | nfs

347 Mot inconnu : NFS => Dans le cas précis d'un problème avec NFS, donnez : | nfs

348 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Les IP du client et du serveur (précisez si elles sont fixes), le dossier à partager du serveur et le point de montage du client. |    => suggestions : ['']

349 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Donnez en priorité le résultat des commandes qui aboutissent à des erreurs. |    => suggestions : ['']

350 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Donnez également le contenu des fichiers ///etc/exports//, ///etc/hosts.deny// et ///etc/hosts.allow// de votre serveur, et le fichier ///etc/fstab// de votre client. |    => suggestions : ['']

356 Mot inconnu : NFS => Vous pouvez avoir envie de créer un partage NFS plus complexe : | nfs

357 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Par exemple décider que Serveur puisse aussi accéder aux fichiers de Client. Dans ce cas, il suffit de suivre ce même tuto en échangeant simplement les rôles ;-). |    => suggestions : ['']
