
5 Mot inconnu : Philips => ====== Philips MCW770 & TwonkyMediaServer sur Debian/Ubuntu ====== | philips
121 Guillemets typographiques ouvrants. => Si vous voulez sauter l'étape de la saisie du mot de passe ''root'' (déconseillé) ou utilisateur au démarrage du serveur, vous pouvez suivre la procédure suivante : | '' => suggestions : ['«\xa0', '“']
121 Mot inconnu : root => Si vous voulez sauter l'étape de la saisie du mot de passe ''root'' (déconseillé) ou utilisateur au démarrage du serveur, vous pouvez suivre la procédure suivante : | root
121 Guillemets typographiques fermants. => Si vous voulez sauter l'étape de la saisie du mot de passe ''root'' (déconseillé) ou utilisateur au démarrage du serveur, vous pouvez suivre la procédure suivante : | '' => suggestions : ['\xa0»', '”']

123 Guillemets typographiques ouvrants. => Installez ''mingetty'' : | '' => suggestions : ['«\xa0', '“']
123 Mot inconnu : mingetty => Installez ''mingetty'' : | mingetty
123 Guillemets typographiques fermants. => Installez ''mingetty'' : | '' => suggestions : ['\xa0»', '”']

124 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#apt-get install mingetty |    => suggestions : ['']
124 Mot inconnu : debian-ms =>   debian-ms:~#apt-get install mingetty | debian-ms
124 Mot inconnu : install =>   debian-ms:~#apt-get install mingetty | install
124 Mot inconnu : mingetty =>   debian-ms:~#apt-get install mingetty | mingetty

125 Guillemets typographiques ouvrants. => Modifiez le fichier ''/etc/inittab'' avec ''vi'', ''vim'' ou ''nano'' selon ce que vous avez installé sur votre serveur : | '' => suggestions : ['«\xa0', '“']
125 Mot inconnu : vi => Modifiez le fichier ''/etc/inittab'' avec ''vi'', ''vim'' ou ''nano'' selon ce que vous avez installé sur votre serveur : | vi
125 Guillemets typographiques fermants. => Modifiez le fichier ''/etc/inittab'' avec ''vi'', ''vim'' ou ''nano'' selon ce que vous avez installé sur votre serveur : | '' => suggestions : ['\xa0»', '”']
125 Guillemets typographiques ouvrants. => Modifiez le fichier ''/etc/inittab'' avec ''vi'', ''vim'' ou ''nano'' selon ce que vous avez installé sur votre serveur : | '' => suggestions : ['«\xa0', '“']
125 Mot inconnu : vim => Modifiez le fichier ''/etc/inittab'' avec ''vi'', ''vim'' ou ''nano'' selon ce que vous avez installé sur votre serveur : | vim
125 Guillemets typographiques fermants. => Modifiez le fichier ''/etc/inittab'' avec ''vi'', ''vim'' ou ''nano'' selon ce que vous avez installé sur votre serveur : | '' => suggestions : ['\xa0»', '”']
125 Guillemets typographiques ouvrants. => Modifiez le fichier ''/etc/inittab'' avec ''vi'', ''vim'' ou ''nano'' selon ce que vous avez installé sur votre serveur : | '' => suggestions : ['«\xa0', '“']
125 Mot inconnu : nano => Modifiez le fichier ''/etc/inittab'' avec ''vi'', ''vim'' ou ''nano'' selon ce que vous avez installé sur votre serveur : | nano
125 Guillemets typographiques fermants. => Modifiez le fichier ''/etc/inittab'' avec ''vi'', ''vim'' ou ''nano'' selon ce que vous avez installé sur votre serveur : | '' => suggestions : ['\xa0»', '”']

126 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#vi /etc/inittab |    => suggestions : ['']
126 Mot inconnu : debian-ms =>   debian-ms:~#vi /etc/inittab | debian-ms

128 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   1:2345:respawn:/sbin/getty 38400 tty1 |    => suggestions : ['']
128 Mot inconnu : respawn =>   1:2345:respawn:/sbin/getty 38400 tty1 | respawn
128 Si “tty1” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   1:2345:respawn:/sbin/getty 38400 tty1 | 38400 tty1 => suggestions : ['38\xa0400\xa0tty1']
128 Mot inconnu : tty1 =>   1:2345:respawn:/sbin/getty 38400 tty1 | tty1

130 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   1:2345:respawn:/sbin/mingetty --autologin <username> --noclear tty1 |    => suggestions : ['']
130 Mot inconnu : respawn =>   1:2345:respawn:/sbin/mingetty --autologin <username> --noclear tty1 | respawn
130 Mot inconnu : autologin =>   1:2345:respawn:/sbin/mingetty --autologin <username> --noclear tty1 | autologin
130 Mot inconnu : noclear =>   1:2345:respawn:/sbin/mingetty --autologin <username> --noclear tty1 | noclear
130 Mot inconnu : tty1 =>   1:2345:respawn:/sbin/mingetty --autologin <username> --noclear tty1 | tty1

131 Guillemets typographiques ouvrants. => où <username> est l'utilisateur (ou ''root'', mais déconseillé !) à autoconnecter. | '' => suggestions : ['«\xa0', '“']
131 Mot inconnu : root => où <username> est l'utilisateur (ou ''root'', mais déconseillé !) à autoconnecter. | root
131 Guillemets typographiques fermants. => où <username> est l'utilisateur (ou ''root'', mais déconseillé !) à autoconnecter. | '' => suggestions : ['\xa0»', '”']
131 Mot inconnu : autoconnecter => où <username> est l'utilisateur (ou ''root'', mais déconseillé !) à autoconnecter. | autoconnecter

134 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#reboot |    => suggestions : ['']
134 Mot inconnu : debian-ms =>   debian-ms:~#reboot | debian-ms

140 Mot inconnu : Philips => Pour cette partie, vous allez devoir vous munir du CD Philips fourni avec la chaîne haute fidélité. Insérez-le dans un PC muni de Windows XP. | philips
140 Mot inconnu : XP => Pour cette partie, vous allez devoir vous munir du CD Philips fourni avec la chaîne haute fidélité. Insérez-le dans un PC muni de Windows XP. | xp
148 Mot inconnu : PCLINK => Cochez en bas la case « Ne pas effectuer la configuration automatique ». Il vous demande d'appuyer pendant cinq secondes sur le bouton PCLINK de la chaîne...Faites-le. | pclink
148 Typographie : points de suspension. Utilisez le caractère dédié. => Cochez en bas la case « Ne pas effectuer la configuration automatique ». Il vous demande d'appuyer pendant cinq secondes sur le bouton PCLINK de la chaîne...Faites-le. | ... => suggestions : ['…']

152 Mot inconnu : XP => Vous pouvez maintenant désinstaller l'application qui a été installée sur votre Windows XP auparavant, en passant par « Panneau de configuration -> Ajout/Suppression de programmes » (''IEEE802.11bWLANUtility''...) | xp
152 Mot inconnu : IEEE802 => Vous pouvez maintenant désinstaller l'application qui a été installée sur votre Windows XP auparavant, en passant par « Panneau de configuration -> Ajout/Suppression de programmes » (''IEEE802.11bWLANUtility''...) | ieee802
152 Mot inconnu : bWLANUtility => Vous pouvez maintenant désinstaller l'application qui a été installée sur votre Windows XP auparavant, en passant par « Panneau de configuration -> Ajout/Suppression de programmes » (''IEEE802.11bWLANUtility''...) | bwlanutility
152 Guillemets typographiques fermants. => Vous pouvez maintenant désinstaller l'application qui a été installée sur votre Windows XP auparavant, en passant par « Panneau de configuration -> Ajout/Suppression de programmes » (''IEEE802.11bWLANUtility''...) | '' => suggestions : ['\xa0»', '”']
152 Typographie : points de suspension. Utilisez le caractère dédié. => Vous pouvez maintenant désinstaller l'application qui a été installée sur votre Windows XP auparavant, en passant par « Panneau de configuration -> Ajout/Suppression de programmes » (''IEEE802.11bWLANUtility''...) | ... => suggestions : ['…']

155 Guillemets typographiques ouvrants. => La configuration de votre serveur dépend de ce que vous avez spécifié à la chaîne à l'étape précédente, et s'effectuera pour votre serveur dans ''/etc/network/interfaces''. Pour accéder au serveur par ''ssh'' via votre « PC maître » : | '' => suggestions : ['«\xa0', '“']
155 Mot inconnu : ssh => La configuration de votre serveur dépend de ce que vous avez spécifié à la chaîne à l'étape précédente, et s'effectuera pour votre serveur dans ''/etc/network/interfaces''. Pour accéder au serveur par ''ssh'' via votre « PC maître » : | ssh
155 Guillemets typographiques fermants. => La configuration de votre serveur dépend de ce que vous avez spécifié à la chaîne à l'étape précédente, et s'effectuera pour votre serveur dans ''/etc/network/interfaces''. Pour accéder au serveur par ''ssh'' via votre « PC maître » : | '' => suggestions : ['\xa0»', '”']

156 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debhub:~#ssh root@192.168.3.56 |    => suggestions : ['']
156 Mot inconnu : debhub =>   debhub:~#ssh root@192.168.3.56 | debhub
158 Mot inconnu : ESSID => <note>Chaîne hifi : \\ ESSID : MCW770 \\ IP : 192.168.4.4 \\ Channel : 1 \\ Mode : Ad-Hoc \\ Enc. : WEP \\ Key : 123456789A</note> | essid
158 Mot inconnu : MCW770 => <note>Chaîne hifi : \\ ESSID : MCW770 \\ IP : 192.168.4.4 \\ Channel : 1 \\ Mode : Ad-Hoc \\ Enc. : WEP \\ Key : 123456789A</note> | mcw770
158 Mot inconnu : Channel => <note>Chaîne hifi : \\ ESSID : MCW770 \\ IP : 192.168.4.4 \\ Channel : 1 \\ Mode : Ad-Hoc \\ Enc. : WEP \\ Key : 123456789A</note> | channel
158 Mot inconnu : Enc => <note>Chaîne hifi : \\ ESSID : MCW770 \\ IP : 192.168.4.4 \\ Channel : 1 \\ Mode : Ad-Hoc \\ Enc. : WEP \\ Key : 123456789A</note> | enc
158 Mot inconnu : WEP => <note>Chaîne hifi : \\ ESSID : MCW770 \\ IP : 192.168.4.4 \\ Channel : 1 \\ Mode : Ad-Hoc \\ Enc. : WEP \\ Key : 123456789A</note> | wep
158 Mot inconnu : Key => <note>Chaîne hifi : \\ ESSID : MCW770 \\ IP : 192.168.4.4 \\ Channel : 1 \\ Mode : Ad-Hoc \\ Enc. : WEP \\ Key : 123456789A</note> | key

160 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#vim /etc/network/interfaces |    => suggestions : ['']
160 Mot inconnu : debian-ms =>   debian-ms:~#vim /etc/network/interfaces | debian-ms

162 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   #/etc/network/interfaces |    => suggestions : ['']

163 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

164 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   auto lo |    => suggestions : ['']
164 Mot inconnu : lo =>   auto lo | lo

165 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   iface lo inet loopback |    => suggestions : ['']
165 Mot inconnu : iface =>   iface lo inet loopback | iface
165 Mot inconnu : lo =>   iface lo inet loopback | lo
165 Mot inconnu : inet =>   iface lo inet loopback | inet
165 Mot inconnu : loopback =>   iface lo inet loopback | loopback

166 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

167 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   #Ethernet pour connexion ssh |    => suggestions : ['']
167 Mot inconnu : ssh =>   #Ethernet pour connexion ssh | ssh

168 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   auto eth0 |    => suggestions : ['']
168 Mot inconnu : eth0 =>   auto eth0 | eth0

169 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   address 192.168.3.56 |    => suggestions : ['']
169 Mot inconnu : address =>   address 192.168.3.56 | address

170 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   netmask 255.255.255.0 |    => suggestions : ['']
170 Mot inconnu : netmask =>   netmask 255.255.255.0 | netmask

171 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   network 192.168.3.0 |    => suggestions : ['']
171 Mot inconnu : network =>   network 192.168.3.0 | network

172 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   broadcast 192.168.3.255 |    => suggestions : ['']
172 Mot inconnu : broadcast =>   broadcast 192.168.3.255 | broadcast

173 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   gateway 192.168.3.55 |    => suggestions : ['']
173 Mot inconnu : gateway =>   gateway 192.168.3.55 | gateway

174 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

175 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   #Dongle wifi pour MCW770 |    => suggestions : ['']
175 Mot inconnu : MCW770 =>   #Dongle wifi pour MCW770 | mcw770

176 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   auto wlan0 |    => suggestions : ['']
176 Mot inconnu : wlan0 =>   auto wlan0 | wlan0

177 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   iface wlan0 inet static |    => suggestions : ['']
177 Mot inconnu : iface =>   iface wlan0 inet static | iface
177 Mot inconnu : wlan0 =>   iface wlan0 inet static | wlan0
177 Mot inconnu : inet =>   iface wlan0 inet static | inet
177 Mot inconnu : static =>   iface wlan0 inet static | static

178 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   address 192.168.4.3 |    => suggestions : ['']
178 Mot inconnu : address =>   address 192.168.4.3 | address

179 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   netmask 255.255.255.0 |    => suggestions : ['']
179 Mot inconnu : netmask =>   netmask 255.255.255.0 | netmask

180 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   network 192.168.4.0 |    => suggestions : ['']
180 Mot inconnu : network =>   network 192.168.4.0 | network

181 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   broadcast 192.168.4.255 |    => suggestions : ['']
181 Mot inconnu : broadcast =>   broadcast 192.168.4.255 | broadcast

182 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   gateway 192.168.4.4 |    => suggestions : ['']
182 Mot inconnu : gateway =>   gateway 192.168.4.4 | gateway

183 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   wireless-essid MCW770 |    => suggestions : ['']
183 Mot inconnu : wireless-essid =>   wireless-essid MCW770 | wireless-essid
183 Mot inconnu : MCW770 =>   wireless-essid MCW770 | mcw770

184 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   wireless-key 123456789A |    => suggestions : ['']
184 Mot inconnu : wireless-key =>   wireless-key 123456789A | wireless-key

185 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   wireless-mode ad-hoc |    => suggestions : ['']
185 Mot inconnu : wireless-mode =>   wireless-mode ad-hoc | wireless-mode

186 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   wireless-channel 1 |    => suggestions : ['']
186 Mot inconnu : wireless-channel =>   wireless-channel 1 | wireless-channel

189 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   #!/bin/sh |    => suggestions : ['']

190 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ifconfig wlan0 down |    => suggestions : ['']
190 Mot inconnu : ifconfig =>   ifconfig wlan0 down | ifconfig
190 Mot inconnu : wlan0 =>   ifconfig wlan0 down | wlan0
190 Mot inconnu : down =>   ifconfig wlan0 down | down

191 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ifconfig wlan0 192.168.4.3 netmask 255.255.255.0 broadcast 192.168.4.255 up |    => suggestions : ['']
191 Mot inconnu : ifconfig =>   ifconfig wlan0 192.168.4.3 netmask 255.255.255.0 broadcast 192.168.4.255 up | ifconfig
191 Mot inconnu : wlan0 =>   ifconfig wlan0 192.168.4.3 netmask 255.255.255.0 broadcast 192.168.4.255 up | wlan0
191 Mot inconnu : netmask =>   ifconfig wlan0 192.168.4.3 netmask 255.255.255.0 broadcast 192.168.4.255 up | netmask
191 Mot inconnu : broadcast =>   ifconfig wlan0 192.168.4.3 netmask 255.255.255.0 broadcast 192.168.4.255 up | broadcast
191 Mot inconnu : up =>   ifconfig wlan0 192.168.4.3 netmask 255.255.255.0 broadcast 192.168.4.255 up | up

192 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   iwconfig wlan0 essid MCW770 key 123456789A mode ad-hoc channel 1 |    => suggestions : ['']
192 Mot inconnu : iwconfig =>   iwconfig wlan0 essid MCW770 key 123456789A mode ad-hoc channel 1 | iwconfig
192 Mot inconnu : wlan0 =>   iwconfig wlan0 essid MCW770 key 123456789A mode ad-hoc channel 1 | wlan0
192 Mot inconnu : essid =>   iwconfig wlan0 essid MCW770 key 123456789A mode ad-hoc channel 1 | essid
192 Mot inconnu : MCW770 =>   iwconfig wlan0 essid MCW770 key 123456789A mode ad-hoc channel 1 | mcw770
192 Mot inconnu : key =>   iwconfig wlan0 essid MCW770 key 123456789A mode ad-hoc channel 1 | key
192 Mot inconnu : channel =>   iwconfig wlan0 essid MCW770 key 123456789A mode ad-hoc channel 1 | channel

193 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => pour les éventuelles pertes de connexion quand vous travaillez avec ''ssh'' sur votre serveur (J'en ai assez souvent...Bizarrement. Problème d'utilisation des deux interfaces en même temps ?). | pour => suggestions : ['Pour']
193 Guillemets typographiques ouvrants. => pour les éventuelles pertes de connexion quand vous travaillez avec ''ssh'' sur votre serveur (J'en ai assez souvent...Bizarrement. Problème d'utilisation des deux interfaces en même temps ?). | '' => suggestions : ['«\xa0', '“']
193 Mot inconnu : ssh => pour les éventuelles pertes de connexion quand vous travaillez avec ''ssh'' sur votre serveur (J'en ai assez souvent...Bizarrement. Problème d'utilisation des deux interfaces en même temps ?). | ssh
193 Guillemets typographiques fermants. => pour les éventuelles pertes de connexion quand vous travaillez avec ''ssh'' sur votre serveur (J'en ai assez souvent...Bizarrement. Problème d'utilisation des deux interfaces en même temps ?). | '' => suggestions : ['\xa0»', '”']
193 Typographie : points de suspension. Utilisez le caractère dédié. => pour les éventuelles pertes de connexion quand vous travaillez avec ''ssh'' sur votre serveur (J'en ai assez souvent...Bizarrement. Problème d'utilisation des deux interfaces en même temps ?). | ... => suggestions : ['…']

195 Mot inconnu : TwonkyMediaServer => ==== TwonkyMediaServer ==== | twonkymediaserver

196 Mot inconnu : TwonkyMediaServer => Maintenant que nous avons une machine en état de fonctionner et de se connecter à la chaîne haute fidélité, il nous reste à installer le serveur média à proprement parler. Nous utiliserons ici TwonkyMediaServer. La version disponible est une version d'essai de 30 jours, période au-delà de laquelle il vous faudra vous enregistrer. Vous pouvez soit récupérer un ''.zip'' (ce qui est détaillé ci-dessous), ou vous procurer une version en ''.sh'', qu'il suffit d'éxécuter pour procéder à une installation automatique. | twonkymediaserver
196 Avec une unité de mesure, mettez un espace insécable. => Maintenant que nous avons une machine en état de fonctionner et de se connecter à la chaîne haute fidélité, il nous reste à installer le serveur média à proprement parler. Nous utiliserons ici TwonkyMediaServer. La version disponible est une version d'essai de 30 jours, période au-delà de laquelle il vous faudra vous enregistrer. Vous pouvez soit récupérer un ''.zip'' (ce qui est détaillé ci-dessous), ou vous procurer une version en ''.sh'', qu'il suffit d'éxécuter pour procéder à une installation automatique. | 30 jours => suggestions : ['30\xa0jours']
196 Guillemets fermants. => Maintenant que nous avons une machine en état de fonctionner et de se connecter à la chaîne haute fidélité, il nous reste à installer le serveur média à proprement parler. Nous utiliserons ici TwonkyMediaServer. La version disponible est une version d'essai de 30 jours, période au-delà de laquelle il vous faudra vous enregistrer. Vous pouvez soit récupérer un ''.zip'' (ce qui est détaillé ci-dessous), ou vous procurer une version en ''.sh'', qu'il suffit d'éxécuter pour procéder à une installation automatique. |  '' => suggestions : ['\xa0»', '”']
196 Guillemets typographiques fermants. => Maintenant que nous avons une machine en état de fonctionner et de se connecter à la chaîne haute fidélité, il nous reste à installer le serveur média à proprement parler. Nous utiliserons ici TwonkyMediaServer. La version disponible est une version d'essai de 30 jours, période au-delà de laquelle il vous faudra vous enregistrer. Vous pouvez soit récupérer un ''.zip'' (ce qui est détaillé ci-dessous), ou vous procurer une version en ''.sh'', qu'il suffit d'éxécuter pour procéder à une installation automatique. | '' => suggestions : ['\xa0»', '”']
196 Guillemets fermants. => Maintenant que nous avons une machine en état de fonctionner et de se connecter à la chaîne haute fidélité, il nous reste à installer le serveur média à proprement parler. Nous utiliserons ici TwonkyMediaServer. La version disponible est une version d'essai de 30 jours, période au-delà de laquelle il vous faudra vous enregistrer. Vous pouvez soit récupérer un ''.zip'' (ce qui est détaillé ci-dessous), ou vous procurer une version en ''.sh'', qu'il suffit d'éxécuter pour procéder à une installation automatique. |  '' => suggestions : ['\xa0»', '”']
196 Mot inconnu : sh => Maintenant que nous avons une machine en état de fonctionner et de se connecter à la chaîne haute fidélité, il nous reste à installer le serveur média à proprement parler. Nous utiliserons ici TwonkyMediaServer. La version disponible est une version d'essai de 30 jours, période au-delà de laquelle il vous faudra vous enregistrer. Vous pouvez soit récupérer un ''.zip'' (ce qui est détaillé ci-dessous), ou vous procurer une version en ''.sh'', qu'il suffit d'éxécuter pour procéder à une installation automatique. | sh
196 Guillemets typographiques fermants. => Maintenant que nous avons une machine en état de fonctionner et de se connecter à la chaîne haute fidélité, il nous reste à installer le serveur média à proprement parler. Nous utiliserons ici TwonkyMediaServer. La version disponible est une version d'essai de 30 jours, période au-delà de laquelle il vous faudra vous enregistrer. Vous pouvez soit récupérer un ''.zip'' (ce qui est détaillé ci-dessous), ou vous procurer une version en ''.sh'', qu'il suffit d'éxécuter pour procéder à une installation automatique. | '' => suggestions : ['\xa0»', '”']
196 Mot inconnu : éxécuter => Maintenant que nous avons une machine en état de fonctionner et de se connecter à la chaîne haute fidélité, il nous reste à installer le serveur média à proprement parler. Nous utiliserons ici TwonkyMediaServer. La version disponible est une version d'essai de 30 jours, période au-delà de laquelle il vous faudra vous enregistrer. Vous pouvez soit récupérer un ''.zip'' (ce qui est détaillé ci-dessous), ou vous procurer une version en ''.sh'', qu'il suffit d'éxécuter pour procéder à une installation automatique. | éxécuter
199 Guillemets fermants. => Aller sur le site [[https://twonky.com/downloads/|twonky]] et récupérer la dernière version pour Linux, en ''.zip''. Vous pouvez aussi passer par votre console : |  '' => suggestions : ['\xa0»', '”']
199 Guillemets typographiques fermants. => Aller sur le site [[https://twonky.com/downloads/|twonky]] et récupérer la dernière version pour Linux, en ''.zip''. Vous pouvez aussi passer par votre console : | '' => suggestions : ['\xa0»', '”']

201 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#wget http://www.twonkyvision.com/downloads/twonkymedia-i386-glibc-2.2.5-full-5.0.61-20090403.zip   \\pour une architecture i386 |    => suggestions : ['']
201 Mot inconnu : debian-ms =>   debian-ms:~#wget http://www.twonkyvision.com/downloads/twonkymedia-i386-glibc-2.2.5-full-5.0.61-20090403.zip   \\pour une architecture i386 | debian-ms
201 Espace(s) surnuméraire(s) à supprimer. =>   debian-ms:~#wget http://www.twonkyvision.com/downloads/twonkymedia-i386-glibc-2.2.5-full-5.0.61-20090403.zip   \\pour une architecture i386 |     => suggestions : [' ']
201 Mot inconnu : i386 =>   debian-ms:~#wget http://www.twonkyvision.com/downloads/twonkymedia-i386-glibc-2.2.5-full-5.0.61-20090403.zip   \\pour une architecture i386 | i386

202 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#apt-get install unzip   \\est nécessaire pour décompresser l'archive .zip |    => suggestions : ['']
202 Mot inconnu : debian-ms =>   debian-ms:~#apt-get install unzip   \\est nécessaire pour décompresser l'archive .zip | debian-ms
202 Mot inconnu : install =>   debian-ms:~#apt-get install unzip   \\est nécessaire pour décompresser l'archive .zip | install
202 Mot inconnu : unzip =>   debian-ms:~#apt-get install unzip   \\est nécessaire pour décompresser l'archive .zip | unzip
202 Espace(s) surnuméraire(s) à supprimer. =>   debian-ms:~#apt-get install unzip   \\est nécessaire pour décompresser l'archive .zip |     => suggestions : [' ']
202 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   debian-ms:~#apt-get install unzip   \\est nécessaire pour décompresser l'archive .zip |  . => suggestions : ['. ', '.']

204 Guillemets fermants. => Créez le dossier d'installation (pour les versions en ''.sh'', ''/usr/local/twonkyvision'' est le répertoire par défaut) : |  '' => suggestions : ['\xa0»', '”']
204 Mot inconnu : sh => Créez le dossier d'installation (pour les versions en ''.sh'', ''/usr/local/twonkyvision'' est le répertoire par défaut) : | sh
204 Guillemets typographiques fermants. => Créez le dossier d'installation (pour les versions en ''.sh'', ''/usr/local/twonkyvision'' est le répertoire par défaut) : | '' => suggestions : ['\xa0»', '”']

206 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#mkdir /usr/local/twonkyvision |    => suggestions : ['']
206 Mot inconnu : debian-ms =>   debian-ms:~#mkdir /usr/local/twonkyvision | debian-ms

210 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#cp twonkymedia-i386-glibc-2.2.5-full-5.0.61-20090403.zip /usr/local/twonkyvision/ |    => suggestions : ['']
210 Mot inconnu : debian-ms =>   debian-ms:~#cp twonkymedia-i386-glibc-2.2.5-full-5.0.61-20090403.zip /usr/local/twonkyvision/ | debian-ms
210 Mot inconnu : twonkymedia-i386-glibc-2 =>   debian-ms:~#cp twonkymedia-i386-glibc-2.2.5-full-5.0.61-20090403.zip /usr/local/twonkyvision/ | twonkymedia-i386-glibc-2

211 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#unzip twonkymedia-i386-glibc-2.2.5-full-5.0.61-20090403.zip |    => suggestions : ['']
211 Mot inconnu : debian-ms =>   debian-ms:~#unzip twonkymedia-i386-glibc-2.2.5-full-5.0.61-20090403.zip | debian-ms
211 Mot inconnu : twonkymedia-i386-glibc-2 =>   debian-ms:~#unzip twonkymedia-i386-glibc-2.2.5-full-5.0.61-20090403.zip | twonkymedia-i386-glibc-2

213 Mot inconnu : twonky => Vous vous retrouvez maintenant avec un serveur twonky sur votre machine. | twonky

219 Mot inconnu : twonky => Normalement, votre serveur twonky devrait se lancer automatiquement au démarrage grâce au script ''twonkymedia.sh'' placé dans ''/etc/init.d''. Cependant, ne se lançant pas chez moi, j'ai modifié ce fichier et dû modifier la ligne « WORKDIR1 »...Pour ce faire, modifiez le fichier : | twonky
219 Guillemets typographiques ouvrants. => Normalement, votre serveur twonky devrait se lancer automatiquement au démarrage grâce au script ''twonkymedia.sh'' placé dans ''/etc/init.d''. Cependant, ne se lançant pas chez moi, j'ai modifié ce fichier et dû modifier la ligne « WORKDIR1 »...Pour ce faire, modifiez le fichier : | '' => suggestions : ['«\xa0', '“']
219 Mot inconnu : twonkymedia => Normalement, votre serveur twonky devrait se lancer automatiquement au démarrage grâce au script ''twonkymedia.sh'' placé dans ''/etc/init.d''. Cependant, ne se lançant pas chez moi, j'ai modifié ce fichier et dû modifier la ligne « WORKDIR1 »...Pour ce faire, modifiez le fichier : | twonkymedia
