
5 Mot inconnu : Kernel => ====== Comment compiler un noyau de Kernel.org ====== | kernel
295 Guillemets typographiques fermants. => Cette cible « construit les quatre paquets Debian du noyau en utilisant les cibles kernel_source, kernel_headers, kernel_doc et kernel_image ((traduction de la partie du manuel consacré à cette cible et accessible en saisissant ''man make-kpkg'')). | '' => suggestions : ['\xa0»', '”']

297 Mot inconnu : kernel_doc => === kernel_doc === | kernel_doc

299 Accord de genre erroné : « autre » est masculin, « cible » est féminin. => Cet autre cible compile et crée pour vous un paquet Debian contenant les documentations fournis avec le noyau. | cible => suggestions : ['ciblé']

301 Mot inconnu : kernel_image => === kernel_image === | kernel_image

305 Mot inconnu : kernel_source => === kernel_source === | kernel_source

309 Mot inconnu : kernel_headers => === kernel_headers === | kernel_headers

313 Mot inconnu : modules_image => === modules_image === | modules_image

319 Avec une unité de mesure, mettez un espace insécable. => Avant de procéder à la compilation il faut savoir que une compilation basique peut durer entre 2 heures et trois heures. Mais si vous possédez un ordinateur qui à plusieurs cœur (Core) vous pouvez augmenter la vitesse de compilation en spécifiant le nombre de cœur à utiliser pour la compilation. | 2 heures => suggestions : ['2\xa0heures']
319 Accord de nombre erroné : « cœur » devrait être au pluriel. => Avant de procéder à la compilation il faut savoir que une compilation basique peut durer entre 2 heures et trois heures. Mais si vous possédez un ordinateur qui à plusieurs cœur (Core) vous pouvez augmenter la vitesse de compilation en spécifiant le nombre de cœur à utiliser pour la compilation. | cœur => suggestions : ['cœurs']
319 Mot inconnu : Core => Avant de procéder à la compilation il faut savoir que une compilation basique peut durer entre 2 heures et trois heures. Mais si vous possédez un ordinateur qui à plusieurs cœur (Core) vous pouvez augmenter la vitesse de compilation en spécifiant le nombre de cœur à utiliser pour la compilation. | core

321 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => Voici un exemple pour un ordinateur à 5 cœurs (A changer en fonction de votre ordinateur) | a => suggestions : ['À']

337 Mot inconnu : deb => Et installer les //*.deb// : | deb

351 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://ubuntuforums.org/showthread.php?t=441013|HOW-TO : Utiliser le linux-restricted-module pour un noyau compilé]] (en) |    => suggestions : ['']
351 Mot inconnu : HOW-TO =>   * [[https://ubuntuforums.org/showthread.php?t=441013|HOW-TO : Utiliser le linux-restricted-module pour un noyau compilé]] (en) | how-to
351 Mot inconnu : linux-restricted-module =>   * [[https://ubuntuforums.org/showthread.php?t=441013|HOW-TO : Utiliser le linux-restricted-module pour un noyau compilé]] (en) | linux-restricted-module

352 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.andesi.org/index.php?node=77|Un bon guide pour Debian plein d'infos sympa]] |    => suggestions : ['']

353 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://forum.ubuntu-fr.org/viewtopic.php?pid=1108685#p1108685|Un guide pour installer la carte wifi **Intel PRO/Wireless 2200BG**]]  |    => suggestions : ['']
353 Mot inconnu : Wireless =>   * [[http://forum.ubuntu-fr.org/viewtopic.php?pid=1108685#p1108685|Un guide pour installer la carte wifi **Intel PRO/Wireless 2200BG**]]  | wireless
353 Mot inconnu : BG =>   * [[http://forum.ubuntu-fr.org/viewtopic.php?pid=1108685#p1108685|Un guide pour installer la carte wifi **Intel PRO/Wireless 2200BG**]]  | bg
353 Espace(s) en fin de ligne à supprimer. =>   * [[http://forum.ubuntu-fr.org/viewtopic.php?pid=1108685#p1108685|Un guide pour installer la carte wifi **Intel PRO/Wireless 2200BG**]]  |   => suggestions : ['']
