2 Mot inconnu : À_RECYCLER => {{tag>tutoriel matériel installation À_RECYCLER}}

5 Il manque un espace insécable. => ====== Tutoriel : Ajouter un disque dur ======

8 Guillemets typographiques ouvrants. => <note important>Le mieux serait d'apporter ses connaissances au lieu de laisser les autres dans l'ignorance surtout avec des commentaires inutiles et dans une doc de partage, "Largement obsolète" ne veut rien dire sans arguments, merci. </note>
8 Guillemets typographiques fermants. => <note important>Le mieux serait d'apporter ses connaissances au lieu de laisser les autres dans l'ignorance surtout avec des commentaires inutiles et dans une doc de partage, "Largement obsolète" ne veut rien dire sans arguments, merci. </note>

12 Mot inconnu : hd => Avec GNU/Linux, tout comme avec Unix, tout est fichier. Le système interprète donc vos périphériques en tant que fichiers. Les disques durs n'échappent pas à cette règle et se retrouvent donc dans le dossier /dev. Traditionnellement les périphériques IDE répondent à une appellation commençant par hd (pour Hard Disk) suivi d'une lettre correspondant à la position logique du disque (maître, esclave etc.) suivi d'un chiffre identifiant la partition.
12 Mot inconnu : Disk => Avec GNU/Linux, tout comme avec Unix, tout est fichier. Le système interprète donc vos périphériques en tant que fichiers. Les disques durs n'échappent pas à cette règle et se retrouvent donc dans le dossier /dev. Traditionnellement les périphériques IDE répondent à une appellation commençant par hd (pour Hard Disk) suivi d'une lettre correspondant à la position logique du disque (maître, esclave etc.) suivi d'un chiffre identifiant la partition.
12 Avant « etc. », il faut mettre une virgule. => Avec GNU/Linux, tout comme avec Unix, tout est fichier. Le système interprète donc vos périphériques en tant que fichiers. Les disques durs n'échappent pas à cette règle et se retrouvent donc dans le dossier /dev. Traditionnellement les périphériques IDE répondent à une appellation commençant par hd (pour Hard Disk) suivi d'une lettre correspondant à la position logique du disque (maître, esclave etc.) suivi d'un chiffre identifiant la partition.

14 Mot inconnu : hda1 => Par exemple, la première partition du premier disque dur (disque maître du bus IDE primaire) s'appelle donc hda1 et c'est généralement sur celle-ci qu'est installé votre système d'exploitation.

16 Mot inconnu : Serial => Malheureusement cette nomenclature devient plus complexe dès lors que l'on utilise des contrôleurs Serial ATA ou RAID et que l'on se retrouve avec beaucoup de disques dans le même ordinateur. Je vais, dans cet article, essayer de vous faciliter la vie mais si vous désirez vraiment savoir comment ça fonctionne je vous invite à consulter cette page : [[http://www.linux-wizard.net/faq.php?section=0&key=hd_naming]] ...
16 Mot inconnu : ATA => Malheureusement cette nomenclature devient plus complexe dès lors que l'on utilise des contrôleurs Serial ATA ou RAID et que l'on se retrouve avec beaucoup de disques dans le même ordinateur. Je vais, dans cet article, essayer de vous faciliter la vie mais si vous désirez vraiment savoir comment ça fonctionne je vous invite à consulter cette page : [[http://www.linux-wizard.net/faq.php?section=0&key=hd_naming]] ...
16 Il manque un espace insécable. => Malheureusement cette nomenclature devient plus complexe dès lors que l'on utilise des contrôleurs Serial ATA ou RAID et que l'on se retrouve avec beaucoup de disques dans le même ordinateur. Je vais, dans cet article, essayer de vous faciliter la vie mais si vous désirez vraiment savoir comment ça fonctionne je vous invite à consulter cette page : [[http://www.linux-wizard.net/faq.php?section=0&key=hd_naming]] ...
16 Typographie : points de suspension. Utilisez le caractère dédié. => Malheureusement cette nomenclature devient plus complexe dès lors que l'on utilise des contrôleurs Serial ATA ou RAID et que l'on se retrouve avec beaucoup de disques dans le même ordinateur. Je vais, dans cet article, essayer de vous faciliter la vie mais si vous désirez vraiment savoir comment ça fonctionne je vous invite à consulter cette page : [[http://www.linux-wizard.net/faq.php?section=0&key=hd_naming]] ...

19 Mot inconnu : sdx => <note help>Depuis quelques années la notation des disques a été simplifiée. Ils se nomment tous sdx (où x est une lettre) par exemple hda devient sda, hdb devient sdb. </note>
19 Mot inconnu : hda => <note help>Depuis quelques années la notation des disques a été simplifiée. Ils se nomment tous sdx (où x est une lettre) par exemple hda devient sda, hdb devient sdb. </note>
19 Mot inconnu : sda => <note help>Depuis quelques années la notation des disques a été simplifiée. Ils se nomment tous sdx (où x est une lettre) par exemple hda devient sda, hdb devient sdb. </note>
19 Mot inconnu : hdb => <note help>Depuis quelques années la notation des disques a été simplifiée. Ils se nomment tous sdx (où x est une lettre) par exemple hda devient sda, hdb devient sdb. </note>
19 Mot inconnu : sdb => <note help>Depuis quelques années la notation des disques a été simplifiée. Ils se nomment tous sdx (où x est une lettre) par exemple hda devient sda, hdb devient sdb. </note>

24 Espace(s) surnuméraire(s) à supprimer. => === En ligne  de commandes ===
93 Mot inconnu : hdd =>   -           hdd Graveur CD-RW
93 Mot inconnu : CD-RW =>   -           hdd Graveur CD-RW

99 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Lister ceux qui ont été reconnus au moment du boot. 
99 Mot inconnu : boot =>   * Lister ceux qui ont été reconnus au moment du boot. 
99 Espace(s) en fin de ligne à supprimer. =>   * Lister ceux qui ont été reconnus au moment du boot. 
100 Il manque un espace à côté du tiret. => <code>ls -l /dev/disk/by-id | grep -v part </code>
100 Il manque un espace à côté du tiret. => <code>ls -l /dev/disk/by-id | grep -v part </code>

104 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => lrwxrwxrwx 1 root root  9 févr. 17 16:25 wwn-0x50000394a2b021d3 -> ../../sda </code>
104 Mot inconnu : lrwxrwxrwx => lrwxrwxrwx 1 root root  9 févr. 17 16:25 wwn-0x50000394a2b021d3 -> ../../sda </code>
104 Mot inconnu : root => lrwxrwxrwx 1 root root  9 févr. 17 16:25 wwn-0x50000394a2b021d3 -> ../../sda </code>
104 Doublon. => lrwxrwxrwx 1 root root  9 févr. 17 16:25 wwn-0x50000394a2b021d3 -> ../../sda </code>
104 Mot inconnu : root => lrwxrwxrwx 1 root root  9 févr. 17 16:25 wwn-0x50000394a2b021d3 -> ../../sda </code>
104 Espace(s) surnuméraire(s) à supprimer. => lrwxrwxrwx 1 root root  9 févr. 17 16:25 wwn-0x50000394a2b021d3 -> ../../sda </code>
104 Mot inconnu : wwn-0x50000394a2b021d3 => lrwxrwxrwx 1 root root  9 févr. 17 16:25 wwn-0x50000394a2b021d3 -> ../../sda </code>
104 Typographie : un ou trois points ? => lrwxrwxrwx 1 root root  9 févr. 17 16:25 wwn-0x50000394a2b021d3 -> ../../sda </code>
104 Typographie : un ou trois points ? => lrwxrwxrwx 1 root root  9 févr. 17 16:25 wwn-0x50000394a2b021d3 -> ../../sda </code>
104 Mot inconnu : sda => lrwxrwxrwx 1 root root  9 févr. 17 16:25 wwn-0x50000394a2b021d3 -> ../../sda </code>

105 Accord avec “seront”. => Il y aura d'autres périphériques. Il seront listées deux fois  à cause de leur double définition. La première permet souvent de retrouver par internet leurs caractéristiques. Dans cet exemple "TOSHIBA_MQ01ABD100"
105 Conjugaison erronée. Accord avec “Il”. Le verbe devrait être à la 3ᵉ personne du singulier. => Il y aura d'autres périphériques. Il seront listées deux fois  à cause de leur double définition. La première permet souvent de retrouver par internet leurs caractéristiques. Dans cet exemple "TOSHIBA_MQ01ABD100"
105 Espace(s) surnuméraire(s) à supprimer. => Il y aura d'autres périphériques. Il seront listées deux fois  à cause de leur double définition. La première permet souvent de retrouver par internet leurs caractéristiques. Dans cet exemple "TOSHIBA_MQ01ABD100"
105 Guillemets typographiques ouvrants. => Il y aura d'autres périphériques. Il seront listées deux fois  à cause de leur double définition. La première permet souvent de retrouver par internet leurs caractéristiques. Dans cet exemple "TOSHIBA_MQ01ABD100"
105 Mot inconnu : TOSHIBA_MQ01ABD100 => Il y aura d'autres périphériques. Il seront listées deux fois  à cause de leur double définition. La première permet souvent de retrouver par internet leurs caractéristiques. Dans cet exemple "TOSHIBA_MQ01ABD100"
105 Guillemets typographiques fermants. => Il y aura d'autres périphériques. Il seront listées deux fois  à cause de leur double définition. La première permet souvent de retrouver par internet leurs caractéristiques. Dans cet exemple "TOSHIBA_MQ01ABD100"

114 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   

122 Guillemets typographiques ouvrants. => Une fois le nom du disque récupéré, il nous reste à repérer la partition qui nous intéresse. Nous allons utiliser la commande ''fdisk''. Ainsi, nous allons afficher les partitions du disque principal,
122 Mot inconnu : fdisk => Une fois le nom du disque récupéré, il nous reste à repérer la partition qui nous intéresse. Nous allons utiliser la commande ''fdisk''. Ainsi, nous allons afficher les partitions du disque principal,
122 Guillemets typographiques fermants. => Une fois le nom du disque récupéré, il nous reste à repérer la partition qui nous intéresse. Nous allons utiliser la commande ''fdisk''. Ainsi, nous allons afficher les partitions du disque principal,

124 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo fdisk -l 
124 Mot inconnu : sudo =>   sudo fdisk -l 
124 Mot inconnu : fdisk =>   sudo fdisk -l 
124 Il manque un espace à côté du tiret. =>   sudo fdisk -l 
124 Espace(s) en fin de ligne à supprimer. =>   sudo fdisk -l 

125 Il manque un espace insécable. => qui renvoie :

126 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Disque /dev/hda: 20.0 Go, 20020396032 octets
126 Il manque un espace insécable. =>   Disque /dev/hda: 20.0 Go, 20020396032 octets
126 Formatage des grands nombres. =>   Disque /dev/hda: 20.0 Go, 20020396032 octets

127 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   255 têtes, 63 secteurs/piste, 2434 cylindres
127 Si “secteurs/piste” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   255 têtes, 63 secteurs/piste, 2434 cylindres

128 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Unités = cylindres de 16065 * 512 = 8225280 octets
128 Signe de multiplication typographique. =>   Unités = cylindres de 16065 * 512 = 8225280 octets
128 Formatage des grands nombres. =>   Unités = cylindres de 16065 * 512 = 8225280 octets

129 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Périphérique Amorce    Début         Fin      Blocs    Id  Système
129 Espace(s) surnuméraire(s) à supprimer. =>   Périphérique Amorce    Début         Fin      Blocs    Id  Système
129 Espace(s) surnuméraire(s) à supprimer. =>   Périphérique Amorce    Début         Fin      Blocs    Id  Système
129 Espace(s) surnuméraire(s) à supprimer. =>   Périphérique Amorce    Début         Fin      Blocs    Id  Système
129 Espace(s) surnuméraire(s) à supprimer. =>   Périphérique Amorce    Début         Fin      Blocs    Id  Système
129 Espace(s) surnuméraire(s) à supprimer. =>   Périphérique Amorce    Début         Fin      Blocs    Id  Système

130 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /dev/hda1   *           1        2341    18804051   83  Linux
130 Espace(s) surnuméraire(s) à supprimer. =>   /dev/hda1   *           1        2341    18804051   83  Linux
130 Espace(s) surnuméraire(s) à supprimer. =>   /dev/hda1   *           1        2341    18804051   83  Linux
130 Espace(s) surnuméraire(s) à supprimer. =>   /dev/hda1   *           1        2341    18804051   83  Linux
130 Formatage des grands nombres. =>   /dev/hda1   *           1        2341    18804051   83  Linux
130 Espace(s) surnuméraire(s) à supprimer. =>   /dev/hda1   *           1        2341    18804051   83  Linux
130 Espace(s) surnuméraire(s) à supprimer. =>   /dev/hda1   *           1        2341    18804051   83  Linux

131 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /dev/hda2            2342        2434      747022+   5  Extended
131 Espace(s) surnuméraire(s) à supprimer. =>   /dev/hda2            2342        2434      747022+   5  Extended
131 Espace(s) surnuméraire(s) à supprimer. =>   /dev/hda2            2342        2434      747022+   5  Extended
131 Espace(s) surnuméraire(s) à supprimer. =>   /dev/hda2            2342        2434      747022+   5  Extended
131 Formatage des grands nombres. =>   /dev/hda2            2342        2434      747022+   5  Extended
131 Espace(s) surnuméraire(s) à supprimer. =>   /dev/hda2            2342        2434      747022+   5  Extended
131 Mot inconnu : Extended =>   /dev/hda2            2342        2434      747022+   5  Extended

132 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /dev/hda5            2342        2434      746991   82  Linux swap / Solaris
132 Espace(s) surnuméraire(s) à supprimer. =>   /dev/hda5            2342        2434      746991   82  Linux swap / Solaris
132 Espace(s) surnuméraire(s) à supprimer. =>   /dev/hda5            2342        2434      746991   82  Linux swap / Solaris
132 Espace(s) surnuméraire(s) à supprimer. =>   /dev/hda5            2342        2434      746991   82  Linux swap / Solaris
132 Formatage des grands nombres. =>   /dev/hda5            2342        2434      746991   82  Linux swap / Solaris
132 Espace(s) surnuméraire(s) à supprimer. =>   /dev/hda5            2342        2434      746991   82  Linux swap / Solaris
132 Espace(s) surnuméraire(s) à supprimer. =>   /dev/hda5            2342        2434      746991   82  Linux swap / Solaris
132 Mot inconnu : Solaris =>   /dev/hda5            2342        2434      746991   82  Linux swap / Solaris

133 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo fdisk -l /dev/sda
137 Mot inconnu : sudo =>   sudo fdisk -l /dev/sda
137 Mot inconnu : fdisk =>   sudo fdisk -l /dev/sda
137 Il manque un espace à côté du tiret. =>   sudo fdisk -l /dev/sda

185 Mot inconnu : bootables => Et voilà, nous obtenons le nom de chacune des partitions et un certain nombre d'informations intéressantes comme la position sur le disque, les partitions bootables ou non et le type de système de fichiers.

187 Il manque un espace insécable. => Note 1: On peut aussi aller, dans la barre du haut, sur Système/Administration/Disques pour avoir le nom des disques (le nombre d'information est tout de même moins détaillé)

188 Il manque un espace insécable. => Note 2: On peut aussi utiliser les deux applications graphiques citées au chapitre précédant. Dans l'état actuel de la présentation graphique, il faut éviter l'application **disques** lorsque le nombre de partitions est important (limite à 32).

193 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  <del>il faut obligatoirement le partitionner et le formater</del>, Lorsque la table de partition est créée, il est possible de créer au moins une partition en la formatant. Ce qui implique des manipulations supplémentaires. Pour trouver l'identifiant de votre disque, je vous invite à suivre la démarche du point [[#identifier_le_disque_dur|1.2]]
193 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>  <del>il faut obligatoirement le partitionner et le formater</del>, Lorsque la table de partition est créée, il est possible de créer au moins une partition en la formatant. Ce qui implique des manipulations supplémentaires. Pour trouver l'identifiant de votre disque, je vous invite à suivre la démarche du point [[#identifier_le_disque_dur|1.2]]

195 Mot inconnu : KDE => On peut utiliser l'outil de partitionnement de disque d'Ubuntu. (sous KDE menu | Applications | Systeme)
195 Mot inconnu : Systeme => On peut utiliser l'outil de partitionnement de disque d'Ubuntu. (sous KDE menu | Applications | Systeme)

196 Espace(s) surnuméraire(s) à supprimer. => On peut aussi utiliser les deux outils graphiques du premier  chapitre.

198 Il manque un espace insécable. => Attention : voir la documentation sur les **[[:partitions]]**.

199 Mot inconnu : EXT4 => (pour faire simple, créer une seule partition de type EXT4)

201 Mot inconnu : LTS => Depuis Ubuntu 14.04 LTS, le nom de lecteur se trouve dans /media/nom utilisateur.

203 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => Il ne reste plus qu'a définir les **[[:permissions]]** pour l'utilisateur en ouvrant un **[[:terminal]]**.

205 Il manque un espace insécable. => exemple : 
205 Espace(s) en fin de ligne à supprimer. => exemple : 

207 Mot inconnu : sudo => sudo chmod 770 -R NomDeLecteur
207 Mot inconnu : chmod => sudo chmod 770 -R NomDeLecteur
207 Il manque un espace à côté du tiret. => sudo chmod 770 -R NomDeLecteur
207 Mot inconnu : NomDeLecteur => sudo chmod 770 -R NomDeLecteur

211 Mot inconnu : sudo => sudo chgrp "nom utilisateur" -R NomDeLecteur
211 Mot inconnu : chgrp => sudo chgrp "nom utilisateur" -R NomDeLecteur
211 Guillemets typographiques ouvrants. => sudo chgrp "nom utilisateur" -R NomDeLecteur
211 Guillemets typographiques fermants. => sudo chgrp "nom utilisateur" -R NomDeLecteur
211 Mot inconnu : NomDeLecteur => sudo chgrp "nom utilisateur" -R NomDeLecteur

220 Mot inconnu : cfdisk => L'utilitaire cfdisk vous permet d'afficher les partitions d'un disque et de les modifier. Attention, si vous supprimez une partition, vous détruisez son contenu.

222 Guillemets typographiques ouvrants. => Il se lance avec la commande ''sudo cfdisk'' éventuellement suivie de l'adresse du disque concerné comme dans l'exemple suivant (''sudo cfdisk /dev/hda'').
222 Mot inconnu : sudo => Il se lance avec la commande ''sudo cfdisk'' éventuellement suivie de l'adresse du disque concerné comme dans l'exemple suivant (''sudo cfdisk /dev/hda'').
222 Mot inconnu : cfdisk => Il se lance avec la commande ''sudo cfdisk'' éventuellement suivie de l'adresse du disque concerné comme dans l'exemple suivant (''sudo cfdisk /dev/hda'').
222 Guillemets typographiques fermants. => Il se lance avec la commande ''sudo cfdisk'' éventuellement suivie de l'adresse du disque concerné comme dans l'exemple suivant (''sudo cfdisk /dev/hda'').
222 Mot inconnu : sudo => Il se lance avec la commande ''sudo cfdisk'' éventuellement suivie de l'adresse du disque concerné comme dans l'exemple suivant (''sudo cfdisk /dev/hda'').
222 Mot inconnu : cfdisk => Il se lance avec la commande ''sudo cfdisk'' éventuellement suivie de l'adresse du disque concerné comme dans l'exemple suivant (''sudo cfdisk /dev/hda'').

224 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cfdisk 2.12p
224 Mot inconnu : cfdisk =>   cfdisk 2.12p

225 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   

226 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                            Unité de disque: /dev/hda
226 Il manque un espace insécable. =>                            Unité de disque: /dev/hda

227 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                       Taille: 20020396032 octets,  20.0 Go
227 Il manque un espace insécable. =>                       Taille: 20020396032 octets,  20.0 Go
227 Formatage des grands nombres. =>                       Taille: 20020396032 octets,  20.0 Go
227 Espace(s) surnuméraire(s) à supprimer. =>                       Taille: 20020396032 octets,  20.0 Go

228 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>              Têtes: 255   Secteurs par piste: 63  Cylindres: 2434
228 Il manque un espace insécable. =>              Têtes: 255   Secteurs par piste: 63  Cylindres: 2434
228 Espace(s) surnuméraire(s) à supprimer. =>              Têtes: 255   Secteurs par piste: 63  Cylindres: 2434
228 Il manque un espace insécable. =>              Têtes: 255   Secteurs par piste: 63  Cylindres: 2434
228 Espace(s) surnuméraire(s) à supprimer. =>              Têtes: 255   Secteurs par piste: 63  Cylindres: 2434
228 Il manque un espace insécable. =>              Têtes: 255   Secteurs par piste: 63  Cylindres: 2434

229 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   

230 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Nom         Fanions    Part Type  Type SF          [Étiq.]        Taille (Mo)
230 Espace(s) surnuméraire(s) à supprimer. =>     Nom         Fanions    Part Type  Type SF          [Étiq.]        Taille (Mo)
230 Espace(s) surnuméraire(s) à supprimer. =>     Nom         Fanions    Part Type  Type SF          [Étiq.]        Taille (Mo)
230 Doublon. =>     Nom         Fanions    Part Type  Type SF          [Étiq.]        Taille (Mo)
230 Espace(s) surnuméraire(s) à supprimer. =>     Nom         Fanions    Part Type  Type SF          [Étiq.]        Taille (Mo)
230 Espace(s) surnuméraire(s) à supprimer. =>     Nom         Fanions    Part Type  Type SF          [Étiq.]        Taille (Mo)
230 Mot inconnu : Étiq =>     Nom         Fanions    Part Type  Type SF          [Étiq.]        Taille (Mo)

231 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    ------------------------------------------------------------------------------

232 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     hda1        Amorce      Primaire  Linux ext3       [/]             19255,39
232 Mot inconnu : hda1 =>     hda1        Amorce      Primaire  Linux ext3       [/]             19255,39
232 Espace(s) surnuméraire(s) à supprimer. =>     hda1        Amorce      Primaire  Linux ext3       [/]             19255,39
232 Espace(s) surnuméraire(s) à supprimer. =>     hda1        Amorce      Primaire  Linux ext3       [/]             19255,39
232 Espace(s) surnuméraire(s) à supprimer. =>     hda1        Amorce      Primaire  Linux ext3       [/]             19255,39
232 Mot inconnu : ext3 =>     hda1        Amorce      Primaire  Linux ext3       [/]             19255,39
232 Espace(s) surnuméraire(s) à supprimer. =>     hda1        Amorce      Primaire  Linux ext3       [/]             19255,39
232 Formatage des grands nombres. =>     hda1        Amorce      Primaire  Linux ext3       [/]             19255,39

233 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     hda5                    Logique   Linux swap / Solaris               764,96
233 Mot inconnu : hda5 =>     hda5                    Logique   Linux swap / Solaris               764,96
233 Espace(s) surnuméraire(s) à supprimer. =>     hda5                    Logique   Linux swap / Solaris               764,96
233 Espace(s) surnuméraire(s) à supprimer. =>     hda5                    Logique   Linux swap / Solaris               764,96
233 Mot inconnu : Solaris =>     hda5                    Logique   Linux swap / Solaris               764,96
233 Espace(s) surnuméraire(s) à supprimer. =>     hda5                    Logique   Linux swap / Solaris               764,96

234 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     

235 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      [Amorçable] [Détruire]  [  Aide  ]  [Maximiser] [Afficher]
235 Pas d’espace après ce signe. =>      [Amorçable] [Détruire]  [  Aide  ]  [Maximiser] [Afficher]
235 Espace(s) surnuméraire(s) à supprimer. =>      [Amorçable] [Détruire]  [  Aide  ]  [Maximiser] [Afficher]
235 Pas d’espace avant ce signe. =>      [Amorçable] [Détruire]  [  Aide  ]  [Maximiser] [Afficher]

236 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      [Quitter ]  [  Type  ]  [Unités ]   [Écrire ]
236 Pas d’espace avant ce signe. =>      [Quitter ]  [  Type  ]  [Unités ]   [Écrire ]
236 Pas d’espace après ce signe. =>      [Quitter ]  [  Type  ]  [Unités ]   [Écrire ]
236 Espace(s) surnuméraire(s) à supprimer. =>      [Quitter ]  [  Type  ]  [Unités ]   [Écrire ]
236 Pas d’espace avant ce signe. =>      [Quitter ]  [  Type  ]  [Unités ]   [Écrire ]
236 Pas d’espace avant ce signe. =>      [Quitter ]  [  Type  ]  [Unités ]   [Écrire ]
236 Pas d’espace avant ce signe. =>      [Quitter ]  [  Type  ]  [Unités ]   [Écrire ]

237 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   

238 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>              Basculer le fanion d'amorce pour la partition courante

242 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  [Amorçable] rend amorçable la partition sélectionnée, ceci est indispensable pour la partition contenant votre système d'exploitation.

243 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  [Nouveau] permet de créer une partition dans un espace vide

244 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  [Détruire] efface la partition sélectionnée

245 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  [Aide] affiche l'aide

246 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  [Quitter] quitte sans enregistrer les modifications

247 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  [Type] permet de choisir le type de partition (Fat, Ext, etc.) cette commande affiche une liste exhaustive.
247 Mot inconnu : Ext =>   *  [Type] permet de choisir le type de partition (Fat, Ext, etc.) cette commande affiche une liste exhaustive.

248 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  [Unité] permet de choisir si on affiche la taille des partitions en Cylindres, en Secteurs ou en Octets

249 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  [Écrire] enregistre les modifications de manière définitive (à faire avant de quitter)

255 Typographie : points de suspension. Utilisez le caractère dédié. => Une fois vos partitions clairement identifiées et préparées, il vous reste à les formater correctement. Avant de procéder au formatage en tant que tel, pensez à choisir le type de système de fichier du genre...

256 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  ext2 système de fichier historique de Linux
256 Mot inconnu : ext2 =>   *  ext2 système de fichier historique de Linux

257 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  ext3 évolution de l'ext2 avec journalisation
257 Mot inconnu : ext3 =>   *  ext3 évolution de l'ext2 avec journalisation
257 Mot inconnu : ext2 =>   *  ext3 évolution de l'ext2 avec journalisation

258 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  reiserfs concurrent de l'ext3
258 Mot inconnu : reiserfs =>   *  reiserfs concurrent de l'ext3
258 Mot inconnu : ext3 =>   *  reiserfs concurrent de l'ext3

259 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  vfat système de fichier de windows 9x
259 Mot inconnu : vfat =>   *  vfat système de fichier de windows 9x

261 Mot inconnu : mkfs => La commande mkfs vous permet de formater votre partition, elle s'utilise en passant en paramètre le type de fichier voulu et le nom de la partition, par exemple, pour formater hdb1 en ext3 : 
261 Mot inconnu : hdb1 => La commande mkfs vous permet de formater votre partition, elle s'utilise en passant en paramètre le type de fichier voulu et le nom de la partition, par exemple, pour formater hdb1 en ext3 : 
261 Mot inconnu : ext3 => La commande mkfs vous permet de formater votre partition, elle s'utilise en passant en paramètre le type de fichier voulu et le nom de la partition, par exemple, pour formater hdb1 en ext3 : 
261 Il manque un espace insécable. => La commande mkfs vous permet de formater votre partition, elle s'utilise en passant en paramètre le type de fichier voulu et le nom de la partition, par exemple, pour formater hdb1 en ext3 : 
261 Espace(s) en fin de ligne à supprimer. => La commande mkfs vous permet de formater votre partition, elle s'utilise en passant en paramètre le type de fichier voulu et le nom de la partition, par exemple, pour formater hdb1 en ext3 : 

265 Mot inconnu : NTFS => ==== Formatage NTFS ====

267 Mot inconnu : ntfs => ntfs : système de fichier de windows NT XP (disques durs de grande capacité).
267 Il manque un espace insécable. => ntfs : système de fichier de windows NT XP (disques durs de grande capacité).
267 Mot inconnu : NT => ntfs : système de fichier de windows NT XP (disques durs de grande capacité).
267 Mot inconnu : XP => ntfs : système de fichier de windows NT XP (disques durs de grande capacité).

268 Mot inconnu : NTFS => Dans le cas particulier où l'on souhaite formater un disque dur USB externe au format NTFS

269 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Il faut installer **ntfsprogs** avec le gestionnaire de paquets Synaptic
269 Mot inconnu : ntfsprogs =>   * Il faut installer **ntfsprogs** avec le gestionnaire de paquets Synaptic
269 Mot inconnu : Synaptic =>   * Il faut installer **ntfsprogs** avec le gestionnaire de paquets Synaptic

