
6 Mot inconnu : Partimage => ====== Sauvegarde d'une partition avec Partimage ====== | partimage
281 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   dhcpcd ethO |    => suggestions : ['']
281 Mot inconnu : dhcpcd =>   dhcpcd ethO | dhcpcd
281 Mot inconnu : ethO =>   dhcpcd ethO | etho

283 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ifconfig ethO 192.168.xx.xx netmask 255.255.255.0 broadcast 192.168.xx.xx |    => suggestions : ['']
283 Mot inconnu : ifconfig =>   ifconfig ethO 192.168.xx.xx netmask 255.255.255.0 broadcast 192.168.xx.xx | ifconfig
283 Mot inconnu : ethO =>   ifconfig ethO 192.168.xx.xx netmask 255.255.255.0 broadcast 192.168.xx.xx | etho
283 Grands nombres : utilisez des espaces insécables plutôt que des points. =>   ifconfig ethO 192.168.xx.xx netmask 255.255.255.0 broadcast 192.168.xx.xx | 192.168 => suggestions : ['192\xa0168']
283 Mot inconnu : netmask =>   ifconfig ethO 192.168.xx.xx netmask 255.255.255.0 broadcast 192.168.xx.xx | netmask
283 Mot inconnu : broadcast =>   ifconfig ethO 192.168.xx.xx netmask 255.255.255.0 broadcast 192.168.xx.xx | broadcast
283 Grands nombres : utilisez des espaces insécables plutôt que des points. =>   ifconfig ethO 192.168.xx.xx netmask 255.255.255.0 broadcast 192.168.xx.xx | 192.168 => suggestions : ['192\xa0168']
284 Espace(s) en fin de ligne à supprimer. => Vérification :  |   => suggestions : ['']

285 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ping "IP du pc partageant son répertoire" |    => suggestions : ['']
285 Mot inconnu : ping =>   ping "IP du pc partageant son répertoire" | ping
285 Guillemets typographiques ouvrants. =>   ping "IP du pc partageant son répertoire" | " => suggestions : ['«\xa0', '“']
285 Guillemets typographiques fermants. =>   ping "IP du pc partageant son répertoire" | " => suggestions : ['\xa0»', '”']

286 Mot inconnu : ctrl => ctrl + C pour stopper le ping. | ctrl
286 Mot inconnu : ping => ctrl + C pour stopper le ping. | ping

287 Conjugaison erronée. Accord avec “On”. Le verbe devrait être à la 3ᵉ personne du singulier. => On créé un dossier "partage" dans /root | créé => suggestions : ['créait', 'créa', 'crée']
287 Guillemets typographiques ouvrants. => On créé un dossier "partage" dans /root | " => suggestions : ['«\xa0', '“']
287 Guillemets typographiques fermants. => On créé un dossier "partage" dans /root | " => suggestions : ['\xa0»', '”']

288 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mkdir partage |    => suggestions : ['']
288 Mot inconnu : mkdir =>   mkdir partage | mkdir
289 Pas d’espace après ce signe. => On monte le partage windows ( Samba )  | (  => suggestions : ['(']
289 Pas d’espace avant ce signe. => On monte le partage windows ( Samba )  |  ) => suggestions : [')']
289 Espace(s) en fin de ligne à supprimer. => On monte le partage windows ( Samba )  |   => suggestions : ['']

290 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   smbmount //"le_nom_du_serveur"/"le_nom_du_dossier_partagé" /root/partage |    => suggestions : ['']
290 Mot inconnu : smbmount =>   smbmount //"le_nom_du_serveur"/"le_nom_du_dossier_partagé" /root/partage | smbmount
290 Guillemets typographiques ouvrants. =>   smbmount //"le_nom_du_serveur"/"le_nom_du_dossier_partagé" /root/partage | " => suggestions : ['«\xa0', '“']
290 Mot inconnu : le_nom_du_serveur =>   smbmount //"le_nom_du_serveur"/"le_nom_du_dossier_partagé" /root/partage | le_nom_du_serveur
290 Guillemets typographiques fermants. =>   smbmount //"le_nom_du_serveur"/"le_nom_du_dossier_partagé" /root/partage | " => suggestions : ['\xa0»', '”']
290 Guillemets typographiques ouvrants. =>   smbmount //"le_nom_du_serveur"/"le_nom_du_dossier_partagé" /root/partage | " => suggestions : ['«\xa0', '“']
290 Mot inconnu : le_nom_du_dossier_partagé =>   smbmount //"le_nom_du_serveur"/"le_nom_du_dossier_partagé" /root/partage | le_nom_du_dossier_partagé
290 Guillemets typographiques fermants. =>   smbmount //"le_nom_du_serveur"/"le_nom_du_dossier_partagé" /root/partage | " => suggestions : ['\xa0»', '”']

293 Mot inconnu : partimage => On lance l'application partimage | partimage

294 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   partimage  |    => suggestions : ['']
294 Mot inconnu : partimage =>   partimage  | partimage
294 Espace(s) en fin de ligne à supprimer. =>   partimage  |   => suggestions : ['']
295 Espace(s) en fin de ligne à supprimer. => On notera pour le nom du fichier image à sauvegarder :  |   => suggestions : ['']

296 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /root/partition/"fichier_image_qui_sera_créé" |    => suggestions : ['']
296 Guillemets typographiques ouvrants. =>   /root/partition/"fichier_image_qui_sera_créé" | " => suggestions : ['«\xa0', '“']
296 Mot inconnu : fichier_image_qui_sera_créé =>   /root/partition/"fichier_image_qui_sera_créé" | fichier_image_qui_sera_créé
296 Guillemets typographiques fermants. =>   /root/partition/"fichier_image_qui_sera_créé" | " => suggestions : ['\xa0»', '”']

298 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /root/partition/"fichier_image_qui_sera_créé.000" |    => suggestions : ['']
298 Guillemets typographiques ouvrants. =>   /root/partition/"fichier_image_qui_sera_créé.000" | " => suggestions : ['«\xa0', '“']
298 Mot inconnu : fichier_image_qui_sera_créé =>   /root/partition/"fichier_image_qui_sera_créé.000" | fichier_image_qui_sera_créé
298 Guillemets typographiques fermants. =>   /root/partition/"fichier_image_qui_sera_créé.000" | " => suggestions : ['\xa0»', '”']
312 Pas d’espace après ce signe. => ==== Cas d'un enregistrement de toutes les partitions sur un partage windows ( samba ) sur le réseau  avec Ping ==== | (  => suggestions : ['(']
312 Pas d’espace avant ce signe. => ==== Cas d'un enregistrement de toutes les partitions sur un partage windows ( samba ) sur le réseau  avec Ping ==== |  ) => suggestions : [')']
312 Espace(s) surnuméraire(s) à supprimer. => ==== Cas d'un enregistrement de toutes les partitions sur un partage windows ( samba ) sur le réseau  avec Ping ==== |    => suggestions : [' ']
312 Mot inconnu : Ping => ==== Cas d'un enregistrement de toutes les partitions sur un partage windows ( samba ) sur le réseau  avec Ping ==== | ping

314 Mot inconnu : ping => La sauvegarde concerne l'ensemble des partitions avec ping (une solution simple et très efficace)  | ping
314 Espace(s) en fin de ligne à supprimer. => La sauvegarde concerne l'ensemble des partitions avec ping (une solution simple et très efficace)  |   => suggestions : ['']

316 Mot inconnu : Ping => == Téléchargement de Ping 1.11 ( Partimage is Not Ghost )  ==  | ping
316 Pas d’espace après ce signe. => == Téléchargement de Ping 1.11 ( Partimage is Not Ghost )  ==  | (  => suggestions : ['(']
316 Mot inconnu : Partimage => == Téléchargement de Ping 1.11 ( Partimage is Not Ghost )  ==  | partimage
316 Mot inconnu : is => == Téléchargement de Ping 1.11 ( Partimage is Not Ghost )  ==  | is
316 Mot inconnu : Not => == Téléchargement de Ping 1.11 ( Partimage is Not Ghost )  ==  | not
316 Mot inconnu : Ghost => == Téléchargement de Ping 1.11 ( Partimage is Not Ghost )  ==  | ghost
316 Pas d’espace avant ce signe. => == Téléchargement de Ping 1.11 ( Partimage is Not Ghost )  ==  |  ) => suggestions : [')']
316 Espace(s) en fin de ligne à supprimer. => == Téléchargement de Ping 1.11 ( Partimage is Not Ghost )  ==  |   => suggestions : ['']

317 Espace(s) en fin de ligne à supprimer. => sur http://www.windowsdream.com/ping/download.html  |   => suggestions : ['']

318 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * télécharger PING-1.11.iso et graver l'ISO  |    => suggestions : ['']
318 Mot inconnu : PING-1 =>   * télécharger PING-1.11.iso et graver l'ISO  | ping-1
318 Mot inconnu : iso =>   * télécharger PING-1.11.iso et graver l'ISO  | iso
318 Espace(s) en fin de ligne à supprimer. =>   * télécharger PING-1.11.iso et graver l'ISO  |   => suggestions : ['']

319 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * télécharger  PartImage.zip  |    => suggestions : ['']
319 Espace(s) surnuméraire(s) à supprimer. =>   * télécharger  PartImage.zip  |    => suggestions : [' ']
319 Mot inconnu : PartImage =>   * télécharger  PartImage.zip  | partimage
319 Il manque un espace. =>   * télécharger  PartImage.zip  | zip => suggestions : [' zip']
319 Espace(s) en fin de ligne à supprimer. =>   * télécharger  PartImage.zip  |   => suggestions : ['']

321 Espace(s) surnuméraire(s) à supprimer. => == Pré-requis  == |    => suggestions : [' ']

323 Apostrophe incorrecte. => Décompresser l"archive PartImage.zip et coller le dossier (sans le renommer) dans le répertoire partagé windows (ou Samba).  | l" => suggestions : ['l’']
323 Mot inconnu : PartImage => Décompresser l"archive PartImage.zip et coller le dossier (sans le renommer) dans le répertoire partagé windows (ou Samba).  | partimage
323 Il manque un espace. => Décompresser l"archive PartImage.zip et coller le dossier (sans le renommer) dans le répertoire partagé windows (ou Samba).  | zip => suggestions : [' zip']
323 Espace(s) en fin de ligne à supprimer. => Décompresser l"archive PartImage.zip et coller le dossier (sans le renommer) dans le répertoire partagé windows (ou Samba).  |   => suggestions : ['']

325 Espace(s) surnuméraire(s) à supprimer. => == Utilisation  == |    => suggestions : [' ']

327 Accord de genre erroné : « cd » est féminin. => Redémarrer à partir du cd. (boot sur le CD)  | du => suggestions : ['de la']
327 Mot inconnu : boot => Redémarrer à partir du cd. (boot sur le CD)  | boot
327 Espace(s) en fin de ligne à supprimer. => Redémarrer à partir du cd. (boot sur le CD)  |   => suggestions : ['']

329 Espace(s) en fin de ligne à supprimer. => Avant de taper <Entrée>, retirer le CD.  |   => suggestions : ['']

330 Espace(s) en fin de ligne à supprimer. => Taper de nouveau <Entrée>   |    => suggestions : ['']

331 Accord de genre erroné avec « écran ». => Première écran : entrer l'adresse IP de la machine offrant le partage | première => suggestions : ['Premier']
331 Accord de genre erroné avec « Première ». => Première écran : entrer l'adresse IP de la machine offrant le partage | écran => suggestions : []

332 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   192.168.XX.XX        (exemple) |    => suggestions : ['']
332 Grands nombres : utilisez des espaces insécables plutôt que des points. =>   192.168.XX.XX        (exemple) | 192.168 => suggestions : ['192\xa0168']
332 Espace(s) surnuméraire(s) à supprimer. =>   192.168.XX.XX        (exemple) |          => suggestions : [' ']

333 Espace(s) en fin de ligne à supprimer. => Entrer le nom du répertoire partagé  |   => suggestions : ['']

334 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   IMAGES       (exemple) |    => suggestions : ['']
334 Espace(s) surnuméraire(s) à supprimer. =>   IMAGES       (exemple) |         => suggestions : [' ']

335 Espace(s) en fin de ligne à supprimer. => Entrer le nom d'un utilisateur ayant accès au partage  |   => suggestions : ['']

336 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   utilistateur2001   (exemple) |    => suggestions : ['']
336 Mot inconnu : utilistateur2001 =>   utilistateur2001   (exemple) | utilistateur2001
336 Espace(s) surnuméraire(s) à supprimer. =>   utilistateur2001   (exemple) |     => suggestions : [' ']

338 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Hd6pt:UZ     (exemple) (dans ping mot de passe s'affiche en clair)  |    => suggestions : ['']
338 Mot inconnu : Hd6pt =>   Hd6pt:UZ     (exemple) (dans ping mot de passe s'affiche en clair)  | hd6pt
338 Il manque un espace. =>   Hd6pt:UZ     (exemple) (dans ping mot de passe s'affiche en clair)  | uz => suggestions : [' UZ']
338 Mot inconnu : UZ =>   Hd6pt:UZ     (exemple) (dans ping mot de passe s'affiche en clair)  | uz
338 Espace(s) surnuméraire(s) à supprimer. =>   Hd6pt:UZ     (exemple) (dans ping mot de passe s'affiche en clair)  |       => suggestions : [' ']
338 Mot inconnu : ping =>   Hd6pt:UZ     (exemple) (dans ping mot de passe s'affiche en clair)  | ping
338 Espace(s) en fin de ligne à supprimer. =>   Hd6pt:UZ     (exemple) (dans ping mot de passe s'affiche en clair)  |   => suggestions : ['']

340 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   partimage |    => suggestions : ['']
340 Mot inconnu : partimage =>   partimage | partimage

341 Forme interrogative ? Mettez un trait d’union. => Que voulez vous faire ? Créer une image, Restaurer une image... etc.  | voulez vous => suggestions : ['voulez-vous']
341 Typographie : points de suspension. Utilisez le caractère dédié. => Que voulez vous faire ? Créer une image, Restaurer une image... etc.  | ... => suggestions : ['…']
341 Espace(s) en fin de ligne à supprimer. => Que voulez vous faire ? Créer une image, Restaurer une image... etc.  |   => suggestions : ['']

343 Typographie : points de suspension. Utilisez le caractère dédié. => En fonction de ce que vous avez choisi...  | ... => suggestions : ['…']
343 Espace(s) en fin de ligne à supprimer. => En fonction de ce que vous avez choisi...  |   => suggestions : ['']

344 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Create new image, puis entrer un nom pour la sauvegarde |    => suggestions : ['']
344 Mot inconnu : Create =>   * Create new image, puis entrer un nom pour la sauvegarde | create

345 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sauvegarde_du_pc_de_oncle_luc    |    => suggestions : ['']
345 Mot inconnu : sauvegarde_du_pc_de_oncle_luc =>   sauvegarde_du_pc_de_oncle_luc    | sauvegarde_du_pc_de_oncle_luc
345 Espace(s) en fin de ligne à supprimer. =>   sauvegarde_du_pc_de_oncle_luc    |     => suggestions : ['']

346 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour restaurer, sélectionner directement le fichier à restaurer.  |    => suggestions : ['']
346 Espace(s) en fin de ligne à supprimer. =>   * Pour restaurer, sélectionner directement le fichier à restaurer.  |   => suggestions : ['']

349 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

355 Espace(s) surnuméraire(s) à supprimer. => ===== Liens  ===== |    => suggestions : [' ']

356 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * http://www.partimage.org/Partimage-manual (en) |    => suggestions : ['']

358 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * http://www.sysresccd.org/Sysresccd-manual-fr_R%C3%A9seau (fr) |    => suggestions : ['']

359 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * http://www.sysresccd.org/Main_Page (en) |    => suggestions : ['']

360 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * http://gparted.sourceforge.net/larry/livecd/main/livecd.htm (en) |    => suggestions : ['']

362 Mot inconnu : PING => Documentation PING 1.10 et 1.11 ( Partimage Is Not Ghost ) | ping
362 Pas d’espace après ce signe. => Documentation PING 1.10 et 1.11 ( Partimage Is Not Ghost ) | (  => suggestions : ['(']
362 Mot inconnu : Partimage => Documentation PING 1.10 et 1.11 ( Partimage Is Not Ghost ) | partimage
362 Mot inconnu : Is => Documentation PING 1.10 et 1.11 ( Partimage Is Not Ghost ) | is
362 Mot inconnu : Not => Documentation PING 1.10 et 1.11 ( Partimage Is Not Ghost ) | not
362 Mot inconnu : Ghost => Documentation PING 1.10 et 1.11 ( Partimage Is Not Ghost ) | ghost
362 Pas d’espace avant ce signe. => Documentation PING 1.10 et 1.11 ( Partimage Is Not Ghost ) |  ) => suggestions : [')']

363 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * http://www.windowsdream.com/ping/download.html (en)  |    => suggestions : ['']
363 Espace(s) en fin de ligne à supprimer. =>   * http://www.windowsdream.com/ping/download.html (en)  |   => suggestions : ['']

364 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
