1 Mot inconnu : Wanoo [[7:12]] => ====== Wanoo (re06011988) ====== <|> wanoo
16 Ce verbe devrait être un participe passé au masculin singulier. [[471:478]] => Au début gallère, heureusement il y avait la documentation mais au debut je tapais des ligne dans le terminal sans comprendre a quoi sa servait. Mais grace a cette documentation ben je men suis sortie et maintenant je men sort assez bien et dès que je découvre un truc qui a pas été dit et ben je crée une page ou je rajoute des petit truc a gauche ou a droite bref je rend ce que l'on ma donné a un moment critique de ma conversion en ubunteros (normal quoi). J'ai même réussit a faire passer mon amie sous Ubuntu!! <|> réussit => suggestions : ['réussi']
16 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. [[479:480]] => Au début gallère, heureusement il y avait la documentation mais au debut je tapais des ligne dans le terminal sans comprendre a quoi sa servait. Mais grace a cette documentation ben je men suis sortie et maintenant je men sort assez bien et dès que je découvre un truc qui a pas été dit et ben je crée une page ou je rajoute des petit truc a gauche ou a droite bref je rend ce que l'on ma donné a un moment critique de ma conversion en ubunteros (normal quoi). J'ai même réussit a faire passer mon amie sous Ubuntu!! <|> a => suggestions : ['à']
20 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Pour la préposition, écrivez “à”. [[59:60]] =>   * Film (un peu de tous sauf horreur et film sentimentale a la con) <|> a => suggestions : ['à']
20 Accord de genre erroné : « con » est masculin. [[61:63]] =>   * Film (un peu de tous sauf horreur et film sentimentale a la con) <|> la => suggestions : ['le']
20 Accord de genre erroné : « la » est un déterminant féminin. [[64:67]] =>   * Film (un peu de tous sauf horreur et film sentimentale a la con) <|> con => suggestions : ['conne']
23 Mot inconnu : OpenTTD [[4:11]] =>   * OpenTTD <|> openttd
24 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[28:30]] =>   * Les femmes (pas celle en .jpeg) <|>  . => suggestions : ['. ', '.']
24 Mot inconnu : jpeg [[30:34]] =>   * Les femmes (pas celle en .jpeg) <|> jpeg

28 Incohérence. Soudez les deux mots. [[11:21]] => ===== Page au qu'elle je contribue ===== <|> au qu'elle => suggestions : ['auquel', 'auxquels', 'auxquelles']
31 Mot inconnu : N100 [[22:26]] =>   * Webcam Lenovo 3000N100 <|> n100

34 Confusion probable. Écrivez “là” si vous voulez dire “ici”. [[31:33]] => Et puis un petit par si et par la pour des correction mineur <|> la => suggestions : ['là']
34 Accord de nombre erroné : « correction » devrait être au pluriel. [[43:53]] => Et puis un petit par si et par la pour des correction mineur <|> correction => suggestions : ['corrections']
34 Accord de genre erroné avec « correction ». [[54:60]] => Et puis un petit par si et par la pour des correction mineur <|> mineur => suggestions : ['mineures']

40 Mot inconnu : erwan [[8:13]] => |Mail|r.erwan à orange dot fr| <|> erwan
