1 Mot inconnu : Babyubuntu [[7:17]] => ====== Babyubuntu ====== <|> babyubuntu
22 Espace(s) en fin de ligne à supprimer. [[881:882]] => 'Souvent on confond vitesse du processeur avec ce que j'appellerai **rapidité ergonomique d'utilisation** ( 10 secondes un mot de passe 1 clic et nous voila sur google), rien à voir avec un core i7 cadencé à 32Ghz 8000Go de Ram et un système qui rame, qui rame, mais qui ne plante pas c'est déjà ça !! 1h pour trouver le bureau lors du premier lancement certain appel cela de l'ergonomie de type Androïd ice cream sandwish hum ... vous savez de quoi je parle, sans vouloir en rajouter on se trouverait même dans la même situation que lors de la sorti de Vis t'a ?...   L'utilisateur est pris dans un boyau de chat impossible d'en sortir, ni même de s'en sortir sans payer le moindre petit soft ( attention je parle bien là d'une utilisation video/text/image/internet/). Certe, la philosophie du libre change mais les enjeux économique de ces mêmes systèmes évolue plus rapidement !  <|>   => suggestions : ['']
24 Typographie : points de suspension. Utilisez le caractère dédié. [[111:114]] => Je trouve en passant une réponse toute faite : les modèles économiques de chacun ne font pas le bonheur de tous...  <|> ... => suggestions : ['…']
24 Espace(s) en fin de ligne à supprimer. [[114:115]] => Je trouve en passant une réponse toute faite : les modèles économiques de chacun ne font pas le bonheur de tous...  <|>   => suggestions : ['']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  ==== souhait d'avenir ===== <|>   => suggestions : ['']

28 Mot inconnu : pinguin [[44:51]] => Comme beaucoup, je suis à la recherche d'un pinguin qui me permet avant tout de surfer de façon annonyme, stable, rapide qui ne me bouf pas de la ressource alors que je ne suis que sur le bureau, avec la même philosophie que 8.04. ou 10.10.  <|> pinguin
28 Mot inconnu : annonyme [[96:104]] => Comme beaucoup, je suis à la recherche d'un pinguin qui me permet avant tout de surfer de façon annonyme, stable, rapide qui ne me bouf pas de la ressource alors que je ne suis que sur le bureau, avec la même philosophie que 8.04. ou 10.10.  <|> annonyme
28 Mot inconnu : bouf [[131:135]] => Comme beaucoup, je suis à la recherche d'un pinguin qui me permet avant tout de surfer de façon annonyme, stable, rapide qui ne me bouf pas de la ressource alors que je ne suis que sur le bureau, avec la même philosophie que 8.04. ou 10.10.  <|> bouf
28 Espace(s) en fin de ligne à supprimer. [[240:241]] => Comme beaucoup, je suis à la recherche d'un pinguin qui me permet avant tout de surfer de façon annonyme, stable, rapide qui ne me bouf pas de la ressource alors que je ne suis que sur le bureau, avec la même philosophie que 8.04. ou 10.10.  <|>   => suggestions : ['']
30 Conjugaison erronée. Accord avec “Je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. [[186:189]] => Je n'ai rien trouvé pour le moment. Qu'à cela ne tienne, Ubuntu, demeure un vrai système, peut être pas le plus sûr, mais le plus rapide à l'usage et sur internet pour l'instant ! Je me dit souvent que si tous les français travaillaient sous Ubuntu la dette serait payée et le temps perdu à attendre nous ferait gagner la productivité qu'il nous manque, à méditer. <|> dit => suggestions : ['dis', 'disais']
30 S’il s’agit d’un gentilé, mettez une majuscule. [[214:222]] => Je n'ai rien trouvé pour le moment. Qu'à cela ne tienne, Ubuntu, demeure un vrai système, peut être pas le plus sûr, mais le plus rapide à l'usage et sur internet pour l'instant ! Je me dit souvent que si tous les français travaillaient sous Ubuntu la dette serait payée et le temps perdu à attendre nous ferait gagner la productivité qu'il nous manque, à méditer. <|> français => suggestions : ['Français']

38 Mot inconnu : humm [[0:4]] => humm... <|> humm
38 Typographie : points de suspension. Utilisez le caractère dédié. [[4:7]] => humm... <|> ... => suggestions : ['…']

45 Accentuez les majuscules. [[15:19]] => |Dates| Thème |Etat d'avancement| <|> etat => suggestions : ['État']
45 Mot inconnu : Etat [[15:19]] => |Dates| Thème |Etat d'avancement| <|> etat

46 Accord de nombre erroné : « projets » devrait être au singulier. [[10:17]] => |2013| Un projets de ubuntu party sur le thème du libre pour tous en vu sur ma localité |en cours| <|> projets => suggestions : ['projet']
46 Élision de l’article devant un mot commençant par une voyelle. [[18:21]] => |2013| Un projets de ubuntu party sur le thème du libre pour tous en vu sur ma localité |en cours| <|> de  => suggestions : ['d’']

60 Mot inconnu : facebook [[11:19]] => ==Une page facebook que je maintien en polyglotte aussi==  <|> facebook
60 Incohérence avec “je” : “maintien” devrait être un verbe, un pronom objet, un adverbe de négation, etc. [[27:35]] => ==Une page facebook que je maintien en polyglotte aussi==  <|> maintien => suggestions : ['maintiens']
60 Espace(s) en fin de ligne à supprimer. [[57:58]] => ==Une page facebook que je maintien en polyglotte aussi==  <|>   => suggestions : ['']

65 Espace(s) en fin de ligne à supprimer. [[27:28]] => ====== Configuration ======  <|>   => suggestions : ['']
66 Espace(s) surnuméraire(s) à supprimer. [[11:28]] =>   * Boîtier                 : Antec Minuet <|>                   => suggestions : [' ']
66 Mot inconnu : Antec [[30:35]] =>   * Boîtier                 : Antec Minuet <|> antec
66 Mot inconnu : Minuet [[36:42]] =>   * Boîtier                 : Antec Minuet <|> minuet
67 Espace(s) surnuméraire(s) à supprimer. [[14:24]] =>   * Carte mère          : P5GC-MX (chipset graphique intégré désactivé) <|>            => suggestions : [' ']
67 Mot inconnu : P5GC-MX [[26:33]] =>   * Carte mère          : P5GC-MX (chipset graphique intégré désactivé) <|> p5gc-mx
68 Espace(s) surnuméraire(s) à supprimer. [[14:25]] =>   * Processeur           : Intel core 2 duo E4400 <|>             => suggestions : [' ']
68 Mot inconnu : core [[33:37]] =>   * Processeur           : Intel core 2 duo E4400 <|> core
68 Accord de nombre erroné avec « 2 » : « duo » devrait être au pluriel. [[40:43]] =>   * Processeur           : Intel core 2 duo E4400 <|> duo => suggestions : ['duos']
68 Mot inconnu : E4400 [[44:49]] =>   * Processeur           : Intel core 2 duo E4400 <|> e4400
69 Mot inconnu : Memoire [[4:11]] =>   * Memoire              : 2 Gb RAM PC-4300 kingston <|> memoire
69 Espace(s) surnuméraire(s) à supprimer. [[11:25]] =>   * Memoire              : 2 Gb RAM PC-4300 kingston <|>                => suggestions : [' ']
69 Mot inconnu : Gb [[29:31]] =>   * Memoire              : 2 Gb RAM PC-4300 kingston <|> gb
69 Mot inconnu : kingston [[44:52]] =>   * Memoire              : 2 Gb RAM PC-4300 kingston <|> kingston
70 Espace(s) surnuméraire(s) à supprimer. [[19:22]] =>   * Carte Graphique   : ATI AMD HD 4350 512Mo HDMI PCI-E Fanless pilote libre <|>     => suggestions : [' ']
70 Écriture épicène. Utilisez un point médian. [[51:56]] =>   * Carte Graphique   : ATI AMD HD 4350 512Mo HDMI PCI-E Fanless pilote libre <|> pci-e => suggestions : ['PCI·E']
70 Mot inconnu : PCI-E [[51:56]] =>   * Carte Graphique   : ATI AMD HD 4350 512Mo HDMI PCI-E Fanless pilote libre <|> pci-e
70 Mot inconnu : Fanless [[57:64]] =>   * Carte Graphique   : ATI AMD HD 4350 512Mo HDMI PCI-E Fanless pilote libre <|> fanless
72 Espace(s) surnuméraire(s) à supprimer. [[14:25]] =>   * Disque dur           : 250 Go IDE Seagate  <|>             => suggestions : [' ']
72 Espace(s) en fin de ligne à supprimer. [[45:46]] =>   * Disque dur           : 250 Go IDE Seagate  <|>   => suggestions : ['']
73 Mot inconnu : Systeme [[4:11]] =>   * Systeme              : Ubuntu 12.10 32 bits  et 10.10 32 bit <|> systeme
73 Espace(s) surnuméraire(s) à supprimer. [[11:25]] =>   * Systeme              : Ubuntu 12.10 32 bits  et 10.10 32 bit <|>                => suggestions : [' ']
73 Espace(s) surnuméraire(s) à supprimer. [[47:49]] =>   * Systeme              : Ubuntu 12.10 32 bits  et 10.10 32 bit <|>    => suggestions : [' ']
73 Si “bit” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[58:64]] =>   * Systeme              : Ubuntu 12.10 32 bits  et 10.10 32 bit <|> 32 bit => suggestions : ['32\xa0bit']
75 Mot inconnu : Peripherique [[4:16]] =>   * Peripherique        : Clé USB Tuner TNT : Hauppauge WinTV Ministick HD <|> peripherique
75 Espace(s) surnuméraire(s) à supprimer. [[16:24]] =>   * Peripherique        : Clé USB Tuner TNT : Hauppauge WinTV Ministick HD <|>          => suggestions : [' ']
75 Mot inconnu : Hauppauge [[46:55]] =>   * Peripherique        : Clé USB Tuner TNT : Hauppauge WinTV Ministick HD <|> hauppauge
75 Mot inconnu : WinTV [[56:61]] =>   * Peripherique        : Clé USB Tuner TNT : Hauppauge WinTV Ministick HD <|> wintv
75 Mot inconnu : Ministick [[62:71]] =>   * Peripherique        : Clé USB Tuner TNT : Hauppauge WinTV Ministick HD <|> ministick

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  ( une rumeur tant à dire que les systèmes 32 bits sont plus véloces que les systèmes 64 bits à voir) <|>   => suggestions : ['']
76 Pas d’espace après ce signe. [[1:3]] =>  ( une rumeur tant à dire que les systèmes 32 bits sont plus véloces que les systèmes 64 bits à voir) <|> (  => suggestions : ['(']
