1 Mot inconnu : zHt => ====== zHt ====== | zht
92 Espace(s) surnuméraire(s) à supprimer. =>     /dev/sdb6  : Partition Système Kubuntu "/" |    => suggestions : [' ']

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     /dev/sdb7  : Partition Système NuTyx"/" |      => suggestions : ['']
93 Espace(s) surnuméraire(s) à supprimer. =>     /dev/sdb7  : Partition Système NuTyx"/" |    => suggestions : [' ']
93 Mot inconnu : NuTyx =>     /dev/sdb7  : Partition Système NuTyx"/" | nutyx
93 Guillemets typographiques fermants. =>     /dev/sdb7  : Partition Système NuTyx"/" | " => suggestions : ['\xa0»', '”']

94 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     /dev/sdb8  : Partion /boot Fedora (GRUB) |      => suggestions : ['']
94 Espace(s) surnuméraire(s) à supprimer. =>     /dev/sdb8  : Partion /boot Fedora (GRUB) |    => suggestions : [' ']
94 Mot inconnu : Partion =>     /dev/sdb8  : Partion /boot Fedora (GRUB) | partion
94 Mot inconnu : GRUB =>     /dev/sdb8  : Partion /boot Fedora (GRUB) | grub

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     /dev/sdb9  : Partition /Home |      => suggestions : ['']
95 Espace(s) surnuméraire(s) à supprimer. =>     /dev/sdb9  : Partition /Home |    => suggestions : [' ']

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     /dev/sdb10 : Swap |      => suggestions : ['']

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     /dev/sdb11 : Partition Système Debian "/" |      => suggestions : ['']

98 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     /dev/sdb12 : Partition Système Mandriva "/" |      => suggestions : ['']
98 Mot inconnu : Mandriva =>     /dev/sdb12 : Partition Système Mandriva "/" | mandriva

99 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     /dev/sdb13 : Partition TESTING Système Zenwalk "/" |      => suggestions : ['']
99 Mot inconnu : TESTING =>     /dev/sdb13 : Partition TESTING Système Zenwalk "/" | testing
99 Mot inconnu : Zenwalk =>     /dev/sdb13 : Partition TESTING Système Zenwalk "/" | zenwalk

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     /dev/sdb14 : Partition TESTING Système Sabayon "/" |      => suggestions : ['']
100 Mot inconnu : TESTING =>     /dev/sdb14 : Partition TESTING Système Sabayon "/" | testing

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     /dev/sdbx  : Espace Libre pour TEST d'autres Distributions |      => suggestions : ['']
101 Espace(s) surnuméraire(s) à supprimer. =>     /dev/sdbx  : Espace Libre pour TEST d'autres Distributions |    => suggestions : [' ']

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /dev/sdb2 : Partition Multimédia |    => suggestions : ['']
