1 Mot inconnu : Fabien26 [[7:15]] => ====== Fabien26 ====== <|> fabien26
129 Guillemets typographiques fermants. [[123:124]] => Certains chantiers d'Unity qui me semblent alléchants comme la possibilité de pouvoir choisir de désactiver le "menu global" tout en gardant l'espace gagné par Unity en ajoutant un bouton menu dans la barre de titre qui afficherais le menu dans la barre titre de chaque fenêtre après un survol. Si cette fonction vois le jour, c'est un rève qui se réaliserait ! <|> " => suggestions : ['\xa0»', '”']
129 Incohérence. Le sujet de cette forme verbale est introuvable. [[220:231]] => Certains chantiers d'Unity qui me semblent alléchants comme la possibilité de pouvoir choisir de désactiver le "menu global" tout en gardant l'espace gagné par Unity en ajoutant un bouton menu dans la barre de titre qui afficherais le menu dans la barre titre de chaque fenêtre après un survol. Si cette fonction vois le jour, c'est un rève qui se réaliserait ! <|> afficherais => suggestions : ['afficherait']
129 Conjugaison erronée. Accord avec “cette fonction…”. Le verbe devrait être à la 3ᵉ personne du singulier. [[313:317]] => Certains chantiers d'Unity qui me semblent alléchants comme la possibilité de pouvoir choisir de désactiver le "menu global" tout en gardant l'espace gagné par Unity en ajoutant un bouton menu dans la barre de titre qui afficherais le menu dans la barre titre de chaque fenêtre après un survol. Si cette fonction vois le jour, c'est un rève qui se réaliserait ! <|> vois => suggestions : ['voit']
129 Mot inconnu : rève [[336:340]] => Certains chantiers d'Unity qui me semblent alléchants comme la possibilité de pouvoir choisir de désactiver le "menu global" tout en gardant l'espace gagné par Unity en ajoutant un bouton menu dans la barre de titre qui afficherais le menu dans la barre titre de chaque fenêtre après un survol. Si cette fonction vois le jour, c'est un rève qui se réaliserait ! <|> rève

132 Confusion probable. Pour dire “possiblement”, écrivez “peut-être”. [[12:21]] => Je m'avance peut être un peu, mais il est aussi possible qu'un unity 3d "émulé" sera plus performant que la version 2d native. Qui est sacrément lente pour certaines opérations ! <|> peut être => suggestions : ['peut-être']
132 Guillemets typographiques ouvrants. [[72:73]] => Je m'avance peut être un peu, mais il est aussi possible qu'un unity 3d "émulé" sera plus performant que la version 2d native. Qui est sacrément lente pour certaines opérations ! <|> " => suggestions : ['«\xa0', '“']
132 Guillemets typographiques fermants. [[78:79]] => Je m'avance peut être un peu, mais il est aussi possible qu'un unity 3d "émulé" sera plus performant que la version 2d native. Qui est sacrément lente pour certaines opérations ! <|> " => suggestions : ['\xa0»', '”']
132 Nombre ordinal. Second : 2ᵈ. Seconde : 2ᵈᵉ. Seconds : 2ᵈˢ. Secondes : 2ᵈᵉˢ. [[116:118]] => Je m'avance peut être un peu, mais il est aussi possible qu'un unity 3d "émulé" sera plus performant que la version 2d native. Qui est sacrément lente pour certaines opérations ! <|> 2d => suggestions : ['2ᵈ']

139 Doublon. [[14:23]] => n'importe qui peut peut me contacter, <|> peut peut => suggestions : ['peut']
141 Mot inconnu : fabien26ubuntu [[7:21]] => email: fabien26ubuntu [À] gmail [POINT] com <|> fabien26ubuntu

147 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[25:27]] => ===== Création de paquets .deb ===== <|>  . => suggestions : ['. ', '.']
149 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[104:106]] => Si vous trouvez une page du wiki expliquant comment installer un logiciel sous linux et que aucun paquet .deb n'est disponible, ou même un programme dont vous avez entendu parler, je peux créer un paquet .deb pour vous et le mettre sur le wiki ! Alors n'hésitez pas à me contacter ! <|>  . => suggestions : ['. ', '.']
149 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[203:205]] => Si vous trouvez une page du wiki expliquant comment installer un logiciel sous linux et que aucun paquet .deb n'est disponible, ou même un programme dont vous avez entendu parler, je peux créer un paquet .deb pour vous et le mettre sur le wiki ! Alors n'hésitez pas à me contacter ! <|>  . => suggestions : ['. ', '.']

166 Mot inconnu : Dreamweaver [[2:13]] => **Dreamweaver** <|> dreamweaver

168 Mot inconnu : Macromedia_Flash [[2:18]] => **Macromedia_Flash** <|> macromedia_flash

170 Mot inconnu : Wine-Doors [[0:10]] => Wine-Doors <|> wine-doors

174 Mot inconnu : obexftp [[2:9]] => **obexftp** <|> obexftp

178 Mot inconnu : obexfs [[2:8]] => **obexfs** <|> obexfs

198 Mot inconnu : ultrastar-ng [[0:12]] => ultrastar-ng <|> ultrastar-ng

228 Mot inconnu : gmount-iso [[0:10]] => gmount-iso <|> gmount-iso

230 Mot inconnu : kazehakase [[0:10]] => kazehakase <|> kazehakase

240 Typographie : points de suspension. Utilisez le caractère dédié. [[44:47]] => Il doit y en avoir un nombre impressionnant ... <|> ... => suggestions : ['…']

241 Typographie : points de suspension. Utilisez le caractère dédié. [[31:34]] => je ne les énumèrerais donc pas ... <|> ... => suggestions : ['…']

243 Confusion probable. Si vous voulez dire, “ceci”, “cela” ou “ça”, écrivez “c’”. [[11:13]] => En résumé, se sont toutes les pages avec inscrit en bas un truc de ce genre: <|> se => suggestions : ['ce']

248 Incohérence avec “Il” : “an” devrait être un verbe, un pronom objet, un adverbe de négation, etc. [[5:7]] => Il y an a aussi certaine dont je ne me suis pas inscrit volontairement, car je n'avais pas fait grand chose ... <|> an => suggestions : ['en']
248 Il manque un trait d’union. [[96:107]] => Il y an a aussi certaine dont je ne me suis pas inscrit volontairement, car je n'avais pas fait grand chose ... <|> grand chose => suggestions : ['grand-chose']
248 Typographie : points de suspension. Utilisez le caractère dédié. [[108:111]] => Il y an a aussi certaine dont je ne me suis pas inscrit volontairement, car je n'avais pas fait grand chose ... <|> ... => suggestions : ['…']
