1 Mot inconnu : Anti-Bug-Computers => ====== Anti-Bug-Computers ====== | anti-bug-computers
102 Accord de genre erroné : « exemple » est masculin. => Une fois l'écran calibré, le logiciel donne les réglages qu'il faut intégré au fichier de configuration afin que ce calibrage soit définitif comme cette exemple :  \\ | cette => suggestions : ['cet']
102 Espace(s) surnuméraire(s) à supprimer. => Une fois l'écran calibré, le logiciel donne les réglages qu'il faut intégré au fichier de configuration afin que ce calibrage soit définitif comme cette exemple :  \\ |    => suggestions : [' ']
109 Espace(s) surnuméraire(s) à supprimer. => Il faut copier la section dans le fichier : /etc/X11/xorg.conf (et pas dans  /etc/X11/xorg.conf.d/99-calibration.conf comme le document le suggère.)  \\ |    => suggestions : [' ']

114 Mot inconnu : alt => Il suffit d'appuyer sur les touches super + alt et de cliquer droit  \\ | alt
114 Espace(s) surnuméraire(s) à supprimer. => Il suffit d'appuyer sur les touches super + alt et de cliquer droit  \\ |    => suggestions : [' ']

116 Mot inconnu : LTS => ==== Sous 12.04 LTS ==== | lts
118 Mot inconnu : lsusb => Dans le terminal, coller ceci : lsusb \\ | lsusb
123 Espace(s) surnuméraire(s) à supprimer. => téléchargez le paquet suivant :  \\ |    => suggestions : [' ']

125 Mot inconnu : tar => Extraire ce fichier tar.gz via clic droit et « Extraire ici ».\\ \\ | tar
125 Mot inconnu : gz => Extraire ce fichier tar.gz via clic droit et « Extraire ici ».\\ \\ | gz
133 Espace(s) surnuméraire(s) à supprimer. => tester le pilote en chargeant son module via cette commande :  \\ |    => suggestions : [' ']

135 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => le wifi fonctionne et il n'y a rien de plus à faire. Le module se rechargera tout seul à chaque démarrage. \\ \\ | le => suggestions : ['Le']

137 Mot inconnu : SD => === Lecteur de carte SD non reconnu === | sd
138 Mot inconnu : lspci => Dans le terminal, coller ceci : lspci \\ | lspci

144 Mot inconnu : debian => téléchargez et installez le paquet debian : \\ | debian

148 Mot inconnu : SD => Puis insérer une carte SD dans le lecteur pour vérifier que cela fonctionne. Si cela fonctionne, collez ceci dans le terminal : \\ | sd

151 Mot inconnu : WebCam => === WebCam non reconnu === | webcam
152 Mot inconnu : lsusb => Dans le terminal, coller ceci : lsusb \\ | lsusb

157 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => puis redémarrer. Tester la WebCam avec Cheese par exemple. \\ \\ | puis => suggestions : ['Puis']
157 Mot inconnu : WebCam => puis redémarrer. Tester la WebCam avec Cheese par exemple. \\ \\ | webcam
157 Mot inconnu : Cheese => puis redémarrer. Tester la WebCam avec Cheese par exemple. \\ \\ | cheese

158 Mot inconnu : LTS => ==== Testé sous 10.04 et 12.04 LTS ==== | lts

159 Mot inconnu : Brother => === Brother : Scanner non reconnu === | brother

160 Mot inconnu : Brother => téléchargez et installer le bon pilote sur le site de Brother [[http://welcome.solutions.brother.com/bsc/public_s/id/linux/en/download_scn.html]] \\ | brother

161 Mot inconnu : basic-permissions => Éditez le fichier 40-basic-permissions.rules : \\ | basic-permissions
161 Mot inconnu : rules => Éditez le fichier 40-basic-permissions.rules : \\ | rules
163 Mot inconnu : devices => Repérez la section « USB devices » et remplacez la valeur « 0664 » par « 0666 » (elle apparait deux fois). \\ | devices

173 Mot inconnu : libsane => Ensuite, modifier le fichier 40-libsane.rules :  \\ | libsane
173 Mot inconnu : rules => Ensuite, modifier le fichier 40-libsane.rules :  \\ | rules
173 Espace(s) surnuméraire(s) à supprimer. => Ensuite, modifier le fichier 40-libsane.rules :  \\ |    => suggestions : [' ']
