1 Mot inconnu : Teilginn [[7:15]] => ====== Teilginn ====== <|> teilginn
115 Incohérence avec “je” : “choix” devrait être un verbe, un pronom objet, un adverbe de négation, etc. [[132:137]] => Par soucis de facilité je laisse l'installation définir elle même l'organisation du disque en étant conscient que dans ce cas je ne choix pas le format de la partition, ce sera forcement 'ext3'.  <|> choix => suggestions : ['choie']
115 Confusion probable : le forcement est l’action de forcer quelque chose. L’adverbe s’écrit “forcément”. [[177:186]] => Par soucis de facilité je laisse l'installation définir elle même l'organisation du disque en étant conscient que dans ce cas je ne choix pas le format de la partition, ce sera forcement 'ext3'.  <|> forcement => suggestions : ['forcément']
115 Guillemets typographiques ouvrants. [[187:188]] => Par soucis de facilité je laisse l'installation définir elle même l'organisation du disque en étant conscient que dans ce cas je ne choix pas le format de la partition, ce sera forcement 'ext3'.  <|> ' => suggestions : ['“', '‘', '‹']
115 Mot inconnu : ext3 [[188:192]] => Par soucis de facilité je laisse l'installation définir elle même l'organisation du disque en étant conscient que dans ce cas je ne choix pas le format de la partition, ce sera forcement 'ext3'.  <|> ext3
115 Espace(s) en fin de ligne à supprimer. [[194:195]] => Par soucis de facilité je laisse l'installation définir elle même l'organisation du disque en étant conscient que dans ce cas je ne choix pas le format de la partition, ce sera forcement 'ext3'.  <|>   => suggestions : ['']

117 Guillemets typographiques ouvrants. [[90:91]] => Une fois le système installé, je redémarre sur la clef USB afin de convertir la partition 'ext3' en 'ext2' ce qui revient en très gros à supprimer la journalisation.(Dans mon cas la partition est '/dev/sda1') <|> ' => suggestions : ['“', '‘', '‹']
117 Mot inconnu : ext3 [[91:95]] => Une fois le système installé, je redémarre sur la clef USB afin de convertir la partition 'ext3' en 'ext2' ce qui revient en très gros à supprimer la journalisation.(Dans mon cas la partition est '/dev/sda1') <|> ext3
117 Guillemets typographiques fermants. [[95:96]] => Une fois le système installé, je redémarre sur la clef USB afin de convertir la partition 'ext3' en 'ext2' ce qui revient en très gros à supprimer la journalisation.(Dans mon cas la partition est '/dev/sda1') <|> ' => suggestions : ['”', '’', '›']
117 Guillemets typographiques ouvrants. [[100:101]] => Une fois le système installé, je redémarre sur la clef USB afin de convertir la partition 'ext3' en 'ext2' ce qui revient en très gros à supprimer la journalisation.(Dans mon cas la partition est '/dev/sda1') <|> ' => suggestions : ['“', '‘', '‹']
117 Mot inconnu : ext2 [[101:105]] => Une fois le système installé, je redémarre sur la clef USB afin de convertir la partition 'ext3' en 'ext2' ce qui revient en très gros à supprimer la journalisation.(Dans mon cas la partition est '/dev/sda1') <|> ext2
117 Guillemets typographiques fermants. [[105:106]] => Une fois le système installé, je redémarre sur la clef USB afin de convertir la partition 'ext3' en 'ext2' ce qui revient en très gros à supprimer la journalisation.(Dans mon cas la partition est '/dev/sda1') <|> ' => suggestions : ['”', '’', '›']

122 Mot inconnu : Xdmcp [[18:23]] => === Configuration Xdmcp === <|> xdmcp

123 Accord de nombre erroné : « port » devrait être au pluriel. [[53:57]] => Comme sur le serveur, il faut penser à autoriser les port utilisé par xdmcp qui sont pour le client les port 6000 ET 6001. (SOUS RÉSERVE) <|> port => suggestions : ['ports']
123 Mot inconnu : xdmcp [[70:75]] => Comme sur le serveur, il faut penser à autoriser les port utilisé par xdmcp qui sont pour le client les port 6000 ET 6001. (SOUS RÉSERVE) <|> xdmcp
123 Accord de nombre erroné : « port » devrait être au pluriel. [[104:108]] => Comme sur le serveur, il faut penser à autoriser les port utilisé par xdmcp qui sont pour le client les port 6000 ET 6001. (SOUS RÉSERVE) <|> port => suggestions : ['ports']

125 Mot inconnu : todo [[0:4]] => todo: faire que l'outils de sélection du serveur se lance automatiquement. <|> todo
125 Accord de nombre erroné : après « l’ », « outils » devrait être au singulier. [[18:24]] => todo: faire que l'outils de sélection du serveur se lance automatiquement. <|> outils => suggestions : ['outil']

130 Mot inconnu : NetworkManager [[63:77]] => <note important>Pour éviter des conflits, il faut supprimer le NetworkManager de gnome. <|> networkmanager

134 Doublon. [[15:20]] => # Dans mon cas le le fichier '/etc/network/interfaces': <|> le le => suggestions : ['le']

147 Mot inconnu : haxadecimal [[34:45]] => <note tip>Pour obtenir la version haxadecimal de votre clef: <|> haxadecimal

151 Mot inconnu : SSID [[53:57]] => Pour tester vous pouvez temporairement montrer votre SSID. <|> ssid
