
4 Mot inconnu : nVidia => ====== nVidia Optimus : la vidéo hybride ====== | nvidia
56 Mot inconnu : Optimus => nVidia, avant Optimus, avait déjà développé une technologie hybride utilisant une puce graphique Intel combinée à l'une des siennes, cette technologie s'appelait Hybrid SLI. La partie matérielle était prépondérante dans ce système, les deux cartes étant complètement indépendantes l'une de l'autre et accédaient au contrôle de l'affichage via un multiplexeur graphique (Graphic Multiplexer). C'est un composant matériel qui permet de basculer l'écran d'une sortie vidéo à l'autre. Pour l'utilisateur, cela impliquait une certaine latence lors du transfert du contrôle (un écran blanc ou noir de quelques secondes), ce qui s'avérait assez pénible à l'usage. De plus, c'était à l'utilisateur de demander le switch. Et ce switch était intégral, ce qui signifie que certaines applications pouvaient planter si elles étaient entrain d'utiliser la carte graphique intégrée. La gestion de ce système sous Linux était inexistante, et en fait cet absence de support était la cause de plusieurs problèmes que l'on rencontre également avec Optimus, détaillés dans la seconde partie de cette documentation. Certaines solutions permettant de gérer la technologie Optimus sous Linux sont également fonctionnelles pour Hybrid SLI, ce support peut être amené à changer lorsque les différences matérielles entreront en ligne de mire (actuellement, ces solutions sont purement logicielles dans le sens où elles ne font pas intervenir les spécificités matérielles de ce système). | optimus
56 Mot inconnu : Hybrid => nVidia, avant Optimus, avait déjà développé une technologie hybride utilisant une puce graphique Intel combinée à l'une des siennes, cette technologie s'appelait Hybrid SLI. La partie matérielle était prépondérante dans ce système, les deux cartes étant complètement indépendantes l'une de l'autre et accédaient au contrôle de l'affichage via un multiplexeur graphique (Graphic Multiplexer). C'est un composant matériel qui permet de basculer l'écran d'une sortie vidéo à l'autre. Pour l'utilisateur, cela impliquait une certaine latence lors du transfert du contrôle (un écran blanc ou noir de quelques secondes), ce qui s'avérait assez pénible à l'usage. De plus, c'était à l'utilisateur de demander le switch. Et ce switch était intégral, ce qui signifie que certaines applications pouvaient planter si elles étaient entrain d'utiliser la carte graphique intégrée. La gestion de ce système sous Linux était inexistante, et en fait cet absence de support était la cause de plusieurs problèmes que l'on rencontre également avec Optimus, détaillés dans la seconde partie de cette documentation. Certaines solutions permettant de gérer la technologie Optimus sous Linux sont également fonctionnelles pour Hybrid SLI, ce support peut être amené à changer lorsque les différences matérielles entreront en ligne de mire (actuellement, ces solutions sont purement logicielles dans le sens où elles ne font pas intervenir les spécificités matérielles de ce système). | hybrid
56 Mot inconnu : SLI => nVidia, avant Optimus, avait déjà développé une technologie hybride utilisant une puce graphique Intel combinée à l'une des siennes, cette technologie s'appelait Hybrid SLI. La partie matérielle était prépondérante dans ce système, les deux cartes étant complètement indépendantes l'une de l'autre et accédaient au contrôle de l'affichage via un multiplexeur graphique (Graphic Multiplexer). C'est un composant matériel qui permet de basculer l'écran d'une sortie vidéo à l'autre. Pour l'utilisateur, cela impliquait une certaine latence lors du transfert du contrôle (un écran blanc ou noir de quelques secondes), ce qui s'avérait assez pénible à l'usage. De plus, c'était à l'utilisateur de demander le switch. Et ce switch était intégral, ce qui signifie que certaines applications pouvaient planter si elles étaient entrain d'utiliser la carte graphique intégrée. La gestion de ce système sous Linux était inexistante, et en fait cet absence de support était la cause de plusieurs problèmes que l'on rencontre également avec Optimus, détaillés dans la seconde partie de cette documentation. Certaines solutions permettant de gérer la technologie Optimus sous Linux sont également fonctionnelles pour Hybrid SLI, ce support peut être amené à changer lorsque les différences matérielles entreront en ligne de mire (actuellement, ces solutions sont purement logicielles dans le sens où elles ne font pas intervenir les spécificités matérielles de ce système). | sli

58 Mot inconnu : Core => Seulement, à partir du moment où Intel intègre directement ses contrôleurs graphiques dans ces processeurs des générations Core iX et Atom (à noter qu'il existe deux exceptions à cette règle pour le grand public : l'Atom Z560 et les Core i7 QM et XM de première génération sont dépourvus de partie graphique intégrée, et de manière plus générale pour les Atom, il ne s'agit que de ceux sortis depuis Janvier 2010), il n'est plus possible de mettre aisément en place un système utilisant un multiplexeur, d'autant plus que les problèmes intrinsèques à ce système ne sont pas négligeables. Aussi, il a fallu à nVidia une autre idée, et c'est là qu'entre en jeu Optimus. | core
58 Mot inconnu : iX => Seulement, à partir du moment où Intel intègre directement ses contrôleurs graphiques dans ces processeurs des générations Core iX et Atom (à noter qu'il existe deux exceptions à cette règle pour le grand public : l'Atom Z560 et les Core i7 QM et XM de première génération sont dépourvus de partie graphique intégrée, et de manière plus générale pour les Atom, il ne s'agit que de ceux sortis depuis Janvier 2010), il n'est plus possible de mettre aisément en place un système utilisant un multiplexeur, d'autant plus que les problèmes intrinsèques à ce système ne sont pas négligeables. Aussi, il a fallu à nVidia une autre idée, et c'est là qu'entre en jeu Optimus. | ix
58 Mot inconnu : Atom => Seulement, à partir du moment où Intel intègre directement ses contrôleurs graphiques dans ces processeurs des générations Core iX et Atom (à noter qu'il existe deux exceptions à cette règle pour le grand public : l'Atom Z560 et les Core i7 QM et XM de première génération sont dépourvus de partie graphique intégrée, et de manière plus générale pour les Atom, il ne s'agit que de ceux sortis depuis Janvier 2010), il n'est plus possible de mettre aisément en place un système utilisant un multiplexeur, d'autant plus que les problèmes intrinsèques à ce système ne sont pas négligeables. Aussi, il a fallu à nVidia une autre idée, et c'est là qu'entre en jeu Optimus. | atom
58 Mot inconnu : Atom => Seulement, à partir du moment où Intel intègre directement ses contrôleurs graphiques dans ces processeurs des générations Core iX et Atom (à noter qu'il existe deux exceptions à cette règle pour le grand public : l'Atom Z560 et les Core i7 QM et XM de première génération sont dépourvus de partie graphique intégrée, et de manière plus générale pour les Atom, il ne s'agit que de ceux sortis depuis Janvier 2010), il n'est plus possible de mettre aisément en place un système utilisant un multiplexeur, d'autant plus que les problèmes intrinsèques à ce système ne sont pas négligeables. Aussi, il a fallu à nVidia une autre idée, et c'est là qu'entre en jeu Optimus. | atom
58 Mot inconnu : Z560 => Seulement, à partir du moment où Intel intègre directement ses contrôleurs graphiques dans ces processeurs des générations Core iX et Atom (à noter qu'il existe deux exceptions à cette règle pour le grand public : l'Atom Z560 et les Core i7 QM et XM de première génération sont dépourvus de partie graphique intégrée, et de manière plus générale pour les Atom, il ne s'agit que de ceux sortis depuis Janvier 2010), il n'est plus possible de mettre aisément en place un système utilisant un multiplexeur, d'autant plus que les problèmes intrinsèques à ce système ne sont pas négligeables. Aussi, il a fallu à nVidia une autre idée, et c'est là qu'entre en jeu Optimus. | z560
58 Mot inconnu : Core => Seulement, à partir du moment où Intel intègre directement ses contrôleurs graphiques dans ces processeurs des générations Core iX et Atom (à noter qu'il existe deux exceptions à cette règle pour le grand public : l'Atom Z560 et les Core i7 QM et XM de première génération sont dépourvus de partie graphique intégrée, et de manière plus générale pour les Atom, il ne s'agit que de ceux sortis depuis Janvier 2010), il n'est plus possible de mettre aisément en place un système utilisant un multiplexeur, d'autant plus que les problèmes intrinsèques à ce système ne sont pas négligeables. Aussi, il a fallu à nVidia une autre idée, et c'est là qu'entre en jeu Optimus. | core
58 Mot inconnu : i7 => Seulement, à partir du moment où Intel intègre directement ses contrôleurs graphiques dans ces processeurs des générations Core iX et Atom (à noter qu'il existe deux exceptions à cette règle pour le grand public : l'Atom Z560 et les Core i7 QM et XM de première génération sont dépourvus de partie graphique intégrée, et de manière plus générale pour les Atom, il ne s'agit que de ceux sortis depuis Janvier 2010), il n'est plus possible de mettre aisément en place un système utilisant un multiplexeur, d'autant plus que les problèmes intrinsèques à ce système ne sont pas négligeables. Aussi, il a fallu à nVidia une autre idée, et c'est là qu'entre en jeu Optimus. | i7
58 Mot inconnu : QM => Seulement, à partir du moment où Intel intègre directement ses contrôleurs graphiques dans ces processeurs des générations Core iX et Atom (à noter qu'il existe deux exceptions à cette règle pour le grand public : l'Atom Z560 et les Core i7 QM et XM de première génération sont dépourvus de partie graphique intégrée, et de manière plus générale pour les Atom, il ne s'agit que de ceux sortis depuis Janvier 2010), il n'est plus possible de mettre aisément en place un système utilisant un multiplexeur, d'autant plus que les problèmes intrinsèques à ce système ne sont pas négligeables. Aussi, il a fallu à nVidia une autre idée, et c'est là qu'entre en jeu Optimus. | qm
58 Mot inconnu : XM => Seulement, à partir du moment où Intel intègre directement ses contrôleurs graphiques dans ces processeurs des générations Core iX et Atom (à noter qu'il existe deux exceptions à cette règle pour le grand public : l'Atom Z560 et les Core i7 QM et XM de première génération sont dépourvus de partie graphique intégrée, et de manière plus générale pour les Atom, il ne s'agit que de ceux sortis depuis Janvier 2010), il n'est plus possible de mettre aisément en place un système utilisant un multiplexeur, d'autant plus que les problèmes intrinsèques à ce système ne sont pas négligeables. Aussi, il a fallu à nVidia une autre idée, et c'est là qu'entre en jeu Optimus. | xm
58 Mot inconnu : Atom => Seulement, à partir du moment où Intel intègre directement ses contrôleurs graphiques dans ces processeurs des générations Core iX et Atom (à noter qu'il existe deux exceptions à cette règle pour le grand public : l'Atom Z560 et les Core i7 QM et XM de première génération sont dépourvus de partie graphique intégrée, et de manière plus générale pour les Atom, il ne s'agit que de ceux sortis depuis Janvier 2010), il n'est plus possible de mettre aisément en place un système utilisant un multiplexeur, d'autant plus que les problèmes intrinsèques à ce système ne sont pas négligeables. Aussi, il a fallu à nVidia une autre idée, et c'est là qu'entre en jeu Optimus. | atom
58 Pas de majuscule sur les mois. => Seulement, à partir du moment où Intel intègre directement ses contrôleurs graphiques dans ces processeurs des générations Core iX et Atom (à noter qu'il existe deux exceptions à cette règle pour le grand public : l'Atom Z560 et les Core i7 QM et XM de première génération sont dépourvus de partie graphique intégrée, et de manière plus générale pour les Atom, il ne s'agit que de ceux sortis depuis Janvier 2010), il n'est plus possible de mettre aisément en place un système utilisant un multiplexeur, d'autant plus que les problèmes intrinsèques à ce système ne sont pas négligeables. Aussi, il a fallu à nVidia une autre idée, et c'est là qu'entre en jeu Optimus. | janvier => suggestions : ['janvier']
58 Mot inconnu : nVidia => Seulement, à partir du moment où Intel intègre directement ses contrôleurs graphiques dans ces processeurs des générations Core iX et Atom (à noter qu'il existe deux exceptions à cette règle pour le grand public : l'Atom Z560 et les Core i7 QM et XM de première génération sont dépourvus de partie graphique intégrée, et de manière plus générale pour les Atom, il ne s'agit que de ceux sortis depuis Janvier 2010), il n'est plus possible de mettre aisément en place un système utilisant un multiplexeur, d'autant plus que les problèmes intrinsèques à ce système ne sont pas négligeables. Aussi, il a fallu à nVidia une autre idée, et c'est là qu'entre en jeu Optimus. | nvidia
58 Mot inconnu : Optimus => Seulement, à partir du moment où Intel intègre directement ses contrôleurs graphiques dans ces processeurs des générations Core iX et Atom (à noter qu'il existe deux exceptions à cette règle pour le grand public : l'Atom Z560 et les Core i7 QM et XM de première génération sont dépourvus de partie graphique intégrée, et de manière plus générale pour les Atom, il ne s'agit que de ceux sortis depuis Janvier 2010), il n'est plus possible de mettre aisément en place un système utilisant un multiplexeur, d'autant plus que les problèmes intrinsèques à ce système ne sont pas négligeables. Aussi, il a fallu à nVidia une autre idée, et c'est là qu'entre en jeu Optimus. | optimus

60 Mot inconnu : Optimus => Techniquement, Optimus exploite deux cartes graphiques : | optimus

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * l'IGP (Integrated Graphics Processor), chipset graphique intégré au processeur, peu consommateur d'énergie mais aussi moins performant ; |    => suggestions : ['']
61 Mot inconnu : IGP =>   * l'IGP (Integrated Graphics Processor), chipset graphique intégré au processeur, peu consommateur d'énergie mais aussi moins performant ; | igp
61 Mot inconnu : Integrated =>   * l'IGP (Integrated Graphics Processor), chipset graphique intégré au processeur, peu consommateur d'énergie mais aussi moins performant ; | integrated
61 Mot inconnu : Graphics =>   * l'IGP (Integrated Graphics Processor), chipset graphique intégré au processeur, peu consommateur d'énergie mais aussi moins performant ; | graphics
61 Mot inconnu : Processor =>   * l'IGP (Integrated Graphics Processor), chipset graphique intégré au processeur, peu consommateur d'énergie mais aussi moins performant ; | processor
61 Mot inconnu : chipset =>   * l'IGP (Integrated Graphics Processor), chipset graphique intégré au processeur, peu consommateur d'énergie mais aussi moins performant ; | chipset

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * le GPU (Graphics Processing Unit), la carte graphique dédiée (Discrete Card), puissante mais gourmande. |    => suggestions : ['']
62 Mot inconnu : GPU =>   * le GPU (Graphics Processing Unit), la carte graphique dédiée (Discrete Card), puissante mais gourmande. | gpu
62 Mot inconnu : Graphics =>   * le GPU (Graphics Processing Unit), la carte graphique dédiée (Discrete Card), puissante mais gourmande. | graphics
62 Mot inconnu : Discrete =>   * le GPU (Graphics Processing Unit), la carte graphique dédiée (Discrete Card), puissante mais gourmande. | discrete

64 Mot inconnu : IGP => Matériellement, seul l'IGP est connecté à l'écran, il est donc impossible de l'éteindre, car c'est lui qui gère l'affichage dans tous les cas. En fait, ce n'est pas exactement l'IGP qui est connecté, mais une unité appelée Display Controller. Cette unité fait néanmoins partie de l'IGP, mais elle accepte des connexions externes, et c'est ainsi que la carte nVidia est reliée au système. | igp
64 Mot inconnu : IGP => Matériellement, seul l'IGP est connecté à l'écran, il est donc impossible de l'éteindre, car c'est lui qui gère l'affichage dans tous les cas. En fait, ce n'est pas exactement l'IGP qui est connecté, mais une unité appelée Display Controller. Cette unité fait néanmoins partie de l'IGP, mais elle accepte des connexions externes, et c'est ainsi que la carte nVidia est reliée au système. | igp
64 Mot inconnu : Display => Matériellement, seul l'IGP est connecté à l'écran, il est donc impossible de l'éteindre, car c'est lui qui gère l'affichage dans tous les cas. En fait, ce n'est pas exactement l'IGP qui est connecté, mais une unité appelée Display Controller. Cette unité fait néanmoins partie de l'IGP, mais elle accepte des connexions externes, et c'est ainsi que la carte nVidia est reliée au système. | display
64 Mot inconnu : Controller => Matériellement, seul l'IGP est connecté à l'écran, il est donc impossible de l'éteindre, car c'est lui qui gère l'affichage dans tous les cas. En fait, ce n'est pas exactement l'IGP qui est connecté, mais une unité appelée Display Controller. Cette unité fait néanmoins partie de l'IGP, mais elle accepte des connexions externes, et c'est ainsi que la carte nVidia est reliée au système. | controller
64 Mot inconnu : IGP => Matériellement, seul l'IGP est connecté à l'écran, il est donc impossible de l'éteindre, car c'est lui qui gère l'affichage dans tous les cas. En fait, ce n'est pas exactement l'IGP qui est connecté, mais une unité appelée Display Controller. Cette unité fait néanmoins partie de l'IGP, mais elle accepte des connexions externes, et c'est ainsi que la carte nVidia est reliée au système. | igp
64 Mot inconnu : nVidia => Matériellement, seul l'IGP est connecté à l'écran, il est donc impossible de l'éteindre, car c'est lui qui gère l'affichage dans tous les cas. En fait, ce n'est pas exactement l'IGP qui est connecté, mais une unité appelée Display Controller. Cette unité fait néanmoins partie de l'IGP, mais elle accepte des connexions externes, et c'est ainsi que la carte nVidia est reliée au système. | nvidia

66 Mot inconnu : nVidia => Ainsi, par défaut, la carte nVidia est éteinte électriquement, et tout est géré par l'IGP (les calculs graphiques et l'affichage). Ensuite, en théorie, le lancement d'un programme nécessitant des capacités 3D déclenche l'allumage de la carte nVidia, et tous les appels graphiques lancés par ce programme sont envoyés à la carte nVidia, qui les exécute et renvoie le résultat au Display Controller, qui les affiche alors à l'écran. Le reste du système (environnement du bureau, autres applications tournant durant le même laps de temps) continue à utiliser l'IGP pour les calculs graphiques et l'affichage. Lorsque le dernier (il peut y en avoir plusieurs à la fois) programme utilisant la carte nVidia est fermé, celle-ci est à nouveau éteinte pour préserver la batterie. | nvidia
66 Mot inconnu : IGP => Ainsi, par défaut, la carte nVidia est éteinte électriquement, et tout est géré par l'IGP (les calculs graphiques et l'affichage). Ensuite, en théorie, le lancement d'un programme nécessitant des capacités 3D déclenche l'allumage de la carte nVidia, et tous les appels graphiques lancés par ce programme sont envoyés à la carte nVidia, qui les exécute et renvoie le résultat au Display Controller, qui les affiche alors à l'écran. Le reste du système (environnement du bureau, autres applications tournant durant le même laps de temps) continue à utiliser l'IGP pour les calculs graphiques et l'affichage. Lorsque le dernier (il peut y en avoir plusieurs à la fois) programme utilisant la carte nVidia est fermé, celle-ci est à nouveau éteinte pour préserver la batterie. | igp
66 Mot inconnu : nVidia => Ainsi, par défaut, la carte nVidia est éteinte électriquement, et tout est géré par l'IGP (les calculs graphiques et l'affichage). Ensuite, en théorie, le lancement d'un programme nécessitant des capacités 3D déclenche l'allumage de la carte nVidia, et tous les appels graphiques lancés par ce programme sont envoyés à la carte nVidia, qui les exécute et renvoie le résultat au Display Controller, qui les affiche alors à l'écran. Le reste du système (environnement du bureau, autres applications tournant durant le même laps de temps) continue à utiliser l'IGP pour les calculs graphiques et l'affichage. Lorsque le dernier (il peut y en avoir plusieurs à la fois) programme utilisant la carte nVidia est fermé, celle-ci est à nouveau éteinte pour préserver la batterie. | nvidia
66 Mot inconnu : nVidia => Ainsi, par défaut, la carte nVidia est éteinte électriquement, et tout est géré par l'IGP (les calculs graphiques et l'affichage). Ensuite, en théorie, le lancement d'un programme nécessitant des capacités 3D déclenche l'allumage de la carte nVidia, et tous les appels graphiques lancés par ce programme sont envoyés à la carte nVidia, qui les exécute et renvoie le résultat au Display Controller, qui les affiche alors à l'écran. Le reste du système (environnement du bureau, autres applications tournant durant le même laps de temps) continue à utiliser l'IGP pour les calculs graphiques et l'affichage. Lorsque le dernier (il peut y en avoir plusieurs à la fois) programme utilisant la carte nVidia est fermé, celle-ci est à nouveau éteinte pour préserver la batterie. | nvidia
66 Mot inconnu : Display => Ainsi, par défaut, la carte nVidia est éteinte électriquement, et tout est géré par l'IGP (les calculs graphiques et l'affichage). Ensuite, en théorie, le lancement d'un programme nécessitant des capacités 3D déclenche l'allumage de la carte nVidia, et tous les appels graphiques lancés par ce programme sont envoyés à la carte nVidia, qui les exécute et renvoie le résultat au Display Controller, qui les affiche alors à l'écran. Le reste du système (environnement du bureau, autres applications tournant durant le même laps de temps) continue à utiliser l'IGP pour les calculs graphiques et l'affichage. Lorsque le dernier (il peut y en avoir plusieurs à la fois) programme utilisant la carte nVidia est fermé, celle-ci est à nouveau éteinte pour préserver la batterie. | display
66 Mot inconnu : Controller => Ainsi, par défaut, la carte nVidia est éteinte électriquement, et tout est géré par l'IGP (les calculs graphiques et l'affichage). Ensuite, en théorie, le lancement d'un programme nécessitant des capacités 3D déclenche l'allumage de la carte nVidia, et tous les appels graphiques lancés par ce programme sont envoyés à la carte nVidia, qui les exécute et renvoie le résultat au Display Controller, qui les affiche alors à l'écran. Le reste du système (environnement du bureau, autres applications tournant durant le même laps de temps) continue à utiliser l'IGP pour les calculs graphiques et l'affichage. Lorsque le dernier (il peut y en avoir plusieurs à la fois) programme utilisant la carte nVidia est fermé, celle-ci est à nouveau éteinte pour préserver la batterie. | controller
66 Mot inconnu : IGP => Ainsi, par défaut, la carte nVidia est éteinte électriquement, et tout est géré par l'IGP (les calculs graphiques et l'affichage). Ensuite, en théorie, le lancement d'un programme nécessitant des capacités 3D déclenche l'allumage de la carte nVidia, et tous les appels graphiques lancés par ce programme sont envoyés à la carte nVidia, qui les exécute et renvoie le résultat au Display Controller, qui les affiche alors à l'écran. Le reste du système (environnement du bureau, autres applications tournant durant le même laps de temps) continue à utiliser l'IGP pour les calculs graphiques et l'affichage. Lorsque le dernier (il peut y en avoir plusieurs à la fois) programme utilisant la carte nVidia est fermé, celle-ci est à nouveau éteinte pour préserver la batterie. | igp
66 Mot inconnu : nVidia => Ainsi, par défaut, la carte nVidia est éteinte électriquement, et tout est géré par l'IGP (les calculs graphiques et l'affichage). Ensuite, en théorie, le lancement d'un programme nécessitant des capacités 3D déclenche l'allumage de la carte nVidia, et tous les appels graphiques lancés par ce programme sont envoyés à la carte nVidia, qui les exécute et renvoie le résultat au Display Controller, qui les affiche alors à l'écran. Le reste du système (environnement du bureau, autres applications tournant durant le même laps de temps) continue à utiliser l'IGP pour les calculs graphiques et l'affichage. Lorsque le dernier (il peut y en avoir plusieurs à la fois) programme utilisant la carte nVidia est fermé, celle-ci est à nouveau éteinte pour préserver la batterie. | nvidia

76 Il manque un espace. => Le serveur d'affichage X.org se fait vieux, et il n'a pas été conçu pour gérer cette situation. Devant cette situation, une réécriture intégrale de celui-ci est en cours, mais c'est un projet à long terme tant cela est fastidieux. Pour les curieux, il s'agit de **Wayland**. Les problèmes techniques pour l'implémentation de cette technologie sous Linux sont détaillés dans le dernier paragraphe de cette partie. | org => suggestions : [' org']

78 Mot inconnu : Optimus => En l'état, sur les portables équipés de la technologie Optimus, à savoir quasiment tous les ordinateurs portables pourvu d'un processeur Intel Core iX ou Atom ainsi que d'une carte graphique dédiée nVidia (une étiquette Optimus est généralement présente sur ces modèles), de nombreux problèmes peuvent survenir par le simple manque de support (i.e. problèmes aggravant la situation par rapport à celle où la carte nVidia serait juste là pour décorer), parmi lesquels on compte notamment : | optimus
78 Accord de nombre erroné avec « les ordinateurs portables » : « pourvu » devrait être au pluriel. => En l'état, sur les portables équipés de la technologie Optimus, à savoir quasiment tous les ordinateurs portables pourvu d'un processeur Intel Core iX ou Atom ainsi que d'une carte graphique dédiée nVidia (une étiquette Optimus est généralement présente sur ces modèles), de nombreux problèmes peuvent survenir par le simple manque de support (i.e. problèmes aggravant la situation par rapport à celle où la carte nVidia serait juste là pour décorer), parmi lesquels on compte notamment : | pourvu => suggestions : ['pourvus']
78 Mot inconnu : Core => En l'état, sur les portables équipés de la technologie Optimus, à savoir quasiment tous les ordinateurs portables pourvu d'un processeur Intel Core iX ou Atom ainsi que d'une carte graphique dédiée nVidia (une étiquette Optimus est généralement présente sur ces modèles), de nombreux problèmes peuvent survenir par le simple manque de support (i.e. problèmes aggravant la situation par rapport à celle où la carte nVidia serait juste là pour décorer), parmi lesquels on compte notamment : | core
78 Mot inconnu : iX => En l'état, sur les portables équipés de la technologie Optimus, à savoir quasiment tous les ordinateurs portables pourvu d'un processeur Intel Core iX ou Atom ainsi que d'une carte graphique dédiée nVidia (une étiquette Optimus est généralement présente sur ces modèles), de nombreux problèmes peuvent survenir par le simple manque de support (i.e. problèmes aggravant la situation par rapport à celle où la carte nVidia serait juste là pour décorer), parmi lesquels on compte notamment : | ix
78 Mot inconnu : Atom => En l'état, sur les portables équipés de la technologie Optimus, à savoir quasiment tous les ordinateurs portables pourvu d'un processeur Intel Core iX ou Atom ainsi que d'une carte graphique dédiée nVidia (une étiquette Optimus est généralement présente sur ces modèles), de nombreux problèmes peuvent survenir par le simple manque de support (i.e. problèmes aggravant la situation par rapport à celle où la carte nVidia serait juste là pour décorer), parmi lesquels on compte notamment : | atom
78 Mot inconnu : nVidia => En l'état, sur les portables équipés de la technologie Optimus, à savoir quasiment tous les ordinateurs portables pourvu d'un processeur Intel Core iX ou Atom ainsi que d'une carte graphique dédiée nVidia (une étiquette Optimus est généralement présente sur ces modèles), de nombreux problèmes peuvent survenir par le simple manque de support (i.e. problèmes aggravant la situation par rapport à celle où la carte nVidia serait juste là pour décorer), parmi lesquels on compte notamment : | nvidia
78 Mot inconnu : Optimus => En l'état, sur les portables équipés de la technologie Optimus, à savoir quasiment tous les ordinateurs portables pourvu d'un processeur Intel Core iX ou Atom ainsi que d'une carte graphique dédiée nVidia (une étiquette Optimus est généralement présente sur ces modèles), de nombreux problèmes peuvent survenir par le simple manque de support (i.e. problèmes aggravant la situation par rapport à celle où la carte nVidia serait juste là pour décorer), parmi lesquels on compte notamment : | optimus
78 Mot inconnu : nVidia => En l'état, sur les portables équipés de la technologie Optimus, à savoir quasiment tous les ordinateurs portables pourvu d'un processeur Intel Core iX ou Atom ainsi que d'une carte graphique dédiée nVidia (une étiquette Optimus est généralement présente sur ces modèles), de nombreux problèmes peuvent survenir par le simple manque de support (i.e. problèmes aggravant la situation par rapport à celle où la carte nVidia serait juste là pour décorer), parmi lesquels on compte notamment : | nvidia

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * l'**impossibilité de démarrer** un média d'installation (LiveCD, LiveUSB) et de manière plus générale, l'impossibilité de démarrer un Linux quelconque. Ce problème est généralement dû à un Kernel Panic provoqué par le pilote libre pour carte graphique nVidia, nouveau, qui supporte très mal cette technologie, d'autant plus qu'il s'agit souvent de cartes récentes. Une solution existe, c'est la suivante : s'il s'agit de faire démarrer un noyau quelconque, il faut ajouter ''nouveau.modeset=0'' aux options de démarrage de celui-ci (par fois également ''acpi=off'' ou encore ''pci=noacpi''), l'alternative pour un système installé est d'ajouter un fichier //blacklist-nouveau.conf// dans le dossier // /etc/modprobe.d/ // contenant la ligne suivante : ''blacklist nouveau'' ; |    => suggestions : ['']
79 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * l'**impossibilité de démarrer** un média d'installation (LiveCD, LiveUSB) et de manière plus générale, l'impossibilité de démarrer un Linux quelconque. Ce problème est généralement dû à un Kernel Panic provoqué par le pilote libre pour carte graphique nVidia, nouveau, qui supporte très mal cette technologie, d'autant plus qu'il s'agit souvent de cartes récentes. Une solution existe, c'est la suivante : s'il s'agit de faire démarrer un noyau quelconque, il faut ajouter ''nouveau.modeset=0'' aux options de démarrage de celui-ci (par fois également ''acpi=off'' ou encore ''pci=noacpi''), l'alternative pour un système installé est d'ajouter un fichier //blacklist-nouveau.conf// dans le dossier // /etc/modprobe.d/ // contenant la ligne suivante : ''blacklist nouveau'' ; | l' => suggestions : ["L'"]
79 Mot inconnu : LiveCD =>   * l'**impossibilité de démarrer** un média d'installation (LiveCD, LiveUSB) et de manière plus générale, l'impossibilité de démarrer un Linux quelconque. Ce problème est généralement dû à un Kernel Panic provoqué par le pilote libre pour carte graphique nVidia, nouveau, qui supporte très mal cette technologie, d'autant plus qu'il s'agit souvent de cartes récentes. Une solution existe, c'est la suivante : s'il s'agit de faire démarrer un noyau quelconque, il faut ajouter ''nouveau.modeset=0'' aux options de démarrage de celui-ci (par fois également ''acpi=off'' ou encore ''pci=noacpi''), l'alternative pour un système installé est d'ajouter un fichier //blacklist-nouveau.conf// dans le dossier // /etc/modprobe.d/ // contenant la ligne suivante : ''blacklist nouveau'' ; | livecd
79 Mot inconnu : LiveUSB =>   * l'**impossibilité de démarrer** un média d'installation (LiveCD, LiveUSB) et de manière plus générale, l'impossibilité de démarrer un Linux quelconque. Ce problème est généralement dû à un Kernel Panic provoqué par le pilote libre pour carte graphique nVidia, nouveau, qui supporte très mal cette technologie, d'autant plus qu'il s'agit souvent de cartes récentes. Une solution existe, c'est la suivante : s'il s'agit de faire démarrer un noyau quelconque, il faut ajouter ''nouveau.modeset=0'' aux options de démarrage de celui-ci (par fois également ''acpi=off'' ou encore ''pci=noacpi''), l'alternative pour un système installé est d'ajouter un fichier //blacklist-nouveau.conf// dans le dossier // /etc/modprobe.d/ // contenant la ligne suivante : ''blacklist nouveau'' ; | liveusb
79 Mot inconnu : Kernel =>   * l'**impossibilité de démarrer** un média d'installation (LiveCD, LiveUSB) et de manière plus générale, l'impossibilité de démarrer un Linux quelconque. Ce problème est généralement dû à un Kernel Panic provoqué par le pilote libre pour carte graphique nVidia, nouveau, qui supporte très mal cette technologie, d'autant plus qu'il s'agit souvent de cartes récentes. Une solution existe, c'est la suivante : s'il s'agit de faire démarrer un noyau quelconque, il faut ajouter ''nouveau.modeset=0'' aux options de démarrage de celui-ci (par fois également ''acpi=off'' ou encore ''pci=noacpi''), l'alternative pour un système installé est d'ajouter un fichier //blacklist-nouveau.conf// dans le dossier // /etc/modprobe.d/ // contenant la ligne suivante : ''blacklist nouveau'' ; | kernel
