4 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Prénom :** Benjamin

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Age :** 29 ans
5 Avec une unité de mesure, mettez un espace insécable. =>   * **Age :** 29 ans

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Localité :** Saint-Maur-des-Fosses (limite de Paris), FRANCE
6 Mot inconnu : Saint-Maur-des-Fosses =>   * **Localité :** Saint-Maur-des-Fosses (limite de Paris), FRANCE

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Contact :** Irc ou Forum
7 Mot inconnu : Irc =>   * **Contact :** Irc ou Forum

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Emploi :** Administrateur Systèmes et Réseaux

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Première version d'Ubuntu :** la Hoary (en Avril 2005) !
9 Mot inconnu : Hoary =>   * **Première version d'Ubuntu :** la Hoary (en Avril 2005) !
9 Pas de majuscule sur les mois. =>   * **Première version d'Ubuntu :** la Hoary (en Avril 2005) !
9 Il manque un espace insécable. =>   * **Première version d'Ubuntu :** la Hoary (en Avril 2005) !

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Profil Launchpad :** https://launchpad.net/~benj.saiz
10 Mot inconnu : Launchpad =>   * **Profil Launchpad :** https://launchpad.net/~benj.saiz
10 Mot inconnu : benj =>   * **Profil Launchpad :** https://launchpad.net/~benj.saiz
10 Mot inconnu : saiz =>   * **Profil Launchpad :** https://launchpad.net/~benj.saiz

14 Si cet adjectif se réfère au pronom « elle », l’adjectif devrait être au féminin singulier. => Utilisateur d'Ubuntu depuis 2005 ans maintenant elle aura été ma première distribution Linux
14 Avec une unité de mesure, mettez un espace insécable. => Utilisateur d'Ubuntu depuis 2005 ans maintenant elle aura été ma première distribution Linux

15 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => et je lui reste fidèle. Je l'utilise aussi bien chez moi que professionnellement. \\

16 Incohérence probable avec “ai” : “passer” n’est pas un participe passé. => J'ai passer plus ou moins de temps sur d'autre distro pour des besoins personnels et/ou professionnels : Debian, FreeBSD, Gentoo, CentOS \\
16 Mot inconnu : distro => J'ai passer plus ou moins de temps sur d'autre distro pour des besoins personnels et/ou professionnels : Debian, FreeBSD, Gentoo, CentOS \\
16 Il manque un espace insécable. => J'ai passer plus ou moins de temps sur d'autre distro pour des besoins personnels et/ou professionnels : Debian, FreeBSD, Gentoo, CentOS \\
16 Mot inconnu : Gentoo => J'ai passer plus ou moins de temps sur d'autre distro pour des besoins personnels et/ou professionnels : Debian, FreeBSD, Gentoo, CentOS \\
16 Mot inconnu : CentOS => J'ai passer plus ou moins de temps sur d'autre distro pour des besoins personnels et/ou professionnels : Debian, FreeBSD, Gentoo, CentOS \\

17 Mot inconnu : MediaCenter => Chez moi je compte 5 machines sous Ubuntu comprenant mon PC personnel, mon Portable, mes 2 MediaCenter, mon Serveur.

19 Espace(s) surnuméraire(s) à supprimer. => ^  ^ Nom de code  ^  Numéro de version  ^
19 Espace(s) surnuméraire(s) à supprimer. => ^  ^ Nom de code  ^  Numéro de version  ^

20 Mot inconnu : hoary => | **Distributions Ubuntu testées** | [[:hoary|Ubuntu 5.04]] | The Hoary Hedgehog (le hérisson vénérable) |
51 Mot inconnu : Ubuntu-Party =>       * Ubuntu-Party 12.10 (17-18 Novembre 2012) - Installation et Aide staff installation - Aide technique Installeurs
51 Pas de majuscule sur les mois. =>       * Ubuntu-Party 12.10 (17-18 Novembre 2012) - Installation et Aide staff installation - Aide technique Installeurs
51 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       * Ubuntu-Party 12.10 (17-18 Novembre 2012) - Installation et Aide staff installation - Aide technique Installeurs
51 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       * Ubuntu-Party 12.10 (17-18 Novembre 2012) - Installation et Aide staff installation - Aide technique Installeurs

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * Ubuntu-Party 13.04 (1-2 Juin 2013) - Installation et Aide staff installation - Aide technique Installeurs
52 Mot inconnu : Ubuntu-Party =>       * Ubuntu-Party 13.04 (1-2 Juin 2013) - Installation et Aide staff installation - Aide technique Installeurs
52 Pas de majuscule sur les mois. =>       * Ubuntu-Party 13.04 (1-2 Juin 2013) - Installation et Aide staff installation - Aide technique Installeurs
52 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       * Ubuntu-Party 13.04 (1-2 Juin 2013) - Installation et Aide staff installation - Aide technique Installeurs
52 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       * Ubuntu-Party 13.04 (1-2 Juin 2013) - Installation et Aide staff installation - Aide technique Installeurs

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * Ubuntu-Party 13.10 (16-17 Novembre 2013) - Responsable Installeurs - Aide technique Installeurs
53 Mot inconnu : Ubuntu-Party =>       * Ubuntu-Party 13.10 (16-17 Novembre 2013) - Responsable Installeurs - Aide technique Installeurs
53 Pas de majuscule sur les mois. =>       * Ubuntu-Party 13.10 (16-17 Novembre 2013) - Responsable Installeurs - Aide technique Installeurs
53 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       * Ubuntu-Party 13.10 (16-17 Novembre 2013) - Responsable Installeurs - Aide technique Installeurs
53 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       * Ubuntu-Party 13.10 (16-17 Novembre 2013) - Responsable Installeurs - Aide technique Installeurs

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * Ubuntu-Party 14.10 (15-16 Novembre 2014) - Responsable Installeurs - Aide technique Installeurs
54 Mot inconnu : Ubuntu-Party =>       * Ubuntu-Party 14.10 (15-16 Novembre 2014) - Responsable Installeurs - Aide technique Installeurs
54 Pas de majuscule sur les mois. =>       * Ubuntu-Party 14.10 (15-16 Novembre 2014) - Responsable Installeurs - Aide technique Installeurs
54 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       * Ubuntu-Party 14.10 (15-16 Novembre 2014) - Responsable Installeurs - Aide technique Installeurs
54 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       * Ubuntu-Party 14.10 (15-16 Novembre 2014) - Responsable Installeurs - Aide technique Installeurs

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * Ubuntu-Party 15.04 (30-31 Mai 2015) - Responsable Installeurs - Aide technique Installeurs
55 Mot inconnu : Ubuntu-Party =>       * Ubuntu-Party 15.04 (30-31 Mai 2015) - Responsable Installeurs - Aide technique Installeurs
55 Pas de majuscule sur les mois. =>       * Ubuntu-Party 15.04 (30-31 Mai 2015) - Responsable Installeurs - Aide technique Installeurs
55 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       * Ubuntu-Party 15.04 (30-31 Mai 2015) - Responsable Installeurs - Aide technique Installeurs
55 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       * Ubuntu-Party 15.04 (30-31 Mai 2015) - Responsable Installeurs - Aide technique Installeurs

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * Ubuntu-Party 15.10 (28-29 Novembre 2015) - (Mi-Temps) Responsable Installeurs - Aide technique Installeurs
56 Mot inconnu : Ubuntu-Party =>       * Ubuntu-Party 15.10 (28-29 Novembre 2015) - (Mi-Temps) Responsable Installeurs - Aide technique Installeurs
56 Pas de majuscule sur les mois. =>       * Ubuntu-Party 15.10 (28-29 Novembre 2015) - (Mi-Temps) Responsable Installeurs - Aide technique Installeurs
56 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       * Ubuntu-Party 15.10 (28-29 Novembre 2015) - (Mi-Temps) Responsable Installeurs - Aide technique Installeurs
56 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       * Ubuntu-Party 15.10 (28-29 Novembre 2015) - (Mi-Temps) Responsable Installeurs - Aide technique Installeurs

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Participer a la communauté Ubuntu comme je le peut (IRC/Doc)
59 Conjugaison erronée. Accord avec “je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. =>   * Participer a la communauté Ubuntu comme je le peut (IRC/Doc)
59 Mot inconnu : IRC =>   * Participer a la communauté Ubuntu comme je le peut (IRC/Doc)

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Sorties entre amis

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * AirSoft
61 Mot inconnu : AirSoft =>   * AirSoft

65 Mot inconnu : icons => {{icons:devel-small.png  }} ===== Les pages que j'ai créées =====
65 Il manque un espace. => {{icons:devel-small.png  }} ===== Les pages que j'ai créées =====
65 Mot inconnu : devel-small => {{icons:devel-small.png  }} ===== Les pages que j'ai créées =====
65 Mot inconnu : png => {{icons:devel-small.png  }} ===== Les pages que j'ai créées =====
65 Espace(s) surnuméraire(s) à supprimer. => {{icons:devel-small.png  }} ===== Les pages que j'ai créées =====

67 Mot inconnu : nvidia_sli => [[:nvidia_sli|NVIDIA et SLI]] \\
67 Mot inconnu : SLI => [[:nvidia_sli|NVIDIA et SLI]] \\

68 Il manque un espace. => [[tutoriel:compilation_automatique_des_drivers_nvidia.run_lors_de_mise_a_jour_de_kernel|Compilation automatique des drivers nvidia.run lors des mises a jour de kernel]]
68 Mot inconnu : compilation_automatique_des_drivers_nvidia => [[tutoriel:compilation_automatique_des_drivers_nvidia.run_lors_de_mise_a_jour_de_kernel|Compilation automatique des drivers nvidia.run lors des mises a jour de kernel]]
68 Mot inconnu : run_lors_de_mise_a_jour_de_kernel => [[tutoriel:compilation_automatique_des_drivers_nvidia.run_lors_de_mise_a_jour_de_kernel|Compilation automatique des drivers nvidia.run lors des mises a jour de kernel]]
68 Mot inconnu : nvidia => [[tutoriel:compilation_automatique_des_drivers_nvidia.run_lors_de_mise_a_jour_de_kernel|Compilation automatique des drivers nvidia.run lors des mises a jour de kernel]]
68 Mot inconnu : run => [[tutoriel:compilation_automatique_des_drivers_nvidia.run_lors_de_mise_a_jour_de_kernel|Compilation automatique des drivers nvidia.run lors des mises a jour de kernel]]
68 Confusion : “a” est une conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. => [[tutoriel:compilation_automatique_des_drivers_nvidia.run_lors_de_mise_a_jour_de_kernel|Compilation automatique des drivers nvidia.run lors des mises a jour de kernel]]
68 Mot inconnu : kernel => [[tutoriel:compilation_automatique_des_drivers_nvidia.run_lors_de_mise_a_jour_de_kernel|Compilation automatique des drivers nvidia.run lors des mises a jour de kernel]]

72 Mot inconnu : icons => {{icons:devel-small.png  }}
72 Il manque un espace. => {{icons:devel-small.png  }}
72 Mot inconnu : devel-small => {{icons:devel-small.png  }}
72 Mot inconnu : png => {{icons:devel-small.png  }}
72 Espace(s) surnuméraire(s) à supprimer. => {{icons:devel-small.png  }}

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ===== Les pages auxquels j'ai contribue =====

75 Mot inconnu : liste_portables_alienware => [[:liste_portables_alienware|Fonctionnement des portables alienware sous Ubuntu]]
75 Mot inconnu : alienware => [[:liste_portables_alienware|Fonctionnement des portables alienware sous Ubuntu]]

79 Mot inconnu : icons => {{icons:devel-small.png  }}
79 Il manque un espace. => {{icons:devel-small.png  }}
79 Mot inconnu : devel-small => {{icons:devel-small.png  }}
79 Mot inconnu : png => {{icons:devel-small.png  }}
79 Espace(s) surnuméraire(s) à supprimer. => {{icons:devel-small.png  }}

82 Mot inconnu : backlinks => {{backlinks>.}}
