1 Pas de majuscule sur les mois. => ====== Réunion du 30 Novembre 2010 ====== <|> novembre => suggestions : ['novembre']
175 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 21:32:38 <avelldiroll>	Pour bordeaux, un peu moins de personnes pendant la journée que les fois précédentes (il faisait beau ^") ... de petit soucis techniques (connexion qui nous à lâcher pendant 5h) ... une très bonne émission de radio de 7h30 le soir :D <|> ... => suggestions : ['…']
175 Accord de nombre erroné avec « soucis ». => nov. 30 21:32:38 <avelldiroll>	Pour bordeaux, un peu moins de personnes pendant la journée que les fois précédentes (il faisait beau ^") ... de petit soucis techniques (connexion qui nous à lâcher pendant 5h) ... une très bonne émission de radio de 7h30 le soir :D <|> petit => suggestions : ['petits']
175 Accord de nombre erroné avec « petit ». => nov. 30 21:32:38 <avelldiroll>	Pour bordeaux, un peu moins de personnes pendant la journée que les fois précédentes (il faisait beau ^") ... de petit soucis techniques (connexion qui nous à lâcher pendant 5h) ... une très bonne émission de radio de 7h30 le soir :D <|> soucis => suggestions : ['souci']
175 Confusion : “à” est une préposition. Pour le verbe avoir, écrivez “a”. => nov. 30 21:32:38 <avelldiroll>	Pour bordeaux, un peu moins de personnes pendant la journée que les fois précédentes (il faisait beau ^") ... de petit soucis techniques (connexion qui nous à lâcher pendant 5h) ... une très bonne émission de radio de 7h30 le soir :D <|> à => suggestions : ['a']
175 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 21:32:38 <avelldiroll>	Pour bordeaux, un peu moins de personnes pendant la journée que les fois précédentes (il faisait beau ^") ... de petit soucis techniques (connexion qui nous à lâcher pendant 5h) ... une très bonne émission de radio de 7h30 le soir :D <|> ... => suggestions : ['…']

177 Mot inconnu : yep => nov. 30 21:33:24 <avelldiroll>	yep ... le standard a saturé! :p <|> yep
177 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 21:33:24 <avelldiroll>	yep ... le standard a saturé! :p <|> ... => suggestions : ['…']

178 Mot inconnu : emission => nov. 30 21:34:50 <Lagierl>	+1 pour l'emission :D <|> emission

179 Mot inconnu : glitch => nov. 30 21:34:55 <avelldiroll>	Première émission sans aucun glitch ... retransmise en local par onde, en stream, et retransmise par oxyradio (donc également sur les freebox) <|> glitch
179 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 21:34:55 <avelldiroll>	Première émission sans aucun glitch ... retransmise en local par onde, en stream, et retransmise par oxyradio (donc également sur les freebox) <|> ... => suggestions : ['…']
179 Mot inconnu : stream => nov. 30 21:34:55 <avelldiroll>	Première émission sans aucun glitch ... retransmise en local par onde, en stream, et retransmise par oxyradio (donc également sur les freebox) <|> stream
179 Mot inconnu : oxyradio => nov. 30 21:34:55 <avelldiroll>	Première émission sans aucun glitch ... retransmise en local par onde, en stream, et retransmise par oxyradio (donc également sur les freebox) <|> oxyradio
179 Mot inconnu : freebox => nov. 30 21:34:55 <avelldiroll>	Première émission sans aucun glitch ... retransmise en local par onde, en stream, et retransmise par oxyradio (donc également sur les freebox) <|> freebox

180 Mot inconnu : YoBoY => nov. 30 21:35:08 <Biaise>	YoBoY, lyon quoi ? j'étais pas à la dernière IP, j'vais secouer flozz pour qu'i vienne <|> yoboy
180 Mot inconnu : lyon => nov. 30 21:35:08 <Biaise>	YoBoY, lyon quoi ? j'étais pas à la dernière IP, j'vais secouer flozz pour qu'i vienne <|> lyon
180 Mot inconnu : flozz => nov. 30 21:35:08 <Biaise>	YoBoY, lyon quoi ? j'étais pas à la dernière IP, j'vais secouer flozz pour qu'i vienne <|> flozz

182 Mot inconnu : Mandriva => nov. 30 21:35:15 <mydjey>	A Lyon ce week-end on a fait une IP avec 50/60 personnes qui sont passées, avec des membres des communautés Mandriva, Fedora et Ubuntu <|> mandriva

183 Mot inconnu : Supinfo => nov. 30 21:35:51 <mydjey>	Dans les locaux de Supinfo <|> supinfo

184 Mot inconnu : confs => nov. 30 21:36:51 <mydjey>	Pas de confs, des goodies mozilla offert. <|> confs
184 Mot inconnu : goodies => nov. 30 21:36:51 <mydjey>	Pas de confs, des goodies mozilla offert. <|> goodies
184 Mot inconnu : mozilla => nov. 30 21:36:51 <mydjey>	Pas de confs, des goodies mozilla offert. <|> mozilla

185 Mot inconnu : ok => nov. 30 21:37:14 <YoBoY>	ok <|> ok
186 Mot inconnu : mn => nov. 30 21:37:17 <spineaker>	bon, point 2 ? (déjà 35mn de passées) <|> mn

189 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => nov. 30 21:37:33 <YoBoY>	* 2 - Prochains évènement <|>  -  => suggestions : [' – ', ' — ', ' − ']

195 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 21:38:44 <YoBoY>	mis à part sur paris la réunion pour les groupes qui est une réunion de travail... <|> ... => suggestions : ['…']

196 Mot inconnu : PSL => nov. 30 21:39:02 <olive>	et les PSL <|> psl

197 Mot inconnu : Hour => nov. 30 21:39:02 <YoBoY>	Donc pour remplir ce vide, sur Paris, on lance le concept des Ubuntu Hour (j'y tiens) <|> hour

198 Mot inconnu : map-party => nov. 30 21:39:07 <kinouchou>	si vous vous ennuyez il y a une map-party accessibilité ce samedi <|> map-party

199 Mot inconnu : PSL => nov. 30 21:39:16 <snip_>	non, pas de PSL, y'a pas Fedora Party ? <|> psl
199 Ni apostrophe ni trait d’union après “y”. => nov. 30 21:39:16 <snip_>	non, pas de PSL, y'a pas Fedora Party ? <|> y'a => suggestions : ['y a']
199 Mot inconnu : y'a => nov. 30 21:39:16 <snip_>	non, pas de PSL, y'a pas Fedora Party ? <|> y'a
199 Mot inconnu : Party => nov. 30 21:39:16 <snip_>	non, pas de PSL, y'a pas Fedora Party ? <|> party

200 Mot inconnu : Install => nov. 30 21:39:16 <draco31fr>	peut-être un Install Party le 15 janvier à l'utopia tournefuille <|> install
200 Mot inconnu : Party => nov. 30 21:39:16 <draco31fr>	peut-être un Install Party le 15 janvier à l'utopia tournefuille <|> party
200 Mot inconnu : utopia => nov. 30 21:39:16 <draco31fr>	peut-être un Install Party le 15 janvier à l'utopia tournefuille <|> utopia
200 Mot inconnu : tournefuille => nov. 30 21:39:16 <draco31fr>	peut-être un Install Party le 15 janvier à l'utopia tournefuille <|> tournefuille

202 Mot inconnu : toulouse => nov. 30 21:39:23 <draco31fr>	(proche toulouse) <|> toulouse

203 Mot inconnu : draco31fr => nov. 30 21:39:33 <YoBoY>	draco31fr: cool :) <|> draco31fr

204 Mot inconnu : install => nov. 30 21:39:36 <kinouchou>	il y a eu l'install party de paris8 au fait <|> install
204 Mot inconnu : party => nov. 30 21:39:36 <kinouchou>	il y a eu l'install party de paris8 au fait <|> party
204 Mot inconnu : paris8 => nov. 30 21:39:36 <kinouchou>	il y a eu l'install party de paris8 au fait <|> paris8

205 Mot inconnu : draco31fr => nov. 30 21:39:54 <kinouchou>	draco31fr: tu penseras à un article pour ubuntu-party? <|> draco31fr
205 Mot inconnu : ubuntu-party => nov. 30 21:39:54 <kinouchou>	draco31fr: tu penseras à un article pour ubuntu-party? <|> ubuntu-party

206 Mot inconnu : yep => nov. 30 21:40:02 <draco31fr>	yep <|> yep

208 Conjugaison erronée. Accord avec “on”. Le verbe devrait être à la 3ᵉ personne du singulier. => nov. 30 21:40:19 <draco31fr>	mais j'ai toujours pas compris comment on publiais sur ce site <|> publiais => suggestions : ['publiait']

209 Mot inconnu : ᴖ_ᴖ => nov. 30 21:40:38 <McPeter>	ᴖ_ᴖ <|> ᴖ_ᴖ

210 Incohérence avec “je” : “mail” devrait être un verbe, un pronom objet, un adverbe de négation, etc. => nov. 30 21:40:39 <draco31fr>	je te mail au pire (encore !!) <|> mail => suggestions : []

211 Mot inconnu : draco31fr => nov. 30 21:40:39 <huats>	(draco31fr, tu en parleras avec kinouchou en privé :) ) <|> draco31fr
211 Mot inconnu : kinouchou => nov. 30 21:40:39 <huats>	(draco31fr, tu en parleras avec kinouchou en privé :) ) <|> kinouchou
211 Pas d’espace avant ce signe. => nov. 30 21:40:39 <huats>	(draco31fr, tu en parleras avec kinouchou en privé :) ) <|>  ) => suggestions : [')']

212 Accord de nombre erroné : « coin » devrait être au pluriel. => nov. 30 21:40:50 <YoBoY>	donc oui, vous avez des idées pour des évènements dans vos coin pour la fin / début d'année ? <|> coin => suggestions : ['coins']

213 Mot inconnu : YoBoY => nov. 30 21:40:58 <huats>	YoBoY, on t'écoute pour les Ubuntu hour :) <|> yoboy
213 Mot inconnu : hour => nov. 30 21:40:58 <huats>	YoBoY, on t'écoute pour les Ubuntu hour :) <|> hour

214 Pas d’espace avant ce signe. => nov. 30 21:41:12 <huats>	car comme tu le soulignais pourquoi ne pas essayer de le faire un peu partout ) <|>  ) => suggestions : [')']

215 Mot inconnu : Telethon => nov. 30 21:41:15 <Zobjo_O>	il n'y avait pas eu une réflexion pour un truc par rapport au Telethon <|> telethon

216 Mot inconnu : YoBoY => nov. 30 21:41:17 <avelldiroll>	YoBoY: ca compte d'offrir des framakey à mes nièces ? <|> yoboy
216 Mot inconnu : ca => nov. 30 21:41:17 <avelldiroll>	YoBoY: ca compte d'offrir des framakey à mes nièces ? <|> ca
216 Mot inconnu : framakey => nov. 30 21:41:17 <avelldiroll>	YoBoY: ca compte d'offrir des framakey à mes nièces ? <|> framakey

218 Mot inconnu : huats => nov. 30 21:41:27 <YoBoY>	huats: ba ya rien à en dire, choisissez un lieu, une date, faite passez l'info, et les gens viendront :p <|> huats
218 Mot inconnu : ya => nov. 30 21:41:27 <YoBoY>	huats: ba ya rien à en dire, choisissez un lieu, une date, faite passez l'info, et les gens viendront :p <|> ya
218 Après le verbe “faire”, ce verbe devrait être à l’infinitif. => nov. 30 21:41:27 <YoBoY>	huats: ba ya rien à en dire, choisissez un lieu, une date, faite passez l'info, et les gens viendront :p <|> passez => suggestions : ['passer']

219 Mot inconnu : PSL => nov. 30 21:41:28 <vincentxavier>	on devrait disposer de l'espace atelier pour les PSL à partir de janvier <|> psl

220 Mot inconnu : avelldiroll => nov. 30 21:41:29 <McPeter>	avelldiroll, :) <|> avelldiroll
220 Une de ces ponctuations est superflue. => nov. 30 21:41:29 <McPeter>	avelldiroll, :) <|> , : => suggestions : [',', ':']

221 Mot inconnu : Hour => nov. 30 21:41:45 <YoBoY>	on va aussi choisir un nom, Ubuntu Hour ça fait trop... anglais <|> hour
221 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 21:41:45 <YoBoY>	on va aussi choisir un nom, Ubuntu Hour ça fait trop... anglais <|> ... => suggestions : ['…']

222 Mot inconnu : avelldiroll => nov. 30 21:41:57 <YoBoY>	avelldiroll: nan, mais c'est gentil pour elles :) <|> avelldiroll
222 Mot inconnu : nan => nov. 30 21:41:57 <YoBoY>	avelldiroll: nan, mais c'est gentil pour elles :) <|> nan
223 Mot inconnu : party => nov. 30 21:42:05 <spineaker>	c'est vrai que ubuntu party ça fait français ^^ <|> party

224 Guillemets typographiques ouvrants. => nov. 30 21:42:06 <McPeter>	"Ubuntu Rencontre" mmh .. ça fait  <|> " => suggestions : ['«\xa0', '“']
224 Guillemets typographiques fermants. => nov. 30 21:42:06 <McPeter>	"Ubuntu Rencontre" mmh .. ça fait  <|> " => suggestions : ['\xa0»', '”']
224 Mot inconnu : mmh => nov. 30 21:42:06 <McPeter>	"Ubuntu Rencontre" mmh .. ça fait  <|> mmh
224 Typographie : un ou trois points ? => nov. 30 21:42:06 <McPeter>	"Ubuntu Rencontre" mmh .. ça fait  <|> .. => suggestions : ['…', '.']

225 Mot inconnu : spineaker => nov. 30 21:42:15 <YoBoY>	spineaker: trop tard pour en changer <|> spineaker

227 Mot inconnu : huats => nov. 30 21:42:25 <McPeter>	huats, c'est court :p <|> huats

229 Doublon. => nov. 30 21:42:29 <huats>	oui oui :) <|> oui oui => suggestions : ['oui']
231 Mot inconnu : apero => nov. 30 21:42:34 <avelldiroll>	ubuntu apero ... y a quoi à faire d'autre en 1h ? <|> apero
231 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 21:42:34 <avelldiroll>	ubuntu apero ... y a quoi à faire d'autre en 1h ? <|> ... => suggestions : ['…']

233 Mot inconnu : YoBoY => nov. 30 21:42:42 <McPeter>	YoBoY, ahaha <|> yoboy
233 Mot inconnu : ahaha => nov. 30 21:42:42 <McPeter>	YoBoY, ahaha <|> ahaha

238 Mot inconnu : YoBoY => nov. 30 21:42:54 <huats>	YoBoY, j'aime ! <|> yoboy

242 Mot inconnu : draco31fr => nov. 30 21:43:07 <YoBoY>	draco31fr: discussion uniquement <|> draco31fr

244 Mot inconnu : draco31fr => nov. 30 21:43:15 <McPeter>	draco31fr, blablater <|> draco31fr

249 Mot inconnu : aldian => nov. 30 21:43:29 <YoBoY>	aldian: yen a trop des anglais :D <|> aldian
249 S’il s’agit d’un gentilé, mettez une majuscule. => nov. 30 21:43:29 <YoBoY>	aldian: yen a trop des anglais :D <|> anglais => suggestions : ['Anglais']

250 Mot inconnu : aldian => nov. 30 21:43:34 <McPeter>	aldian, parcqu'on est francophone <|> aldian
250 Mot inconnu : parcqu'on => nov. 30 21:43:34 <McPeter>	aldian, parcqu'on est francophone <|> parcqu'on

251 Mot inconnu : aldian => nov. 30 21:43:36 <olive>	aldian: à cause du fr de ubuntu-fr <|> aldian
251 Élision de l’article devant un mot commençant par une voyelle. => nov. 30 21:43:36 <olive>	aldian: à cause du fr de ubuntu-fr <|> de  => suggestions : ['d’']
251 Mot inconnu : ubuntu-fr => nov. 30 21:43:36 <olive>	aldian: à cause du fr de ubuntu-fr <|> ubuntu-fr

252 Mot inconnu : draco31fr => nov. 30 21:43:39 <huats>	draco31fr, le but c'est de parler de se réunir et de parler de Ubuntu... <|> draco31fr
252 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 21:43:39 <huats>	draco31fr, le but c'est de parler de se réunir et de parler de Ubuntu... <|> ... => suggestions : ['…']

254 Mot inconnu : draco31fr => nov. 30 21:43:58 <huats>	draco31fr, un peu comme les afpyro mais pour ubuntu <|> draco31fr
254 Mot inconnu : afpyro => nov. 30 21:43:58 <huats>	draco31fr, un peu comme les afpyro mais pour ubuntu <|> afpyro

255 Mot inconnu : oki => nov. 30 21:44:04 <draco31fr>	oki <|> oki

257 Mot inconnu : aldian => nov. 30 21:44:12 <snip_>	aldian: j'y tiens beaucoup au fr <|> aldian

258 Mot inconnu : YoBoY => nov. 30 21:44:34 <spineaker>	YoBoY, on compte sur toi :) <|> yoboy

259 Mot inconnu : draco31fr => nov. 30 21:44:38 <huats>	draco31fr, c'est une idée de lancer un truc comme ça sur Toulouse... <|> draco31fr
259 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 21:44:38 <huats>	draco31fr, c'est une idée de lancer un truc comme ça sur Toulouse... <|> ... => suggestions : ['…']

261 Mot inconnu : YoBoY => nov. 30 21:44:56 <kinouchou>	YoBoY: de préférence un dimanche les samedi commencent à être chargés :) <|> yoboy

263 Mot inconnu : Toulibre => nov. 30 21:45:03 <draco31fr>	y a déjà les rencontres Toulibre, mais faut trouver un créneau et un lieu différent <|> toulibre
264 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 21:45:10 <huats>	se retrouver un soir en semaine à 19h par ex dans un bar sympa... <|> ... => suggestions : ['…']

265 Espace(s) surnuméraire(s) à supprimer. => nov. 30 21:45:10 <YoBoY>	donc voila, pour Paris on fixera la date et le lien pour la  fin de la semaine, et on annoncera ça, si vous voulez suivre l'exemple, n'hésitez pas <|>    => suggestions : [' ']
266 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 21:45:17 <snip_>	olive: ... <|> ... => suggestions : ['…']

268 Mot inconnu : YoBoY => nov. 30 21:45:25 <vincentxavier>	YoBoY: tu comptais faire un rdv fixe ? <|> yoboy
268 Mot inconnu : rdv => nov. 30 21:45:25 <vincentxavier>	YoBoY: tu comptais faire un rdv fixe ? <|> rdv

269 Mot inconnu : vincentxavier => nov. 30 21:45:37 <YoBoY>	vincentxavier: pourquoi pas... à voir comment ça se passe <|> vincentxavier
269 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 21:45:37 <YoBoY>	vincentxavier: pourquoi pas... à voir comment ça se passe <|> ... => suggestions : ['…']

270 Mot inconnu : huats => nov. 30 21:46:02 <draco31fr>	huats, ça peut se faire avec l'utopia <|> huats
270 Mot inconnu : utopia => nov. 30 21:46:02 <draco31fr>	huats, ça peut se faire avec l'utopia <|> utopia

271 Mot inconnu : rdv => nov. 30 21:46:02 <mydjey>	un peu dans le même esprit, à Lyon on organise Les Jeudis de La Bidouille (prochain rdv : le 16 décembre) voir : http://www.ubuntu-lyon.org/?page=News&news=255 <|> rdv

272 Mot inconnu : mydjey => nov. 30 21:46:17 <YoBoY>	mydjey: cool :) <|> mydjey

273 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => nov. 30 21:46:49 <huats>	draco31fr, oui mais tournefeuille pour avoir un coté bar... et c'est mieux dans toulouse je trouve. On enparle plus tard en privé... <|> nov => suggestions : ['Nov']
273 Mot inconnu : draco31fr => nov. 30 21:46:49 <huats>	draco31fr, oui mais tournefeuille pour avoir un coté bar... et c'est mieux dans toulouse je trouve. On enparle plus tard en privé... <|> draco31fr
273 Mot inconnu : tournefeuille => nov. 30 21:46:49 <huats>	draco31fr, oui mais tournefeuille pour avoir un coté bar... et c'est mieux dans toulouse je trouve. On enparle plus tard en privé... <|> tournefeuille
273 Confusion : “coté” est le participe passé du verbe “coter”. => nov. 30 21:46:49 <huats>	draco31fr, oui mais tournefeuille pour avoir un coté bar... et c'est mieux dans toulouse je trouve. On enparle plus tard en privé... <|> coté => suggestions : ['côté']
273 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 21:46:49 <huats>	draco31fr, oui mais tournefeuille pour avoir un coté bar... et c'est mieux dans toulouse je trouve. On enparle plus tard en privé... <|> ... => suggestions : ['…']
273 Mot inconnu : toulouse => nov. 30 21:46:49 <huats>	draco31fr, oui mais tournefeuille pour avoir un coté bar... et c'est mieux dans toulouse je trouve. On enparle plus tard en privé... <|> toulouse
273 Mot inconnu : enparle => nov. 30 21:46:49 <huats>	draco31fr, oui mais tournefeuille pour avoir un coté bar... et c'est mieux dans toulouse je trouve. On enparle plus tard en privé... <|> enparle
273 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 21:46:49 <huats>	draco31fr, oui mais tournefeuille pour avoir un coté bar... et c'est mieux dans toulouse je trouve. On enparle plus tard en privé... <|> ... => suggestions : ['…']

274 Mot inconnu : yes => nov. 30 21:47:04 <draco31fr>	yes <|> yes

275 Mot inconnu : ok => nov. 30 21:47:22 <YoBoY>	ok, ça va être sympa tout ça :) <|> ok

277 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => nov. 30 21:47:54 <YoBoY>	* 3 - Réorganisation de notre présence sur LaunchPad <|>  -  => suggestions : [' – ', ' — ', ' − ']
277 Mot inconnu : LaunchPad => nov. 30 21:47:54 <YoBoY>	* 3 - Réorganisation de notre présence sur LaunchPad <|> launchpad

280 Mot inconnu : mydjey => nov. 30 21:48:05 <McPeter>	mydjey, vous allez promouvoir du joomla ? :'( <|> mydjey
280 Mot inconnu : joomla => nov. 30 21:48:05 <McPeter>	mydjey, vous allez promouvoir du joomla ? :'( <|> joomla

281 Mot inconnu : YoBoY => nov. 30 21:48:10 <avelldiroll>	YoBoY: je ne me rappelle plus si ça avait été précisé, mais giroll ouvre ses portes tous les jeudi soir pour toutes questions de support/bidouille/troll, avec des ateliers plus spécifiques organisé 2 fois par mois (le prochain c'est sur asterisk) <|> yoboy
281 Mot inconnu : giroll => nov. 30 21:48:10 <avelldiroll>	YoBoY: je ne me rappelle plus si ça avait été précisé, mais giroll ouvre ses portes tous les jeudi soir pour toutes questions de support/bidouille/troll, avec des ateliers plus spécifiques organisé 2 fois par mois (le prochain c'est sur asterisk) <|> giroll
281 Mot inconnu : asterisk => nov. 30 21:48:10 <avelldiroll>	YoBoY: je ne me rappelle plus si ça avait été précisé, mais giroll ouvre ses portes tous les jeudi soir pour toutes questions de support/bidouille/troll, avec des ateliers plus spécifiques organisé 2 fois par mois (le prochain c'est sur asterisk) <|> asterisk

282 Mot inconnu : Launchpad => nov. 30 21:48:33 <YoBoY>	actuellement sur Launchpad, nos équipes sont organisées comme ça : http://yoboy.fr/ufr_lp_orga.png <|> launchpad

283 Mot inconnu : McPeter => nov. 30 21:48:57 <FLOZz>	McPeter: Na ! <|> mcpeter

284 Mot inconnu : avelldiroll => nov. 30 21:49:07 <YoBoY>	avelldiroll: j'ai déjà lu ça sur votre site il me semble, et vous faîtes très bien, c'est dans le même esprit que le premier samedi parisien <|> avelldiroll
284 Confusion. Le faîte (≠ faire) est le point culminant de quelque chose. => nov. 30 21:49:07 <YoBoY>	avelldiroll: j'ai déjà lu ça sur votre site il me semble, et vous faîtes très bien, c'est dans le même esprit que le premier samedi parisien <|> faîtes => suggestions : ['faites']

286 Mot inconnu : FLOZz => nov. 30 21:49:17 *	[FLOZz] (~FLOZz@pdpc/supporter/active/flozz): Fabien LOISON <|> flozz
286 Mot inconnu : FLOZz => nov. 30 21:49:17 *	[FLOZz] (~FLOZz@pdpc/supporter/active/flozz): Fabien LOISON <|> flozz
286 Mot inconnu : flozz => nov. 30 21:49:17 *	[FLOZz] (~FLOZz@pdpc/supporter/active/flozz): Fabien LOISON <|> flozz
286 Mot inconnu : LOISON => nov. 30 21:49:17 *	[FLOZz] (~FLOZz@pdpc/supporter/active/flozz): Fabien LOISON <|> loison

287 Mot inconnu : FLOZz => nov. 30 21:49:17 *	[FLOZz] #ubuntu-fr-meeting #ubuntu-fr-party #ubuntu-fr-asso #ubuntu-fr ##tdct  <|> flozz

288 Mot inconnu : FLOZz => nov. 30 21:49:17 *	[FLOZz] anthony.freenode.net :Irvine, CA, USA <|> flozz
288 Mot inconnu : Irvine => nov. 30 21:49:17 *	[FLOZz] anthony.freenode.net :Irvine, CA, USA <|> irvine

289 Mot inconnu : FLOZz => nov. 30 21:49:17 *	[FLOZz] est absent (Enfin rentré !!!) <|> flozz

290 Mot inconnu : FLOZz => nov. 30 21:49:17 *	[FLOZz] inactif  00:00:19, ouverture de session : Tue Nov 30 20:07:03 <|> flozz
290 Espace(s) surnuméraire(s) à supprimer. => nov. 30 21:49:17 *	[FLOZz] inactif  00:00:19, ouverture de session : Tue Nov 30 20:07:03 <|>    => suggestions : [' ']

291 Mot inconnu : FLOZz => nov. 30 21:49:17 *	[FLOZz] is logged in as FLOZz <|> flozz
291 Mot inconnu : is => nov. 30 21:49:17 *	[FLOZz] is logged in as FLOZz <|> is
291 Mot inconnu : logged => nov. 30 21:49:17 *	[FLOZz] is logged in as FLOZz <|> logged
291 Mot inconnu : FLOZz => nov. 30 21:49:17 *	[FLOZz] is logged in as FLOZz <|> flozz

292 Mot inconnu : FLOZz => nov. 30 21:49:17 *	[FLOZz] Fin de la liste WHOIS. <|> flozz
292 Mot inconnu : WHOIS => nov. 30 21:49:17 *	[FLOZz] Fin de la liste WHOIS. <|> whois

293 Mot inconnu : McPeter => nov. 30 21:49:27 <mydjey>	McPeter: ça c'est les Jeudis du Libre, c'est l'ALDIL qui organise çs tombe pas en même temps que Les Jeudis de la Bidouille (oui faut suivre ^^) <|> mcpeter
293 Mot inconnu : ALDIL => nov. 30 21:49:27 <mydjey>	McPeter: ça c'est les Jeudis du Libre, c'est l'ALDIL qui organise çs tombe pas en même temps que Les Jeudis de la Bidouille (oui faut suivre ^^) <|> aldil
293 Mot inconnu : çs => nov. 30 21:49:27 <mydjey>	McPeter: ça c'est les Jeudis du Libre, c'est l'ALDIL qui organise çs tombe pas en même temps que Les Jeudis de la Bidouille (oui faut suivre ^^) <|> çs

294 Si vous exprimez un souhait, utilisez le conditionnel et non le futur. => nov. 30 21:49:35 <YoBoY>	et si vous êtes d'accord, j'aimerai qu'on passe à ça : http://yoboy.fr/ufr_lp_orga_futur.png <|> aimerai => suggestions : ['aimerais']

296 Mot inconnu : spineaker => nov. 30 21:50:57 *	spineaker n'est pas concerné <|> spineaker

297 Mot inconnu : vincentxavier => nov. 30 21:51:08 *	vincentxavier pense que c'est cool :) <|> vincentxavier

299 Mot inconnu : YoBoY => nov. 30 21:51:26 <McPeter>	YoBoY, sans chercher la puce <|> yoboy

300 Mot inconnu : YoBoY => nov. 30 21:51:30 <avelldiroll>	YoBoY: je ne vois pas la distinction entre ~ubuntu-fr et ~ubuntu-fr-asso ? <|> yoboy
300 Mot inconnu : ubuntu-fr => nov. 30 21:51:30 <avelldiroll>	YoBoY: je ne vois pas la distinction entre ~ubuntu-fr et ~ubuntu-fr-asso ? <|> ubuntu-fr
300 Mot inconnu : ubuntu-fr-asso => nov. 30 21:51:30 <avelldiroll>	YoBoY: je ne vois pas la distinction entre ~ubuntu-fr et ~ubuntu-fr-asso ? <|> ubuntu-fr-asso

301 Ni apostrophe ni trait d’union après “y”. => nov. 30 21:51:40 <McPeter>	y'a une raison de la jointure de branche entre -trad et -irc ? <|> y'a => suggestions : ['y a']
301 Mot inconnu : y'a => nov. 30 21:51:40 <McPeter>	y'a une raison de la jointure de branche entre -trad et -irc ? <|> y'a
301 Il manque un espace à côté du tiret. => nov. 30 21:51:40 <McPeter>	y'a une raison de la jointure de branche entre -trad et -irc ? <|>  - => suggestions : [' – ', ' — ']
301 Il manque un espace à côté du tiret. => nov. 30 21:51:40 <McPeter>	y'a une raison de la jointure de branche entre -trad et -irc ? <|>  - => suggestions : [' – ', ' — ']
301 Mot inconnu : irc => nov. 30 21:51:40 <McPeter>	y'a une raison de la jointure de branche entre -trad et -irc ? <|> irc

302 Mot inconnu : avelldiroll => nov. 30 21:51:43 <YoBoY>	avelldiroll: asso c'est le bureau <|> avelldiroll
302 Mot inconnu : asso => nov. 30 21:51:43 <YoBoY>	avelldiroll: asso c'est le bureau <|> asso

303 Mot inconnu : ok => nov. 30 21:51:51 <avelldiroll>	ok <|> ok
305 Pas d’espace avant ce signe. => nov. 30 21:52:01 <kanor>	ça me semble pas mal (comment c'est gérer les ML actuellement personne est en charge de cette partie ? ) <|>  ) => suggestions : [')']

306 Mot inconnu : helly => nov. 30 21:52:07 *	helly (~helly@AOrleans-156-1-116-106.w90-44.abo.wanadoo.fr) a quitté #ubuntu-fr-meeting ("WeeChat 0.3.4-dev") <|> helly
306 Mot inconnu : helly => nov. 30 21:52:07 *	helly (~helly@AOrleans-156-1-116-106.w90-44.abo.wanadoo.fr) a quitté #ubuntu-fr-meeting ("WeeChat 0.3.4-dev") <|> helly
306 Mot inconnu : w90-44 => nov. 30 21:52:07 *	helly (~helly@AOrleans-156-1-116-106.w90-44.abo.wanadoo.fr) a quitté #ubuntu-fr-meeting ("WeeChat 0.3.4-dev") <|> w90-44
306 Guillemets typographiques ouvrants. => nov. 30 21:52:07 *	helly (~helly@AOrleans-156-1-116-106.w90-44.abo.wanadoo.fr) a quitté #ubuntu-fr-meeting ("WeeChat 0.3.4-dev") <|> " => suggestions : ['«\xa0', '“']
306 Mot inconnu : WeeChat => nov. 30 21:52:07 *	helly (~helly@AOrleans-156-1-116-106.w90-44.abo.wanadoo.fr) a quitté #ubuntu-fr-meeting ("WeeChat 0.3.4-dev") <|> weechat
306 Mot inconnu : dev => nov. 30 21:52:07 *	helly (~helly@AOrleans-156-1-116-106.w90-44.abo.wanadoo.fr) a quitté #ubuntu-fr-meeting ("WeeChat 0.3.4-dev") <|> dev
