1 Espace(s) surnuméraire(s) à supprimer. [[33:35]] => ====== LIRC, dans le vif du sujet  ! ====== <|>    => suggestions :  
176 Accord de genre erroné : « socket » est masculin. [[0:5]] => Cette socket est nommée /dev/lircd le plus souvent. Si vous souhaitez donner son chemin vous même (par exemple si vous en avez plusieurs), il est défini par le paramètre –output du démon lircd. La plupart des application vont se connecter à /dev/lircd, mais certaines d’entre elles peuvent être configurées pour se connecter au chemin de votre choix (c’est le cas par exemple de mon cher mythtv qui possède ce paramètre dans un coin de la configuration du frontend). Je vous conseille de tout laisser par défaut, c’est suffisant pour 90% des cas. <|> cette => suggestions : Ce
176 Il manque un trait d’union si “même” se rapporte à “vous”. [[88:97]] => Cette socket est nommée /dev/lircd le plus souvent. Si vous souhaitez donner son chemin vous même (par exemple si vous en avez plusieurs), il est défini par le paramètre –output du démon lircd. La plupart des application vont se connecter à /dev/lircd, mais certaines d’entre elles peuvent être configurées pour se connecter au chemin de votre choix (c’est le cas par exemple de mon cher mythtv qui possède ce paramètre dans un coin de la configuration du frontend). Je vous conseille de tout laisser par défaut, c’est suffisant pour 90% des cas. <|> vous même => suggestions : vous-même
176 Il manque un espace à côté du tiret. [[169:171]] => Cette socket est nommée /dev/lircd le plus souvent. Si vous souhaitez donner son chemin vous même (par exemple si vous en avez plusieurs), il est défini par le paramètre –output du démon lircd. La plupart des application vont se connecter à /dev/lircd, mais certaines d’entre elles peuvent être configurées pour se connecter au chemin de votre choix (c’est le cas par exemple de mon cher mythtv qui possède ce paramètre dans un coin de la configuration du frontend). Je vous conseille de tout laisser par défaut, c’est suffisant pour 90% des cas. <|>  – => suggestions :  –  — 
176 Mot inconnu : lircd [[187:192]] => Cette socket est nommée /dev/lircd le plus souvent. Si vous souhaitez donner son chemin vous même (par exemple si vous en avez plusieurs), il est défini par le paramètre –output du démon lircd. La plupart des application vont se connecter à /dev/lircd, mais certaines d’entre elles peuvent être configurées pour se connecter au chemin de votre choix (c’est le cas par exemple de mon cher mythtv qui possède ce paramètre dans un coin de la configuration du frontend). Je vous conseille de tout laisser par défaut, c’est suffisant pour 90% des cas. <|> lircd
176 Accord de nombre erroné : « application » devrait être au pluriel. [[209:220]] => Cette socket est nommée /dev/lircd le plus souvent. Si vous souhaitez donner son chemin vous même (par exemple si vous en avez plusieurs), il est défini par le paramètre –output du démon lircd. La plupart des application vont se connecter à /dev/lircd, mais certaines d’entre elles peuvent être configurées pour se connecter au chemin de votre choix (c’est le cas par exemple de mon cher mythtv qui possède ce paramètre dans un coin de la configuration du frontend). Je vous conseille de tout laisser par défaut, c’est suffisant pour 90% des cas. <|> application => suggestions : applications
176 Mot inconnu : mythtv [[388:394]] => Cette socket est nommée /dev/lircd le plus souvent. Si vous souhaitez donner son chemin vous même (par exemple si vous en avez plusieurs), il est défini par le paramètre –output du démon lircd. La plupart des application vont se connecter à /dev/lircd, mais certaines d’entre elles peuvent être configurées pour se connecter au chemin de votre choix (c’est le cas par exemple de mon cher mythtv qui possède ce paramètre dans un coin de la configuration du frontend). Je vous conseille de tout laisser par défaut, c’est suffisant pour 90% des cas. <|> mythtv
176 Mot inconnu : frontend [[456:464]] => Cette socket est nommée /dev/lircd le plus souvent. Si vous souhaitez donner son chemin vous même (par exemple si vous en avez plusieurs), il est défini par le paramètre –output du démon lircd. La plupart des application vont se connecter à /dev/lircd, mais certaines d’entre elles peuvent être configurées pour se connecter au chemin de votre choix (c’est le cas par exemple de mon cher mythtv qui possède ce paramètre dans un coin de la configuration du frontend). Je vous conseille de tout laisser par défaut, c’est suffisant pour 90% des cas. <|> frontend
178 Accord de genre erroné : « socket » est masculin. [[134:136]] => Vous l’avez compris, mais je me permets de le rappeler : pour qu’une application fonctionne avec LIRC, il faut qu’elle se branche sur la socket unix, et donc qu’elle ait été codée pour çà ! Cela semble évident au premier abord mais c’est pourtant loin d’être automatique si l’on se réfère aux questions qu’on trouve souvent sur les forums. <|> la => suggestions : le
178 Mot inconnu : unix [[144:148]] => Vous l’avez compris, mais je me permets de le rappeler : pour qu’une application fonctionne avec LIRC, il faut qu’elle se branche sur la socket unix, et donc qu’elle ait été codée pour çà ! Cela semble évident au premier abord mais c’est pourtant loin d’être automatique si l’on se réfère aux questions qu’on trouve souvent sur les forums. <|> unix
178 Confusion : « çà » ne s’emploie plus guère que dans l’expression « çà et là ». [[185:187]] => Vous l’avez compris, mais je me permets de le rappeler : pour qu’une application fonctionne avec LIRC, il faut qu’elle se branche sur la socket unix, et donc qu’elle ait été codée pour çà ! Cela semble évident au premier abord mais c’est pourtant loin d’être automatique si l’on se réfère aux questions qu’on trouve souvent sur les forums. <|> çà => suggestions : ça

182 Mot inconnu : lircrc [[19:25]] => ==== /home/<user>/.lircrc ====  <|> lircrc
182 Espace(s) en fin de ligne à supprimer. [[30:31]] => ==== /home/<user>/.lircrc ====  <|>  

186 Accord de genre erroné : « socket » est masculin. [[33:35]] => Les applications se connectent à la socket lircd, OK. Mais comment l’application sait quoi faire selon la touche pressée? C’est ici qu’intervient le fichier .lircrc. <|> la => suggestions : le
186 Mot inconnu : lircd [[43:48]] => Les applications se connectent à la socket lircd, OK. Mais comment l’application sait quoi faire selon la touche pressée? C’est ici qu’intervient le fichier .lircrc. <|> lircd
186 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[156:158]] => Les applications se connectent à la socket lircd, OK. Mais comment l’application sait quoi faire selon la touche pressée? C’est ici qu’intervient le fichier .lircrc. <|>  . => suggestions : .. 
186 Mot inconnu : lircrc [[158:164]] => Les applications se connectent à la socket lircd, OK. Mais comment l’application sait quoi faire selon la touche pressée? C’est ici qu’intervient le fichier .lircrc. <|> lircrc

188 Il manque un trait d’union. [[10:19]] => En effet, celles ci parcourent immanquablement le fichier ~/.lircrc (et les éventuels sous fichier inclus avec la directive include), y repèrent leur propre marqueur (c’est le rôle de l’attribut " prog " ), et enregistre la carte des événements déclenchés en fonction des touches appuyées. Exemple : <|> celles ci => suggestions : celles-ci
188 Mot inconnu : lircrc [[61:67]] => En effet, celles ci parcourent immanquablement le fichier ~/.lircrc (et les éventuels sous fichier inclus avec la directive include), y repèrent leur propre marqueur (c’est le rôle de l’attribut " prog " ), et enregistre la carte des événements déclenchés en fonction des touches appuyées. Exemple : <|> lircrc
188 Mot inconnu : include [[124:131]] => En effet, celles ci parcourent immanquablement le fichier ~/.lircrc (et les éventuels sous fichier inclus avec la directive include), y repèrent leur propre marqueur (c’est le rôle de l’attribut " prog " ), et enregistre la carte des événements déclenchés en fonction des touches appuyées. Exemple : <|> include
188 Guillemets isolés. [[194:197]] => En effet, celles ci parcourent immanquablement le fichier ~/.lircrc (et les éventuels sous fichier inclus avec la directive include), y repèrent leur propre marqueur (c’est le rôle de l’attribut " prog " ), et enregistre la carte des événements déclenchés en fonction des touches appuyées. Exemple : <|>  "  => suggestions :  «  “ » ” 
188 Mot inconnu : prog [[197:201]] => En effet, celles ci parcourent immanquablement le fichier ~/.lircrc (et les éventuels sous fichier inclus avec la directive include), y repèrent leur propre marqueur (c’est le rôle de l’attribut " prog " ), et enregistre la carte des événements déclenchés en fonction des touches appuyées. Exemple : <|> prog
188 Guillemets isolés. [[201:204]] => En effet, celles ci parcourent immanquablement le fichier ~/.lircrc (et les éventuels sous fichier inclus avec la directive include), y repèrent leur propre marqueur (c’est le rôle de l’attribut " prog " ), et enregistre la carte des événements déclenchés en fonction des touches appuyées. Exemple : <|>  "  => suggestions :  «  “ » ” 
188 Pas d’espace avant ce signe. [[203:205]] => En effet, celles ci parcourent immanquablement le fichier ~/.lircrc (et les éventuels sous fichier inclus avec la directive include), y repèrent leur propre marqueur (c’est le rôle de l’attribut " prog " ), et enregistre la carte des événements déclenchés en fonction des touches appuyées. Exemple : <|>  ) => suggestions : )
197 Mot inconnu : Play [[23:27]] => L’appui de la touche « Play » (touche nommée ainsi dans le fichier /etc/lirc/lircd.conf qui établit la correspondance nom <–> code infrarouge), provoque l’événement « pause » dans l’application mplayer. <|> play
200 Accord de nombre erroné : « application » devrait être au pluriel. [[71:82]] => Plusieurs possibilités : des gens distribuent leur propre fichier, les application peuvent proposer leurs fichiers, ... <|> application => suggestions : applications
200 Une de ces ponctuations est superflue. [[114:117]] => Plusieurs possibilités : des gens distribuent leur propre fichier, les application peuvent proposer leurs fichiers, ... <|> , . => suggestions : ,.
200 Typographie : points de suspension. Utilisez le caractère dédié. [[116:119]] => Plusieurs possibilités : des gens distribuent leur propre fichier, les application peuvent proposer leurs fichiers, ... <|> ... => suggestions : …

204 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. [[4:5]] => === A savoir pour le faire soi-même === <|> a => suggestions : À

229 Mot inconnu : IRexec [[3:9]] => == IRexec == <|> irexec

231 Mot inconnu : IRexec [[0:6]] => IRexec permet de lancer une application sur la pression d'une touche. La syntaxe est la suivante : <|> irexec

233 Mot inconnu : begin [[0:5]] => begin <|> begin

237 Mot inconnu : end [[0:3]] => end <|> end

241 Mot inconnu : IRKick [[3:9]] => == IRKick == <|> irkick

248 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. [[0:5]] => lircd est un démon qui s’interface avec un périphérique /dev/machinX (donc le fichier bloc est créé par un module noyau appartenant parfois au projet LIRC) selon un protocole de communication appelé « driver » par LIRC. Une fois que lircd est lancé, celui ci va à son tour lire un fichier de conf (/etc/lirc/lircd.conf par défaut). Ce fichier décrit les codes infrarouges susceptibles d’être échangés avec le périphérique (les codes sont regroupés en appareil). Le démon créé ensuite une socket de type /dev/lircdX avec lequel les programmes peuvent s’interfacer facilement. <|> lircd => suggestions : Lircd
248 Mot inconnu : lircd [[0:5]] => lircd est un démon qui s’interface avec un périphérique /dev/machinX (donc le fichier bloc est créé par un module noyau appartenant parfois au projet LIRC) selon un protocole de communication appelé « driver » par LIRC. Une fois que lircd est lancé, celui ci va à son tour lire un fichier de conf (/etc/lirc/lircd.conf par défaut). Ce fichier décrit les codes infrarouges susceptibles d’être échangés avec le périphérique (les codes sont regroupés en appareil). Le démon créé ensuite une socket de type /dev/lircdX avec lequel les programmes peuvent s’interfacer facilement. <|> lircd
248 Mot inconnu : lircd [[233:238]] => lircd est un démon qui s’interface avec un périphérique /dev/machinX (donc le fichier bloc est créé par un module noyau appartenant parfois au projet LIRC) selon un protocole de communication appelé « driver » par LIRC. Une fois que lircd est lancé, celui ci va à son tour lire un fichier de conf (/etc/lirc/lircd.conf par défaut). Ce fichier décrit les codes infrarouges susceptibles d’être échangés avec le périphérique (les codes sont regroupés en appareil). Le démon créé ensuite une socket de type /dev/lircdX avec lequel les programmes peuvent s’interfacer facilement. <|> lircd
248 Il manque un trait d’union. [[250:258]] => lircd est un démon qui s’interface avec un périphérique /dev/machinX (donc le fichier bloc est créé par un module noyau appartenant parfois au projet LIRC) selon un protocole de communication appelé « driver » par LIRC. Une fois que lircd est lancé, celui ci va à son tour lire un fichier de conf (/etc/lirc/lircd.conf par défaut). Ce fichier décrit les codes infrarouges susceptibles d’être échangés avec le périphérique (les codes sont regroupés en appareil). Le démon créé ensuite une socket de type /dev/lircdX avec lequel les programmes peuvent s’interfacer facilement. <|> celui ci => suggestions : celui-ci
248 Accord de genre erroné : « socket » est masculin. [[484:487]] => lircd est un démon qui s’interface avec un périphérique /dev/machinX (donc le fichier bloc est créé par un module noyau appartenant parfois au projet LIRC) selon un protocole de communication appelé « driver » par LIRC. Une fois que lircd est lancé, celui ci va à son tour lire un fichier de conf (/etc/lirc/lircd.conf par défaut). Ce fichier décrit les codes infrarouges susceptibles d’être échangés avec le périphérique (les codes sont regroupés en appareil). Le démon créé ensuite une socket de type /dev/lircdX avec lequel les programmes peuvent s’interfacer facilement. <|> une => suggestions : un

249 Accord de genre erroné : « cette belle » est féminin, « socket » est masculin. [[43:49]] => Les programmes se connectent à cette belle socket, lisent un fichier de conf .lircrc dans le home de l’utilisateur, repèrent le mappage touche <–> événement à déclencher, et VOUS POUVEZ ENFIN REGARDER DES VIDEOS DEPUIS VOTRE CANAPE. <|> socket
249 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[76:78]] => Les programmes se connectent à cette belle socket, lisent un fichier de conf .lircrc dans le home de l’utilisateur, repèrent le mappage touche <–> événement à déclencher, et VOUS POUVEZ ENFIN REGARDER DES VIDEOS DEPUIS VOTRE CANAPE. <|>  . => suggestions : .. 
249 Mot inconnu : lircrc [[78:84]] => Les programmes se connectent à cette belle socket, lisent un fichier de conf .lircrc dans le home de l’utilisateur, repèrent le mappage touche <–> événement à déclencher, et VOUS POUVEZ ENFIN REGARDER DES VIDEOS DEPUIS VOTRE CANAPE. <|> lircrc
249 Mot inconnu : VIDEOS [[205:211]] => Les programmes se connectent à cette belle socket, lisent un fichier de conf .lircrc dans le home de l’utilisateur, repèrent le mappage touche <–> événement à déclencher, et VOUS POUVEZ ENFIN REGARDER DES VIDEOS DEPUIS VOTRE CANAPE. <|> videos
249 Mot inconnu : CANAPE [[225:231]] => Les programmes se connectent à cette belle socket, lisent un fichier de conf .lircrc dans le home de l’utilisateur, repèrent le mappage touche <–> événement à déclencher, et VOUS POUVEZ ENFIN REGARDER DES VIDEOS DEPUIS VOTRE CANAPE. <|> canape
254 Espace(s) en fin de ligne à supprimer. [[37:38]] => Voici les commandes correspondantes :  <|>  

261 Accord de nombre erroné : « clics » devrait être au singulier. [[12:17]] => ==== Chaque clics est interprétés 2 foix ==== <|> clics => suggestions : clic
261 Accord avec la forme verbale “est” : “interprétés” devrait être au singulier. [[22:33]] => ==== Chaque clics est interprétés 2 foix ==== <|> interprétés => suggestions : interprété
261 Mot inconnu : foix [[36:40]] => ==== Chaque clics est interprétés 2 foix ==== <|> foix

262 Accord de nombre erroné : « clics » devrait être au singulier. [[7:12]] => Chaque clics est interprétés 2 foix : une foix par le xorg, et une foix par LIRC (ce n'est pas pratique pour un bouton comme mute, car l'action est effectué 2 fois.). <|> clics => suggestions : clic
262 Accord avec la forme verbale “est” : “interprétés” devrait être au singulier. [[17:28]] => Chaque clics est interprétés 2 foix : une foix par le xorg, et une foix par LIRC (ce n'est pas pratique pour un bouton comme mute, car l'action est effectué 2 fois.). <|> interprétés => suggestions : interprété
262 Mot inconnu : foix [[31:35]] => Chaque clics est interprétés 2 foix : une foix par le xorg, et une foix par LIRC (ce n'est pas pratique pour un bouton comme mute, car l'action est effectué 2 fois.). <|> foix
262 Mot inconnu : foix [[42:46]] => Chaque clics est interprétés 2 foix : une foix par le xorg, et une foix par LIRC (ce n'est pas pratique pour un bouton comme mute, car l'action est effectué 2 fois.). <|> foix
262 Mot inconnu : foix [[67:71]] => Chaque clics est interprétés 2 foix : une foix par le xorg, et une foix par LIRC (ce n'est pas pratique pour un bouton comme mute, car l'action est effectué 2 fois.). <|> foix
264 Espace(s) surnuméraire(s) à supprimer. [[64:66]] => Pour empêcher Xorg d'interpréter les touches de la télécommande,  créer et éditer ce fichier : /usr/share/X11/xorg.conf.d/60-remote.conf  <|>    => suggestions :  
264 Espace(s) en fin de ligne à supprimer. [[136:137]] => Pour empêcher Xorg d'interpréter les touches de la télécommande,  créer et éditer ce fichier : /usr/share/X11/xorg.conf.d/60-remote.conf  <|>  

265 Espace(s) en fin de ligne à supprimer. [[11:12]] => et inscrire  <|>  

276 Incohérence avec “de” : “fonctionne” est une forme verbale conjuguée. [[22:32]] => Si la transmission de fonctionne pas immédiatement, la meilleure méthode pour commencer un diagnostic est d'utiliser un appareil photo numérique. Allumez l'appareil photo et regardez la DÉL infrarouge de laquelle vous essayez de transmettre à travers l'objectif. Vous devriez voir des flashs violets venant de la DÉL infrarouge quand vous essayez de transmettre. Si vous ne voyez rien, votre appareil ne transmet rien. <|> fonctionne
276 Mot inconnu : DÉL [[186:189]] => Si la transmission de fonctionne pas immédiatement, la meilleure méthode pour commencer un diagnostic est d'utiliser un appareil photo numérique. Allumez l'appareil photo et regardez la DÉL infrarouge de laquelle vous essayez de transmettre à travers l'objectif. Vous devriez voir des flashs violets venant de la DÉL infrarouge quand vous essayez de transmettre. Si vous ne voyez rien, votre appareil ne transmet rien. <|> dél
276 Mot inconnu : DÉL [[313:316]] => Si la transmission de fonctionne pas immédiatement, la meilleure méthode pour commencer un diagnostic est d'utiliser un appareil photo numérique. Allumez l'appareil photo et regardez la DÉL infrarouge de laquelle vous essayez de transmettre à travers l'objectif. Vous devriez voir des flashs violets venant de la DÉL infrarouge quand vous essayez de transmettre. Si vous ne voyez rien, votre appareil ne transmet rien. <|> dél

278 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

281 Confusion : “a” est la conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. [[39:40]] => <note important>Cette section est-elle a jours ?? c'est une copie d'une ancienne page</note> <|> a => suggestions : à
286 Mot inconnu : LIRCD_ARGS [[35:45]] =>   * Modifiez les lignes du côté de LIRCD_ARGS="" pour faire correspondre le tout à <|> lircd_args

319 Mot inconnu : lircd [[24:29]] => Vous devriez avoir deux lircd actifs. Tout processus lirc qui tentera d'interagir avec lircd devra se faire spécifier un paramètre lui indiquant à quelle instance il s'adresse. <|> lircd
319 Mot inconnu : lircd [[87:92]] => Vous devriez avoir deux lircd actifs. Tout processus lirc qui tentera d'interagir avec lircd devra se faire spécifier un paramètre lui indiquant à quelle instance il s'adresse. <|> lircd
330 Mot inconnu : LIRCDPROCESS [[5:17]] =>   * $LIRCDPROCESS représente l'appareil lircd de /dev/ utilisé pour la transmission ; <|> lircdprocess
330 Mot inconnu : lircd [[40:45]] =>   * $LIRCDPROCESS représente l'appareil lircd de /dev/ utilisé pour la transmission ; <|> lircd
331 Mot inconnu : REMOTE [[5:11]] =>   * $REMOTE représente le nom de la télécommande, comme écrit dans le fichier /etc/lirc/lircd.conf ; <|> remote
332 Mot inconnu : BUTTON [[5:11]] =>   * $BUTTON représente le bouton que vous essayez de transmettre. <|> button
338 Mot inconnu : my_favourite_remote [[63:82]] => Ceci va transmettre le bouton de marche pour la télécommande « my_favourite_remote » en utilisant le processus lircd primaire.  <|> my_favourite_remote
338 Mot inconnu : lircd [[111:116]] => Ceci va transmettre le bouton de marche pour la télécommande « my_favourite_remote » en utilisant le processus lircd primaire.  <|> lircd
338 Espace(s) en fin de ligne à supprimer. [[126:127]] => Ceci va transmettre le bouton de marche pour la télécommande « my_favourite_remote » en utilisant le processus lircd primaire.  <|>  

340 Mot inconnu : Generic [[19:26]] => ==== Mon récepteur Generic Mceusb ne marche pas ==== <|> generic
340 Mot inconnu : Mceusb [[27:33]] => ==== Mon récepteur Generic Mceusb ne marche pas ==== <|> mceusb

348 Mot inconnu : lircrc [[16:22]] => Pour le fichier lircrc : voir  <|> lircrc
348 Espace(s) en fin de ligne à supprimer. [[29:30]] => Pour le fichier lircrc : voir  <|>  
355 Espace(s) en fin de ligne à supprimer. [[9:10]] => Sources :  <|>  
356 Mot inconnu : Roulleau [[20:28]] =>   * Merci à Gwendal Roulleau, http://mmed.roulleau.net/?p=7 <|> roulleau
361 Espace(s) en fin de ligne à supprimer. [[15:16]] => Documentation :  <|>  
362 Mot inconnu : lircrc [[35:41]] =>   * Quelques aides pour le fichier lircrc : http://www.mythtv.org/docs/mythtv-HOWTO-8.html <|> lircrc
365 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[3:5]] =>   * .lircrc avec la notation devinput pour mythTV : http://www.mythtv.org/wiki/Soundgraph_iMON_Antec_Veris_Mythbuntu_10.10#Step_2_-_Button_Configuration <|>  . => suggestions : .. 
365 Mot inconnu : lircrc [[5:11]] =>   * .lircrc avec la notation devinput pour mythTV : http://www.mythtv.org/wiki/Soundgraph_iMON_Antec_Veris_Mythbuntu_10.10#Step_2_-_Button_Configuration <|> lircrc
365 Mot inconnu : devinput [[29:37]] =>   * .lircrc avec la notation devinput pour mythTV : http://www.mythtv.org/wiki/Soundgraph_iMON_Antec_Veris_Mythbuntu_10.10#Step_2_-_Button_Configuration <|> devinput
365 Mot inconnu : mythTV [[43:49]] =>   * .lircrc avec la notation devinput pour mythTV : http://www.mythtv.org/wiki/Soundgraph_iMON_Antec_Veris_Mythbuntu_10.10#Step_2_-_Button_Configuration <|> mythtv

371 Accord de nombre erroné avec « intéressantes ». [[0:10]] => Discussion intéressantes :  <|> discussion => suggestions : Discussions
371 Accord de nombre erroné avec « Discussion ». [[11:24]] => Discussion intéressantes :  <|> intéressantes => suggestions : intéressante
371 Espace(s) en fin de ligne à supprimer. [[26:27]] => Discussion intéressantes :  <|>  
376 Espace(s) en fin de ligne à supprimer. [[14:15]] => Contributeur :  <|>  
377 Mot inconnu : Quent57 [[4:11]] =>   * Quent57 <|> quent57
