2 Mot inconnu : LiveBox [[30:37]] => ==== Première connexion à une LiveBox ==== <|> livebox
276 Guillemets typographiques ouvrants. [[265:266]] => Pour les portables **ASUS série M51**, il y a parfois un problème d'activation de la carte intel 4965, bien installée et reconnue par ailleurs. Il ne faut pas négliger le bouton physique de mise en route sur la face avant, et surtout **l'activation par les touches "Fn + F2"**. Sinon, une solution empirique et aléatoire semble parfois fonctionner : il faut activer (unlocked) et/ou désactiver (locked) successivement dans le bios, le LAN, et/ou le WIRELESS, et/ou le port 1394... sans autres précisions de procédure. Les activations de ces process peuvent être remis à leur état d'origine si le fonctionnement de la carte wifi est redevenu normal. <|> " => suggestions : ['«\xa0', '“']
276 Mot inconnu : Fn [[266:268]] => Pour les portables **ASUS série M51**, il y a parfois un problème d'activation de la carte intel 4965, bien installée et reconnue par ailleurs. Il ne faut pas négliger le bouton physique de mise en route sur la face avant, et surtout **l'activation par les touches "Fn + F2"**. Sinon, une solution empirique et aléatoire semble parfois fonctionner : il faut activer (unlocked) et/ou désactiver (locked) successivement dans le bios, le LAN, et/ou le WIRELESS, et/ou le port 1394... sans autres précisions de procédure. Les activations de ces process peuvent être remis à leur état d'origine si le fonctionnement de la carte wifi est redevenu normal. <|> fn
276 Typographie des composés chimiques. [[271:273]] => Pour les portables **ASUS série M51**, il y a parfois un problème d'activation de la carte intel 4965, bien installée et reconnue par ailleurs. Il ne faut pas négliger le bouton physique de mise en route sur la face avant, et surtout **l'activation par les touches "Fn + F2"**. Sinon, une solution empirique et aléatoire semble parfois fonctionner : il faut activer (unlocked) et/ou désactiver (locked) successivement dans le bios, le LAN, et/ou le WIRELESS, et/ou le port 1394... sans autres précisions de procédure. Les activations de ces process peuvent être remis à leur état d'origine si le fonctionnement de la carte wifi est redevenu normal. <|> f2 => suggestions : ['F₂']
276 Mot inconnu : F2 [[271:273]] => Pour les portables **ASUS série M51**, il y a parfois un problème d'activation de la carte intel 4965, bien installée et reconnue par ailleurs. Il ne faut pas négliger le bouton physique de mise en route sur la face avant, et surtout **l'activation par les touches "Fn + F2"**. Sinon, une solution empirique et aléatoire semble parfois fonctionner : il faut activer (unlocked) et/ou désactiver (locked) successivement dans le bios, le LAN, et/ou le WIRELESS, et/ou le port 1394... sans autres précisions de procédure. Les activations de ces process peuvent être remis à leur état d'origine si le fonctionnement de la carte wifi est redevenu normal. <|> f2
276 Guillemets typographiques fermants. [[273:274]] => Pour les portables **ASUS série M51**, il y a parfois un problème d'activation de la carte intel 4965, bien installée et reconnue par ailleurs. Il ne faut pas négliger le bouton physique de mise en route sur la face avant, et surtout **l'activation par les touches "Fn + F2"**. Sinon, une solution empirique et aléatoire semble parfois fonctionner : il faut activer (unlocked) et/ou désactiver (locked) successivement dans le bios, le LAN, et/ou le WIRELESS, et/ou le port 1394... sans autres précisions de procédure. Les activations de ces process peuvent être remis à leur état d'origine si le fonctionnement de la carte wifi est redevenu normal. <|> " => suggestions : ['\xa0»', '”']
276 Mot inconnu : unlocked [[367:375]] => Pour les portables **ASUS série M51**, il y a parfois un problème d'activation de la carte intel 4965, bien installée et reconnue par ailleurs. Il ne faut pas négliger le bouton physique de mise en route sur la face avant, et surtout **l'activation par les touches "Fn + F2"**. Sinon, une solution empirique et aléatoire semble parfois fonctionner : il faut activer (unlocked) et/ou désactiver (locked) successivement dans le bios, le LAN, et/ou le WIRELESS, et/ou le port 1394... sans autres précisions de procédure. Les activations de ces process peuvent être remis à leur état d'origine si le fonctionnement de la carte wifi est redevenu normal. <|> unlocked
276 Mot inconnu : locked [[395:401]] => Pour les portables **ASUS série M51**, il y a parfois un problème d'activation de la carte intel 4965, bien installée et reconnue par ailleurs. Il ne faut pas négliger le bouton physique de mise en route sur la face avant, et surtout **l'activation par les touches "Fn + F2"**. Sinon, une solution empirique et aléatoire semble parfois fonctionner : il faut activer (unlocked) et/ou désactiver (locked) successivement dans le bios, le LAN, et/ou le WIRELESS, et/ou le port 1394... sans autres précisions de procédure. Les activations de ces process peuvent être remis à leur état d'origine si le fonctionnement de la carte wifi est redevenu normal. <|> locked
276 Accord de nombre erroné : « bios » est au pluriel. [[423:425]] => Pour les portables **ASUS série M51**, il y a parfois un problème d'activation de la carte intel 4965, bien installée et reconnue par ailleurs. Il ne faut pas négliger le bouton physique de mise en route sur la face avant, et surtout **l'activation par les touches "Fn + F2"**. Sinon, une solution empirique et aléatoire semble parfois fonctionner : il faut activer (unlocked) et/ou désactiver (locked) successivement dans le bios, le LAN, et/ou le WIRELESS, et/ou le port 1394... sans autres précisions de procédure. Les activations de ces process peuvent être remis à leur état d'origine si le fonctionnement de la carte wifi est redevenu normal. <|> le => suggestions : ['les']
276 Accord de nombre erroné : « bios » devrait être au singulier. [[426:430]] => Pour les portables **ASUS série M51**, il y a parfois un problème d'activation de la carte intel 4965, bien installée et reconnue par ailleurs. Il ne faut pas négliger le bouton physique de mise en route sur la face avant, et surtout **l'activation par les touches "Fn + F2"**. Sinon, une solution empirique et aléatoire semble parfois fonctionner : il faut activer (unlocked) et/ou désactiver (locked) successivement dans le bios, le LAN, et/ou le WIRELESS, et/ou le port 1394... sans autres précisions de procédure. Les activations de ces process peuvent être remis à leur état d'origine si le fonctionnement de la carte wifi est redevenu normal. <|> bios => suggestions : ['bio']
276 Mot inconnu : LAN [[435:438]] => Pour les portables **ASUS série M51**, il y a parfois un problème d'activation de la carte intel 4965, bien installée et reconnue par ailleurs. Il ne faut pas négliger le bouton physique de mise en route sur la face avant, et surtout **l'activation par les touches "Fn + F2"**. Sinon, une solution empirique et aléatoire semble parfois fonctionner : il faut activer (unlocked) et/ou désactiver (locked) successivement dans le bios, le LAN, et/ou le WIRELESS, et/ou le port 1394... sans autres précisions de procédure. Les activations de ces process peuvent être remis à leur état d'origine si le fonctionnement de la carte wifi est redevenu normal. <|> lan
276 Mot inconnu : WIRELESS [[449:457]] => Pour les portables **ASUS série M51**, il y a parfois un problème d'activation de la carte intel 4965, bien installée et reconnue par ailleurs. Il ne faut pas négliger le bouton physique de mise en route sur la face avant, et surtout **l'activation par les touches "Fn + F2"**. Sinon, une solution empirique et aléatoire semble parfois fonctionner : il faut activer (unlocked) et/ou désactiver (locked) successivement dans le bios, le LAN, et/ou le WIRELESS, et/ou le port 1394... sans autres précisions de procédure. Les activations de ces process peuvent être remis à leur état d'origine si le fonctionnement de la carte wifi est redevenu normal. <|> wireless
276 Typographie : points de suspension. Utilisez le caractère dédié. [[477:480]] => Pour les portables **ASUS série M51**, il y a parfois un problème d'activation de la carte intel 4965, bien installée et reconnue par ailleurs. Il ne faut pas négliger le bouton physique de mise en route sur la face avant, et surtout **l'activation par les touches "Fn + F2"**. Sinon, une solution empirique et aléatoire semble parfois fonctionner : il faut activer (unlocked) et/ou désactiver (locked) successivement dans le bios, le LAN, et/ou le WIRELESS, et/ou le port 1394... sans autres précisions de procédure. Les activations de ces process peuvent être remis à leur état d'origine si le fonctionnement de la carte wifi est redevenu normal. <|> ... => suggestions : ['…']
276 Accord erroné : “activations” et “remis” ne sont pas accordés. Mettez au féminin pluriel. [[562:567]] => Pour les portables **ASUS série M51**, il y a parfois un problème d'activation de la carte intel 4965, bien installée et reconnue par ailleurs. Il ne faut pas négliger le bouton physique de mise en route sur la face avant, et surtout **l'activation par les touches "Fn + F2"**. Sinon, une solution empirique et aléatoire semble parfois fonctionner : il faut activer (unlocked) et/ou désactiver (locked) successivement dans le bios, le LAN, et/ou le WIRELESS, et/ou le port 1394... sans autres précisions de procédure. Les activations de ces process peuvent être remis à leur état d'origine si le fonctionnement de la carte wifi est redevenu normal. <|> remis => suggestions : ['remises']

280 Mot inconnu : Extensa [[22:29]] => Pour un portable Acer Extensa 7630, sous 8.10 Intrepid, j'ai trouvé la solution dans notamment (le lien le plus complet) http://www.mjmwired.net/kernel/Documentation/laptops/acer-wmi.txt, il faut activer la carte Wi-Fi par : <|> extensa
280 Mot inconnu : Intrepid [[46:54]] => Pour un portable Acer Extensa 7630, sous 8.10 Intrepid, j'ai trouvé la solution dans notamment (le lien le plus complet) http://www.mjmwired.net/kernel/Documentation/laptops/acer-wmi.txt, il faut activer la carte Wi-Fi par : <|> intrepid

285 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. [[0:2]] => et redémarrer. Et le bluetooth en remplaçant wireless par bluetooth. <|> et => suggestions : ['Et']
285 Mot inconnu : wireless [[45:53]] => et redémarrer. Et le bluetooth en remplaçant wireless par bluetooth. <|> wireless

288 Mot inconnu : Packard [[11:18]] => ==Portable Packard Bell Easynote R1934W== <|> packard
288 Mot inconnu : Easynote [[24:32]] => ==Portable Packard Bell Easynote R1934W== <|> easynote
288 Mot inconnu : R1934W [[33:39]] => ==Portable Packard Bell Easynote R1934W== <|> r1934w
293 Mot inconnu : equivalent [[34:44]] => Bien que Lubuntu soit en principe equivalent a Ubuntu, certaines installations ont un wifi fonctionnel directement sous Ubuntu, et pas sous Lubuntu. <|> equivalent

298 Mot inconnu : Wireless [[35:43]] => ==== Problème avec carte Intel Pro Wireless 4965 sous Jaunty et cartes intel Corporation PRO/Wireless 3945ABG==== <|> wireless
298 Mot inconnu : intel [[71:76]] => ==== Problème avec carte Intel Pro Wireless 4965 sous Jaunty et cartes intel Corporation PRO/Wireless 3945ABG==== <|> intel
298 Mot inconnu : Wireless [[93:101]] => ==== Problème avec carte Intel Pro Wireless 4965 sous Jaunty et cartes intel Corporation PRO/Wireless 3945ABG==== <|> wireless
298 Mot inconnu : ABG [[106:109]] => ==== Problème avec carte Intel Pro Wireless 4965 sous Jaunty et cartes intel Corporation PRO/Wireless 3945ABG==== <|> abg
300 Mot inconnu : Wireless [[119:127]] => La version 2.6.28 du Kernel fourni avec Ubuntu Jaunty peut causer des problèmes de performance avec la carte Intel Pro Wireless 4965 (bande passante se bloquant à 70 ko/s, déconnexions intempestives...). <|> wireless
300 Si “ko/s” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[163:170]] => La version 2.6.28 du Kernel fourni avec Ubuntu Jaunty peut causer des problèmes de performance avec la carte Intel Pro Wireless 4965 (bande passante se bloquant à 70 ko/s, déconnexions intempestives...). <|> 70 ko/s => suggestions : ['70\xa0ko/s']
300 Typographie : points de suspension. Utilisez le caractère dédié. [[198:201]] => La version 2.6.28 du Kernel fourni avec Ubuntu Jaunty peut causer des problèmes de performance avec la carte Intel Pro Wireless 4965 (bande passante se bloquant à 70 ko/s, déconnexions intempestives...). <|> ... => suggestions : ['…']

302 Mot inconnu : compat [[71:77]] => Le responsable est le module chargé du Wi-Fi, il faut passer au module compat, présent dans les backports : <|> compat
302 Mot inconnu : backports [[96:105]] => Le responsable est le module chargé du Wi-Fi, il faut passer au module compat, présent dans les backports : <|> backports
310 Guillemets typographiques ouvrants. [[116:117]] => Il peut arriver qu'une configuration en ip fixe, via /etc/network/interfaces, ne vous permette plus d'effectuer des "résolution DNS". <|> " => suggestions : ['«\xa0', '“']
310 Accord de nombre erroné : « résolution » devrait être au pluriel. [[117:127]] => Il peut arriver qu'une configuration en ip fixe, via /etc/network/interfaces, ne vous permette plus d'effectuer des "résolution DNS". <|> résolution => suggestions : ['résolutions']
310 Guillemets typographiques fermants. [[131:132]] => Il peut arriver qu'une configuration en ip fixe, via /etc/network/interfaces, ne vous permette plus d'effectuer des "résolution DNS". <|> " => suggestions : ['\xa0»', '”']

311 Conjugaison erronée. Accord avec “votre ordinateur…”. Le verbe devrait être à la 3ᵉ personne du singulier. [[47:52]] => En clair cela signifie que votre ordinateur ne seras plus en mesure de traduire un nom de domaine (eg: www.google.com) en adresse ip. <|> seras => suggestions : ['sera']
311 Mot inconnu : eg [[99:101]] => En clair cela signifie que votre ordinateur ne seras plus en mesure de traduire un nom de domaine (eg: www.google.com) en adresse ip. <|> eg

313 Guillemets typographiques ouvrants. [[95:96]] => Plusieurs solutions traînent sur la toile, avec plus où moins d'efficacité et plus où moins de "bonne pratique". <|> " => suggestions : ['«\xa0', '“']
313 Guillemets typographiques fermants. [[110:111]] => Plusieurs solutions traînent sur la toile, avec plus où moins d'efficacité et plus où moins de "bonne pratique". <|> " => suggestions : ['\xa0»', '”']

315 Mot inconnu : network-manager [[147:162]] => Dans ce cas et uniquement si vous utilisez une configuration fixe définie dans /etc/network/interfaces, il est recommandé de désactiver le service network-manager, de réactiver le service networking et de configurer votre/vos interfaces en renseignant DNS et Domaine de recherche. <|> network-manager
315 Mot inconnu : networking [[188:198]] => Dans ce cas et uniquement si vous utilisez une configuration fixe définie dans /etc/network/interfaces, il est recommandé de désactiver le service network-manager, de réactiver le service networking et de configurer votre/vos interfaces en renseignant DNS et Domaine de recherche. <|> networking
